ID,Logiesvormen,Toeristengebieden,Perioden,AlleLanden_1,Nederland_2,Buitenland_3,AlleLanden_4,Nederland_5,Buitenland_6
123,TOT,TR08  ,2001JJ00,1868.4,1647.5,220.9,6766.5,6135.3,631.3
124,TOT,TR08  ,2002JJ00,1784.5,1593.3,191.2,6827.2,6223.6,603.7
125,TOT,TR08  ,2003JJ00,1986.9,1752.3,234.5,7336.6,6624.5,712.1
126,TOT,TR08  ,2004JJ00,1851.1,1629.1,222.0,6327.2,5713.6,613.6
127,TOT,TR08  ,2005JJ00,1884.1,1648.5,235.5,6825.2,6136.8,688.3
128,TOT,TR08  ,2006JJ00,1816.1,1587.1,229.0,6135.2,5518.0,617.2
129,TOT,TR08  ,2007JJ00,2161.8,1927.7,234.1,7077.8,6368.7,709.1
130,TOT,TR08  ,2008JJ00,2119.3,1904.7,214.5,6770.9,6157.3,613.6
131,TOT,TR08  ,2009JJ00,1955.2,1753.5,201.7,6593.7,6029.2,564.5
132,TOT,TR08  ,2010JJ00,2072.1,1868.3,203.8,6554.4,5984.5,569.9
133,TOT,TR08  ,2011JJ00,2049.2,1835.0,214.2,6345.4,5747.2,598.2
134,TOT,TR08  ,2012JJ00,1978.8,1729.4,249.4,5927.1,5276.7,650.4
135,TOT,TR09  ,1998JJ00,107.5,89.1,18.5,369.5,306.7,62.9
136,TOT,TR09  ,1999JJ00,105.4,88.6,16.8,412.4,345.4,67.0
137,TOT,TR09  ,2000JJ00,102.0,85.9,16.1,409.1,353.2,56.0
138,TOT,TR09  ,2001JJ00,107.9,86.1,21.8,439.0,370.3,68.8
139,TOT,TR09  ,2002JJ00,97.0,76.8,20.2,321.1,273.3,47.8
140,TOT,TR09  ,2003JJ00,143.1,116.3,26.8,539.2,468.3,70.9
141,TOT,TR09  ,2004JJ00,125.3,112.6,12.7,507.9,461.5,46.4
142,TOT,TR09  ,2005JJ00,117.1,101.8,15.3,389.2,336.4,52.7
143,TOT,TR09  ,2006JJ00,156.6,134.5,22.1,550.4,486.4,64.0
144,TOT,TR09  ,2007JJ00,175.2,138.6,36.6,587.7,489.8,97.9
145,TOT,TR09  ,2008JJ00,163.3,132.2,31.1,536.9,470.3,66.6
146,TOT,TR09  ,2009JJ00,143.0,123.1,19.9,453.8,432.9,20.9
147,TOT,TR09  ,2010JJ00,158.8,129.7,29.1,509.1,458.1,51.0
148,TOT,TR09  ,2011JJ00,172.8,150.6,22.2,510.7,467.1,43.6
149,TOT,TR09  ,2012JJ00,179.2,155.3,23.9,488.2,436.8,51.4
150,TOT,TR10  ,1998JJ00,464.2,426.1,38.0,1730.2,1602.6,127.7
151,TOT,TR10  ,1999JJ00,556.4,504.0,52.4,1923.8,1790.5,133.3
152,TOT,TR10  ,2000JJ00,562.1,515.4,46.7,1793.7,1675.6,118.1
153,TOT,TR10  ,2001JJ00,522.8,496.4,26.5,1898.7,1816.2,82.5
154,TOT,TR10  ,2002JJ00,536.8,482.7,54.1,1939.1,1767.2,171.9
155,TOT,TR10  ,2003JJ00,529.5,485.5,44.0,1793.8,1665.5,128.4
156,TOT,TR10  ,2004JJ00,500.7,456.7,44.0,1900.9,1755.0,145.9
157,TOT,TR10  ,2005JJ00,485.3,421.9,63.5,1916.5,1729.3,187.2
158,TOT,TR10  ,2006JJ00,584.3,526.7,57.6,2177.3,1964.9,212.4
159,TOT,TR10  ,2007JJ00,500.9,456.1,44.8,1855.1,1735.9,119.2
160,TOT,TR10  ,2008JJ00,518.2,460.6,57.7,1952.6,1786.1,166.4
161,TOT,TR10  ,2009JJ00,506.2,461.6,44.7,1968.3,1827.6,140.8
162,TOT,TR10  ,2010JJ00,511.2,466.1,45.0,1932.7,1743.5,189.1
163,TOT,TR10  ,2011JJ00,568.5,500.8,67.7,2030.0,1818.8,211.2
164,TOT,TR10  ,2012JJ00,613.5,553.8,59.7,2055.6,1866.1,189.5
165,TOT,TR11  ,1998JJ00,1361.2,1171.3,189.8,4750.9,4163.0,587.9
166,TOT,TR11  ,1999JJ00,1407.5,1218.3,189.1,4950.4,4392.9,557.4
