ID,DutchEconomy,Periods,TotalCO2_1,CO2ExclBiomass_2,CO2Biomass_3,N2O_4,CH4_5,GreenhouseGasEquivalents_6,NOx_7,SO2_8,NH3_9,AcidificationEquivalents_10,CFK12Equivalents_11,CO_12,NMVOC_13,PM10_14
13,B000579,2003JJ00,208746.0,200056,8690.1,47.8,870.0,248027,642.1,153.6,158.6,28.1,175.1,782.6,292.9,54.7
14,B000579,2004JJ00,211664.0,202196,9468.0,49.1,854.1,250567,633.9,152.2,158.4,27.8,165.3,800.1,273.9,53.6
15,B000579,2005JJ00,208713.0,197896,10816.7,49.1,795.2,245753,627.8,156.3,155.8,27.7,155.1,776.8,276.7,52.7
16,B000579,2006JJ00,202055.0,190941,11114.4,49.4,776.4,238805,576.4,138.2,158.5,26.2,144.7,762.3,269.3,49.3
17,B000579,2007JJ00,203882.0,192490,11392.0,44.2,777.4,239432,585.5,143.9,154.6,26.3,134.4,733.5,271.8,49.4
18,B000579,2008JJ00,208363.0,195557,12805.8,31.7,785.6,240806,578.9,119.5,142.0,24.7,124.1,729.4,266.7,47.3
19,B000579,2009JJ00,203177.0,188836,14340.4,31.0,778.2,235316,530.3,101.0,137.7,22.8,114.4,659.6,265.6,44.2
20,B000579,2010JJ00,214881.0,199963,14917.6,30.0,775.0,246902,519.6,87.3,134.7,21.9,104.3,680.2,276.7,43.3
21,B000579,2011JJ00,201998.0,187182,14815.8,29.3,752.2,232949,485.3,69.6,132.1,20.5,94.5,635.8,271.3,39.8
22,B000579,2012JJ00,200004.0,184698,15305.8,28.8,735.7,230275,476.2,62.6,128.1,19.8,85.0,615.9,267.1,38.9
23,B000579,2013JJ00,199255.0,184889,14365.9,29.4,734.5,229796,472.8,68.9,124.8,19.8,80.9,596.3,267.2,38.8
24,B000579,2014JJ00,193288.0,179619,13669.3,30.0,717.0,223058,459.5,59.5,128.5,19.4,77.6,567.0,252.6,37.7
25,B000579,2015JJ00,200026.0,186272,13754.0,30.8,724.9,230418,447.8,51.2,130.0,19.0,74.7,568.2,262.0,36.4
26,B000579,2016JJ00,200379.0,186563,13816.1,29.9,729.7,230532,437.9,41.9,131.3,18.5,72.0,564.8,259.2,34.8
27,B000579,2017JJ00,197422.0,183408,14014.6,30.6,716.5,227371,432.0,40.2,133.7,18.5,69.2,550.9,260.3,33.9
28,B000579,2018JJ00,194188.0,179323,14864.7,29.9,677.6,222608,432.0,37.3,132.1,18.3,67.6,538.8,254.4,33.3
29,B000579,2019JJ00,192094.0,175220,16874.4,29.3,688.4,220682,413.2,34.0,125.7,17.4,65.8,523.5,250.1,32.0
30,B000579,2020JJ00,173764.0,153958,19805.9,28.6,679.3,201591,372.1,28.9,124.9,16.3,64.0,494.8,257.9,30.0
31,B000579,2021JJ00,181103.0,158430,22673.0,27.4,668.7,208154,386.6,29.8,123.4,16.6,62.6,464.1,245.8,30.6
32,B000579,2022JJ00,171021.0,149669,21351.5,25.7,647.7,196913,395.6,29.3,121.1,16.6,61.2,458.9,247.4,30.9
33,B000579,2023JJ00,158663.0,140115,18547.9,25.3,642.3,184181,411.7,31.1,117.0,16.8,60.1,435.0,245.5,30.8
34,B000579,2024JJ00,159781.0,140472,19309.3,25.1,627.4,184825,428.3,27.4,114.6,16.9,59.1,424.5,240.1,30.8
35,1050010,1990JJ00,36947.0,35529,1418.1,0.4,26.2,37789,152.6,5.9,4.5,3.8,678.7,643.1,181.2,16.4
36,1050010,1991JJ00,40031.0,38465,1565.3,0.5,28.0,40949,145.8,5.7,4.8,3.6,571.8,588.7,170.6,15.6
37,1050010,1992JJ00,38493.0,37020,1473.0,0.6,26.0,39378,135.1,5.6,5.1,3.4,464.9,564.0,162.0,15.1
38,1050010,1993JJ00,39790.0,38210,1579.9,0.7,26.5,40714,126.5,5.4,5.3,3.2,358.0,530.6,153.5,14.5
39,1050010,1994JJ00,38642.0,37119,1523.1,0.8,25.0,39545,118.0,5.1,5.4,3.0,251.2,506.6,146.5,14.1
40,1050010,1995JJ00,41092.0,39511,1581.2,0.9,26.2,42112,114.9,4.7,5.9,3.0,144.3,500.9,136.0,15.7
41,1050010,1996JJ00,44988.0,43105,1883.3,0.9,29.5,46140,112.3,3.6,6.2,2.9,58.5,506.1,137.7,15.0
42,1050010,1997JJ00,40930.0,39264,1665.7,0.9,25.5,41971,103.3,2.3,6.7,2.7,48.8,492.2,129.3,14.9
43,1050010,1998JJ00,39766.0,38171,1594.8,0.9,24.2,40776,95.4,2.3,6.9,2.5,42.1,469.6,117.5,14.6
44,1050010,1999JJ00,39168.0,37609,1559.2,0.9,22.8,40098,91.9,2.5,7.3,2.5,45.1,454.5,109.4,14.2
45,1050010,2000JJ00,39804.0,38261,1542.6,0.9,22.2,41032,85.7,1.9,8.0,2.4,39.1,424.2,98.4,14.3
46,1050010,2001JJ00,40759.0,39123,1635.5,0.9,22.8,41860,80.1,1.0,8.2,2.3,34.6,418.7,93.1,14.1
47,1050010,2002JJ00,40156.0,38583,1573.3,0.8,22.0,41231,75.8,1.1,8.4,2.2,30.9,415.9,88.5,13.3
48,1050010,2003JJ00,40953.0,39268,1684.8,0.8,22.3,42041,72.3,0.8,8.5,2.1,27.6,421.8,85.4,13.6
49,1050010,2004JJ00,40333.0,38558,1775.4,0.9,21.4,41438,68.3,0.9,8.6,2.0,24.2,421.3,81.6,13.7
50,1050010,2005JJ00,39067.0,37263,1804.2,0.9,20.7,40151,64.2,0.7,8.4,1.9,21.2,410.3,78.7,13.4
51,1050010,2006JJ00,39043.0,37131,1911.9,0.9,20.3,40144,58.2,0.7,8.1,1.8,18.3,393.5,77.5,13.2
52,1050010,2007JJ00,36878.0,34610,2267.8,0.9,18.2,37943,53.9,0.7,7.8,1.7,15.3,376.6,76.9,12.7
53,1050010,2008JJ00,39274.0,36885,2389.3,0.9,20.0,40412,52.1,0.6,7.6,1.6,12.3,369.6,74.5,12.6
54,1050010,2009JJ00,39093.0,36499,2593.4,0.9,19.8,40268,48.6,0.6,7.4,1.5,9.3,361.3,72.6,12.2
55,1050010,2010JJ00,42614.0,39878,2736.3,0.9,22.7,43864,49.1,0.6,7.3,1.5,6.4,366.1,73.1,12.9
56,1050010,2011JJ00,37009.0,34559,2450.3,0.9,18.4,38140,44.8,0.6,7.3,1.4,3.4,337.3,69.4,11.4
57,1050010,2012JJ00,37960.0,35375,2585.7,0.9,19.5,39111,43.8,0.6,7.1,1.4,0.4,329.1,70.1,11.5
58,1050010,2013JJ00,39158.0,36429,2728.6,0.9,20.4,40323,43.6,0.6,7.1,1.4,0.0,326.4,70.0,11.7
59,1050010,2014JJ00,33462.0,31049,2413.0,0.9,16.0,34494,40.2,0.5,7.1,1.3,0.0,303.2,67.7,10.5
60,1050010,2015JJ00,34723.0,32206,2517.1,0.9,16.9,35785,39.5,0.5,7.0,1.3,0.0,302.6,68.3,10.8
61,1050010,2016JJ00,35564.0,33134,2430.5,0.9,17.4,36648,39.2,0.5,7.1,1.3,0.0,303.7,68.8,10.4
62,1050010,2017JJ00,34973.0,32523,2450.2,0.9,16.8,36038,37.9,0.5,7.1,1.3,0.0,298.7,68.8,10.0
63,1050010,2018JJ00,34873.0,32095,2778.2,0.9,15.5,35876,38.0,0.5,7.0,1.3,0.0,287.5,67.7,9.8
64,1050010,2019JJ00,34082.0,31130,2952.4,0.9,16.3,35107,35.6,0.5,6.9,1.2,0.0,273.4,68.0,9.2
65,1050010,2020JJ00,30577.0,27873,2704.1,0.9,15.7,31529,28.4,0.5,6.6,1.0,0.0,260.7,78.9,8.1
66,1050010,2021JJ00,33466.0,30250,3216.5,0.8,17.4,34456,28.5,0.5,6.7,1.0,0.0,246.4,69.0,8.1
67,1050010,2022JJ00,30546.0,27354,3192.4,0.8,15.0,31458,27.3,0.5,6.8,1.0,0.0,238.1,71.3,8.4
68,1050010,2023JJ00,28535.0,25430,3104.9,0.8,13.4,29382,26.8,0.5,6.9,1.0,0.0,228.8,72.8,8.8
69,1050010,2024JJ00,28959.0,25252,3707.8,0.8,13.6,29815,27.7,0.5,6.8,1.0,0.0,221.2,70.7,8.7
70,B000580,1990JJ00,14427.0,14427,81.0,0.2,4.2,14600,131.9,4.8,0.8,3.1,0.0,560.8,129.3,7.3
71,B000580,1991JJ00,14278.0,14278,81.7,0.3,3.7,14458,123.0,4.6,1.0,2.9,0.0,508.4,118.8,6.6
72,B000580,1992JJ00,14798.0,14798,81.8,0.4,3.6,14996,114.6,4.7,1.3,2.7,0.0,485.7,110.3,6.4
73,B000580,1993JJ00,14866.0,14866,80.5,0.4,3.3,15075,105.0,4.5,1.4,2.5,0.0,454.4,101.8,5.9
74,B000580,1994JJ00,15290.0,15290,80.2,0.5,3.2,15517,97.7,4.3,1.6,2.3,0.0,432.5,94.9,5.7
75,B000580,1995JJ00,15878.0,15878,77.1,0.6,2.9,16114,91.5,4.0,2.0,2.2,0.0,409.1,82.5,5.7
76,B000580,1996JJ00,15609.0,15609,76.0,0.6,3.0,15850,85.7,3.0,2.3,2.1,0.0,413.1,82.1,5.2
77,B000580,1997JJ00,16179.0,16179,74.3,0.6,2.9,16423,80.9,1.7,2.7,2.0,0.0,400.5,76.0,5.0
78,B000580,1998JJ00,16176.0,16176,73.7,0.6,2.7,16412,74.4,1.8,2.9,1.8,0.0,379.6,69.1,4.8
79,B000580,1999JJ00,16755.0,16755,73.1,0.6,2.6,16989,71.3,1.9,3.3,1.8,0.0,374.0,63.0,4.8
80,B000580,2000JJ00,17397.0,17397,71.8,0.6,2.2,17629,65.8,1.3,4.0,1.7,0.0,341.5,48.3,4.8
81,B000580,2001JJ00,17009.0,17009,72.0,0.6,2.1,17230,59.2,0.5,4.2,1.5,0.0,331.9,42.6,4.6
82,B000580,2002JJ00,17249.0,17249,71.7,0.6,2.0,17465,55.7,0.6,4.4,1.5,0.0,333.4,39.0,4.4
83,B000580,2003JJ00,17435.0,17435,70.0,0.6,2.0,17645,52.3,0.4,4.5,1.4,0.0,335.0,35.7,4.3
84,B000580,2004JJ00,17698.0,17698,67.3,0.6,1.9,17901,49.7,0.4,4.6,1.4,0.0,332.8,32.6,4.1
85,B000580,2005JJ00,17205.0,17205,66.5,0.6,1.8,17406,47.2,0.2,4.4,1.3,0.0,322.3,29.8,3.9
86,B000580,2006JJ00,16993.0,16926,66.3,0.6,1.6,17189,43.9,0.3,4.0,1.2,0.0,304.5,27.2,3.7
87,B000580,2007JJ00,17033.0,16535,66.5,0.6,1.5,17226,41.6,0.3,3.8,1.1,0.0,292.2,25.8,3.6
88,B000580,2008JJ00,16917.0,16468,67.6,0.6,1.4,17107,38.8,0.1,3.5,1.1,0.0,278.8,24.4,3.3
89,B000580,2009JJ00,16779.0,16176,66.5,0.6,1.3,16965,35.6,0.1,3.3,1.0,0.0,269.5,22.5,3.1
90,B000580,2010JJ00,16611.0,16254,66.8,0.6,1.4,16796,34.7,0.1,3.2,0.9,0.0,259.4,20.9,2.9
91,B000580,2011JJ00,16624.0,16123,67.0,0.6,1.4,16810,34.0,0.1,3.2,0.9,0.0,251.2,20.5,2.7
92,B000580,2012JJ00,16192.0,15696,68.4,0.5,1.5,16374,32.9,0.1,3.0,0.9,0.0,237.7,19.5,2.5
93,B000580,2013JJ00,16055.0,15558,66.4,0.5,1.5,16236,32.7,0.1,3.0,0.9,0.0,231.1,19.0,2.5
94,B000580,2014JJ00,16029.0,15401,66.7,0.5,1.5,16209,32.2,0.1,2.9,0.9,0.0,227.5,18.9,2.4
95,B000580,2015JJ00,16049.0,15522,68.6,0.5,1.5,16228,31.4,0.1,2.9,0.9,0.0,220.9,18.3,2.3
96,B000580,2016JJ00,16180.0,15760,68.0,0.5,1.5,16366,31.4,0.1,2.9,0.9,0.0,222.3,18.0,2.3
97,B000580,2017JJ00,16159.0,15631,68.9,0.6,1.5,16351,30.9,0.1,2.9,0.8,0.0,222.3,17.8,2.3
98,B000580,2018JJ00,16178.0,15326,70.5,0.6,1.8,16378,31.3,0.1,2.8,0.8,0.0,213.2,16.9,2.2
99,B000580,2019JJ00,15979.0,14928,71.0,0.6,1.9,16182,29.2,0.1,2.7,0.8,0.0,202.5,16.2,2.1
100,B000580,2020JJ00,13299.0,12422,0.0,0.5,2.0,13495,22.4,0.1,2.4,0.6,1.0,194.8,14.0,1.8
101,B000580,2021JJ00,13762.0,12723,73.6,0.5,2.1,13951,21.8,0.1,2.5,0.6,1.0,172.3,14.0,1.9
102,B000580,2022JJ00,14391.0,13381,0.0,0.5,2.2,14589,21.6,0.1,2.6,0.6,2.0,166.7,13.7,1.9
103,B000580,2023JJ00,14537.0,13615,70.2,0.5,2.2,14738,21.8,0.1,2.7,0.6,2.0,160.9,13.4,2.0
104,B000580,2024JJ00,14636.0,13047,0.0,0.5,2.2,14838,22.8,0.1,2.6,0.6,3.0,155.2,13.5,2.1
105,B000581,1990JJ00,22520.0,21102,3.3,0.2,22.0,23189,20.7,1.2,3.7,0.7,678.7,82.3,51.8,9.1
106,B000581,1991JJ00,25753.0,24188,3.4,0.2,24.3,26491,22.9,1.0,3.8,0.7,571.8,80.3,51.8,8.9
107,B000581,1992JJ00,23696.0,22223,3.3,0.2,22.4,24382,20.5,0.9,3.8,0.7,464.9,78.2,51.7,8.8
108,B000581,1993JJ00,24924.0,23344,3.5,0.2,23.2,25639,21.5,0.9,3.8,0.7,358.0,76.2,51.6,8.6
109,B000581,1994JJ00,23352.0,21828,3.3,0.2,21.8,24028,20.3,0.8,3.8,0.7,251.2,74.1,51.6,8.4
110,B000581,1995JJ00,25214.0,23633,3.4,0.3,23.3,25998,23.4,0.8,3.9,0.8,144.3,91.9,53.5,10.0
111,B000581,1996JJ00,29380.0,27496,3.7,0.3,26.5,30291,26.6,0.7,3.9,0.8,58.5,93.0,55.6,9.7
112,B000581,1997JJ00,24751.0,23085,3.8,0.3,22.6,25548,22.4,0.6,4.0,0.7,48.8,91.8,53.3,9.9
113,B000581,1998JJ00,23591.0,21996,3.9,0.3,21.5,24364,21.0,0.6,4.0,0.7,42.1,90.0,48.4,9.8
114,B000581,1999JJ00,22413.0,20854,4.0,0.3,20.2,23108,20.6,0.6,4.0,0.7,45.1,80.5,46.4,9.3
115,B000581,2000JJ00,22407.0,20864,4.1,0.3,20.0,23403,19.9,0.5,4.0,0.7,39.1,82.7,50.1,9.4
116,B000581,2001JJ00,23750.0,22115,4.1,0.2,20.7,24631,20.8,0.5,4.0,0.7,34.6,86.8,50.6,9.5
117,B000581,2002JJ00,22907.0,21334,4.4,0.2,19.9,23766,20.1,0.5,4.0,0.7,30.9,82.6,49.5,8.9
118,B000581,2003JJ00,23518.0,21833,4.2,0.2,20.3,24396,20.0,0.5,4.0,0.7,27.6,86.8,49.7,9.3
119,B000581,2004JJ00,22636.0,20860,4.5,0.3,19.5,23537,18.6,0.5,4.0,0.7,24.2,88.6,49.0,9.6
120,B000581,2005JJ00,21862.0,20057,5.2,0.3,18.9,22745,17.0,0.4,4.0,0.6,21.2,88.1,48.9,9.4
121,B000581,2006JJ00,22049.0,20205,5.5,0.3,18.7,22955,14.2,0.4,4.1,0.6,18.3,89.0,50.3,9.4
122,B000581,2007JJ00,19845.0,18075,5.6,0.3,16.7,20717,12.3,0.4,4.1,0.5,15.3,84.4,51.1,9.2
123,B000581,2008JJ00,22357.0,20417,6.1,0.3,18.6,23305,13.3,0.5,4.1,0.5,12.3,90.8,50.1,9.3
124,B000581,2009JJ00,22314.0,20324,7.1,0.3,18.5,23302,13.0,0.5,4.1,0.5,9.3,91.7,50.2,9.1
125,B000581,2010JJ00,26003.0,23623,6.9,0.4,21.3,27068,14.5,0.5,4.1,0.6,6.4,106.7,52.2,10.0
126,B000581,2011JJ00,20385.0,18435,7.3,0.3,16.9,21330,10.8,0.5,4.1,0.5,3.4,86.2,48.9,8.7
127,B000581,2012JJ00,21768.0,19679,7.7,0.3,18.0,22737,10.9,0.5,4.1,0.5,0.4,91.4,50.5,9.0
128,B000581,2013JJ00,23102.0,20871,7.2,0.4,18.9,24087,10.9,0.5,4.1,0.5,0.0,95.2,50.9,9.2
129,B000581,2014JJ00,17434.0,15648,7.1,0.3,14.5,18285,8.0,0.4,4.1,0.4,0.0,75.6,48.9,8.2
130,B000581,2015JJ00,18675.0,16684,6.9,0.3,15.4,19557,8.1,0.4,4.1,0.4,0.0,81.7,50.0,8.5
131,B000581,2016JJ00,19385.0,17374,6.9,0.4,15.8,20282,7.8,0.4,4.2,0.4,0.0,81.4,50.8,8.2
132,B000581,2017JJ00,18814.0,16892,7.1,0.3,15.2,19687,7.0,0.4,4.2,0.4,0.0,76.4,50.9,7.7
133,B000581,2018JJ00,18695.0,16769,7.7,0.4,13.7,19498,6.7,0.4,4.2,0.4,0.0,74.3,50.7,7.6
134,B000581,2019JJ00,18103.0,16202,8.8,0.4,14.4,18925,6.3,0.4,4.2,0.4,0.0,70.9,51.8,7.0
135,B000581,2020JJ00,17278.0,15451,8.8,0.3,13.7,18034,6.0,0.4,4.2,0.4,0.0,65.8,65.0,6.3
136,B000581,2021JJ00,19705.0,17527,12.5,0.3,15.3,20505,6.7,0.4,4.2,0.4,0.0,74.2,54.9,6.2
137,B000581,2022JJ00,16155.0,13973,10.5,0.3,12.7,16869,5.7,0.4,4.2,0.4,0.0,71.4,57.6,6.5
138,B000581,2023JJ00,13998.0,11858,11.7,0.3,11.2,14644,5.0,0.4,4.3,0.4,0.0,67.9,59.4,6.8
139,B000581,2024JJ00,14323.0,12205,12.8,0.3,11.4,14977,5.0,0.4,4.3,0.4,0.0,66.0,57.2,6.6
140,T001081,1990JJ00,142317.0,139237,3079.9,60.1,707.3,185150,645.0,250.7,342.1,42.0,5471.3,581.2,432.7,70.9
141,T001081,1991JJ00,146363.0,143168,3194.2,60.7,721.7,189661,623.0,214.6,356.3,41.2,4494.7,565.8,398.6,65.9
142,T001081,1992JJ00,148377.0,145208,3169.1,61.6,718.7,192842,634.2,213.8,291.8,37.6,3518.1,584.9,374.6,63.1
143,T001081,1993JJ00,147915.0,144516,3399.4,62.5,715.4,193242,628.0,208.6,318.5,38.9,2541.5,568.1,350.3,59.9
144,T001081,1994JJ00,151443.0,148151,3291.8,60.9,692.2,197463,615.6,199.8,286.5,36.5,1564.8,518.7,326.2,56.8
145,T001081,1995JJ00,153227.0,149753,3473.6,60.3,686.2,196769,608.0,199.2,214.0,32.0,588.2,466.7,304.0,55.1
146,T001081,1996JJ00,157285.0,153211,4073.1,60.5,672.0,204177,593.3,192.6,171.2,29.0,431.3,425.4,282.7,49.9
147,T001081,1997JJ00,156732.0,152171,4560.3,59.6,624.9,202889,583.9,182.0,166.8,28.2,319.4,395.4,261.7,47.5
148,T001081,1998JJ00,159284.0,154493,4790.9,57.8,616.0,205460,579.0,181.5,151.2,27.1,205.2,383.5,257.3,46.2
149,T001081,1999JJ00,156728.0,151689,5039.2,55.6,602.9,196010,604.4,186.5,145.7,27.5,196.5,373.9,251.3,48.1
150,T001081,2000JJ00,160226.0,154811,5415.1,53.5,581.7,196063,598.4,173.7,167.5,28.3,183.0,383.0,245.7,47.2
151,T001081,2001JJ00,164489.0,158772,5716.9,50.5,576.8,197065,588.7,171.2,161.0,27.6,168.5,382.8,221.9,45.3
152,T001081,2002JJ00,164266.0,157970,6296.5,47.5,550.7,195818,566.8,155.5,153.3,26.2,146.8,367.1,210.3,43.3
153,T001081,2003JJ00,166700.0,160788,5911.8,47.0,540.6,196138,569.4,152.7,150.1,26.0,122.8,358.5,206.2,41.1
154,T001081,2004JJ00,170320.0,163638,6682.0,48.3,539.1,199726,565.3,151.3,149.8,25.8,117.4,377.1,191.1,39.8
155,T001081,2005JJ00,168615.0,160633,7981.7,48.2,541.1,197876,563.3,155.6,147.4,25.8,111.9,365.1,196.9,39.3
156,T001081,2006JJ00,162048.0,153810,8237.9,48.5,540.6,191539,518.0,137.5,150.4,24.4,106.3,367.5,190.7,36.1
157,T001081,2007JJ00,166096.0,157881,8215.4,43.3,560.2,194899,531.3,143.2,146.8,24.6,100.5,355.6,193.9,36.7
158,T001081,2008JJ00,168232.0,158672,9560.5,30.8,580.9,194257,526.4,118.9,134.4,23.0,94.6,358.4,191.2,34.7
159,T001081,2009JJ00,163293.0,152337,10956.6,30.1,583.0,189248,481.5,100.4,130.3,21.3,88.7,297.2,192.1,32.0
160,T001081,2010JJ00,171535.0,160085,11449.1,29.1,590.4,197662,470.2,86.6,127.4,20.4,82.8,313.1,202.9,30.4
161,T001081,2011JJ00,164312.0,152623,11688.8,28.4,582.8,189817,440.3,69.0,124.8,19.1,77.1,297.6,201.2,28.4
162,T001081,2012JJ00,161421.0,149324,12097.0,27.9,574.7,186440,432.2,62.0,121.0,18.4,71.4,286.0,196.4,27.4
163,T001081,2013JJ00,159522.0,148460,11062.0,28.5,580.8,185055,429.0,68.3,117.7,18.4,68.5,269.3,196.6,27.1
164,T001081,2014JJ00,159292.0,148569,10722.4,29.2,577.6,184476,419.2,59.0,121.5,18.1,66.1,263.1,184.4,27.2
165,T001081,2015JJ00,164807.0,154066,10741.2,30.0,593.1,190806,408.2,50.7,122.9,17.7,64.0,264.9,193.2,25.6
166,T001081,2016JJ00,164348.0,153429,10918.2,29.0,605.3,190295,398.5,41.3,124.3,17.2,62.1,260.2,189.9,24.3
167,T001081,2017JJ00,162008.0,150885,11123.1,29.7,601.4,188017,393.9,39.7,126.7,17.2,60.3,251.2,191.0,24.0
168,T001081,2018JJ00,158902.0,147228,11674.2,29.0,579.3,183890,393.9,36.7,125.1,17.1,58.8,250.3,186.3,23.6
169,T001081,2019JJ00,157625.0,144090,13535.1,28.4,582.4,182555,377.6,33.5,118.7,16.2,57.5,249.2,181.8,22.8
170,T001081,2020JJ00,142820.0,126085,16734.5,27.8,580.8,167247,343.7,28.4,118.4,15.3,56.4,233.1,178.6,21.9
171,T001081,2021JJ00,147294.0,128180,19113.4,26.6,573.2,171045,358.1,29.3,116.7,15.6,55.4,216.8,176.5,22.5
172,T001081,2022JJ00,140151.0,122315,17836.0,24.8,560.3,162979,368.3,28.8,114.3,15.6,54.6,220.0,175.8,22.4
173,T001081,2023JJ00,129821.0,114685,15135.8,24.5,560.6,152475,384.8,30.6,110.0,15.8,53.9,205.4,172.4,22.0
174,T001081,2024JJ00,130535.0,115221,15314.6,24.2,550.2,152804,400.6,26.9,107.7,15.9,53.3,202.5,169.1,22.1
175,301000 ,1990JJ00,10351.0,10341,10.1,32.6,592.0,35561,97.5,5.4,336.6,22.1,0.0,31.4,108.4,8.1
176,301000 ,1991JJ00,11210.0,11199,10.5,33.1,601.1,36818,99.9,5.2,350.4,22.9,0.0,14.7,97.9,7.8
177,301000 ,1992JJ00,10933.0,10921,12.5,33.7,597.4,36595,99.5,5.1,285.6,19.1,0.0,14.7,91.6,7.7
178,301000 ,1993JJ00,11413.0,11401,12.6,32.8,593.3,36729,102.3,5.0,312.6,20.8,0.0,14.9,85.6,7.7
179,301000 ,1994JJ00,10853.0,10841,12.3,31.7,573.3,35312,103.8,5.1,280.2,18.9,0.0,15.1,79.6,7.6
180,301000 ,1995JJ00,11008.0,10995,12.4,32.4,568.5,35510,99.2,5.2,207.8,14.5,0.0,28.4,75.7,8.0
181,301000 ,1996JJ00,11620.0,11607,12.5,32.4,557.6,35836,94.4,5.0,165.3,11.9,0.0,15.2,73.1,8.2
182,301000 ,1997JJ00,10199.0,10187,12.4,31.7,534.6,33586,91.8,5.1,161.6,11.7,0.0,14.8,73.7,8.2
183,301000 ,1998JJ00,10118.0,10106,12.6,29.8,524.9,32728,90.7,5.3,146.0,10.7,0.0,14.7,74.6,8.3
184,301000 ,1999JJ00,9861.0,9849,12.9,28.8,518.6,32010,89.0,5.3,140.7,10.4,0.0,14.9,75.5,8.4
185,301000 ,2000JJ00,10173.0,10160,13.0,26.1,500.9,31187,89.4,5.6,162.1,11.6,0.0,26.1,79.3,8.3
186,301000 ,2001JJ00,9914.0,9901,12.4,25.2,496.8,30575,86.0,5.9,155.3,11.2,0.0,25.8,77.1,8.4
187,301000 ,2002JJ00,9316.0,9304,11.9,23.1,471.2,28741,81.4,5.3,147.9,10.6,0.0,25.0,75.3,8.1
188,301000 ,2003JJ00,9406.0,9394,11.4,22.5,462.2,28430,81.0,5.9,144.5,10.4,0.0,24.8,81.9,7.4
189,301000 ,2004JJ00,9502.0,9490,11.9,21.8,462.2,28358,79.2,5.7,143.4,10.3,0.0,24.3,75.0,7.7
190,301000 ,2005JJ00,9820.0,9789,30.7,21.5,461.9,28603,79.2,5.9,141.7,10.2,0.0,24.5,73.4,8.0
191,301000 ,2006JJ00,9187.0,9045,141.8,22.0,467.3,28267,77.9,5.0,145.2,10.4,0.0,24.3,74.4,7.8
192,301000 ,2007JJ00,9799.0,9496,302.9,21.0,483.7,29105,77.7,4.3,141.8,10.2,0.0,25.0,77.8,7.9
193,301000 ,2008JJ00,10604.0,10122,482.0,20.6,503.4,30368,76.4,2.5,129.3,9.3,0.0,26.2,80.8,7.9
194,301000 ,2009JJ00,10630.0,9994,636.1,19.8,511.2,30396,72.9,1.9,125.6,9.0,0.0,26.2,90.6,7.7
195,301000 ,2010JJ00,12322.0,11628,694.5,19.6,515.2,32170,74.9,1.9,122.9,8.9,0.0,27.5,91.5,7.8
196,301000 ,2011JJ00,11207.0,10504,702.3,18.9,508.1,30663,70.7,1.2,120.1,8.6,0.0,26.9,91.2,8.1
197,301000 ,2012JJ00,11139.0,10395,743.8,18.3,502.7,30298,66.0,0.9,116.6,8.3,0.0,26.6,91.4,7.8
198,301000 ,2013JJ00,10975.0,10213,761.6,19.0,513.2,30660,65.7,0.9,113.6,8.1,0.0,26.6,92.9,7.7
