ID,Aanbieders,Perioden,ZorguitgavenInclusiefWelzijn_1,UitgavenVoorGezondheidszorgIntDef_2,UitgavenOgvVerplichteVerzekeringen_3
215,2620,2004JJ00,1315,861,0
216,2620,2005JJ00,1245,861,0
217,2620,2006JJ00,1094,746,0
218,2620,2007JJ00,1177,802,0
219,2620,2008JJ00,1224,709,0
220,2620,2009JJ00,1260,792,0
221,2620,2010JJ00,1279,802,0
222,2620,2011JJ00,1190,744,0
223,2620,2012JJ00,1096,686,0
224,2620,2013JJ00,1021,639,0
225,2620,2014JJ00,996,624,0
226,2620,2015JJ00,950,595,0
227,2620,2016JJ00,993,622,0
228,2630,1998JJ00,3365,3345,1913
229,2630,1999JJ00,3670,3660,2084
230,2630,2000JJ00,3911,3896,2225
231,2630,2001JJ00,4323,4308,2482
232,2630,2002JJ00,4665,4649,2666
233,2630,2003JJ00,5002,4984,2883
234,2630,2004JJ00,4995,4976,2841
235,2630,2005JJ00,5233,5212,2987
236,2630,2006JJ00,5358,5337,4381
237,2630,2007JJ00,5799,5778,4765
238,2630,2008JJ00,5859,5838,4344
239,2630,2009JJ00,5926,5907,4353
240,2630,2010JJ00,6063,6038,4433
241,2630,2011JJ00,6054,6030,4409
242,2630,2012JJ00,5457,5433,3758
243,2630,2013JJ00,5190,5165,3345
244,2630,2014JJ00,5193,5167,3353
245,2630,2015JJ00,5369,5342,3463
246,2630,2016JJ00,5499,5472,3556
247,2640,1998JJ00,1638,1638,544
248,2640,1999JJ00,1732,1648,556
249,2640,2000JJ00,1832,1743,572
250,2640,2001JJ00,1993,1893,615
251,2640,2002JJ00,2102,1992,668
252,2640,2003JJ00,2272,2149,739
253,2640,2004JJ00,2412,2291,807
254,2640,2005JJ00,2452,2334,797
255,2640,2006JJ00,2535,2411,1085
256,2640,2007JJ00,2630,2500,1152
257,2640,2008JJ00,2923,2786,1135
258,2640,2009JJ00,2664,2520,1204
259,2640,2010JJ00,2821,2671,1235
260,2640,2011JJ00,3066,2908,1270
261,2640,2012JJ00,3218,3052,1300
262,2640,2013JJ00,3098,2932,1214
263,2640,2014JJ00,3149,2979,1241
264,2640,2015JJ00,3179,3009,1244
265,2640,2016JJ00,3063,2893,1158
