ID,Kenmerken,Marges,Perioden,ScoreGeluk_1,Ongelukkig_2,NietGelukkigNietOngelukkig_3,Gelukkig_4,ScoreTevredenheidMetHetLeven_5,Ontevreden_6,NietTevredenNietOntevreden_7,Tevreden_8,ScoreTevredenheidMetLichGezondheid_9,Ontevreden_10,NietTevredenNietOntevreden_11,Tevreden_12,ScoreTevredenheidPsychischeGezondheid_13,Ontevreden_14,NietTevredenNietOntevreden_15,Tevreden_16,ScoreTevredenheidMetGewicht_17,Ontevreden_18,NietTevredenNietOntevreden_19,Tevreden_20
10,T009002,MW00000,2023JJ00,7.6,2.3,11.1,86.6,7.5,2.9,12.9,84.2,7.2,7.6,19.7,72.7,7.6,5.1,14.5,80.5,6.9,12.8,23.0,64.2
11,T009002,MW00000,2024JJ00,7.7,2.4,10.2,87.5,7.6,2.7,12.0,85.3,7.2,8.1,19.2,72.8,7.6,5.2,13.7,81.0,6.8,14.1,23.4,62.5
12,T009002,MOG0095,2013JJ00,7.7,2.1,9.2,86.6,7.5,3.0,12.1,82.6,7.0,9.0,18.9,69.3,7.8,4.1,9.6,84.0,6.9,11.1,21.5,64.4
13,T009002,MOG0095,2014JJ00,7.7,2.0,9.0,87.1,7.5,2.9,11.3,83.7,7.0,8.7,18.2,70.3,7.8,3.9,9.9,84.1,6.9,10.9,22.2,64.0
14,T009002,MOG0095,2015JJ00,7.7,2.4,9.1,86.6,7.5,3.4,11.4,83.0,6.9,10.2,18.9,68.2,7.7,4.6,10.5,82.7,6.8,11.9,20.9,64.4
15,T009002,MOG0095,2016JJ00,7.7,2.2,8.4,87.5,7.6,2.6,11.0,84.3,7.0,9.2,19.7,68.3,7.7,4.0,10.1,83.7,6.8,11.4,21.9,63.8
16,T009002,MOG0095,2017JJ00,7.7,2.4,9.0,86.6,7.6,3.1,10.3,84.5,6.9,9.9,18.6,68.7,7.7,4.5,11.2,82.0,6.8,11.5,22.4,63.1
17,T009002,MOG0095,2018JJ00,7.6,2.4,8.7,86.9,7.6,2.1,11.0,84.8,6.9,9.2,19.8,68.2,7.6,5.0,11.5,81.2,6.9,11.2,21.5,64.4
18,T009002,MOG0095,2019JJ00,7.7,2.2,7.8,88.1,7.6,2.0,9.6,86.4,6.9,9.1,19.8,68.3,7.7,4.7,10.9,82.2,6.9,10.5,21.6,65.0
19,T009002,MOG0095,2020JJ00,7.6,2.3,9.7,85.9,7.6,2.4,11.6,83.9,6.9,8.8,19.8,68.7,7.6,5.0,11.9,80.7,6.9,10.7,22.4,63.9
20,T009002,MOG0095,2021JJ00,7.6,2.8,9.5,85.4,7.5,2.8,12.2,82.6,6.9,9.4,20.0,67.7,7.5,5.9,12.9,78.5,6.9,11.0,20.2,65.7
21,T009002,MOG0095,2022JJ00,7.6,2.5,10.4,85.2,7.5,2.7,12.7,82.4,7.2,7.2,17.9,72.4,7.5,5.1,13.7,78.9,6.8,12.2,21.9,63.0
22,T009002,MOG0095,2023JJ00,7.6,1.9,10.4,85.7,7.5,2.5,12.1,83.2,7.1,7.0,18.8,71.7,7.5,4.5,13.6,79.5,6.8,12.0,22.0,63.0
23,T009002,MOG0095,2024JJ00,7.6,2.0,9.4,86.6,7.6,2.4,11.2,84.4,7.1,7.4,18.2,71.7,7.6,4.7,12.9,80.1,6.7,13.3,22.4,61.3
24,T009002,MBG0095,2013JJ00,7.7,2.9,10.8,88.4,7.6,4.0,13.9,84.5,7.1,10.4,20.9,71.6,7.9,5.2,11.2,85.8,7.0,12.8,23.5,66.8
25,T009002,MBG0095,2014JJ00,7.7,2.8,10.5,88.7,7.6,3.8,12.9,85.5,7.1,10.1,20.1,72.5,7.8,4.9,11.4,85.9,7.0,12.5,24.2,66.3
26,T009002,MBG0095,2015JJ00,7.7,3.2,10.6,88.2,7.6,4.4,13.0,84.8,7.0,11.6,20.8,70.4,7.8,5.7,12.0,84.5,6.9,13.5,22.8,66.7
27,T009002,MBG0095,2016JJ00,7.8,3.1,9.8,89.1,7.6,3.5,12.6,86.0,7.0,10.7,21.7,70.5,7.8,5.1,11.6,85.5,6.9,13.0,24.0,66.1
28,T009002,MBG0095,2017JJ00,7.7,3.2,10.5,88.3,7.6,4.0,11.9,86.3,7.0,11.4,20.5,70.9,7.7,5.6,12.8,83.9,6.9,13.1,24.5,65.5
29,T009002,MBG0095,2018JJ00,7.7,3.3,10.2,88.5,7.6,2.9,12.7,86.6,7.0,10.7,21.7,70.4,7.7,6.2,13.1,83.0,7.0,12.8,23.5,66.7
30,T009002,MBG0095,2019JJ00,7.7,3.1,9.2,89.7,7.7,2.8,11.1,88.2,7.0,10.5,21.8,70.6,7.8,5.8,12.5,84.0,7.0,12.1,23.6,67.3
31,T009002,MBG0095,2020JJ00,7.7,3.2,11.3,87.6,7.6,3.2,13.3,85.7,7.0,10.2,21.8,70.9,7.7,6.2,13.6,82.6,7.0,12.3,24.5,66.2
32,T009002,MBG0095,2021JJ00,7.6,3.8,11.2,87.3,7.6,3.9,14.0,84.6,7.0,11.0,22.1,70.1,7.6,7.3,14.8,80.6,7.0,12.7,22.3,68.2
33,T009002,MBG0095,2022JJ00,7.6,3.3,11.9,86.9,7.5,3.6,14.4,84.2,7.2,8.4,19.7,74.4,7.6,6.2,15.4,80.8,6.9,13.8,23.9,65.2
34,T009002,MBG0095,2023JJ00,7.7,2.7,11.9,87.4,7.6,3.4,13.8,85.0,7.2,8.2,20.7,73.8,7.6,5.6,15.3,81.4,6.9,13.6,24.1,65.3
35,T009002,MBG0095,2024JJ00,7.7,2.8,10.9,88.3,7.6,3.2,12.8,86.1,7.2,8.7,20.1,73.8,7.6,5.8,14.6,82.0,6.8,15.0,24.5,63.7
36,A027864,MW00000,2013JJ00,7.1,6.0,18.9,75.1,6.9,8.4,20.8,70.9,5.1,31.5,44.4,24.1,6.9,12.4,20.1,67.5,6.2,20.9,27.6,51.5
37,A027864,MW00000,2014JJ00,7.1,5.8,19.9,74.3,7.0,7.6,22.0,70.5,5.2,29.6,44.5,25.9,6.8,11.7,22.7,65.6,6.3,18.9,28.9,52.2
38,A027864,MW00000,2015JJ00,7.1,6.1,19.6,74.3,6.9,9.1,21.9,69.0,5.1,32.9,42.3,24.8,6.9,12.9,21.2,65.9,6.2,21.0,25.9,53.2
39,A027864,MW00000,2016JJ00,7.1,5.9,17.8,76.3,7.0,6.8,22.2,71.1,5.2,31.5,44.6,23.9,6.9,11.3,21.6,67.1,6.2,21.1,27.6,51.3
40,A027864,MW00000,2017JJ00,7.1,6.5,19.8,73.7,7.0,8.5,20.7,70.8,5.1,33.1,41.9,25.0,6.8,12.6,24.1,63.3,6.2,20.1,28.9,51.0
41,A027864,MW00000,2018JJ00,7.1,6.1,19.0,75.0,7.0,5.9,23.1,71.1,5.2,29.0,45.4,25.6,6.8,13.7,22.4,63.8,6.1,21.1,29.4,49.5
42,A027864,MW00000,2019JJ00,7.1,5.6,18.1,76.3,7.1,5.3,19.7,75.0,5.2,29.0,46.1,24.9,6.8,13.1,23.1,63.8,6.2,19.8,28.8,51.4
43,A027864,MW00000,2020JJ00,7.1,5.5,21.5,73.0,7.0,6.0,24.7,69.3,5.3,28.2,45.3,26.6,6.8,13.4,23.6,63.0,6.2,19.8,29.3,50.8
44,A027864,MW00000,2021JJ00,7.0,7.4,19.2,73.5,6.9,7.4,23.4,69.2,5.2,30.9,45.2,23.8,6.6,15.2,24.2,60.6,6.1,21.1,28.2,50.7
45,A027864,MW00000,2022JJ00,7.0,7.0,21.4,71.6,6.9,7.3,23.9,68.8,5.5,23.7,45.5,30.8,6.6,13.6,25.9,60.4,6.1,22.4,27.3,50.3
46,A027864,MW00000,2023JJ00,7.0,5.4,21.8,72.8,6.9,6.9,22.8,70.2,5.6,21.9,45.5,32.5,6.7,12.5,25.9,61.6,6.2,21.2,26.8,52.0
47,A027864,MW00000,2024JJ00,7.0,6.1,19.9,74.0,7.0,6.5,21.9,71.6,5.5,23.1,46.2,30.7,6.7,13.1,25.2,61.7,6.0,23.7,28.6,47.7
48,A027864,MOG0095,2013JJ00,7.1,4.9,17.1,72.9,6.9,7.1,18.8,68.6,5.0,29.3,42.0,22.1,6.8,10.8,18.2,65.2,6.1,19.0,25.5,49.1
49,A027864,MOG0095,2014JJ00,7.0,4.8,18.0,72.2,6.9,6.4,20.1,68.2,5.1,27.5,42.2,24.0,6.8,10.2,20.8,63.3,6.2,17.1,26.8,49.9
50,A027864,MOG0095,2015JJ00,7.0,5.0,17.9,72.3,6.8,7.8,20.1,66.9,5.0,30.9,40.2,22.9,6.8,11.5,19.4,63.8,6.1,19.2,23.9,50.9
51,A027864,MOG0095,2016JJ00,7.1,4.9,16.1,74.2,6.9,5.7,20.3,68.9,5.1,29.4,42.3,22.1,6.8,9.8,19.8,64.8,6.1,19.3,25.6,48.9
52,A027864,MOG0095,2017JJ00,7.0,5.4,18.0,71.6,6.9,7.3,18.9,68.6,5.0,31.1,39.7,23.1,6.7,11.1,22.2,61.1,6.1,18.3,26.9,48.7
53,A027864,MOG0095,2018JJ00,7.0,5.0,17.2,72.9,6.9,4.8,21.2,68.9,5.2,27.0,43.2,23.8,6.7,12.2,20.6,61.6,6.0,19.3,27.4,47.3
54,A027864,MOG0095,2019JJ00,7.1,4.6,16.4,74.2,7.0,4.3,17.9,72.9,5.2,27.0,43.9,23.0,6.7,11.6,21.2,61.6,6.1,18.0,26.8,49.1
55,A027864,MOG0095,2020JJ00,7.0,4.5,19.6,70.8,6.9,5.0,22.7,67.1,5.2,26.2,43.0,24.6,6.7,11.9,21.7,60.7,6.1,18.0,27.3,48.5
56,A027864,MOG0095,2021JJ00,6.9,6.1,17.2,71.1,6.8,6.1,21.3,66.8,5.1,28.7,42.8,21.8,6.5,13.4,22.2,58.1,6.0,19.1,26.0,48.2
57,A027864,MOG0095,2022JJ00,6.9,6.0,19.7,69.6,6.8,6.2,22.1,66.8,5.5,22.0,43.5,28.9,6.5,12.2,24.1,58.3,6.0,20.7,25.4,48.2
58,A027864,MOG0095,2023JJ00,7.0,4.5,20.1,70.8,6.9,5.9,21.1,68.2,5.5,20.3,43.5,30.6,6.6,11.1,24.1,59.6,6.1,19.5,25.0,49.9
59,A027864,MOG0095,2024JJ00,7.0,5.1,18.2,72.0,6.9,5.5,20.1,69.6,5.5,21.3,44.1,28.8,6.6,11.6,23.4,59.6,5.9,21.9,26.6,45.6
60,A027864,MBG0095,2013JJ00,7.2,7.3,20.9,77.2,7.0,9.9,22.8,73.0,5.2,33.8,46.8,26.2,7.0,14.1,22.1,69.8,6.3,22.9,29.8,54.0
61,A027864,MBG0095,2014JJ00,7.2,7.1,21.8,76.3,7.0,9.0,24.0,72.6,5.3,31.7,46.8,28.0,6.9,13.3,24.8,67.8,6.4,20.8,31.0,54.6
62,A027864,MBG0095,2015JJ00,7.2,7.3,21.5,76.2,7.0,10.5,23.8,71.1,5.2,35.0,44.5,26.7,7.0,14.6,23.0,68.0,6.3,22.9,27.9,55.4
63,A027864,MBG0095,2016JJ00,7.2,7.2,19.7,78.2,7.1,8.1,24.2,73.1,5.2,33.7,46.9,25.9,7.0,12.9,23.6,69.2,6.3,23.2,29.7,53.6
64,A027864,MBG0095,2017JJ00,7.2,7.8,21.7,75.7,7.0,10.0,22.6,72.8,5.2,35.3,44.1,27.0,6.9,14.3,26.1,65.5,6.3,22.0,31.1,53.3
65,A027864,MBG0095,2018JJ00,7.2,7.3,20.8,76.9,7.1,7.1,25.1,73.1,5.3,31.1,47.6,27.6,6.8,15.4,24.4,65.9,6.3,23.0,31.5,51.8
66,A027864,MBG0095,2019JJ00,7.2,6.9,20.0,78.2,7.2,6.5,21.6,76.9,5.3,31.1,48.3,26.9,6.9,14.8,25.1,65.9,6.3,21.7,30.9,53.7
67,A027864,MBG0095,2020JJ00,7.1,6.6,23.6,75.1,7.1,7.2,26.8,71.5,5.3,30.3,47.5,28.6,6.9,15.1,25.6,65.2,6.3,21.8,31.5,53.2
68,A027864,MBG0095,2021JJ00,7.1,8.9,21.3,75.7,7.0,9.0,25.6,71.5,5.3,33.3,47.7,26.0,6.7,17.1,26.4,63.0,6.3,23.3,30.5,53.2
69,A027864,MBG0095,2022JJ00,7.0,8.2,23.2,73.5,7.0,8.5,25.8,70.8,5.6,25.5,47.6,32.7,6.7,15.2,27.8,62.5,6.2,24.3,29.2,52.4
70,A027864,MBG0095,2023JJ00,7.1,6.5,23.6,74.6,7.0,8.1,24.7,72.1,5.7,23.7,47.6,34.5,6.8,14.0,27.8,63.7,6.3,23.0,28.8,54.1
71,A027864,MBG0095,2024JJ00,7.1,7.3,21.7,75.9,7.0,7.7,23.7,73.6,5.6,25.0,48.3,32.7,6.8,14.6,27.1,63.8,6.1,25.6,30.6,49.9
72,A027865,MW00000,2013JJ00,7.9,1.2,6.6,92.3,7.8,1.5,10.0,88.5,7.8,1.2,10.4,88.4,8.2,1.7,6.6,91.7,7.2,8.5,20.5,70.9
73,A027865,MW00000,2014JJ00,7.9,1.0,5.8,93.2,7.8,1.7,8.2,90.1,7.8,1.7,9.4,88.9,8.2,1.6,5.9,92.5,7.2,8.9,21.1,70.0
74,A027865,MW00000,2015JJ00,7.9,1.3,5.8,92.9,7.8,1.6,8.2,90.2,7.8,1.5,10.5,88.1,8.1,1.8,7.0,91.2,7.2,9.2,20.2,70.6
75,A027865,MW00000,2016JJ00,8.0,1.3,5.6,93.1,7.8,1.5,7.7,90.8,7.7,1.4,11.1,87.5,8.1,1.8,6.5,91.7,7.2,8.6,21.2,70.2
76,A027865,MW00000,2017JJ00,8.0,1.3,5.7,93.0,7.9,1.5,7.1,91.4,7.7,1.5,10.5,88.0,8.1,1.9,7.1,91.0,7.1,9.2,21.2,69.7
77,A027865,MW00000,2018JJ00,7.9,1.5,5.4,93.2,7.9,1.0,7.0,92.0,7.7,1.7,10.0,88.3,8.1,2.1,7.8,90.0,7.2,8.1,19.7,72.3
78,A027865,MW00000,2019JJ00,8.0,1.3,4.3,94.4,7.9,1.1,6.3,92.6,7.7,1.4,9.8,88.9,8.1,1.8,6.6,91.5,7.2,7.7,19.9,72.4
79,A027865,MW00000,2020JJ00,7.9,1.7,5.9,92.4,7.8,1.4,7.3,91.2,7.7,1.8,10.4,87.8,8.0,2.4,8.3,89.3,7.2,8.1,21.1,70.8
80,A027865,MW00000,2021JJ00,7.9,1.6,6.8,91.5,7.8,1.7,8.9,89.4,7.7,1.8,11.2,87.0,7.9,3.1,9.7,87.3,7.3,8.2,18.4,73.3
81,A027865,MW00000,2022JJ00,7.9,1.0,6.6,92.4,7.8,1.3,9.0,89.7,7.9,0.7,7.0,92.4,8.0,2.1,9.5,88.4,7.1,8.9,21.0,70.0
82,A027865,MW00000,2023JJ00,7.9,0.8,6.0,93.3,7.8,1.0,8.1,90.9,8.0,0.5,7.0,92.5,8.0,1.4,8.9,89.7,7.2,8.9,21.3,69.9
83,A027865,MW00000,2024JJ00,8.0,0.6,5.6,93.8,7.9,1.0,7.4,91.6,7.9,0.9,6.4,92.6,8.0,1.5,8.4,90.1,7.1,9.7,21.0,69.3
84,A027865,MOG0095,2013JJ00,7.9,0.9,5.9,91.4,7.7,1.2,9.1,87.5,7.8,0.9,9.6,87.4,8.1,1.3,5.9,90.9,7.2,7.7,19.4,69.6
85,A027865,MOG0095,2014JJ00,7.9,0.7,5.1,92.4,7.8,1.3,7.5,89.2,7.7,1.3,8.7,88.0,8.1,1.2,5.3,91.7,7.1,8.2,20.0,68.7
86,A027865,MOG0095,2015JJ00,7.9,1.0,5.1,92.1,7.8,1.3,7.4,89.3,7.7,1.2,9.6,87.1,8.1,1.4,6.3,90.3,7.1,8.4,19.1,69.3
87,A027865,MOG0095,2016JJ00,7.9,1.0,5.0,92.3,7.8,1.2,7.0,89.9,7.7,1.1,10.3,86.5,8.1,1.5,5.8,90.8,7.1,7.9,20.0,68.9
88,A027865,MOG0095,2017JJ00,7.9,1.0,5.1,92.2,7.8,1.2,6.4,90.5,7.7,1.2,9.6,87.1,8.0,1.6,6.4,90.1,7.1,8.4,20.0,68.3
89,A027865,MOG0095,2018JJ00,7.9,1.1,4.7,92.4,7.8,0.7,6.3,91.1,7.7,1.4,9.2,87.3,8.0,1.7,7.1,89.1,7.2,7.3,18.5,71.0
90,A027865,MOG0095,2019JJ00,7.9,0.9,3.7,93.6,7.9,0.8,5.6,91.8,7.7,1.1,8.9,87.9,8.1,1.5,5.9,90.7,7.2,6.9,18.8,71.1
91,A027865,MOG0095,2020JJ00,7.9,1.3,5.2,91.5,7.8,1.1,6.5,90.3,7.7,1.4,9.5,86.8,7.9,2.0,7.5,88.4,7.1,7.4,19.9,69.4
92,A027865,MOG0095,2021JJ00,7.8,1.3,6.0,90.6,7.7,1.3,8.1,88.4,7.6,1.4,10.3,85.9,7.8,2.6,8.8,86.2,7.2,7.4,17.3,71.9
93,A027865,MOG0095,2022JJ00,7.8,0.7,5.9,91.6,7.7,1.0,8.2,88.8,7.9,0.5,6.3,91.6,7.9,1.7,8.7,87.4,7.1,8.1,19.9,68.7
94,A027865,MOG0095,2023JJ00,7.9,0.5,5.3,92.5,7.8,0.7,7.3,89.9,7.9,0.3,6.3,91.6,8.0,1.1,8.1,88.8,7.1,8.0,20.1,68.5
95,A027865,MOG0095,2024JJ00,7.9,0.4,4.9,93.1,7.8,0.7,6.6,90.7,7.9,0.7,5.7,91.8,8.0,1.2,7.6,89.1,7.1,8.8,19.9,67.9
96,A027865,MBG0095,2013JJ00,7.9,1.5,7.4,93.1,7.8,2.0,10.9,89.4,7.8,1.6,11.4,89.3,8.2,2.1,7.4,92.5,7.3,9.4,21.7,72.2
97,A027865,MBG0095,2014JJ00,8.0,1.3,6.5,93.9,7.8,2.1,9.1,90.9,7.8,2.1,10.3,89.8,8.2,2.0,6.6,93.3,7.2,9.8,22.3,71.3
98,A027865,MBG0095,2015JJ00,8.0,1.7,6.5,93.6,7.9,2.1,9.0,91.0,7.8,1.9,11.4,88.9,8.2,2.2,7.8,92.0,7.2,10.1,21.3,71.9
99,A027865,MBG0095,2016JJ00,8.0,1.7,6.3,93.8,7.9,1.9,8.5,91.6,7.8,1.7,12.1,88.4,8.2,2.3,7.3,92.4,7.2,9.5,22.4,71.5
100,A027865,MBG0095,2017JJ00,8.0,1.7,6.5,93.7,7.9,1.9,7.9,92.2,7.8,1.9,11.4,88.9,8.1,2.4,7.9,91.8,7.2,10.0,22.4,71.0
101,A027865,MBG0095,2018JJ00,7.9,1.9,6.1,93.9,7.9,1.4,7.8,92.8,7.8,2.2,10.9,89.2,8.1,2.6,8.7,90.9,7.3,8.9,20.8,73.6
102,A027865,MBG0095,2019JJ00,8.0,1.7,5.0,95.1,7.9,1.4,7.1,93.4,7.8,1.7,10.7,89.8,8.1,2.3,7.4,92.3,7.3,8.5,21.1,73.7
103,A027865,MBG0095,2020JJ00,7.9,2.1,6.7,93.2,7.9,1.9,8.2,92.1,7.7,2.2,11.3,88.8,8.0,2.9,9.2,90.3,7.3,9.0,22.3,72.1
104,A027865,MBG0095,2021JJ00,7.9,2.1,7.7,92.4,7.8,2.2,9.9,90.3,7.7,2.3,12.2,88.0,7.9,3.7,10.6,88.3,7.3,9.2,19.7,74.7
105,A027865,MBG0095,2022JJ00,7.9,1.3,7.4,93.1,7.8,1.7,9.9,90.6,8.0,0.9,7.8,93.1,8.0,2.5,10.4,89.3,7.2,9.8,22.2,71.3
106,A027865,MBG0095,2023JJ00,7.9,1.1,6.7,94.0,7.8,1.4,9.0,91.7,8.0,0.8,7.8,93.2,8.0,1.8,9.8,90.6,7.2,9.7,22.5,71.2
107,A027865,MBG0095,2024JJ00,8.0,0.9,6.3,94.5,7.9,1.3,8.3,92.4,8.0,1.3,7.2,93.4,8.1,2.0,9.3,90.9,7.2,10.6,22.3,70.6
108,A027866,MW00000,2013JJ00,7.9,1.4,7.2,91.4,7.7,1.9,10.3,87.9,7.8,1.9,11.3,86.7,8.1,2.0,7.1,90.9,7.1,9.5,20.9,69.6
109,A027866,MW00000,2014JJ00,7.9,1.2,6.4,92.4,7.8,1.7,8.7,89.7,7.8,1.8,10.3,87.9,8.1,1.6,7.2,91.2,7.1,9.6,20.9,69.5
110,A027866,MW00000,2015JJ00,7.9,1.5,6.5,91.9,7.8,1.9,9.2,88.9,7.7,2.4,11.8,85.8,8.1,2.0,7.8,90.1,7.1,10.5,20.0,69.5
111,A027866,MW00000,2016JJ00,7.9,1.5,6.2,92.3,7.8,1.8,8.5,89.7,7.7,2.0,13.1,84.8,8.1,2.1,7.9,90.0,7.1,9.9,21.0,69.0
112,A027866,MW00000,2017JJ00,7.9,1.5,6.9,91.6,7.8,1.6,8.4,90.1,7.7,2.1,11.8,86.1,8.0,2.3,8.9,88.7,7.1,9.6,20.8,69.6
113,A027866,MW00000,2018JJ00,7.9,1.8,6.5,91.7,7.8,1.3,8.6,90.1,7.6,2.5,12.6,84.8,8.0,2.9,9.1,88.0,7.1,9.7,20.8,69.5
114,A027866,MW00000,2019JJ00,7.9,1.5,5.6,92.8,7.8,1.3,7.8,90.9,7.6,2.6,12.3,85.1,8.0,2.6,8.5,89.0,7.2,8.8,20.7,70.5
115,A027866,MW00000,2020JJ00,7.8,1.7,7.1,91.2,7.8,1.6,8.5,89.9,7.6,2.7,12.3,85.0,7.9,2.9,9.4,87.7,7.1,9.4,21.5,69.1
116,A027866,MW00000,2021JJ00,7.8,2.3,7.4,90.3,7.7,2.0,10.2,87.8,7.6,2.8,12.5,84.6,7.8,4.1,11.1,84.7,7.2,9.8,18.1,72.1
117,A027866,MW00000,2022JJ00,7.8,1.4,8.3,90.3,7.7,1.7,10.7,87.7,7.9,1.2,9.1,89.7,7.8,2.7,11.7,85.6,7.1,9.8,22.1,68.1
118,A027866,MW00000,2023JJ00,,,,,,,,,,,,,,,,,,,,
119,A027866,MW00000,2024JJ00,,,,,,,,,,,,,,,,,,,,
120,A027866,MOG0095,2013JJ00,7.8,1.0,6.4,90.5,7.7,1.5,9.4,86.8,7.7,1.5,10.4,85.6,8.1,1.6,6.4,89.9,7.1,8.6,19.7,68.2
121,A027866,MOG0095,2014JJ00,7.9,0.9,5.7,91.5,7.7,1.3,7.8,88.7,7.7,1.4,9.4,86.9,8.1,1.2,6.4,90.3,7.1,8.7,19.7,68.1
122,A027866,MOG0095,2015JJ00,7.9,1.2,5.8,91.0,7.7,1.5,8.4,87.9,7.7,2.0,10.9,84.7,8.1,1.6,7.0,89.2,7.0,9.6,18.8,68.1
123,A027866,MOG0095,2016JJ00,7.9,1.2,5.5,91.4,7.8,1.4,7.6,88.8,7.6,1.7,12.1,83.7,8.0,1.7,7.1,89.1,7.0,9.1,19.8,67.6
124,A027866,MOG0095,2017JJ00,7.9,1.1,6.1,90.7,7.8,1.2,7.5,89.1,7.6,1.7,10.9,85.0,7.9,1.9,8.1,87.7,7.1,8.7,19.6,68.1
125,A027866,MOG0095,2018JJ00,7.8,1.4,5.7,90.8,7.8,1.0,7.8,89.1,7.6,2.1,11.7,83.7,7.9,2.4,8.3,87.0,7.1,8.8,19.6,68.1
126,A027866,MOG0095,2019JJ00,7.9,1.2,4.9,91.9,7.8,1.0,7.0,89.9,7.6,2.1,11.3,84.0,8.0,2.1,7.6,87.9,7.1,7.9,19.5,69.0
127,A027866,MOG0095,2020JJ00,7.8,1.4,6.3,90.2,7.8,1.2,7.6,88.9,7.6,2.2,11.3,83.9,7.9,2.4,8.5,86.6,7.1,8.5,20.3,67.6
128,A027866,MOG0095,2021JJ00,7.7,1.8,6.5,89.3,7.7,1.6,9.2,86.6,7.6,2.3,11.5,83.4,7.7,3.5,10.1,83.5,7.1,8.8,16.9,70.6
129,A027866,MOG0095,2022JJ00,7.8,1.1,7.5,89.3,7.7,1.3,9.8,86.6,7.9,0.9,8.3,88.7,7.8,2.3,10.8,84.5,7.0,8.9,20.9,66.7
130,A027866,MOG0095,2023JJ00,,,,,,,,,,,,,,,,,,,,
131,A027866,MOG0095,2024JJ00,,,,,,,,,,,,,,,,,,,,
132,A027866,MBG0095,2013JJ00,7.9,1.9,8.1,92.2,7.8,2.4,11.3,88.9,7.8,2.4,12.3,87.7,8.2,2.5,8.0,91.7,7.2,10.4,22.2,71.0
133,A027866,MBG0095,2014JJ00,7.9,1.6,7.2,93.2,7.8,2.1,9.6,90.6,7.8,2.3,11.2,88.9,8.2,2.0,8.0,92.0,7.2,10.5,22.1,70.9
134,A027866,MBG0095,2015JJ00,7.9,2.0,7.4,92.7,7.8,2.4,10.1,89.8,7.7,3.0,12.8,86.8,8.1,2.5,8.7,91.0,7.2,11.5,21.2,70.8
135,A027866,MBG0095,2016JJ00,8.0,2.0,7.0,93.1,7.8,2.3,9.4,90.7,7.7,2.5,14.2,85.9,8.1,2.6,8.8,90.9,7.1,10.9,22.3,70.4
136,A027866,MBG0095,2017JJ00,7.9,1.9,7.8,92.5,7.9,2.0,9.3,91.0,7.7,2.6,12.8,87.1,8.0,2.9,9.9,89.7,7.2,10.5,22.1,71.0
137,A027866,MBG0095,2018JJ00,7.9,2.3,7.3,92.6,7.8,1.7,9.5,91.0,7.7,3.1,13.7,85.9,8.0,3.5,10.1,89.0,7.2,10.6,22.0,70.9
