ID,Zorgaanbieders,Zorgfinanciering,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
44,T001102,A019151,2017JJ00,18478.0
45,T001102,A019151,2018JJ00,19647.0
46,T001102,A019151,2019JJ00,21082.0
47,T001102,A019151,2020JJ00,27366.0
48,T001102,A019151,2021JJ00,30357.0
49,T001102,A019151,2022JJ00,28007.0
50,T001102,A019154,1998JJ00,11385.0
51,T001102,A019154,1999JJ00,12205.0
52,T001102,A019154,2000JJ00,13202.0
53,T001102,A019154,2001JJ00,14863.0
54,T001102,A019154,2002JJ00,17010.0
55,T001102,A019154,2003JJ00,18679.0
56,T001102,A019154,2004JJ00,19388.0
57,T001102,A019154,2005JJ00,20169.0
58,T001102,A019154,2006JJ00,21425.0
59,T001102,A019154,2007JJ00,21450.0
60,T001102,A019154,2008JJ00,20231.0
61,T001102,A019154,2009JJ00,21509.0
62,T001102,A019154,2010JJ00,22522.0
63,T001102,A019154,2011JJ00,23275.0
64,T001102,A019154,2012JJ00,25590.0
65,T001102,A019154,2013JJ00,24968.0
66,T001102,A019154,2014JJ00,25194.0
67,T001102,A019154,2015JJ00,17887.0
68,T001102,A019154,2016JJ00,18145.0
69,T001102,A019154,2017JJ00,18612.0
70,T001102,A019154,2018JJ00,19562.0
71,T001102,A019154,2019JJ00,21758.0
72,T001102,A019154,2020JJ00,23912.0
73,T001102,A019154,2021JJ00,26171.0
74,T001102,A019154,2022JJ00,27865.0
75,T001102,A019155,1998JJ00,11545.0
76,T001102,A019155,1999JJ00,12032.0
77,T001102,A019155,2000JJ00,12816.0
78,T001102,A019155,2001JJ00,14414.0
79,T001102,A019155,2002JJ00,15883.0
80,T001102,A019155,2003JJ00,16942.0
81,T001102,A019155,2004JJ00,17045.0
82,T001102,A019155,2005JJ00,17533.0
83,T001102,A019155,2006JJ00,
84,T001102,A019155,2007JJ00,
85,T001102,A019155,2008JJ00,
86,T001102,A019155,2009JJ00,
87,T001102,A019155,2010JJ00,
88,T001102,A019155,2011JJ00,
89,T001102,A019155,2012JJ00,
90,T001102,A019155,2013JJ00,
91,T001102,A019155,2014JJ00,
92,T001102,A019155,2015JJ00,
93,T001102,A019155,2016JJ00,
94,T001102,A019155,2017JJ00,
95,T001102,A019155,2018JJ00,
96,T001102,A019155,2019JJ00,
97,T001102,A019155,2020JJ00,
98,T001102,A019155,2021JJ00,
99,T001102,A019155,2022JJ00,
100,T001102,A019156,1998JJ00,
101,T001102,A019156,1999JJ00,
102,T001102,A019156,2000JJ00,
103,T001102,A019156,2001JJ00,
104,T001102,A019156,2002JJ00,
105,T001102,A019156,2003JJ00,
106,T001102,A019156,2004JJ00,
107,T001102,A019156,2005JJ00,
108,T001102,A019156,2006JJ00,26546.0
109,T001102,A019156,2007JJ00,27651.0
110,T001102,A019156,2008JJ00,31240.0
111,T001102,A019156,2009JJ00,32947.0
112,T001102,A019156,2010JJ00,34481.0
113,T001102,A019156,2011JJ00,35112.0
114,T001102,A019156,2012JJ00,34735.0
115,T001102,A019156,2013JJ00,36348.0
116,T001102,A019156,2014JJ00,37166.0
117,T001102,A019156,2015JJ00,40718.0
118,T001102,A019156,2016JJ00,41732.0
119,T001102,A019156,2017JJ00,42894.0
120,T001102,A019156,2018JJ00,44501.0
121,T001102,A019156,2019JJ00,46773.0
122,T001102,A019156,2020JJ00,48256.0
123,T001102,A019156,2021JJ00,50013.0
124,T001102,A019156,2022JJ00,51789.0
125,T001102,A019158,1998JJ00,5439.0
126,T001102,A019158,1999JJ00,6004.0
127,T001102,A019158,2000JJ00,6263.0
128,T001102,A019158,2001JJ00,7016.0
129,T001102,A019158,2002JJ00,8051.0
130,T001102,A019158,2003JJ00,8688.0
131,T001102,A019158,2004JJ00,9649.0
132,T001102,A019158,2005JJ00,10159.0
133,T001102,A019158,2006JJ00,3414.0
134,T001102,A019158,2007JJ00,3663.0
135,T001102,A019158,2008JJ00,3668.0
136,T001102,A019158,2009JJ00,3943.0
137,T001102,A019158,2010JJ00,3986.0
138,T001102,A019158,2011JJ00,4337.0
139,T001102,A019158,2012JJ00,4452.0
140,T001102,A019158,2013JJ00,4250.0
141,T001102,A019158,2014JJ00,4303.0
142,T001102,A019158,2015JJ00,4225.0
143,T001102,A019158,2016JJ00,4464.0
144,T001102,A019158,2017JJ00,4356.0
145,T001102,A019158,2018JJ00,4360.0
146,T001102,A019158,2019JJ00,4357.0
147,T001102,A019158,2020JJ00,3848.0
148,T001102,A019158,2021JJ00,4120.0
149,T001102,A019158,2022JJ00,4130.0
150,T001102,A019163,1998JJ00,4245.0
151,T001102,A019163,1999JJ00,4586.0
152,T001102,A019163,2000JJ00,4838.0
153,T001102,A019163,2001JJ00,5105.0
154,T001102,A019163,2002JJ00,5361.0
155,T001102,A019163,2003JJ00,5701.0
156,T001102,A019163,2004JJ00,6215.0
157,T001102,A019163,2005JJ00,6317.0
158,T001102,A019163,2006JJ00,5708.0
159,T001102,A019163,2007JJ00,5955.0
160,T001102,A019163,2008JJ00,7411.0
161,T001102,A019163,2009JJ00,7285.0
162,T001102,A019163,2010JJ00,7730.0
163,T001102,A019163,2011JJ00,8449.0
164,T001102,A019163,2012JJ00,9415.0
165,T001102,A019163,2013JJ00,10640.0
166,T001102,A019163,2014JJ00,10568.0
167,T001102,A019163,2015JJ00,10488.0
168,T001102,A019163,2016JJ00,10639.0
169,T001102,A019163,2017JJ00,10632.0
170,T001102,A019163,2018JJ00,10853.0
171,T001102,A019163,2019JJ00,11191.0
172,T001102,A019163,2020JJ00,10681.0
173,T001102,A019163,2021JJ00,11613.0
174,T001102,A019163,2022JJ00,12879.0
175,T001102,A019164,1998JJ00,2637.0
176,T001102,A019164,1999JJ00,2912.0
177,T001102,A019164,2000JJ00,3153.0
178,T001102,A019164,2001JJ00,3391.0
179,T001102,A019164,2002JJ00,3585.0
180,T001102,A019164,2003JJ00,3915.0
181,T001102,A019164,2004JJ00,4265.0
182,T001102,A019164,2005JJ00,4313.0
183,T001102,A019164,2006JJ00,3798.0
184,T001102,A019164,2007JJ00,4095.0
185,T001102,A019164,2008JJ00,4175.0
186,T001102,A019164,2009JJ00,3886.0
187,T001102,A019164,2010JJ00,4208.0
188,T001102,A019164,2011JJ00,4696.0
189,T001102,A019164,2012JJ00,5237.0
190,T001102,A019164,2013JJ00,5329.0
191,T001102,A019164,2014JJ00,5109.0
192,T001102,A019164,2015JJ00,5247.0
193,T001102,A019164,2016JJ00,5329.0
194,T001102,A019164,2017JJ00,5388.0
195,T001102,A019164,2018JJ00,5626.0
196,T001102,A019164,2019JJ00,5948.0
197,T001102,A019164,2020JJ00,5496.0
198,T001102,A019164,2021JJ00,6249.0
199,T001102,A019164,2022JJ00,7285.0
200,T001102,A019165,1998JJ00,1608.0
201,T001102,A019165,1999JJ00,1674.0
202,T001102,A019165,2000JJ00,1685.0
203,T001102,A019165,2001JJ00,1714.0
204,T001102,A019165,2002JJ00,1776.0
205,T001102,A019165,2003JJ00,1786.0
206,T001102,A019165,2004JJ00,1950.0
207,T001102,A019165,2005JJ00,2004.0
208,T001102,A019165,2006JJ00,1911.0
209,T001102,A019165,2007JJ00,1860.0
210,T001102,A019165,2008JJ00,3237.0
211,T001102,A019165,2009JJ00,3398.0
212,T001102,A019165,2010JJ00,3523.0
213,T001102,A019165,2011JJ00,3752.0
214,T001102,A019165,2012JJ00,4178.0
215,T001102,A019165,2013JJ00,5311.0
216,T001102,A019165,2014JJ00,5459.0
217,T001102,A019165,2015JJ00,5241.0
218,T001102,A019165,2016JJ00,5310.0
219,T001102,A019165,2017JJ00,5244.0
220,T001102,A019165,2018JJ00,5228.0
221,T001102,A019165,2019JJ00,5243.0
222,T001102,A019165,2020JJ00,5184.0
223,T001102,A019165,2021JJ00,5364.0
224,T001102,A019165,2022JJ00,5595.0
225,T001102,A044427,1998JJ00,1284.0
226,T001102,A044427,1999JJ00,1435.0
227,T001102,A044427,2000JJ00,1638.0
228,T001102,A044427,2001JJ00,1853.0
229,T001102,A044427,2002JJ00,2298.0
230,T001102,A044427,2003JJ00,2499.0
231,T001102,A044427,2004JJ00,2570.0
232,T001102,A044427,2005JJ00,2312.0
233,T001102,A044427,2006JJ00,2075.0
234,T001102,A044427,2007JJ00,1474.0
235,T001102,A044427,2008JJ00,1514.0
236,T001102,A044427,2009JJ00,1641.0
237,T001102,A044427,2010JJ00,1678.0
238,T001102,A044427,2011JJ00,1693.0
239,T001102,A044427,2012JJ00,1757.0
240,T001102,A044427,2013JJ00,1670.0
241,T001102,A044427,2014JJ00,1751.0
242,T001102,A044427,2015JJ00,1846.0
243,T001102,A044427,2016JJ00,1928.0
244,T001102,A044427,2017JJ00,1999.0
245,T001102,A044427,2018JJ00,2107.0
246,T001102,A044427,2019JJ00,2267.0
247,T001102,A044427,2020JJ00,2320.0
248,T001102,A044427,2021JJ00,2520.0
249,T001102,A044427,2022JJ00,2635.0
250,A041723,T001103,1998JJ00,33875.0
251,A041723,T001103,1999JJ00,36195.0
252,A041723,T001103,2000JJ00,38583.0
253,A041723,T001103,2001JJ00,43225.0
254,A041723,T001103,2002JJ00,48745.0
255,A041723,T001103,2003JJ00,52582.0
256,A041723,T001103,2004JJ00,54700.0
257,A041723,T001103,2005JJ00,56571.0
258,A041723,T001103,2006JJ00,59152.0
259,A041723,T001103,2007JJ00,62404.0
260,A041723,T001103,2008JJ00,66592.0
261,A041723,T001103,2009JJ00,70213.0
262,A041723,T001103,2010JJ00,73402.0
263,A041723,T001103,2011JJ00,75593.0
264,A041723,T001103,2012JJ00,78309.0
265,A041723,T001103,2013JJ00,78957.0
266,A041723,T001103,2014JJ00,80116.0
267,A041723,T001103,2015JJ00,80118.0
268,A041723,T001103,2016JJ00,82021.0
269,A041723,T001103,2017JJ00,83932.0
270,A041723,T001103,2018JJ00,87334.0
271,A041723,T001103,2019JJ00,92804.0
272,A041723,T001103,2020JJ00,100538.0
273,A041723,T001103,2021JJ00,107943.0
274,A041723,T001103,2022JJ00,108279.0
275,A041723,A019151,1998JJ00,2077.0
276,A041723,A019151,1999JJ00,2260.0
277,A041723,A019151,2000JJ00,2392.0
278,A041723,A019151,2001JJ00,2803.0
279,A041723,A019151,2002JJ00,3300.0
280,A041723,A019151,2003JJ00,3539.0
281,A041723,A019151,2004JJ00,3575.0
282,A041723,A019151,2005JJ00,3739.0
283,A041723,A019151,2006JJ00,3943.0
284,A041723,A019151,2007JJ00,5531.0
285,A041723,A019151,2008JJ00,5706.0
286,A041723,A019151,2009JJ00,6179.0
287,A041723,A019151,2010JJ00,6493.0
288,A041723,A019151,2011JJ00,6632.0
289,A041723,A019151,2012JJ00,6680.0
290,A041723,A019151,2013JJ00,5582.0
291,A041723,A019151,2014JJ00,5473.0
292,A041723,A019151,2015JJ00,8826.0
293,A041723,A019151,2016JJ00,8907.0
294,A041723,A019151,2017JJ00,9305.0
295,A041723,A019151,2018JJ00,9906.0
296,A041723,A019151,2019JJ00,10681.0
297,A041723,A019151,2020JJ00,15453.0
298,A041723,A019151,2021JJ00,17801.0
299,A041723,A019151,2022JJ00,14088.0
300,A041723,A019154,1998JJ00,11286.0
301,A041723,A019154,1999JJ00,12090.0
302,A041723,A019154,2000JJ00,13060.0
303,A041723,A019154,2001JJ00,14692.0
304,A041723,A019154,2002JJ00,16801.0
305,A041723,A019154,2003JJ00,18454.0
306,A041723,A019154,2004JJ00,19144.0
307,A041723,A019154,2005JJ00,19870.0
308,A041723,A019154,2006JJ00,20930.0
309,A041723,A019154,2007JJ00,21066.0
310,A041723,A019154,2008JJ00,19787.0
311,A041723,A019154,2009JJ00,21042.0
312,A041723,A019154,2010JJ00,22005.0
313,A041723,A019154,2011JJ00,22707.0
314,A041723,A019154,2012JJ00,24946.0
315,A041723,A019154,2013JJ00,24271.0
316,A041723,A019154,2014JJ00,24482.0
317,A041723,A019154,2015JJ00,17519.0
318,A041723,A019154,2016JJ00,17804.0
319,A041723,A019154,2017JJ00,18212.0
320,A041723,A019154,2018JJ00,19139.0
321,A041723,A019154,2019JJ00,21300.0
322,A041723,A019154,2020JJ00,23400.0
323,A041723,A019154,2021JJ00,25499.0
324,A041723,A019154,2022JJ00,27130.0
325,A041723,A019155,1998JJ00,11072.0
326,A041723,A019155,1999JJ00,11551.0
327,A041723,A019155,2000JJ00,12333.0
328,A041723,A019155,2001JJ00,13901.0
329,A041723,A019155,2002JJ00,15415.0
330,A041723,A019155,2003JJ00,16451.0
331,A041723,A019155,2004JJ00,16555.0
332,A041723,A019155,2005JJ00,17025.0
333,A041723,A019155,2006JJ00,
334,A041723,A019155,2007JJ00,
335,A041723,A019155,2008JJ00,
336,A041723,A019155,2009JJ00,
337,A041723,A019155,2010JJ00,
338,A041723,A019155,2011JJ00,
339,A041723,A019155,2012JJ00,
340,A041723,A019155,2013JJ00,
341,A041723,A019155,2014JJ00,
342,A041723,A019155,2015JJ00,
343,A041723,A019155,2016JJ00,
344,A041723,A019155,2017JJ00,
345,A041723,A019155,2018JJ00,
346,A041723,A019155,2019JJ00,
347,A041723,A019155,2020JJ00,
348,A041723,A019155,2021JJ00,
349,A041723,A019155,2022JJ00,
350,A041723,A019156,1998JJ00,
351,A041723,A019156,1999JJ00,
352,A041723,A019156,2000JJ00,
353,A041723,A019156,2001JJ00,
354,A041723,A019156,2002JJ00,
355,A041723,A019156,2003JJ00,
356,A041723,A019156,2004JJ00,
357,A041723,A019156,2005JJ00,
358,A041723,A019156,2006JJ00,25288.0
359,A041723,A019156,2007JJ00,26414.0
360,A041723,A019156,2008JJ00,30117.0
361,A041723,A019156,2009JJ00,31925.0
362,A041723,A019156,2010JJ00,33456.0
363,A041723,A019156,2011JJ00,33980.0
364,A041723,A019156,2012JJ00,33562.0
365,A041723,A019156,2013JJ00,35164.0
366,A041723,A019156,2014JJ00,35906.0
367,A041723,A019156,2015JJ00,39487.0
368,A041723,A019156,2016JJ00,40561.0
369,A041723,A019156,2017JJ00,41751.0
370,A041723,A019156,2018JJ00,43391.0
371,A041723,A019156,2019JJ00,45630.0
372,A041723,A019156,2020JJ00,47174.0
373,A041723,A019156,2021JJ00,48922.0
374,A041723,A019156,2022JJ00,50624.0
375,A041723,A019158,1998JJ00,4810.0
376,A041723,A019158,1999JJ00,5321.0
377,A041723,A019158,2000JJ00,5543.0
378,A041723,A019158,2001JJ00,6213.0
379,A041723,A019158,2002JJ00,7169.0
380,A041723,A019158,2003JJ00,7779.0
381,A041723,A019158,2004JJ00,8687.0
382,A041723,A019158,2005JJ00,9061.0
383,A041723,A019158,2006JJ00,2904.0
384,A041723,A019158,2007JJ00,3146.0
385,A041723,A019158,2008JJ00,3154.0
386,A041723,A019158,2009JJ00,3384.0
387,A041723,A019158,2010JJ00,3407.0
388,A041723,A019158,2011JJ00,3736.0
389,A041723,A019158,2012JJ00,3854.0
390,A041723,A019158,2013JJ00,3648.0
391,A041723,A019158,2014JJ00,3706.0
392,A041723,A019158,2015JJ00,3689.0
393,A041723,A019158,2016JJ00,3948.0
394,A041723,A019158,2017JJ00,3852.0
395,A041723,A019158,2018JJ00,3858.0
396,A041723,A019158,2019JJ00,3855.0
397,A041723,A019158,2020JJ00,3371.0
398,A041723,A019158,2021JJ00,3642.0
399,A041723,A019158,2022JJ00,3625.0
400,A041723,A019163,1998JJ00,3797.0
401,A041723,A019163,1999JJ00,4022.0
402,A041723,A019163,2000JJ00,4221.0
403,A041723,A019163,2001JJ00,4450.0
404,A041723,A019163,2002JJ00,4665.0
405,A041723,A019163,2003JJ00,4891.0
406,A041723,A019163,2004JJ00,5290.0
407,A041723,A019163,2005JJ00,5452.0
408,A041723,A019163,2006JJ00,4811.0
409,A041723,A019163,2007JJ00,4903.0
410,A041723,A019163,2008JJ00,6440.0
411,A041723,A019163,2009JJ00,6180.0
412,A041723,A019163,2010JJ00,6508.0
413,A041723,A019163,2011JJ00,6990.0
414,A041723,A019163,2012JJ00,7648.0
415,A041723,A019163,2013JJ00,8766.0
416,A041723,A019163,2014JJ00,8941.0
417,A041723,A019163,2015JJ00,8899.0
418,A041723,A019163,2016JJ00,9024.0
419,A041723,A019163,2017JJ00,8967.0
420,A041723,A019163,2018JJ00,9100.0
421,A041723,A019163,2019JJ00,9249.0
422,A041723,A019163,2020JJ00,8992.0
423,A041723,A019163,2021JJ00,9758.0
424,A041723,A019163,2022JJ00,10399.0
425,A041723,A019164,1998JJ00,2189.0
426,A041723,A019164,1999JJ00,2348.0
427,A041723,A019164,2000JJ00,2536.0
428,A041723,A019164,2001JJ00,2736.0
429,A041723,A019164,2002JJ00,2889.0
430,A041723,A019164,2003JJ00,3105.0
431,A041723,A019164,2004JJ00,3341.0
432,A041723,A019164,2005JJ00,3448.0
433,A041723,A019164,2006JJ00,2901.0
434,A041723,A019164,2007JJ00,3059.0
435,A041723,A019164,2008JJ00,3218.0
436,A041723,A019164,2009JJ00,2800.0
437,A041723,A019164,2010JJ00,3006.0
438,A041723,A019164,2011JJ00,3261.0
439,A041723,A019164,2012JJ00,3494.0
440,A041723,A019164,2013JJ00,3497.0
441,A041723,A019164,2014JJ00,3519.0
442,A041723,A019164,2015JJ00,3673.0
443,A041723,A019164,2016JJ00,3726.0
444,A041723,A019164,2017JJ00,3734.0
445,A041723,A019164,2018JJ00,3879.0
446,A041723,A019164,2019JJ00,4009.0
447,A041723,A019164,2020JJ00,3813.0
448,A041723,A019164,2021JJ00,4400.0
449,A041723,A019164,2022JJ00,4811.0
450,A041723,A019165,1998JJ00,1608.0
451,A041723,A019165,1999JJ00,1674.0
452,A041723,A019165,2000JJ00,1685.0
453,A041723,A019165,2001JJ00,1714.0
454,A041723,A019165,2002JJ00,1776.0
455,A041723,A019165,2003JJ00,1786.0
456,A041723,A019165,2004JJ00,1950.0
457,A041723,A019165,2005JJ00,2004.0
458,A041723,A019165,2006JJ00,1911.0
459,A041723,A019165,2007JJ00,1844.0
460,A041723,A019165,2008JJ00,3222.0
461,A041723,A019165,2009JJ00,3380.0
462,A041723,A019165,2010JJ00,3502.0
463,A041723,A019165,2011JJ00,3730.0
464,A041723,A019165,2012JJ00,4154.0
465,A041723,A019165,2013JJ00,5269.0
466,A041723,A019165,2014JJ00,5422.0
467,A041723,A019165,2015JJ00,5227.0
468,A041723,A019165,2016JJ00,5299.0
469,A041723,A019165,2017JJ00,5233.0
470,A041723,A019165,2018JJ00,5221.0
471,A041723,A019165,2019JJ00,5240.0
472,A041723,A019165,2020JJ00,5179.0
473,A041723,A019165,2021JJ00,5358.0
474,A041723,A019165,2022JJ00,5588.0
475,A041723,A044427,1998JJ00,833.0
476,A041723,A044427,1999JJ00,950.0
477,A041723,A044427,2000JJ00,1034.0
478,A041723,A044427,2001JJ00,1166.0
479,A041723,A044427,2002JJ00,1396.0
480,A041723,A044427,2003JJ00,1468.0
481,A041723,A044427,2004JJ00,1447.0
482,A041723,A044427,2005JJ00,1424.0
483,A041723,A044427,2006JJ00,1277.0
484,A041723,A044427,2007JJ00,1345.0
485,A041723,A044427,2008JJ00,1389.0
486,A041723,A044427,2009JJ00,1503.0
487,A041723,A044427,2010JJ00,1534.0
488,A041723,A044427,2011JJ00,1548.0
489,A041723,A044427,2012JJ00,1620.0
490,A041723,A044427,2013JJ00,1527.0
491,A041723,A044427,2014JJ00,1607.0
492,A041723,A044427,2015JJ00,1698.0
493,A041723,A044427,2016JJ00,1777.0
494,A041723,A044427,2017JJ00,1844.0
495,A041723,A044427,2018JJ00,1940.0
496,A041723,A044427,2019JJ00,2089.0
497,A041723,A044427,2020JJ00,2148.0
498,A041723,A044427,2021JJ00,2321.0
499,A041723,A044427,2022JJ00,2413.0
500,A041724,T001103,1998JJ00,9710.0
501,A041724,T001103,1999JJ00,10249.0
502,A041724,T001103,2000JJ00,10806.0
503,A041724,T001103,2001JJ00,12245.0
504,A041724,T001103,2002JJ00,13791.0
505,A041724,T001103,2003JJ00,14691.0
506,A041724,T001103,2004JJ00,15628.0
507,A041724,T001103,2005JJ00,16302.0
508,A041724,T001103,2006JJ00,17058.0
509,A041724,T001103,2007JJ00,18086.0
510,A041724,T001103,2008JJ00,19719.0
511,A041724,T001103,2009JJ00,21260.0
512,A041724,T001103,2010JJ00,22482.0
513,A041724,T001103,2011JJ00,22620.0
514,A041724,T001103,2012JJ00,23550.0
515,A041724,T001103,2013JJ00,24479.0
516,A041724,T001103,2014JJ00,24870.0
517,A041724,T001103,2015JJ00,25601.0
518,A041724,T001103,2016JJ00,26413.0
519,A041724,T001103,2017JJ00,26870.0
520,A041724,T001103,2018JJ00,27986.0
521,A041724,T001103,2019JJ00,29369.0
522,A041724,T001103,2020JJ00,31177.0
523,A041724,T001103,2021JJ00,32129.0
524,A041724,T001103,2022JJ00,33463.0
525,A041724,A019151,1998JJ00,485.0
526,A041724,A019151,1999JJ00,539.0
527,A041724,A019151,2000JJ00,575.0
528,A041724,A019151,2001JJ00,643.0
529,A041724,A019151,2002JJ00,694.0
530,A041724,A019151,2003JJ00,722.0
531,A041724,A019151,2004JJ00,773.0
532,A041724,A019151,2005JJ00,793.0
533,A041724,A019151,2006JJ00,805.0
534,A041724,A019151,2007JJ00,1447.0
535,A041724,A019151,2008JJ00,1525.0
536,A041724,A019151,2009JJ00,1679.0
537,A041724,A019151,2010JJ00,1742.0
538,A041724,A019151,2011JJ00,1842.0
539,A041724,A019151,2012JJ00,1941.0
540,A041724,A019151,2013JJ00,1166.0
541,A041724,A019151,2014JJ00,1182.0
542,A041724,A019151,2015JJ00,1286.0
543,A041724,A019151,2016JJ00,1292.0
544,A041724,A019151,2017JJ00,1323.0
545,A041724,A019151,2018JJ00,1364.0
546,A041724,A019151,2019JJ00,1444.0
547,A041724,A019151,2020JJ00,2423.0
548,A041724,A019151,2021JJ00,1986.0
549,A041724,A019151,2022JJ00,1836.0
550,A041724,A019154,1998JJ00,312.0
551,A041724,A019154,1999JJ00,351.0
552,A041724,A019154,2000JJ00,400.0
553,A041724,A019154,2001JJ00,411.0
554,A041724,A019154,2002JJ00,489.0
555,A041724,A019154,2003JJ00,535.0
556,A041724,A019154,2004JJ00,588.0
557,A041724,A019154,2005JJ00,655.0
558,A041724,A019154,2006JJ00,720.0
559,A041724,A019154,2007JJ00,837.0
560,A041724,A019154,2008JJ00,795.0
561,A041724,A019154,2009JJ00,816.0
562,A041724,A019154,2010JJ00,867.0
563,A041724,A019154,2011JJ00,753.0
564,A041724,A019154,2012JJ00,739.0
565,A041724,A019154,2013JJ00,653.0
566,A041724,A019154,2014JJ00,632.0
567,A041724,A019154,2015JJ00,447.0
568,A041724,A019154,2016JJ00,408.0
569,A041724,A019154,2017JJ00,439.0
570,A041724,A019154,2018JJ00,472.0
571,A041724,A019154,2019JJ00,521.0
572,A041724,A019154,2020JJ00,577.0
573,A041724,A019154,2021JJ00,603.0
574,A041724,A019154,2022JJ00,655.0
575,A041724,A019155,1998JJ00,6402.0
576,A041724,A019155,1999JJ00,6546.0
577,A041724,A019155,2000JJ00,6958.0
578,A041724,A019155,2001JJ00,7939.0
579,A041724,A019155,2002JJ00,8820.0
580,A041724,A019155,2003JJ00,9380.0
581,A041724,A019155,2004JJ00,9844.0
582,A041724,A019155,2005JJ00,10153.0
583,A041724,A019155,2006JJ00,
584,A041724,A019155,2007JJ00,
585,A041724,A019155,2008JJ00,
586,A041724,A019155,2009JJ00,
587,A041724,A019155,2010JJ00,
588,A041724,A019155,2011JJ00,
589,A041724,A019155,2012JJ00,
590,A041724,A019155,2013JJ00,
591,A041724,A019155,2014JJ00,
592,A041724,A019155,2015JJ00,
593,A041724,A019155,2016JJ00,
594,A041724,A019155,2017JJ00,
595,A041724,A019155,2018JJ00,
596,A041724,A019155,2019JJ00,
597,A041724,A019155,2020JJ00,
598,A041724,A019155,2021JJ00,
599,A041724,A019155,2022JJ00,
600,A041724,A019156,1998JJ00,
601,A041724,A019156,1999JJ00,
602,A041724,A019156,2000JJ00,
603,A041724,A019156,2001JJ00,
604,A041724,A019156,2002JJ00,
605,A041724,A019156,2003JJ00,
606,A041724,A019156,2004JJ00,
607,A041724,A019156,2005JJ00,
608,A041724,A019156,2006JJ00,14895.0
609,A041724,A019156,2007JJ00,15149.0
610,A041724,A019156,2008JJ00,16027.0
611,A041724,A019156,2009JJ00,17312.0
612,A041724,A019156,2010JJ00,18310.0
613,A041724,A019156,2011JJ00,18359.0
614,A041724,A019156,2012JJ00,18885.0
615,A041724,A019156,2013JJ00,20286.0
616,A041724,A019156,2014JJ00,20551.0
617,A041724,A019156,2015JJ00,21233.0
618,A041724,A019156,2016JJ00,21857.0
619,A041724,A019156,2017JJ00,22262.0
620,A041724,A019156,2018JJ00,23192.0
621,A041724,A019156,2019JJ00,24351.0
622,A041724,A019156,2020JJ00,25281.0
623,A041724,A019156,2021JJ00,26368.0
624,A041724,A019156,2022JJ00,27673.0
625,A041724,A019158,1998JJ00,2242.0
626,A041724,A019158,1999JJ00,2524.0
627,A041724,A019158,2000JJ00,2553.0
628,A041724,A019158,2001JJ00,2895.0
629,A041724,A019158,2002JJ00,3389.0
630,A041724,A019158,2003JJ00,3630.0
631,A041724,A019158,2004JJ00,3976.0
632,A041724,A019158,2005JJ00,4215.0
633,A041724,A019158,2006JJ00,184.0
634,A041724,A019158,2007JJ00,191.0
635,A041724,A019158,2008JJ00,193.0
636,A041724,A019158,2009JJ00,196.0
637,A041724,A019158,2010JJ00,229.0
638,A041724,A019158,2011JJ00,252.0
639,A041724,A019158,2012JJ00,269.0
640,A041724,A019158,2013JJ00,192.0
641,A041724,A019158,2014JJ00,228.0
642,A041724,A019158,2015JJ00,206.0
643,A041724,A019158,2016JJ00,236.0
644,A041724,A019158,2017JJ00,220.0
645,A041724,A019158,2018JJ00,221.0
646,A041724,A019158,2019JJ00,221.0
