ID,RegioS,Perioden,Mestproductie_1,StikstofuitscheidingN_2,TotaalStikstofverliezenN_3,AmmoniakemissieN_4,OverigeGasvormigeStikstofverliezenN_5,SpuiwaterLuchtwassersN_6,StikstofInOpgeslagenMestEnWeidemest_7,FosfaatuitscheidingP2O5_8,StikstofInDierlijkeMestPerHectare_9,FosfaatInDierlijkeMestPerHectare_10,AangevoerdeMest_11,StikstofInAangevoerdeMestN_12,FosfaatInAangevoerdeMestP2O5_13,AfgevoerdeMest_14,StikstofInAfgevoerdeMestN_15,FosfaatInAfgevoerdeMestP2O5_16,GebruikteMest_17,StikstofInGebruikteMestN_18,FosfaatInGebruikteMestP2O5_19,StikstofInGebruikteMestPerHectare_20,FosfaatInGebruikteMestPerHectare_21,TotaalBemestbareCultuurgrond_22,Grasland_23,Snijmais_24,OverigBouwland_25,PlaatsingsruimteStikstofN_26,PlaatsingsruimteFosfaatP2O5_27,RestPlaatsingsruimteStikstofN_28,RestPlaatsingsruimteFosfaatP2O5_29,BenuttingsgraadStikstof_30,BenuttingsgraadFosfaat_31
16,NL01  ,2010JJ00,72172,489700,68400,57100,8800,2500,421300,178900,226,96,14489,81700,41100,18909,154000,81400,67752,349000,138600,187,74,1862012,995338,228840,637834,400300.0,158800,51300.0,20200,87.0,87
17,NL01  ,2011JJ00,71434,477400,67900,54600,8700,4600,409500,169700,222,92,15434,91400,43600,19702,162700,84100,67166,338200,129200,183,70,1848144,988262,227814,632068,397300.0,154300,59100.0,25000,85.0,84
18,NL01  ,2012JJ00,71207,460900,65000,51700,8300,5000,395900,160600,216,88,15924,95100,42400,20392,169100,83000,66739,321900,120000,176,65,1831737,986524,230766,614447,394200.0,141800,72300.0,21900,82.0,85
19,NL01  ,2013JJ00,73155,472700,64200,49300,8400,6500,408500,165600,222,90,15764,91700,41300,20521,166900,82500,68399,333200,124500,181,68,1837754,982948,229739,625067,394400.0,135600,61200.0,11200,84.0,92
20,NL01  ,2014JJ00,74089,486700,66000,50700,8600,6700,420700,171700,230,94,17188,95100,42200,21891,169700,84400,69387,346100,129400,189,71,1829529,993462,225644,610423,383200.0,137500,37100.0,8100,90.0,94
21,NL01  ,2015JJ00,76326,497500,67600,51800,8800,7100,429800,180100,234,98,18785,97800,42100,24530,180100,90000,70580,347600,132200,189,72,1836538,1007989,223855,604694,390700.0,135100,43100.0,2900,89.0,98
22,NL01  ,2016JJ00,78211,504300,68500,52100,8800,7600,435800,175200,244,98,19251,97600,39200,25624,182500,90200,71837,351000,124100,196,69,1786982,975150,206624,605208,384900.0,134300,33900.0,10100,91.0,92
23,NL01  ,2017JJ00,77878,512000,69500,52700,9000,7800,442500,169000,248,95,19724,108300,41600,25922,193000,91500,71680,357900,119200,201,67,1780912,962955,204960,612998,385300.0,135400,27500.0,16200,93.0,88
24,NL01  ,2018JJ00,75163,503400,68900,50700,9100,9100,434500,161800,240,89,19813,104300,39800,25259,181400,85500,69718,357400,116100,197,64,1813377,987057,205274,621046,385400.0,134700,28100.0,18600,93.0,86
25,NL01  ,2019JJ00,74602,489700,65800,48000,8600,9200,423900,155500,235,86,20054,106100,39900,25519,187700,86900,69137,342300,108500,189,60,1806626,983405,186434,636787,383600.0,133500,41400.0,25100,89.0,81
26,NL01  ,2020JJ00,74328,489400,66000,47800,8700,9500,423400,150700,235,84,20524,109500,39700,25816,188000,85100,69037,344800,105300,191,58,1804373,977538,195040,631795,376600.0,137900,31800.0,32500,92.0,76
27,NL01  ,2021JJ00,73462,471000,63300,45700,8300,9400,407600,148000,226,82,20728,108600,39400,25490,182400,80700,68701,333900,106700,185,59,1801357,983577,185232,632548,375800.0,138600,41900.0,31900,89.0,77
28,NL01  ,2022JJ00,73538,467100,62800,44800,8100,9900,404300,150400,225,84,21568,113800,42600,26191,187100,82800,68916,331000,110200,185,61,1793732,969571,182023,642139,372500.0,137400,41600.0,27200,89.0,80
29,NL01  ,2023JJ00,74651,463500,60100,43200,8100,8800,403500,147500,225,82,20924,105800,38200,25453,175300,77500,70123,334000,108200,186,60,1792852,957765,179323,655765,350100.0,133400,16100.0,25200,95.0,81
30,LD01  ,1994JJ00,16723,136370,12200,10070,2140,0,124160,38940,221,69,2264,23180,12110,967,9930,5130,18020,137410,45920,244,82,562598,321614,30445,210540,,95210,,49280,,48
31,LD01  ,1995JJ00,16840,137260,12280,10150,2130,0,124980,38460,225,69,2255,22220,10970,950,10140,4810,18145,137070,44620,247,80,555257,320026,29841,205390,,73880,,29260,,60
32,LD01  ,1996JJ00,16629,134350,11850,9830,2020,0,122500,34480,220,62,2193,23810,11530,876,9650,4450,17945,136660,41550,245,75,557365,325491,31641,200233,,69450,,27890,,60
33,LD01  ,1997JJ00,15966,133060,11790,9750,2050,0,121270,35090,221,64,2101,22020,11060,814,8460,4000,17253,134840,42150,245,77,549797,321087,33864,194846,,68500,,26350,,62
34,LD01  ,1998JJ00,15992,126890,11370,9370,2000,0,115520,36230,209,66,1995,18420,11630,909,8270,5010,17079,125670,42850,228,78,552162,321718,32567,197877,270360.0,62800,144680.0,19960,46.0,68
35,LD01  ,1999JJ00,16068,123540,11460,9500,1960,0,112080,38900,202,70,2678,23760,14240,950,9460,5450,17796,126380,47690,228,86,554053,323602,37351,193100,269690.0,63030,143310.0,15340,47.0,76
36,LD01  ,2000JJ00,16419,118090,10660,8780,1880,0,107430,37230,193,67,2330,18870,11710,784,7400,4680,17965,118900,44260,214,80,555990,328126,33498,194366,254070.0,60520,135180.0,16260,47.0,73
37,LD01  ,2001JJ00,16870,120980,10690,8750,1940,0,110290,37960,200,69,2372,18280,11370,883,7820,4810,18358,120750,44520,219,81,551957,325882,34425,191650,234150.0,58450,113400.0,13940,52.0,76
38,LD01  ,2002JJ00,16502,115760,10930,9030,1900,0,104830,36050,189,65,2358,17090,10940,843,7830,5000,18018,114090,42000,205,76,555703,325577,37573,192553,225860.0,56700,111770.0,14700,51.0,74
39,LD01  ,2003JJ00,16309,112790,10740,8870,1870,0,102050,36180,184,65,2147,16430,10580,843,7240,4480,17614,111240,42280,201,76,554694,325372,38842,190479,212040.0,52050,100800.0,9760,52.0,81
40,LD01  ,2004JJ00,16645,107330,10480,8700,1790,0,96840,34370,175,62,1992,16020,9950,767,7080,4290,17870,105790,40020,191,72,554922,323904,41902,189116,210220.0,53180,104430.0,13160,50.0,75
41,LD01  ,2005JJ00,16468,108620,10760,8910,1800,50,97870,35210,177,64,1951,18900,10300,794,8950,4630,17625,107820,40880,195,74,554036,322130,44545,187361,203410.0,50640,95590.0,9760,53.0,81
42,LD01  ,2006JJ00,16290,106100,10580,8790,1740,50,95520,34630,175,63,2826,21470,11360,1332,11390,5610,17783,105600,40380,193,74,546446,322654,43728,180064,120010.0,54510,14410.0,14140,88.0,74
43,LD01  ,2007JJ00,16305,106740,11070,9190,1810,70,95660,34560,175,63,3193,23940,12270,1495,14730,7100,18003,104870,39730,191,72,548052,320364,47272,180416,120420.0,52990,15550.0,13260,87.0,75
44,LD01  ,2008JJ00,16938,109340,11320,9410,1830,70,98030,36050,176,65,3644,24350,12450,1770,17090,8260,18812,105290,40240,189,72,556529,322946,52158,181426,122400.0,52150,17110.0,11910,86.0,77
45,LD01  ,2009JJ00,17275,107610,11290,9350,1870,70,96320,35360,174,64,3832,24150,12660,1985,18390,8860,19122,102080,39160,185,71,553212,324731,51766,176714,121830.0,51890,19750.0,12740,84.0,75
46,LD01  ,2010JJ00,17235,108760,11240,9240,1870,120,97520,36490,180,67,3705,21640,11210,2026,18230,8670,18914,100930,39030,187,72,540811,317816,48446,174548,119010.0,46800,18080.0,7770,85.0,83
47,LD01  ,2011JJ00,17002,104440,11020,8960,1830,220,93430,34210,174,64,3817,23480,11350,2126,19100,8960,18693,97800,36600,183,68,535669,315722,47270,172678,117970.0,45600,20170.0,9000,83.0,80
48,LD01  ,2012JJ00,17301,102960,10740,8680,1810,240,92220,33540,172,63,3787,23790,10700,2250,19910,8800,18838,96100,35440,180,66,535134,319238,47968,167928,118130.0,42530,22020.0,7090,81.0,83
49,LD01  ,2013JJ00,17923,107410,10990,8810,1880,300,96420,34800,179,65,3744,22930,10270,2361,20420,9120,19306,98930,35950,183,67,539242,321975,45106,172160,118870.0,41290,19940.0,5350,83.0,87
50,LD01  ,2014JJ00,18225,111820,11650,9360,1980,320,100170,36620,186,68,4194,23870,10500,2760,21710,9760,19659,102330,37350,190,70,537375,326005,43706,167665,118600.0,41700,16270.0,4350,86.0,90
51,LD01  ,2015JJ00,19386,115890,12250,9800,2070,380,103640,39560,193,74,4637,23830,10050,3377,25020,11300,20646,102460,38310,190,71,538080,328144,43886,166049,120390.0,41120,17940.0,2810,85.0,93
52,LD01  ,2016JJ00,20067,117960,12620,10080,2130,410,105340,37660,200,72,4989,24410,9540,3668,26470,11740,21388,103280,35460,196,67,526208,319191,40509,166508,119370.0,40900,16090.0,5440,87.0,87
53,LD01  ,2017JJ00,19775,119000,12900,10330,2170,400,106110,35940,202,68,5189,27660,10410,3673,26540,11340,21292,107220,35000,204,67,525751,314708,39842,171200,119960.0,41300,12730.0,6290,89.0,85
54,LD01  ,2018JJ00,19319,117180,12570,9980,2190,410,104610,33770,195,63,5181,27880,10320,3479,24560,10060,21022,107930,34030,202,64,535597,320319,40383,174894,119750.0,41060,11820.0,7030,90.0,83
55,LD01  ,2019JJ00,19459,116380,12460,9820,2140,500,103920,33230,195,62,5179,28280,10420,3498,25550,10580,21141,106650,33070,200,62,534252,320261,38675,175315,117220.0,40640,10570.0,7570,91.0,81
56,LD01  ,2020JJ00,19565,117530,12760,10040,2170,560,104780,32350,196,61,5310,28660,10160,3667,26260,10410,21208,107180,32100,201,60,533770,318932,41938,172899,116810.0,42790,9630.0,10690,92.0,75
57,LD01  ,2021JJ00,19496,113660,12320,9670,2090,560,101340,32670,190,61,5320,28580,10300,3693,25770,10330,21123,104150,32640,195,61,533781,320824,40115,172843,116610.0,43100,12460.0,10470,89.0,76
58,LD01  ,2022JJ00,19526,111080,11910,9290,2040,580,99170,33160,187,62,5622,30630,11260,3975,27480,10880,21173,102330,33530,192,63,531698,316853,38652,176193,115750.0,42720,13420.0,9190,88.0,78
59,LD01  ,2023JJ00,19931,110780,11610,9100,2040,470,99170,32240,187,61,5516,28350,10040,4053,26330,10310,21394,101190,31960,191,60,530504,312977,38347,179179,108260.0,41550,7070.0,9590,93.0,77
60,LD02  ,1994JJ00,29194,227930,31740,27760,3980,0,196190,77080,351,138,4787,38080,19040,6017,52170,26110,27964,182100,70010,326,125,558899,339515,92848,126536,,97650,,27640,,72
61,LD02  ,1995JJ00,29053,229750,31280,27320,3960,0,198460,73750,356,132,4859,37990,17820,6140,52560,24490,27772,183900,67070,330,120,557176,340060,88231,128884,,74890,,7820,,90
62,LD02  ,1996JJ00,28472,225790,30370,26600,3770,0,195430,67310,347,120,4743,37540,16850,5986,51070,22890,27230,181890,61270,323,109,562653,342251,89831,130571,,70450,,9180,,87
63,LD02  ,1997JJ00,28124,222760,31220,27400,3820,0,191540,69800,346,126,4502,36010,16410,5763,48120,22070,26864,179430,64150,324,116,553231,330299,93229,129703,,69110,,4970,,93
64,LD02  ,1998JJ00,27383,201770,28840,25250,3590,0,172930,67400,310,121,3521,23710,14350,5160,36740,22190,25745,159900,59560,287,107,557372,332100,89760,135512,275260.0,63510,115360.0,3950,58.0,94
65,LD02  ,1999JJ00,26276,192740,26880,23520,3350,0,165870,66250,299,119,4005,26140,15490,5587,40010,24300,24693,152000,57440,274,104,554451,325426,92929,136096,272170.0,63100,120170.0,5660,56.0,91
66,LD02  ,2000JJ00,26395,180350,24560,21390,3160,0,155790,63440,277,113,2992,19190,11360,4754,33880,20970,24634,141100,53830,251,96,562232,335030,84165,143037,258670.0,61250,117570.0,7420,55.0,88
67,LD02  ,2001JJ00,25793,176070,22950,19880,3070,0,153130,60850,279,111,3181,19140,11520,5021,34800,21910,23953,137470,50460,251,92,548017,321071,83029,143917,235950.0,58010,98480.0,7560,58.0,87
68,LD02  ,2002JJ00,24668,163310,22210,19250,2950,0,141100,56970,254,102,3081,17840,10930,4830,33630,21590,22918,125310,46310,225,83,556276,325670,87362,143245,228400.0,56750,103090.0,10450,55.0,82
69,LD02  ,2003JJ00,23893,155740,21300,18380,2920,0,134440,54590,244,99,2681,16390,9870,4545,30810,19480,22029,120020,44980,217,81,551926,323895,88428,139603,213940.0,51790,93920.0,6810,56.0,87
70,LD02  ,2004JJ00,24246,153050,21560,18720,2840,0,131480,53610,237,97,2613,16620,9720,4389,31490,19300,22469,116620,44030,210,79,555344,323843,91128,140373,213630.0,53220,97010.0,9190,55.0,83
71,LD02  ,2005JJ00,24139,156040,21990,18870,2860,260,134050,56020,245,102,2885,21620,11410,4584,38080,20840,22439,117600,46590,215,85,547673,315930,94438,137305,199120.0,50030,81520.0,3440,59.0,93
72,LD02  ,2006JJ00,23880,153790,22050,18950,2840,260,131750,56070,243,103,3234,19820,9850,5486,40800,22030,21628,110760,43890,204,81,543224,323439,86779,133006,120700.0,54260,9940.0,10370,92.0,81
73,LD02  ,2007JJ00,23823,157890,22950,19550,2970,440,134940,56370,249,104,3524,22460,10970,6248,52620,27820,21099,104780,39530,193,73,542321,323667,87044,131610,120910.0,52570,16130.0,13040,87.0,75
74,LD02  ,2008JJ00,24522,162620,23580,20150,2980,460,139040,58770,256,108,3692,21080,10230,6515,53490,28450,21699,106640,40550,197,75,542193,319690,93888,128615,120850.0,50880,14210.0,10330,88.0,80
75,LD02  ,2009JJ00,24993,158700,23320,19900,2970,450,135370,57740,251,107,3642,20610,10110,6897,54150,29040,21738,101840,38810,189,72,538748,318819,92454,127475,120290.0,50580,18450.0,11760,85.0,77
76,LD02  ,2010JJ00,24836,161020,23050,19290,2950,800,137970,59200,261,112,3775,20190,9860,6920,52730,27930,21691,105430,41130,199,78,529121,316640,87748,124733,118240.0,45870,12820.0,4740,89.0,90
77,LD02  ,2011JJ00,24473,157340,23080,18660,2930,1490,134260,56380,256,108,4086,22820,10720,7078,54890,28330,21482,102190,38760,195,74,524069,313392,87040,123637,117130.0,44720,14940.0,5960,87.0,87
78,LD02  ,2012JJ00,24145,148770,21670,17370,2730,1560,127100,52280,245,101,4313,24460,10990,7171,56110,27860,21287,95450,35410,184,68,518031,311183,87732,119117,115880.0,41590,20430.0,6170,82.0,85
79,LD02  ,2013JJ00,24884,152800,21480,16660,2760,2060,131320,54220,253,104,4315,24090,10950,7181,54650,26990,22019,100760,38180,194,74,518849,309632,87204,122012,115800.0,40090,15040.0,1910,87.0,95
80,LD02  ,2014JJ00,25199,158640,22240,17280,2870,2090,136400,56490,264,109,4574,24050,10730,7542,54430,27040,22230,106020,40180,205,78,516803,314021,84872,117910,109000.0,40760,2980.0,590,97.0,99
81,LD02  ,2015JJ00,25901,162170,22660,17570,2920,2160,139510,58830,267,113,4911,25150,10810,8451,59020,29320,22361,105650,40320,202,77,522075,322309,82955,116811,112560.0,40120,6910.0,-210,94.0,101
82,LD02  ,2016JJ00,26512,164800,22990,17750,2970,2270,141800,57760,279,114,4852,24280,9810,8746,58220,28650,22618,107860,38920,212,77,508381,314883,77400,116099,110730.0,40090,2870.0,1170,97.0,97
83,LD02  ,2017JJ00,26542,168230,23350,17980,3040,2340,144880,55990,286,111,4987,27290,10640,8799,61920,29110,22731,110250,37520,218,74,506616,311578,76664,118374,110780.0,40380,530.0,2860,100.0,93
84,LD02  ,2018JJ00,25346,164830,23200,17440,3070,2690,141630,53700,276,105,5079,27370,10480,8678,60540,28330,21747,108450,35860,212,70,512269,314195,77212,120862,110340.0,40340,1890.0,4480,98.0,89
85,LD02  ,2019JJ00,25346,160530,22210,16540,2950,2730,138320,51370,271,100,5083,27480,10260,8630,62160,28370,21799,103640,33270,203,65,511213,314422,71729,125061,112850.0,40010,9210.0,6740,92.0,83
86,LD02  ,2020JJ00,25170,160570,22190,16450,2960,2780,138380,49540,271,97,5267,28840,10410,8771,62500,27900,21667,104720,32050,205,63,509821,312441,73597,123783,108160.0,40980,3440.0,8940,97.0,78
87,LD02  ,2021JJ00,25022,155450,21450,15770,2820,2870,134000,48930,263,96,5330,28500,10420,8776,62390,27410,21575,100110,31950,197,63,508903,313830,71254,123819,108110.0,41070,8000.0,9130,93.0,78
88,LD02  ,2022JJ00,25208,156380,21610,15710,2830,3080,134770,50390,266,99,5561,29770,11190,9085,64100,28300,21684,100450,33280,198,66,506706,309489,69910,127307,106930.0,40720,6480.0,7440,94.0,82
89,LD02  ,2023JJ00,25585,155880,20790,15200,2810,2780,135090,49560,266,98,5392,28340,10330,8780,60200,26550,22197,103220,33340,203,66,507511,307140,68475,131896,100230.0,39680,-2990.0,6330,103.0,84
90,LD03  ,1994JJ00,12430,100410,9610,8000,1610,0,90800,29090,191,61,2786,26720,13150,1044,8880,4270,14171,108640,37980,228,80,476040,233451,12596,229993,,77330,,39350,,49
91,LD03  ,1995JJ00,12372,99680,9480,7890,1590,0,90200,28310,190,60,3038,28910,13530,1071,8910,4020,14339,110200,37820,233,80,473810,232921,13167,227722,,61440,,23610,,62
92,LD03  ,1996JJ00,12199,97750,9120,7620,1500,0,88630,25420,186,53,2670,28030,12820,1015,8490,3690,13853,108170,34540,228,73,475255,233639,14007,227610,,58120,,23580,,59
93,LD03  ,1997JJ00,11841,97580,9350,7800,1540,0,88230,26090,187,55,2276,23130,10860,977,7960,3530,13140,103410,33420,219,71,472594,231177,15400,226017,,57760,,24350,,58
94,LD03  ,1998JJ00,11831,93650,9090,7570,1510,0,84560,27160,178,57,1924,15970,10110,995,6320,3710,12760,94210,33560,199,71,474190,232628,15155,226407,222510.0,53280,128300.0,19720,42.0,63
95,LD03  ,1999JJ00,11562,87030,8480,7060,1420,0,78550,27380,166,58,2626,21700,13340,1060,7300,4340,13128,92950,36380,196,77,473408,230531,17150,225727,220440.0,53170,127500.0,16790,42.0,68
96,LD03  ,2000JJ00,11580,81790,7600,6270,1340,0,74190,25690,158,55,2337,18450,11470,835,5900,3550,13081,86730,33610,185,72,469668,230163,16080,223425,205250.0,50420,118520.0,16810,42.0,67
97,LD03  ,2001JJ00,11634,82120,7480,6130,1340,0,74650,25780,160,55,2586,18170,11630,953,6220,3740,13268,86590,33680,185,72,467234,229889,17169,220176,192310.0,49020,105720.0,15340,45.0,69
98,LD03  ,2002JJ00,11265,77200,7350,6050,1290,0,69850,24250,149,52,2138,14730,9720,907,5870,3700,12497,78720,30270,168,64,469832,229641,18051,222140,186760.0,47390,108050.0,17120,42.0,64
99,LD03  ,2003JJ00,10995,74660,7110,5850,1260,0,67550,23880,146,52,1824,13450,8950,897,5530,3400,11922,75470,29420,163,64,463119,227331,18531,217258,176230.0,43540,100760.0,14120,43.0,68
100,LD03  ,2004JJ00,11139,69860,6840,5640,1190,0,63020,22570,136,49,1838,14060,9040,842,5580,3430,12135,71510,28170,154,61,464149,229363,19050,215736,174330.0,44070,102830.0,15890,41.0,64
101,LD03  ,2005JJ00,11094,70610,6980,5740,1210,40,63630,23070,138,50,1864,18370,9940,843,6770,3550,12115,75230,29460,163,64,462068,228470,19544,214053,165630.0,41790,90400.0,12330,45.0,71
102,LD03  ,2006JJ00,10983,69210,6910,5700,1170,40,62290,22800,136,50,2570,16690,8820,1362,9430,4680,12192,69560,26950,151,59,459349,229077,19960,210312,96290.0,44770,26730.0,17820,72.0,60
103,LD03  ,2007JJ00,10971,69830,7140,5860,1220,70,62690,22790,137,50,2839,19940,10240,1497,11330,5640,12313,71300,27380,156,60,456437,227848,20673,207917,95750.0,43350,24460.0,15970,74.0,63
104,LD03  ,2008JJ00,11125,70150,7220,5950,1210,70,62920,23250,137,51,2944,19150,9910,1569,10960,5430,12500,71110,27730,155,60,459956,230442,22971,206544,96700.0,42550,25590.0,14820,74.0,65
105,LD03  ,2009JJ00,11290,68220,7050,5760,1220,70,61180,22520,133,49,2903,18660,9960,1582,11420,5660,12611,68410,26820,149,58,459142,231085,23440,204616,96660.0,42490,28240.0,15670,71.0,63
106,LD03  ,2010JJ00,11213,69240,7060,5730,1220,110,62180,23400,140,53,2642,16090,8390,1619,10880,5410,12236,67380,26380,152,60,442957,221303,21913,199741,93060.0,37400,25680.0,11010,72.0,71
107,LD03  ,2011JJ00,11076,66340,6900,5510,1200,190,59430,21860,135,50,2795,17970,8770,1708,11500,5540,12163,65910,25100,149,57,440864,219580,21642,199642,92540.0,36330,26640.0,11240,71.0,69
108,LD03  ,2012JJ00,10977,64250,6620,5260,1160,210,57630,21190,132,49,2951,19030,8610,1813,12100,5630,12115,64560,24170,148,55,436035,218324,21520,196191,91600.0,33010,27040.0,8840,70.0,73
109,LD03  ,2013JJ00,11249,66680,6790,5330,1190,270,59880,21770,137,50,2885,17950,8100,1872,12560,5860,12263,65270,24010,149,55,437027,217613,21136,198278,91630.0,31520,26360.0,7520,71.0,76
110,LD03  ,2014JJ00,11427,69680,7190,5680,1250,270,62480,23060,144,53,3321,19840,8910,2133,13560,6240,12615,68770,25720,158,59,435025,218784,21196,195045,90770.0,32100,22000.0,6380,76.0,80
111,LD03  ,2015JJ00,11882,69940,7310,5730,1270,310,62630,24130,144,55,3798,20760,9260,2567,14860,6830,13113,68530,26550,157,61,436151,221439,20782,193931,92130.0,31650,23600.0,5090,74.0,84
112,LD03  ,2016JJ00,12119,70340,7430,5820,1290,320,62910,22540,148,53,3907,20590,8610,2655,14870,6530,13371,68630,24610,162,58,424348,211957,19901,192490,90630.0,31300,22000.0,6690,76.0,79
113,LD03  ,2017JJ00,12008,71730,7700,6030,1330,340,64040,21740,152,52,3963,22920,9210,2543,15490,6550,13428,71470,24400,170,58,421606,209330,19968,192308,90450.0,31720,18980.0,7320,79.0,77
114,LD03  ,2018JJ00,11910,72390,7750,6010,1370,370,64650,21110,150,49,4034,22990,9010,2460,14990,6140,13484,72650,23980,169,56,429951,218211,20742,190999,90590.0,31470,17950.0,7490,80.0,76
115,LD03  ,2019JJ00,11773,70180,7400,5700,1320,380,62770,20110,147,47,4091,23990,9370,2347,14530,6010,13517,72230,23470,169,55,428134,217437,19777,190920,89400.0,31180,17160.0,7710,81.0,75
116,LD03  ,2020JJ00,11831,70460,7480,5750,1330,400,62980,19440,147,45,4369,25340,9750,2504,15640,6270,13696,72680,22920,170,54,427933,216158,21574,190201,88900.0,32770,16220.0,9860,82.0,70
117,LD03  ,2021JJ00,11783,68160,7210,5520,1290,390,60960,19750,143,46,4475,25220,9480,2469,14940,5910,13788,71240,23320,167,55,427758,217767,20320,189672,88710.0,33000,17470.0,9680,80.0,71
118,LD03  ,2022JJ00,11817,66840,7030,5350,1260,420,59810,20160,140,47,4772,27000,10520,2569,15530,6210,14020,71280,24470,167,57,426224,215684,20319,190220,88290.0,32680,17010.0,8210,81.0,75
119,LD03  ,2023JJ00,12174,67520,6930,5320,1260,350,60600,19870,142,47,4622,24540,9120,2774,15670,6100,14022,69460,22890,163,54,426114,212020,19617,194478,82190.0,31520,12730.0,8630,85.0,73
120,LD04  ,1994JJ00,24656,216250,39130,35120,4020,0,177120,81420,466,214,5697,41340,20720,8963,84180,42910,21390,134270,59230,353,156,380055,155978,92620,131458,,61520,,2290,,96
