ID,Bronnen,Perioden,CO2_1,CH4_2,N2O_3
67,800044   ,1993JJ00,55400,80.09,0.38
68,800044   ,1994JJ00,58800,80.08,0.43
69,800044   ,1995JJ00,61200,80.15,0.46
70,800044   ,1996JJ00,62000,74.88,0.44
71,800044   ,1997JJ00,62500,50.72,0.42
72,800044   ,1998JJ00,64600,51.16,0.44
73,800044   ,1999JJ00,60800,44.12,0.38
74,800044   ,2000JJ00,62600,41.15,0.42
75,800044   ,2001JJ00,66500,40.87,0.46
76,800044   ,2002JJ00,66500,39.4,0.48
77,800044   ,2003JJ00,67700,38.84,0.48
78,800044   ,2004JJ00,69000,37.29,0.49
79,800044   ,2005JJ00,66400,40.06,0.54
80,800044   ,2006JJ00,61300,36.27,0.5
81,800044   ,2007JJ00,63900,38.74,0.52
82,800044   ,2008JJ00,63500,40.35,0.49
83,800044   ,2009JJ00,62400,35.36,0.5
84,800044   ,2010JJ00,64400,38.54,0.51
85,800044   ,2011JJ00,60400,38.88,0.48
86,800044   ,2012JJ00,57200,36.33,0.51
87,800044   ,2013JJ00,57200,32.75,0.49
88,800044   ,2014JJ00,61200,31.68,0.52
89,800044   ,2015JJ00,66000,30.92,0.62
90,800044   ,2016JJ00,64200,29.21,0.58
91,800044   ,2017JJ00,60000,25.64,0.52
92,800044   ,2018JJ00,56300,23.06,0.47
93,800044   ,2019JJ00,53900,23.14,0.48
94,800044   ,2020JJ00,43800,22.47,0.44
95,800044   ,2021JJ00,44100,20.62,0.58
96,305800   ,1990JJ00,2300,77.35,0.0
97,305800   ,1991JJ00,2300,77.29,0.0
98,305800   ,1992JJ00,2300,76.99,0.0
99,305800   ,1993JJ00,2100,76.79,0.0
100,305800   ,1994JJ00,1900,76.75,0.0
101,305800   ,1995JJ00,2000,76.83,0.0
102,305800   ,1996JJ00,2100,71.26,0.0
103,305800   ,1997JJ00,2200,46.95,0.0
104,305800   ,1998JJ00,2100,47.35,0.0
105,305800   ,1999JJ00,2000,40.33,0.0
106,305800   ,2000JJ00,2000,37.3,0.0
107,305800   ,2001JJ00,2000,36.78,0.0
108,305800   ,2002JJ00,2100,35.12,0.0
109,305800   ,2003JJ00,2000,34.62,0.0
110,305800   ,2004JJ00,2100,32.66,0.0
111,305800   ,2005JJ00,2200,35.18,0.0
112,305800   ,2006JJ00,2100,31.67,0.0
113,305800   ,2007JJ00,1900,34.28,0.03
114,305800   ,2008JJ00,1900,35.96,0.03
115,305800   ,2009JJ00,2000,30.25,0.02
116,305800   ,2010JJ00,2100,33.28,0.03
117,305800   ,2011JJ00,2000,33.51,0.03
118,305800   ,2012JJ00,2100,31.71,0.03
119,305800   ,2013JJ00,2200,28.9,0.03
120,305800   ,2014JJ00,2200,28.01,0.03
121,305800   ,2015JJ00,1900,26.68,0.03
122,305800   ,2016JJ00,1700,24.8,0.03
123,305800   ,2017JJ00,1800,21.43,0.04
124,305800   ,2018JJ00,1700,18.7,0.03
125,305800   ,2019JJ00,1500,18.05,0.09
126,305800   ,2020JJ00,1500,16.74,0.06
127,305800   ,2021JJ00,1400,15.3,0.05
128,320300   ,1990JJ00,11000,1.13,0.05
129,320300   ,1991JJ00,11100,1.14,0.02
130,320300   ,1992JJ00,10400,1.1,0.02
131,320300   ,1993JJ00,11500,1.25,0.05
132,320300   ,1994JJ00,11300,1.19,0.05
133,320300   ,1995JJ00,11600,1.03,0.05
134,320300   ,1996JJ00,11800,1.02,0.05
135,320300   ,1997JJ00,12000,1.05,0.05
136,320300   ,1998JJ00,12400,1.0,0.05
137,320300   ,1999JJ00,11800,0.9,0.04
138,320300   ,2000JJ00,12400,0.9,0.04
139,320300   ,2001JJ00,12700,0.86,0.04
140,320300   ,2002JJ00,11700,0.87,0.03
141,320300   ,2003JJ00,12200,0.89,0.04
142,320300   ,2004JJ00,12200,0.94,0.04
143,320300   ,2005JJ00,12400,0.87,0.04
144,320300   ,2006JJ00,11600,0.84,0.04
145,320300   ,2007JJ00,11600,0.95,0.04
146,320300   ,2008JJ00,11800,0.83,0.04
147,320300   ,2009JJ00,10800,1.26,0.03
148,320300   ,2010JJ00,10600,1.03,0.02
149,320300   ,2011JJ00,10800,1.48,0.03
150,320300   ,2012JJ00,10500,1.31,0.03
151,320300   ,2013JJ00,10300,0.86,0.03
152,320300   ,2014JJ00,10700,0.87,0.03
153,320300   ,2015JJ00,11100,0.9,0.03
154,320300   ,2016JJ00,10700,0.92,0.03
155,320300   ,2017JJ00,10100,0.91,0.03
156,320300   ,2018JJ00,10200,1.04,0.03
157,320300   ,2019JJ00,11000,1.08,0.03
158,320300   ,2020JJ00,10000,1.03,0.03
159,320300   ,2021JJ00,10500,0.94,0.03
160,346700   ,1990JJ00,39500,1.53,0.38
161,346700   ,1991JJ00,39900,1.8,0.35
162,346700   ,1992JJ00,40500,1.89,0.34
163,346700   ,1993JJ00,41700,2.05,0.34
164,346700   ,1994JJ00,45600,2.14,0.38
165,346700   ,1995JJ00,47600,2.3,0.41
166,346700   ,1996JJ00,48100,2.59,0.39
167,346700   ,1997JJ00,48300,2.72,0.37
168,346700   ,1998JJ00,50100,2.81,0.39
169,346700   ,1999JJ00,47000,2.89,0.34
170,346700   ,2000JJ00,48200,2.96,0.38
171,346700   ,2001JJ00,51700,3.23,0.42
172,346700   ,2002JJ00,52700,3.41,0.44
173,346700   ,2003JJ00,53500,3.32,0.44
174,346700   ,2004JJ00,54700,3.69,0.45
175,346700   ,2005JJ00,51900,4.01,0.5
176,346700   ,2006JJ00,47600,3.77,0.46
177,346700   ,2007JJ00,50400,3.5,0.45
178,346700   ,2008JJ00,49800,3.56,0.43
179,346700   ,2009JJ00,49700,3.86,0.45
180,346700   ,2010JJ00,51800,4.23,0.46
181,346700   ,2011JJ00,47600,3.89,0.43
182,346700   ,2012JJ00,44600,3.3,0.46
183,346700   ,2013JJ00,44700,2.98,0.43
184,346700   ,2014JJ00,48400,2.81,0.46
185,346700   ,2015JJ00,52900,3.34,0.56
186,346700   ,2016JJ00,51700,3.49,0.52
187,346700   ,2017JJ00,48100,3.3,0.45
188,346700   ,2018JJ00,44400,3.32,0.41
189,346700   ,2019JJ00,41300,4.02,0.36
190,346700   ,2020JJ00,32300,4.7,0.36
191,346700   ,2021JJ00,32200,4.37,0.49
192,800045   ,1990JJ00,40300,14.0,24.01
193,800045   ,1991JJ00,42600,14.17,24.01
194,800045   ,1992JJ00,43900,14.34,24.2
195,800045   ,1993JJ00,38600,14.0,25.81
196,800045   ,1994JJ00,39000,14.06,25.27
197,800045   ,1995JJ00,35300,14.04,24.03
198,800045   ,1996JJ00,36000,14.29,24.06
199,800045   ,1997JJ00,35400,14.26,23.88
200,800045   ,1998JJ00,34900,14.32,23.94
201,800045   ,1999JJ00,34100,14.8,22.82
202,800045   ,2000JJ00,33400,14.81,23.35
203,800045   ,2001JJ00,32800,14.6,21.35
204,800045   ,2002JJ00,33200,15.93,20.45
205,800045   ,2003JJ00,33700,15.98,20.65
206,800045   ,2004JJ00,33700,15.99,22.58
207,800045   ,2005JJ00,33400,15.88,22.72
208,800045   ,2006JJ00,33400,14.7,22.57
209,800045   ,2007JJ00,34000,14.74,18.26
210,800045   ,2008JJ00,33400,14.42,6.08
211,800045   ,2009JJ00,30500,13.97,6.28
212,800045   ,2010JJ00,33700,14.82,5.35
213,800045   ,2011JJ00,32900,14.56,5.36
214,800045   ,2012JJ00,32100,14.56,5.4
215,800045   ,2013JJ00,31700,14.37,5.41
216,800045   ,2014JJ00,30800,14.61,5.65
217,800045   ,2015JJ00,30400,14.59,5.67
218,800045   ,2016JJ00,32200,14.74,4.98
219,800045   ,2017JJ00,33800,15.05,5.27
220,800045   ,2018JJ00,33400,14.56,4.82
221,800045   ,2019JJ00,32100,15.12,4.82
222,800045   ,2020JJ00,32400,16.19,4.38
223,800045   ,2021JJ00,32500,15.94,3.68
224,320705   ,1990JJ00,21500,12.25,23.82
225,320705   ,1991JJ00,23300,12.32,23.83
226,320705   ,1992JJ00,24800,12.4,24.01
227,320705   ,1993JJ00,19100,12.0,25.62
228,320705   ,1994JJ00,18600,12.0,25.09
229,320705   ,1995JJ00,16600,11.95,23.84
230,320705   ,1996JJ00,16900,12.02,23.87
231,320705   ,1997JJ00,16600,11.96,23.69
232,320705   ,1998JJ00,16500,11.9,23.74
233,320705   ,1999JJ00,16000,12.39,22.63
234,320705   ,2000JJ00,15700,12.42,23.15
235,320705   ,2001JJ00,15200,12.34,21.15
236,320705   ,2002JJ00,15600,13.78,20.29
237,320705   ,2003JJ00,16100,13.82,20.49
238,320705   ,2004JJ00,16000,13.88,22.42
239,320705   ,2005JJ00,15700,13.75,22.56
240,320705   ,2006JJ00,16300,12.62,22.42
241,320705   ,2007JJ00,16800,12.7,18.08
242,320705   ,2008JJ00,16500,12.31,5.88
243,320705   ,2009JJ00,15600,11.94,6.08
244,320705   ,2010JJ00,17600,12.81,5.17
245,320705   ,2011JJ00,16900,12.58,5.17
246,320705   ,2012JJ00,17000,12.71,5.21
247,320705   ,2013JJ00,16900,12.59,5.22
248,320705   ,2014JJ00,16500,12.81,5.46
249,320705   ,2015JJ00,15600,12.66,5.47
250,320705   ,2016JJ00,17200,12.75,4.78
251,320705   ,2017JJ00,18000,13.08,5.06
252,320705   ,2018JJ00,18100,12.55,4.6
253,320705   ,2019JJ00,17400,13.16,4.6
254,320705   ,2020JJ00,18900,14.29,4.17
255,320705   ,2021JJ00,18400,13.92,3.46
256,328100   ,1990JJ00,7500,0.42,0.03
257,328100   ,1991JJ00,7600,0.42,0.02
258,328100   ,1992JJ00,7200,0.42,0.02
259,328100   ,1993JJ00,7600,0.42,0.03
260,328100   ,1994JJ00,8600,0.44,0.03
261,328100   ,1995JJ00,7800,0.44,0.03
262,328100   ,1996JJ00,7800,0.44,0.03
263,328100   ,1997JJ00,7700,0.44,0.03
264,328100   ,1998JJ00,7200,0.44,0.03
265,328100   ,1999JJ00,6600,0.38,0.03
266,328100   ,2000JJ00,6400,0.35,0.02
267,328100   ,2001JJ00,6500,0.36,0.03
268,328100   ,2002JJ00,6700,0.35,0.03
269,328100   ,2003JJ00,7100,0.35,0.03
270,328100   ,2004JJ00,7200,0.35,0.03
271,328100   ,2005JJ00,7200,0.36,0.03
272,328100   ,2006JJ00,7100,0.34,0.03
273,328100   ,2007JJ00,7300,0.35,0.03
274,328100   ,2008JJ00,7300,0.34,0.03
275,328100   ,2009JJ00,6100,0.28,0.02
276,328100   ,2010JJ00,6900,0.33,0.02
277,328100   ,2011JJ00,7000,0.33,0.03
278,328100   ,2012JJ00,6400,0.31,0.03
279,328100   ,2013JJ00,6600,0.32,0.03
280,328100   ,2014JJ00,6200,0.32,0.03
281,328100   ,2015JJ00,6600,0.33,0.03
282,328100   ,2016JJ00,6600,0.33,0.03
283,328100   ,2017JJ00,7200,0.32,0.03
284,328100   ,2018JJ00,6900,0.32,0.03
285,328100   ,2019JJ00,6700,0.32,0.03
286,328100   ,2020JJ00,6100,0.3,0.02
287,328100   ,2021JJ00,6300,0.31,0.03
288,A025441  ,1990JJ00,10800,1.29,0.16
289,A025441  ,1991JJ00,11100,1.38,0.16
290,A025441  ,1992JJ00,11300,1.48,0.16
291,A025441  ,1993JJ00,11300,1.53,0.16
292,A025441  ,1994JJ00,11100,1.58,0.16
293,A025441  ,1995JJ00,10300,1.6,0.16
294,A025441  ,1996JJ00,10600,1.77,0.16
295,A025441  ,1997JJ00,10400,1.8,0.16
296,A025441  ,1998JJ00,10500,1.93,0.16
297,A025441  ,1999JJ00,10900,1.97,0.16
298,A025441  ,2000JJ00,10700,1.98,0.17
299,A025441  ,2001JJ00,10200,1.83,0.16
300,A025441  ,2002JJ00,10100,1.73,0.13
301,A025441  ,2003JJ00,9700,1.73,0.13
302,A025441  ,2004JJ00,9600,1.68,0.13
303,A025441  ,2005JJ00,9700,1.7,0.13
304,A025441  ,2006JJ00,9200,1.66,0.12
305,A025441  ,2007JJ00,9200,1.63,0.14
306,A025441  ,2008JJ00,8800,1.7,0.17
307,A025441  ,2009JJ00,8100,1.68,0.18
308,A025441  ,2010JJ00,8400,1.6,0.16
309,A025441  ,2011JJ00,8200,1.57,0.16
310,A025441  ,2012JJ00,7900,1.46,0.16
311,A025441  ,2013JJ00,7500,1.38,0.16
312,A025441  ,2014JJ00,7500,1.41,0.16
313,A025441  ,2015JJ00,7600,1.53,0.17
314,A025441  ,2016JJ00,7800,1.59,0.17
315,A025441  ,2017JJ00,8000,1.56,0.18
316,A025441  ,2018JJ00,7800,1.61,0.2
317,A025441  ,2019JJ00,7400,1.56,0.19
318,A025441  ,2020JJ00,7000,1.53,0.18
319,A025441  ,2021JJ00,7300,1.63,0.19
320,350000   ,1990JJ00,500,0.04,0.0
321,350000   ,1991JJ00,600,0.05,0.0
322,350000   ,1992JJ00,500,0.04,0.0
323,350000   ,1993JJ00,600,0.05,0.0
324,350000   ,1994JJ00,800,0.05,0.0
325,350000   ,1995JJ00,700,0.05,0.0
326,350000   ,1996JJ00,700,0.06,0.0
327,350000   ,1997JJ00,600,0.05,0.0
328,350000   ,1998JJ00,700,0.06,0.0
329,350000   ,1999JJ00,700,0.06,0.0
330,350000   ,2000JJ00,700,0.06,0.0
331,350000   ,2001JJ00,800,0.07,0.0
332,350000   ,2002JJ00,800,0.07,0.0
333,350000   ,2003JJ00,900,0.08,0.0
334,350000   ,2004JJ00,800,0.08,0.0
335,350000   ,2005JJ00,800,0.07,0.0
336,350000   ,2006JJ00,800,0.07,0.0
337,350000   ,2007JJ00,800,0.07,0.0
338,350000   ,2008JJ00,800,0.07,0.0
339,350000   ,2009JJ00,700,0.07,0.0
340,350000   ,2010JJ00,800,0.08,0.0
341,350000   ,2011JJ00,700,0.07,0.0
342,350000   ,2012JJ00,800,0.08,0.0
343,350000   ,2013JJ00,700,0.08,0.0
344,350000   ,2014JJ00,600,0.07,0.0
345,350000   ,2015JJ00,600,0.07,0.0
346,350000   ,2016JJ00,600,0.08,0.0
347,350000   ,2017JJ00,600,0.09,0.0
348,350000   ,2018JJ00,600,0.08,0.0
349,350000   ,2019JJ00,600,0.08,0.0
350,350000   ,2020JJ00,500,0.08,0.0
351,350000   ,2021JJ00,500,0.08,0.0
352,1050010  ,1990JJ00,20900,21.96,0.2
353,1050010  ,1991JJ00,24000,24.28,0.22
354,1050010  ,1992JJ00,22000,22.42,0.22
355,1050010  ,1993JJ00,23200,23.17,0.25
356,1050010  ,1994JJ00,21700,21.83,0.24
357,1050010  ,1995JJ00,23500,23.32,0.28
358,1050010  ,1996JJ00,27300,26.53,0.34
359,1050010  ,1997JJ00,22900,22.62,0.3
360,1050010  ,1998JJ00,21800,21.49,0.32
361,1050010  ,1999JJ00,20700,20.24,0.3
362,1050010  ,2000JJ00,20700,20.02,0.27
363,1050010  ,2001JJ00,22000,20.74,0.24
364,1050010  ,2002JJ00,21200,19.93,0.24
365,1050010  ,2003JJ00,21700,20.32,0.25
366,1050010  ,2004JJ00,20700,19.51,0.29
367,1050010  ,2005JJ00,19900,18.9,0.3
368,1050010  ,2006JJ00,20100,18.68,0.32
369,1050010  ,2007JJ00,17900,16.69,0.28
370,1050010  ,2008JJ00,20300,18.56,0.31
371,1050010  ,2009JJ00,20100,18.5,0.35
372,1050010  ,2010JJ00,23400,21.32,0.37
373,1050010  ,2011JJ00,18300,16.93,0.35
374,1050010  ,2012JJ00,19500,18.02,0.35
375,1050010  ,2013JJ00,20700,18.95,0.36
376,1050010  ,2014JJ00,15500,14.55,0.34
377,1050010  ,2015JJ00,16500,15.41,0.35
378,1050010  ,2016JJ00,17200,15.83,0.36
379,1050010  ,2017JJ00,16700,15.22,0.35
380,1050010  ,2018JJ00,16600,15.05,0.38
381,1050010  ,2019JJ00,16000,14.46,0.37
382,1050010  ,2020JJ00,15300,13.71,0.36
383,1050010  ,2021JJ00,17400,15.34,0.33
384,800051   ,1990JJ00,16600,1151.59,35.58
385,800051   ,1991JJ00,18700,1166.05,36.18
386,800051   ,1992JJ00,17700,1151.98,36.8
387,800051   ,1993JJ00,18900,1133.89,35.99
388,800051   ,1994JJ00,17600,1094.12,34.88
389,800051   ,1995JJ00,18000,1062.98,35.47
390,800051   ,1996JJ00,20500,1037.68,35.55
391,800051   ,1997JJ00,18100,1000.05,34.89
392,800051   ,1998JJ00,17800,972.02,32.86
393,800051   ,1999JJ00,17100,929.08,31.79
394,800051   ,2000JJ00,17400,888.0,29.03
395,800051   ,2001JJ00,17700,861.77,27.93
396,800051   ,2002JJ00,17000,817.2,25.79
397,800051   ,2003JJ00,17800,786.54,25.2
398,800051   ,2004JJ00,19000,772.87,24.48
399,800051   ,2005JJ00,18400,712.14,24.15
400,800051   ,2006JJ00,17800,699.45,24.61
401,800051   ,2007JJ00,17400,700.82,23.6
402,800051   ,2008JJ00,18900,706.92,23.15
403,800051   ,2009JJ00,19400,705.84,22.34
404,800051   ,2010JJ00,22100,696.22,22.25
405,800051   ,2011JJ00,19100,677.9,21.54
406,800051   ,2012JJ00,20100,662.9,20.89
407,800051   ,2013JJ00,20100,665.13,21.65
408,800051   ,2014JJ00,17100,653.0,21.92
409,800051   ,2015JJ00,18000,660.98,22.53
410,800051   ,2016JJ00,18100,666.98,22.25
411,800051   ,2017JJ00,18100,657.73,22.79
412,800051   ,2018JJ00,18000,637.18,22.55
413,800051   ,2019JJ00,17400,632.68,22.15
414,800051   ,2020JJ00,16300,622.71,22.19
415,800051   ,2021JJ00,17100,613.87,21.62
416,301100   ,1990JJ00,8000,583.87,32.11
417,301100   ,1991JJ00,9000,592.95,32.63
418,301100   ,1992JJ00,8700,589.3,33.14
419,301100   ,1993JJ00,9100,585.21,32.27
420,301100   ,1994JJ00,8400,565.64,31.13
421,301100   ,1995JJ00,8400,561.13,31.75
422,301100   ,1996JJ00,9300,550.17,31.81
423,301100   ,1997JJ00,7800,527.15,31.1
424,301100   ,1998JJ00,7800,518.07,29.11
425,301100   ,1999JJ00,7500,511.76,28.15
426,301100   ,2000JJ00,7600,494.09,25.51
427,301100   ,2001JJ00,7400,490.24,24.36
428,301100   ,2002JJ00,7000,464.71,22.32
429,301100   ,2003JJ00,7100,456.06,21.84
430,301100   ,2004JJ00,7300,455.99,21.11
431,301100   ,2005JJ00,7600,455.6,20.76
432,301100   ,2006JJ00,6900,460.84,21.26
433,301100   ,2007JJ00,7400,477.36,20.24
434,301100   ,2008JJ00,8200,496.7,19.77
435,301100   ,2009JJ00,8200,504.51,18.98
436,301100   ,2010JJ00,9700,508.24,18.92
437,301100   ,2011JJ00,8600,501.09,18.14
438,301100   ,2012JJ00,8700,495.49,17.51
439,301100   ,2013JJ00,8400,505.86,18.29
440,301100   ,2014JJ00,7200,503.47,18.55
441,301100   ,2015JJ00,7600,521.86,19.13
442,301100   ,2016JJ00,7500,533.46,18.7
443,301100   ,2017JJ00,7600,532.48,19.28
444,301100   ,2018JJ00,7800,515.76,19.02
445,301100   ,2019JJ00,7800,515.88,18.63
446,301100   ,2020JJ00,7400,512.39,18.68
447,301100   ,2021JJ00,7800,507.54,18.12
448,A025446  ,1990JJ00,8600,567.72,3.47
449,A025446  ,1991JJ00,9700,573.1,3.55
450,A025446  ,1992JJ00,9000,562.68,3.65
451,A025446  ,1993JJ00,9800,548.68,3.72
452,A025446  ,1994JJ00,9200,528.47,3.75
453,A025446  ,1995JJ00,9600,501.85,3.72
454,A025446  ,1996JJ00,11200,487.5,3.74
455,A025446  ,1997JJ00,10200,472.89,3.79
456,A025446  ,1998JJ00,10000,453.95,3.75
457,A025446  ,1999JJ00,9700,417.31,3.64
458,A025446  ,2000JJ00,9800,393.91,3.52
459,A025446  ,2001JJ00,10300,371.53,3.57
460,A025446  ,2002JJ00,10000,352.5,3.47
461,A025446  ,2003JJ00,10800,330.48,3.36
462,A025446  ,2004JJ00,11700,316.88,3.37
463,A025446  ,2005JJ00,10800,256.54,3.38
464,A025446  ,2006JJ00,10900,238.61,3.36
465,A025446  ,2007JJ00,10000,223.46,3.36
466,A025446  ,2008JJ00,10800,210.22,3.38
467,A025446  ,2009JJ00,11200,201.32,3.35
468,A025446  ,2010JJ00,12400,187.98,3.32
469,A025446  ,2011JJ00,10500,176.81,3.4
470,A025446  ,2012JJ00,11400,167.41,3.38
471,A025446  ,2013JJ00,11700,159.27,3.36
472,A025446  ,2014JJ00,9900,149.53,3.37
473,A025446  ,2015JJ00,10400,139.12,3.41
474,A025446  ,2016JJ00,10600,133.52,3.55
475,A025446  ,2017JJ00,10600,125.25,3.51
476,A025446  ,2018JJ00,10200,121.42,3.53
477,A025446  ,2019JJ00,9600,116.8,3.52
478,A025446  ,2020JJ00,8800,110.32,3.52
479,A025446  ,2021JJ00,9300,106.33,3.51
480,A025421  ,1990JJ00,32900,8.53,0.45
481,A025421  ,1991JJ00,33400,7.46,0.56
482,A025421  ,1992JJ00,34800,7.05,0.67
483,A025421  ,1993JJ00,35700,6.75,0.78
484,A025421  ,1994JJ00,35200,6.32,0.86
485,A025421  ,1995JJ00,35900,6.2,0.96
486,A025421  ,1996JJ00,37100,6.06,1.01
487,A025421  ,1997JJ00,37000,5.6,1.01
488,A025421  ,1998JJ00,37700,5.29,1.01
489,A025421  ,1999JJ00,38600,4.97,1.01
490,A025421  ,2000JJ00,38500,4.49,1.02
491,A025421  ,2001JJ00,38700,4.37,1.01
492,A025421  ,2002JJ00,39100,4.24,1.0
493,A025421  ,2003JJ00,39400,4.1,0.97
494,A025421  ,2004JJ00,39800,3.88,0.94
495,A025421  ,2005JJ00,40200,3.79,0.91
496,A025421  ,2006JJ00,40900,3.75,0.9
497,A025421  ,2007JJ00,39900,3.71,0.92
498,A025421  ,2008JJ00,40000,3.68,0.96
499,A025421  ,2009JJ00,38400,3.51,0.96
500,A025421  ,2010JJ00,39100,3.42,0.99
501,A025421  ,2011JJ00,39000,3.34,1.03
502,A025421  ,2012JJ00,37100,3.13,1.0
503,A025421  ,2013JJ00,35700,3.03,0.99
504,A025421  ,2014JJ00,33300,2.89,0.9
505,A025421  ,2015JJ00,33400,2.84,0.91
506,A025421  ,2016JJ00,33600,2.8,0.88
507,A025421  ,2017JJ00,34100,2.91,0.92
508,A025421  ,2018JJ00,34300,2.83,0.92
509,A025421  ,2019JJ00,33600,2.87,0.9
510,A025421  ,2020JJ00,29300,2.54,0.78
511,A025421  ,2021JJ00,29300,2.63,0.78
512,A025422  ,1990JJ00,27300,7.74,0.36
513,A025422  ,1991JJ00,27800,6.68,0.47
514,A025422  ,1992JJ00,29300,6.3,0.58
515,A025422  ,1993JJ00,30200,6.03,0.69
516,A025422  ,1994JJ00,29600,5.61,0.77
517,A025422  ,1995JJ00,30000,5.48,0.86
518,A025422  ,1996JJ00,31200,5.36,0.91
519,A025422  ,1997JJ00,31200,4.91,0.91
520,A025422  ,1998JJ00,31900,4.61,0.92
521,A025422  ,1999JJ00,32500,4.27,0.91
522,A025422  ,2000JJ00,32500,3.82,0.93
523,A025422  ,2001JJ00,32800,3.73,0.92
524,A025422  ,2002JJ00,33500,3.65,0.91
525,A025422  ,2003JJ00,34000,3.57,0.89
526,A025422  ,2004JJ00,34600,3.39,0.86
527,A025422  ,2005JJ00,34800,3.3,0.83
528,A025422  ,2006JJ00,35700,3.3,0.82
529,A025422  ,2007JJ00,34800,3.29,0.85
530,A025422  ,2008JJ00,35000,3.28,0.89
531,A025422  ,2009JJ00,33500,3.14,0.89
532,A025422  ,2010JJ00,34300,3.06,0.92
533,A025422  ,2011JJ00,34200,3.0,0.96
534,A025422  ,2012JJ00,32700,2.82,0.94
535,A025422  ,2013JJ00,31200,2.71,0.93
536,A025422  ,2014JJ00,28700,2.59,0.84
537,A025422  ,2015JJ00,28900,2.54,0.85
538,A025422  ,2016JJ00,29000,2.52,0.82
539,A025422  ,2017JJ00,29800,2.66,0.86
540,A025422  ,2018JJ00,30000,2.59,0.86
541,A025422  ,2019JJ00,29500,2.64,0.85
542,A025422  ,2020JJ00,25100,2.32,0.72
543,A025422  ,2021JJ00,25200,2.41,0.72
544,A025423  ,1990JJ00,100,0.01,0.0
545,A025423  ,1991JJ00,100,0.01,0.0
546,A025423  ,1992JJ00,100,0.01,0.0
547,A025423  ,1993JJ00,100,0.01,0.0
