ID,Producten,Perioden,Kostprijsindex2010100_1,OntwikkelingTOVEenMaandEerder_2,OntwikkelingTOVEenJaarEerder_3,Consumentenprijsindex2010100_4,OntwikkelingTOVEenMaandEerder_5,OntwikkelingTOVEenJaarEerder_6
56,1100  ,2009MM09,96.69,-0.23,-4.25,98.3,-0.68,-1.19
57,1100  ,2009MM10,96.27,-0.43,-4.89,98.64,0.35,-1.12
58,1100  ,2009MM11,96.45,0.19,-3.66,98.58,-0.06,-1.27
59,1100  ,2009MM12,96.52,0.07,-3.03,99.22,0.65,-1.06
60,1100  ,2010MM01,97.2,0.7,-1.4,98.73,-0.5,-1.97
61,1100  ,2010MM02,97.59,0.4,-0.57,99.93,1.21,-1.39
62,1100  ,2010MM03,97.86,0.28,-0.06,100.14,0.21,-1.35
63,1100  ,2010MM04,98.52,0.67,1.17,100.54,0.4,-0.89
64,1100  ,2010MM05,99.68,1.18,2.5,99.99,-0.54,-0.88
65,1100  ,2010MM06,100.46,0.78,3.27,100.1,0.11,-0.56
66,1100  ,2010MM07,100.58,0.12,3.7,100.51,0.41,0.85
67,1100  ,2010MM08,101.05,0.47,4.27,100.37,-0.14,1.41
68,1100  ,2010MM09,101.26,0.21,4.73,99.8,-0.57,1.53
69,1100  ,2010MM10,101.43,0.17,5.36,99.82,0.02,1.19
70,1100  ,2010MM11,101.82,0.38,5.57,99.84,0.03,1.28
71,1100  ,2010MM12,102.56,0.73,6.26,100.22,0.38,1.01
72,1100  ,2011MM01,103.84,1.25,6.83,99.52,-0.7,0.8
73,1100  ,2011MM02,104.75,0.88,7.34,101.16,1.65,1.23
74,1100  ,2011MM03,105.21,0.44,7.51,101.61,0.45,1.47
75,1100  ,2011MM04,106.05,0.8,7.64,102.31,0.68,1.76
76,1100  ,2011MM05,106.36,0.29,6.7,102.18,-0.13,2.19
77,1100  ,2011MM06,106.61,0.24,6.12,102.4,0.22,2.3
78,1100  ,2011MM07,107.05,0.41,6.43,102.23,-0.17,1.71
79,1100  ,2011MM08,107.22,0.16,6.11,101.8,-0.42,1.42
80,1100  ,2011MM09,107.83,0.57,6.49,101.38,-0.41,1.59
81,1100  ,2011MM10,108.45,0.57,6.92,101.71,0.32,1.89
82,1100  ,2011MM11,108.9,0.41,6.95,101.74,0.04,1.9
83,1100  ,2011MM12,109.18,0.26,6.45,102.19,0.44,1.96
84,1100  ,2012MM01,110.39,1.11,6.31,101.19,-0.98,1.68
85,1100  ,2012MM02,110.43,0.04,5.42,103.59,2.37,2.4
86,1100  ,2012MM03,110.72,0.26,5.24,103.4,-0.18,1.76
87,1100  ,2012MM04,110.87,0.14,4.55,103.52,0.12,1.19
88,1100  ,2012MM05,110.92,0.05,4.29,103.41,-0.11,1.21
89,1100  ,2012MM06,111.45,0.48,4.54,103.92,0.49,1.48
90,1100  ,2012MM07,112.04,0.53,4.66,103.54,-0.37,1.29
91,1100  ,2012MM08,112.37,0.29,4.8,103.16,-0.37,1.34
92,1100  ,2012MM09,112.98,0.54,4.78,103.13,-0.03,1.73
93,1100  ,2012MM10,113.08,0.09,4.27,104.21,1.04,2.46
94,1100  ,2012MM11,113.02,-0.05,3.78,104.36,0.14,2.57
95,1100  ,2012MM12,112.64,-0.34,3.17,105.92,1.5,3.65
96,1100  ,2013MM01,113.0,0.32,2.36,105.02,-0.86,3.78
97,1100  ,2013MM02,113.0,0.0,2.33,106.43,1.35,2.75
98,1100  ,2013MM03,113.05,0.04,2.1,106.9,0.44,3.38
99,1100  ,2013MM04,113.34,0.26,2.23,106.48,-0.39,2.86
100,1100  ,2013MM05,113.64,0.26,2.45,107.03,0.51,3.49
101,1100  ,2013MM06,113.79,0.13,2.1,107.08,0.05,3.04
102,1100  ,2013MM07,114.38,0.52,2.09,106.98,-0.1,3.32
103,1100  ,2013MM08,114.76,0.33,2.13,106.4,-0.55,3.14
104,1100  ,2013MM09,115.03,0.24,1.81,105.49,-0.85,2.28
105,1100  ,2013MM10,114.18,-0.74,0.97,105.31,-0.17,1.06
106,1100  ,2013MM11,114.11,-0.06,0.96,104.96,-0.33,0.58
107,1100  ,2013MM12,114.16,0.04,1.35,106.28,1.25,0.33
108,1100  ,2014MM01,114.62,0.4,1.43,105.86,-0.39,0.8
109,1100  ,2014MM02,114.28,-0.3,1.13,106.53,0.63,0.09
110,1100  ,2014MM03,113.74,-0.47,0.61,106.68,0.15,-0.2
111,1100  ,2014MM04,113.86,0.11,0.46,106.78,0.09,0.28
112,1100  ,2014MM05,113.65,-0.18,0.01,106.28,-0.46,-0.69
113,1100  ,2014MM06,113.97,0.28,0.16,106.15,-0.12,-0.87
114,1100  ,2014MM07,113.95,-0.02,-0.38,106.28,0.12,-0.65
115,1100  ,2014MM08,113.62,-0.29,-0.99,105.82,-0.44,-0.54
116,1100  ,2014MM09,113.44,-0.16,-1.38,105.4,-0.39,-0.08
117,1100  ,2014MM10,112.87,-0.5,-1.15,105.56,0.15,0.24
118,1100  ,2014MM11,112.56,-0.27,-1.36,105.69,0.12,0.7
119,1100  ,2014MM12,112.06,-0.44,-1.84,105.96,0.25,-0.3
120,1100  ,2015MM01,112.44,0.34,-1.9,104.93,-0.97,-0.88
121,1100  ,2015MM02,113.13,0.61,-1.01,106.06,1.08,-0.43
122,1100  ,2015MM03,113.84,0.63,0.09,105.97,-0.09,-0.67
123,1100  ,2015MM04,114.21,0.33,0.31,106.54,0.54,-0.22
124,1100  ,2015MM05,113.67,-0.47,0.02,106.65,0.1,0.34
125,1110  ,2005MM01,91.09,0.0,0.0,90.9,0.0,0.0
126,1110  ,2005MM02,91.2,0.12,0.0,90.71,-0.21,0.0
127,1110  ,2005MM03,91.11,-0.1,0.0,90.81,0.11,0.0
128,1110  ,2005MM04,91.07,-0.04,0.0,90.7,-0.12,0.0
129,1110  ,2005MM05,91.2,0.14,0.0,91.01,0.34,0.0
130,1110  ,2005MM06,91.2,0.0,0.0,91.0,-0.01,0.0
131,1110  ,2005MM07,90.89,-0.34,0.0,91.03,0.03,0.0
132,1110  ,2005MM08,90.89,0.0,0.0,90.92,-0.12,0.0
133,1110  ,2005MM09,90.9,0.01,0.0,90.45,-0.52,0.0
134,1110  ,2005MM10,90.79,-0.12,0.0,90.74,0.32,0.0
135,1110  ,2005MM11,90.78,-0.01,0.0,90.53,-0.23,0.0
136,1110  ,2005MM12,90.75,-0.03,0.0,90.78,0.28,0.0
137,1110  ,2006MM01,91.13,0.42,0.04,90.99,0.23,0.1
138,1110  ,2006MM02,91.19,0.07,-0.01,90.85,-0.16,0.15
139,1110  ,2006MM03,91.11,-0.09,0.0,90.68,-0.19,-0.15
140,1110  ,2006MM04,91.09,-0.02,0.02,90.26,-0.46,-0.49
141,1110  ,2006MM05,90.92,-0.19,-0.31,90.54,0.31,-0.52
142,1110  ,2006MM06,90.99,0.08,-0.23,90.53,-0.01,-0.52
143,1110  ,2006MM07,91.22,0.25,0.36,90.01,-0.57,-1.11
144,1110  ,2006MM08,91.19,-0.03,0.33,90.3,0.31,-0.69
145,1110  ,2006MM09,91.21,0.02,0.34,90.3,0.01,-0.16
146,1110  ,2006MM10,91.23,0.02,0.48,90.53,0.25,-0.23
147,1110  ,2006MM11,91.24,0.01,0.51,91.02,0.54,0.54
148,1110  ,2006MM12,91.23,-0.01,0.53,90.79,-0.25,0.01
149,1110  ,2007MM01,91.45,0.24,0.35,90.8,0.01,-0.21
150,1110  ,2007MM02,91.51,0.07,0.35,91.45,0.72,0.67
151,1110  ,2007MM03,91.16,-0.38,0.05,91.63,0.19,1.05
152,1110  ,2007MM04,91.15,-0.01,0.07,91.76,0.15,1.67
153,1110  ,2007MM05,91.17,0.02,0.27,91.74,-0.03,1.32
154,1110  ,2007MM06,91.18,0.01,0.21,91.45,-0.32,1.01
155,1110  ,2007MM07,91.35,0.19,0.14,91.14,-0.34,1.25
156,1110  ,2007MM08,91.52,0.19,0.36,91.39,0.28,1.21
157,1110  ,2007MM09,91.94,0.46,0.8,91.81,0.46,1.66
158,1110  ,2007MM10,94.12,2.37,3.17,93.86,2.23,3.67
159,1110  ,2007MM11,94.7,0.62,3.79,95.65,1.91,5.08
160,1110  ,2007MM12,94.72,0.02,3.83,96.17,0.55,5.93
161,1110  ,2008MM01,98.27,3.75,7.46,96.57,0.41,6.35
162,1110  ,2008MM02,98.9,0.64,8.08,96.77,0.21,5.81
163,1110  ,2008MM03,99.88,0.99,9.57,97.29,0.53,6.18
164,1110  ,2008MM04,100.57,0.69,10.33,97.58,0.3,6.34
165,1110  ,2008MM05,100.81,0.24,10.57,97.69,0.11,6.49
166,1110  ,2008MM06,100.82,0.01,10.57,98.18,0.5,7.36
167,1110  ,2008MM07,100.73,-0.09,10.27,98.59,0.42,8.18
168,1110  ,2008MM08,101.02,0.29,10.38,98.91,0.32,8.23
169,1110  ,2008MM09,101.03,0.01,9.89,99.14,0.24,7.99
170,1110  ,2008MM10,101.01,-0.02,7.32,99.65,0.51,6.18
171,1110  ,2008MM11,101.02,0.01,6.67,99.95,0.3,4.5
172,1110  ,2008MM12,100.83,-0.19,6.45,100.11,0.16,4.1
173,1110  ,2009MM01,101.25,0.42,3.03,99.62,-0.5,3.15
174,1110  ,2009MM02,101.13,-0.12,2.25,100.16,0.55,3.5
175,1110  ,2009MM03,101.19,0.06,1.31,100.37,0.21,3.17
176,1110  ,2009MM04,100.46,-0.72,-0.11,100.95,0.58,3.45
177,1110  ,2009MM05,100.33,-0.13,-0.48,100.47,-0.48,2.85
178,1110  ,2009MM06,100.17,-0.16,-0.64,100.43,-0.04,2.3
179,1110  ,2009MM07,99.85,-0.32,-0.87,100.06,-0.37,1.49
180,1110  ,2009MM08,99.76,-0.09,-1.25,99.84,-0.22,0.94
181,1110  ,2009MM09,99.36,-0.4,-1.65,100.23,0.39,1.1
182,1110  ,2009MM10,99.39,0.03,-1.6,100.45,0.22,0.8
183,1110  ,2009MM11,99.43,0.04,-1.57,99.95,-0.5,0.0
184,1110  ,2009MM12,99.48,0.05,-1.34,100.38,0.43,0.26
185,1110  ,2010MM01,99.58,0.1,-1.65,99.59,-0.78,-0.03
186,1110  ,2010MM02,99.65,0.07,-1.46,100.2,0.62,0.05
187,1110  ,2010MM03,99.47,-0.18,-1.7,99.72,-0.48,-0.64
188,1110  ,2010MM04,99.11,-0.36,-1.34,99.86,0.14,-1.08
189,1110  ,2010MM05,99.26,0.15,-1.07,99.95,0.09,-0.51
190,1110  ,2010MM06,99.38,0.12,-0.79,100.11,0.16,-0.32
191,1110  ,2010MM07,99.69,0.31,-0.16,100.16,0.05,0.1
192,1110  ,2010MM08,100.03,0.34,0.27,100.35,0.19,0.51
193,1110  ,2010MM09,100.48,0.45,1.13,99.81,-0.53,-0.42
194,1110  ,2010MM10,100.79,0.31,1.41,100.08,0.26,-0.37
195,1110  ,2010MM11,101.15,0.36,1.73,100.03,-0.05,0.08
196,1110  ,2010MM12,101.4,0.25,1.93,100.13,0.1,-0.24
197,1110  ,2011MM01,103.18,1.76,3.62,100.03,-0.1,0.45
198,1110  ,2011MM02,103.57,0.38,3.93,100.88,0.85,0.68
199,1110  ,2011MM03,103.45,-0.12,4.0,101.26,0.38,1.54
200,1110  ,2011MM04,104.19,0.72,5.13,101.98,0.71,2.12
201,1110  ,2011MM05,104.2,0.01,4.98,101.98,0.0,2.03
202,1110  ,2011MM06,104.19,-0.01,4.84,102.13,0.15,2.02
203,1110  ,2011MM07,104.24,0.05,4.56,102.41,0.27,2.25
204,1110  ,2011MM08,104.34,0.1,4.31,102.37,-0.04,2.01
205,1110  ,2011MM09,104.44,0.1,3.94,102.62,0.25,2.81
206,1110  ,2011MM10,104.95,0.49,4.13,102.66,0.04,2.58
207,1110  ,2011MM11,105.03,0.08,3.84,103.01,0.34,2.98
208,1110  ,2011MM12,105.09,0.06,3.64,103.01,0.0,2.88
209,1110  ,2012MM01,107.69,2.47,4.37,102.53,-0.47,2.5
210,1110  ,2012MM02,107.8,0.1,4.08,103.76,1.2,2.85
211,1110  ,2012MM03,108.0,0.19,4.4,103.47,-0.28,2.18
212,1110  ,2012MM04,108.12,0.11,3.77,103.63,0.15,1.62
213,1110  ,2012MM05,108.24,0.11,3.88,103.84,0.21,1.83
214,1110  ,2012MM06,108.35,0.1,3.99,104.23,0.38,2.06
215,1110  ,2012MM07,108.91,0.52,4.48,103.94,-0.29,1.49
216,1110  ,2012MM08,109.08,0.16,4.54,103.84,-0.1,1.43
217,1110  ,2012MM09,109.08,0.0,4.44,104.52,0.66,1.85
218,1110  ,2012MM10,109.3,0.2,4.14,105.03,0.49,2.31
219,1110  ,2012MM11,109.41,0.1,4.17,104.74,-0.28,1.68
220,1110  ,2012MM12,109.47,0.05,4.17,105.9,1.11,2.8
221,1110  ,2013MM01,110.12,0.59,2.26,105.03,-0.82,2.44
222,1110  ,2013MM02,110.28,0.15,2.3,106.14,1.05,2.29
223,1110  ,2013MM03,110.36,0.07,2.19,106.36,0.21,2.79
224,1110  ,2013MM04,110.59,0.21,2.28,105.54,-0.77,1.84
225,1110  ,2013MM05,110.56,-0.03,2.14,106.26,0.69,2.33
226,1110  ,2013MM06,110.42,-0.13,1.91,106.22,-0.04,1.9
227,1110  ,2013MM07,110.19,-0.21,1.18,106.25,0.03,2.23
228,1110  ,2013MM08,110.07,-0.11,0.91,106.43,0.16,2.49
229,1110  ,2013MM09,109.93,-0.13,0.78,106.16,-0.25,1.57
230,1110  ,2013MM10,109.99,0.05,0.63,106.2,0.03,1.11
231,1110  ,2013MM11,109.98,-0.01,0.52,105.52,-0.64,0.74
232,1110  ,2013MM12,109.97,-0.01,0.46,106.29,0.73,0.37
233,1110  ,2014MM01,111.18,1.1,0.96,105.57,-0.68,0.51
234,1110  ,2014MM02,111.09,-0.08,0.73,106.1,0.51,-0.03
235,1110  ,2014MM03,110.81,-0.25,0.41,105.89,-0.2,-0.44
236,1110  ,2014MM04,110.62,-0.17,0.03,106.17,0.27,0.6
237,1110  ,2014MM05,110.62,0.0,0.05,105.67,-0.47,-0.55
238,1110  ,2014MM06,110.62,0.0,0.18,105.86,0.17,-0.34
239,1110  ,2014MM07,110.49,-0.12,0.27,106.34,0.46,0.09
240,1110  ,2014MM08,110.45,-0.04,0.35,106.34,0.0,-0.08
241,1110  ,2014MM09,110.47,0.02,0.49,105.91,-0.41,-0.24
242,1110  ,2014MM10,110.21,-0.24,0.2,106.84,0.88,0.61
243,1110  ,2014MM11,110.15,-0.05,0.15,106.34,-0.47,0.78
244,1110  ,2014MM12,110.18,0.03,0.19,106.25,-0.09,-0.03
245,1110  ,2015MM01,111.95,1.61,0.69,105.86,-0.38,0.27
246,1110  ,2015MM02,112.05,0.09,0.86,106.57,0.68,0.44
247,1110  ,2015MM03,112.28,0.21,1.33,106.31,-0.25,0.39
248,1110  ,2015MM04,112.3,0.02,1.52,107.2,0.84,0.97
249,1110  ,2015MM05,112.21,-0.08,1.44,107.6,0.37,1.83
250,1120  ,2005MM01,86.85,0.0,0.0,94.43,0.0,0.0
251,1120  ,2005MM02,86.81,-0.05,0.0,94.31,-0.13,0.0
252,1120  ,2005MM03,86.93,0.14,0.0,94.42,0.12,0.0
253,1120  ,2005MM04,87.22,0.33,0.0,94.42,0.0,0.0
254,1120  ,2005MM05,88.01,0.91,0.0,95.26,0.88,0.0
255,1120  ,2005MM06,89.14,1.28,0.0,95.14,-0.12,0.0
256,1120  ,2005MM07,90.56,1.59,0.0,95.36,0.23,0.0
257,1120  ,2005MM08,90.78,0.24,0.0,95.72,0.37,0.0
258,1120  ,2005MM09,90.53,-0.28,0.0,94.92,-0.83,0.0
259,1120  ,2005MM10,90.14,-0.43,0.0,95.6,0.72,0.0
260,1120  ,2005MM11,89.77,-0.41,0.0,95.04,-0.59,0.0
261,1120  ,2005MM12,89.71,-0.07,0.0,95.49,0.47,0.0
262,1120  ,2006MM01,88.29,-1.58,1.66,95.81,0.34,1.46
263,1120  ,2006MM02,88.82,0.6,2.32,95.15,-0.69,0.9
264,1120  ,2006MM03,90.09,1.43,3.64,95.29,0.14,0.92
265,1120  ,2006MM04,90.75,0.73,4.05,96.15,0.91,1.83
266,1120  ,2006MM05,90.53,-0.24,2.86,95.98,-0.18,0.76
267,1120  ,2006MM06,90.81,0.31,1.87,96.44,0.48,1.36
268,1120  ,2006MM07,90.28,-0.58,-0.31,96.08,-0.37,0.75
269,1120  ,2006MM08,91.83,1.72,1.16,96.22,0.14,0.52
270,1120  ,2006MM09,92.1,0.29,1.73,96.3,0.09,1.46
271,1120  ,2006MM10,91.61,-0.53,1.63,96.33,0.03,0.76
272,1120  ,2006MM11,89.95,-1.81,0.2,95.99,-0.36,1.0
273,1120  ,2006MM12,89.45,-0.56,-0.29,96.23,0.25,0.77
274,1120  ,2007MM01,88.0,-1.62,-0.33,95.71,-0.54,-0.11
275,1120  ,2007MM02,88.72,0.82,-0.11,95.45,-0.27,0.31
276,1120  ,2007MM03,87.52,-1.35,-2.85,95.12,-0.34,-0.17
277,1120  ,2007MM04,87.73,0.24,-3.33,95.47,0.36,-0.71
278,1120  ,2007MM05,89.81,2.37,-0.8,95.3,-0.18,-0.71
279,1120  ,2007MM06,90.52,0.79,-0.32,95.17,-0.13,-1.31
280,1120  ,2007MM07,90.86,0.38,0.64,95.22,0.05,-0.9
281,1120  ,2007MM08,91.44,0.64,-0.42,95.66,0.46,-0.58
282,1120  ,2007MM09,93.24,1.97,1.24,95.92,0.27,-0.4
283,1120  ,2007MM10,91.76,-1.59,0.16,95.82,-0.1,-0.53
284,1120  ,2007MM11,92.4,0.7,2.72,95.74,-0.09,-0.26
285,1120  ,2007MM12,92.41,0.01,3.31,96.29,0.58,0.07
286,1120  ,2008MM01,94.14,1.87,6.98,96.28,-0.01,0.6
287,1120  ,2008MM02,94.66,0.55,6.7,96.28,0.0,0.87
288,1120  ,2008MM03,96.54,1.99,10.31,96.72,0.45,1.68
289,1120  ,2008MM04,98.27,1.79,12.01,97.1,0.4,1.71
290,1120  ,2008MM05,100.72,2.49,12.15,97.57,0.48,2.39
291,1120  ,2008MM06,103.45,2.71,14.28,97.72,0.16,2.68
292,1120  ,2008MM07,104.25,0.77,14.74,98.66,0.96,3.62
293,1120  ,2008MM08,105.82,1.51,15.73,99.45,0.8,3.96
294,1120  ,2008MM09,106.66,0.79,14.39,100.12,0.68,4.38
295,1120  ,2008MM10,106.74,0.08,16.33,100.81,0.68,5.2
296,1120  ,2008MM11,103.21,-3.31,11.7,101.2,0.39,5.71
297,1120  ,2008MM12,102.83,-0.37,11.28,101.71,0.5,5.62
298,1120  ,2009MM01,101.54,-1.25,7.86,100.95,-0.75,4.85
299,1120  ,2009MM02,100.11,-1.41,5.76,100.83,-0.11,4.73
300,1120  ,2009MM03,100.3,0.19,3.89,101.26,0.42,4.69
301,1120  ,2009MM04,100.46,0.16,2.23,101.67,0.41,4.71
302,1120  ,2009MM05,101.2,0.74,0.48,101.1,-0.56,3.62
303,1120  ,2009MM06,101.64,0.43,-1.75,101.14,0.04,3.5
304,1120  ,2009MM07,101.37,-0.27,-2.76,101.39,0.25,2.76
305,1120  ,2009MM08,101.32,-0.05,-4.25,101.03,-0.36,1.58
306,1120  ,2009MM09,100.38,-0.93,-5.89,100.28,-0.74,0.15
307,1120  ,2009MM10,97.4,-2.97,-8.75,100.58,0.31,-0.22
308,1120  ,2009MM11,96.41,-1.02,-6.59,100.32,-0.27,-0.87
309,1120  ,2009MM12,96.02,-0.4,-6.62,101.22,0.9,-0.48
310,1120  ,2010MM01,96.13,0.11,-5.33,99.49,-1.71,-1.45
311,1120  ,2010MM02,96.96,0.86,-3.15,100.42,0.94,-0.41
312,1120  ,2010MM03,97.16,0.21,-3.13,99.43,-0.98,-1.8
313,1120  ,2010MM04,98.14,1.01,-2.31,99.87,0.44,-1.77
314,1120  ,2010MM05,99.41,1.29,-1.77,99.96,0.09,-1.13
315,1120  ,2010MM06,101.23,1.83,-0.4,100.1,0.14,-1.03
316,1120  ,2010MM07,100.51,-0.71,-0.85,100.04,-0.07,-1.33
317,1120  ,2010MM08,101.34,0.83,0.02,100.1,0.07,-0.91
318,1120  ,2010MM09,101.45,0.11,1.07,100.01,-0.1,-0.27
319,1120  ,2010MM10,101.57,0.12,4.28,100.27,0.26,-0.31
320,1120  ,2010MM11,102.15,0.57,5.95,100.2,-0.07,-0.11
321,1120  ,2010MM12,103.96,1.77,8.27,100.1,-0.11,-1.11
322,1120  ,2011MM01,104.38,0.4,8.58,99.38,-0.71,-0.11
323,1120  ,2011MM02,106.05,1.6,9.38,100.74,1.36,0.32
324,1120  ,2011MM03,107.28,1.16,10.42,101.15,0.41,1.73
325,1120  ,2011MM04,109.43,2.0,11.5,102.03,0.87,2.16
326,1120  ,2011MM05,109.85,0.38,10.5,102.21,0.17,2.25
327,1120  ,2011MM06,109.51,-0.31,8.18,102.28,0.08,2.18
328,1120  ,2011MM07,110.85,1.22,10.29,102.62,0.33,2.58
329,1120  ,2011MM08,111.43,0.52,9.96,103.03,0.4,2.92
330,1120  ,2011MM09,112.78,1.21,11.17,102.86,-0.17,2.85
331,1120  ,2011MM10,113.94,1.03,12.18,103.47,0.6,3.2
332,1120  ,2011MM11,116.1,1.9,13.66,103.7,0.21,3.49
333,1120  ,2011MM12,115.8,-0.26,11.39,104.88,1.14,4.78
334,1120  ,2012MM01,115.04,-0.66,10.21,103.57,-1.24,4.21
335,1120  ,2012MM02,116.22,1.03,9.59,104.72,1.11,3.95
336,1120  ,2012MM03,117.19,0.83,9.24,104.48,-0.23,3.29
337,1120  ,2012MM04,118.18,0.84,8.0,104.66,0.17,2.58
338,1120  ,2012MM05,118.67,0.41,8.03,105.05,0.37,2.78
339,1120  ,2012MM06,119.85,0.99,9.44,104.76,-0.27,2.42
340,1120  ,2012MM07,119.85,0.0,8.12,105.17,0.39,2.49
341,1120  ,2012MM08,121.04,0.99,8.62,105.5,0.31,2.39
342,1120  ,2012MM09,123.18,1.77,9.22,105.33,-0.16,2.4
343,1120  ,2012MM10,122.52,-0.54,7.53,106.39,1.01,2.82
344,1120  ,2012MM11,121.42,-0.9,4.58,106.91,0.49,3.1
345,1120  ,2012MM12,120.51,-0.75,4.07,107.82,0.85,2.81
346,1120  ,2013MM01,119.64,-0.72,4.0,107.4,-0.39,3.7
347,1120  ,2013MM02,119.47,-0.14,2.8,107.57,0.16,2.72
348,1120  ,2013MM03,119.8,0.28,2.23,108.09,0.48,3.45
349,1120  ,2013MM04,119.33,-0.39,0.97,107.74,-0.33,2.93
350,1120  ,2013MM05,118.87,-0.39,0.17,107.01,-0.68,1.86
351,1120  ,2013MM06,119.06,0.16,-0.66,108.21,1.12,3.29
352,1120  ,2013MM07,120.47,1.18,0.52,108.85,0.59,3.5
353,1120  ,2013MM08,121.59,0.93,0.45,109.12,0.25,3.43
354,1120  ,2013MM09,121.74,0.12,-1.17,108.59,-0.48,3.1
355,1120  ,2013MM10,119.26,-2.04,-2.66,108.11,-0.44,1.62
356,1120  ,2013MM11,118.53,-0.61,-2.38,108.38,0.25,1.37
357,1120  ,2013MM12,118.23,-0.25,-1.89,109.55,1.08,1.6
358,1120  ,2014MM01,115.64,-2.19,-3.34,109.15,-0.37,1.63
359,1120  ,2014MM02,114.57,-0.93,-4.1,109.17,0.02,1.48
