ID,Huishoudkenmerken,Perioden,TotaleBestedingenPerHuishouden_1,TotaleBestedingenAanEnergie_2,Aardgas_3,Elektriciteit_4,Motorbrandstoffen_5,TotaalEnergie_6,Aardgas_7,Elektriciteit_8,Motorbrandstoffen_9,VerbruikGasM3_10,VerbruikElektriciteitKWh_11
157,18,1996JJ00,27195,1895,565,410,890,70,21,15,33,2455,4235
158,18,1997JJ00,28940,2080,575,435,1025,72,20,15,35,2175,4460
159,18,1998JJ00,30995,2025,540,430,985,65,17,14,32,2030,4525
160,18,1999JJ00,29900,1965,485,450,990,66,16,15,33,1905,4330
161,18,2000JJ00,32865,2455,590,525,1320,75,18,16,40,2075,4350
162,19,1992JJ00,26730,1735,600,345,770,65,22,13,29,2470,4200
163,19,1993JJ00,27980,1630,600,330,670,58,21,12,24,2735,4020
164,19,1994JJ00,29470,1735,550,355,800,59,19,12,27,2445,4190
165,19,1995JJ00,30045,1775,540,365,835,59,18,12,28,2445,4220
166,19,1996JJ00,30070,2070,640,445,975,69,21,15,32,2780,4625
167,19,1997JJ00,30740,2170,550,445,1130,71,18,14,37,2085,4485
168,19,1998JJ00,30170,2020,550,460,965,67,18,15,32,2075,4785
169,19,1999JJ00,32320,1980,520,485,950,61,16,15,29,2025,4620
170,19,2000JJ00,35620,2490,530,570,1355,70,15,16,38,1875,4700
171,20,1992JJ00,20985,1400,480,240,630,67,23,11,30,1980,2920
172,20,1993JJ00,21510,1415,450,245,660,66,21,11,31,2065,2910
173,20,1994JJ00,22250,1455,455,260,685,65,20,12,31,2010,3055
174,20,1995JJ00,22760,1450,435,265,695,64,19,12,31,1960,3045
175,20,1996JJ00,23170,1600,515,300,740,69,22,13,32,2230,3080
176,20,1997JJ00,24305,1790,505,310,935,74,21,13,38,1915,3115
177,20,1998JJ00,25495,1790,495,310,945,70,19,12,37,1865,3165
178,20,1999JJ00,26695,1780,435,330,960,67,16,12,36,1720,3085
179,20,2000JJ00,28540,2105,500,410,1150,74,18,14,40,1795,3365
180,21,1992JJ00,20140,1350,470,220,610,67,23,11,30,1935,2670
181,21,1993JJ00,20785,1370,445,235,635,66,22,11,31,2050,2755
182,21,1994JJ00,21465,1395,435,240,655,65,20,11,31,1925,2810
183,21,1995JJ00,21840,1385,420,250,660,63,19,11,30,1890,2835
184,21,1996JJ00,22490,1530,500,285,705,68,22,13,31,2165,2895
185,21,1997JJ00,23480,1720,485,295,895,73,21,13,38,1850,2955
186,21,1998JJ00,24860,1750,485,295,925,70,20,12,37,1830,3010
187,21,1999JJ00,25660,1730,425,315,930,67,17,12,36,1690,2970
188,21,2000JJ00,27920,2045,490,390,1120,73,18,14,40,1760,3210
189,22,1992JJ00,25050,1655,550,315,745,66,22,13,30,2280,3870
190,22,1993JJ00,26650,1730,485,305,865,65,18,11,32,2230,3710
191,22,1994JJ00,27190,1835,550,370,885,67,20,14,32,2435,4320
192,22,1995JJ00,28965,1835,510,365,930,63,18,13,32,2305,4275
193,22,1996JJ00,28210,2000,635,390,940,71,22,14,33,2765,4080
194,22,1997JJ00,31200,2345,635,410,1265,75,20,13,41,2410,4250
195,22,1998JJ00,32990,2170,600,445,1125,66,18,13,34,2255,4615
196,22,1999JJ00,34970,2220,500,440,1250,64,14,13,36,1970,4125
197,22,2000JJ00,34820,2670,605,580,1475,77,17,17,42,2130,4700
198,23,1992JJ00,9275,645,285,145,110,69,31,16,12,1165,1735
199,23,1993JJ00,9685,660,280,170,145,68,29,17,15,1280,1935
200,23,1994JJ00,10210,635,285,160,100,62,28,16,10,1245,1845
201,23,1995JJ00,10085,670,285,170,140,66,28,17,14,1275,1865
202,23,1996JJ00,10835,800,345,190,200,74,32,18,18,1500,1970
203,23,1997JJ00,10925,780,305,185,210,71,28,17,19,1175,1850
204,23,1998JJ00,11585,785,315,180,220,68,27,15,19,1200,1800
205,23,1999JJ00,12300,820,325,210,230,67,26,17,19,1310,1970
206,23,2000JJ00,12685,825,305,225,220,65,24,18,17,1150,1905
207,24,1992JJ00,13615,985,375,195,350,72,27,14,26,1540,2295
208,24,1993JJ00,13865,980,345,195,380,71,25,14,27,1570,2250
209,24,1994JJ00,14075,1035,335,205,415,74,24,15,30,1500,2345
210,24,1995JJ00,13825,955,340,215,335,69,25,15,24,1535,2385
211,24,1996JJ00,14750,1070,400,240,365,73,27,16,25,1745,2375
212,24,1997JJ00,15110,1175,400,245,460,78,26,16,30,1530,2410
213,24,1998JJ00,15390,1100,370,230,450,71,24,15,29,1410,2325
214,24,1999JJ00,16885,1135,370,250,460,67,22,15,27,1480,2330
215,24,2000JJ00,17290,1375,395,285,635,80,23,17,37,1450,2385
216,25,1992JJ00,17705,1260,430,230,555,71,24,13,31,1785,2775
217,25,1993JJ00,18500,1290,420,245,570,70,23,13,31,1925,2915
218,25,1994JJ00,18860,1255,385,240,575,67,20,13,30,1705,2765
219,25,1995JJ00,18785,1220,405,255,515,65,21,14,27,1825,2865
220,25,1996JJ00,19950,1445,480,295,635,73,24,15,32,2075,2985
221,25,1997JJ00,20675,1545,465,285,745,75,23,14,36,1775,2850
222,25,1998JJ00,20970,1505,430,290,735,72,20,14,35,1630,2960
223,25,1999JJ00,21785,1610,400,315,825,74,18,14,38,1590,2970
224,25,2000JJ00,23260,1735,430,360,895,75,18,16,39,1555,3005
225,26,1992JJ00,22455,1465,485,265,670,65,22,12,30,1995,3150
226,26,1993JJ00,23245,1450,460,275,670,62,20,12,29,2115,3280
227,26,1994JJ00,23945,1515,435,280,750,63,18,12,31,1935,3295
228,26,1995JJ00,24260,1535,440,295,750,63,18,12,31,1985,3375
229,26,1996JJ00,24525,1680,515,325,795,68,21,13,32,2240,3335
230,26,1997JJ00,25420,1905,505,335,1015,75,20,13,40,1915,3430
231,26,1998JJ00,26675,1940,490,340,1045,73,18,13,39,1845,3540
232,26,1999JJ00,27815,1880,455,375,1000,68,16,14,36,1790,3525
233,26,2000JJ00,29840,2290,490,445,1310,77,16,15,44,1760,3655
234,27,1992JJ00,29980,1805,610,325,835,60,20,11,28,2515,4070
235,27,1993JJ00,31705,1840,565,320,905,58,18,10,29,2570,3805
236,27,1994JJ00,31060,1835,535,330,925,59,17,11,30,2365,3905
237,27,1995JJ00,33020,1905,520,335,1020,58,16,10,31,2340,3860
238,27,1996JJ00,32785,2060,625,390,1015,63,19,12,31,2695,4025
