ID,Toeristengebieden,Perioden,AlleLanden_1,Nederland_2,BuitenlandTotaal_3,EuropaExclusiefNederland_4,Duitsland_5,Belgie_6,GrootBrittannie_7,Frankrijk_8,Zwitserland_9,Italie_10,Spanje_11,Denemarken_12,Zweden_13,OverigeLandenEurozone_14,OverigEuropa_15,Amerika_16,Azie_17,AustralieEnOceanie_18,Afrika_19,AlleLanden_20,Nederland_21,BuitenlandTotaal_22,EuropaExclusiefNederland_23,Duitsland_24,Belgie_25,GrootBrittannie_26,Frankrijk_27,Zwitserland_28,Italie_29,Spanje_30,Denemarken_31,Zweden_32,OverigeLandenEurozone_33,OverigEuropa_34,Amerika_35,Azie_36,AustralieEnOceanie_37,Afrika_38
25,TR01  ,2008JJ00,1137.3,938.4,198.9,197.2,158.1,22.8,1.8,1.4,2.3,1.8,,,,1.8,6.6,,,,,4980.9,3845.7,1135.2,1130.7,1009.2,77.5,4.7,4.3,9.2,3.5,,,,7.9,13.3,,,,
26,TR01  ,2009JJ00,1209.5,1001.7,207.9,203.9,168.7,19.7,3.7,2.1,2.3,1.7,,,,2.0,2.3,2.1,1.2,,,5096.5,3962.3,1134.2,1126.5,1011.2,75.4,7.6,4.4,8.7,3.4,,0.8,0.8,7.1,5.9,4.1,2.3,,
27,TR01  ,2010JJ00,1209.5,1007.6,201.9,198.1,166.1,18.4,3.6,1.9,2.0,1.8,,,,1.5,1.6,2.2,1.2,,,5137.2,3923.5,1213.7,1206.5,1107.2,64.2,7.1,3.9,8.1,4.2,,,,5.8,3.8,3.9,2.2,,
28,TR01  ,2011JJ00,1136.6,906.5,230.0,222.0,173.2,25.6,7.2,3.0,2.8,2.7,1.3,,,2.2,2.9,4.7,2.5,,,4631.1,3467.3,1163.8,1149.3,1018.4,77.9,15.4,6.0,10.1,5.0,2.2,,,6.5,5.4,8.3,4.6,,
29,TR01  ,2012JJ00,1173.7,986.5,187.1,181.5,142.8,22.3,4.3,1.6,2.8,2.1,1.0,,,1.9,2.0,3.4,1.6,,,4718.1,3713.3,1004.8,994.5,875.8,78.9,7.2,3.9,10.7,4.2,1.7,,,6.6,4.0,5.8,2.9,,
30,TR02  ,1998JJ00,3001.0,1792.0,1209.0,1153.3,810.8,101.0,95.7,29.8,10.3,15.0,7.7,8.8,,,74.2,30.6,17.6,1.8,5.7,12180.9,6966.1,5214.8,5068.2,4050.4,357.6,279.0,69.2,35.3,34.0,18.2,24.7,,,199.9,69.2,51.4,4.3,21.7
31,TR02  ,1999JJ00,3372.8,2045.1,1327.7,1276.4,928.8,99.9,103.5,32.9,10.3,12.8,7.8,5.9,,,74.4,27.9,15.2,2.6,5.6,13351.4,7722.8,5628.6,5474.4,4411.9,332.5,321.2,77.0,32.4,30.7,20.3,17.7,,,230.7,68.4,47.4,11.3,27.1
32,TR02  ,2000JJ00,3260.0,1977.8,1282.2,1238.8,887.2,107.1,104.5,34.6,9.4,12.6,7.0,8.3,,,68.1,23.6,12.7,3.1,3.9,13148.1,7541.2,5606.9,5463.1,4365.0,369.8,343.7,89.5,31.9,30.6,16.7,24.2,,,191.6,71.4,42.0,9.8,20.6
33,TR02  ,2001JJ00,3228.2,2094.4,1133.8,1090.0,777.7,96.7,99.9,26.6,9.0,12.3,7.3,6.6,,,53.8,21.2,15.8,2.3,4.5,12973.2,8007.2,4966.0,4840.6,3856.8,335.4,301.9,64.7,29.1,31.0,17.8,20.8,,,183.1,63.6,40.8,7.0,14.0
34,TR02  ,2002JJ00,2992.8,1810.2,1182.7,1123.4,831.9,104.6,79.6,27.3,8.6,11.6,6.4,6.1,5.7,16.6,25.2,17.1,38.2,2.2,1.7,13212.7,7898.7,5314.0,5188.7,4234.7,337.9,272.2,67.3,31.4,36.0,16.1,21.8,16.1,62.5,92.6,50.4,64.7,5.8,4.4
