ID,Geslacht,Perioden,Vergrijzing_1,Alleenstaanden30Tot65Jaar_2,NietWesterseMigratieachtergrond_3,Bevolkingsgroei_4,BBPMarktprijzenPerCapita_5,Bevolkingsdichtheid_6,OnderzoekEnOntwikkelingRD_7,LeeftijdMoederBijGeboorte1eKind_8,MensenDieZichGelukkigVinden_9,GestandaardiseerdHuishoudinkomen_10,ZeerMoeilijkRondkomenVanHhInkomen_11,HuishoudensInLangdurigeArmoede_12,KoopkrachtveranderingVanPersonen_13,InkomensverdelingParticuliereHuish_14,EigenWoningen_15,GemiddeldVermogenVanHuishoudens_16,VermogensverdelingParticuliereHuish_17,BetaaldWerk_18,FlexibeleArbeidsrelatie_19,WerkloosheidsduurLangerDan12Maanden_20,LangdurigeArbeidsongeschiktheid_21,FaillissementenBedrijven_22,UitgesprokenSchuldhulpsanering_23,VoortijdigeSchoolverlaters_24,PersonenMetOpleidingsniveauHBOOfWO_25,PersonenMetHogerOfWetenschBeroep_26,PersonenZonderStartkwalificatie_27,DeelnemersVolwassenenonderwijsVavo_28,Deeltijdbanen_29,LevensverwachtingBijGeboorte_30,Levensverwachting65Jarige_31,ErvarenGezondheidMinderDanGoed_32,GezondeLevensverwachtingBijGeboorte_33,GezondeLevensverwachting65Jarige_34,Overledenen_35,SterfgevallenDoorKanker_36,SterfgevallenDoorHartEnVaatziekten_37,PerinataleSterfte_38,VrijwilligerswerkPolitiekeOrganisatie_39,LidmaatschapVakvereniging_40,LidmaatschapPolitiekePartij_41,VertrouwenInTweedeKamer_42,VertrouwenInRechters_43,VertrouwenInPolitie_44,MensenDieNietStemmenTweedeKamer_45,OnbetaaldeArbeid_46,NietGeisoleerdVoelen_47,TevredenheidMetVriendenEnKennissen_48,BezoektGodsdienstigeBijeenkomsten_49,LidmaatschapSportvereniging_50,LidmaatschapHobbyvereniging_51,VerkeersdodenPer100000_52,VerkeersdodenAantal_53,SlachtofferschapGeweldsdelicten_54,SlachtofferschapVandalismedelicten_55,SlachtofferschapVanVermogensdelicten_56,Onveiligheidsgevoelens_57,SlachtoffersVanMoordEnDoodslag_58,ClientenVanSlachtofferhulpNederland_59,Ondertoezichtstellingen_60,GeluidshinderVanBuren_61,GeluidshinderDoorVliegverkeer_62,GeurhinderDoorIndustrie_63
20,3000   ,1999JJ00,11.1,15.0,8.9,6.8,,,,,,,,,,,,,,,,,,,,7.2,22.8,,,,,75.34,15.53,17.4,60.9,8.8,68.9,21.0,24.0,1.0,2.0,,,,,,,10.0,91.0,47.0,22.0,38.0,9.0,10.4,0.8,7.1,12.6,12.9,16.6,1.4,,,,,
21,3000   ,2000JJ00,11.2,15.2,9.3,8.1,,,,,,,,,,,,,,,,,,,,7.1,23.5,,,,,75.54,15.69,16.9,61.5,9.3,68.8,20.7,23.6,1.0,2.0,,,,,,,,89.0,47.0,20.0,,10.0,10.2,0.8,5.8,12.4,13.0,15.7,1.2,,,18.0,19.0,8.0
22,3000   ,2001JJ00,11.3,15.6,9.7,7.9,,,,,,,,,5.3,,,,,,,,,,,7.8,22.3,,,,,75.8,15.9,16.7,61.8,9.2,68.3,20.6,22.8,1.0,2.0,,,,,,,9.0,90.0,48.0,20.0,,10.0,9.4,0.7,7.0,11.6,12.8,17.3,1.3,,,20.0,17.0,10.0
23,3000   ,2002JJ00,11.4,16.0,10.1,5.5,,,,,,,,,1.7,,,,,,,,,,,,22.9,,,,,75.99,15.97,16.9,62.0,9.6,69.0,20.7,23.0,1.0,2.0,,,,,,,,90.0,49.0,20.0,,8.0,9.3,0.7,7.2,13.3,13.5,19.9,1.3,,,19.0,19.0,8.0
24,3000   ,2003JJ00,11.5,16.3,10.4,3.8,,,,,88.0,,,,0.2,,,,,77.9,10.8,44.0,,,,,24.0,28.9,33.7,,,76.23,16.18,16.6,62.4,9.8,69.0,20.8,22.6,1.0,2.0,,,,,,,10.0,90.0,48.0,19.0,38.0,9.0,9.5,0.8,7.5,12.4,12.5,18.3,1.3,,,,17.0,9.0
25,3000   ,2004JJ00,11.7,16.5,10.6,2.5,,,,,89.0,,,,0.8,,,,,77.8,10.8,76.0,,,,,26.0,28.8,32.0,,,76.87,16.63,17.0,62.6,9.7,66.4,21.1,21.4,0.8,1.0,,,,,,,,90.0,48.0,18.0,,11.0,7.4,0.6,6.5,12.4,12.3,16.7,1.4,,,,17.0,8.0
26,3000   ,2005JJ00,12.0,16.7,10.7,1.4,,,,,87.0,,,,-0.2,,,,,77.7,11.7,87.0,350.0,,,6.7,26.5,28.1,31.0,,,77.19,16.77,17.9,62.5,10.4,66.4,21.2,20.8,0.8,,,,,,,,,91.0,47.0,19.0,,,6.9,0.6,7.5,13.8,14.6,20.3,1.2,,,18.0,17.0,8.0
27,3000   ,2006JJ00,12.2,17.1,10.8,1.4,,,,,90.0,,,,3.2,,,,,77.5,12.5,73.0,340.0,,,6.1,26.3,28.1,31.0,,,77.63,17.12,16.6,63.6,10.3,65.3,21.3,19.9,0.7,,41.0,,61.0,76.0,68.0,21.0,,93.0,49.0,18.0,,,6.5,0.5,5.9,13.1,13.8,17.1,0.8,,,18.0,18.0,9.0
28,3000   ,2007JJ00,12.5,17.4,10.9,2.9,,,,,89.0,,,,3.3,,,,,78.2,14.0,55.0,335.0,,,5.9,26.9,29.1,30.3,6.2,,78.01,17.37,16.1,64.7,11.2,64.8,21.7,19.3,0.6,2.0,,,,,,,,93.0,51.0,18.0,36.0,,6.9,0.6,6.0,12.8,11.5,15.4,1.0,,,18.0,15.0,9.0
29,3000   ,2008JJ00,12.8,17.7,11.0,5.5,,,,,88.0,,,,1.5,,,,,79.3,13.8,47.0,,,,5.7,27.9,30.3,30.6,4.9,,78.32,17.64,17.2,63.7,10.4,64.9,21.9,18.8,0.6,2.0,,,,,,,,93.0,51.0,18.0,,,6.3,0.5,5.7,13.9,10.9,19.9,1.0,,,15.0,15.0,7.0
30,3000   ,2009JJ00,13.1,18.0,11.2,5.8,,,,,90.0,,,,2.0,,,,,79.1,13.3,37.0,,,,5.1,28.3,30.3,30.6,4.2,,78.53,17.79,15.8,65.3,11.6,65.4,22.5,18.3,0.6,,,,,,,,,91.0,47.0,16.0,,,6.0,0.5,6.4,15.0,11.0,19.8,1.0,46.6,,16.0,17.0,7.0
31,3000   ,2010JJ00,13.5,18.4,11.4,4.9,,,,,85.0,,,,-0.6,,,,,78.1,14.1,51.0,,,,5.2,29.0,31.2,30.2,3.8,1211.0,78.77,17.95,17.5,63.9,11.3,66.0,23.1,18.3,0.5,,,,60.0,71.0,67.0,26.0,,92.0,51.0,,,,5.3,0.4,,,,,0.9,56.9,,15.0,15.0,5.0
32,3000   ,2011JJ00,13.8,18.7,11.6,4.8,,,,,,,,,-0.6,,,,,78.0,14.5,68.0,,,,5.2,28.3,31.0,30.7,2.8,1298.0,79.18,18.3,18.0,63.7,10.9,65.3,23.0,17.9,0.6,,,,,,,,,92.0,51.0,,,,5.6,0.5,,,,,0.9,71.7,,18.0,13.0,5.0
33,3000   ,2012JJ00,14.6,19.2,11.8,3.0,,,,,82.0,,,,-1.2,,,,,78.4,15.4,83.0,,,,4.7,28.7,28.7,30.0,2.4,1314.0,79.14,18.27,16.9,64.7,11.2,67.9,23.5,18.0,0.5,2.0,27.0,5.0,54.0,73.0,68.0,26.0,,,,,,,5.7,0.5,3.2,8.3,13.6,28.1,1.0,91.8,,,,
34,3000   ,2013JJ00,15.2,19.5,11.9,3.3,,,,,,,,,-1.1,,,,,78.4,16.4,108.0,,,,3.9,29.0,,28.0,2.2,1287.0,79.41,18.44,17.6,64.6,11.5,68.4,22.9,18.0,0.5,2.0,26.0,6.0,,,,,,,,,,,4.8,0.4,2.9,7.7,13.5,28.2,0.7,92.5,,,,
35,3000   ,2014JJ00,15.8,19.7,12.0,4.6,,,,,,,,,1.9,,,,,78.1,17.6,137.0,,,,3.6,29.2,,28.1,3.2,1307.0,79.87,18.85,,64.9,11.5,67.1,23.2,17.7,0.4,2.0,25.0,5.0,,,,,,,,,,,4.7,0.4,2.6,7.2,12.7,27.2,0.9,88.9,,,,
36,3000   ,2015JJ00,16.3,20.1,12.2,5.3,,,,,,,,,1.2,,,,,78.5,18.3,141.0,,,,3.0,,,28.0,4.9,1354.0,79.73,18.63,,64.6,11.7,71.0,23.9,18.6,0.4,2.0,23.0,5.0,,,,,,,,,,,5.1,0.4,2.6,6.7,12.2,26.9,0.6,89.9,,,,
37,3000   ,2016JJ00,16.7,20.4,12.5,6.9,,,,,,,,,,,,,,78.4,19.2,109.0,,,,2.9,,,27.6,5.7,1392.0,79.88,18.77,,64.9,11.8,72.2,24.5,18.1,0.4,2.0,24.0,4.0,,,,,,,,,,,5.1,0.4,2.8,6.7,11.4,26.3,0.6,90.2,,,,
38,3000   ,2017JJ00,17.1,20.7,12.9,,,,,,,,,,,,,,,,,78.0,,,,,,,26.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,5.7,9.8,25.2,,,,,,
39,3000   ,2018JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,4000   ,1999JJ00,15.9,11.9,8.2,6.4,,,,29.1,,,,,,,,,,,,,,,,5.1,18.1,,,,,80.45,19.54,22.7,60.4,9.5,71.6,17.2,25.6,0.9,1.0,,,,,,,17.0,87.0,51.0,25.0,31.0,7.0,3.7,0.3,4.2,10.7,12.4,27.0,0.6,,,,,
41,4000   ,2000JJ00,15.9,12.0,8.5,7.4,,,,29.1,,,,,,,,,,,,,,,,5.0,18.9,,,,,80.58,19.64,22.3,60.9,10.0,71.8,17.0,25.6,0.9,1.0,,,,,,,,87.0,51.0,25.0,,7.0,3.5,0.3,4.4,9.8,11.9,25.8,0.6,,,23.0,18.0,11.0
42,4000   ,2001JJ00,15.9,12.1,8.9,6.9,,,,29.2,,,,,4.7,,,,,,,,,,,5.6,18.1,,,,,80.71,19.72,21.8,61.6,10.4,72.1,17.1,24.8,0.9,0.0,,,,,,,16.0,88.0,50.0,23.0,,6.0,3.1,0.3,4.8,9.5,11.5,27.6,0.7,,,22.0,19.0,9.0
43,4000   ,2002JJ00,15.9,12.3,9.3,5.4,,,,29.2,,,,,1.6,,,,,,,,,,,,19.0,,,,,80.69,19.7,21.9,61.9,10.8,73.4,17.4,25.0,0.8,1.0,,,,,,,,88.0,49.0,23.0,,7.0,3.2,0.3,4.9,10.8,12.3,30.9,0.6,,,21.0,19.0,9.0
44,4000   ,2003JJ00,15.9,12.4,9.6,4.3,,,,29.3,86.0,,,,0.1,,,,,56.6,13.5,52.0,,,,,20.3,25.9,38.4,,,80.93,19.87,22.4,61.6,10.7,72.9,17.4,24.3,0.7,1.0,,,,,,,16.0,87.0,49.0,21.0,31.0,7.0,3.3,0.3,4.2,9.5,11.4,29.0,0.7,,,,18.0,9.0
45,4000   ,2004JJ00,15.9,12.5,9.9,3.3,,,,29.4,86.0,,,,0.6,,,,,57.3,13.2,67.0,,,,,22.2,26.0,36.6,,,81.44,20.25,22.1,62.0,10.6,70.2,17.7,23.3,0.7,1.0,,,,,,,,88.0,50.0,22.0,,6.0,2.9,0.2,4.1,10.4,11.9,26.8,0.5,,,,18.0,9.0
