ID,BedrijfstakkenBranchesSBI2008,GebruikOpenbareWifi_1,ZakelijkEnPriveGebruikVanApparaten_2,AantalGewerkteUren_3,Omzetaandeel50VanEenOpdrachtgever_4,GebruikICTVoorzieningOpdrachtgever_5,EenOpdrachtgever_6,TweeOpdrachtgevers_7,DrieOfMeerOpdrachtgevers_8,MinderDan10VanDeTijd_9,k_10Tot50VanDeTijd_10,k_50Tot90VanDeTijd_11,TenMinste90VanDeTijd_12,DoorExterneLeverancierUitgevoerd_13,ZelfUitgevoerd_14,DoorExterneLeverancierZelfUitgevoerd_15,OnbekendOfNVT_16,ClouddienstenGebruikt_17,EMail_18,OfficeSoftware_19,OpslagDatabases_20,BestandenOpslaan_21,BoekhoudingSoftware_22,ERPSoftware_23,KlantbeheerSoftware_24,Veiligheidssoftware_25,Rekenkracht_26,Rekenplatform_27,BestandenOfDatabasesOpslag_28,Antivirussoftware_29,BeleidVoorSterkeWachtwoorden_30,BiometrischeMethoden_31,AuthenticatieViaSoftOfHardwaretoken_32,EncryptieVanData_33,GegevensOpAndereFysiekeLocatie_34,NetworkAccessControl_35,VPNInternetgebruikBuitenHetBedrijf_36,LogbestandenVoorAnalyseIncidenten_37,MethodesVoorBeoordelenICTVeiligheid_38,Risicoanalyses_39,ICTVeiligheidVolgEnDetectiesysteem_40,IncidentMetInterneOorzaakGehad_41,IncidentDoorAanvalVanBuitenGehad_42,UitvalICTDienstDoorVeiligheidsinc_43,VernietigingDataDoorVeiligheidsinc_44,OnthullingDoorInternIncident_45,UitvalICTDienstDoorAanvalBuitenaf_46,VernietigingDataAanvalVanBuitenaf_47,OnthullingGegevensDoorICTInbraak_48,KostenIncidentInternGehad_49,KostenIncidentAanvalBuitenafGehad_50,UitvalICTDienstDoorVeiligheidsinc_51,VernietigingDataDoorVeiligheidsinc_52,OnthullingDoorInternIncident_53,UitvalICTDienstDoorAanvalBuitenaf_54,VernietigingDataAanvalBuitenaf_55,OnthullingDoorICTInbraak_56,Kosten1VanDeTotaleOmzet_57,Kosten1Tot2VanDeTotaleOmzet_58,Kosten2Tot5VanDeTotaleOmzet_59,Kosten5Tot10VanDeTotaleOmzet_60,Kosten10Tot50VanDeTotaleOmzet_61,Kosten50VanDeTotaleOmzet_62,Kosten1VanDeTotaleOmzet_63,Kosten1Tot2VanDeTotaleOmzet_64,Kosten2Tot5VanDeTotaleOmzet_65,Kosten5Tot10VanDeTotaleOmzet_66,Kosten10Tot50VanDeTotaleOmzet_67,Kosten50VanDeTotaleOmzet_68,RansomwareAanvalGehad_69,LosgeldBetaald_70,BetalingLosgeldZinvol_71,AndereKostenRansomwareAanvalGehad_72,k_1VanDeTotaleOmzet_73,k_1Tot2VanDeTotaleOmzet_74,k_2Tot5VanDeTotaleOmzet_75,k_5Tot10VanDeTotaleOmzet_76,k_10Tot50VanDeTotaleOmzet_77,k_50VanDeTotaleOmzet_78,Kosten1VanDeTotaleOmzet_79,Kosten1Tot2VanDeTotaleOmzet_80,Kosten2Tot5VanDeTotaleOmzet_81,Kosten5Tot10VanDeTotaleOmzet_82,Kosten10Tot50VanDeTotaleOmzet_83,Kosten50VanDeTotaleOmzet_84,Politie_85,Cybersecurity_86,VerzekeringICTVeiligheidsincidenten_87,GezochtNaarMeldingenCyberdreigingen_88,BekendMetDTC_89,DTCWebsiteAlsBronGebruikt_90
20,395005,18.0,71.0,29.0,37.0,54.0,28.0,16.0,55.0,56.0,10.0,14.0,20.0,4.0,59.0,7.0,31.0,61.0,48.0,32.0,32.0,49.0,31.0,2.0,9.0,18.0,16.0,22.0,55.0,80.0,87.0,62.0,83.0,57.0,84.0,50.0,45.0,41.0,13.0,27.0,16.0,12.0,5.0,12.0,2.0,1.0,3.0,2.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,15.0,23.0,9.0,2.0
21,900016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,900027,0.0,100.0,10.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
23,900021,15.0,69.0,35.0,10.0,31.0,14.0,5.0,81.0,74.0,6.0,12.0,8.0,37.0,27.0,8.0,28.0,54.0,40.0,35.0,34.0,45.0,27.0,5.0,30.0,35.0,21.0,12.0,48.0,96.0,83.0,49.0,82.0,44.0,81.0,46.0,34.0,34.0,32.0,33.0,25.0,13.0,4.0,13.0,2.0,0.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,24.0,6.0,11.0,3.0
24,402100,19.0,80.0,32.0,20.0,26.0,13.0,8.0,80.0,80.0,9.0,6.0,5.0,28.0,33.0,4.0,35.0,47.0,38.0,30.0,28.0,38.0,22.0,3.0,19.0,23.0,5.0,5.0,41.0,89.0,74.0,42.0,56.0,28.0,73.0,23.0,21.0,19.0,15.0,19.0,11.0,8.0,3.0,8.0,1.0,0.0,2.0,1.0,2.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,9.0,4.0,5.0,1.0
25,900009,28.0,76.0,31.0,31.0,55.0,17.0,19.0,64.0,51.0,18.0,20.0,11.0,15.0,49.0,8.0,29.0,56.0,46.0,40.0,32.0,48.0,26.0,4.0,13.0,38.0,5.0,5.0,49.0,92.0,76.0,53.0,64.0,35.0,79.0,38.0,36.0,20.0,13.0,20.0,10.0,11.0,1.0,11.0,4.0,3.0,1.0,1.0,0.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,10.0,11.0,12.0,2.0
26,405900,13.0,75.0,29.0,25.0,39.0,18.0,15.0,66.0,68.0,8.0,16.0,8.0,14.0,46.0,3.0,37.0,40.0,28.0,16.0,25.0,32.0,17.0,0.0,3.0,16.0,3.0,4.0,34.0,86.0,70.0,36.0,53.0,30.0,76.0,30.0,18.0,17.0,8.0,9.0,8.0,12.0,7.0,9.0,5.0,1.0,2.0,2.0,3.0,5.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3.0,4.0,4.0,1.0
27,406800,26.0,78.0,27.0,27.0,46.0,17.0,16.0,67.0,66.0,13.0,13.0,8.0,6.0,41.0,4.0,48.0,32.0,17.0,18.0,13.0,26.0,11.0,0.0,2.0,13.0,1.0,0.0,26.0,92.0,73.0,33.0,61.0,34.0,83.0,31.0,34.0,19.0,14.0,18.0,7.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4.0,9.0,9.0,2.0
28,408100,26.0,89.0,31.0,19.0,20.0,9.0,8.0,83.0,91.0,7.0,1.0,1.0,13.0,46.0,5.0,36.0,63.0,46.0,45.0,39.0,59.0,29.0,7.0,13.0,30.0,5.0,3.0,61.0,83.0,80.0,53.0,70.0,33.0,82.0,25.0,20.0,16.0,5.0,13.0,8.0,9.0,9.0,8.0,3.0,0.0,3.0,3.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,8.0,5.0,7.0,0.0
29,800023,23.0,76.0,28.0,31.0,36.0,10.0,11.0,79.0,79.0,9.0,6.0,7.0,9.0,36.0,3.0,53.0,47.0,33.0,27.0,32.0,37.0,20.0,0.0,4.0,14.0,1.0,3.0,45.0,77.0,64.0,50.0,51.0,31.0,74.0,23.0,37.0,14.0,10.0,11.0,8.0,6.0,6.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3.0,10.0,1.0,0.0
30,410300,18.0,77.0,27.0,17.0,13.0,5.0,8.0,87.0,95.0,2.0,3.0,0.0,13.0,30.0,2.0,56.0,26.0,16.0,7.0,16.0,13.0,16.0,2.0,2.0,15.0,0.0,0.0,18.0,79.0,69.0,28.0,31.0,25.0,62.0,13.0,15.0,20.0,11.0,15.0,5.0,5.0,5.0,5.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,0.0,5.0,0.0
31,412700,29.0,75.0,29.0,33.0,42.0,12.0,16.0,72.0,68.0,16.0,13.0,3.0,26.0,29.0,7.0,38.0,55.0,38.0,34.0,42.0,41.0,17.0,1.0,14.0,28.0,1.0,5.0,46.0,87.0,74.0,50.0,63.0,37.0,76.0,39.0,29.0,28.0,25.0,14.0,16.0,9.0,3.0,9.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,9.0,3.0,8.0,3.0
