ID,AreasOfCivilEngineeringWorks,Periods,InputPriceIndex_1,ChangesComparedWithOneYearEarlier_2
127,A048147,2020MM04,158.6,-0.9
128,A048147,2020MM07,161.3,-0.1
129,A048147,2020MM10,160.5,0.0
130,A048147,2021MM01,162.7,0.1
131,A048147,2021MM04,167.8,5.8
132,A048147,2021MM07,172.0,6.6
133,A048147,2021MM10,174.0,8.4
134,A048147,2022MM01,181.0,11.3
135,A048147,2022MM04,200.9,19.7
136,A048147,2022MM07,201.9,17.4
137,A048147,2022MM10,200.2,15.1
138,A048147,2023MM01,197.8,9.3
139,A048147,2023MM04,199.4,-0.7
140,A048147,2023MM07,202.9,0.5
141,A048147,2023MM10,208.1,3.9
142,A048147,2024MM01,206.4,4.3
143,A048147,2024MM02,207.6,
144,A048147,2024MM03,207.1,
145,A048147,2024MM04,208.0,4.3
146,A048147,2024MM05,208.1,
147,A048147,2024MM06,207.3,
148,A048147,2024MM07,211.1,4.0
149,A048147,2024MM08,211.0,
150,A048147,2024MM09,207.9,
151,A048147,2024MM10,207.9,-0.1
152,A048147,2024MM11,209.8,
153,A048147,2024MM12,208.6,
154,A048147,2025MM01,210.7,2.1
155,A048147,2025MM02,211.8,2.1
156,A048147,2025MM03,213.2,2.9
157,A048147,2025MM04,209.9,0.9
158,A048147,2025MM05,209.6,0.7
159,A048147,2025MM06,209.6,1.1
160,A048147,2025MM07,211.5,0.2
161,A048147,2025MM08,210.9,-0.1
162,A048147,2025MM09,209.9,1.0
163,A048147,2025MM10,210.6,1.3
164,A048123,1979MM02,54.4,
165,A048123,1979MM08,56.9,
166,A048123,1980MM02,59.6,9.6
167,A048123,1980MM08,60.7,6.7
168,A048123,1981MM02,63.1,5.9
169,A048123,1981MM08,64.4,6.1
170,A048123,1982MM02,65.7,4.1
171,A048123,1982MM08,66.0,2.5
172,A048123,1983MM02,65.4,-0.5
173,A048123,1983MM08,65.8,-0.3
174,A048123,1984MM02,65.8,0.6
175,A048123,1984MM08,66.8,1.5
176,A048123,1985MM02,67.2,2.1
177,A048123,1985MM08,68.1,1.9
178,A048123,1986MM02,69.2,3.0
179,A048123,1986MM08,69.7,2.3
180,A048123,1987MM02,70.8,2.3
181,A048123,1987MM08,71.1,2.0
182,A048123,1988MM02,72.2,2.0
183,A048123,1988MM08,72.4,1.8
184,A048123,1989MM02,73.6,1.9
185,A048123,1989MM08,75.0,3.6
186,A048123,1990MM02,76.5,3.9
187,A048123,1990MM08,77.7,3.6
188,A048123,1991MM02,79.9,4.4
189,A048123,1991MM08,80.1,3.1
190,A048123,1992MM02,82.6,3.4
191,A048123,1992MM08,83.6,4.4
192,A048123,1993MM02,86.2,4.4
193,A048123,1993MM08,86.5,3.5
194,A048123,1994MM02,86.7,0.6
195,A048123,1994MM08,87.2,0.8
196,A048123,1995MM02,88.7,2.3
197,A048123,1995MM08,89.2,2.3
198,A048123,1996MM02,90.6,2.1
199,A048123,1996MM08,91.2,2.2
200,A048123,1997MM02,92.2,1.8
201,A048123,1997MM08,93.0,2.0
202,A048123,1998MM01,94.9,
203,A048123,1998MM04,95.2,
204,A048123,1998MM07,95.6,
205,A048123,1998MM10,95.7,
206,A048123,1999MM01,96.2,1.4
207,A048123,1999MM04,96.8,1.7
208,A048123,1999MM07,97.8,2.3
209,A048123,1999MM10,97.9,2.3
210,A048123,2000MM01,99.1,3.0
211,A048123,2000MM04,99.6,2.9
212,A048123,2000MM07,100.6,2.9
213,A048123,2000MM10,100.7,2.9
214,A048123,2001MM01,103.2,4.1
215,A048123,2001MM04,105.3,5.7
216,A048123,2001MM07,106.5,5.9
217,A048123,2001MM10,106.6,5.9
218,A048123,2002MM01,108.3,4.9
219,A048123,2002MM04,109.1,3.6
220,A048123,2002MM07,110.4,3.7
221,A048123,2002MM10,110.3,3.5
222,A048123,2003MM01,111.9,3.3
223,A048123,2003MM04,111.1,1.8
224,A048123,2003MM07,111.6,1.1
225,A048123,2003MM10,111.9,1.5
226,A048123,2004MM01,112.6,0.6
227,A048123,2004MM04,112.0,0.8
228,A048123,2004MM07,112.9,1.2
229,A048123,2004MM10,113.1,1.1
230,A048123,2005MM01,111.5,-1.0
231,A048123,2005MM04,111.9,-0.1
232,A048123,2005MM07,112.3,-0.5
233,A048123,2005MM10,112.7,-0.4
234,A048123,2006MM01,114.1,2.3
235,A048123,2006MM04,114.1,2.0
236,A048123,2006MM07,114.1,1.6
237,A048123,2006MM10,113.8,1.0
238,A048123,2007MM01,115.5,1.2
239,A048123,2007MM04,116.4,2.0
240,A048123,2007MM07,117.1,2.6
241,A048123,2007MM10,117.4,3.2
242,A048123,2008MM01,119.7,3.6
243,A048123,2008MM04,120.8,3.8
244,A048123,2008MM07,122.3,4.4
245,A048123,2008MM10,122.3,4.2
246,A048123,2009MM01,124.3,3.8
247,A048123,2009MM04,124.4,3.0
248,A048123,2009MM07,124.9,2.1
249,A048123,2009MM10,125.2,2.4
250,A048123,2010MM01,126.9,2.1
251,A048123,2010MM04,126.7,1.8
252,A048123,2010MM07,127.4,2.0
253,A048123,2010MM10,127.0,1.4
254,A048123,2011MM01,128.5,1.3
255,A048123,2011MM04,129.4,2.1
256,A048123,2011MM07,129.5,1.6
257,A048123,2011MM10,129.8,2.2
258,A048123,2012MM01,131.2,2.1
259,A048123,2012MM04,132.1,2.1
260,A048123,2012MM07,132.0,1.9
261,A048123,2012MM10,133.1,2.5
262,A048123,2013MM01,132.6,1.1
263,A048123,2013MM04,132.6,0.4
264,A048123,2013MM07,132.5,0.4
265,A048123,2013MM10,132.2,-0.7
266,A048123,2014MM01,133.6,0.8
267,A048123,2014MM04,133.3,0.5
268,A048123,2014MM07,133.3,0.6
269,A048123,2014MM10,133.5,1.0
270,A048123,2015MM01,131.5,-1.6
271,A048123,2015MM04,132.1,-0.9
272,A048123,2015MM07,133.0,-0.2
273,A048123,2015MM10,132.5,-0.7
274,A048123,2016MM01,132.0,0.4
275,A048123,2016MM04,132.5,0.3
276,A048123,2016MM07,134.4,1.1
277,A048123,2016MM10,134.8,1.7
278,A048123,2017MM01,135.1,2.3
279,A048123,2017MM04,135.2,2.0
280,A048123,2017MM07,134.8,0.3
281,A048123,2017MM10,135.9,0.8
282,A048123,2018MM01,137.7,1.9
283,A048123,2018MM04,138.4,2.4
284,A048123,2018MM07,140.0,3.9
285,A048123,2018MM10,142.3,4.7
286,A048123,2019MM01,142.2,3.3
287,A048123,2019MM04,143.3,3.6
288,A048123,2019MM07,145.0,3.5
289,A048123,2019MM10,145.4,2.2
290,A048123,2020MM01,150.5,5.8
291,A048123,2020MM04,149.8,4.5
292,A048123,2020MM07,151.1,4.2
293,A048123,2020MM10,150.8,3.7
294,A048123,2021MM01,151.6,0.7
295,A048123,2021MM04,152.4,1.7
296,A048123,2021MM07,153.4,1.5
297,A048123,2021MM10,154.2,2.3
298,A048123,2022MM01,160.2,5.7
299,A048123,2022MM04,165.6,8.7
300,A048123,2022MM07,169.3,10.3
301,A048123,2022MM10,172.0,11.5
302,A048123,2023MM01,177.3,10.6
303,A048123,2023MM04,179.8,8.6
304,A048123,2023MM07,181.9,7.5
305,A048123,2023MM10,183.9,6.9
306,A048123,2024MM01,186.2,5.1
307,A048123,2024MM02,186.7,
308,A048123,2024MM03,187.1,
309,A048123,2024MM04,186.8,3.9
310,A048123,2024MM05,186.2,
311,A048123,2024MM06,185.8,
312,A048123,2024MM07,189.1,3.9
313,A048123,2024MM08,188.5,
314,A048123,2024MM09,187.6,
315,A048123,2024MM10,189.0,2.8
316,A048123,2024MM11,189.3,
317,A048123,2024MM12,189.0,
318,A048123,2025MM01,190.9,2.5
319,A048123,2025MM02,191.2,2.4
320,A048123,2025MM03,192.3,2.7
321,A048123,2025MM04,191.7,2.6
322,A048123,2025MM05,192.9,3.6
323,A048123,2025MM06,193.4,4.1
324,A048123,2025MM07,195.0,3.1
325,A048123,2025MM08,194.4,3.1
326,A048123,2025MM09,194.8,3.8
327,A048123,2025MM10,196.0,3.7
328,A048124,1979MM02,49.2,
329,A048124,1979MM08,53.8,
330,A048124,1980MM02,61.5,25.0
331,A048124,1980MM08,63.5,18.0
332,A048124,1981MM02,68.0,10.6
333,A048124,1981MM08,71.5,12.6
334,A048124,1982MM02,72.6,6.8
335,A048124,1982MM08,72.0,0.7
336,A048124,1983MM02,72.1,-0.7
337,A048124,1983MM08,73.0,1.4
338,A048124,1984MM02,74.2,2.9
339,A048124,1984MM08,76.3,4.5
340,A048124,1985MM02,80.1,8.0
341,A048124,1985MM08,79.8,4.6
342,A048124,1986MM02,76.6,-4.4
343,A048124,1986MM08,69.5,-12.9
344,A048124,1987MM02,68.2,-11.0
345,A048124,1987MM08,69.3,-0.3
346,A048124,1988MM02,68.4,0.3
347,A048124,1988MM08,67.0,-3.3
348,A048124,1989MM02,68.6,0.3
349,A048124,1989MM08,72.5,8.2
350,A048124,1990MM02,74.2,8.2
351,A048124,1990MM08,76.6,5.7
352,A048124,1991MM02,77.6,4.6
353,A048124,1991MM08,76.4,-0.3
354,A048124,1992MM02,77.7,0.1
355,A048124,1992MM08,80.6,5.5
356,A048124,1993MM02,82.4,6.0
357,A048124,1993MM08,82.8,2.7
358,A048124,1994MM02,83.4,1.2
359,A048124,1994MM08,84.1,1.6
360,A048124,1995MM02,85.8,2.9
361,A048124,1995MM08,86.2,2.5
362,A048124,1996MM02,87.2,1.6
363,A048124,1996MM08,87.2,1.2
364,A048124,1997MM02,88.7,1.7
365,A048124,1997MM08,88.9,1.9
366,A048124,1998MM01,90.4,
367,A048124,1998MM04,90.8,
368,A048124,1998MM07,91.1,
369,A048124,1998MM10,91.1,
370,A048124,1999MM01,91.3,1.0
371,A048124,1999MM04,92.1,1.4
372,A048124,1999MM07,93.7,2.9
373,A048124,1999MM10,95.6,4.9
374,A048124,2000MM01,97.8,7.1
375,A048124,2000MM04,99.4,7.9
376,A048124,2000MM07,100.4,7.2
377,A048124,2000MM10,102.4,7.1
378,A048124,2001MM01,102.9,5.2
379,A048124,2001MM04,103.8,4.4
380,A048124,2001MM07,104.5,4.1
381,A048124,2001MM10,104.8,2.3
382,A048124,2002MM01,105.7,2.7
383,A048124,2002MM04,106.7,2.8
384,A048124,2002MM07,106.2,1.6
385,A048124,2002MM10,106.2,1.3
386,A048124,2003MM01,108.2,2.4
387,A048124,2003MM04,108.1,1.3
388,A048124,2003MM07,108.3,2.0
389,A048124,2003MM10,108.1,1.8
390,A048124,2004MM01,108.7,0.5
391,A048124,2004MM04,109.2,1.0
392,A048124,2004MM07,110.8,2.3
393,A048124,2004MM10,112.0,3.6
394,A048124,2005MM01,108.2,-0.5
395,A048124,2005MM04,109.3,0.1
396,A048124,2005MM07,114.1,3.0
397,A048124,2005MM10,122.7,9.6
398,A048124,2006MM01,123.4,14.0
399,A048124,2006MM04,131.0,19.9
400,A048124,2006MM07,133.9,17.4
401,A048124,2006MM10,131.4,7.1
402,A048124,2007MM01,127.7,3.5
403,A048124,2007MM04,130.3,-0.5
404,A048124,2007MM07,137.9,3.0
405,A048124,2007MM10,143.5,9.2
406,A048124,2008MM01,154.6,21.1
407,A048124,2008MM04,152.7,17.2
408,A048124,2008MM07,170.9,23.9
409,A048124,2008MM10,172.7,20.3
410,A048124,2009MM01,138.7,-10.3
411,A048124,2009MM04,136.7,-10.5
412,A048124,2009MM07,146.0,-14.6
413,A048124,2009MM10,149.0,-13.7
414,A048124,2010MM01,149.7,7.9
415,A048124,2010MM04,155.0,13.4
416,A048124,2010MM07,156.6,7.3
417,A048124,2010MM10,156.9,5.3
418,A048124,2011MM01,159.9,6.8
419,A048124,2011MM04,165.7,6.9
420,A048124,2011MM07,166.1,6.1
421,A048124,2011MM10,166.7,6.2
422,A048124,2012MM01,169.5,6.0
423,A048124,2012MM04,173.2,4.5
424,A048124,2012MM07,173.9,4.7
425,A048124,2012MM10,175.3,5.2
426,A048124,2013MM01,175.0,3.2
427,A048124,2013MM04,173.5,0.2
428,A048124,2013MM07,173.5,-0.2
429,A048124,2013MM10,173.4,-1.1
430,A048124,2014MM01,173.4,-0.9
431,A048124,2014MM04,173.0,-0.3
432,A048124,2014MM07,173.1,-0.2
433,A048124,2014MM10,172.0,-0.8
434,A048124,2015MM01,161.7,-6.7
435,A048124,2015MM04,163.4,-5.5
436,A048124,2015MM07,164.4,-5.0
437,A048124,2015MM10,159.1,-7.5
438,A048124,2016MM01,152.5,-5.7
439,A048124,2016MM04,154.0,-5.8
440,A048124,2016MM07,160.4,-2.4
441,A048124,2016MM10,162.0,1.8
442,A048124,2017MM01,166.8,9.4
443,A048124,2017MM04,165.5,7.5
444,A048124,2017MM07,162.3,1.2
445,A048124,2017MM10,164.7,1.7
446,A048124,2018MM01,170.4,2.2
447,A048124,2018MM04,165.9,0.2
448,A048124,2018MM07,175.1,7.9
449,A048124,2018MM10,179.4,8.9
450,A048124,2019MM01,167.2,-1.9
451,A048124,2019MM04,174.3,5.1
452,A048124,2019MM07,178.0,1.7
453,A048124,2019MM10,172.2,-4.0
454,A048124,2020MM01,167.6,0.2
455,A048124,2020MM04,152.0,-12.8
456,A048124,2020MM07,161.2,-9.4
457,A048124,2020MM10,158.1,-8.2
458,A048124,2021MM01,158.7,-5.3
459,A048124,2021MM04,172.6,13.5
460,A048124,2021MM07,177.8,10.3
461,A048124,2021MM10,184.3,16.6
462,A048124,2022MM01,189.0,19.1
463,A048124,2022MM04,242.6,40.6
464,A048124,2022MM07,238.6,34.2
465,A048124,2022MM10,216.4,17.4
466,A048124,2023MM01,208.8,10.5
467,A048124,2023MM04,207.3,-14.5
468,A048124,2023MM07,215.3,-9.8
469,A048124,2023MM10,237.9,10.0
470,A048124,2024MM01,216.6,3.7
471,A048124,2024MM02,217.3,
472,A048124,2024MM03,219.2,
473,A048124,2024MM04,220.1,6.2
474,A048124,2024MM05,223.3,
475,A048124,2024MM06,220.7,
476,A048124,2024MM07,225.5,4.7
477,A048124,2024MM08,225.8,
478,A048124,2024MM09,216.9,
479,A048124,2024MM10,211.3,-11.2
480,A048124,2024MM11,222.1,
481,A048124,2024MM12,216.2,
482,A048124,2025MM01,218.1,0.7
483,A048124,2025MM02,220.7,1.6
484,A048124,2025MM03,221.4,1.0
485,A048124,2025MM04,215.0,-2.3
486,A048124,2025MM05,208.7,-6.5
487,A048124,2025MM06,209.0,-5.3
488,A048124,2025MM07,212.4,-5.8
489,A048124,2025MM08,209.3,-7.3
490,A048124,2025MM09,204.5,-5.8
491,A048124,2025MM10,202.6,-4.1
492,A048132,1979MM02,48.6,
493,A048132,1979MM08,51.5,
494,A048132,1980MM02,56.8,16.9
495,A048132,1980MM08,58.4,13.4
496,A048132,1981MM02,61.5,8.3
497,A048132,1981MM08,62.4,6.8
498,A048132,1982MM02,64.2,4.4
499,A048132,1982MM08,64.9,4.0
500,A048132,1983MM02,65.5,2.0
501,A048132,1983MM08,66.3,2.2
502,A048132,1984MM02,67.5,3.1
503,A048132,1984MM08,68.3,3.0
504,A048132,1985MM02,69.7,3.3
505,A048132,1985MM08,70.4,3.1
506,A048132,1986MM02,69.0,-1.0
507,A048132,1986MM08,68.4,-2.8
508,A048132,1987MM02,68.1,-1.3
509,A048132,1987MM08,69.5,1.6
510,A048132,1988MM02,69.6,2.2
511,A048132,1988MM08,69.4,-0.1
512,A048132,1989MM02,70.7,1.6
513,A048132,1989MM08,72.9,5.0
514,A048132,1990MM02,74.7,5.7
515,A048132,1990MM08,76.7,5.2
516,A048132,1991MM02,78.8,5.5
517,A048132,1991MM08,78.6,2.5
518,A048132,1992MM02,80.8,2.5
519,A048132,1992MM08,82.2,4.6
520,A048132,1993MM02,84.3,4.3
521,A048132,1993MM08,85.1,3.5
522,A048132,1994MM02,85.8,1.8
523,A048132,1994MM08,86.5,1.6
524,A048132,1995MM02,87.4,1.9
525,A048132,1995MM08,87.7,1.4
526,A048132,1996MM02,87.4,0.0
527,A048132,1996MM08,87.8,0.1
528,A048132,1997MM02,89.0,1.8
529,A048132,1997MM08,89.4,1.8
530,A048132,1998MM01,90.8,
531,A048132,1998MM04,91.2,
532,A048132,1998MM07,91.5,
533,A048132,1998MM10,91.2,
534,A048132,1999MM01,91.4,0.7
535,A048132,1999MM04,92.2,1.1
536,A048132,1999MM07,93.7,2.4
537,A048132,1999MM10,95.6,4.8
538,A048132,2000MM01,97.8,7.0
539,A048132,2000MM04,99.4,7.8
540,A048132,2000MM07,100.4,7.2
541,A048132,2000MM10,102.5,7.2
542,A048132,2001MM01,102.0,4.3
543,A048132,2001MM04,102.8,3.4
544,A048132,2001MM07,103.4,3.0
545,A048132,2001MM10,103.8,1.3
546,A048132,2002MM01,104.6,2.5
547,A048132,2002MM04,105.5,2.6
548,A048132,2002MM07,104.9,1.5
549,A048132,2002MM10,105.0,1.2
550,A048132,2003MM01,107.0,2.3
551,A048132,2003MM04,107.0,1.4
552,A048132,2003MM07,107.2,2.2
553,A048132,2003MM10,107.4,2.3
554,A048132,2004MM01,107.3,0.3
555,A048132,2004MM04,108.0,0.9
556,A048132,2004MM07,109.8,2.4
557,A048132,2004MM10,111.2,3.5
558,A048132,2005MM01,,
559,A048132,2005MM04,,
560,A048132,2005MM07,,
561,A048132,2005MM10,,
562,A048132,2006MM01,,
563,A048132,2006MM04,,
564,A048132,2006MM07,,
565,A048132,2006MM10,,
566,A048132,2007MM01,,
567,A048132,2007MM04,,
568,A048132,2007MM07,,
569,A048132,2007MM10,,
570,A048132,2008MM01,,
571,A048132,2008MM04,,
572,A048132,2008MM07,,
573,A048132,2008MM10,,
574,A048132,2009MM01,,
575,A048132,2009MM04,,
576,A048132,2009MM07,,
577,A048132,2009MM10,,
578,A048132,2010MM01,,
579,A048132,2010MM04,,
580,A048132,2010MM07,,
581,A048132,2010MM10,,
582,A048132,2011MM01,,
583,A048132,2011MM04,,
584,A048132,2011MM07,,
585,A048132,2011MM10,,
586,A048132,2012MM01,,
587,A048132,2012MM04,,
588,A048132,2012MM07,,
589,A048132,2012MM10,,
590,A048132,2013MM01,,
591,A048132,2013MM04,,
592,A048132,2013MM07,,
593,A048132,2013MM10,,
594,A048132,2014MM01,,
595,A048132,2014MM04,,
596,A048132,2014MM07,,
597,A048132,2014MM10,,
598,A048132,2015MM01,,
599,A048132,2015MM04,,
600,A048132,2015MM07,,
601,A048132,2015MM10,,
602,A048132,2016MM01,,
603,A048132,2016MM04,,
604,A048132,2016MM07,,
605,A048132,2016MM10,,
606,A048132,2017MM01,,
607,A048132,2017MM04,,
608,A048132,2017MM07,,
609,A048132,2017MM10,,
610,A048132,2018MM01,,
611,A048132,2018MM04,,
612,A048132,2018MM07,,
613,A048132,2018MM10,,
614,A048132,2019MM01,,
615,A048132,2019MM04,,
616,A048132,2019MM07,,
617,A048132,2019MM10,,
618,A048132,2020MM01,,
619,A048132,2020MM04,,
620,A048132,2020MM07,,
621,A048132,2020MM10,,
622,A048132,2021MM01,,
623,A048132,2021MM04,,
624,A048132,2021MM07,,
625,A048132,2021MM10,,
626,A048132,2022MM01,,
627,A048132,2022MM04,,
628,A048132,2022MM07,,
629,A048132,2022MM10,,
630,A048132,2023MM01,,
631,A048132,2023MM04,,
632,A048132,2023MM07,,
633,A048132,2023MM10,,
634,A048132,2024MM01,,
635,A048132,2024MM02,,
636,A048132,2024MM03,,
637,A048132,2024MM04,,
638,A048132,2024MM05,,
639,A048132,2024MM06,,
640,A048132,2024MM07,,
641,A048132,2024MM08,,
642,A048132,2024MM09,,
643,A048132,2024MM10,,
644,A048132,2024MM11,,
645,A048132,2024MM12,,
646,A048132,2025MM01,,
647,A048132,2025MM02,,
648,A048132,2025MM03,,
649,A048132,2025MM04,,
650,A048132,2025MM05,,
651,A048132,2025MM06,,
652,A048132,2025MM07,,
653,A048132,2025MM08,,
654,A048132,2025MM09,,
655,A048132,2025MM10,,
656,A023217,1979MM02,,
657,A023217,1979MM08,,
658,A023217,1980MM02,,
659,A023217,1980MM08,,
660,A023217,1981MM02,,
661,A023217,1981MM08,,
662,A023217,1982MM02,,
663,A023217,1982MM08,,
664,A023217,1983MM02,,
665,A023217,1983MM08,,
666,A023217,1984MM02,,
667,A023217,1984MM08,,
668,A023217,1985MM02,,
669,A023217,1985MM08,,
670,A023217,1986MM02,,
671,A023217,1986MM08,,
672,A023217,1987MM02,,
673,A023217,1987MM08,,
674,A023217,1988MM02,,
675,A023217,1988MM08,,
676,A023217,1989MM02,,
677,A023217,1989MM08,,
678,A023217,1990MM02,,
679,A023217,1990MM08,,
680,A023217,1991MM02,,
681,A023217,1991MM08,,
682,A023217,1992MM02,,
683,A023217,1992MM08,,
684,A023217,1993MM02,,
685,A023217,1993MM08,,
686,A023217,1994MM02,,
687,A023217,1994MM08,,
688,A023217,1995MM02,,
689,A023217,1995MM08,,
690,A023217,1996MM02,,
691,A023217,1996MM08,,
692,A023217,1997MM02,,
693,A023217,1997MM08,,
694,A023217,1998MM01,,
695,A023217,1998MM04,,
696,A023217,1998MM07,,
697,A023217,1998MM10,,
698,A023217,1999MM01,,
699,A023217,1999MM04,,
700,A023217,1999MM07,,
701,A023217,1999MM10,,
702,A023217,2000MM01,98.2,
703,A023217,2000MM04,99.4,
704,A023217,2000MM07,100.9,
705,A023217,2000MM10,101.5,
706,A023217,2001MM01,101.9,3.8
707,A023217,2001MM04,102.9,3.5
708,A023217,2001MM07,103.8,2.9
709,A023217,2001MM10,103.8,2.3
710,A023217,2002MM01,105.5,3.5
711,A023217,2002MM04,106.3,3.3
712,A023217,2002MM07,107.1,3.2
713,A023217,2002MM10,107.2,3.3
714,A023217,2003MM01,107.9,2.3
715,A023217,2003MM04,108.2,1.8
716,A023217,2003MM07,108.8,1.6
717,A023217,2003MM10,108.8,1.5
718,A023217,2004MM01,110.7,2.6
719,A023217,2004MM04,116.2,7.4
720,A023217,2004MM07,117.6,8.1
721,A023217,2004MM10,120.5,10.8
722,A023217,2005MM01,120.2,8.6
723,A023217,2005MM04,119.4,2.8
724,A023217,2005MM07,117.1,-0.4
725,A023217,2005MM10,119.8,-0.6
726,A023217,2006MM01,122.0,1.5
727,A023217,2006MM04,124.7,4.4
728,A023217,2006MM07,128.9,10.1
729,A023217,2006MM10,130.2,8.7
730,A023217,2007MM01,131.9,8.1
731,A023217,2007MM04,135.3,8.5
732,A023217,2007MM07,135.9,5.4
733,A023217,2007MM10,135.6,4.1
734,A023217,2008MM01,136.4,3.4
735,A023217,2008MM04,142.3,5.2
736,A023217,2008MM07,150.6,10.8
737,A023217,2008MM10,145.7,7.4
738,A023217,2009MM01,143.9,5.5
739,A023217,2009MM04,142.0,-0.2
740,A023217,2009MM07,143.1,-5.0
741,A023217,2009MM10,142.5,-2.2
742,A023217,2010MM01,143.1,-0.6
743,A023217,2010MM04,145.8,2.7
744,A023217,2010MM07,146.6,2.4
745,A023217,2010MM10,147.6,3.6
746,A023217,2011MM01,149.7,4.6
747,A023217,2011MM04,149.9,2.8
748,A023217,2011MM07,149.9,2.3
749,A023217,2011MM10,149.0,0.9
750,A023217,2012MM01,150.6,0.6
751,A023217,2012MM04,151.5,1.1
752,A023217,2012MM07,152.8,1.9
753,A023217,2012MM10,152.8,2.6
