ID,SBI93,Perioden,Winning_1,EnergieAanvoer_2,EnergieAflevering_3,AanvoerMinusAflevering_4,Voorraadmutatie_5,Verbruikssaldo_6,TotaalInzet_7,InzetElektriciteitWKKOmzetting_8,InzetAndereOmzetting_9,TotaalProductie_10,ProductieElektriciteitWKKOmzetting_11,ProductieAndereOmzetting_12,TotaalSaldoEnergieomzetting_13,SaldoElektriciteitWKKOmzetting_14,SaldoAndereOmzetting_15,TotaalFinaalVerbruik_16,FinaalEnergieverbruik_17,NietEnergetischGebruik_18
534,3.2   ,2002KW03,0.0,116.0,0.0,116.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,115.3,0.7
535,3.2   ,2002KW04,0.0,124.6,0.0,124.6,0.0,124.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.6,123.9,0.7
536,3.2   ,2002JJ00,0.0,476.4,0.0,476.4,0.0,476.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.4,473.2,3.2
537,3.2   ,2003KW01,0.0,115.7,0.0,115.7,0.0,115.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.7,115.0,0.7
538,3.2   ,2003KW02,0.0,123.0,0.0,123.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,122.1,0.8
539,3.2   ,2003KW03,0.0,118.2,0.0,118.2,0.0,118.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.2,117.6,0.6
540,3.1.44,2000KW01,1.3,1434.5,1221.6,213.0,-2.3,212.0,914.1,27.8,886.3,896.7,20.6,876.0,17.4,7.3,10.1,194.4,105.3,89.2
541,3.1.44,2000KW02,1.3,1406.2,1176.4,229.7,-29.3,201.7,856.7,24.1,832.4,840.6,18.4,822.0,16.0,5.5,10.3,185.6,90.9,94.8
542,3.1.44,2000KW03,0.8,1472.7,1234.3,238.3,-19.2,219.9,948.1,27.1,921.1,923.1,19.6,903.5,24.9,7.4,17.6,195.0,94.1,100.9
543,3.1.44,2000KW04,2.3,1495.7,1280.7,215.0,3.3,220.7,1038.4,26.3,1012.0,1010.8,20.1,990.7,27.5,6.2,21.3,193.0,99.4,93.7
544,3.1.44,2000JJ00,5.7,5809.1,4913.0,896.0,-47.5,854.3,3757.3,105.3,3651.8,3671.2,78.7,3592.2,85.8,26.4,59.3,768.0,389.7,378.6
545,3.1.44,2001KW01,1.7,1457.6,1192.5,265.0,-42.8,223.9,958.8,26.6,932.2,932.4,19.7,912.6,26.4,6.6,19.6,197.4,100.4,97.0
546,3.1.44,2001KW02,1.7,1421.6,1242.3,179.5,27.5,208.6,949.9,24.5,925.4,927.7,18.2,909.5,22.3,6.2,16.0,186.4,94.2,92.2
547,3.1.44,2001KW03,1.2,1484.6,1229.8,254.8,-43.2,212.9,937.7,24.7,912.9,915.8,18.4,897.5,21.8,6.3,15.5,191.0,94.3,96.7
548,3.1.44,2001KW04,1.3,1428.0,1263.9,164.3,49.2,214.8,965.0,25.6,939.3,940.4,19.5,920.8,24.5,6.0,18.5,190.1,99.3,90.9
549,3.1.44,2001JJ00,5.9,5791.8,4928.5,863.6,-9.3,860.2,3811.4,101.4,3709.8,3716.3,75.8,3640.4,95.0,25.1,69.6,764.9,388.2,376.8
550,3.1.44,2002KW01,1.7,1423.4,1208.4,215.2,0.9,217.8,958.2,24.6,933.6,936.6,18.4,918.2,21.4,6.0,15.4,196.3,99.8,96.5
551,3.1.44,2002KW02,1.7,1392.4,1180.2,212.2,-4.2,209.6,890.3,23.2,867.0,868.0,17.5,850.5,22.0,5.4,16.6,187.6,95.2,92.3
552,3.1.44,2002KW03,1.7,1403.4,1206.7,196.5,16.6,215.0,933.6,24.9,908.5,912.3,18.7,893.8,21.0,6.3,14.8,193.7,99.9,93.8
553,3.1.44,2002KW04,1.9,1409.6,1195.9,213.7,11.6,227.3,929.1,25.8,903.4,906.5,18.6,888.0,22.6,7.1,15.6,204.8,102.3,102.3
554,3.1.44,2002JJ00,7.0,5628.8,4791.2,837.6,24.9,869.7,3711.2,98.5,3612.5,3623.4,73.2,3550.5,87.0,24.8,62.4,782.4,397.2,384.9
555,3.1.44,2003KW01,1.9,1372.1,1165.5,206.6,17.4,225.8,925.2,25.5,899.6,903.0,18.7,884.3,21.9,6.6,15.5,203.7,105.2,98.5
556,3.1.44,2003KW02,1.8,1535.5,1273.8,261.5,-36.0,227.4,973.7,24.7,949.0,952.8,17.7,935.2,20.7,6.8,13.9,206.7,102.5,104.3
557,3.1.44,2003KW03,1.4,1490.1,1260.1,229.9,-0.5,230.8,1055.0,22.7,1032.3,1028.0,16.5,1011.5,26.9,6.2,20.9,203.8,102.0,101.8
558,3.1.51,2000KW01,0.5,72.6,28.0,44.6,5.6,50.6,32.9,1.2,31.7,29.1,0.9,28.2,3.7,0.2,3.5,46.9,25.4,21.5
559,3.1.51,2000KW02,0.4,73.3,26.7,46.8,-0.6,46.7,31.4,1.0,30.3,27.8,0.9,27.0,3.5,0.1,3.4,43.2,20.4,22.7
560,3.1.51,2000KW03,0.4,70.2,28.7,41.5,1.3,43.3,33.3,0.9,32.4,29.9,0.8,29.1,3.5,0.2,3.3,39.8,18.6,21.2
561,3.1.51,2000KW04,0.4,80.4,28.7,51.6,-3.8,48.2,31.9,1.0,31.0,28.5,0.8,27.7,3.3,0.1,3.2,44.8,23.3,21.5
562,3.1.51,2000JJ00,1.7,296.5,112.1,184.5,2.5,188.8,129.5,4.1,125.4,115.3,3.4,112.0,14.0,0.6,13.4,174.7,87.7,86.9
563,3.1.51,2001KW01,0.3,75.9,31.2,44.6,7.3,52.1,32.7,1.2,31.5,29.2,1.0,28.2,3.4,0.2,3.3,48.7,25.1,23.5
564,3.1.51,2001KW02,0.5,80.1,29.2,50.8,-5.5,45.7,33.8,1.1,32.7,30.3,0.9,29.3,3.5,0.2,3.4,42.1,20.7,21.4
