ID,EconomicActivityAndOtherItems,Periods,OutputBasicPrices_1,IntermediateConsumption_2,GrossValueAddedBasicPrices_3,OutputBasicPrices_4,IntermediateConsumption_5,GrossValueAddedBasicPrices_6,OutputBasicPrices_7,IntermediateConsumption_8,GrossValueAddedBasicPrices_9,OutputBasicPrices_10,IntermediateConsumption_11,GrossValueAddedBasicPrices_12,TotalCompensationOfEmployees_13,WagesAndSalaries_14,EmployersSocialContributions_15,NetOperatingSurplusMixedIncome_16,ConsumptionOfFixedCapital_17,OtherTaxesLessSubsidies_18,OtherTaxesOnProduction_19,OtherSubsidiesOnProd_20,GrossValueAddedBasicPrices_21
3161,395000,2006JJ00,15965.0,6849.0,9116.0,15644.0,6717.0,8927.0,8.9,8.8,9.0,102.1,102.0,102.1,6558.0,5303.0,1255.0,,,-15.0,13.0,28.0,9116.0
3162,395000,2007JJ00,17913.0,7556.0,10357.0,16869.0,7209.0,9659.0,7.8,7.3,8.2,106.2,104.8,107.2,7235.0,5871.0,1364.0,,,-14.0,14.0,28.0,10357.0
3163,395000,2008JJ00,19276.0,8179.0,11097.0,17807.0,7621.0,10186.0,5.6,5.7,5.5,108.3,107.3,108.9,7963.0,6466.0,1497.0,,,-13.0,16.0,29.0,11097.0
3164,395000,2009JJ00,18326.0,7914.0,10412.0,17124.0,7318.0,9806.0,-3.8,-4.0,-3.7,107.0,108.1,106.2,8301.0,6617.0,1684.0,,,-21.0,16.0,37.0,10412.0
3165,395000,2010JJ00,18314.0,7930.0,10384.0,16935.0,7248.0,9687.0,-1.1,-0.9,-1.2,108.1,109.4,107.2,8200.0,6515.0,1685.0,,,-23.0,16.0,39.0,10384.0
3166,395000,2011JJ00,18552.0,8174.0,10378.0,17398.0,7430.0,9968.0,2.7,2.5,2.9,106.6,110.0,104.1,8445.0,6690.0,1755.0,,,-19.0,16.0,35.0,10378.0
3167,395000,2012JJ00,18123.0,8085.0,10038.0,17265.0,7337.0,9930.0,-0.8,-1.3,-0.4,105.0,110.2,101.1,8671.0,6805.0,1866.0,,,-18.0,10.0,28.0,10038.0
3168,395600,1969JJ00,,,,,,,,,,,,,,,,,,,,,
3169,395600,1970JJ00,,,,,,,,,,,,,,,,,,,,,
3170,395600,1971JJ00,,,,,,,,,,,,,,,,,,,,,
3171,395600,1972JJ00,,,,,,,,,,,,,,,,,,,,,
3172,395600,1973JJ00,,,,,,,,,,,,,,,,,,,,,
3173,395600,1974JJ00,,,,,,,,,,,,,,,,,,,,,
3174,395600,1975JJ00,,,,,,,,,,,,,,,,,,,,,
3175,395600,1976JJ00,,,,,,,,,,,,,,,,,,,,,
3176,395600,1977JJ00,,,,,,,,,,,,,,,,,,,,,
3177,395600,1978JJ00,,,,,,,,,,,,,,,,,,,,,
