ID,Geslacht,Leeftijd,ZorgvormZvwZorgkosten,Perioden,PersonenMetZvwZorgkostenRelatief_1,GemiddeldeZorgkostenAllePersonen_2,GemiddeldeZorgkostenGebruikers_3,Zorgkosten50ePercentielGebruikers_4,Zorgkosten95ePercentielGebruikers_5,Zorgkosten99ePercentielGebruikers_6
50,T001038,10000  ,A052781,2022JJ00,5.1,259.0,4948.0,1828.0,17124.0,59132.0
51,T001038,10000  ,A052781,2023JJ00,5.3,283.0,5208.0,1950.0,17981.0,61928.0
52,T001038,10000  ,A042747,2020JJ00,3.3,190.0,5814.0,2370.0,21500.0,39226.0
53,T001038,10000  ,A042747,2021JJ00,3.3,186.0,5613.0,2273.0,20790.0,37668.0
54,T001038,10000  ,A042747,2022JJ00,3.3,174.0,5314.0,2120.0,19801.0,35974.0
55,T001038,10000  ,A042747,2023JJ00,3.3,181.0,5518.0,2208.0,20683.0,36908.0
56,T001038,10000  ,A042757,2020JJ00,0.2,10.0,5959.0,1887.0,27985.0,42278.0
57,T001038,10000  ,A042757,2021JJ00,0.2,11.0,5900.0,1799.0,27845.0,42405.0
58,T001038,10000  ,A042757,2022JJ00,0.2,11.0,5820.0,1780.0,27491.0,42491.0
59,T001038,10000  ,A042757,2023JJ00,0.2,12.0,5988.0,1781.0,28492.0,45020.0
60,T001038,10000  ,A049496,2020JJ00,0.2,17.0,7494.0,5208.0,21630.0,38048.0
61,T001038,10000  ,A049496,2021JJ00,0.2,19.0,7823.0,5577.0,22246.0,38891.0
62,T001038,10000  ,A049496,2022JJ00,0.2,17.0,7988.0,5486.0,23295.0,41652.0
63,T001038,10000  ,A049496,2023JJ00,0.2,18.0,8362.0,5697.0,24399.0,42902.0
64,T001038,10000  ,A042754,2020JJ00,1.3,14.0,1061.0,1207.0,1464.0,2581.0
65,T001038,10000  ,A042754,2021JJ00,1.3,12.0,911.0,872.0,1469.0,2227.0
66,T001038,10000  ,A042754,2022JJ00,,,,,,
67,T001038,10000  ,A042754,2023JJ00,,,,,,
68,T001038,10000  ,A042755,2020JJ00,3.0,228.0,7259.0,2723.0,26137.0,80176.0
69,T001038,10000  ,A042755,2021JJ00,2.9,154.0,5103.0,2467.0,18493.0,59221.0
70,T001038,10000  ,A042755,2022JJ00,,,,,,
71,T001038,10000  ,A042755,2023JJ00,,,,,,
72,T001038,10000  ,A042760,2020JJ00,2.4,8.0,300.0,107.0,839.0,2300.0
73,T001038,10000  ,A042760,2021JJ00,2.8,13.0,388.0,108.0,900.0,4153.0
74,T001038,10000  ,A042760,2022JJ00,2.9,10.0,360.0,107.0,750.0,4480.0
75,T001038,10000  ,A042760,2023JJ00,3.7,13.0,336.0,97.0,704.0,3701.0
