ID,Perioden,DelfstoffenwinningEnIndustrie_1,Delfstoffenwinning_2,IndustrieTotaal_3,VoedingsEnGenotmiddelenTotaal_4,VerwerkingVanVeehouderijproducten_5,VerwerkingVanOverigeProducten_6,Drankenindustrie_7,TabakverwerkendeIndustrie_8,Textielindustrie_9,Kledingindustrie_10,LederwarenEnSchoenenindustrie_11,Houtindustrie_12,PapierEnPapierwarenIndustrie_13,GrafischeIndustrieEnUitgeverijen_14,AardolieIndustrie_15,ChemischeIndustrie_16,RubberKunststofverwerkendeIndustrie_17,BouwmaterialenAardewerkGlasindustrie_18,TotaalMetaalindustrie_19,BasismetaalIndustrie_20,OverigeMetaalIndustrie_21,OpenbareNutsbedrijven_22,DelfstoffenwinningEnIndustrie_23,Delfstoffenwinning_24,IndustrieTotaal_25,VoedingsEnGenotmiddelenTotaal_26,VerwerkingVanVeehouderijproducten_27,VerwerkingVanOverigeProducten_28,Drankenindustrie_29,TabakverwerkendeIndustrie_30,Textielindustrie_31,Kledingindustrie_32,LederwarenEnSchoenenindustrie_33,Houtindustrie_34,PapierEnPapierwarenIndustrie_35,GrafischeIndustrieEnUitgeverijen_36,AardolieIndustrie_37,ChemischeIndustrie_38,RubberKunststofverwerkendeIndustrie_39,BouwmaterialenAardewerkGlasindustrie_40,MetaalindustrieTotaal_41,BasismetaalIndustrie_42,OverigeMetaalIndustrie_43,OpenbareNutsbedrijven_44
37,1951JJ00,17.0,32.0,16.0,21.0,27.0,24.0,7.0,17.0,65.0,169.0,236.0,,,,18.0,4.0,,26.0,13.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,
38,1952JJ00,17.0,32.0,16.0,22.0,28.0,25.0,7.0,20.0,65.0,155.0,240.0,,,,20.0,4.0,,26.0,13.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,
39,1953JJ00,19.0,32.0,18.0,23.0,29.0,25.0,7.0,21.0,73.0,176.0,248.0,,12.0,,21.0,4.0,12.0,26.0,15.0,12.0,15.0,7.0,,,,,,,,,,,,,,,,,,,,,,
40,1954JJ00,21.0,32.0,19.0,23.0,34.0,25.0,7.0,21.0,77.0,199.0,270.0,,13.0,,27.0,4.0,13.0,28.0,17.0,13.0,17.0,9.0,,,,,,,,,,,,,,,,,,,,,,
41,1955JJ00,21.0,34.0,20.0,24.0,34.0,26.0,8.0,22.0,80.0,216.0,291.0,,14.0,,31.0,4.0,14.0,31.0,18.0,16.0,19.0,10.0,,,,,,,,,,,,,,,,,,,,,,
42,1956JJ00,22.0,34.0,22.0,25.0,35.0,27.0,8.0,23.0,85.0,242.0,296.0,33.0,15.0,,34.0,5.0,15.0,35.0,21.0,16.0,21.0,11.0,,,,,,,,,,,,,,,,,,,,,,
43,1957JJ00,23.0,34.0,23.0,26.0,37.0,27.0,9.0,24.0,85.0,237.0,283.0,34.0,17.0,,37.0,5.0,15.0,36.0,21.0,18.0,21.0,12.0,,,,,,,,,,,,,,,,,,,,,,
44,1958JJ00,24.0,35.0,23.0,27.0,37.0,30.0,10.0,24.0,79.0,235.0,274.0,31.0,17.0,,38.0,6.0,15.0,32.0,21.0,21.0,21.0,12.0,,,,,,,,,,,,,,,,,,,,,,
45,1959JJ00,27.0,36.0,25.0,29.0,43.0,31.0,10.0,24.0,88.0,259.0,300.0,37.0,19.0,,40.0,7.0,18.0,36.0,23.0,23.0,24.0,13.0,,,,,,,,,,,,,,,,,,,,,,
46,1960JJ00,29.0,37.0,28.0,31.0,45.0,34.0,12.0,24.0,94.0,280.0,296.0,40.0,21.0,,48.0,7.0,20.0,39.0,26.0,26.0,26.0,14.0,,,,,,,,,,,,,,,,,,,,,,
