ID,Btw,Perioden,Transporttarief_1,VastLeveringstarief_2,VariabelLeveringstarief_3,OpslagDuurzameEnergieODE_4,Energiebelasting_5,Transporttarief_6,VastLeveringstarief_7,VariabelLeveringstarief_8,OpslagDuurzameEnergieODE_9,Energiebelasting_10,VerminderingEnergiebelasting_11
89,A048945,2019MM07,146.76,55.97,0.2834,0.0524,0.29313,196.87,56.02,0.0649,0.0189,0.09863,-257.54
90,A048945,2019MM08,146.76,56.23,0.2763,0.0524,0.29313,196.87,56.55,0.0635,0.0189,0.09863,-257.54
91,A048945,2019MM09,146.76,56.23,0.2747,0.0524,0.29313,196.87,56.55,0.0638,0.0189,0.09863,-257.54
92,A048945,2019MM10,146.76,56.23,0.2724,0.0524,0.29313,196.87,56.55,0.0636,0.0189,0.09863,-257.54
93,A048945,2019MM11,146.76,56.23,0.2744,0.0524,0.29313,196.87,56.56,0.0639,0.0189,0.09863,-257.54
94,A048945,2019MM12,146.76,56.23,0.2728,0.0524,0.29313,196.87,56.56,0.0633,0.0189,0.09863,-257.54
95,A048945,2019JJ00,146.78,54.99,0.2897,0.0524,0.29313,196.96,54.93,0.0664,0.0189,0.09863,-257.54
96,A048945,2020MM01,153.19,54.98,0.2667,0.0775,0.33307,199.88,55.79,0.0635,0.0273,0.0977,-435.68
97,A048945,2020MM02,153.19,54.98,0.2619,0.0775,0.33307,199.88,55.79,0.0624,0.0273,0.0977,-435.68
98,A048945,2020MM03,153.19,55.47,0.2529,0.0775,0.33307,199.88,56.26,0.0605,0.0273,0.0977,-435.68
99,A048945,2020MM04,153.19,55.38,0.2432,0.0775,0.33307,199.88,56.18,0.0584,0.0273,0.0977,-435.68
100,A048945,2020MM05,153.19,55.38,0.2387,0.0775,0.33307,199.88,56.18,0.0571,0.0273,0.0977,-435.68
101,A048945,2020MM06,153.19,55.38,0.2349,0.0775,0.33307,199.88,56.18,0.0564,0.0273,0.0977,-435.68
102,A048945,2020MM07,153.19,56.62,0.2162,0.0775,0.33307,199.88,56.88,0.0558,0.0273,0.0977,-435.68
103,A048945,2020MM08,153.19,56.16,0.2174,0.0775,0.33307,199.88,56.93,0.0566,0.0273,0.0977,-435.68
104,A048945,2020MM09,153.19,57.17,0.2177,0.0775,0.33307,199.88,57.31,0.0571,0.0273,0.0977,-435.68
105,A048945,2020MM10,153.19,57.17,0.2189,0.0775,0.33307,199.88,57.31,0.0572,0.0273,0.0977,-435.68
106,A048945,2020MM11,153.19,57.27,0.2228,0.0775,0.33307,199.88,57.39,0.058,0.0273,0.0977,-435.68
107,A048945,2020MM12,153.19,57.52,0.2248,0.0775,0.33307,199.88,57.62,0.0578,0.0273,0.0977,-435.68
108,A048945,2020JJ00,153.19,56.12,0.2347,0.0775,0.33307,199.88,56.65,0.0584,0.0273,0.0977,-435.68
109,A048945,2021MM01,155.25,58.01,0.2198,0.0851,0.34856,212.69,58.95,0.0576,0.03,0.09428,-461.62
110,A048945,2021MM02,155.25,57.99,0.228,0.0851,0.34856,212.69,59.18,0.0608,0.03,0.09428,-461.62
111,A048945,2021MM03,155.25,57.99,0.2349,0.0851,0.34856,212.69,59.18,0.0622,0.03,0.09428,-461.62
112,A048945,2021MM04,155.25,58.48,0.2389,0.0851,0.34856,212.69,59.6,0.0634,0.03,0.09428,-461.62
113,A048945,2021MM05,155.25,58.48,0.2385,0.0851,0.34856,212.69,59.6,0.0643,0.03,0.09428,-461.62
114,A048945,2021MM06,155.25,58.48,0.2492,0.0851,0.34856,212.69,59.6,0.0671,0.03,0.09428,-461.62
115,A048945,2021MM07,155.25,59.48,0.2834,0.0851,0.34856,212.69,60.55,0.0767,0.03,0.09428,-461.62
116,A048945,2021MM08,155.25,59.68,0.2945,0.0851,0.34856,212.69,60.55,0.0779,0.03,0.09428,-461.62
117,A048945,2021MM09,155.25,59.68,0.3351,0.0851,0.34856,212.69,60.55,0.0879,0.03,0.09428,-461.62
118,A048945,2021MM10,155.25,59.68,0.4362,0.0851,0.34856,212.69,60.55,0.1049,0.03,0.09428,-461.62
119,A048945,2021MM11,155.25,59.72,0.6181,0.0851,0.34856,212.69,60.55,0.145,0.03,0.09428,-461.62
120,A048945,2021MM12,155.25,59.26,0.7388,0.0851,0.34856,212.69,60.18,0.1809,0.03,0.09428,-461.62
121,A048945,2021JJ00,155.25,58.91,0.343,0.0851,0.34856,212.69,59.92,0.0874,0.03,0.09428,-461.62
122,A048945,2022MM01,158.12,60.12,0.9881,0.0865,0.36322,220.76,59.96,0.2619,0.0305,0.03679,-681.63
123,A048945,2022MM02,158.12,60.12,0.9295,0.0865,0.36322,220.76,59.96,0.2451,0.0305,0.03679,-681.63
124,A048945,2022MM03,158.12,60.12,1.5248,0.0865,0.36322,220.76,59.96,0.3978,0.0305,0.03679,-681.63
125,A048945,2022MM04,158.12,60.12,1.392,0.0865,0.36322,220.76,59.96,0.3606,0.0305,0.03679,-681.63
126,A048945,2022MM05,158.12,60.12,1.1752,0.0865,0.36322,220.76,59.96,0.2986,0.0305,0.03679,-681.63
127,A048945,2022MM06,158.12,60.12,1.0067,0.0865,0.36322,220.76,59.96,0.2762,0.0305,0.03679,-681.63
128,A048945,2022MM07,158.12,60.12,1.4595,0.0865,0.36322,220.76,59.96,0.3842,0.0305,0.03679,-681.63
129,A048945,2022MM08,158.12,60.12,1.9401,0.0865,0.36322,220.76,59.96,0.4613,0.0305,0.03679,-681.63
130,A048945,2022MM09,158.12,60.12,2.5418,0.0865,0.36322,220.76,59.96,0.5907,0.0305,0.03679,-681.63
131,A048945,2022MM10,158.12,60.12,2.5532,0.0865,0.36322,220.76,59.96,0.6044,0.0305,0.03679,-681.63
132,A048945,2022MM11,158.12,60.12,1.6698,0.0865,0.36322,220.76,59.96,0.4831,0.0305,0.03679,-681.63
133,A048945,2022MM12,158.12,60.12,1.6698,0.0865,0.36322,220.76,59.96,0.477,0.0305,0.03679,-681.63
134,A048945,2022JJ00,158.12,60.12,1.5709,0.0865,0.36322,220.76,59.96,0.4034,0.0305,0.03679,-681.63
135,A048945,2023MM01,179.91,,,,0.4898,282.78,,,,0.12599,-493.27
136,A048945,2023MM02,179.91,,,,0.4898,282.78,,,,0.12599,-493.27
137,A048945,2023MM03,179.91,,,,0.4898,282.78,,,,0.12599,-493.27
138,A048945,2023MM04,179.91,,,,0.4898,282.78,,,,0.12599,-493.27
139,A048945,2023MM05,179.91,,,,0.4898,282.78,,,,0.12599,-493.27
