ID,Woningkenmerken,GebruiksOppervlakteklasse,BewonersklasseWoningen,Percentielen,Perioden,ElektriciteitsleveringenOpenbareNet_1
111,ZW25810,T001116,A043073,A043066,2019JJ00,565.0
112,ZW25810,T001116,A043073,A043067,2012JJ00,919.5
113,ZW25810,T001116,A043073,A043067,2013JJ00,913.0
114,ZW25810,T001116,A043073,A043067,2014JJ00,884.0
115,ZW25810,T001116,A043073,A043067,2015JJ00,872.5
116,ZW25810,T001116,A043073,A043067,2016JJ00,855.0
117,ZW25810,T001116,A043073,A043067,2017JJ00,841.5
118,ZW25810,T001116,A043073,A043067,2018JJ00,826.0
119,ZW25810,T001116,A043073,A043067,2019JJ00,802.5
120,ZW25810,T001116,A043073,A043068,2012JJ00,1201.0
121,ZW25810,T001116,A043073,A043068,2013JJ00,1192.0
122,ZW25810,T001116,A043073,A043068,2014JJ00,1153.0
123,ZW25810,T001116,A043073,A043068,2015JJ00,1136.0
124,ZW25810,T001116,A043073,A043068,2016JJ00,1113.5
125,ZW25810,T001116,A043073,A043068,2017JJ00,1096.0
126,ZW25810,T001116,A043073,A043068,2018JJ00,1078.0
127,ZW25810,T001116,A043073,A043068,2019JJ00,1047.5
128,ZW25810,T001116,A043073,A043069,2012JJ00,1546.0
129,ZW25810,T001116,A043073,A043069,2013JJ00,1536.0
130,ZW25810,T001116,A043073,A043069,2014JJ00,1488.5
131,ZW25810,T001116,A043073,A043069,2015JJ00,1468.0
132,ZW25810,T001116,A043073,A043069,2016JJ00,1438.0
133,ZW25810,T001116,A043073,A043069,2017JJ00,1413.5
134,ZW25810,T001116,A043073,A043069,2018JJ00,1394.0
135,ZW25810,T001116,A043073,A043069,2019JJ00,1356.0
136,ZW25810,T001116,A043073,A043070,2012JJ00,2075.0
137,ZW25810,T001116,A043073,A043070,2013JJ00,2069.0
138,ZW25810,T001116,A043073,A043070,2014JJ00,2005.0
139,ZW25810,T001116,A043073,A043070,2015JJ00,1991.5
140,ZW25810,T001116,A043073,A043070,2016JJ00,1947.5
141,ZW25810,T001116,A043073,A043070,2017JJ00,1917.0
142,ZW25810,T001116,A043073,A043070,2018JJ00,1897.0
143,ZW25810,T001116,A043073,A043070,2019JJ00,1847.5
144,ZW25810,T001116,A043074,A043830,2012JJ00,951.5
145,ZW25810,T001116,A043074,A043830,2013JJ00,940.4
146,ZW25810,T001116,A043074,A043830,2014JJ00,907.9
147,ZW25810,T001116,A043074,A043830,2015JJ00,900.4
148,ZW25810,T001116,A043074,A043830,2016JJ00,874.8
149,ZW25810,T001116,A043074,A043830,2017JJ00,856.6
150,ZW25810,T001116,A043074,A043830,2018JJ00,843.0
151,ZW25810,T001116,A043074,A043830,2019JJ00,821.7
152,ZW25810,T001116,A043074,A043066,2012JJ00,464.7
153,ZW25810,T001116,A043074,A043066,2013JJ00,466.0
154,ZW25810,T001116,A043074,A043066,2014JJ00,452.7
155,ZW25810,T001116,A043074,A043066,2015JJ00,449.7
156,ZW25810,T001116,A043074,A043066,2016JJ00,441.3
157,ZW25810,T001116,A043074,A043066,2017JJ00,431.3
158,ZW25810,T001116,A043074,A043066,2018JJ00,422.0
159,ZW25810,T001116,A043074,A043066,2019JJ00,414.7
160,ZW25810,T001116,A043074,A043067,2012JJ00,688.3
161,ZW25810,T001116,A043074,A043067,2013JJ00,682.3
162,ZW25810,T001116,A043074,A043067,2014JJ00,659.3
163,ZW25810,T001116,A043074,A043067,2015JJ00,650.7
164,ZW25810,T001116,A043074,A043067,2016JJ00,633.3
165,ZW25810,T001116,A043074,A043067,2017JJ00,617.0
166,ZW25810,T001116,A043074,A043067,2018JJ00,605.0
167,ZW25810,T001116,A043074,A043067,2019JJ00,589.3
168,ZW25810,T001116,A043074,A043068,2012JJ00,909.0
169,ZW25810,T001116,A043074,A043068,2013JJ00,895.7
170,ZW25810,T001116,A043074,A043068,2014JJ00,864.3
171,ZW25810,T001116,A043074,A043068,2015JJ00,851.3
172,ZW25810,T001116,A043074,A043068,2016JJ00,828.0
173,ZW25810,T001116,A043074,A043068,2017JJ00,809.7
174,ZW25810,T001116,A043074,A043068,2018JJ00,794.0
175,ZW25810,T001116,A043074,A043068,2019JJ00,773.0
176,ZW25810,T001116,A043074,A043069,2012JJ00,1175.0
177,ZW25810,T001116,A043074,A043069,2013JJ00,1158.0
178,ZW25810,T001116,A043074,A043069,2014JJ00,1114.7
179,ZW25810,T001116,A043074,A043069,2015JJ00,1104.0
180,ZW25810,T001116,A043074,A043069,2016JJ00,1073.0
181,ZW25810,T001116,A043074,A043069,2017JJ00,1051.3
182,ZW25810,T001116,A043074,A043069,2018JJ00,1034.0
183,ZW25810,T001116,A043074,A043069,2019JJ00,1007.7
184,ZW25810,T001116,A043074,A043070,2012JJ00,1583.7
185,ZW25810,T001116,A043074,A043070,2013JJ00,1567.3
186,ZW25810,T001116,A043074,A043070,2014JJ00,1511.7
187,ZW25810,T001116,A043074,A043070,2015JJ00,1509.7
188,ZW25810,T001116,A043074,A043070,2016JJ00,1467.3
189,ZW25810,T001116,A043074,A043070,2017JJ00,1442.7
190,ZW25810,T001116,A043074,A043070,2018JJ00,1426.0
191,ZW25810,T001116,A043074,A043070,2019JJ00,1392.3
192,ZW25810,T001116,A043075,A043830,2012JJ00,799.0
193,ZW25810,T001116,A043075,A043830,2013JJ00,787.0
194,ZW25810,T001116,A043075,A043830,2014JJ00,762.6
195,ZW25810,T001116,A043075,A043830,2015JJ00,765.4
196,ZW25810,T001116,A043075,A043830,2016JJ00,736.4
197,ZW25810,T001116,A043075,A043830,2017JJ00,722.4
198,ZW25810,T001116,A043075,A043830,2018JJ00,713.0
199,ZW25810,T001116,A043075,A043830,2019JJ00,698.1
200,ZW25810,T001116,A043075,A043066,2012JJ00,395.5
201,ZW25810,T001116,A043075,A043066,2013JJ00,400.0
202,ZW25810,T001116,A043075,A043066,2014JJ00,390.8
203,ZW25810,T001116,A043075,A043066,2015JJ00,387.5
204,ZW25810,T001116,A043075,A043066,2016JJ00,377.5
205,ZW25810,T001116,A043075,A043066,2017JJ00,369.3
206,ZW25810,T001116,A043075,A043066,2018JJ00,363.0
207,ZW25810,T001116,A043075,A043066,2019JJ00,354.8
208,ZW25810,T001116,A043075,A043067,2012JJ00,582.4
209,ZW25810,T001116,A043075,A043067,2013JJ00,576.5
210,ZW25810,T001116,A043075,A043067,2014JJ00,558.3
211,ZW25810,T001116,A043075,A043067,2015JJ00,556.0
212,ZW25810,T001116,A043075,A043067,2016JJ00,537.3
213,ZW25810,T001116,A043075,A043067,2017JJ00,525.3
214,ZW25810,T001116,A043075,A043067,2018JJ00,516.0
215,ZW25810,T001116,A043075,A043067,2019JJ00,504.3
216,ZW25810,T001116,A043075,A043068,2012JJ00,764.5
217,ZW25810,T001116,A043075,A043068,2013JJ00,752.8
218,ZW25810,T001116,A043075,A043068,2014JJ00,727.5
219,ZW25810,T001116,A043075,A043068,2015JJ00,725.5
220,ZW25810,T001116,A043075,A043068,2016JJ00,700.3
221,ZW25810,T001116,A043075,A043068,2017JJ00,684.8
222,ZW25810,T001116,A043075,A043068,2018JJ00,674.0
223,ZW25810,T001116,A043075,A043068,2019JJ00,658.3
224,ZW25810,T001116,A043075,A043069,2012JJ00,984.5
225,ZW25810,T001116,A043075,A043069,2013JJ00,965.0
226,ZW25810,T001116,A043075,A043069,2014JJ00,933.9
227,ZW25810,T001116,A043075,A043069,2015JJ00,937.3
228,ZW25810,T001116,A043075,A043069,2016JJ00,900.3
229,ZW25810,T001116,A043075,A043069,2017JJ00,883.8
230,ZW25810,T001116,A043075,A043069,2018JJ00,873.0
231,ZW25810,T001116,A043075,A043069,2019JJ00,853.0
232,ZW25810,T001116,A043075,A043070,2012JJ00,1318.3
233,ZW25810,T001116,A043075,A043070,2013JJ00,1288.8
234,ZW25810,T001116,A043075,A043070,2014JJ00,1249.8
235,ZW25810,T001116,A043075,A043070,2015JJ00,1273.8
236,ZW25810,T001116,A043075,A043070,2016JJ00,1215.5
237,ZW25810,T001116,A043075,A043070,2017JJ00,1197.5
238,ZW25810,T001116,A043075,A043070,2018JJ00,1197.0
239,ZW25810,T001116,A043075,A043070,2019JJ00,1172.5
240,ZW25810,T001116,A043076,A043830,2012JJ00,583.8
241,ZW25810,T001116,A043076,A043830,2013JJ00,581.7
242,ZW25810,T001116,A043076,A043830,2014JJ00,568.9
243,ZW25810,T001116,A043076,A043830,2015JJ00,575.7
244,ZW25810,T001116,A043076,A043830,2016JJ00,557.2
245,ZW25810,T001116,A043076,A043830,2017JJ00,549.5
246,ZW25810,T001116,A043076,A043830,2018JJ00,548.0
247,ZW25810,T001116,A043076,A043830,2019JJ00,539.1
248,ZW25810,T001116,A043076,A043066,2012JJ00,292.6
249,ZW25810,T001116,A043076,A043066,2013JJ00,294.0
250,ZW25810,T001116,A043076,A043066,2014JJ00,288.6
251,ZW25810,T001116,A043076,A043066,2015JJ00,289.9
252,ZW25810,T001116,A043076,A043066,2016JJ00,283.2
253,ZW25810,T001116,A043076,A043066,2017JJ00,280.0
254,ZW25810,T001116,A043076,A043066,2018JJ00,278.0
255,ZW25810,T001116,A043076,A043066,2019JJ00,272.6
256,ZW25810,T001116,A043076,A043067,2012JJ00,419.8
257,ZW25810,T001116,A043076,A043067,2013JJ00,421.4
258,ZW25810,T001116,A043076,A043067,2014JJ00,411.2
259,ZW25810,T001116,A043076,A043067,2015JJ00,411.2
260,ZW25810,T001116,A043076,A043067,2016JJ00,402.0
261,ZW25810,T001116,A043076,A043067,2017JJ00,394.2
262,ZW25810,T001116,A043076,A043067,2018JJ00,392.0
263,ZW25810,T001116,A043076,A043067,2019JJ00,384.6
264,ZW25810,T001116,A043076,A043068,2012JJ00,550.6
265,ZW25810,T001116,A043076,A043068,2013JJ00,550.3
266,ZW25810,T001116,A043076,A043068,2014JJ00,537.8
267,ZW25810,T001116,A043076,A043068,2015JJ00,539.2
268,ZW25810,T001116,A043076,A043068,2016JJ00,524.2
269,ZW25810,T001116,A043076,A043068,2017JJ00,515.2
270,ZW25810,T001116,A043076,A043068,2018JJ00,511.0
271,ZW25810,T001116,A043076,A043068,2019JJ00,503.4
272,ZW25810,T001116,A043076,A043069,2012JJ00,716.0
273,ZW25810,T001116,A043076,A043069,2013JJ00,712.0
274,ZW25810,T001116,A043076,A043069,2014JJ00,696.3
275,ZW25810,T001116,A043076,A043069,2015JJ00,704.4
276,ZW25810,T001116,A043076,A043069,2016JJ00,681.6
277,ZW25810,T001116,A043076,A043069,2017JJ00,672.4
278,ZW25810,T001116,A043076,A043069,2018JJ00,670.0
279,ZW25810,T001116,A043076,A043069,2019JJ00,659.2
280,ZW25810,T001116,A043076,A043070,2012JJ00,985.6
281,ZW25810,T001116,A043076,A043070,2013JJ00,974.6
282,ZW25810,T001116,A043076,A043070,2014JJ00,951.8
283,ZW25810,T001116,A043076,A043070,2015JJ00,982.3
284,ZW25810,T001116,A043076,A043070,2016JJ00,941.0
285,ZW25810,T001116,A043076,A043070,2017JJ00,931.0
286,ZW25810,T001116,A043076,A043070,2018JJ00,939.0
287,ZW25810,T001116,A043076,A043070,2019JJ00,925.2
288,ZW25810,A025407,T001351,A043830,2012JJ00,1308.9
289,ZW25810,A025407,T001351,A043830,2013JJ00,1359.1
290,ZW25810,A025407,T001351,A043830,2014JJ00,1311.2
291,ZW25810,A025407,T001351,A043830,2015JJ00,1287.4
292,ZW25810,A025407,T001351,A043830,2016JJ00,1267.6
293,ZW25810,A025407,T001351,A043830,2017JJ00,1244.8
294,ZW25810,A025407,T001351,A043830,2018JJ00,1224.0
295,ZW25810,A025407,T001351,A043830,2019JJ00,1203.3
296,ZW25810,A025407,T001351,A043066,2012JJ00,502.3
297,ZW25810,A025407,T001351,A043066,2013JJ00,522.0
298,ZW25810,A025407,T001351,A043066,2014JJ00,511.0
299,ZW25810,A025407,T001351,A043066,2015JJ00,509.5
300,ZW25810,A025407,T001351,A043066,2016JJ00,502.0
301,ZW25810,A025407,T001351,A043066,2017JJ00,499.0
302,ZW25810,A025407,T001351,A043066,2018JJ00,487.0
303,ZW25810,A025407,T001351,A043066,2019JJ00,481.0
304,ZW25810,A025407,T001351,A043067,2012JJ00,838.0
305,ZW25810,A025407,T001351,A043067,2013JJ00,862.0
306,ZW25810,A025407,T001351,A043067,2014JJ00,833.0
307,ZW25810,A025407,T001351,A043067,2015JJ00,820.0
308,ZW25810,A025407,T001351,A043067,2016JJ00,805.0
309,ZW25810,A025407,T001351,A043067,2017JJ00,790.0
310,ZW25810,A025407,T001351,A043067,2018JJ00,769.0
311,ZW25810,A025407,T001351,A043067,2019JJ00,753.0
312,ZW25810,A025407,T001351,A043068,2012JJ00,1191.5
313,ZW25810,A025407,T001351,A043068,2013JJ00,1233.0
314,ZW25810,A025407,T001351,A043068,2014JJ00,1187.0
315,ZW25810,A025407,T001351,A043068,2015JJ00,1166.0
316,ZW25810,A025407,T001351,A043068,2016JJ00,1145.0
317,ZW25810,A025407,T001351,A043068,2017JJ00,1121.5
318,ZW25810,A025407,T001351,A043068,2018JJ00,1098.0
319,ZW25810,A025407,T001351,A043068,2019JJ00,1072.0
320,ZW25810,A025407,T001351,A043069,2012JJ00,1666.5
321,ZW25810,A025407,T001351,A043069,2013JJ00,1741.0
322,ZW25810,A025407,T001351,A043069,2014JJ00,1674.0
323,ZW25810,A025407,T001351,A043069,2015JJ00,1640.0
324,ZW25810,A025407,T001351,A043069,2016JJ00,1617.0
325,ZW25810,A025407,T001351,A043069,2017JJ00,1581.3
326,ZW25810,A025407,T001351,A043069,2018JJ00,1559.0
327,ZW25810,A025407,T001351,A043069,2019JJ00,1529.0
328,ZW25810,A025407,T001351,A043070,2012JJ00,2559.0
329,ZW25810,A025407,T001351,A043070,2013JJ00,2671.0
330,ZW25810,A025407,T001351,A043070,2014JJ00,2577.0
331,ZW25810,A025407,T001351,A043070,2015JJ00,2526.0
332,ZW25810,A025407,T001351,A043070,2016JJ00,2499.0
333,ZW25810,A025407,T001351,A043070,2017JJ00,2462.0
334,ZW25810,A025407,T001351,A043070,2018JJ00,2439.0
335,ZW25810,A025407,T001351,A043070,2019JJ00,2413.0
336,ZW25810,A025407,A043072,A043830,2012JJ00,1444.2
337,ZW25810,A025407,A043072,A043830,2013JJ00,1491.6
338,ZW25810,A025407,A043072,A043830,2014JJ00,1443.8
339,ZW25810,A025407,A043072,A043830,2015JJ00,1417.8
340,ZW25810,A025407,A043072,A043830,2016JJ00,1394.2
341,ZW25810,A025407,A043072,A043830,2017JJ00,1366.4
342,ZW25810,A025407,A043072,A043830,2018JJ00,1340.0
343,ZW25810,A025407,A043072,A043830,2019JJ00,1319.6
344,ZW25810,A025407,A043072,A043066,2012JJ00,620.0
345,ZW25810,A025407,A043072,A043066,2013JJ00,633.0
346,ZW25810,A025407,A043072,A043066,2014JJ00,622.0
347,ZW25810,A025407,A043072,A043066,2015JJ00,618.0
348,ZW25810,A025407,A043072,A043066,2016JJ00,606.0
349,ZW25810,A025407,A043072,A043066,2017JJ00,598.0
350,ZW25810,A025407,A043072,A043066,2018JJ00,575.0
351,ZW25810,A025407,A043072,A043066,2019JJ00,573.0
352,ZW25810,A025407,A043072,A043067,2012JJ00,971.0
353,ZW25810,A025407,A043072,A043067,2013JJ00,990.0
354,ZW25810,A025407,A043072,A043067,2014JJ00,961.0
355,ZW25810,A025407,A043072,A043067,2015JJ00,945.0
356,ZW25810,A025407,A043072,A043067,2016JJ00,926.0
357,ZW25810,A025407,A043072,A043067,2017JJ00,906.0
358,ZW25810,A025407,A043072,A043067,2018JJ00,880.0
359,ZW25810,A025407,A043072,A043067,2019JJ00,861.0
360,ZW25810,A025407,A043072,A043068,2012JJ00,1332.0
361,ZW25810,A025407,A043072,A043068,2013JJ00,1370.0
362,ZW25810,A025407,A043072,A043068,2014JJ00,1324.0
363,ZW25810,A025407,A043072,A043068,2015JJ00,1301.0
364,ZW25810,A025407,A043072,A043068,2016JJ00,1275.0
365,ZW25810,A025407,A043072,A043068,2017JJ00,1247.0
366,ZW25810,A025407,A043072,A043068,2018JJ00,1219.0
367,ZW25810,A025407,A043072,A043068,2019JJ00,1193.0
368,ZW25810,A025407,A043072,A043069,2012JJ00,1818.0
369,ZW25810,A025407,A043072,A043069,2013JJ00,1891.0
370,ZW25810,A025407,A043072,A043069,2014JJ00,1825.0
371,ZW25810,A025407,A043072,A043069,2015JJ00,1789.0
372,ZW25810,A025407,A043072,A043069,2016JJ00,1758.0
373,ZW25810,A025407,A043072,A043069,2017JJ00,1721.0
374,ZW25810,A025407,A043072,A043069,2018JJ00,1694.0
375,ZW25810,A025407,A043072,A043069,2019JJ00,1663.0
376,ZW25810,A025407,A043072,A043070,2012JJ00,2671.0
377,ZW25810,A025407,A043072,A043070,2013JJ00,2784.0
378,ZW25810,A025407,A043072,A043070,2014JJ00,2684.0
379,ZW25810,A025407,A043072,A043070,2015JJ00,2635.0
380,ZW25810,A025407,A043072,A043070,2016JJ00,2605.0
381,ZW25810,A025407,A043072,A043070,2017JJ00,2562.0
382,ZW25810,A025407,A043072,A043070,2018JJ00,2538.0
383,ZW25810,A025407,A043072,A043070,2019JJ00,2518.0
384,ZW25810,A025407,A043073,A043830,2012JJ00,946.4
385,ZW25810,A025407,A043073,A043830,2013JJ00,967.7
386,ZW25810,A025407,A043073,A043830,2014JJ00,925.6
387,ZW25810,A025407,A043073,A043830,2015JJ00,910.3
388,ZW25810,A025407,A043073,A043830,2016JJ00,892.7
389,ZW25810,A025407,A043073,A043830,2017JJ00,872.0
390,ZW25810,A025407,A043073,A043830,2018JJ00,853.0
391,ZW25810,A025407,A043073,A043830,2019JJ00,831.6
392,ZW25810,A025407,A043073,A043066,2012JJ00,423.5
393,ZW25810,A025407,A043073,A043066,2013JJ00,427.5
394,ZW25810,A025407,A043073,A043066,2014JJ00,420.0
395,ZW25810,A025407,A043073,A043066,2015JJ00,424.0
396,ZW25810,A025407,A043073,A043066,2016JJ00,415.0
397,ZW25810,A025407,A043073,A043066,2017JJ00,413.5
398,ZW25810,A025407,A043073,A043066,2018JJ00,403.0
399,ZW25810,A025407,A043073,A043066,2019JJ00,399.0
400,ZW25810,A025407,A043073,A043067,2012JJ00,651.0
401,ZW25810,A025407,A043073,A043067,2013JJ00,657.5
402,ZW25810,A025407,A043073,A043067,2014JJ00,630.5
403,ZW25810,A025407,A043073,A043067,2015JJ00,626.5
404,ZW25810,A025407,A043073,A043067,2016JJ00,611.5
405,ZW25810,A025407,A043073,A043067,2017JJ00,599.5
406,ZW25810,A025407,A043073,A043067,2018JJ00,584.0
407,ZW25810,A025407,A043073,A043067,2019JJ00,568.5
408,ZW25810,A025407,A043073,A043068,2012JJ00,882.0
409,ZW25810,A025407,A043073,A043068,2013JJ00,893.5
410,ZW25810,A025407,A043073,A043068,2014JJ00,853.0
411,ZW25810,A025407,A043073,A043068,2015JJ00,841.5
412,ZW25810,A025407,A043073,A043068,2016JJ00,820.5
413,ZW25810,A025407,A043073,A043068,2017JJ00,803.0
414,ZW25810,A025407,A043073,A043068,2018JJ00,780.0
415,ZW25810,A025407,A043073,A043068,2019JJ00,757.0
416,ZW25810,A025407,A043073,A043069,2012JJ00,1184.5
417,ZW25810,A025407,A043073,A043069,2013JJ00,1215.5
418,ZW25810,A025407,A043073,A043069,2014JJ00,1155.5
419,ZW25810,A025407,A043073,A043069,2015JJ00,1131.0
420,ZW25810,A025407,A043073,A043069,2016JJ00,1111.0
421,ZW25810,A025407,A043073,A043069,2017JJ00,1079.0
422,ZW25810,A025407,A043073,A043069,2018JJ00,1053.0
423,ZW25810,A025407,A043073,A043069,2019JJ00,1026.0
424,ZW25810,A025407,A043073,A043070,2012JJ00,1701.5
425,ZW25810,A025407,A043073,A043070,2013JJ00,1775.0
426,ZW25810,A025407,A043073,A043070,2014JJ00,1691.0
427,ZW25810,A025407,A043073,A043070,2015JJ00,1656.5
428,ZW25810,A025407,A043073,A043070,2016JJ00,1629.0
429,ZW25810,A025407,A043073,A043070,2017JJ00,1587.5
430,ZW25810,A025407,A043073,A043070,2018JJ00,1566.0
431,ZW25810,A025407,A043073,A043070,2019JJ00,1539.0
432,ZW25810,A025407,A043074,A043830,2012JJ00,696.3
433,ZW25810,A025407,A043074,A043830,2013JJ00,708.5
434,ZW25810,A025407,A043074,A043830,2014JJ00,690.3
435,ZW25810,A025407,A043074,A043830,2015JJ00,685.7
436,ZW25810,A025407,A043074,A043830,2016JJ00,671.2
437,ZW25810,A025407,A043074,A043830,2017JJ00,654.1
438,ZW25810,A025407,A043074,A043830,2018JJ00,635.0
439,ZW25810,A025407,A043074,A043830,2019JJ00,629.0
