ID,Perioden,TotaalVerkoopwaarden_1,Aardgas_2,Aardolie_3,Overige_4,BinnenlandseVerkoop_5,BuitenlandseVerkoop_6,Aardgas_7,Aardolie_8
137,2001MM09,725,644,27,54,363,362,4690.0,139
138,2001KW03,2042,1774,89,179,984,1059,12347.0,441
139,2001MM10,833,752,27,54,414,418,5368.0,168
140,2001MM11,1279,1188,19,72,660,619,8570.0,139
141,2001MM12,1524,1426,28,69,834,689,10489.0,188
142,2001KW04,3635,3366,75,195,1909,1726,24427.0,495
143,2001JJ00,13105,12042,399,664,6577,6528,81342.0,2003
144,2002MM01,1610,1513,31,67,910,701,10754.0,199
145,2002MM02,1219,1132,23,63,692,527,8175.0,146
146,2002MM03,1137,1046,34,57,633,504,7848.0,182
147,2002KW01,3966,3690,89,187,2234,1732,26777.0,528
148,2002MM04,935,857,36,42,535,400,6357.0,177
149,2002MM05,739,661,35,42,386,353,5088.0,183
150,2002MM06,598,540,23,36,301,298,4259.0,130
151,2002KW02,2272,2058,94,120,1222,1050,15704.0,490
152,2002MM07,603,522,30,52,284,320,4094.0,160
153,2002MM08,508,444,26,38,259,249,3461.0,137
154,2002MM09,627,554,31,42,292,335,4655.0,157
155,2002KW03,1739,1519,87,132,834,904,12209.0,454
156,2002MM10,1072,991,35,46,571,501,7280.0,174
157,2002MM11,1176,1095,29,52,646,530,7771.0,165
158,2002MM12,1508,1419,34,56,829,679,9636.0,163
159,2002KW04,3756,3504,98,154,2046,1711,24687.0,502
160,2002JJ00,11733,10771,369,593,6336,5397,79377.0,1975
161,2003MM01,1774,1685,36,54,1019,755,11131.0,165
162,2003MM02,1619,1530,36,54,891,729,10197.0,164
