ID,EnergyIntensitiesServicesFloorArea,FloorArea,AverageConsumptionOfNaturalGas_1,AverageConsumptionOfElectricity_2
80,A047467,A025416,10.9,66.3
81,A047467,A025417,10.7,76.1
82,A047467,A025418,10.6,75.8
83,A047467,A025419,10.9,90.9
84,A047468,A025415,16.6,38.6
85,A047468,A025412,18.7,34.4
86,A047468,A025413,15.1,29.8
87,A047468,A025416,12.0,27.6
88,A047468,A025417,7.9,25.5
89,A047468,A025418,4.7,21.0
90,A047468,A025419,,
91,A047469,A025415,,
92,A047469,A025412,,36.3
93,A047469,A025413,18.2,40.6
94,A047469,A025416,14.8,40.0
95,A047469,A025417,11.8,43.4
96,A047469,A025418,10.1,41.7
97,A047469,A025419,7.5,33.4
98,A047470,A025415,,
99,A047470,A025412,,
100,A047470,A025413,15.4,48.9
101,A047470,A025416,14.0,49.3
102,A047470,A025417,12.3,48.2
103,A047470,A025418,10.5,49.4
104,A047470,A025419,8.9,54.2
105,A047471,A025415,17.6,43.9
106,A047471,A025412,15.8,40.6
107,A047471,A025413,14.3,40.8
108,A047471,A025416,12.2,37.7
109,A047471,A025417,9.2,31.4
110,A047471,A025418,,
111,A047471,A025419,,
112,A047472,A025415,17.4,59.8
113,A047472,A025412,14.8,51.9
114,A047472,A025413,13.0,53.5
115,A047472,A025416,12.4,58.4
116,A047472,A025417,12.0,71.5
117,A047472,A025418,,
118,A047472,A025419,,
119,A047473,A025415,18.5,49.6
120,A047473,A025412,19.2,57.1
121,A047473,A025413,17.3,54.8
122,A047473,A025416,15.9,57.4
123,A047473,A025417,18.1,66.0
124,A047473,A025418,19.6,66.5
125,A047473,A025419,17.3,56.4
126,A047474,A025415,17.9,48.5
127,A047474,A025412,14.4,36.5
128,A047474,A025413,11.2,30.5
129,A047474,A025416,9.1,30.3
130,A047474,A025417,,
131,A047474,A025418,,
132,A047474,A025419,,
133,A047475,A025415,17.4,54.9
134,A047475,A025412,16.7,42.6
135,A047475,A025413,13.2,52.6
136,A047475,A025416,11.4,59.0
137,A047475,A025417,9.6,55.1
138,A047475,A025418,10.5,58.2
139,A047475,A025419,,
140,A047476,A025415,62.3,173.7
141,A047476,A025412,48.7,141.4
142,A047476,A025413,48.6,138.9
143,A047476,A025416,52.1,153.5
144,A047476,A025417,55.6,132.2
145,A047476,A025418,,
146,A047476,A025419,,
147,A047477,A025415,16.8,87.4
148,A047477,A025412,15.9,79.8
149,A047477,A025413,14.0,65.0
150,A047477,A025416,9.7,51.4
151,A047477,A025417,5.3,31.4
152,A047477,A025418,,
153,A047477,A025419,,
154,A047478,A025415,20.2,79.0
155,A047478,A025412,13.8,49.9
156,A047478,A025413,11.3,41.4
157,A047478,A025416,,
158,A047478,A025417,,
159,A047478,A025418,,
160,A047478,A025419,,
161,A047479,A025415,18.4,25.4
162,A047479,A025412,15.7,19.8
163,A047479,A025413,13.6,18.0
164,A047479,A025416,10.1,17.2
165,A047479,A025417,6.1,19.3
166,A047479,A025418,,
167,A047479,A025419,,
