ID,Zorgtype,Zorgaanbieders,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
60,T001698,A052941,2021JJ00,13193
61,T001698,A052941,2022JJ00,15528
62,T001698,A052941,2023JJ00,18220
63,T001698,A052941,2024JJ00,21074
64,T001698,A052942,2021JJ00,5563
65,T001698,A052942,2022JJ00,6279
66,T001698,A052942,2023JJ00,7041
67,T001698,A052942,2024JJ00,8026
68,T001698,A052943,2021JJ00,2523
69,T001698,A052943,2022JJ00,2851
70,T001698,A052943,2023JJ00,3309
71,T001698,A052943,2024JJ00,3745
72,T001698,A052944,2021JJ00,2086
73,T001698,A052944,2022JJ00,2905
74,T001698,A052944,2023JJ00,4177
75,T001698,A052944,2024JJ00,5139
76,T001698,A052945,2021JJ00,3021
77,T001698,A052945,2022JJ00,3493
78,T001698,A052945,2023JJ00,3692
79,T001698,A052945,2024JJ00,4164
80,T001698,A052946,2021JJ00,17452
81,T001698,A052946,2022JJ00,17647
82,T001698,A052946,2023JJ00,17639
83,T001698,A052946,2024JJ00,18901
84,T001698,A052947,2021JJ00,4488
85,T001698,A052947,2022JJ00,4627
86,T001698,A052947,2023JJ00,4649
87,T001698,A052947,2024JJ00,4988
88,T001698,A052948,2021JJ00,4177
89,T001698,A052948,2022JJ00,4049
90,T001698,A052948,2023JJ00,4128
91,T001698,A052948,2024JJ00,4369
92,T001698,A052949,2021JJ00,2761
93,T001698,A052949,2022JJ00,2752
94,T001698,A052949,2023JJ00,2454
95,T001698,A052949,2024JJ00,2644
96,T001698,A052950,2021JJ00,1734
97,T001698,A052950,2022JJ00,1782
98,T001698,A052950,2023JJ00,1903
99,T001698,A052950,2024JJ00,2086
100,T001698,A052951,2021JJ00,639
101,T001698,A052951,2022JJ00,692
102,T001698,A052951,2023JJ00,655
103,T001698,A052951,2024JJ00,655
104,T001698,A052952,2021JJ00,3653
105,T001698,A052952,2022JJ00,3744
106,T001698,A052952,2023JJ00,3850
107,T001698,A052952,2024JJ00,4158
108,A052900,T001699,2021JJ00,9425
109,A052900,T001699,2022JJ00,9378
110,A052900,T001699,2023JJ00,9884
111,A052900,T001699,2024JJ00,10580
112,A052900,A052927,2021JJ00,9411
113,A052900,A052927,2022JJ00,9366
114,A052900,A052927,2023JJ00,9873
115,A052900,A052927,2024JJ00,10568
116,A052900,A052928,2021JJ00,9278
117,A052900,A052928,2022JJ00,9232
118,A052900,A052928,2023JJ00,9728
119,A052900,A052928,2024JJ00,10413
120,A052900,A052929,2021JJ00,6651
121,A052900,A052929,2022JJ00,6579
122,A052900,A052929,2023JJ00,6882
123,A052900,A052929,2024JJ00,7346
124,A052900,A052930,2021JJ00,2177
125,A052900,A052930,2022JJ00,2165
126,A052900,A052930,2023JJ00,2342
127,A052900,A052930,2024JJ00,2522
128,A052900,A052931,2021JJ00,450
129,A052900,A052931,2022JJ00,488
130,A052900,A052931,2023JJ00,504
131,A052900,A052931,2024JJ00,544
132,A052900,A052932,2021JJ00,0
133,A052900,A052932,2022JJ00,0
134,A052900,A052932,2023JJ00,0
135,A052900,A052932,2024JJ00,0
136,A052900,A052933,2021JJ00,0
137,A052900,A052933,2022JJ00,0
138,A052900,A052933,2023JJ00,0
139,A052900,A052933,2024JJ00,0
140,A052900,A052934,2021JJ00,0
141,A052900,A052934,2022JJ00,0
142,A052900,A052934,2023JJ00,0
143,A052900,A052934,2024JJ00,0
144,A052900,A052935,2021JJ00,0
145,A052900,A052935,2022JJ00,0
146,A052900,A052935,2023JJ00,0
147,A052900,A052935,2024JJ00,0
148,A052900,A052936,2021JJ00,78
149,A052900,A052936,2022JJ00,74
150,A052900,A052936,2023JJ00,79
151,A052900,A052936,2024JJ00,84
152,A052900,A052937,2021JJ00,41
153,A052900,A052937,2022JJ00,43
154,A052900,A052937,2023JJ00,46
155,A052900,A052937,2024JJ00,49
156,A052900,A052938,2021JJ00,0
157,A052900,A052938,2022JJ00,0
158,A052900,A052938,2023JJ00,0
159,A052900,A052938,2024JJ00,0
160,A052900,A052939,2021JJ00,0
161,A052900,A052939,2022JJ00,0
162,A052900,A052939,2023JJ00,0
163,A052900,A052939,2024JJ00,0
164,A052900,A052940,2021JJ00,14
165,A052900,A052940,2022JJ00,18
166,A052900,A052940,2023JJ00,21
167,A052900,A052940,2024JJ00,22
168,A052900,A052941,2021JJ00,1
169,A052900,A052941,2022JJ00,0
170,A052900,A052941,2023JJ00,0
171,A052900,A052941,2024JJ00,0
172,A052900,A052942,2021JJ00,0
173,A052900,A052942,2022JJ00,0
174,A052900,A052942,2023JJ00,0
175,A052900,A052942,2024JJ00,0
176,A052900,A052943,2021JJ00,0
177,A052900,A052943,2022JJ00,0
178,A052900,A052943,2023JJ00,0
179,A052900,A052943,2024JJ00,0
180,A052900,A052944,2021JJ00,0
181,A052900,A052944,2022JJ00,0
182,A052900,A052944,2023JJ00,0
183,A052900,A052944,2024JJ00,0
184,A052900,A052945,2021JJ00,1
185,A052900,A052945,2022JJ00,0
186,A052900,A052945,2023JJ00,0
187,A052900,A052945,2024JJ00,0
188,A052900,A052946,2021JJ00,13
189,A052900,A052946,2022JJ00,12
190,A052900,A052946,2023JJ00,11
191,A052900,A052946,2024JJ00,12
192,A052900,A052947,2021JJ00,0
193,A052900,A052947,2022JJ00,0
194,A052900,A052947,2023JJ00,0
195,A052900,A052947,2024JJ00,0
196,A052900,A052948,2021JJ00,0
197,A052900,A052948,2022JJ00,0
198,A052900,A052948,2023JJ00,0
199,A052900,A052948,2024JJ00,0
200,A052900,A052949,2021JJ00,13
201,A052900,A052949,2022JJ00,12
202,A052900,A052949,2023JJ00,11
203,A052900,A052949,2024JJ00,12
204,A052900,A052950,2021JJ00,0
205,A052900,A052950,2022JJ00,0
206,A052900,A052950,2023JJ00,0
207,A052900,A052950,2024JJ00,0
208,A052900,A052951,2021JJ00,0
209,A052900,A052951,2022JJ00,0
210,A052900,A052951,2023JJ00,0
211,A052900,A052951,2024JJ00,0
212,A052900,A052952,2021JJ00,0
213,A052900,A052952,2022JJ00,0
214,A052900,A052952,2023JJ00,0
215,A052900,A052952,2024JJ00,0
216,A052901,T001699,2021JJ00,2420
217,A052901,T001699,2022JJ00,2664
218,A052901,T001699,2023JJ00,2936
219,A052901,T001699,2024JJ00,3176
220,A052901,A052927,2021JJ00,2419
221,A052901,A052927,2022JJ00,2662
222,A052901,A052927,2023JJ00,2932
223,A052901,A052927,2024JJ00,3172
224,A052901,A052928,2021JJ00,2368
225,A052901,A052928,2022JJ00,2603
226,A052901,A052928,2023JJ00,2863
227,A052901,A052928,2024JJ00,3098
228,A052901,A052929,2021JJ00,1806
229,A052901,A052929,2022JJ00,1999
230,A052901,A052929,2023JJ00,2189
231,A052901,A052929,2024JJ00,2368
232,A052901,A052930,2021JJ00,390
233,A052901,A052930,2022JJ00,415
234,A052901,A052930,2023JJ00,466
235,A052901,A052930,2024JJ00,504
236,A052901,A052931,2021JJ00,172
237,A052901,A052931,2022JJ00,189
238,A052901,A052931,2023JJ00,208
239,A052901,A052931,2024JJ00,225
240,A052901,A052932,2021JJ00,0
241,A052901,A052932,2022JJ00,0
242,A052901,A052932,2023JJ00,0
243,A052901,A052932,2024JJ00,0
244,A052901,A052933,2021JJ00,0
245,A052901,A052933,2022JJ00,0
246,A052901,A052933,2023JJ00,0
247,A052901,A052933,2024JJ00,0
248,A052901,A052934,2021JJ00,0
249,A052901,A052934,2022JJ00,0
250,A052901,A052934,2023JJ00,0
251,A052901,A052934,2024JJ00,0
252,A052901,A052935,2021JJ00,0
253,A052901,A052935,2022JJ00,0
254,A052901,A052935,2023JJ00,0
255,A052901,A052935,2024JJ00,0
256,A052901,A052936,2021JJ00,27
257,A052901,A052936,2022JJ00,31
258,A052901,A052936,2023JJ00,35
259,A052901,A052936,2024JJ00,38
260,A052901,A052937,2021JJ00,0
261,A052901,A052937,2022JJ00,0
262,A052901,A052937,2023JJ00,0
263,A052901,A052937,2024JJ00,0
264,A052901,A052938,2021JJ00,0
265,A052901,A052938,2022JJ00,0
266,A052901,A052938,2023JJ00,0
267,A052901,A052938,2024JJ00,0
268,A052901,A052939,2021JJ00,0
269,A052901,A052939,2022JJ00,0
270,A052901,A052939,2023JJ00,0
271,A052901,A052939,2024JJ00,0
272,A052901,A052940,2021JJ00,23
273,A052901,A052940,2022JJ00,28
274,A052901,A052940,2023JJ00,34
275,A052901,A052940,2024JJ00,37
276,A052901,A052941,2021JJ00,0
277,A052901,A052941,2022JJ00,0
278,A052901,A052941,2023JJ00,0
279,A052901,A052941,2024JJ00,0
280,A052901,A052942,2021JJ00,0
281,A052901,A052942,2022JJ00,0
282,A052901,A052942,2023JJ00,0
283,A052901,A052942,2024JJ00,0
284,A052901,A052943,2021JJ00,0
285,A052901,A052943,2022JJ00,0
286,A052901,A052943,2023JJ00,0
287,A052901,A052943,2024JJ00,0
288,A052901,A052944,2021JJ00,0
289,A052901,A052944,2022JJ00,0
290,A052901,A052944,2023JJ00,0
291,A052901,A052944,2024JJ00,0
292,A052901,A052945,2021JJ00,0
293,A052901,A052945,2022JJ00,0
294,A052901,A052945,2023JJ00,0
295,A052901,A052945,2024JJ00,0
296,A052901,A052946,2021JJ00,1
297,A052901,A052946,2022JJ00,2
298,A052901,A052946,2023JJ00,3
299,A052901,A052946,2024JJ00,4
300,A052901,A052947,2021JJ00,0
301,A052901,A052947,2022JJ00,0
302,A052901,A052947,2023JJ00,0
303,A052901,A052947,2024JJ00,0
304,A052901,A052948,2021JJ00,0
305,A052901,A052948,2022JJ00,0
306,A052901,A052948,2023JJ00,0
307,A052901,A052948,2024JJ00,0
308,A052901,A052949,2021JJ00,1
309,A052901,A052949,2022JJ00,2
310,A052901,A052949,2023JJ00,3
311,A052901,A052949,2024JJ00,4
312,A052901,A052950,2021JJ00,0
313,A052901,A052950,2022JJ00,0
314,A052901,A052950,2023JJ00,0
315,A052901,A052950,2024JJ00,0
316,A052901,A052951,2021JJ00,0
317,A052901,A052951,2022JJ00,0
318,A052901,A052951,2023JJ00,0
319,A052901,A052951,2024JJ00,0
320,A052901,A052952,2021JJ00,0
321,A052901,A052952,2022JJ00,0
322,A052901,A052952,2023JJ00,0
323,A052901,A052952,2024JJ00,0
324,A052902,T001699,2021JJ00,8011
325,A052902,T001699,2022JJ00,8397
326,A052902,T001699,2023JJ00,9158
327,A052902,T001699,2024JJ00,9907
328,A052902,A052927,2021JJ00,7985
329,A052902,A052927,2022JJ00,8381
330,A052902,A052927,2023JJ00,9138
331,A052902,A052927,2024JJ00,9875
332,A052902,A052928,2021JJ00,7822
333,A052902,A052928,2022JJ00,8211
334,A052902,A052928,2023JJ00,8940
335,A052902,A052928,2024JJ00,9661
336,A052902,A052929,2021JJ00,5642
337,A052902,A052929,2022JJ00,5898
338,A052902,A052929,2023JJ00,6422
339,A052902,A052929,2024JJ00,6948
340,A052902,A052930,2021JJ00,1301
341,A052902,A052930,2022JJ00,1344
342,A052902,A052930,2023JJ00,1423
343,A052902,A052930,2024JJ00,1540
344,A052902,A052931,2021JJ00,880
345,A052902,A052931,2022JJ00,970
346,A052902,A052931,2023JJ00,1095
347,A052902,A052931,2024JJ00,1172
348,A052902,A052932,2021JJ00,0
349,A052902,A052932,2022JJ00,0
350,A052902,A052932,2023JJ00,0
351,A052902,A052932,2024JJ00,0
352,A052902,A052933,2021JJ00,0
353,A052902,A052933,2022JJ00,0
354,A052902,A052933,2023JJ00,0
355,A052902,A052933,2024JJ00,0
356,A052902,A052934,2021JJ00,0
357,A052902,A052934,2022JJ00,0
358,A052902,A052934,2023JJ00,0
359,A052902,A052934,2024JJ00,0
360,A052902,A052935,2021JJ00,1
361,A052902,A052935,2022JJ00,0
362,A052902,A052935,2023JJ00,0
363,A052902,A052935,2024JJ00,0
364,A052902,A052936,2021JJ00,81
365,A052902,A052936,2022JJ00,88
366,A052902,A052936,2023JJ00,98
367,A052902,A052936,2024JJ00,106
368,A052902,A052937,2021JJ00,43
369,A052902,A052937,2022JJ00,41
370,A052902,A052937,2023JJ00,53
371,A052902,A052937,2024JJ00,57
372,A052902,A052938,2021JJ00,3
373,A052902,A052938,2022JJ00,0
374,A052902,A052938,2023JJ00,0
375,A052902,A052938,2024JJ00,0
376,A052902,A052939,2021JJ00,0
377,A052902,A052939,2022JJ00,0
378,A052902,A052939,2023JJ00,0
379,A052902,A052939,2024JJ00,0
380,A052902,A052940,2021JJ00,33
381,A052902,A052940,2022JJ00,41
382,A052902,A052940,2023JJ00,48
383,A052902,A052940,2024JJ00,51
384,A052902,A052941,2021JJ00,0
385,A052902,A052941,2022JJ00,0
386,A052902,A052941,2023JJ00,0
387,A052902,A052941,2024JJ00,0
388,A052902,A052942,2021JJ00,0
389,A052902,A052942,2022JJ00,0
390,A052902,A052942,2023JJ00,0
391,A052902,A052942,2024JJ00,0
392,A052902,A052943,2021JJ00,0
393,A052902,A052943,2022JJ00,0
394,A052902,A052943,2023JJ00,0
395,A052902,A052943,2024JJ00,0
396,A052902,A052944,2021JJ00,0
397,A052902,A052944,2022JJ00,0
398,A052902,A052944,2023JJ00,0
399,A052902,A052944,2024JJ00,0
400,A052902,A052945,2021JJ00,0
401,A052902,A052945,2022JJ00,0
402,A052902,A052945,2023JJ00,0
403,A052902,A052945,2024JJ00,0
404,A052902,A052946,2021JJ00,27
405,A052902,A052946,2022JJ00,16
406,A052902,A052946,2023JJ00,20
407,A052902,A052946,2024JJ00,31
408,A052902,A052947,2021JJ00,0
409,A052902,A052947,2022JJ00,0
410,A052902,A052947,2023JJ00,0
411,A052902,A052947,2024JJ00,0
412,A052902,A052948,2021JJ00,0
413,A052902,A052948,2022JJ00,0
414,A052902,A052948,2023JJ00,0
415,A052902,A052948,2024JJ00,0
416,A052902,A052949,2021JJ00,27
417,A052902,A052949,2022JJ00,16
418,A052902,A052949,2023JJ00,20
419,A052902,A052949,2024JJ00,31
420,A052902,A052950,2021JJ00,0
421,A052902,A052950,2022JJ00,0
422,A052902,A052950,2023JJ00,0
423,A052902,A052950,2024JJ00,0
424,A052902,A052951,2021JJ00,0
425,A052902,A052951,2022JJ00,0
426,A052902,A052951,2023JJ00,0
427,A052902,A052951,2024JJ00,0
428,A052902,A052952,2021JJ00,0
429,A052902,A052952,2022JJ00,0
430,A052902,A052952,2023JJ00,0
431,A052902,A052952,2024JJ00,0
432,A052903,T001699,2021JJ00,4065
433,A052903,T001699,2022JJ00,4506
434,A052903,T001699,2023JJ00,5112
435,A052903,T001699,2024JJ00,5478
436,A052903,A052927,2021JJ00,3820
437,A052903,A052927,2022JJ00,4157
438,A052903,A052927,2023JJ00,4742
439,A052903,A052927,2024JJ00,5106
440,A052903,A052928,2021JJ00,3638
441,A052903,A052928,2022JJ00,3980
442,A052903,A052928,2023JJ00,4557
443,A052903,A052928,2024JJ00,4909
444,A052903,A052929,2021JJ00,996
445,A052903,A052929,2022JJ00,1001
446,A052903,A052929,2023JJ00,1138
447,A052903,A052929,2024JJ00,1332
448,A052903,A052930,2021JJ00,1648
449,A052903,A052930,2022JJ00,1826
450,A052903,A052930,2023JJ00,2091
451,A052903,A052930,2024JJ00,2089
452,A052903,A052931,2021JJ00,994
453,A052903,A052931,2022JJ00,1154
454,A052903,A052931,2023JJ00,1327
455,A052903,A052931,2024JJ00,1488
456,A052903,A052932,2021JJ00,0
457,A052903,A052932,2022JJ00,0
458,A052903,A052932,2023JJ00,0
459,A052903,A052932,2024JJ00,0
460,A052903,A052933,2021JJ00,0
461,A052903,A052933,2022JJ00,0
462,A052903,A052933,2023JJ00,0
463,A052903,A052933,2024JJ00,0
464,A052903,A052934,2021JJ00,0
465,A052903,A052934,2022JJ00,0
466,A052903,A052934,2023JJ00,0
467,A052903,A052934,2024JJ00,0
468,A052903,A052935,2021JJ00,0
469,A052903,A052935,2022JJ00,0
470,A052903,A052935,2023JJ00,0
471,A052903,A052935,2024JJ00,0
472,A052903,A052936,2021JJ00,76
473,A052903,A052936,2022JJ00,68
474,A052903,A052936,2023JJ00,71
475,A052903,A052936,2024JJ00,77
476,A052903,A052937,2021JJ00,15
477,A052903,A052937,2022JJ00,14
478,A052903,A052937,2023JJ00,16
479,A052903,A052937,2024JJ00,17
480,A052903,A052938,2021JJ00,0
481,A052903,A052938,2022JJ00,0
482,A052903,A052938,2023JJ00,0
483,A052903,A052938,2024JJ00,0
484,A052903,A052939,2021JJ00,36
485,A052903,A052939,2022JJ00,36
486,A052903,A052939,2023JJ00,35
487,A052903,A052939,2024JJ00,38
488,A052903,A052940,2021JJ00,55
489,A052903,A052940,2022JJ00,59
490,A052903,A052940,2023JJ00,64
491,A052903,A052940,2024JJ00,65
492,A052903,A052941,2021JJ00,0
493,A052903,A052941,2022JJ00,1
494,A052903,A052941,2023JJ00,2
495,A052903,A052941,2024JJ00,2
496,A052903,A052942,2021JJ00,0
497,A052903,A052942,2022JJ00,0
498,A052903,A052942,2023JJ00,0
499,A052903,A052942,2024JJ00,0
500,A052903,A052943,2021JJ00,0
501,A052903,A052943,2022JJ00,0
502,A052903,A052943,2023JJ00,0
503,A052903,A052943,2024JJ00,0
504,A052903,A052944,2021JJ00,0
505,A052903,A052944,2022JJ00,1
506,A052903,A052944,2023JJ00,2
507,A052903,A052944,2024JJ00,2
508,A052903,A052945,2021JJ00,0
509,A052903,A052945,2022JJ00,0
510,A052903,A052945,2023JJ00,0
511,A052903,A052945,2024JJ00,0
512,A052903,A052946,2021JJ00,245
513,A052903,A052946,2022JJ00,347
514,A052903,A052946,2023JJ00,369
515,A052903,A052946,2024JJ00,370
516,A052903,A052947,2021JJ00,0
517,A052903,A052947,2022JJ00,0
518,A052903,A052947,2023JJ00,0
519,A052903,A052947,2024JJ00,0
520,A052903,A052948,2021JJ00,0
521,A052903,A052948,2022JJ00,0
522,A052903,A052948,2023JJ00,0
523,A052903,A052948,2024JJ00,0
524,A052903,A052949,2021JJ00,70
525,A052903,A052949,2022JJ00,66
526,A052903,A052949,2023JJ00,67
527,A052903,A052949,2024JJ00,80
528,A052903,A052950,2021JJ00,0
529,A052903,A052950,2022JJ00,0
530,A052903,A052950,2023JJ00,0
531,A052903,A052950,2024JJ00,0
532,A052903,A052951,2021JJ00,175
533,A052903,A052951,2022JJ00,281
534,A052903,A052951,2023JJ00,302
535,A052903,A052951,2024JJ00,291
536,A052903,A052952,2021JJ00,0
537,A052903,A052952,2022JJ00,0
538,A052903,A052952,2023JJ00,0
539,A052903,A052952,2024JJ00,0
540,A052904,T001699,2021JJ00,6986
541,A052904,T001699,2022JJ00,7575
542,A052904,T001699,2023JJ00,8381
543,A052904,T001699,2024JJ00,9225
544,A052904,A052927,2021JJ00,6605
545,A052904,A052927,2022JJ00,7021
546,A052904,A052927,2023JJ00,7733
547,A052904,A052927,2024JJ00,8513
548,A052904,A052928,2021JJ00,294
549,A052904,A052928,2022JJ00,307
550,A052904,A052928,2023JJ00,329
551,A052904,A052928,2024JJ00,362
552,A052904,A052929,2021JJ00,179
553,A052904,A052929,2022JJ00,186
554,A052904,A052929,2023JJ00,198
555,A052904,A052929,2024JJ00,218
556,A052904,A052930,2021JJ00,85
557,A052904,A052930,2022JJ00,94
558,A052904,A052930,2023JJ00,101
559,A052904,A052930,2024JJ00,111
560,A052904,A052931,2021JJ00,31
561,A052904,A052931,2022JJ00,26
562,A052904,A052931,2023JJ00,30
563,A052904,A052931,2024JJ00,34
564,A052904,A052932,2021JJ00,5728
565,A052904,A052932,2022JJ00,6052
566,A052904,A052932,2023JJ00,6708
567,A052904,A052932,2024JJ00,7379
568,A052904,A052933,2021JJ00,200
569,A052904,A052933,2022JJ00,201
570,A052904,A052933,2023JJ00,224
571,A052904,A052933,2024JJ00,249
572,A052904,A052934,2021JJ00,0
573,A052904,A052934,2022JJ00,0
574,A052904,A052934,2023JJ00,0
575,A052904,A052934,2024JJ00,0
576,A052904,A052935,2021JJ00,20
577,A052904,A052935,2022JJ00,19
578,A052904,A052935,2023JJ00,20
579,A052904,A052935,2024JJ00,23
580,A052904,A052936,2021JJ00,156
581,A052904,A052936,2022JJ00,200
582,A052904,A052936,2023JJ00,192
583,A052904,A052936,2024JJ00,212
584,A052904,A052937,2021JJ00,141
585,A052904,A052937,2022JJ00,171
586,A052904,A052937,2023JJ00,190
587,A052904,A052937,2024JJ00,210
588,A052904,A052938,2021JJ00,25
589,A052904,A052938,2022JJ00,27
590,A052904,A052938,2023JJ00,26
591,A052904,A052938,2024JJ00,28
592,A052904,A052939,2021JJ00,0
593,A052904,A052939,2022JJ00,0
594,A052904,A052939,2023JJ00,0
595,A052904,A052939,2024JJ00,0
596,A052904,A052940,2021JJ00,42
597,A052904,A052940,2022JJ00,44
598,A052904,A052940,2023JJ00,45
599,A052904,A052940,2024JJ00,50
600,A052904,A052941,2021JJ00,133
601,A052904,A052941,2022JJ00,177
602,A052904,A052941,2023JJ00,196
603,A052904,A052941,2024JJ00,216
604,A052904,A052942,2021JJ00,0
605,A052904,A052942,2022JJ00,0
606,A052904,A052942,2023JJ00,0
607,A052904,A052942,2024JJ00,0
608,A052904,A052943,2021JJ00,55
609,A052904,A052943,2022JJ00,69
610,A052904,A052943,2023JJ00,80
611,A052904,A052943,2024JJ00,88
612,A052904,A052944,2021JJ00,77
613,A052904,A052944,2022JJ00,88
614,A052904,A052944,2023JJ00,91
615,A052904,A052944,2024JJ00,101
616,A052904,A052945,2021JJ00,1
617,A052904,A052945,2022JJ00,19
618,A052904,A052945,2023JJ00,25
619,A052904,A052945,2024JJ00,27
620,A052904,A052946,2021JJ00,247
621,A052904,A052946,2022JJ00,377
622,A052904,A052946,2023JJ00,452
623,A052904,A052946,2024JJ00,496
624,A052904,A052947,2021JJ00,0
625,A052904,A052947,2022JJ00,0
626,A052904,A052947,2023JJ00,0
627,A052904,A052947,2024JJ00,0
628,A052904,A052948,2021JJ00,0
629,A052904,A052948,2022JJ00,0
630,A052904,A052948,2023JJ00,0
631,A052904,A052948,2024JJ00,0
632,A052904,A052949,2021JJ00,246
633,A052904,A052949,2022JJ00,243
634,A052904,A052949,2023JJ00,286
635,A052904,A052949,2024JJ00,314
636,A052904,A052950,2021JJ00,1
637,A052904,A052950,2022JJ00,134
638,A052904,A052950,2023JJ00,166
639,A052904,A052950,2024JJ00,182
640,A052904,A052951,2021JJ00,0
641,A052904,A052951,2022JJ00,0
642,A052904,A052951,2023JJ00,0
643,A052904,A052951,2024JJ00,0
644,A052904,A052952,2021JJ00,0
645,A052904,A052952,2022JJ00,0
646,A052904,A052952,2023JJ00,0
647,A052904,A052952,2024JJ00,0
648,A052905,T001699,2021JJ00,3290
649,A052905,T001699,2022JJ00,3601
650,A052905,T001699,2023JJ00,3783
651,A052905,T001699,2024JJ00,4199
652,A052905,A052927,2021JJ00,3197
653,A052905,A052927,2022JJ00,3471
654,A052905,A052927,2023JJ00,3649
655,A052905,A052927,2024JJ00,4054
656,A052905,A052928,2021JJ00,17
657,A052905,A052928,2022JJ00,18
658,A052905,A052928,2023JJ00,20
659,A052905,A052928,2024JJ00,23
660,A052905,A052929,2021JJ00,0
661,A052905,A052929,2022JJ00,0
662,A052905,A052929,2023JJ00,1
663,A052905,A052929,2024JJ00,1
664,A052905,A052930,2021JJ00,10
665,A052905,A052930,2022JJ00,10
666,A052905,A052930,2023JJ00,11
667,A052905,A052930,2024JJ00,12
668,A052905,A052931,2021JJ00,7
669,A052905,A052931,2022JJ00,7
670,A052905,A052931,2023JJ00,8
671,A052905,A052931,2024JJ00,10
672,A052905,A052932,2021JJ00,0
673,A052905,A052932,2022JJ00,0
674,A052905,A052932,2023JJ00,0
675,A052905,A052932,2024JJ00,0
676,A052905,A052933,2021JJ00,2983
677,A052905,A052933,2022JJ00,3033
678,A052905,A052933,2023JJ00,3359
679,A052905,A052933,2024JJ00,3732
680,A052905,A052934,2021JJ00,0
681,A052905,A052934,2022JJ00,0
682,A052905,A052934,2023JJ00,0
683,A052905,A052934,2024JJ00,0
684,A052905,A052935,2021JJ00,2
685,A052905,A052935,2022JJ00,4
686,A052905,A052935,2023JJ00,9
687,A052905,A052935,2024JJ00,10
688,A052905,A052936,2021JJ00,25
689,A052905,A052936,2022JJ00,28
690,A052905,A052936,2023JJ00,31
691,A052905,A052936,2024JJ00,35
692,A052905,A052937,2021JJ00,0
693,A052905,A052937,2022JJ00,0
694,A052905,A052937,2023JJ00,0
695,A052905,A052937,2024JJ00,0
696,A052905,A052938,2021JJ00,2
697,A052905,A052938,2022JJ00,0
698,A052905,A052938,2023JJ00,0
699,A052905,A052938,2024JJ00,1
700,A052905,A052939,2021JJ00,0
701,A052905,A052939,2022JJ00,0
702,A052905,A052939,2023JJ00,0
703,A052905,A052939,2024JJ00,0
704,A052905,A052940,2021JJ00,168
705,A052905,A052940,2022JJ00,387
706,A052905,A052940,2023JJ00,229
707,A052905,A052940,2024JJ00,253
708,A052905,A052941,2021JJ00,0
709,A052905,A052941,2022JJ00,0
710,A052905,A052941,2023JJ00,0
711,A052905,A052941,2024JJ00,0
712,A052905,A052942,2021JJ00,0
713,A052905,A052942,2022JJ00,0
714,A052905,A052942,2023JJ00,0
715,A052905,A052942,2024JJ00,0
716,A052905,A052943,2021JJ00,0
717,A052905,A052943,2022JJ00,0
718,A052905,A052943,2023JJ00,0
719,A052905,A052943,2024JJ00,0
