ID,VehicleCategory,YearOfConstructionOfVehicle,RoadType,CO_1,VOC_2,NOx_3,PM10_4
60,Padie,-2000,1,1.18,0.23,0.9,0.22
61,Padie,-2000,2,0.37,0.08,0.55,0.104
62,Padie,-2000,3,0.29,0.06,0.63,0.13
63,Padie,2001 ,1,0.6,0.05,0.89,0.058
64,Padie,2001 ,2,0.17,0.01,0.55,0.025
65,Padie,2001 ,3,0.01,0.0,0.54,0.056
66,Padie,2002 ,1,0.6,0.05,0.89,0.058
67,Padie,2002 ,2,0.17,0.01,0.55,0.025
68,Padie,2002 ,3,0.01,0.0,0.54,0.056
69,Padie,2003 ,1,0.6,0.05,0.89,0.058
70,Padie,2003 ,2,0.17,0.01,0.55,0.025
71,Padie,2003 ,3,0.01,0.0,0.54,0.056
72,Padie,2004 ,1,0.6,0.05,0.89,0.058
73,Padie,2004 ,2,0.17,0.01,0.55,0.025
74,Padie,2004 ,3,0.01,0.0,0.54,0.056
75,Padie,2005 ,1,0.25,0.02,0.51,0.018
76,Padie,2005 ,2,0.14,0.01,0.38,0.01
77,Padie,2005 ,3,0.03,0.0,0.39,0.025
78,Padie,2006 ,1,0.25,0.02,0.51,0.018
79,Padie,2006 ,2,0.14,0.01,0.38,0.01
80,Padie,2006 ,3,0.03,0.0,0.39,0.025
81,Padie,2007 ,1,0.25,0.02,0.51,0.018
82,Padie,2007 ,2,0.14,0.01,0.38,0.01
83,Padie,2007 ,3,0.03,0.0,0.39,0.025
84,Padie,2008 ,1,0.25,0.02,0.51,0.018
85,Padie,2008 ,2,0.14,0.01,0.38,0.01
86,Padie,2008 ,3,0.03,0.0,0.39,0.025
87,Padie,2009 ,1,0.25,0.02,0.51,0.018
88,Padie,2009 ,2,0.14,0.01,0.38,0.01
89,Padie,2009 ,3,0.03,0.0,0.39,0.025
90,PaLPG,-2000,1,7.04,0.86,0.81,0.012
91,PaLPG,-2000,2,3.66,0.38,0.56,0.007
92,PaLPG,-2000,3,1.32,0.22,0.7,0.007
93,PaLPG,2001 ,1,2.58,0.4,0.39,0.005
94,PaLPG,2001 ,2,2.57,0.17,0.2,0.002
95,PaLPG,2001 ,3,1.0,0.01,0.15,0.002
96,PaLPG,2002 ,1,2.58,0.4,0.39,0.005
97,PaLPG,2002 ,2,2.57,0.17,0.2,0.002
98,PaLPG,2002 ,3,1.0,0.01,0.15,0.002
99,PaLPG,2003 ,1,2.25,0.4,0.27,0.005
100,PaLPG,2003 ,2,2.19,0.16,0.13,0.002
101,PaLPG,2003 ,3,0.9,0.01,0.09,0.002
102,PaLPG,2004 ,1,2.09,0.4,0.21,0.005
103,PaLPG,2004 ,2,2.01,0.15,0.1,0.002
104,PaLPG,2004 ,3,0.85,0.01,0.05,0.002
105,PaLPG,2005 ,1,1.92,0.39,0.15,0.005
106,PaLPG,2005 ,2,1.82,0.15,0.06,0.002
107,PaLPG,2005 ,3,0.8,0.01,0.02,0.002
108,PaLPG,2006 ,1,1.92,0.39,0.15,0.005
109,PaLPG,2006 ,2,1.82,0.15,0.06,0.002
110,PaLPG,2006 ,3,0.8,0.01,0.02,0.002
111,PaLPG,2007 ,1,1.92,0.39,0.15,0.005
112,PaLPG,2007 ,2,1.82,0.15,0.06,0.002
113,PaLPG,2007 ,3,0.8,0.01,0.02,0.002
114,PaLPG,2008 ,1,1.92,0.39,0.15,0.005
115,PaLPG,2008 ,2,1.82,0.15,0.06,0.002
116,PaLPG,2008 ,3,0.8,0.01,0.02,0.002
117,PaLPG,2009 ,1,1.92,0.39,0.15,0.005
118,PaLPG,2009 ,2,1.82,0.15,0.06,0.002
119,PaLPG,2009 ,3,0.8,0.01,0.02,0.002
120,Baben,-2000,1,9.54,1.32,1.07,0.02
121,Baben,-2000,2,6.21,0.55,1.07,0.012
122,Baben,-2000,3,4.49,0.38,1.49,0.012
123,Baben,2001 ,1,1.78,0.22,0.1,0.004
124,Baben,2001 ,2,0.94,0.02,0.02,0.001
125,Baben,2001 ,3,0.63,0.01,0.04,0.001
126,Baben,2002 ,1,1.78,0.22,0.1,0.004
127,Baben,2002 ,2,0.94,0.02,0.02,0.001
128,Baben,2002 ,3,0.63,0.01,0.04,0.001
129,Baben,2003 ,1,1.58,0.21,0.08,0.004
130,Baben,2003 ,2,0.59,0.01,0.03,0.001
131,Baben,2003 ,3,0.54,0.01,0.03,0.001
132,Baben,2004 ,1,1.47,0.21,0.07,0.004
133,Baben,2004 ,2,0.42,0.01,0.04,0.001
134,Baben,2004 ,3,0.5,0.01,0.03,0.001
135,Baben,2005 ,1,1.37,0.2,0.07,0.004
136,Baben,2005 ,2,0.25,0.01,0.04,0.002
137,Baben,2005 ,3,0.46,0.01,0.02,0.002
138,Baben,2006 ,1,1.37,0.2,0.07,0.004
139,Baben,2006 ,2,0.25,0.01,0.04,0.002
140,Baben,2006 ,3,0.46,0.01,0.02,0.002
141,Baben,2007 ,1,1.37,0.2,0.07,0.004
142,Baben,2007 ,2,0.25,0.01,0.04,0.002
143,Baben,2007 ,3,0.46,0.01,0.02,0.002
144,Baben,2008 ,1,1.37,0.2,0.07,0.004
145,Baben,2008 ,2,0.25,0.01,0.04,0.002
146,Baben,2008 ,3,0.46,0.01,0.02,0.002
147,Baben,2009 ,1,1.37,0.2,0.07,0.004
148,Baben,2009 ,2,0.25,0.01,0.04,0.002
149,Baben,2009 ,3,0.46,0.01,0.02,0.002
150,Badie,-2000,1,1.66,0.28,1.5,0.323
151,Badie,-2000,2,0.36,0.17,0.96,0.169
152,Badie,-2000,3,0.33,0.16,1.29,0.194
153,Badie,2001 ,1,0.51,0.05,1.27,0.098
154,Badie,2001 ,2,0.02,0.01,0.79,0.042
155,Badie,2001 ,3,0.05,0.02,0.78,0.095
156,Badie,2002 ,1,0.51,0.05,1.27,0.098
157,Badie,2002 ,2,0.02,0.01,0.79,0.042
158,Badie,2002 ,3,0.05,0.02,0.78,0.095
159,Badie,2003 ,1,0.51,0.05,1.27,0.098
160,Badie,2003 ,2,0.02,0.01,0.79,0.042
161,Badie,2003 ,3,0.05,0.02,0.78,0.095
162,Badie,2004 ,1,0.51,0.05,1.27,0.098
163,Badie,2004 ,2,0.02,0.01,0.79,0.042
164,Badie,2004 ,3,0.05,0.02,0.78,0.095
165,Badie,2005 ,1,0.15,0.02,0.73,0.059
166,Badie,2005 ,2,0.02,0.0,0.54,0.033
167,Badie,2005 ,3,0.07,0.01,0.57,0.083
168,Badie,2006 ,1,0.15,0.02,0.73,0.059
169,Badie,2006 ,2,0.02,0.0,0.54,0.033
170,Badie,2006 ,3,0.07,0.01,0.57,0.083
171,Badie,2007 ,1,0.15,0.02,0.73,0.059
172,Badie,2007 ,2,0.02,0.0,0.54,0.033
173,Badie,2007 ,3,0.07,0.01,0.57,0.083
174,Badie,2008 ,1,0.15,0.02,0.73,0.059
175,Badie,2008 ,2,0.02,0.0,0.54,0.033
176,Badie,2008 ,3,0.07,0.01,0.57,0.083
177,Badie,2009 ,1,0.15,0.02,0.73,0.059
178,Badie,2009 ,2,0.02,0.0,0.54,0.033
179,Badie,2009 ,3,0.07,0.01,0.57,0.083
180,BaLPG,-2000,1,9.98,1.08,1.29,0.009
181,BaLPG,-2000,2,9.4,0.49,1.23,0.006
182,BaLPG,-2000,3,3.38,0.4,1.85,0.007
183,BaLPG,2001 ,1,1.69,0.28,0.35,0.003
184,BaLPG,2001 ,2,1.17,0.06,0.29,0.002
185,BaLPG,2001 ,3,2.0,0.03,0.19,0.002
186,BaLPG,2002 ,1,1.69,0.28,0.35,0.003
187,BaLPG,2002 ,2,1.17,0.06,0.29,0.002
188,BaLPG,2002 ,3,2.0,0.03,0.19,0.002
189,BaLPG,2003 ,1,1.33,0.24,0.26,0.003
190,BaLPG,2003 ,2,0.8,0.05,0.21,0.002
191,BaLPG,2003 ,3,1.36,0.02,0.14,0.002
192,BaLPG,2004 ,1,1.15,0.22,0.21,0.003
193,BaLPG,2004 ,2,0.61,0.04,0.17,0.002
194,BaLPG,2004 ,3,1.03,0.02,0.11,0.002
195,BaLPG,2005 ,1,0.97,0.21,0.16,0.003
196,BaLPG,2005 ,2,0.42,0.03,0.14,0.002
197,BaLPG,2005 ,3,0.71,0.01,0.09,0.002
198,BaLPG,2006 ,1,0.97,0.21,0.16,0.003
199,BaLPG,2006 ,2,0.42,0.03,0.14,0.002
200,BaLPG,2006 ,3,0.71,0.01,0.09,0.002
201,BaLPG,2007 ,1,0.97,0.21,0.16,0.003
202,BaLPG,2007 ,2,0.42,0.03,0.14,0.002
203,BaLPG,2007 ,3,0.71,0.01,0.09,0.002
204,BaLPG,2008 ,1,0.97,0.21,0.16,0.003
205,BaLPG,2008 ,2,0.42,0.03,0.14,0.002
206,BaLPG,2008 ,3,0.71,0.01,0.09,0.002
207,BaLPG,2009 ,1,0.97,0.21,0.16,0.003
208,BaLPG,2009 ,2,0.42,0.03,0.14,0.002
209,BaLPG,2009 ,3,0.71,0.01,0.09,0.002
210,Vadie,-2000,1,3.08,1.47,10.5,0.538
211,Vadie,-2000,2,1.89,0.59,8.65,0.323
212,Vadie,-2000,3,1.39,0.46,7.94,0.256
213,Vadie,2001 ,1,2.42,0.59,11.0,0.17
214,Vadie,2001 ,2,1.62,0.33,7.81,0.11
215,Vadie,2001 ,3,1.15,0.25,6.94,0.085
216,Vadie,2002 ,1,2.54,0.57,10.99,0.145
217,Vadie,2002 ,2,1.68,0.32,7.45,0.086
218,Vadie,2002 ,3,1.2,0.24,6.73,0.062
219,Vadie,2003 ,1,2.56,0.57,11.15,0.145
220,Vadie,2003 ,2,1.71,0.32,7.59,0.087
221,Vadie,2003 ,3,1.22,0.24,6.84,0.063
222,Vadie,2004 ,1,2.53,0.56,11.04,0.143
223,Vadie,2004 ,2,1.65,0.32,7.26,0.086
224,Vadie,2004 ,3,1.22,0.24,6.85,0.063
225,Vadie,2005 ,1,3.25,0.45,11.24,0.119
226,Vadie,2005 ,2,1.84,0.25,7.11,0.071
227,Vadie,2005 ,3,1.23,0.19,6.1,0.052
228,Vadie,2006 ,1,4.56,0.21,11.22,0.069
229,Vadie,2006 ,2,2.15,0.12,6.53,0.04
230,Vadie,2006 ,3,1.21,0.08,4.38,0.029
231,Vadie,2007 ,1,5.34,0.09,11.58,0.046
232,Vadie,2007 ,2,2.35,0.05,6.3,0.025
233,Vadie,2007 ,3,1.16,0.03,3.53,0.018
234,Vadie,2008 ,1,5.37,0.09,11.63,0.046
235,Vadie,2008 ,2,2.36,0.05,6.32,0.025
236,Vadie,2008 ,3,1.17,0.03,3.54,0.018
237,Vadie,2009 ,1,5.38,0.09,11.58,0.046
238,Vadie,2009 ,2,2.37,0.05,6.31,0.025
239,Vadie,2009 ,3,1.18,0.03,3.54,0.018
240,Trdie,-2000,1,4.72,2.19,16.74,0.894
241,Trdie,-2000,2,2.47,0.73,11.58,0.451
242,Trdie,-2000,3,1.78,0.51,9.42,0.329
243,Trdie,2001 ,1,3.45,0.75,15.76,0.227
244,Trdie,2001 ,2,2.03,0.4,9.66,0.132
245,Trdie,2001 ,3,1.49,0.27,7.6,0.099
246,Trdie,2002 ,1,3.66,0.73,16.36,0.161
247,Trdie,2002 ,2,2.15,0.39,9.52,0.09
248,Trdie,2002 ,3,1.56,0.26,7.46,0.063
249,Trdie,2003 ,1,3.66,0.73,16.36,0.161
250,Trdie,2003 ,2,2.15,0.39,9.52,0.09
251,Trdie,2003 ,3,1.56,0.26,7.46,0.063
252,Trdie,2004 ,1,3.66,0.73,16.36,0.161
253,Trdie,2004 ,2,2.15,0.39,9.52,0.09
254,Trdie,2004 ,3,1.56,0.26,7.46,0.063
255,Trdie,2005 ,1,5.11,0.59,15.88,0.136
256,Trdie,2005 ,2,2.53,0.31,9.04,0.075
257,Trdie,2005 ,3,1.59,0.21,6.62,0.052
258,Trdie,2006 ,1,7.99,0.3,14.94,0.085
259,Trdie,2006 ,2,3.27,0.16,8.07,0.045
260,Trdie,2006 ,3,1.64,0.1,4.92,0.031
261,Trdie,2007 ,1,9.43,0.16,14.47,0.059
262,Trdie,2007 ,2,3.64,0.08,7.59,0.03
263,Trdie,2007 ,3,1.67,0.04,4.07,0.02
264,Trdie,2008 ,1,9.43,0.16,14.47,0.059
265,Trdie,2008 ,2,3.64,0.08,7.59,0.03
266,Trdie,2008 ,3,1.67,0.04,4.07,0.02
267,Trdie,2009 ,1,9.43,0.16,14.47,0.06
268,Trdie,2009 ,2,3.64,0.08,7.59,0.03
269,Trdie,2009 ,3,1.67,0.04,4.07,0.02
270,Abdie,-2000,1,3.73,1.81,13.65,0.782
271,Abdie,-2000,2,1.86,0.69,9.74,0.432
272,Abdie,-2000,3,1.18,0.52,7.62,0.263
273,Abdie,2001 ,1,2.31,0.55,11.33,0.241
274,Abdie,2001 ,2,1.09,0.29,6.98,0.183
275,Abdie,2001 ,3,0.67,0.24,5.17,0.11
276,Abdie,2002 ,1,2.24,0.53,10.77,0.194
277,Abdie,2002 ,2,1.06,0.28,6.33,0.138
278,Abdie,2002 ,3,0.67,0.23,4.36,0.109
279,Abdie,2003 ,1,2.24,0.53,10.77,0.194
280,Abdie,2003 ,2,1.06,0.28,6.33,0.138
281,Abdie,2003 ,3,0.67,0.23,4.36,0.109
282,Abdie,2004 ,1,2.24,0.53,10.77,0.194
283,Abdie,2004 ,2,1.06,0.28,6.33,0.138
284,Abdie,2004 ,3,0.67,0.23,4.36,0.109
285,Abdie,2005 ,1,1.74,0.4,10.15,0.17
286,Abdie,2005 ,2,0.82,0.22,5.8,0.114
287,Abdie,2005 ,3,0.52,0.17,3.98,0.086
288,Abdie,2006 ,1,0.74,0.15,8.91,0.122
289,Abdie,2006 ,2,0.35,0.08,4.74,0.066
290,Abdie,2006 ,3,0.22,0.06,3.22,0.039
291,Abdie,2007 ,1,0.24,0.03,8.29,0.098
292,Abdie,2007 ,2,0.11,0.01,4.21,0.043
293,Abdie,2007 ,3,0.07,0.01,2.84,0.016
294,Abdie,2008 ,1,0.24,0.03,7.36,0.096
295,Abdie,2008 ,2,0.11,0.01,3.77,0.04
296,Abdie,2008 ,3,0.07,0.01,2.52,0.016
297,Abdie,2009 ,1,0.24,0.03,5.51,0.094
298,Abdie,2009 ,2,0.11,0.01,2.87,0.036
299,Abdie,2009 ,3,0.07,0.01,1.9,0.016
300,Mtben,-2000,1,25.95,3.56,0.11,0.017
301,Mtben,-2000,2,15.31,1.5,0.19,0.017
302,Mtben,-2000,3,26.98,1.25,0.45,0.017
303,Mtben,2001 ,1,11.87,1.44,0.14,0.015
304,Mtben,2001 ,2,6.07,0.66,0.22,0.015
305,Mtben,2001 ,3,18.65,0.42,0.49,0.015
306,Mtben,2002 ,1,11.87,1.44,0.14,0.015
307,Mtben,2002 ,2,6.07,0.66,0.22,0.015
308,Mtben,2002 ,3,18.65,0.42,0.49,0.015
309,Mtben,2003 ,1,11.87,1.44,0.14,0.015
310,Mtben,2003 ,2,6.07,0.66,0.22,0.015
311,Mtben,2003 ,3,18.65,0.42,0.49,0.015
312,Mtben,2004 ,1,11.87,1.44,0.14,0.015
313,Mtben,2004 ,2,6.07,0.66,0.22,0.015
314,Mtben,2004 ,3,18.65,0.42,0.49,0.015
315,Mtben,2005 ,1,11.87,1.44,0.14,0.015
316,Mtben,2005 ,2,6.07,0.66,0.22,0.015
317,Mtben,2005 ,3,18.65,0.42,0.49,0.015
318,Mtben,2006 ,1,11.87,1.44,0.14,0.015
319,Mtben,2006 ,2,6.07,0.66,0.22,0.015
320,Mtben,2006 ,3,18.65,0.42,0.49,0.015
321,Mtben,2007 ,1,11.87,1.44,0.14,0.015
322,Mtben,2007 ,2,6.07,0.66,0.22,0.015
323,Mtben,2007 ,3,18.65,0.42,0.49,0.015
324,Mtben,2008 ,1,11.87,1.44,0.14,0.015
325,Mtben,2008 ,2,6.07,0.66,0.22,0.015
326,Mtben,2008 ,3,18.65,0.42,0.49,0.015
327,Mtben,2009 ,1,11.87,1.44,0.14,0.015
328,Mtben,2009 ,2,6.07,0.66,0.22,0.015
329,Mtben,2009 ,3,18.65,0.42,0.49,0.015
330,Bfben,-2000,1,10.56,6.33,0.05,0.042
331,Bfben,-2000,2,10.56,6.33,0.05,0.042
332,Bfben,-2000,3,,,,
333,Bfben,2001 ,1,10.0,6.0,0.05,0.04
334,Bfben,2001 ,2,10.0,6.0,0.05,0.04
335,Bfben,2001 ,3,,,,
336,Bfben,2002 ,1,10.0,6.0,0.05,0.04
337,Bfben,2002 ,2,10.0,6.0,0.05,0.04
338,Bfben,2002 ,3,,,,
339,Bfben,2003 ,1,10.0,6.0,0.05,0.04
340,Bfben,2003 ,2,10.0,6.0,0.05,0.04
341,Bfben,2003 ,3,,,,
342,Bfben,2004 ,1,10.0,6.0,0.05,0.04
343,Bfben,2004 ,2,10.0,6.0,0.05,0.04
344,Bfben,2004 ,3,,,,
345,Bfben,2005 ,1,10.0,6.0,0.05,0.04
346,Bfben,2005 ,2,10.0,6.0,0.05,0.04
347,Bfben,2005 ,3,,,,
348,Bfben,2006 ,1,10.0,6.0,0.05,0.04
349,Bfben,2006 ,2,10.0,6.0,0.05,0.04
350,Bfben,2006 ,3,,,,
351,Bfben,2007 ,1,10.0,6.0,0.05,0.04
352,Bfben,2007 ,2,10.0,6.0,0.05,0.04
353,Bfben,2007 ,3,,,,
354,Bfben,2008 ,1,10.0,6.0,0.05,0.04
355,Bfben,2008 ,2,10.0,6.0,0.05,0.04
356,Bfben,2008 ,3,,,,
357,Bfben,2009 ,1,10.0,6.0,0.05,0.04
358,Bfben,2009 ,2,10.0,6.0,0.05,0.04
359,Bfben,2009 ,3,,,,
