ID,Periods,TotalSupply_1,IndigenousProduction_2,ProductionFromOtherSources_3,ImportsOfGaseousNaturalGasTotal_4,ImportsViaNorway_5,ImportsViaGermany_6,ImportsViaBelgium_7,ImportsViaUnitedKingdom_8,ImportsViaDenmark_9,ImportsOfLNGTotal_10,ImportsViaTheUnitedStates_11,ImportsViaNorway_12,ImportsViaRussia_13,ImportsViaAfrica_14,ImportsViaAsia_15,ImportsViaAmericaExcludingUS_16,ImportsViaOtherUnknown_17,ExportsOfGaseousNaturalGasTotal_18,ExportsToNorway_19,ExportsToGermany_20,ExportsToBelgium_21,ExportsToUnitedKingdom_22,ExportsToDenmark_23,ExportsOfLiquefiedNaturalGasLNG_24,Bunkers_25,StockChange_26,TotalConsumption_27,TotalViaTheMainGrid_28,ElectricityPowerPlants_29,OtherConsumers_30,ViaRegionalGrids_31,ConsumptionByProductionAndTransport_32,ClosingStock_33,ClosingStockGaseousGas_34,ClosingStockLiquefiedNaturalGas_35,Flaring_36,StorageCapacityTotal_37,StorageCapacityGaseousGas_38,StorageCapacityLiquefiedNaturalGas_39
37,1983JJ00,38547,76497,,3180.0,,,,,,,,,,,,,,41130.0,,,,,,,,0.0,38547.0,18333.0,8472.0,9861.0,19956.0,258.0,,,,39.0,,,
38,1984JJ00,40719,77205,,3419.0,,,,,,,,,,,,,,39917.0,,,,,,,,12.0,40719.0,20143.0,9248.0,10895.0,20308.0,268.0,,,,46.0,,,
39,1985JJ00,42756,80668,,2091.0,,,,,,,,,,,,,,40019.0,,,,,,,,16.0,42756.0,20161.0,9179.0,10982.0,22339.0,256.0,,,,53.0,,,
40,1986JJ00,42878,73897,,1987.0,,,,,,,,,,,,,,33010.0,,,,,,,,4.0,42878.0,20422.0,9717.0,10705.0,22164.0,292.0,,,,140.0,,,
41,1987JJ00,44368,74153,,2130.0,,,,,,,,,,,,,,31899.0,,,,,,,,-16.0,44368.0,20817.0,9387.0,11430.0,23216.0,335.0,,,,94.0,,,
42,1988JJ00,40252,65542,,2513.0,,,,,,,,,,,,,,27779.0,,,,,,,,-24.0,40252.0,19404.0,7927.0,11477.0,20439.0,409.0,,,,68.0,,,
43,1989JJ00,41137,71570,,2594.0,,,,,,,,,,,,,,33036.0,,,,,,,,9.0,41137.0,20167.0,8732.0,11435.0,20456.0,514.0,,,,145.0,,,
44,1990JJ00,40658,72131,0.0,2688.0,,,,,,,,,,,,,,34167.0,,,,,,,,6.0,40658.0,19314.0,7365.0,11949.0,20884.0,460.0,,,,106.0,,,
45,1991JJ00,45465,81554,12.0,2317.0,,,,,,,,,,,,,,38407.0,,,,,,,,-11.0,45465.0,20857.0,8637.0,12220.0,24065.0,543.0,,,,111.0,,,
46,1992JJ00,44048,81903,12.0,2798.0,,,,,,,,,,,,,,40664.0,,,,,,,,-1.0,44048.0,20545.0,8834.0,11711.0,22825.0,678.0,,,,118.0,,,
47,1993JJ00,45204,83492,12.0,3340.0,,,,,,,,,,,,,,41625.0,,,,,,,,-15.0,45204.0,20444.0,8674.0,11770.0,24143.0,617.0,,,,163.0,,,
48,1994JJ00,44140,79198,12.0,3481.0,,,,,,,,,,,,,,38545.0,,,,,,,,-6.0,44140.0,20520.0,8100.0,12420.0,23024.0,596.0,,,,179.0,,,
49,1995JJ00,45643,80512,12.0,3652.0,,,,,,,,,,,,,,38533.0,,,,,,,,0.0,45643.0,21020.0,7454.0,13566.0,23935.0,688.0,,,,198.0,,,
50,1996JJ00,50282,91120,12.0,5397.0,,,,,,,,,,,,,,46255.0,,,,,,,,8.0,50282.0,21667.0,7535.0,14132.0,27789.0,826.0,,,,230.0,,,
51,1997JJ00,47305,80702,12.0,6843.0,,,,,,,,,,,,,,40237.0,,,,,,,,-15.0,47305.0,22335.0,7566.0,14769.0,24087.0,883.0,,,,136.0,,,
52,1998JJ00,47001,76979,12.0,6831.0,,,,,,,,,,,,,,36841.0,,,,,,,,20.0,47001.0,21909.0,7112.0,14797.0,24018.0,1074.0,,,,126.0,,,
53,1999JJ00,45767,71582,24.0,10253.0,,,,,,,,,,,,,,36102.0,,,,,,,,10.0,45767.0,21401.0,6356.0,15045.0,23409.0,957.0,,,,120.0,,,
54,2000JJ00,46243,69796,24.0,16500.0,,,,,,,,,,,,,,39329.0,,,,,,,,-748.0,46243.0,22004.0,6242.0,15762.0,23344.0,895.0,,,,128.0,,,
55,2001JJ00,47462,73531,12.0,20267.0,,,,,,,,,,,,,,46950.0,,,,,,,,602.0,47462.0,22775.0,7444.0,15331.0,23858.0,829.0,,,,198.0,,,
56,2002JJ00,47357,72251,12.0,25363.0,,,,,,,,,,,,,,49766.0,,,,,,,,-503.0,47357.0,23884.0,7973.0,15911.0,22720.0,753.0,,,,60.0,,,
57,2003JJ00,47608,69062,12.0,24147.0,,,,,,,,,,,,,,45581.0,,,,,,,,-32.0,47608.0,23284.0,8186.0,15098.0,23583.0,741.0,,,,52.0,,,
58,2004JJ00,48616,81459,12.0,17860.0,,,,,,,,,,,,,,50742.0,,,,,,,,27.0,48616.0,25241.0,8698.0,16543.0,22690.0,685.0,,,,40.0,,,
59,2005JJ00,46744,74312,12.0,21747.0,,,,,,,,,,,,,,49445.0,,,,,,,,118.0,46744.0,24313.0,8837.0,15476.0,21745.0,686.0,,,,38.0,,,
60,2006JJ00,45327,73370,24.0,23866.0,,,,,,,,,,,,,,51813.0,,,,,,,,-120.0,45327.0,23115.0,8320.0,14795.0,21639.0,573.0,,,,29.0,,,
61,2007JJ00,44134,70526,36.0,24735.0,,,,,,,,,,,,,,52769.0,,,,,,,,1606.0,44134.0,23185.0,8935.0,14250.0,20435.0,514.0,,,,71.0,,,
62,2008JJ00,45881,80654,48.0,25081.0,,,,,,,,,,,,,,58504.0,,,,,,,,-1398.0,45881.0,23156.0,8618.0,14538.0,22209.0,516.0,,,,103.0,,,
63,2009JJ00,46963,74501,48.0,24323.0,,,,,,,,,,,,,,52717.0,,,,,,,,808.0,46963.0,23217.0,9371.0,13846.0,23111.0,635.0,,,,46.0,,,
64,2010JJ00,53046,85606,48.0,24408.0,,,,,,,,,,,,,,56433.0,,,,,,,,-583.0,53046.0,24919.0,10244.0,14675.0,27448.0,679.0,,,,42.0,,,
65,2011JJ00,46412,79046,57.0,22732.0,,,,,,0.0,,,,,,,,54321.0,,,,,,0.0,,-1102.0,46412.0,23076.0,8796.0,14280.0,22634.0,702.0,,,,49.0,,,
66,2012JJ00,44370,77804,76.0,25622.0,,,,,,961.0,,,,,,,,60238.0,,,,,,0.0,,145.0,44370.0,20125.0,6761.0,13364.0,23479.0,766.0,,,,50.0,,,
67,2013JJ00,44250,82358,90.0,27907.0,,,,,,942.0,,,,,,,,66891.0,,,,,,347.0,0.0,191.0,44250.0,20699.0,6843.0,13856.0,22742.0,809.0,,,,42.0,,,
68,2014JJ00,38597,68684,102.0,28344.0,,,,,,1187.0,,,,,,,,57717.0,,,,,,631.0,1.0,-1371.0,38597.0,19508.0,6263.0,13245.0,18349.0,740.0,,,,55.0,,,
69,2015JJ00,37992,52182,119.0,36324.0,18471.0,11848.0,3331.0,2128.0,546.0,2241.0,,,,,,,,51118.0,,31469.0,15966.0,3683.0,,1328.0,1.0,-428.0,37992.0,,5713.0,,,859.0,,,,48.0,15860.0,15444.0,416.0
70,2016JJ00,39862,50381,129.0,41904.0,17632.0,18030.0,3591.0,1919.0,733.0,1605.0,,,,,,,,55445.0,,32195.0,18373.0,4878.0,,1091.0,2.0,2381.0,39862.0,,7202.0,,,821.0,,,,49.0,14696.0,14281.0,416.0
71,2017JJ00,41355,43140,141.0,49338.0,23470.0,16691.0,6550.0,1287.0,1340.0,2008.0,,,,,,,,52073.0,,31677.0,18285.0,2110.0,,1071.0,6.0,-122.0,41355.0,,8297.0,,,870.0,8596.0,8416.0,181.0,46.0,13726.0,13310.0,416.0
72,2018JJ00,40809,36949,147.0,51839.0,25863.0,19228.0,5647.0,854.0,248.0,5778.0,,,,,,,,48872.0,,28134.0,17648.0,3090.0,,2687.0,21.0,-2323.0,40809.0,,7976.0,,,835.0,10920.0,10736.0,183.0,28.0,13726.0,13310.0,416.0
73,2019JJ00,42594,31557,187.0,46446.0,21550.0,16849.0,6629.0,1040.0,377.0,9850.0,,,,,,,,44192.0,,28543.0,13990.0,1659.0,,942.0,80.0,-232.0,42594.0,,10316.0,,,730.0,11152.0,10866.0,286.0,23.0,14732.0,14317.0,416.0
74,2020JJ00,41853,22855,248.0,47573.0,19716.0,16098.0,7535.0,3165.0,1060.0,9083.0,,,,,,,,36977.0,,22955.0,12838.0,1183.0,,871.0,150.0,93.0,41853.0,,10658.0,,,751.0,11059.0,10704.0,354.0,20.0,15143.0,14728.0,416.0
75,2021JJ00,40161,20499,267.0,44749.0,22063.0,13290.0,6950.0,1431.0,1015.0,9754.0,4706.0,4.0,3081.0,864.0,224.0,424.0,451.0,39733.0,,23859.0,13214.0,2660.0,,1278.0,158.0,6062.0,40161.0,,7476.0,,,745.0,4997.0,4783.0,214.0,86.0,15136.0,14720.0,416.0
76,2022JJ00,31276,17040,375.0,40242.0,13208.0,6551.0,14794.0,4680.0,1010.0,18697.0,10927.0,699.0,2692.0,2624.0,137.0,689.0,930.0,38408.0,,30527.0,7737.0,144.0,,498.0,103.0,-6068.0,31276.0,,6551.0,,,584.0,11065.0,10812.0,253.0,72.0,14603.0,14068.0,535.0
77,2023JJ00,29703,11206,358.0,30824.0,10974.0,5972.0,10468.0,2399.0,1010.0,24756.0,17547.0,1365.0,1145.0,2472.0,833.0,1243.0,151.0,35472.0,,29320.0,6096.0,55.0,,785.0,273.0,-912.0,29703.0,,6151.0,,,467.0,11977.0,11703.0,275.0,20.0,14872.0,14321.0,551.0
78,2024JJ00,30105,9160,367.0,26425.0,11092.0,4813.0,6746.0,2580.0,1194.0,21098.0,14449.0,1358.0,1959.0,1023.0,0.0,2290.0,19.0,29084.0,,24416.0,4617.0,51.0,,1027.0,517.0,3685.0,30105.0,,5671.0,,,468.0,8292.0,8156.0,136.0,14.0,15025.0,14475.0,551.0
79,1982MM01,5023,10151,,283.0,,,,,,,,,,,,,,5419.0,,,,,,,,8.0,5023.0,1310.0,447.0,863.0,3694.0,19.0,,,,2.0,,,
80,1982MM02,4084,8441,,263.0,,,,,,,,,,,,,,4617.0,,,,,,,,-3.0,4084.0,1205.0,426.0,779.0,2862.0,17.0,,,,2.0,,,
81,1982MM03,3839,7992,,331.0,,,,,,,,,,,,,,4487.0,,,,,,,,3.0,3839.0,1204.0,396.0,808.0,2617.0,18.0,,,,2.0,,,
82,1982KW01,12945,26583,,877.0,,,,,,,,,,,,,,14523.0,,,,,,,,8.0,12945.0,3719.0,1269.0,2450.0,9172.0,54.0,,,,7.0,,,
83,1982MM04,2902,6247,,316.0,,,,,,,,,,,,,,3667.0,,,,,,,,6.0,2902.0,1161.0,371.0,790.0,1724.0,17.0,,,,2.0,,,
84,1982MM05,2213,4618,,285.0,,,,,,,,,,,,,,2679.0,,,,,,,,-11.0,2213.0,1179.0,427.0,752.0,1016.0,18.0,,,,2.0,,,
85,1982MM06,1821,3592,,275.0,,,,,,,,,,,,,,2050.0,,,,,,,,4.0,1821.0,1269.0,553.0,716.0,537.0,15.0,,,,2.0,,,
86,1982KW02,6936,14457,,876.0,,,,,,,,,,,,,,8396.0,,,,,,,,-1.0,6936.0,3609.0,1351.0,2258.0,3277.0,50.0,,,,6.0,,,
87,1982MM07,1696,2969,,303.0,,,,,,,,,,,,,,1576.0,,,,,,,,0.0,1696.0,1246.0,521.0,725.0,436.0,14.0,,,,2.0,,,
88,1982MM08,1709,2891,,277.0,,,,,,,,,,,,,,1462.0,,,,,,,,3.0,1709.0,1199.0,511.0,688.0,495.0,15.0,,,,1.0,,,
89,1982MM09,1885,3974,,233.0,,,,,,,,,,,,,,2319.0,,,,,,,,-3.0,1885.0,1302.0,539.0,763.0,564.0,19.0,,,,1.0,,,
90,1982KW03,5290,9834,,813.0,,,,,,,,,,,,,,5357.0,,,,,,,,0.0,5290.0,3747.0,1571.0,2176.0,1495.0,48.0,,,,4.0,,,
91,1982MM10,2829,5233,,255.0,,,,,,,,,,,,,,2648.0,,,,,,,,-11.0,2829.0,1558.0,726.0,832.0,1254.0,17.0,,,,2.0,,,
92,1982MM11,3605,6807,,262.0,,,,,,,,,,,,,,3471.0,,,,,,,,7.0,3605.0,1609.0,766.0,843.0,1976.0,20.0,,,,3.0,,,
93,1982MM12,4627,9098,,308.0,,,,,,,,,,,,,,4779.0,,,,,,,,0.0,4627.0,1647.0,762.0,885.0,2959.0,21.0,,,,2.0,,,
94,1982KW04,11061,21138,,825.0,,,,,,,,,,,,,,10898.0,,,,,,,,-4.0,11061.0,4814.0,2254.0,2560.0,6189.0,58.0,,,,7.0,,,
95,1983MM01,4405,8343,,239.0,,,,,,,,,,,,,,4182.0,,,,,,,,5.0,4405.0,1618.0,749.0,869.0,2765.0,22.0,,,,4.0,,,
96,1983MM02,4566,9494,,222.0,,,,,,,,,,,,,,5153.0,,,,,,,,3.0,4566.0,1338.0,525.0,813.0,3207.0,21.0,,,,2.0,,,
97,1983MM03,3915,8530,,262.0,,,,,,,,,,,,,,4881.0,,,,,,,,4.0,3915.0,1387.0,587.0,800.0,2506.0,22.0,,,,1.0,,,
98,1983KW01,12886,26367,,723.0,,,,,,,,,,,,,,14216.0,,,,,,,,12.0,12886.0,4343.0,1861.0,2482.0,8478.0,65.0,,,,7.0,,,
99,1983MM04,3207,6913,,243.0,,,,,,,,,,,,,,3938.0,,,,,,,,-11.0,3207.0,1523.0,723.0,800.0,1661.0,23.0,,,,2.0,,,
100,1983MM05,2839,5962,,291.0,,,,,,,,,,,,,,3418.0,,,,,,,,4.0,2839.0,1546.0,751.0,795.0,1271.0,22.0,,,,2.0,,,
101,1983MM06,2141,4139,,314.0,,,,,,,,,,,,,,2317.0,,,,,,,,5.0,2141.0,1588.0,822.0,766.0,534.0,19.0,,,,2.0,,,
102,1983KW02,8187,17014,,848.0,,,,,,,,,,,,,,9673.0,,,,,,,,-2.0,8187.0,4657.0,2296.0,2361.0,3466.0,64.0,,,,6.0,,,
103,1983MM07,1777,3237,,341.0,,,,,,,,,,,,,,1796.0,,,,,,,,-5.0,1777.0,1372.0,622.0,750.0,386.0,19.0,,,,2.0,,,
104,1983MM08,1844,3092,,337.0,,,,,,,,,,,,,,1592.0,,,,,,,,7.0,1844.0,1407.0,604.0,803.0,419.0,18.0,,,,3.0,,,
105,1983MM09,2229,4442,,252.0,,,,,,,,,,,,,,2463.0,,,,,,,,-2.0,2229.0,1454.0,672.0,782.0,755.0,20.0,,,,4.0,,,
106,1983KW03,5850,10771,,930.0,,,,,,,,,,,,,,5851.0,,,,,,,,0.0,5850.0,4233.0,1898.0,2335.0,1560.0,57.0,,,,9.0,,,
107,1983MM10,3050,5420,,276.0,,,,,,,,,,,,,,2648.0,,,,,,,,2.0,3050.0,1627.0,745.0,882.0,1401.0,22.0,,,,4.0,,,
108,1983MM11,3862,7457,,184.0,,,,,,,,,,,,,,3778.0,,,,,,,,-1.0,3862.0,1684.0,801.0,883.0,2154.0,24.0,,,,3.0,,,
109,1983MM12,4709,9463,,219.0,,,,,,,,,,,,,,4962.0,,,,,,,,-11.0,4709.0,1786.0,870.0,916.0,2896.0,27.0,,,,12.0,,,
110,1983KW04,11621,22340,,679.0,,,,,,,,,,,,,,11388.0,,,,,,,,-10.0,11621.0,5097.0,2416.0,2681.0,6451.0,73.0,,,,19.0,,,
111,1984MM01,4976,10252,,265.0,,,,,,,,,,,,,,5551.0,,,,,,,,10.0,4976.0,1771.0,817.0,954.0,3179.0,26.0,,,,3.0,,,
112,1984MM02,4764,9876,,254.0,,,,,,,,,,,,,,5360.0,,,,,,,,-6.0,4764.0,1617.0,705.0,912.0,3125.0,22.0,,,,3.0,,,
113,1984MM03,4483,9253,,265.0,,,,,,,,,,,,,,5031.0,,,,,,,,-4.0,4483.0,1744.0,779.0,965.0,2713.0,26.0,,,,5.0,,,
114,1984KW01,14223,29381,,784.0,,,,,,,,,,,,,,15942.0,,,,,,,,0.0,14223.0,5132.0,2301.0,2831.0,9017.0,74.0,,,,11.0,,,
115,1984MM04,3305,6502,,308.0,,,,,,,,,,,,,,3509.0,,,,,,,,4.0,3305.0,1613.0,737.0,876.0,1668.0,24.0,,,,3.0,,,
116,1984MM05,2940,5414,,437.0,,,,,,,,,,,,,,2905.0,,,,,,,,-6.0,2940.0,1638.0,745.0,893.0,1279.0,23.0,,,,4.0,,,
117,1984MM06,2339,4218,,370.0,,,,,,,,,,,,,,2250.0,,,,,,,,1.0,2339.0,1588.0,741.0,847.0,730.0,21.0,,,,3.0,,,
118,1984KW02,8584,16134,,1115.0,,,,,,,,,,,,,,8664.0,,,,,,,,-1.0,8584.0,4839.0,2223.0,2616.0,3677.0,68.0,,,,10.0,,,
119,1984MM07,2046,3488,,389.0,,,,,,,,,,,,,,1832.0,,,,,,,,1.0,2046.0,1481.0,660.0,821.0,545.0,20.0,,,,4.0,,,
120,1984MM08,2066,3462,,227.0,,,,,,,,,,,,,,1625.0,,,,,,,,2.0,2066.0,1587.0,742.0,845.0,458.0,21.0,,,,3.0,,,
121,1984MM09,2505,4397,,298.0,,,,,,,,,,,,,,2189.0,,,,,,,,-1.0,2505.0,1647.0,794.0,853.0,836.0,22.0,,,,4.0,,,
122,1984KW03,6617,11347,,914.0,,,,,,,,,,,,,,5646.0,,,,,,,,2.0,6617.0,4715.0,2196.0,2519.0,1839.0,63.0,,,,11.0,,,
123,1984MM10,3137,5486,,302.0,,,,,,,,,,,,,,2652.0,,,,,,,,1.0,3137.0,1809.0,822.0,987.0,1308.0,20.0,,,,5.0,,,
124,1984MM11,3645,6728,,170.0,,,,,,,,,,,,,,3252.0,,,,,,,,-1.0,3645.0,1805.0,817.0,988.0,1820.0,20.0,,,,4.0,,,
125,1984MM12,4507,8128,,134.0,,,,,,,,,,,,,,3760.0,,,,,,,,5.0,4507.0,1843.0,889.0,954.0,2641.0,23.0,,,,5.0,,,
126,1984KW04,11289,20342,,606.0,,,,,,,,,,,,,,9664.0,,,,,,,,5.0,11289.0,5457.0,2528.0,2929.0,5769.0,63.0,,,,14.0,,,
127,1985MM01,6319,12587,,65.0,,,,,,,,,,,,,,6341.0,,,,,,,,8.0,6319.0,1905.0,863.0,1042.0,4388.0,26.0,,,,5.0,,,
128,1985MM02,5121,10411,,74.0,,,,,,,,,,,,,,5362.0,,,,,,,,-2.0,5121.0,1649.0,737.0,912.0,3450.0,22.0,,,,5.0,,,
129,1985MM03,4625,9620,,54.0,,,,,,,,,,,,,,5044.0,,,,,,,,-5.0,4625.0,1836.0,855.0,981.0,2765.0,24.0,,,,4.0,,,
130,1985KW01,16065,32618,,193.0,,,,,,,,,,,,,,16747.0,,,,,,,,1.0,16065.0,5390.0,2455.0,2935.0,10603.0,72.0,,,,14.0,,,
131,1985MM04,3280,6312,,192.0,,,,,,,,,,,,,,3231.0,,,,,,,,7.0,3280.0,1552.0,729.0,823.0,1707.0,21.0,,,,4.0,,,
132,1985MM05,2647,5054,,325.0,,,,,,,,,,,,,,2730.0,,,,,,,,-2.0,2647.0,1634.0,753.0,881.0,992.0,21.0,,,,3.0,,,
133,1985MM06,2393,4042,,249.0,,,,,,,,,,,,,,1902.0,,,,,,,,4.0,2393.0,1620.0,780.0,840.0,755.0,18.0,,,,3.0,,,
134,1985KW02,8320,15408,,766.0,,,,,,,,,,,,,,7863.0,,,,,,,,9.0,8320.0,4806.0,2262.0,2544.0,3454.0,60.0,,,,10.0,,,
135,1985MM07,1910,2732,,356.0,,,,,,,,,,,,,,1182.0,,,,,,,,4.0,1910.0,1446.0,616.0,830.0,446.0,18.0,,,,5.0,,,
136,1985MM08,2070,3036,,254.0,,,,,,,,,,,,,,1221.0,,,,,,,,1.0,2070.0,1556.0,692.0,864.0,496.0,18.0,,,,6.0,,,
137,1985MM09,2234,3779,,154.0,,,,,,,,,,,,,,1697.0,,,,,,,,-2.0,2234.0,1529.0,756.0,773.0,687.0,18.0,,,,5.0,,,
138,1985KW03,6214,9547,,764.0,,,,,,,,,,,,,,4100.0,,,,,,,,3.0,6214.0,4531.0,2064.0,2467.0,1629.0,54.0,,,,16.0,,,
139,1985MM10,3281,5515,,186.0,,,,,,,,,,,,,,2423.0,,,,,,,,3.0,3281.0,1900.0,875.0,1025.0,1359.0,22.0,,,,4.0,,,
140,1985MM11,4715,9339,,71.0,,,,,,,,,,,,,,4697.0,,,,,,,,2.0,4715.0,1868.0,804.0,1064.0,2823.0,24.0,,,,5.0,,,
141,1985MM12,4166,8240,,111.0,,,,,,,,,,,,,,4190.0,,,,,,,,5.0,4166.0,1664.0,718.0,946.0,2478.0,24.0,,,,5.0,,,
142,1985KW04,12162,23094,,368.0,,,,,,,,,,,,,,11310.0,,,,,,,,10.0,12162.0,5432.0,2397.0,3035.0,6660.0,70.0,,,,14.0,,,
143,1986MM01,5254,9532,,108.0,,,,,,,,,,,,,,4380.0,,,,,,,,-6.0,5254.0,1824.0,827.0,997.0,3405.0,25.0,,,,5.0,,,
144,1986MM02,5860,10748,,48.0,,,,,,,,,,,,,,4940.0,,,,,,,,4.0,5860.0,1654.0,736.0,918.0,4180.0,26.0,,,,19.0,,,
145,1986MM03,4527,7781,,123.0,,,,,,,,,,,,,,3373.0,,,,,,,,-4.0,4527.0,1713.0,879.0,834.0,2789.0,25.0,,,,12.0,,,
146,1986KW01,15641,28025,,279.0,,,,,,,,,,,,,,12693.0,,,,,,,,6.0,15641.0,5191.0,2442.0,2749.0,10374.0,76.0,,,,36.0,,,
147,1986MM04,3735,7251,,45.0,,,,,,,,,,,,,,3564.0,,,,,,,,3.0,3735.0,1534.0,750.0,784.0,2177.0,24.0,,,,14.0,,,
148,1986MM05,2332,3495,,286.0,,,,,,,,,,,,,,1450.0,,,,,,,,1.0,2332.0,1466.0,647.0,819.0,845.0,21.0,,,,10.0,,,
149,1986MM06,2198,3578,,223.0,,,,,,,,,,,,,,1597.0,,,,,,,,-6.0,2198.0,1512.0,763.0,749.0,665.0,21.0,,,,11.0,,,
150,1986KW02,8265,14324,,554.0,,,,,,,,,,,,,,6611.0,,,,,,,,-2.0,8265.0,4512.0,2160.0,2352.0,3687.0,66.0,,,,35.0,,,
