ID,Woningkenmerken,RegioS,Perioden,GemiddeldAardgasverbruik_1,GemiddeldeElektriciteitslevering_2,GemiddeldeNettoElektriciteitslevering_3,Stadsverwarming_4
171,T001100,PV25  ,2016JJ00,1440.0,3030.0,,2.9
172,T001100,PV25  ,2017JJ00,1390.0,2950.0,,2.8
173,T001100,PV25  ,2018JJ00,1400.0,2850.0,,
174,T001100,PV25  ,2019JJ00,1290.0,2850.0,,3.7
175,T001100,PV25  ,2020JJ00,1220.0,2910.0,,3.8
176,T001100,PV25  ,2021JJ00,1370.0,2950.0,2560.0,3.9
177,T001100,PV25  ,2022JJ00,1010.0,2730.0,2170.0,4.1
178,T001100,PV25  ,2023JJ00,880.0,2650.0,1930.0,4.4
179,T001100,PV25  ,2024JJ00,860.0,2710.0,1890.0,4.6
180,T001100,PV26  ,2010JJ00,1750.0,3350.0,,11.0
181,T001100,PV26  ,2011JJ00,1350.0,3350.0,,10.0
182,T001100,PV26  ,2012JJ00,1350.0,3250.0,,12.5
183,T001100,PV26  ,2013JJ00,1450.0,3200.0,,11.5
184,T001100,PV26  ,2014JJ00,1050.0,3100.0,,11.2
185,T001100,PV26  ,2015JJ00,1150.0,3020.0,,11.9
186,T001100,PV26  ,2016JJ00,1200.0,2980.0,,12.0
187,T001100,PV26  ,2017JJ00,1140.0,2930.0,,12.0
188,T001100,PV26  ,2018JJ00,1160.0,2850.0,,
189,T001100,PV26  ,2019JJ00,1070.0,2750.0,,12.4
190,T001100,PV26  ,2020JJ00,1020.0,2760.0,,12.6
191,T001100,PV26  ,2021JJ00,1150.0,2830.0,2540.0,12.4
192,T001100,PV26  ,2022JJ00,840.0,2580.0,2160.0,12.6
193,T001100,PV26  ,2023JJ00,750.0,2490.0,1930.0,13.1
194,T001100,PV26  ,2024JJ00,730.0,2530.0,1900.0,13.2
195,T001100,PV27  ,2010JJ00,1650.0,3000.0,,
196,T001100,PV27  ,2011JJ00,1300.0,3000.0,,
197,T001100,PV27  ,2012JJ00,1350.0,2950.0,,5.1
198,T001100,PV27  ,2013JJ00,1450.0,2900.0,,4.9
199,T001100,PV27  ,2014JJ00,1100.0,2800.0,,4.8
200,T001100,PV27  ,2015JJ00,1140.0,2740.0,,6.0
201,T001100,PV27  ,2016JJ00,1190.0,2680.0,,6.2
202,T001100,PV27  ,2017JJ00,1130.0,2620.0,,6.5
203,T001100,PV27  ,2018JJ00,1160.0,2550.0,,
204,T001100,PV27  ,2019JJ00,1070.0,2520.0,,7.5
205,T001100,PV27  ,2020JJ00,1020.0,2550.0,,8.1
206,T001100,PV27  ,2021JJ00,1150.0,2600.0,2390.0,8.1
207,T001100,PV27  ,2022JJ00,850.0,2370.0,2080.0,8.8
208,T001100,PV27  ,2023JJ00,770.0,2290.0,1920.0,9.4
209,T001100,PV27  ,2024JJ00,740.0,2310.0,1890.0,9.7
210,T001100,PV28  ,2010JJ00,1600.0,3100.0,,6.0
211,T001100,PV28  ,2011JJ00,1250.0,3050.0,,6.0
212,T001100,PV28  ,2012JJ00,1300.0,3000.0,,6.2
213,T001100,PV28  ,2013JJ00,1400.0,2950.0,,6.1
214,T001100,PV28  ,2014JJ00,1050.0,2850.0,,5.9
215,T001100,PV28  ,2015JJ00,1090.0,2810.0,,6.6
216,T001100,PV28  ,2016JJ00,1120.0,2770.0,,6.7
217,T001100,PV28  ,2017JJ00,1080.0,2730.0,,6.7
218,T001100,PV28  ,2018JJ00,1100.0,2670.0,,
219,T001100,PV28  ,2019JJ00,1020.0,2590.0,,7.1
220,T001100,PV28  ,2020JJ00,980.0,2620.0,,7.6
221,T001100,PV28  ,2021JJ00,1100.0,2680.0,2480.0,7.6
222,T001100,PV28  ,2022JJ00,810.0,2450.0,2160.0,7.9
223,T001100,PV28  ,2023JJ00,740.0,2360.0,1960.0,8.3
224,T001100,PV28  ,2024JJ00,710.0,2390.0,1940.0,8.6
225,T001100,PV29  ,2010JJ00,1850.0,3100.0,,
226,T001100,PV29  ,2011JJ00,1450.0,3100.0,,
227,T001100,PV29  ,2012JJ00,1550.0,3000.0,,0.5
228,T001100,PV29  ,2013JJ00,1650.0,3000.0,,0.5
229,T001100,PV29  ,2014JJ00,1250.0,2850.0,,0.5
230,T001100,PV29  ,2015JJ00,1330.0,2800.0,,0.5
231,T001100,PV29  ,2016JJ00,1360.0,2740.0,,0.5
232,T001100,PV29  ,2017JJ00,1280.0,2670.0,,0.5
233,T001100,PV29  ,2018JJ00,1310.0,2600.0,,
234,T001100,PV29  ,2019JJ00,1220.0,2520.0,,0.4
235,T001100,PV29  ,2020JJ00,1170.0,2540.0,,
236,T001100,PV29  ,2021JJ00,1330.0,2710.0,2290.0,
237,T001100,PV29  ,2022JJ00,990.0,2500.0,1900.0,
238,T001100,PV29  ,2023JJ00,890.0,2450.0,1680.0,
239,T001100,PV29  ,2024JJ00,860.0,2510.0,1640.0,
240,T001100,PV30  ,2010JJ00,1950.0,3600.0,,
241,T001100,PV30  ,2011JJ00,1500.0,3550.0,,
242,T001100,PV30  ,2012JJ00,1600.0,3550.0,,5.3
243,T001100,PV30  ,2013JJ00,1700.0,3450.0,,5.0
244,T001100,PV30  ,2014JJ00,1250.0,3350.0,,4.8
245,T001100,PV30  ,2015JJ00,1340.0,3290.0,,5.5
246,T001100,PV30  ,2016JJ00,1380.0,3230.0,,5.5
247,T001100,PV30  ,2017JJ00,1320.0,3190.0,,5.5
248,T001100,PV30  ,2018JJ00,1340.0,3120.0,,
249,T001100,PV30  ,2019JJ00,1250.0,3010.0,,5.7
250,T001100,PV30  ,2020JJ00,1180.0,3020.0,,5.9
251,T001100,PV30  ,2021JJ00,1320.0,3060.0,2660.0,5.8
252,T001100,PV30  ,2022JJ00,970.0,2810.0,2250.0,5.6
253,T001100,PV30  ,2023JJ00,850.0,2710.0,1970.0,5.7
254,T001100,PV30  ,2024JJ00,830.0,2770.0,1940.0,5.7
255,T001100,PV31  ,2010JJ00,2150.0,3550.0,,
256,T001100,PV31  ,2011JJ00,1650.0,3450.0,,
257,T001100,PV31  ,2012JJ00,1750.0,3450.0,,1.0
258,T001100,PV31  ,2013JJ00,1850.0,3400.0,,0.9
259,T001100,PV31  ,2014JJ00,1350.0,3250.0,,0.9
260,T001100,PV31  ,2015JJ00,1450.0,3170.0,,1.0
261,T001100,PV31  ,2016JJ00,1510.0,3110.0,,1.0
262,T001100,PV31  ,2017JJ00,1450.0,3080.0,,1.0
263,T001100,PV31  ,2018JJ00,1450.0,3000.0,,
264,T001100,PV31  ,2019JJ00,1350.0,2900.0,,1.1
265,T001100,PV31  ,2020JJ00,1270.0,2910.0,,
266,T001100,PV31  ,2021JJ00,1430.0,2940.0,2460.0,
267,T001100,PV31  ,2022JJ00,1050.0,2740.0,2100.0,1.3
268,T001100,PV31  ,2023JJ00,910.0,2670.0,1850.0,1.6
269,T001100,PV31  ,2024JJ00,890.0,2730.0,1840.0,1.6
270,T001100,PVZZ  ,2010JJ00,,,,
271,T001100,PVZZ  ,2011JJ00,,,,
272,T001100,PVZZ  ,2012JJ00,,,,
273,T001100,PVZZ  ,2013JJ00,,,,
274,T001100,PVZZ  ,2014JJ00,,,,
275,T001100,PVZZ  ,2015JJ00,,,,
276,T001100,PVZZ  ,2016JJ00,,,,
277,T001100,PVZZ  ,2017JJ00,,,,
278,T001100,PVZZ  ,2018JJ00,,,,
279,T001100,PVZZ  ,2019JJ00,,,,
280,T001100,PVZZ  ,2020JJ00,,,,
281,T001100,PVZZ  ,2021JJ00,,,,
282,T001100,PVZZ  ,2022JJ00,,,,
283,T001100,PVZZ  ,2023JJ00,,,,
284,T001100,PVZZ  ,2024JJ00,,,,
285,T001100,GM1680,2010JJ00,2700.0,3700.0,,
286,T001100,GM1680,2011JJ00,2100.0,3700.0,,
287,T001100,GM1680,2012JJ00,2300.0,3650.0,,
288,T001100,GM1680,2013JJ00,2400.0,3600.0,,
289,T001100,GM1680,2014JJ00,1800.0,3450.0,,
290,T001100,GM1680,2015JJ00,1880.0,3350.0,,
291,T001100,GM1680,2016JJ00,2010.0,3290.0,,
292,T001100,GM1680,2017JJ00,1880.0,3220.0,,
293,T001100,GM1680,2018JJ00,1900.0,3140.0,,
294,T001100,GM1680,2019JJ00,1740.0,3030.0,,
295,T001100,GM1680,2020JJ00,1660.0,3090.0,,
296,T001100,GM1680,2021JJ00,1850.0,3150.0,2500.0,
297,T001100,GM1680,2022JJ00,1360.0,2960.0,2040.0,
298,T001100,GM1680,2023JJ00,1140.0,2900.0,1710.0,
299,T001100,GM1680,2024JJ00,1100.0,3040.0,1660.0,
300,T001100,GM0738,2010JJ00,2450.0,4200.0,,
301,T001100,GM0738,2011JJ00,1850.0,4100.0,,
302,T001100,GM0738,2012JJ00,1950.0,3950.0,,
303,T001100,GM0738,2013JJ00,2050.0,3900.0,,
304,T001100,GM0738,2014JJ00,1550.0,3750.0,,
305,T001100,GM0738,2015JJ00,1650.0,3730.0,,
306,T001100,GM0738,2016JJ00,1730.0,3690.0,,
307,T001100,GM0738,2017JJ00,1640.0,3620.0,,
308,T001100,GM0738,2018JJ00,1680.0,3630.0,,
309,T001100,GM0738,2019JJ00,,,,
310,T001100,GM0738,2020JJ00,,,,
311,T001100,GM0738,2021JJ00,,,,
312,T001100,GM0738,2022JJ00,,,,
313,T001100,GM0738,2023JJ00,,,,
314,T001100,GM0738,2024JJ00,,,,
315,T001100,GM0358,2010JJ00,2000.0,3700.0,,
316,T001100,GM0358,2011JJ00,1550.0,3750.0,,
317,T001100,GM0358,2012JJ00,1650.0,3650.0,,
318,T001100,GM0358,2013JJ00,1750.0,3550.0,,
319,T001100,GM0358,2014JJ00,1350.0,3450.0,,
320,T001100,GM0358,2015JJ00,1410.0,3380.0,,
321,T001100,GM0358,2016JJ00,1470.0,3330.0,,
322,T001100,GM0358,2017JJ00,1400.0,3230.0,,
323,T001100,GM0358,2018JJ00,1410.0,3130.0,,
324,T001100,GM0358,2019JJ00,1320.0,3080.0,,
325,T001100,GM0358,2020JJ00,1230.0,3080.0,,
326,T001100,GM0358,2021JJ00,1390.0,3150.0,2790.0,
327,T001100,GM0358,2022JJ00,1040.0,2880.0,2390.0,
328,T001100,GM0358,2023JJ00,940.0,2780.0,2110.0,
329,T001100,GM0358,2024JJ00,900.0,2810.0,2030.0,
330,T001100,GM0197,2010JJ00,2150.0,3500.0,,
331,T001100,GM0197,2011JJ00,1700.0,3550.0,,
332,T001100,GM0197,2012JJ00,1750.0,3450.0,,
333,T001100,GM0197,2013JJ00,1850.0,3350.0,,
334,T001100,GM0197,2014JJ00,1350.0,3250.0,,
335,T001100,GM0197,2015JJ00,1470.0,3140.0,,
336,T001100,GM0197,2016JJ00,1520.0,3060.0,,
337,T001100,GM0197,2017JJ00,1500.0,2950.0,,
338,T001100,GM0197,2018JJ00,1480.0,2810.0,,
339,T001100,GM0197,2019JJ00,1380.0,2900.0,,
340,T001100,GM0197,2020JJ00,1310.0,2960.0,,
341,T001100,GM0197,2021JJ00,1480.0,3010.0,2530.0,
342,T001100,GM0197,2022JJ00,1090.0,2780.0,2100.0,
343,T001100,GM0197,2023JJ00,950.0,2710.0,1830.0,
344,T001100,GM0197,2024JJ00,940.0,2790.0,1800.0,
345,T001100,GM0305,2010JJ00,2500.0,3950.0,,
346,T001100,GM0305,2011JJ00,,,,
347,T001100,GM0305,2012JJ00,,,,
348,T001100,GM0305,2013JJ00,,,,
349,T001100,GM0305,2014JJ00,,,,
350,T001100,GM0305,2015JJ00,,,,
351,T001100,GM0305,2016JJ00,,,,
352,T001100,GM0305,2017JJ00,,,,
353,T001100,GM0305,2018JJ00,,,,
354,T001100,GM0305,2019JJ00,,,,
355,T001100,GM0305,2020JJ00,,,,
356,T001100,GM0305,2021JJ00,,,,
357,T001100,GM0305,2022JJ00,,,,
358,T001100,GM0305,2023JJ00,,,,
359,T001100,GM0305,2024JJ00,,,,
360,T001100,GM0059,2010JJ00,2350.0,3150.0,,
361,T001100,GM0059,2011JJ00,1850.0,3200.0,,
362,T001100,GM0059,2012JJ00,1950.0,3150.0,,
363,T001100,GM0059,2013JJ00,2050.0,3000.0,,
364,T001100,GM0059,2014JJ00,1500.0,2900.0,,
365,T001100,GM0059,2015JJ00,1620.0,2830.0,,
366,T001100,GM0059,2016JJ00,1690.0,2760.0,,
367,T001100,GM0059,2017JJ00,1590.0,2700.0,,
368,T001100,GM0059,2018JJ00,1630.0,2660.0,,
369,T001100,GM0059,2019JJ00,1500.0,2690.0,,
370,T001100,GM0059,2020JJ00,1460.0,2770.0,,
371,T001100,GM0059,2021JJ00,1630.0,2840.0,2430.0,
372,T001100,GM0059,2022JJ00,1190.0,2640.0,2050.0,
373,T001100,GM0059,2023JJ00,1030.0,2600.0,1780.0,
374,T001100,GM0059,2024JJ00,1000.0,2690.0,1740.0,
375,T001100,GM0482,2010JJ00,1750.0,3200.0,,
376,T001100,GM0482,2011JJ00,1350.0,3150.0,,
377,T001100,GM0482,2012JJ00,1350.0,3100.0,,
378,T001100,GM0482,2013JJ00,1400.0,3050.0,,
379,T001100,GM0482,2014JJ00,1100.0,3000.0,,
380,T001100,GM0482,2015JJ00,1180.0,2970.0,,
381,T001100,GM0482,2016JJ00,1200.0,2940.0,,
382,T001100,GM0482,2017JJ00,1150.0,2880.0,,
383,T001100,GM0482,2018JJ00,1140.0,2830.0,,
384,T001100,GM0482,2019JJ00,1080.0,2740.0,,
385,T001100,GM0482,2020JJ00,1030.0,2730.0,,
386,T001100,GM0482,2021JJ00,1140.0,2810.0,2610.0,
387,T001100,GM0482,2022JJ00,840.0,2600.0,2270.0,1.7
388,T001100,GM0482,2023JJ00,760.0,2500.0,2010.0,1.6
389,T001100,GM0482,2024JJ00,730.0,2550.0,2010.0,1.6
390,T001100,GM0613,2010JJ00,1850.0,3650.0,,
391,T001100,GM0613,2011JJ00,1400.0,3600.0,,
392,T001100,GM0613,2012JJ00,1450.0,3450.0,,
393,T001100,GM0613,2013JJ00,1550.0,3400.0,,
394,T001100,GM0613,2014JJ00,1150.0,3300.0,,
395,T001100,GM0613,2015JJ00,1250.0,3250.0,,
396,T001100,GM0613,2016JJ00,1300.0,3180.0,,
397,T001100,GM0613,2017JJ00,1280.0,3140.0,,
398,T001100,GM0613,2018JJ00,1260.0,3110.0,,
399,T001100,GM0613,2019JJ00,1180.0,3010.0,,
400,T001100,GM0613,2020JJ00,1130.0,3090.0,,
401,T001100,GM0613,2021JJ00,1280.0,3150.0,2860.0,
402,T001100,GM0613,2022JJ00,940.0,2880.0,2390.0,
403,T001100,GM0613,2023JJ00,840.0,2770.0,2010.0,
404,T001100,GM0613,2024JJ00,830.0,2840.0,2000.0,
405,T001100,GM0361,2010JJ00,1650.0,3000.0,,
406,T001100,GM0361,2011JJ00,1300.0,2950.0,,
407,T001100,GM0361,2012JJ00,1350.0,2850.0,,
408,T001100,GM0361,2013JJ00,1450.0,2800.0,,
409,T001100,GM0361,2014JJ00,1100.0,2700.0,,
410,T001100,GM0361,2015JJ00,1180.0,2720.0,,
411,T001100,GM0361,2016JJ00,1230.0,2650.0,,
412,T001100,GM0361,2017JJ00,1170.0,2610.0,,
413,T001100,GM0361,2018JJ00,1200.0,2530.0,,
414,T001100,GM0361,2019JJ00,1090.0,2490.0,,3.5
415,T001100,GM0361,2020JJ00,1040.0,2510.0,,4.9
416,T001100,GM0361,2021JJ00,1190.0,2530.0,2260.0,5.1
417,T001100,GM0361,2022JJ00,860.0,2300.0,1940.0,6.1
418,T001100,GM0361,2023JJ00,780.0,2230.0,1780.0,8.2
419,T001100,GM0361,2024JJ00,750.0,2260.0,1740.0,9.2
420,T001100,GM0141,2010JJ00,2050.0,3350.0,,
421,T001100,GM0141,2011JJ00,1650.0,3300.0,,
422,T001100,GM0141,2012JJ00,1750.0,3250.0,,
423,T001100,GM0141,2013JJ00,1900.0,3200.0,,
424,T001100,GM0141,2014JJ00,1200.0,3100.0,,
425,T001100,GM0141,2015JJ00,1320.0,3000.0,,
426,T001100,GM0141,2016JJ00,1340.0,2930.0,,
427,T001100,GM0141,2017JJ00,1350.0,2870.0,,
428,T001100,GM0141,2018JJ00,1350.0,2770.0,,
429,T001100,GM0141,2019JJ00,1190.0,2660.0,,
430,T001100,GM0141,2020JJ00,1150.0,2700.0,,
431,T001100,GM0141,2021JJ00,1400.0,2760.0,2490.0,
