ID,Mineralen,Perioden,TotaalAanvoerNaarVeehouderij_1,TotaalKrachtvoer_2,Rundvee_3,Varkens_4,Pluimvee_5,OverigeDieren_6,TotaalRuwvoer_7,Rundvee_8,Varkens_9,Pluimvee_10,OverigeDieren_11,TotaalAfvoerVanVeehouderij_12,TotaalVastlegging_13,Rundvee_14,Varkens_15,Pluimvee_16,OverigeDieren_17,TotaalUitscheidingVeestapel_18,Rundvee_19,Varkens_20,Pluimvee_21,OverigeDieren_22,TotaalVeehouderij_23,Rundvee_24,Varkens_25,Pluimvee_26,OverigeDieren_27,TotaalAanvoerNaarCultuurgrond_28,TotaalDierlijkMest_29,Weidemest_30,Stalmest_31,TotaalUitscheidingVeestapel_32,UitscheidingInDeWei_33,UitscheidingInDeStal_34,TotaalStikstofvervluchtiging_35,Ammoniakvervluchtiging_36,OverigeStikstofvervluchtiging_37,MestafzetBuitenDeLandbouw_38,Kunstmest_39,TotaalLuchtdepositie_40,HerkomstLandbouw_41,HerkomstNietLandbouw_42,TotaalOverigeAanvoer_43,BiologischeStikstofbinding_44,OverigeAanvoer_45,TotaalAfvoerVanCultuurgrond_46,TotaalStikstofvervluchtiging_47,TotaalDierlijkMest_48,Weidemest_49,Stalmest_50,Kunstmest_51,OverigeAanvoer_52,TotaalAfvoerViaGewassen_53,TotaalRuwvoer_54,Kuilgras_55,Weidegras_56,Hooi_57,Snijmais_58,TotaalAfzetPlantaardigeProducten_59,TotaalAkkerbouwgewassen_60,Aardappelen_61,Suikerbieten_62,Tarwe_63,OverigeAkkerbouwgewassen_64,TotaalTuinbouwgewassen_65,GroenteEnFruit_66,OverigeTuinbouwgewassen_67,TotaalStikstofvervluchtiging_68,Conserveringsverlies_69,GewasrestenEnAfrijpendeGewassen_70,VerliesNaarDeBodem_71,BenuttingMineralenCultuurgrond_72,TotaalAanvoer_73,DierlijkeMest_74,Kunstmest_75,Luchtdepositie_76,OverigeAanvoer_77,TotaalAfvoer_78,StikstofvervluchtigingWeiEnToediening_79,Ruwvoer_80,Akkerbouwgewassen_81,Tuinbouwgewassen_82,StikstofvervluchtigingGewassen_83,VerliesNaarDeBodem_84,TotaalAanvoerNaarSectorLandbouw_85,Krachtvoer_86,Kunstmest_87,LuchtdepositieHerkomstNietLandbouw_88,OverigeAanvoer_89,TotaalAfvoerVanSectorLandbouw_90,MestafzetBuitenDeLandbouw_91,VastleggingInDierlijkeProductie_92,AfzetPlantaardigeProducten_93,VoorraadmutatieRuwvoer_94,TotaalVerlies_95,VerliesNaarDeBodem_96,TotaalVerliesNaarLucht_97,StikstofvervluchtigingStalEnOpslag_98,StikstofvervluchtigingWeiEnToediening_99,StikstofvervluchtigingGewassen_100,LuchtdepositieHerkomstLandbouw_101,BenuttingMineralenLandbouw_102
10,A028942,2000JJ00,742,428,130,186,106,7,314,291,0,0,23,742,195,82,65,45,3,547,339,121,61,27,26,19,35,43,10,841,444,125,319,547,125,422,74.0,63.0,11.0,29,322,59.0,31.0,28.0,16,5.0,11,841,61.0,52.0,4.0,48.0,9.0,0.0,418,315,136,140,7,33,94,80,26,12,22,20,14,9,6,9.0,5.0,4.0,361,50,426,225,163,30.0,8,426,31.0,160,40,7,4.0,183,794,428,322,28.0,16,794,29,195,94,2,474,361,113.0,74.0,61.0,9.0,31.0,38
11,A028942,2001JJ00,733,406,126,173,100,7,327,305,0,0,22,733,193,83,63,44,3,540,348,110,56,26,26,19,36,44,10,779,426,127,299,540,127,412,71.0,60.0,11.0,43,281,56.0,30.0,26.0,16,6.0,10,779,58.0,49.0,5.0,44.0,9.0,0.0,407,311,121,150,7,34,87,73,22,11,19,21,14,8,6,8.0,4.0,4.0,314,52,400,219,144,29.0,8,400,30.0,160,38,7,4.0,161,729,406,281,26.0,16,729,43,193,87,-16,421,314,107.0,71.0,58.0,8.0,30.0,41
12,A028942,2002JJ00,687,389,122,156,104,7,298,277,0,0,21,687,185,79,57,46,3,502,320,99,58,25,27,20,37,44,10,735,390,105,285,502,105,397,68.0,58.0,10.0,44,275,55.0,29.0,26.0,15,6.0,9,735,55.0,44.0,3.0,41.0,10.0,0.0,422,325,138,142,9,37,88,74,24,11,20,19,14,9,6,9.0,5.0,4.0,258,57,374,199,140,28.0,8,374,28.0,165,38,7,4.0,132,705,389,275,26.0,15,705,44,185,88,27,360,258,102.0,68.0,55.0,9.0,29.0,41
13,A028942,2003JJ00,646,356,123,152,74,7,291,269,0,0,21,646,169,79,55,32,3,478,313,97,42,25,26,20,36,43,10,724,386,100,287,478,100,378,64.0,55.0,10.0,27,273,49.0,26.0,23.0,16,6.0,10,724,56.0,44.0,3.0,41.0,11.0,0.0,346,252,104,104,10,35,86,72,21,11,20,20,15,9,6,7.0,4.0,4.0,323,48,372,199,140,25.0,8,372,29.0,129,37,7,4.0,166,667,356,273,23.0,16,667,27,169,86,-39,424,323,101.0,64.0,56.0,7.0,26.0,40
14,A028942,2004JJ00,641,368,123,149,89,7,274,256,0,0,17,641,176,80,56,38,3,465,300,94,51,21,27,21,37,43,11,721,370,92,278,465,92,374,65.0,55.0,9.0,31,283,53.0,28.0,25.0,15,6.0,10,721,54.0,43.0,2.0,41.0,11.0,0.0,382,283,136,99,12,36,91,76,24,11,22,19,15,10,6,8.0,5.0,3.0,285,53,370,190,145,27.0,8,370,28.0,145,39,8,4.0,146,691,368,283,25.0,15,691,31,176,91,9,384,285,99.0,65.0,54.0,8.0,28.0,40
15,A028942,2005JJ00,657,381,120,158,97,7,276,258,0,0,18,657,181,81,57,41,3,477,297,101,56,22,27,21,36,42,11,693,367,93,274,477,93,384,65.0,56.0,10.0,44,262,49.0,26.0,23.0,15,6.0,10,693,52.0,42.0,2.0,39.0,10.0,0.0,370,277,121,110,9,37,86,71,22,11,21,18,15,9,6,8.0,4.0,3.0,271,53,358,189,135,25.0,8,358,27.0,143,37,8,4.0,140,681,381,262,23.0,15,681,44,181,86,1,370,271,99.0,65.0,52.0,8.0,26.0,42
16,A028942,2006JJ00,649,379,118,159,95,7,270,252,0,0,17,649,179,81,56,39,3,469,290,102,56,21,28,22,36,41,12,694,364,89,275,469,89,381,66.0,56.0,10.0,40,270,45.0,24.0,21.0,14,6.0,9,694,55.0,43.0,2.0,41.0,11.0,0.0,367,279,119,114,8,38,80,65,20,9,21,15,15,9,6,8.0,4.0,4.0,272,53,361,190,141,23.0,8,361,28.0,145,34,8,4.0,142,684,379,270,21.0,14,684,40,179,80,9,376,272,104.0,66.0,55.0,8.0,24.0,40
17,A028942,2007JJ00,661,383,116,163,98,7,278,261,0,0,17,661,184,82,59,40,3,478,295,105,57,21,28,22,36,41,12,660,361,81,280,478,81,397,68.0,58.0,10.0,49,240,44.0,24.0,20.0,15,6.0,9,660,51.0,42.0,2.0,40.0,9.0,0.0,365,277,127,106,6,37,80,65,22,9,18,15,15,9,6,8.0,5.0,3.0,244,55,345,189,125,23.0,8,345,27.0,145,34,8,4.0,128,659,383,240,20.0,15,659,49,184,80,-1,346,244,102.0,68.0,51.0,8.0,24.0,43
18,A028942,2008JJ00,680,405,127,169,102,7,275,258,0,0,17,680,191,85,61,42,3,489,300,109,60,21,28,22,36,41,12,638,357,86,271,489,86,404,69.0,59.0,10.0,63,221,45.0,23.0,22.0,15,6.0,9,638,39.0,32.0,2.0,29.0,8.0,0.0,384,287,137,102,3,45,88,72,22,9,24,17,16,10,6,8.0,5.0,3.0,215,60,331,185,114,23.0,8,331,20.0,149,38,8,4.0,111,663,405,221,22.0,15,663,63,191,88,12,309,215,94.0,69.0,39.0,8.0,23.0,47
19,A028942,2009JJ00,675,404,124,170,103,7,272,255,0,0,17,675,193,86,62,42,3,482,293,108,61,20,29,23,36,41,13,614,345,73,272,482,73,409,70.0,59.0,10.0,67,211,42.0,22.0,20.0,15,6.0,10,614,36.0,29.0,2.0,28.0,7.0,0.0,368,269,141,80,4,43,91,75,23,10,25,17,16,10,6,8.0,5.0,3.0,210,60,320,180,110,22.0,8,320,19.0,140,39,8,4.0,110,651,404,211,20.0,15,651,67,193,91,-3,303,210,93.0,70.0,36.0,8.0,22.0,49
20,A028942,2010JJ00,685,410,129,168,107,7,274,257,0,0,17,685,197,88,62,44,3,488,299,106,63,21,29,23,37,41,13,608,351,74,277,488,74,414,68.0,57.0,10.0,69,205,36.0,19.0,17.0,15,6.0,9,608,36.0,30.0,2.0,28.0,6.0,0.0,368,274,144,85,3,42,86,70,22,9,24,15,16,10,6,8.0,5.0,3.0,203,61,325,187,110,19.0,8,325,19.0,146,37,8,5.0,109,648,410,205,17.0,15,648,69,197,86,0,297,203,94.0,68.0,36.0,8.0,19.0,49
21,A028942,2011JJ00,671,406,125,170,104,8,265,249,0,0,16,671,195,87,63,43,3,476,288,107,61,20,29,23,37,42,13,596,342,61,281,476,61,414,65.0,55.0,10.0,68,200,38.0,20.0,18.0,15,6.0,9,596,37.0,30.0,1.0,29.0,6.0,0.0,362,269,146,78,3,43,84,68,23,10,21,13,17,10,6,8.0,5.0,3.0,197,61,320,184,108,20.0,8,320,20.0,145,36,9,4.0,106,640,406,200,18.0,15,640,68,195,84,4,287,197,91.0,65.0,37.0,8.0,20.0,49
22,A028942,2012JJ00,653,394,120,166,99,8,259,244,0,0,15,653,194,87,61,43,3,459,277,105,57,20,30,24,37,43,13,584,329,58,272,459,58,402,62.0,52.0,10.0,68,200,40.0,20.0,19.0,16,6.0,10,584,35.0,28.0,1.0,27.0,7.0,0.0,343,251,147,61,4,39,84,68,22,10,23,13,16,10,6,8.0,5.0,3.0,205,59,317,179,108,22.0,8,317,19.0,136,37,9,4.0,112,628,394,200,19.0,16,628,68,194,84,-8,291,205,86.0,62.0,35.0,8.0,20.0,49
23,A028942,2013JJ00,669,404,130,163,103,8,265,249,0,0,16,669,198,90,61,44,3,471,289,102,59,21,30,24,37,43,13,608,339,61,279,471,61,411,60.0,50.0,10.0,72,216,37.0,19.0,18.0,16,6.0,10,608,35.0,27.0,1.0,26.0,8.0,0.0,363,271,155,74,4,38,84,68,21,10,24,13,16,10,6,9.0,5.0,3.0,209,60,329,184,117,20.0,9,329,19.0,147,37,9,5.0,113,654,404,216,18.0,16,654,72,198,84,6,295,209,85.0,60.0,35.0,9.0,19.0,48
24,A028942,2014JJ00,686,414,142,160,104,8,272,257,0,0,15,686,201,91,61,46,3,485,308,99,58,20,29,23,38,44,14,620,352,61,292,485,61,424,62.0,51.0,11.0,71,213,39.0,21.0,18.0,16,6.0,10,620,38.0,29.0,1.0,28.0,8.0,0.0,394,298,180,76,3,39,87,70,23,12,23,13,16,10,6,9.0,6.0,3.0,189,63,337,192,116,21.0,9,337,20.0,162,38,9,5.0,103,661,414,213,18.0,16,661,71,201,87,25,278,189,88.0,62.0,38.0,9.0,21.0,49
25,A028942,2015JJ00,706,423,144,162,108,9,283,268,0,0,15,706,210,96,63,48,3,496,316,99,60,21,30,23,39,44,14,655,356,57,299,496,57,439,64.0,52.0,12.0,76,245,37.0,20.0,17.0,17,7.0,9,655,37.0,28.0,1.0,27.0,9.0,0.0,369,276,173,60,4,40,84,67,22,8,23,14,17,11,6,9.0,6.0,3.0,248,56,355,193,133,20.0,9,355,20.0,150,36,9,5.0,134,702,423,245,17.0,17,702,76,210,84,-6,338,248,90.0,64.0,37.0,9.0,20.0,47
26,A028942,2016JJ00,719,438,161,159,109,8,281,269,0,0,12,719,216,103,62,49,3,503,327,97,60,18,30,24,39,45,15,643,359,51,308,503,51,451,65.0,53.0,12.0,79,230,37.0,19.0,17.0,18,8.0,10,643,37.0,29.0,1.0,28.0,8.0,1.0,365,277,178,63,4,32,79,62,22,9,18,13,17,10,6,9.0,6.0,3.0,241,57,358,200,128,20.0,10,358,21.0,154,35,9,5.0,134,702,438,230,17.0,18,702,79,216,79,-4,333,241,92.0,65.0,37.0,9.0,19.0,47
27,A028942,2017JJ00,726,434,160,160,105,9,292,279,0,0,13,726,215,102,62,47,3,511,337,97,57,19,30,23,39,45,14,651,368,52,315,511,52,458,66.0,54.0,12.0,77,230,36.0,20.0,16.0,17,8.0,9,651,38.0,29.0,1.0,28.0,8.0,0.0,404,307,188,79,3,37,87,70,25,14,19,12,18,11,6,10.0,6.0,3.0,209,62,364,205,129,20.0,10,364,21.0,171,39,10,5.0,117,697,434,230,16.0,17,697,77,215,87,15,303,209,93.0,66.0,38.0,10.0,20.0,49
28,A028942,2018JJ00,711,421,153,159,98,10,291,274,0,0,17,711,208,100,62,42,4,504,327,97,57,23,29,23,39,42,15,633,367,52,316,504,52,452,64.0,52.0,12.0,72,212,37.0,19.0,17.0,17,7.0,9,633,39.0,31.0,1.0,29.0,7.0,0.0,351,264,162,65,2,35,78,61,20,11,18,13,16,10,6,9.0,5.0,3.0,244,55,347,201,117,20.0,9,347,21.0,145,34,9,5.0,134,667,421,212,17.0,17,667,72,208,78,-27,336,244,92.0,64.0,39.0,9.0,19.0,48
29,A028942,2019JJ00,697,410,147,156,97,10,287,269,0,0,18,697,207,100,63,41,4,490,316,94,56,24,30,24,40,42,15,622,354,51,303,490,51,439,61.0,49.0,12.0,75,215,36.0,19.0,17.0,17,8.0,9,622,36.0,28.0,1.0,27.0,8.0,0.0,380,283,181,63,3,36,87,70,23,11,21,14,18,11,6,10.0,6.0,4.0,205,61,342,195,118,20.0,10,342,20.0,156,38,10,5.0,113,659,410,215,17.0,17,659,75,207,87,-4,293,205,88.0,61.0,36.0,10.0,19.0,50
30,A028942,2020JJ00,698,415,155,154,97,9,283,265,0,0,18,698,208,101,62,42,4,489,320,92,55,23,30,24,40,43,15,624,355,51,304,489,51,439,61.0,49.0,12.0,73,217,34.0,19.0,15.0,18,9.0,9,624,36.0,28.0,1.0,27.0,7.0,0.0,370,278,161,76,4,37,83,66,23,11,17,14,18,11,6,9.0,5.0,3.0,219,59,344,196,120,19.0,10,344,20.0,153,36,10,5.0,121,665,415,217,15.0,18,665,73,208,83,-5,306,219,87.0,61.0,36.0,9.0,19.0,49
31,A028942,2021JJ00,673,408,157,149,93,8,266,248,0,0,18,673,202,99,60,39,4,471,306,89,54,22,30,24,40,42,15,611,345,48,297,471,48,423,58.0,47.0,11.0,68,212,35.0,20.0,15.0,19,10.0,9,611,37.0,28.0,1.0,27.0,8.0,0.0,369,276,179,60,4,33,83,65,22,11,18,14,18,12,6,9.0,6.0,3.0,205,60,337,190,117,19.0,10,337,20.0,152,36,10,5.0,113,653,408,212,15.0,19,653,68,202,83,10,289,205,84.0,58.0,37.0,9.0,20.0,49
32,A028942,2022JJ00,667,410,163,148,90,8,257,239,0,0,18,667,200,100,60,36,4,467,302,89,54,22,30,25,40,40,15,580,345,48,297,467,48,419,57.0,46.0,11.0,65,188,29.0,17.0,13.0,17,8.0,9,580,34.0,27.0,1.0,26.0,7.0,0.0,328,230,145,48,4,33,90,73,23,12,22,16,17,10,6,8.0,5.0,4.0,217,57,321,191,104,16.0,10,321,19.0,127,41,9,5.0,120,628,410,188,13.0,17,628,65,200,90,-27,301,217,84.0,57.0,34.0,8.0,17.0,51
33,A028942,2023JJ00,663,396,158,139,89,10,267,251,0,0,17,663,200,102,57,36,4,464,307,82,53,22,30,25,41,41,16,591,342,50,292,464,50,414,56.0,45.0,11.0,66,197,32.0,18.0,14.0,21,12.0,9,591,33.0,25.0,1.0,24.0,7.0,0.0,377,283,174,70,5,35,84,68,22,8,19,18,17,10,6,9.0,6.0,3.0,181,64,328,190,109,17.0,12,328,18.0,157,37,9,5.0,101,627,396,197,14.0,21,627,66,200,84,16,262,181,80.0,56.0,33.0,9.0,18.0,51
34,A028942,2024JJ00,644,384,154,136,84,10,260,244,0,0,16,644,195,100,56,35,4,449,298,80,49,22,30,25,41,42,16,588,332,45,287,449,45,404,54.0,43.0,11.0,63,201,34.0,19.0,15.0,22,12.0,9,588,30.0,23.0,1.0,22.0,7.0,0.0,337,253,162,60,5,26,75,58,21,8,12,18,17,11,6,9.0,5.0,3.0,220,57,325,183,111,19.0,12,325,17.0,140,32,10,5.0,122,622,384,201,15.0,22,622,63,195,75,-7,295,220,75.0,54.0,30.0,9.0,19.0,48
35,A047709,1990JJ00,138,91,26,43,20,1,47,44,0,0,3,138,37,18,13,6,0,100,53,30,14,4,27,25,31,28,12,134,96,19,77,100,19,82,,,,4,32,,,,5,,5,134,,,,,,,65,47,17,23,1,5,18,15,4,4,4,3,3,1,2,,,,69,49,67,48,16,,3,67,,24,7,1,,34,128,91,32,,6,128,4,37,18,0,69,69,,,,,,44
36,A047709,1991JJ00,140,92,26,43,21,1,49,46,0,0,3,140,37,18,13,6,1,103,54,30,15,4,27,25,30,28,12,136,100,18,82,103,18,85,,,,3,31,,,,5,,5,136,,,,,,,60,43,16,22,1,4,16,13,4,4,3,3,3,1,2,,,,76,44,68,50,16,,3,68,,22,7,1,,38,128,92,31,,5,128,3,37,16,-6,76,76,,,,,,43
37,A047709,1992JJ00,140,94,27,44,22,1,46,43,0,0,3,140,38,18,14,6,1,102,52,30,15,4,27,25,31,29,12,135,97,18,79,102,18,83,,,,4,33,,,,5,,5,135,,,,,,,66,49,17,26,1,5,17,14,5,4,3,2,3,2,2,,,,69,49,68,49,16,,2,68,,25,7,2,,35,131,94,33,,5,131,4,38,17,3,69,69,,,,,,44
38,A047709,1993JJ00,144,95,27,46,21,1,49,45,0,0,3,144,39,17,14,6,1,105,55,31,15,4,27,24,32,29,11,132,100,20,81,105,20,86,,,,5,28,,,,4,,4,132,,,,,,,68,50,19,25,1,6,18,15,5,4,4,3,3,2,2,,,,64,51,67,50,14,,2,67,,25,7,2,,32,128,95,28,,4,128,5,39,18,2,64,64,,,,,,46
39,A047709,1994JJ00,136,90,27,42,20,1,46,43,0,0,3,136,37,17,14,6,0,99,53,28,14,4,28,25,33,29,12,123,91,17,74,99,17,81,,,,7,29,,,,4,,4,123,,,,,,,58,42,15,21,1,5,16,13,4,3,3,2,3,2,2,,,,66,47,63,46,15,,2,63,,21,7,2,,33,122,90,29,,4,122,7,37,16,-4,66,66,,,,,,47
40,A047709,1995JJ00,131,89,29,40,18,1,43,40,0,0,3,131,38,17,14,6,0,94,52,26,12,4,29,25,35,32,11,116,87,17,70,94,17,77,,,,7,26,,,,3,,3,116,,,,,,,56,39,14,20,1,4,17,14,4,3,4,2,3,2,2,,,,60,49,59,44,13,,2,59,,20,7,2,,30,118,89,26,,3,118,7,38,17,-3,60,60,,,,,,49
41,A047709,1996JJ00,123,85,27,39,18,1,38,36,0,0,3,123,37,17,14,6,0,86,45,25,12,3,30,28,35,32,13,112,81,15,66,86,15,71,,,,5,28,,,,3,,3,112,,,,,,,53,36,13,18,1,5,17,14,5,3,4,3,3,2,2,,,,59,47,57,41,14,,2,57,,18,7,2,,30,116,85,28,,3,116,5,37,17,-3,59,59,,,,,,49
42,A047709,1997JJ00,122,82,26,37,18,1,40,37,0,0,3,122,37,17,13,6,0,85,46,24,12,4,30,27,35,34,12,111,81,16,64,85,16,69,,,,5,27,,,,3,,3,111,,,,,,,62,45,17,21,1,6,17,14,5,3,4,3,3,2,2,,,,49,56,56,41,14,,2,56,,23,7,2,,25,113,82,27,,3,113,5,37,17,5,49,49,,,,,,50
43,A047709,1998JJ00,122,82,24,37,19,1,41,38,0,0,3,122,37,16,14,7,0,85,45,24,12,4,30,26,37,35,11,112,79,15,64,85,15,70,,,,6,30,,,,3,,3,112,,,,,,,56,41,20,15,1,5,15,12,3,2,4,3,3,1,2,,,,56,50,57,40,15,,2,57,,21,6,2,,29,114,82,30,,3,114,6,37,15,0,56,56,,,,,,48
