ID,Bestemming,Perioden,WaardeInWerkelijkePrijzen_1,WaardePrijsniveau2005_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4
143,304300,1980JJ00,,,,
144,304300,1981JJ00,,,,
145,304300,1982JJ00,,,,
146,304300,1983JJ00,,,,
147,304300,1984JJ00,,,,
148,304300,1985JJ00,,,,
149,304300,1986JJ00,,,,
150,304300,1987JJ00,,,,
151,304300,1988JJ00,5.0,8.0,,
152,304300,1989JJ00,4.0,8.0,,
153,304300,1990JJ00,5.0,11.0,,
154,304300,1991JJ00,4.0,8.0,,
155,304300,1992JJ00,6.0,11.0,,
156,304300,1993JJ00,4.0,7.0,,
157,304300,1994JJ00,7.0,12.0,,
158,304300,1995JJ00,3.0,4.0,,
159,304300,1996JJ00,3.0,4.0,,
160,304300,1997JJ00,3.0,5.0,,
161,304300,1998JJ00,5.0,6.0,,
162,304300,1999JJ00,7.0,9.0,,
163,304300,2000JJ00,9.0,11.0,,
164,304300,2001JJ00,16.0,20.0,,
165,304300,2002JJ00,13.0,16.0,,
166,304300,2003JJ00,11.0,14.0,,
167,304300,2004JJ00,10.0,10.0,,
168,304300,2005JJ00,13.0,13.0,,
169,304300,2006JJ00,11.0,12.0,,
170,304300,2007JJ00,12.0,13.0,,
171,304300,2008JJ00,11.0,11.0,,
172,304300,2009JJ00,13.0,13.0,,
173,304300,2010JJ00,10.0,10.0,,
174,304300,2011JJ00,6.0,6.0,,
175,304300,2012JJ00,,,,
176,305000,1969JJ00,,,,
177,305000,1970JJ00,,,,
178,305000,1971JJ00,,,,
179,305000,1972JJ00,,,,
180,305000,1973JJ00,,,,
181,305000,1974JJ00,,,,
182,305000,1975JJ00,,,,
183,305000,1976JJ00,,,,
184,305000,1977JJ00,,,,
185,305000,1978JJ00,,,,
186,305000,1979JJ00,,,,
187,305000,1980JJ00,,,,
188,305000,1981JJ00,,,,
189,305000,1982JJ00,,,,
190,305000,1983JJ00,,,,
191,305000,1984JJ00,,,,
192,305000,1985JJ00,,,,
193,305000,1986JJ00,,,,
194,305000,1987JJ00,,,,
195,305000,1988JJ00,132.0,156.0,,84.8
196,305000,1989JJ00,97.0,111.0,-28.8,87.5
197,305000,1990JJ00,66.0,73.0,-34.0,90.3
198,305000,1991JJ00,24.0,27.0,-63.6,90.3
199,305000,1992JJ00,40.0,44.0,66.7,90.3
200,305000,1993JJ00,53.0,59.0,32.5,90.3
201,305000,1994JJ00,100.0,110.0,86.8,91.2
202,305000,1995JJ00,44.0,49.0,-55.0,89.2
203,305000,1996JJ00,44.0,49.0,0.0,89.2
204,305000,1997JJ00,35.0,40.0,-18.2,86.7
205,305000,1998JJ00,64.0,72.0,77.1,89.5
206,305000,1999JJ00,73.0,80.0,12.5,90.7
207,305000,2000JJ00,111.0,121.0,50.7,91.5
208,305000,2001JJ00,59.0,66.0,-45.9,90.0
209,305000,2002JJ00,85.0,90.0,37.3,94.5
210,305000,2003JJ00,57.0,59.0,-34.1,96.2
211,305000,2004JJ00,37.0,38.0,-35.1,96.2
212,305000,2005JJ00,26.0,26.0,-32.4,100.0
213,305000,2006JJ00,45.0,45.0,73.1,100.0
214,305000,2007JJ00,45.0,44.0,-2.2,102.3
215,305000,2008JJ00,37.0,36.0,-17.8,102.3
216,305000,2009JJ00,74.0,71.0,97.3,103.7
217,305000,2010JJ00,28.0,27.0,-62.2,103.7
218,305000,2011JJ00,32.0,30.0,10.7,107.0
219,305000,2012JJ00,,,,
220,300002,1969JJ00,3192.0,8112.0,,39.4
221,300002,1970JJ00,4153.0,9728.0,19.9,42.7
222,300002,1971JJ00,4632.0,9969.0,2.5,46.5
223,300002,1972JJ00,4330.0,8852.0,-11.2,48.9
224,300002,1973JJ00,4263.0,8333.0,-5.9,51.2
225,300002,1974JJ00,4617.0,8131.0,-2.4,56.8
226,300002,1975JJ00,5148.0,8179.0,0.6,62.9
227,300002,1976JJ00,5127.0,7586.0,-7.2,67.6
228,300002,1977JJ00,5826.0,8307.0,9.5,70.1
229,300002,1978JJ00,5943.0,8096.0,-2.5,73.4
230,300002,1979JJ00,5956.0,7723.0,-4.6,77.1
231,300002,1980JJ00,7100.0,8729.0,13.0,81.3
232,300002,1981JJ00,6725.0,7713.0,-11.6,87.2
233,300002,1982JJ00,6576.0,7265.0,-5.8,90.5
234,300002,1983JJ00,6761.0,7367.0,1.4,91.8
235,300002,1984JJ00,8375.0,9097.0,23.5,92.1
236,300002,1985JJ00,10046.0,10902.0,19.8,92.1
237,300002,1986JJ00,10653.0,11694.0,7.3,91.1
238,300002,1987JJ00,10696.0,11684.0,-0.1,91.5
239,300002,1988JJ00,10221.0,11117.0,-4.9,91.9
240,300002,1989JJ00,10601.0,11402.0,2.6,93.0
241,300002,1990JJ00,10831.0,11536.0,1.2,93.9
242,300002,1991JJ00,11200.0,11770.0,2.0,95.2
