ID,BedrijfstypeNEG,RegioS,Perioden,TotaalMestproductie_1,DunneMest_2,VasteMest_3,Stikstofuitscheiding_4,TotaalGasvormigeStikstofverliezen_5,AmmoniakN_6,OverigeGasvormigeStikstofverliezenN_7,TotaalGasvormigeStikstofverliezen_8,AmmoniakN_9,OverigeStikstofverliezenN_10,AmmoniakverliesTijdensBeweidingN_11,TotaalStikstofproductie_12,k_0170KgHa_13,k_170250KgHa_14,k_2501000KgHa_15,k_1000KgHa_16,k_0170KgHa_17,k_170250KgHa_18,k_2501000KgHa_19,k_1000KgHa_20,TotaalFosfaatproductie_21,k_060KgHa_22,k_60110KgHa_23,k_110500KgHa_24,k_500KgHa_25,k_060KgHa_26,k_60110KgHa_27,k_110500KgHa_28,k_500KgHa_29,PlaatsingsruimteStikstof_30,PlaatsingsruimteFosfaat_31,AandeelBedrijvenZonderOverproductie_32,ResterendePlaatsingsruimteStikstof_33,ResterendePlaatsingsruimteFosfaat_34,AandeelBedrijvenMetOverproductie_35,Stikstofoverschot_36,Fosfaatoverschot_37,SaldoPlaatsingsruimteStikstof_38,SaldoPlaatsingsruimteStikstofPerHa_39,SaldoPlaatsingsruimteFosfaat_40,SaldoPlaatsingsruimteFosfaatPerHa_41,PlaatsingsruimteStikstof_42,PlaatsingsruimteFosfaat_43,AandeelBedrijvenZonderOverproductie_44,ResterendePlaatsingsruimteStikstof_45,ResterendePlaatsingsruimteFosfaat_46,AandeelBedrijvenMetOverproductie_47,Stikstofoverschot_48,Fosfaatoverschot_49,SaldoPlaatsingsruimteStikstof_50,SaldoPlaatsingsruimteStikstofPerHa_51,SaldoPlaatsingsruimteFosfaat_52,SaldoPlaatsingsruimteFosfaatPerHa_53,AantalLandbouwbedrijven_54,TotaalBemestbareCultuurgrond_55,Grasland_56,Snijmais_57,OverigBouwland_58
12,T00,NL01  ,2006JJ00,69284.0,65902.0,3382.0,471240.0,75899.0,62665.0,13234.0,68794.0,55560.0,13234.0,7105.0,402446.0,54.0,15.0,22.0,8.0,30948.0,88636.0,188079.0,94784.0,169187.0,53.0,27.0,12.0,8.0,10698.0,65775.0,37363.0,55350.0,400806.0,184438.0,67.0,143859.0,79296.0,33.0,146678.0,76916.0,-2819.0,-2.0,2380.0,1.0,400806.0,142504.0,65.0,143198.0,51575.0,35.0,153098.0,79977.0,-9900.0,-5.0,-28402.0,-15.0,79435.0,1876691.0,996764.0,218036.0,661892.0
13,T00,NL01  ,2007JJ00,69235.0,65736.0,3499.0,479600.0,71233.0,58617.0,12616.0,64748.0,52132.0,12616.0,6485.0,414852.0,54.0,15.0,23.0,9.0,30843.0,83970.0,195571.0,104469.0,169384.0,52.0,28.0,12.0,8.0,10743.0,65057.0,38528.0,55056.0,399972.0,178823.0,66.0,142967.0,76089.0,34.0,158718.0,77855.0,-15751.0,-8.0,-1765.0,-1.0,399972.0,141951.0,64.0,142440.0,51256.0,36.0,164466.0,80483.0,-22026.0,-12.0,-29227.0,-16.0,76741.0,1870865.0,989974.0,221554.0,659337.0
14,T00,NL01  ,2008JJ00,71277.0,67806.0,3471.0,491346.0,72521.0,59441.0,13080.0,65676.0,52596.0,13080.0,6845.0,425670.0,54.0,14.0,24.0,8.0,31080.0,77929.0,205413.0,111248.0,175928.0,53.0,26.0,13.0,8.0,10712.0,63858.0,42540.0,58817.0,402620.0,174995.0,66.0,143835.0,73570.0,34.0,167926.0,82556.0,-24090.0,-13.0,-8986.0,-5.0,402620.0,142591.0,64.0,143199.0,51462.0,36.0,176023.0,86040.0,-32823.0,-17.0,-34577.0,-18.0,75152.0,1885441.0,982153.0,241727.0,661562.0
15,T00,NL01  ,2009JJ00,72703.0,69410.0,3292.0,484249.0,72414.0,59147.0,13267.0,66545.0,53278.0,13267.0,5869.0,417704.0,54.0,16.0,22.0,9.0,30964.0,89448.0,182850.0,114441.0,174831.0,53.0,26.0,12.0,9.0,10710.0,63559.0,38398.0,62164.0,397145.0,172492.0,67.0,143806.0,74098.0,33.0,165667.0,83705.0,-21861.0,-12.0,-9607.0,-5.0,397145.0,140679.0,66.0,143148.0,51569.0,34.0,172706.0,86894.0,-29558.0,-16.0,-35325.0,-19.0,73008.0,1857310.0,974695.0,240220.0,642394.0
16,T00,LD01  ,1994JJ00,16723.0,16210.0,514.0,136368.0,,15207.0,,,11487.0,,3720.0,124881.0,39.0,10.0,47.0,4.0,5854.0,9233.0,100395.0,9399.0,38945.0,44.0,36.0,16.0,4.0,2575.0,19596.0,12333.0,4441.0,,93200.0,94.0,,59067.0,6.0,9705.0,4811.0,,,54256.0,99.0,117503.0,42441.0,47.0,34492.0,13305.0,53.0,42307.0,14761.0,-7815.0,-14.0,-1457.0,-3.0,18810.0,546546.0,321614.0,30445.0,194487.0
17,T00,LD01  ,1995JJ00,16840.0,16303.0,537.0,137256.0,,15275.0,,,11540.0,,3736.0,125716.0,39.0,10.0,47.0,4.0,5617.0,9287.0,100801.0,10011.0,38464.0,44.0,36.0,16.0,4.0,2536.0,19849.0,11772.0,4308.0,,72722.0,92.0,,39266.0,8.0,11226.0,5008.0,,,34258.0,63.0,117143.0,42285.0,47.0,34141.0,13175.0,53.0,43000.0,14450.0,-8859.0,-16.0,-1274.0,-2.0,18310.0,544740.0,320026.0,29841.0,194873.0
18,T00,LD01  ,1996JJ00,16629.0,16081.0,548.0,134348.0,,15167.0,,,11316.0,,3851.0,123032.0,39.0,10.0,47.0,4.0,5862.0,9538.0,98071.0,9562.0,34477.0,47.0,40.0,9.0,4.0,3057.0,21985.0,5436.0,3999.0,,68852.0,92.0,,39089.0,8.0,10682.0,4715.0,,,34375.0,62.0,118658.0,42882.0,46.0,35937.0,14174.0,54.0,40591.0,12803.0,-4654.0,-8.0,1371.0,2.0,17927.0,551948.0,325491.0,31641.0,194815.0
19,T00,LD01  ,1997JJ00,15966.0,15434.0,532.0,133061.0,,15270.0,,,11607.0,,3662.0,121454.0,41.0,10.0,45.0,4.0,6024.0,10025.0,95801.0,9604.0,35092.0,48.0,39.0,9.0,4.0,3117.0,21593.0,6114.0,4268.0,,68160.0,92.0,,38143.0,8.0,11030.0,5075.0,,,33068.0,60.0,117519.0,42432.0,48.0,35149.0,13845.0,52.0,39465.0,12980.0,-4316.0,-8.0,864.0,2.0,17516.0,546659.0,321087.0,33864.0,191709.0
20,T00,LD01  ,1998JJ00,15992.0,15424.0,568.0,126893.0,,12983.0,,,9698.0,,3285.0,117195.0,41.0,11.0,44.0,4.0,6595.0,11164.0,90251.0,9185.0,36230.0,46.0,40.0,10.0,4.0,2919.0,22311.0,6796.0,4204.0,,62487.0,89.0,,31544.0,11.0,11387.0,5288.0,,,26257.0,48.0,118001.0,42601.0,50.0,35520.0,13830.0,50.0,35170.0,12379.0,350.0,1.0,1451.0,3.0,17110.0,549155.0,321718.0,32567.0,194870.0
21,T00,LD01  ,1999JJ00,16068.0,15438.0,630.0,123537.0,20823.0,15560.0,5263.0,17767.0,12504.0,5263.0,3056.0,105769.0,44.0,15.0,37.0,4.0,7780.0,17824.0,72468.0,7697.0,38903.0,45.0,38.0,13.0,4.0,2749.0,21676.0,9664.0,4814.0,,62157.0,88.0,,29425.0,12.0,10658.0,6171.0,,,23254.0,43.0,117553.0,42453.0,56.0,36388.0,13598.0,44.0,25769.0,11570.0,10619.0,19.0,2028.0,4.0,16810.0,545741.0,323602.0,37351.0,184788.0
22,T00,LD01  ,2000JJ00,16419.0,15783.0,636.0,118085.0,19891.0,14855.0,5036.0,17021.0,11985.0,5036.0,2870.0,101064.0,44.0,17.0,35.0,4.0,8019.0,21342.0,64237.0,7466.0,37232.0,46.0,40.0,10.0,4.0,2873.0,22393.0,7225.0,4741.0,,58926.0,87.0,,27871.0,13.0,10469.0,6177.0,,,21695.0,40.0,116758.0,42077.0,58.0,37056.0,13908.0,42.0,22552.0,10517.0,14504.0,27.0,3391.0,6.0,16240.0,541249.0,320076.0,33498.0,187674.0
23,T00,LD01  ,2001JJ00,16870.0,16235.0,634.0,120981.0,20146.0,15032.0,5114.0,17180.0,12066.0,5114.0,2965.0,103801.0,43.0,15.0,38.0,4.0,7364.0,16768.0,72914.0,6755.0,37964.0,44.0,36.0,15.0,4.0,2560.0,20528.0,10988.0,3887.0,,56693.0,80.0,,24572.0,20.0,11482.0,5843.0,,,18729.0,35.0,115556.0,41628.0,55.0,35947.0,13237.0,45.0,25422.0,10826.0,10525.0,20.0,2411.0,5.0,15648.0,535210.0,317165.0,34425.0,183620.0
24,T00,LD01  ,2002JJ00,16502.0,15865.0,638.0,115761.0,19962.0,14730.0,5232.0,17402.0,12170.0,5232.0,2560.0,98359.0,46.0,20.0,31.0,4.0,8022.0,25261.0,57807.0,7270.0,36054.0,47.0,40.0,9.0,4.0,2912.0,22617.0,6546.0,3979.0,,55071.0,84.0,,24609.0,16.0,10872.0,5593.0,,,19017.0,35.0,116227.0,41931.0,61.0,37752.0,13975.0,39.0,21075.0,9277.0,16677.0,31.0,4697.0,9.0,15149.0,539417.0,318879.0,37573.0,182965.0
25,T00,LD01  ,2003JJ00,16309.0,15723.0,586.0,112786.0,19217.0,14248.0,4969.0,16727.0,11758.0,4969.0,2490.0,96058.0,46.0,19.0,30.0,4.0,8259.0,24125.0,56885.0,6789.0,36179.0,47.0,39.0,10.0,4.0,2826.0,21580.0,7860.0,3914.0,,50091.0,71.0,,20910.0,29.0,14512.0,6998.0,,,13912.0,26.0,114838.0,41448.0,61.0,38036.0,13835.0,39.0,21007.0,9446.0,17029.0,32.0,4389.0,8.0,14561.0,533883.0,313831.0,38842.0,181209.0
26,T00,LD01  ,2004JJ00,16645.0,16047.0,597.0,107328.0,16504.0,13334.0,3169.0,14192.0,11023.0,3169.0,2311.0,93136.0,49.0,20.0,27.0,4.0,8744.0,26406.0,51208.0,6778.0,34367.0,49.0,39.0,8.0,4.0,3106.0,21829.0,5708.0,3724.0,,51340.0,81.0,,22600.0,19.0,11332.0,5626.0,,,16973.0,32.0,115023.0,41510.0,65.0,40036.0,14603.0,35.0,19276.0,8504.0,20760.0,39.0,6099.0,11.0,14368.0,535759.0,312152.0,41902.0,181704.0
27,T00,LD01  ,2005JJ00,16468.0,15838.0,629.0,108625.0,14001.0,11481.0,2520.0,11692.0,9172.0,2520.0,2309.0,96933.0,49.0,19.0,27.0,4.0,8679.0,25376.0,54451.0,8427.0,35208.0,48.0,40.0,8.0,4.0,3177.0,22053.0,5737.0,4241.0,,49044.0,77.0,,20569.0,23.0,14511.0,6733.0,,,13836.0,26.0,115307.0,41627.0,64.0,39553.0,14509.0,36.0,22060.0,9392.0,17494.0,33.0,5117.0,10.0,14106.0,536210.0,315137.0,44545.0,176528.0
28,T00,LD01  ,2006JJ00,16290.0,15675.0,614.0,106097.0,13801.0,11304.0,2497.0,11546.0,9049.0,2497.0,2255.0,94551.0,50.0,20.0,26.0,4.0,8439.0,26045.0,52067.0,8000.0,34629.0,49.0,41.0,6.0,4.0,3091.0,23002.0,4187.0,4349.0,117140.0,53238.0,68.0,39512.0,22052.0,32.0,17078.0,7770.0,22434.0,42.0,14281.0,27.0,117140.0,41483.0,67.0,39394.0,14349.0,33.0,17811.0,8115.0,21583.0,40.0,6234.0,12.0,13784.0,533388.0,315996.0,43728.0,173664.0
29,T00,LD01  ,2007JJ00,16305.0,15671.0,634.0,106736.0,13629.0,11083.0,2545.0,11607.0,9062.0,2545.0,2021.0,95128.0,50.0,21.0,25.0,4.0,8941.0,27288.0,50299.0,8600.0,34563.0,48.0,42.0,6.0,4.0,3269.0,22602.0,4344.0,4348.0,117306.0,51694.0,69.0,39796.0,21438.0,31.0,17751.0,7760.0,22045.0,41.0,13679.0,26.0,117306.0,41448.0,68.0,39690.0,14353.0,32.0,18500.0,8100.0,21190.0,40.0,6253.0,12.0,13378.0,534697.0,312218.0,47272.0,175207.0
30,T00,LD01  ,2008JJ00,16938.0,16322.0,615.0,109345.0,13827.0,11148.0,2680.0,11695.0,9015.0,2680.0,2133.0,97650.0,51.0,19.0,27.0,3.0,9057.0,25270.0,54563.0,8760.0,36051.0,50.0,40.0,7.0,3.0,3178.0,22775.0,5695.0,4403.0,119201.0,50911.0,68.0,40292.0,20660.0,32.0,18909.0,8241.0,21384.0,39.0,12418.0,23.0,119201.0,41993.0,66.0,40155.0,14407.0,34.0,20320.0,8817.0,19835.0,36.0,5590.0,10.0,13343.0,543904.0,311954.0,52158.0,179793.0
31,T00,LD01  ,2009JJ00,17275.0,16691.0,584.0,107606.0,13879.0,11152.0,2727.0,12058.0,9331.0,2727.0,1821.0,95548.0,51.0,22.0,24.0,4.0,9015.0,29512.0,47489.0,9532.0,35359.0,50.0,40.0,7.0,4.0,3228.0,22500.0,4881.0,4751.0,117882.0,50312.0,71.0,40283.0,20882.0,29.0,18113.0,8094.0,22169.0,41.0,12788.0,24.0,117882.0,41547.0,69.0,40122.0,14456.0,31.0,19297.0,8592.0,20824.0,39.0,5864.0,11.0,12995.0,537068.0,310749.0,51766.0,174553.0
32,T00,LD02  ,1994JJ00,29194.0,28248.0,946.0,227928.0,,28649.0,,,24306.0,,4343.0,203621.0,31.0,7.0,48.0,14.0,4506.0,8190.0,142975.0,47950.0,77080.0,33.0,20.0,34.0,13.0,1918.0,13585.0,38340.0,23237.0,,97274.0,74.0,,46508.0,26.0,50178.0,26314.0,,,20194.0,36.0,119433.0,43540.0,36.0,26491.0,10184.0,64.0,111669.0,48373.0,-85178.0,-153.0,-38189.0,-69.0,36902.0,555915.0,339515.0,92848.0,123552.0
33,T00,LD02  ,1995JJ00,29053.0,28090.0,963.0,229749.0,,28742.0,,,24271.0,,4470.0,205478.0,31.0,7.0,48.0,14.0,4460.0,7813.0,144684.0,48520.0,73747.0,34.0,21.0,33.0,12.0,1969.0,14020.0,36501.0,21256.0,,74627.0,67.0,,29122.0,33.0,59358.0,28241.0,,,880.0,2.0,119514.0,43488.0,36.0,26477.0,10217.0,64.0,113226.0,45845.0,-86749.0,-156.0,-35629.0,-64.0,36033.0,554769.0,340060.0,88231.0,126477.0
34,T00,LD02  ,1996JJ00,28472.0,27492.0,980.0,225794.0,,28426.0,,,23687.0,,4739.0,202107.0,32.0,7.0,48.0,14.0,4648.0,7890.0,141530.0,48040.0,67308.0,36.0,24.0,28.0,12.0,2379.0,17049.0,28010.0,19871.0,,70254.0,68.0,,29700.0,32.0,57675.0,26754.0,,,2946.0,5.0,120363.0,43921.0,36.0,28790.0,11314.0,64.0,111238.0,42632.0,-82448.0,-147.0,-31318.0,-56.0,35156.0,560888.0,342251.0,89831.0,128806.0
35,T00,LD02  ,1997JJ00,28124.0,27126.0,999.0,222759.0,,29809.0,,,25461.0,,4348.0,197298.0,32.0,8.0,46.0,14.0,4804.0,9395.0,132915.0,50184.0,69805.0,36.0,23.0,28.0,12.0,2317.0,16396.0,29347.0,21744.0,,68944.0,66.0,,28169.0,34.0,61276.0,29029.0,,,-860.0,-2.0,117682.0,43011.0,37.0,27387.0,10767.0,63.0,107823.0,43824.0,-80436.0,-146.0,-33058.0,-60.0,34230.0,551699.0,330299.0,93229.0,128171.0
36,T00,LD02  ,1998JJ00,27383.0,26300.0,1083.0,201770.0,,24507.0,,,21041.0,,3467.0,180729.0,33.0,10.0,44.0,13.0,5198.0,14445.0,117068.0,44019.0,67395.0,36.0,26.0,26.0,12.0,2400.0,18163.0,26010.0,20822.0,,63323.0,64.0,,24721.0,36.0,59002.0,28794.0,,,-4072.0,-7.0,118386.0,43301.0,39.0,28152.0,11055.0,61.0,91538.0,39809.0,-63387.0,-114.0,-28755.0,-52.0,33217.0,555632.0,332100.0,89760.0,133772.0
37,T00,LD02  ,1999JJ00,26274.0,25131.0,1143.0,192652.0,39297.0,31572.0,7724.0,35864.0,28140.0,7724.0,3433.0,156788.0,36.0,12.0,40.0,11.0,6507.0,18527.0,100009.0,31744.0,66193.0,36.0,26.0,26.0,11.0,2292.0,18080.0,26072.0,19749.0,,62805.0,66.0,,23880.0,34.0,47245.0,27267.0,,,-3388.0,-6.0,116716.0,42862.0,44.0,29710.0,11068.0,56.0,71829.0,36594.0,-42120.0,-76.0,-25526.0,-46.0,31831.0,551653.0,325426.0,92929.0,133298.0
38,T00,LD02  ,2000JJ00,26398.0,25212.0,1186.0,180367.0,36776.0,29460.0,7317.0,33645.0,26329.0,7317.0,3131.0,146721.0,37.0,15.0,37.0,11.0,7111.0,24043.0,85369.0,30198.0,63443.0,37.0,28.0,23.0,11.0,2488.0,18906.0,22699.0,19350.0,,59992.0,66.0,,23238.0,34.0,45159.0,26689.0,,,-3451.0,-6.0,116825.0,42857.0,46.0,32011.0,11830.0,54.0,64537.0,34271.0,-32526.0,-59.0,-22441.0,-41.0,30579.0,550904.0,326771.0,84165.0,139968.0
39,T00,LD02  ,2001JJ00,25795.0,24586.0,1209.0,176084.0,35275.0,28063.0,7212.0,32066.0,24854.0,7212.0,3209.0,144018.0,37.0,13.0,39.0,10.0,6663.0,19265.0,91164.0,26925.0,60849.0,38.0,27.0,25.0,10.0,2291.0,17799.0,24130.0,16630.0,,57307.0,63.0,,20810.0,37.0,43838.0,24353.0,,,-3543.0,-7.0,114153.0,42027.0,45.0,31135.0,11399.0,55.0,64035.0,32110.0,-32899.0,-61.0,-20711.0,-38.0,29179.0,541221.0,318444.0,83029.0,139748.0
40,T00,LD02  ,2002JJ00,24669.0,23480.0,1189.0,163320.0,33715.0,26481.0,7234.0,31203.0,23969.0,7234.0,2512.0,132117.0,40.0,20.0,31.0,10.0,8333.0,32086.0,67345.0,24353.0,56970.0,40.0,31.0,19.0,10.0,2771.0,20636.0,17975.0,15588.0,,55900.0,68.0,,21021.0,32.0,37910.0,22090.0,,,-1070.0,-2.0,115480.0,42519.0,51.0,32459.0,11757.0,49.0,52372.0,27890.0,-19913.0,-36.0,-16133.0,-29.0,28183.0,547782.0,321727.0,87362.0,138693.0
41,T00,LD02  ,2003JJ00,23894.0,22917.0,976.0,155748.0,30968.0,24490.0,6477.0,28648.0,22171.0,6477.0,2320.0,127100.0,41.0,20.0,30.0,9.0,8299.0,32300.0,64069.0,22432.0,54591.0,40.0,31.0,20.0,9.0,2658.0,20431.0,18022.0,13480.0,,50872.0,61.0,,17682.0,39.0,39397.0,21401.0,,,-3719.0,-7.0,114191.0,42103.0,51.0,32813.0,11674.0,49.0,49893.0,25637.0,-17080.0,-31.0,-13963.0,-26.0,26933.0,542214.0,319002.0,88428.0,134784.0
42,T00,LD02  ,2004JJ00,24247.0,23152.0,1095.0,153005.0,27341.0,22646.0,4695.0,25192.0,20497.0,4695.0,2148.0,127813.0,43.0,20.0,27.0,10.0,9060.0,33512.0,60265.0,24977.0,53611.0,41.0,32.0,17.0,10.0,2997.0,20631.0,15356.0,14626.0,,52308.0,68.0,,19645.0,32.0,38651.0,20948.0,,,-1303.0,-2.0,114755.0,42309.0,55.0,34529.0,12386.0,45.0,50072.0,25376.0,-15543.0,-28.0,-12990.0,-24.0,26601.0,545777.0,318762.0,91128.0,135887.0
