ID,SBI93,Voorzieningsgebied,DrinkwaterVanWaterleidingbedrijf_1,AnderWaterVanWaterleidingbedrijf_2,ZelfgewonnenZoetGrondwater_3,ZelfgewonnenZoutBrakGrondwater_4,ZelfgewonnenZoetOppervlaktewater_5,ZelfgewonnenZoutBrakOppervlaktewater_6,DrinkwaterVanWaterleidingbedrijf_7,AnderWaterVanWaterleidingbedrijf_8,ZelfgewonnenZoetGrondwater_9,ZelfgewonnenZoutBrakGrondwater_10,ZelfgewonnenZoetOppervlaktewater_11,ZelfgewonnenZoutBrakOppervlaktewater_12,DrinkwaterVanWaterleidingbedrijf_13,AnderWaterVanWaterleidingbedrijf_14,ZelfgewonnenZoetGrondwater_15,ZelfgewonnenZoutBrakGrondwater_16,ZelfgewonnenZoetOppervlaktewater_17,ZelfgewonnenZoutBrakOppervlaktewater_18
130,2733,20,1.51,0.03,0.91,0.0,0.62,0.0,0.41,0.02,0.24,0.0,0.52,0.0,1.1,0.01,0.67,0.0,0.1,0.0
131,2733,21,0.05,0.0,0.04,0.0,0.45,0.0,0.05,0.0,0.04,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,1538,22,,,,,,,,,,,,,,,,,,
133,1538, 1,0.36,0.01,0.82,0.0,0.64,0.0,0.11,0.01,0.82,0.0,0.61,0.0,0.25,0.0,0.0,0.0,0.04,0.0
134,1538, 2,0.47,0.14,0.63,0.01,0.49,0.0,0.14,0.02,0.09,0.0,0.29,0.0,0.33,0.11,0.54,0.01,0.2,0.0
135,1538, 3,,,,,,,,,,,,,,,,,,
136,1538, 4,,,,,,,,,,,,,,,,,,
137,1538, 5,,,,,,,,,,,,,,,,,,
138,1538, 6,0.73,0.13,2.93,0.0,1.28,0.0,0.46,0.12,2.29,0.0,1.28,0.0,0.26,0.02,0.63,0.0,0.0,0.0
139,1538, 7,0.27,0.01,0.83,0.0,0.03,0.0,0.09,0.01,0.56,0.0,0.03,0.0,0.17,0.0,0.27,0.0,0.0,0.0
140,1538, 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,1538, 9,,,,,,,,,,,,,,,,,,
142,1538,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,1538,11,0.07,0.06,0.03,0.01,0.21,0.0,,,,,,,,,,,,
144,1538,12,0.53,0.56,0.26,0.26,3.17,0.0,0.18,0.5,0.2,0.2,0.06,0.0,0.35,0.06,0.06,0.06,3.11,0.0
145,1538,13,0.61,0.04,0.07,0.4,0.06,0.0,0.15,0.04,0.06,0.0,0.05,0.0,0.47,0.0,0.01,0.4,0.01,0.0
146,1538,14,,,,,,,,,,,,,,,,,,
147,1538,15,0.58,0.17,0.25,0.01,0.18,0.0,0.21,0.03,0.24,0.0,0.04,0.0,0.37,0.14,0.01,0.01,0.14,0.0
148,1538,16,0.26,0.06,0.04,0.0,0.01,0.0,0.07,0.06,0.02,0.0,0.01,0.0,0.19,0.0,0.02,0.0,0.0,0.0
149,1538,17,0.64,0.08,1.04,0.0,0.17,0.0,0.3,0.08,0.83,0.0,0.17,0.0,0.34,0.0,0.21,0.0,0.0,0.0
150,1538,18,,,,,,,,,,,,,,,,,,
151,1538,19,0.38,0.28,0.63,0.0,0.03,0.0,0.12,0.04,0.5,0.0,0.03,0.0,0.26,0.24,0.12,0.0,0.0,0.0
152,1538,20,1.27,0.01,1.51,0.0,0.1,0.0,,,,,,,,,,,,
153,1538,21,0.09,0.0,2.39,0.0,1.03,0.0,,,,,,,,,,,,
154,1537,22,111.84,103.54,141.89,21.91,1209.95,1586.39,11.34,12.75,57.1,1.07,76.96,29.19,100.51,90.78,84.79,20.83,1132.98,1557.2
155,1537, 1,5.52,2.29,7.35,1.44,71.1,2.02,0.35,0.86,1.78,0.0,45.07,0.0,5.17,1.43,5.57,1.44,26.03,2.02
156,1537, 2,4.54,0.37,6.51,0.84,7.91,0.0,0.43,0.05,0.3,0.0,0.44,0.0,4.11,0.31,6.21,0.84,7.47,0.0
157,1537, 3,1.15,1.19,5.02,0.0,3.26,0.0,0.28,1.08,3.38,0.0,2.48,0.0,0.87,0.11,1.64,0.0,0.78,0.0
