ID,Leeftijd,Perioden,TotaalBevolking_1,Mannen_2,Vrouwen_3
3948, 79,2040JJ00,176895,82945,93950
3949, 79,2041JJ00,181973,85201,96772
3950, 79,2042JJ00,183287,85886,97400
3951, 79,2043JJ00,186468,87792,98676
3952, 79,2044JJ00,189203,89049,100154
3953, 79,2045JJ00,185983,87673,98309
3954, 79,2046JJ00,183322,86268,97053
3955, 79,2047JJ00,182544,85911,96633
3956, 79,2048JJ00,184131,86414,97717
3957, 79,2049JJ00,192378,90421,101957
3958, 79,2050JJ00,188159,88230,99929
3959, 79,2051JJ00,180982,84878,96104
3960, 79,2052JJ00,173064,80640,92424
3961, 79,2053JJ00,160718,75051,85668
3962, 79,2054JJ00,155480,72766,82714
3963, 79,2055JJ00,149566,70066,79500
3964, 79,2056JJ00,148908,70109,78798
3965, 79,2057JJ00,147585,69204,78381
3966, 79,2058JJ00,149679,70187,79492
3967, 79,2059JJ00,149474,70237,79237
3968, 79,2060JJ00,154140,72472,81668
3969, 80,2012JJ00,86252,35738,50514
3970, 80,2013JJ00,88480,36959,51521
3971, 80,2014JJ00,87007,36829,50178
3972, 80,2015JJ00,89464,38267,51197
3973, 80,2016JJ00,90806,39334,51473
3974, 80,2017JJ00,93510,40931,52579
3975, 80,2018JJ00,94422,41571,52851
3976, 80,2019JJ00,100779,44861,55918
3977, 80,2020JJ00,103511,46177,57334
3978, 80,2021JJ00,107681,48543,59137
3979, 80,2022JJ00,105331,47925,57407
3980, 80,2023JJ00,110776,50664,60112
3981, 80,2024JJ00,119945,55071,64874
3982, 80,2025JJ00,126650,58111,68539
3983, 80,2026JJ00,121245,55807,65438
3984, 80,2027JJ00,169033,78364,90669
3985, 80,2028JJ00,163776,75644,88132
3986, 80,2029JJ00,155393,72266,83127
3987, 80,2030JJ00,150815,70086,80728
3988, 80,2031JJ00,148544,68973,79571
3989, 80,2032JJ00,147876,68770,79105
3990, 80,2033JJ00,152821,71055,81766
3991, 80,2034JJ00,152308,70704,81604
3992, 80,2035JJ00,154286,71729,82556
3993, 80,2036JJ00,156317,72267,84050
3994, 80,2037JJ00,159804,74316,85488
3995, 80,2038JJ00,162492,75429,87064
3996, 80,2039JJ00,165561,76949,88612
3997, 80,2040JJ00,169901,78926,90975
3998, 80,2041JJ00,170847,79501,91347
3999, 80,2042JJ00,175830,81706,94125
4000, 80,2043JJ00,177150,82394,94756
4001, 80,2044JJ00,180285,84260,96025
4002, 80,2045JJ00,182986,85500,97486
4003, 80,2046JJ00,179929,84214,95716
4004, 80,2047JJ00,177418,82900,94518
4005, 80,2048JJ00,176733,82598,94135
4006, 80,2049JJ00,178315,83107,95208
4007, 80,2050JJ00,186356,86992,99364
4008, 80,2051JJ00,182316,84911,97404
4009, 80,2052JJ00,175407,81713,93694
4010, 80,2053JJ00,167780,77657,90123
4011, 80,2054JJ00,155845,72296,83549
4012, 80,2055JJ00,150803,70119,80684
4013, 80,2056JJ00,145109,67542,77567
4014, 80,2057JJ00,144508,67608,76900
4015, 80,2058JJ00,143259,66753,76506
4016, 80,2059JJ00,145332,67725,77608
4017, 80,2060JJ00,145170,67795,77375
4018, 81,2012JJ00,81913,32941,48971
4019, 81,2013JJ00,81809,33406,48404
4020, 81,2014JJ00,83993,34588,49405
4021, 81,2015JJ00,82659,34509,48150
4022, 81,2016JJ00,85061,35899,49162
4023, 81,2017JJ00,86401,36944,49457
4024, 81,2018JJ00,89035,38487,50548
4025, 81,2019JJ00,89969,39130,50839
4026, 81,2020JJ00,96083,42268,53814
4027, 81,2021JJ00,98752,43548,55203
4028, 81,2022JJ00,102768,45809,56959
4029, 81,2023JJ00,100583,45265,55318
4030, 81,2024JJ00,105825,47884,57941
4031, 81,2025JJ00,114640,52085,62556
4032, 81,2026JJ00,121098,54989,66109
4033, 81,2027JJ00,115965,52832,63133
4034, 81,2028JJ00,161735,74228,87507
4035, 81,2029JJ00,156758,71682,85076
4036, 81,2030JJ00,148768,68508,80260
4037, 81,2031JJ00,144430,66469,77962
4038, 81,2032JJ00,142289,65433,76856
4039, 81,2033JJ00,141703,65272,76431
4040, 81,2034JJ00,146484,67466,79018
4041, 81,2035JJ00,146041,67162,78880
4042, 81,2036JJ00,147983,68164,79819
4043, 81,2037JJ00,149989,68705,81284
4044, 81,2038JJ00,153381,70683,82698
4045, 81,2039JJ00,156027,71779,84248
4046, 81,2040JJ00,159030,73260,85771
4047, 81,2041JJ00,163261,75176,88084
4048, 81,2042JJ00,164215,75754,88461
4049, 81,2043JJ00,169084,77897,91187
4050, 81,2044JJ00,170408,78588,91820
4051, 81,2045JJ00,173486,80407,93079
4052, 81,2046JJ00,176144,81624,94520
4053, 81,2047JJ00,173263,80434,92829
4054, 81,2048JJ00,170907,79214,91693
4055, 81,2049JJ00,170318,78966,91352
4056, 81,2050JJ00,171889,79479,92410
4057, 81,2051JJ00,179696,83227,96469
4058, 81,2052JJ00,175850,81265,94585
4059, 81,2053JJ00,169231,78230,91001
4060, 81,2054JJ00,161926,74375,87551
4061, 81,2055JJ00,150441,69263,81178
4062, 81,2056JJ00,145613,67200,78412
4063, 81,2057JJ00,140161,64757,75404
4064, 81,2058JJ00,139620,64845,74775
4065, 81,2059JJ00,138450,64046,74405
4066, 81,2060JJ00,140498,65004,75495
4067, 82,2012JJ00,73295,28563,44733
4068, 82,2013JJ00,77157,30525,46631
4069, 82,2014JJ00,77129,30997,46132
4070, 82,2015JJ00,79259,32133,47126
4071, 82,2016JJ00,78061,32099,45962
4072, 82,2017JJ00,80396,33433,46963
4073, 82,2018JJ00,81723,34448,47275
4074, 82,2019JJ00,84271,35923,48348
4075, 82,2020JJ00,85215,36562,48653
4076, 82,2021JJ00,91056,39530,51526
4077, 82,2022JJ00,93645,40763,52883
4078, 82,2023JJ00,97490,42905,54585
4079, 82,2024JJ00,95467,42432,53035
4080, 82,2025JJ00,100482,44914,55568
4081, 82,2026JJ00,108905,48888,60017
4082, 82,2027JJ00,115088,51644,63444
4083, 82,2028JJ00,110245,49642,60604
4084, 82,2029JJ00,153818,69785,84032
4085, 82,2030JJ00,149139,67422,81717
