ID,Brandstofsoort,Bouwjaarklasse,Perioden,VoertuigenMetBromfietskenteken_1,Snorfiets_2,Bromfiets_3,Brommobiel_4,OverigeVoertuigenMetBromfietskenteken_5
216,T001051,A044277,2015JJ00,82960.0,49108.0,32259.0,1391.0,202.0
217,T001051,A044277,2016JJ00,80571.0,48072.0,30916.0,1392.0,191.0
218,T001051,A044277,2017JJ00,78071.0,47078.0,29450.0,1356.0,187.0
219,T001051,A044277,2018JJ00,75141.0,46112.0,27532.0,1311.0,186.0
220,T001051,A044277,2019JJ00,71954.0,44933.0,25611.0,1232.0,178.0
221,T001051,A044277,2020JJ00,68692.0,43365.0,23988.0,1178.0,161.0
222,T001051,A044277,2021JJ00,65236.0,41676.0,22279.0,1115.0,166.0
223,T001051,A044277,2022JJ00,61968.0,39748.0,20979.0,1078.0,163.0
224,T001051,A044276,2007JJ00,,,,,
225,T001051,A044276,2008JJ00,,,,,
226,T001051,A044276,2009JJ00,93036.0,47600.0,43540.0,1558.0,338.0
227,T001051,A044276,2010JJ00,90190.0,46414.0,41945.0,1517.0,314.0
228,T001051,A044276,2011JJ00,87492.0,45345.0,40354.0,1486.0,307.0
229,T001051,A044276,2012JJ00,84717.0,44135.0,38833.0,1449.0,300.0
230,T001051,A044276,2013JJ00,82374.0,43266.0,37379.0,1437.0,292.0
231,T001051,A044276,2014JJ00,79917.0,42511.0,35700.0,1415.0,291.0
232,T001051,A044276,2015JJ00,77244.0,41551.0,34022.0,1387.0,284.0
233,T001051,A044276,2016JJ00,74556.0,40561.0,32352.0,1357.0,286.0
234,T001051,A044276,2017JJ00,71542.0,39446.0,30494.0,1323.0,279.0
235,T001051,A044276,2018JJ00,68293.0,38450.0,28314.0,1259.0,270.0
236,T001051,A044276,2019JJ00,64610.0,37183.0,25996.0,1167.0,264.0
237,T001051,A044276,2020JJ00,61129.0,35664.0,24126.0,1085.0,254.0
238,T001051,A044276,2021JJ00,57652.0,34064.0,22338.0,1006.0,244.0
239,T001051,A044276,2022JJ00,54386.0,32351.0,20869.0,928.0,238.0
240,T001051,A044275,2007JJ00,,,,,
241,T001051,A044275,2008JJ00,71209.0,33417.0,35748.0,1744.0,300.0
242,T001051,A044275,2009JJ00,69201.0,32714.0,34514.0,1689.0,284.0
243,T001051,A044275,2010JJ00,67546.0,32090.0,33515.0,1660.0,281.0
244,T001051,A044275,2011JJ00,65598.0,31386.0,32300.0,1636.0,276.0
245,T001051,A044275,2012JJ00,63312.0,30658.0,30762.0,1624.0,268.0
246,T001051,A044275,2013JJ00,60963.0,30001.0,29117.0,1583.0,262.0
247,T001051,A044275,2014JJ00,58755.0,29346.0,27591.0,1568.0,250.0
248,T001051,A044275,2015JJ00,56526.0,28628.0,26095.0,1562.0,241.0
249,T001051,A044275,2016JJ00,54175.0,27889.0,24539.0,1510.0,237.0
250,T001051,A044275,2017JJ00,51648.0,27059.0,22900.0,1453.0,236.0
251,T001051,A044275,2018JJ00,49184.0,26403.0,21185.0,1366.0,230.0
252,T001051,A044275,2019JJ00,46262.0,25531.0,19233.0,1276.0,222.0
253,T001051,A044275,2020JJ00,43710.0,24511.0,17798.0,1190.0,211.0
254,T001051,A044275,2021JJ00,41052.0,23366.0,16383.0,1102.0,201.0
255,T001051,A044275,2022JJ00,38671.0,22242.0,15206.0,1022.0,201.0
256,T001051,A044274,2007JJ00,50957.0,23353.0,25704.0,1645.0,255.0
257,T001051,A044274,2008JJ00,49730.0,22929.0,24985.0,1593.0,223.0
258,T001051,A044274,2009JJ00,48586.0,22579.0,24216.0,1571.0,220.0
259,T001051,A044274,2010JJ00,47643.0,22232.0,23639.0,1550.0,222.0
260,T001051,A044274,2011JJ00,46416.0,21799.0,22878.0,1517.0,222.0
261,T001051,A044274,2012JJ00,44824.0,21443.0,21675.0,1490.0,216.0
262,T001051,A044274,2013JJ00,43125.0,20974.0,20477.0,1470.0,204.0
263,T001051,A044274,2014JJ00,41411.0,20515.0,19276.0,1425.0,195.0
264,T001051,A044274,2015JJ00,39845.0,20041.0,18213.0,1396.0,195.0
265,T001051,A044274,2016JJ00,38202.0,19555.0,17120.0,1340.0,187.0
266,T001051,A044274,2017JJ00,36463.0,18978.0,16034.0,1271.0,180.0
267,T001051,A044274,2018JJ00,34651.0,18463.0,14830.0,1181.0,177.0
268,T001051,A044274,2019JJ00,32488.0,17760.0,13471.0,1088.0,169.0
269,T001051,A044274,2020JJ00,30619.0,16986.0,12477.0,993.0,163.0
270,T001051,A044274,2021JJ00,28790.0,16188.0,11536.0,911.0,155.0
271,T001051,A044274,2022JJ00,27095.0,15357.0,10729.0,858.0,151.0
272,T001051,A044161,2007JJ00,660835.0,281463.0,360226.0,14095.0,5051.0
273,T001051,A044161,2008JJ00,665469.0,283595.0,362456.0,14176.0,5242.0
274,T001051,A044161,2009JJ00,663049.0,283132.0,362600.0,14190.0,3127.0
275,T001051,A044161,2010JJ00,655396.0,280117.0,358268.0,13861.0,3150.0
276,T001051,A044161,2011JJ00,643356.0,275425.0,351345.0,13418.0,3168.0
277,T001051,A044161,2012JJ00,607987.0,262017.0,330159.0,12708.0,3103.0
278,T001051,A044161,2013JJ00,576286.0,250640.0,310591.0,11991.0,3064.0
279,T001051,A044161,2014JJ00,547726.0,240731.0,292996.0,10981.0,3018.0
280,T001051,A044161,2015JJ00,522724.0,231204.0,278573.0,9969.0,2978.0
281,T001051,A044161,2016JJ00,499767.0,222319.0,265473.0,8830.0,3145.0
282,T001051,A044161,2017JJ00,478301.0,213953.0,253465.0,7720.0,3163.0
283,T001051,A044161,2018JJ00,457705.0,205929.0,241848.0,6746.0,3182.0
284,T001051,A044161,2019JJ00,433272.0,194839.0,229753.0,5809.0,2871.0
285,T001051,A044161,2020JJ00,414729.0,185890.0,220938.0,5030.0,2871.0
286,T001051,A044161,2021JJ00,397852.0,177317.0,213308.0,4379.0,2848.0
287,T001051,A044161,2022JJ00,385107.0,169620.0,208784.0,3881.0,2822.0
288,A019276,T001378,2007JJ00,693487.0,302541.0,385720.0,0.0,5226.0
289,A019276,T001378,2008JJ00,765305.0,336942.0,422657.0,0.0,5706.0
290,A019276,T001378,2009JJ00,849273.0,381398.0,463979.0,0.0,3896.0
291,A019276,T001378,2010JJ00,926946.0,428085.0,494739.0,0.0,4122.0
292,A019276,T001378,2011JJ00,994798.0,476758.0,513697.0,0.0,4343.0
293,A019276,T001378,2012JJ00,1024623.0,513086.0,507117.0,0.0,4420.0
294,A019276,T001378,2013JJ00,1044538.0,543536.0,496501.0,0.0,4501.0
295,A019276,T001378,2014JJ00,1059417.0,569996.0,484895.0,0.0,4526.0
296,A019276,T001378,2015JJ00,1078368.0,595151.0,478633.0,0.0,4584.0
