ID,Energiedragers,Perioden,EnergieverbruikInDeEnergiesector_1
429,5         ,1980JJ00,386.0
430,5         ,1981JJ00,367.0
431,5         ,1982JJ00,263.0
432,5         ,1983JJ00,184.0
433,5         ,1984JJ00,169.0
434,5         ,1985JJ00,143.0
435,5         ,1986JJ00,163.0
436,5         ,1987JJ00,166.0
437,5         ,1988JJ00,172.0
438,5         ,1989JJ00,171.0
439,5         ,1990JJ00,157.0
440,5         ,1991JJ00,166.0
441,5         ,1992JJ00,155.0
442,5         ,1993JJ00,192.0
443,5         ,1994JJ00,197.0
444,5         ,1995JJ00,197.0
445,5         ,1996JJ00,191.0
446,5         ,1997JJ00,195.0
447,5         ,1998JJ00,208.0
448,5         ,1999KW01,46.0
449,5         ,1999KW02,50.0
450,5         ,1999KW03,48.0
451,5         ,1999KW04,42.0
452,5         ,1999JJ00,186.0
453,5         ,2000KW01,45.0
454,5         ,2000KW02,40.0
455,5         ,2000KW03,51.0
456,5         ,2000KW04,54.0
457,5         ,2000JJ00,190.0
458,5         ,2001KW01,54.0
459,5         ,2001KW02,49.0
460,5         ,2001KW03,49.0
461,5         ,2001KW04,48.0
462,5         ,2001JJ00,201.0
463,5         ,2002KW01,47.0
464,5         ,2002KW02,43.0
465,5         ,2002KW03,47.0
466,5         ,2002KW04,46.0
467,5         ,2002JJ00,184.0
468,5         ,2003KW01,46.0
469,5         ,2003KW02,49.0
470,5         ,2003KW03,52.0
471,5         ,2003KW04,48.0
472,5         ,2003JJ00,195.0
473,5         ,2004KW01,52.0
474,5         ,2004KW02,50.0
475,5         ,2004KW03,49.0
476,5         ,2004KW04,44.0
477,5         ,2004JJ00,195.0
478,5         ,2005KW01,47.0
479,5         ,2005KW02,49.0
480,5         ,2005KW03,44.0
481,5         ,2005KW04,45.0
482,5         ,2005JJ00,184.0
483,5         ,2006KW01,41.0
484,5         ,2006KW02,35.0
485,5         ,2006KW03,40.0
486,5         ,2006KW04,44.0
487,5         ,2006JJ00,159.0
488,5         ,2007KW01,42.0
489,5         ,2007KW02,43.0
490,5         ,2007KW03,42.0
491,5         ,2007KW04,34.0
492,5         ,2007JJ00,161.0
493,5         ,2008KW01,36.0
494,5         ,2008KW02,33.0
495,5         ,2008KW03,36.0
496,5         ,2008KW04,28.0
497,5         ,2008JJ00,133.0
498,5         ,2009KW01,32.0
499,5         ,2009KW02,30.0
500,5         ,2009KW03,31.0
501,5         ,2009KW04,29.0
502,5         ,2009JJ00,122.0
503,5         ,2010KW01,27.0
504,5         ,2010KW02,32.0
505,5         ,2010KW03,30.0
506,5         ,2010KW04,29.0
507,5         ,2010JJ00,117.0
508,5         ,2011KW01,31.0
509,5         ,2011KW02,29.0
510,5         ,2011KW03,33.0
511,5         ,2011KW04,31.0
512,5         ,2011JJ00,123.0
513,5         ,2012KW01,34.0
514,5         ,2012KW02,29.0
515,5         ,2012KW03,32.0
516,5         ,2012KW04,29.0
517,5         ,2012JJ00,123.0
518,5         ,2013KW01,27.0
519,5         ,2013KW02,30.0
520,6         ,1967JJ00,
521,6         ,1968JJ00,
522,6         ,1969JJ00,
523,6         ,1970JJ00,
524,6         ,1971JJ00,
525,6         ,1972JJ00,
526,6         ,1973JJ00,
527,6         ,1974JJ00,
528,6         ,1975JJ00,2448.0
529,6         ,1976JJ00,2782.0
530,6         ,1977JJ00,2600.0
531,6         ,1978JJ00,2475.0
532,6         ,1979JJ00,2597.0
533,6         ,1980JJ00,2190.0
534,6         ,1981JJ00,1740.0
535,6         ,1982JJ00,1692.0
536,6         ,1983JJ00,1863.0
537,6         ,1984JJ00,1988.0
538,6         ,1985JJ00,1745.0
539,6         ,1986JJ00,2047.0
540,6         ,1987JJ00,2109.0
541,6         ,1988JJ00,2213.0
542,6         ,1989JJ00,2205.0
543,6         ,1990JJ00,2073.0
544,6         ,1991JJ00,2240.0
545,6         ,1992JJ00,2330.0
546,6         ,1993JJ00,2358.0
547,6         ,1994JJ00,2358.0
548,6         ,1995JJ00,2497.0
549,6         ,1996JJ00,2555.0
550,6         ,1997JJ00,2548.0
551,6         ,1998JJ00,2613.0
552,6         ,1999KW01,626.0
553,6         ,1999KW02,622.0
554,6         ,1999KW03,603.0
555,6         ,1999KW04,592.0
556,6         ,1999JJ00,2443.0
557,6         ,2000KW01,600.0
558,6         ,2000KW02,567.0
559,6         ,2000KW03,620.0
560,6         ,2000KW04,666.0
561,6         ,2000JJ00,2454.0
562,6         ,2001KW01,628.0
563,6         ,2001KW02,616.0
564,6         ,2001KW03,602.0
565,6         ,2001KW04,616.0
566,6         ,2001JJ00,2461.0
567,6         ,2002KW01,599.0
568,6         ,2002KW02,522.0
569,6         ,2002KW03,543.0
570,6         ,2002KW04,563.0
571,6         ,2002JJ00,2227.0
572,6         ,2003KW01,563.0
573,6         ,2003KW02,606.0
574,6         ,2003KW03,627.0
575,6         ,2003KW04,574.0
576,6         ,2003JJ00,2370.0
577,6         ,2004KW01,652.0
578,6         ,2004KW02,646.0
579,6         ,2004KW03,611.0
580,6         ,2004KW04,546.0
581,6         ,2004JJ00,2456.0
582,6         ,2005KW01,600.0
583,6         ,2005KW02,641.0
584,6         ,2005KW03,586.0
585,6         ,2005KW04,641.0
586,6         ,2005JJ00,2468.0
587,6         ,2006KW01,594.0
588,6         ,2006KW02,569.0
589,6         ,2006KW03,605.0
590,6         ,2006KW04,626.0
591,6         ,2006JJ00,2394.0
592,6         ,2007KW01,561.0
593,6         ,2007KW02,580.0
594,6         ,2007KW03,631.0
595,6         ,2007KW04,593.0
596,6         ,2007JJ00,2364.0
597,6         ,2008KW01,605.0
598,6         ,2008KW02,608.0
599,6         ,2008KW03,613.0
600,6         ,2008KW04,523.0
601,6         ,2008JJ00,2349.0
602,6         ,2009KW01,582.0
603,6         ,2009KW02,561.0
604,6         ,2009KW03,588.0
605,6         ,2009KW04,576.0
606,6         ,2009JJ00,2306.0
607,6         ,2010KW01,609.0
608,6         ,2010KW02,616.0
609,6         ,2010KW03,600.0
610,6         ,2010KW04,586.0
611,6         ,2010JJ00,2411.0
612,6         ,2011KW01,615.0
613,6         ,2011KW02,542.0
614,6         ,2011KW03,601.0
615,6         ,2011KW04,569.0
616,6         ,2011JJ00,2326.0
617,6         ,2012KW01,607.0
618,6         ,2012KW02,601.0
619,6         ,2012KW03,613.0
620,6         ,2012KW04,509.0
621,6         ,2012JJ00,2330.0
622,6         ,2013KW01,568.0
623,6         ,2013KW02,570.0
624,7         ,1967JJ00,
625,7         ,1968JJ00,
626,7         ,1969JJ00,
627,7         ,1970JJ00,
628,7         ,1971JJ00,
629,7         ,1972JJ00,
630,7         ,1973JJ00,
631,7         ,1974JJ00,
632,7         ,1975JJ00,-2212.0
633,7         ,1976JJ00,-2511.0
634,7         ,1977JJ00,-2348.0
635,7         ,1978JJ00,-2196.0
636,7         ,1979JJ00,-2208.0
637,7         ,1980JJ00,-1804.0
638,7         ,1981JJ00,-1373.0
639,7         ,1982JJ00,-1429.0
640,7         ,1983JJ00,-1680.0
641,7         ,1984JJ00,-1819.0
642,7         ,1985JJ00,-1602.0
643,7         ,1986JJ00,-1883.0
644,7         ,1987JJ00,-1942.0
645,7         ,1988JJ00,-2040.0
646,7         ,1989JJ00,-2034.0
647,7         ,1990JJ00,-1916.0
648,7         ,1991JJ00,-2074.0
649,7         ,1992JJ00,-2174.0
650,7         ,1993JJ00,-2167.0
651,7         ,1994JJ00,-2161.0
652,7         ,1995JJ00,-2300.0
653,7         ,1996JJ00,-2364.0
654,7         ,1997JJ00,-2353.0
655,7         ,1998JJ00,-2406.0
656,7         ,1999KW01,-580.0
657,7         ,1999KW02,-572.0
658,7         ,1999KW03,-556.0
659,7         ,1999KW04,-550.0
660,7         ,1999JJ00,-2258.0
661,7         ,2000KW01,-555.0
662,7         ,2000KW02,-528.0
663,7         ,2000KW03,-569.0
664,7         ,2000KW04,-613.0
665,7         ,2000JJ00,-2264.0
666,7         ,2001KW01,-573.0
667,7         ,2001KW02,-566.0
668,7         ,2001KW03,-553.0
669,7         ,2001KW04,-568.0
670,7         ,2001JJ00,-2260.0
671,7         ,2002KW01,-552.0
672,7         ,2002KW02,-478.0
673,7         ,2002KW03,-497.0
674,7         ,2002KW04,-517.0
675,7         ,2002JJ00,-2043.0
676,7         ,2003KW01,-517.0
677,7         ,2003KW02,-556.0
678,7         ,2003KW03,-575.0
679,7         ,2003KW04,-527.0
680,7         ,2003JJ00,-2176.0
681,7         ,2004KW01,-601.0
682,7         ,2004KW02,-596.0
683,7         ,2004KW03,-562.0
684,7         ,2004KW04,-502.0
685,7         ,2004JJ00,-2261.0
686,7         ,2005KW01,-554.0
687,7         ,2005KW02,-592.0
688,7         ,2005KW03,-541.0
689,7         ,2005KW04,-596.0
690,7         ,2005JJ00,-2284.0
691,7         ,2006KW01,-554.0
692,7         ,2006KW02,-534.0
693,7         ,2006KW03,-565.0
694,7         ,2006KW04,-582.0
695,7         ,2006JJ00,-2235.0
696,7         ,2007KW01,-519.0
697,7         ,2007KW02,-537.0
698,7         ,2007KW03,-589.0
699,7         ,2007KW04,-559.0
700,7         ,2007JJ00,-2203.0
701,7         ,2008KW01,-570.0
702,7         ,2008KW02,-574.0
703,7         ,2008KW03,-578.0
704,7         ,2008KW04,-495.0
705,7         ,2008JJ00,-2217.0
706,7         ,2009KW01,-549.0
707,7         ,2009KW02,-530.0
708,7         ,2009KW03,-557.0
709,7         ,2009KW04,-548.0
710,7         ,2009JJ00,-2184.0
711,7         ,2010KW01,-582.0
712,7         ,2010KW02,-584.0
713,7         ,2010KW03,-571.0
714,7         ,2010KW04,-557.0
715,7         ,2010JJ00,-2294.0
716,7         ,2011KW01,-584.0
717,7         ,2011KW02,-513.0
718,7         ,2011KW03,-568.0
719,7         ,2011KW04,-538.0
720,7         ,2011JJ00,-2203.0
721,7         ,2012KW01,-573.0
722,7         ,2012KW02,-572.0
723,7         ,2012KW03,-581.0
724,7         ,2012KW04,-480.0
725,7         ,2012JJ00,-2206.0
726,7         ,2013KW01,-541.0
727,7         ,2013KW02,-540.0
728,8         ,1967JJ00,
729,8         ,1968JJ00,
730,8         ,1969JJ00,
731,8         ,1970JJ00,
732,8         ,1971JJ00,
733,8         ,1972JJ00,
734,8         ,1973JJ00,
735,8         ,1974JJ00,
736,8         ,1975JJ00,394.0
737,8         ,1976JJ00,389.0
738,8         ,1977JJ00,385.0
739,8         ,1978JJ00,340.0
740,8         ,1979JJ00,273.0
741,8         ,1980JJ00,211.0
742,8         ,1981JJ00,198.0
743,8         ,1982JJ00,231.0
744,8         ,1983JJ00,302.0
745,8         ,1984JJ00,326.0
746,8         ,1985JJ00,328.0
747,8         ,1986JJ00,353.0
748,8         ,1987JJ00,338.0
749,8         ,1988JJ00,287.0
750,8         ,1989JJ00,322.0
751,8         ,1990JJ00,278.0
752,8         ,1991JJ00,327.0
753,8         ,1992JJ00,342.0
754,8         ,1993JJ00,363.0
755,8         ,1994JJ00,353.0
756,8         ,1995JJ00,360.0
757,8         ,1996JJ00,405.0
758,8         ,1997JJ00,431.0
759,8         ,1998JJ00,442.0
760,8         ,1999KW01,119.0
761,8         ,1999KW02,102.0
762,8         ,1999KW03,102.0
763,8         ,1999KW04,123.0
764,8         ,1999JJ00,447.0
765,8         ,2000KW01,125.0
766,8         ,2000KW02,104.0
767,8         ,2000KW03,96.0
768,8         ,2000KW04,118.0
769,8         ,2000JJ00,443.0
770,8         ,2001KW01,123.0
771,8         ,2001KW02,105.0
772,8         ,2001KW03,108.0
773,8         ,2001KW04,136.0
774,8         ,2001JJ00,473.0
775,8         ,2002KW01,133.0
776,8         ,2002KW02,116.0
777,8         ,2002KW03,110.0
778,8         ,2002KW04,128.0
779,8         ,2002JJ00,487.0
780,8         ,2003KW01,128.0
781,8         ,2003KW02,106.0
782,8         ,2003KW03,111.0
783,8         ,2003KW04,138.0
784,8         ,2003JJ00,482.0
785,8         ,2004KW01,141.0
786,8         ,2004KW02,120.0
787,8         ,2004KW03,122.0
788,8         ,2004KW04,138.0
789,8         ,2004JJ00,520.0
790,8         ,2005KW01,130.0
791,8         ,2005KW02,116.0
792,8         ,2005KW03,113.0
793,8         ,2005KW04,135.0
794,8         ,2005JJ00,495.0
795,8         ,2006KW01,134.0
796,8         ,2006KW02,99.0
797,8         ,2006KW03,112.0
798,8         ,2006KW04,126.0
799,8         ,2006JJ00,472.0
800,8         ,2007KW01,130.0
801,8         ,2007KW02,108.0
802,8         ,2007KW03,105.0
803,8         ,2007KW04,140.0
804,8         ,2007JJ00,482.0
805,8         ,2008KW01,132.0
806,8         ,2008KW02,111.0
807,8         ,2008KW03,111.0
808,8         ,2008KW04,136.0
809,8         ,2008JJ00,489.0
810,8         ,2009KW01,125.0
811,8         ,2009KW02,104.0
812,8         ,2009KW03,132.0
813,8         ,2009KW04,160.0
814,8         ,2009JJ00,521.0
815,8         ,2010KW01,161.0
816,8         ,2010KW02,124.0
817,8         ,2010KW03,119.0
818,8         ,2010KW04,156.0
819,8         ,2010JJ00,560.0
820,8         ,2011KW01,135.0
821,8         ,2011KW02,117.0
822,8         ,2011KW03,113.0
823,8         ,2011KW04,141.0
824,8         ,2011JJ00,506.0
825,8         ,2012KW01,122.0
826,8         ,2012KW02,92.0
827,8         ,2012KW03,82.0
828,8         ,2012KW04,111.0
829,8         ,2012JJ00,407.0
830,8         ,2013KW01,124.0
831,8         ,2013KW02,91.0
832,9         ,1967JJ00,
833,9         ,1968JJ00,
834,9         ,1969JJ00,
835,9         ,1970JJ00,
836,9         ,1971JJ00,
837,9         ,1972JJ00,
838,9         ,1973JJ00,
839,9         ,1974JJ00,
840,9         ,1975JJ00,
841,9         ,1976JJ00,
842,9         ,1977JJ00,
843,9         ,1978JJ00,
