ID,Cijfersoort,RegioS,Perioden,ZeerGoedGoed_1,PsychischOngezond_2,HogeBloeddruk_3,Gewrichtsslijtage_4,OoitBeroerteGehad_5,OoitHartinfarctGehad_6,ChronischeLuchtwegklachten_7,Rugaandoening_8,MigraineOfErnstigeHoofdpijn_9,SuikerziekteTotaal_10,SuikerziekteType1_11,SuikerziekteType2_12,Minimaal1Aandoening_13,k_1Aandoening_14,k_2Aandoeningen_15,k_3Aandoeningen_16,Minstens1Malaiseklacht_17,Moeheid_18,Slapeloosheid_19,k_1OfMeerBeperkingen_20,BeperkingInBewegen_21,DrinktNooitAlcohol_22,ZwareDrinker_23,Anticonceptiepil_24,VoldoenAanNormGezondBewegen_25,Rokers_26,ZwareRokers_27,Ondergewicht_28,Overgewicht_29,ErnstigOvergewicht_30,OvergewichtKinderen_31,ContactMetHuisarts_32,ContactMetMedischSpecialist_33,ContactMetTandarts_34,ContactMetFysioEnOefentherapeut_35,VoorgeschrevenMedicijnen_36,NietVoorgeschrevenMedicijnen_37
47,1,GG6011,2011X000,78.4,10.9,16.6,15.2,4.2,4.2,7.5,10.9,13.4,4.7,1.1,3.6,47.4,21.3,10.3,15.8,67.9,40.6,22.8,16.4,9.5,22.4,12.5,38.4,60.1,24.2,5.8,2.2,48.9,11.2,13.1,72.7,41.5,76.5,21.8,39.0,34.2
48,1,GG6106,2011X000,72.9,14.5,18.7,16.8,2.3,4.3,8.6,12.2,15.7,5.1,1.2,3.8,52.4,21.2,13.8,17.3,74.2,48.3,26.4,17.9,11.2,22.3,10.3,44.1,50.6,27.2,6.1,2.5,52.5,14.8,14.5,77.2,43.8,78.4,23.7,43.1,38.3
49,2,NL01  ,2011X000,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.5,0.3,0.2,0.1,0.1,0.3,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2
50,2,LD01  ,2011X000,0.5,0.5,0.7,0.6,0.3,0.3,0.4,0.4,0.5,0.3,0.1,0.3,0.7,0.6,0.5,0.5,0.7,0.7,0.6,0.6,0.5,0.8,0.6,1.4,1.0,0.7,0.3,0.2,0.8,0.5,1.1,0.6,0.7,0.6,0.6,0.7,0.7
51,2,LD02  ,2011X000,0.4,0.4,0.5,0.5,0.2,0.2,0.3,0.3,0.3,0.2,0.1,0.2,0.5,0.4,0.3,0.3,0.5,0.5,0.4,0.5,0.3,0.5,0.4,1.0,0.7,0.5,0.2,0.1,0.6,0.4,0.8,0.4,0.5,0.4,0.4,0.5,0.5
52,2,LD03  ,2011X000,0.3,0.3,0.3,0.3,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.4,0.3,0.6,0.5,0.3,0.2,0.1,0.4,0.2,0.5,0.3,0.3,0.3,0.3,0.3,0.3
53,2,LD04  ,2011X000,0.4,0.4,0.5,0.5,0.2,0.2,0.3,0.3,0.3,0.2,0.1,0.2,0.5,0.4,0.3,0.4,0.5,0.5,0.4,0.5,0.4,0.5,0.4,1.0,0.7,0.5,0.2,0.2,0.6,0.4,0.8,0.4,0.5,0.4,0.4,0.5,0.5
54,2,PV20  ,2011X000,1.0,0.9,1.2,1.0,0.4,0.5,0.7,0.6,0.8,0.5,0.2,0.4,1.2,1.0,0.9,0.8,1.1,1.2,1.0,1.0,0.7,1.4,1.0,2.4,1.6,1.2,0.6,0.3,1.4,0.9,2.1,1.1,1.2,1.0,1.0,1.2,1.2
55,2,PV21  ,2011X000,0.9,0.9,1.1,1.0,0.5,0.5,0.6,0.7,0.8,0.5,0.2,0.4,1.2,1.0,0.8,0.7,1.1,1.2,0.9,1.0,0.8,1.2,1.0,2.4,1.6,1.1,0.6,0.3,1.3,0.8,1.8,1.1,1.1,1.0,0.9,1.1,1.1
56,2,PV22  ,2011X000,1.0,1.0,1.3,1.2,0.5,0.6,0.7,0.8,0.9,0.6,0.3,0.5,1.3,1.1,0.9,0.9,1.3,1.3,1.1,1.2,1.0,1.5,1.0,2.8,1.8,1.3,0.6,0.2,1.5,1.0,2.0,1.2,1.3,1.1,1.1,1.3,1.2
57,2,PV23  ,2011X000,0.7,0.7,0.9,0.8,0.3,0.4,0.5,0.5,0.6,0.4,0.2,0.3,0.9,0.8,0.6,0.6,0.8,0.9,0.7,0.8,0.6,0.9,0.8,1.7,1.2,0.8,0.4,0.2,1.0,0.7,1.4,0.8,0.8,0.7,0.7,0.8,0.8
58,2,PV24  ,2011X000,1.1,1.4,1.5,1.3,0.7,0.8,0.9,0.9,1.1,0.5,0.2,0.5,1.5,1.3,1.0,1.0,1.4,1.5,1.3,1.4,1.2,1.8,1.1,2.9,2.3,1.4,0.9,0.3,1.8,1.2,2.5,1.3,1.4,1.2,1.2,1.4,1.4
59,2,PV25  ,2011X000,0.5,0.5,0.6,0.6,0.3,0.3,0.4,0.4,0.4,0.3,0.1,0.2,0.7,0.6,0.4,0.4,0.6,0.7,0.5,0.6,0.4,0.7,0.5,1.3,0.9,0.6,0.3,0.2,0.8,0.5,1.0,0.6,0.6,0.5,0.5,0.6,0.6
60,2,PV26  ,2011X000,0.6,0.7,0.8,0.7,0.3,0.3,0.5,0.5,0.6,0.3,0.1,0.3,0.9,0.7,0.5,0.6,0.8,0.8,0.7,0.7,0.5,0.9,0.6,1.6,1.2,0.8,0.4,0.3,1.0,0.6,1.2,0.7,0.8,0.7,0.7,0.8,0.8
61,2,PV27  ,2011X000,0.4,0.5,0.6,0.5,0.2,0.2,0.3,0.3,0.4,0.2,0.1,0.2,0.6,0.5,0.4,0.4,0.5,0.6,0.5,0.5,0.4,0.6,0.5,1.1,0.8,0.5,0.3,0.2,0.6,0.4,1.0,0.5,0.6,0.5,0.5,0.5,0.5
62,2,PV28  ,2011X000,0.4,0.4,0.5,0.5,0.2,0.2,0.3,0.3,0.3,0.2,0.1,0.2,0.5,0.4,0.3,0.3,0.5,0.5,0.4,0.4,0.4,0.6,0.4,1.0,0.7,0.5,0.2,0.1,0.6,0.4,0.8,0.4,0.5,0.4,0.4,0.5,0.5
63,2,PV29  ,2011X000,1.2,1.1,1.5,1.5,0.6,0.6,0.9,0.9,1.0,0.7,0.3,0.6,1.6,1.3,1.1,1.1,1.4,1.5,1.2,1.4,1.2,1.7,1.0,3.3,2.1,1.3,0.7,0.3,1.7,1.1,2.7,1.3,1.5,1.3,1.2,1.5,1.4
64,2,PV30  ,2011X000,0.5,0.5,0.6,0.5,0.3,0.3,0.3,0.4,0.4,0.3,0.1,0.2,0.6,0.5,0.4,0.4,0.6,0.6,0.5,0.6,0.4,0.6,0.5,1.2,0.8,0.5,0.3,0.2,0.7,0.4,0.9,0.5,0.6,0.5,0.5,0.6,0.6
65,2,PV31  ,2011X000,0.7,0.8,0.9,0.8,0.4,0.5,0.5,0.6,0.6,0.4,0.2,0.3,0.9,0.7,0.6,0.7,0.8,0.9,0.8,0.9,0.7,1.0,0.7,1.9,1.2,0.8,0.4,0.3,1.0,0.7,1.5,0.7,0.9,0.7,0.7,0.9,0.8
66,2,GM0363,2011X000,0.8,1.1,1.1,0.9,0.4,0.4,0.6,0.6,0.8,0.5,0.2,0.4,1.1,0.9,0.7,0.7,1.0,1.1,0.9,1.0,0.8,1.2,1.0,2.0,1.5,1.0,0.5,0.3,1.2,0.7,2.1,0.9,1.0,0.9,0.9,1.0,1.0
67,2,GM0518,2011X000,1.1,1.2,1.3,1.2,0.6,0.6,0.8,0.7,1.0,0.6,0.2,0.6,1.4,1.2,0.8,1.0,1.2,1.3,1.2,1.3,0.9,1.7,0.9,2.4,2.0,1.3,0.7,0.5,1.5,1.0,2.7,1.1,1.3,1.1,1.1,1.3,1.3
68,2,GM0599,2011X000,1.0,1.1,1.1,1.1,0.6,0.5,0.7,0.7,0.8,0.6,0.2,0.5,1.2,1.0,0.8,0.8,1.1,1.2,1.1,1.2,1.0,1.5,0.8,2.2,1.7,1.2,0.6,0.4,1.4,1.0,2.1,1.1,1.2,1.1,1.0,1.1,1.2
69,2,GM0344,2011X000,1.3,1.6,1.5,1.2,0.7,0.6,0.9,1.0,1.2,0.8,0.3,0.7,1.7,1.5,1.0,1.1,1.5,1.7,1.4,1.4,1.1,1.8,1.4,2.8,2.4,1.6,0.8,0.6,1.8,1.0,3.5,1.5,1.6,1.4,1.3,1.5,1.6
70,2,GG0111,2011X000,1.0,0.9,1.2,1.0,0.4,0.5,0.7,0.6,0.8,0.5,0.2,0.4,1.2,1.0,0.9,0.8,1.1,1.2,1.0,1.0,0.7,1.4,1.0,2.4,1.6,1.2,0.6,0.3,1.4,0.9,2.1,1.1,1.2,1.0,1.0,1.2,1.2
71,2,GG7206,2011X000,0.9,0.9,1.1,1.0,0.5,0.5,0.6,0.7,0.8,0.5,0.2,0.4,1.2,1.0,0.8,0.7,1.1,1.2,0.9,1.0,0.8,1.2,1.0,2.4,1.6,1.1,0.6,0.3,1.3,0.8,1.8,1.1,1.1,1.0,0.9,1.1,1.1
72,2,GG0706,2011X000,1.0,1.0,1.3,1.2,0.5,0.6,0.7,0.8,0.9,0.6,0.3,0.5,1.3,1.1,0.9,0.9,1.3,1.3,1.1,1.2,1.0,1.5,1.0,2.8,1.8,1.3,0.6,0.2,1.5,1.0,2.0,1.2,1.3,1.1,1.1,1.3,1.2
73,2,GG1009,2011X000,0.9,0.9,1.3,1.1,0.5,0.5,0.7,0.7,0.9,0.5,0.2,0.5,1.3,1.1,0.9,0.8,1.2,1.3,1.0,1.1,0.8,1.4,1.1,2.5,1.8,1.2,0.7,0.4,1.5,0.9,2.0,1.2,1.2,1.0,1.0,1.2,1.2
74,2,GG1106,2011X000,0.9,0.9,1.2,1.1,0.4,0.6,0.6,0.7,0.8,0.5,0.2,0.5,1.2,1.0,0.8,0.8,1.1,1.2,1.0,1.1,0.9,1.3,1.1,2.4,1.6,1.1,0.5,0.3,1.4,0.9,1.9,1.0,1.1,1.0,1.0,1.1,1.1
75,2,GG1406,2011X000,0.8,0.8,1.0,0.9,0.4,0.4,0.6,0.6,0.6,0.4,0.2,0.4,1.0,0.9,0.6,0.7,1.0,1.0,0.8,0.9,0.7,1.1,0.8,2.1,1.4,0.9,0.5,0.3,1.2,0.8,1.6,0.9,1.0,0.8,0.8,1.0,1.0
76,2,GG1906,2011X000,0.9,0.9,1.1,1.1,0.4,0.5,0.6,0.7,0.8,0.5,0.2,0.4,1.2,1.0,0.7,0.8,1.1,1.2,1.0,1.0,0.7,1.3,0.8,2.3,1.7,1.1,0.5,0.2,1.3,0.8,1.9,1.0,1.1,0.9,0.9,1.1,1.1
77,2,GG2006,2011X000,1.6,1.9,2.0,2.1,1.0,0.9,1.2,1.2,1.4,0.7,0.5,0.6,2.1,1.7,1.4,1.5,1.9,2.0,1.7,2.3,1.9,2.5,1.5,4.2,3.0,2.0,1.0,0.6,2.4,1.4,3.0,1.7,2.0,1.6,1.7,1.9,2.0
78,2,GG2106,2011X000,1.3,1.3,1.6,1.4,0.6,0.6,0.9,0.9,1.1,0.7,0.5,0.5,1.6,1.3,1.1,1.1,1.5,1.6,1.4,1.4,1.0,1.6,1.4,3.3,2.2,1.5,0.7,0.5,1.8,1.2,2.6,1.4,1.6,1.3,1.3,1.6,1.5
79,2,GG2209,2011X000,1.1,1.4,1.5,1.3,0.7,0.8,0.9,0.9,1.1,0.5,0.2,0.5,1.5,1.3,1.0,1.0,1.4,1.5,1.3,1.4,1.2,1.8,1.1,2.9,2.3,1.4,0.9,0.3,1.8,1.2,2.5,1.3,1.4,1.2,1.2,1.4,1.4
80,2,GG2406,2011X000,1.3,1.6,1.5,1.2,0.7,0.6,0.9,1.0,1.2,0.8,0.3,0.7,1.7,1.5,1.0,1.1,1.5,1.7,1.4,1.4,1.1,1.8,1.4,2.8,2.4,1.6,0.8,0.6,1.8,1.0,3.5,1.5,1.6,1.4,1.3,1.5,1.6
81,2,GG2506,2011X000,0.7,0.8,1.0,0.9,0.3,0.4,0.5,0.5,0.7,0.3,0.2,0.3,1.0,0.8,0.6,0.7,0.9,1.0,0.8,0.8,0.6,1.1,0.7,1.9,1.4,0.9,0.5,0.3,1.1,0.7,1.3,0.9,0.9,0.8,0.8,0.9,0.9
82,2,GG2707,2011X000,0.9,0.9,1.1,1.0,0.4,0.5,0.6,0.6,0.7,0.5,0.2,0.4,1.1,1.0,0.8,0.7,1.1,1.2,1.0,1.0,0.8,1.2,1.0,2.4,1.6,1.1,0.6,0.4,1.3,0.8,1.6,1.0,1.1,0.9,0.9,1.1,1.1
83,2,GG3109,2011X000,0.9,1.0,1.2,1.1,0.6,0.4,0.7,0.7,0.9,0.5,0.2,0.4,1.3,1.1,0.8,0.8,1.1,1.3,1.0,1.1,0.9,1.4,1.0,2.4,1.8,1.2,0.7,0.3,1.4,0.9,2.1,1.1,1.2,1.0,1.0,1.2,1.2
84,2,GG7306,2011X000,1.3,1.4,1.8,1.6,0.5,0.5,0.9,1.1,1.3,0.7,0.3,0.6,1.8,1.5,1.3,1.2,1.5,1.7,1.4,1.5,1.1,1.8,1.4,3.4,2.4,1.5,0.7,0.4,1.9,1.3,3.0,1.5,1.7,1.3,1.5,1.6,1.6
85,2,GG3406,2011X000,0.7,0.9,1.0,0.8,0.4,0.4,0.5,0.6,0.7,0.4,0.2,0.4,1.0,0.9,0.6,0.7,0.9,1.0,0.8,0.9,0.7,1.1,0.9,1.8,1.4,0.9,0.5,0.3,1.1,0.6,1.9,0.8,0.9,0.8,0.8,0.9,0.9
86,2,GG3606,2011X000,1.4,1.6,2.0,1.8,0.8,0.8,1.0,1.2,1.2,0.8,0.3,0.7,2.0,1.7,1.2,1.2,1.8,1.9,1.6,1.8,1.3,2.1,1.6,4.2,2.7,1.8,1.1,0.8,2.2,1.4,2.9,1.7,1.8,1.5,1.6,1.8,1.9
87,2,GG3906,2011X000,1.1,1.2,1.3,1.2,0.6,0.6,0.8,0.7,1.0,0.6,0.2,0.6,1.4,1.2,0.8,1.0,1.2,1.3,1.2,1.3,0.9,1.7,0.9,2.4,2.0,1.3,0.7,0.5,1.5,1.0,2.7,1.1,1.3,1.1,1.1,1.3,1.3
88,2,GG4106,2011X000,1.0,1.1,1.2,1.1,0.5,0.4,0.7,0.7,0.9,0.5,0.2,0.4,1.3,1.1,0.8,0.8,1.2,1.3,1.0,1.2,0.9,1.4,0.9,2.5,1.7,1.1,0.6,0.4,1.5,0.9,1.8,1.1,1.2,1.0,1.0,1.2,1.2
89,2,GG4506,2011X000,0.8,0.8,1.1,1.0,0.4,0.4,0.6,0.6,0.7,0.4,0.2,0.4,1.1,0.9,0.7,0.7,1.0,1.1,0.9,0.9,0.7,1.2,0.9,2.2,1.5,1.0,0.5,0.3,1.2,0.8,1.7,0.9,1.0,0.8,0.9,1.0,1.0
90,2,GG4607,2011X000,0.7,0.7,0.8,0.8,0.4,0.4,0.4,0.5,0.6,0.4,0.2,0.3,0.8,0.7,0.5,0.6,0.8,0.8,0.7,0.8,0.6,1.0,0.6,1.6,1.2,0.8,0.4,0.2,1.0,0.6,1.4,0.7,0.8,0.7,0.7,0.8,0.8
91,2,GG4810,2011X000,1.0,1.1,1.3,1.2,0.6,0.4,0.7,0.7,0.9,0.5,0.2,0.5,1.4,1.2,0.8,0.8,1.3,1.4,1.1,1.1,0.9,1.6,0.9,2.7,2.0,1.3,0.6,0.3,1.6,1.1,2.0,1.2,1.3,1.1,1.1,1.3,1.3
92,2,GG5006,2011X000,1.2,1.1,1.5,1.5,0.6,0.6,0.9,0.9,1.0,0.7,0.3,0.6,1.6,1.3,1.1,1.1,1.4,1.5,1.2,1.4,1.2,1.7,1.0,3.3,2.1,1.3,0.7,0.3,1.7,1.1,2.7,1.3,1.5,1.3,1.2,1.5,1.4
