ID,Bedrijfsafvalstoffen,NuttigeToepassingEnEindverwerking,BedrijfstakkenBranchesSBI2008,Perioden,Bedrijfsafval_1
311,A050391,T001523,318600,2008JJ00,286.0
312,A050391,T001523,318600,2009JJ00,275.0
313,A050391,T001523,318600,2010JJ00,246.0
314,A050391,T001523,318600,2011JJ00,251.0
315,A050391,T001523,318600,2012JJ00,214.0
316,A050391,T001523,318600,2013JJ00,213.0
317,A050391,T001523,318600,2014JJ00,183.0
318,A050391,T001523,318600,2015JJ00,178.0
319,A050391,T001523,318600,2016JJ00,145.0
320,A050391,T001523,318600,2017JJ00,128.0
321,A050391,T001523,318600,2018JJ00,131.0
322,A050391,T001523,318600,2019JJ00,124.0
323,A050391,T001523,318600,2020JJ00,115.0
324,A050391,T001523,318600,2021JJ00,126.0
325,A050391,T001523,320005,1994JJ00,3241.0
326,A050391,T001523,320005,1996JJ00,3378.0
327,A050391,T001523,320005,1998JJ00,3267.0
328,A050391,T001523,320005,2000JJ00,2329.0
329,A050391,T001523,320005,2001JJ00,1986.0
330,A050391,T001523,320005,2002JJ00,1810.0
331,A050391,T001523,320005,2003JJ00,1815.0
332,A050391,T001523,320005,2004JJ00,1783.0
333,A050391,T001523,320005,2005JJ00,1831.0
334,A050391,T001523,320005,2006JJ00,1861.0
335,A050391,T001523,320005,2007JJ00,1898.0
336,A050391,T001523,320005,2008JJ00,1831.0
337,A050391,T001523,320005,2009JJ00,1465.0
338,A050391,T001523,320005,2010JJ00,1508.0
339,A050391,T001523,320005,2011JJ00,1636.0
340,A050391,T001523,320005,2012JJ00,1517.0
341,A050391,T001523,320005,2013JJ00,1209.0
342,A050391,T001523,320005,2014JJ00,1299.0
343,A050391,T001523,320005,2015JJ00,1239.0
344,A050391,T001523,320005,2016JJ00,1418.0
345,A050391,T001523,320005,2017JJ00,1469.0
346,A050391,T001523,320005,2018JJ00,1227.0
347,A050391,T001523,320005,2019JJ00,1184.0
348,A050391,T001523,320005,2020JJ00,1135.0
349,A050391,T001523,320005,2021JJ00,1180.0
350,A050391,T001523,320000,1994JJ00,488.0
351,A050391,T001523,320000,1996JJ00,472.0
352,A050391,T001523,320000,1998JJ00,481.0
353,A050391,T001523,320000,2000JJ00,483.0
354,A050391,T001523,320000,2001JJ00,510.0
355,A050391,T001523,320000,2002JJ00,409.0
356,A050391,T001523,320000,2003JJ00,446.0
357,A050391,T001523,320000,2004JJ00,487.0
358,A050391,T001523,320000,2005JJ00,522.0
359,A050391,T001523,320000,2006JJ00,447.0
360,A050391,T001523,320000,2007JJ00,488.0
361,A050391,T001523,320000,2008JJ00,456.0
362,A050391,T001523,320000,2009JJ00,474.0
363,A050391,T001523,320000,2010JJ00,444.0
364,A050391,T001523,320000,2011JJ00,477.0
365,A050391,T001523,320000,2012JJ00,473.0
366,A050391,T001523,320000,2013JJ00,516.0
367,A050391,T001523,320000,2014JJ00,667.0
368,A050391,T001523,320000,2015JJ00,603.0
369,A050391,T001523,320000,2016JJ00,671.0
370,A050391,T001523,320000,2017JJ00,615.0
371,A050391,T001523,320000,2018JJ00,519.0
372,A050391,T001523,320000,2019JJ00,512.0
373,A050391,T001523,320000,2020JJ00,478.0
374,A050391,T001523,320000,2021JJ00,511.0
375,A050391,T001523,320705,1994JJ00,2632.0
376,A050391,T001523,320705,1996JJ00,2785.0
377,A050391,T001523,320705,1998JJ00,2646.0
378,A050391,T001523,320705,2000JJ00,1687.0
379,A050391,T001523,320705,2001JJ00,1310.0
380,A050391,T001523,320705,2002JJ00,1253.0
381,A050391,T001523,320705,2003JJ00,1225.0
382,A050391,T001523,320705,2004JJ00,1154.0
383,A050391,T001523,320705,2005JJ00,1164.0
384,A050391,T001523,320705,2006JJ00,1215.0
385,A050391,T001523,320705,2007JJ00,1224.0
386,A050391,T001523,320705,2008JJ00,1216.0
387,A050391,T001523,320705,2009JJ00,856.0
388,A050391,T001523,320705,2010JJ00,912.0
389,A050391,T001523,320705,2011JJ00,1004.0
390,A050391,T001523,320705,2012JJ00,932.0
391,A050391,T001523,320705,2013JJ00,581.0
392,A050391,T001523,320705,2014JJ00,511.0
393,A050391,T001523,320705,2015JJ00,511.0
394,A050391,T001523,320705,2016JJ00,607.0
395,A050391,T001523,320705,2017JJ00,702.0
396,A050391,T001523,320705,2018JJ00,569.0
397,A050391,T001523,320705,2019JJ00,543.0
398,A050391,T001523,320705,2020JJ00,536.0
399,A050391,T001523,320705,2021JJ00,541.0
400,A050391,T001523,320700,1994JJ00,
401,A050391,T001523,320700,1996JJ00,
402,A050391,T001523,320700,1998JJ00,
403,A050391,T001523,320700,2000JJ00,
404,A050391,T001523,320700,2001JJ00,
405,A050391,T001523,320700,2002JJ00,
406,A050391,T001523,320700,2003JJ00,
407,A050391,T001523,320700,2004JJ00,
408,A050391,T001523,320700,2005JJ00,
409,A050391,T001523,320700,2006JJ00,
410,A050391,T001523,320700,2007JJ00,
411,A050391,T001523,320700,2008JJ00,1037.0
412,A050391,T001523,320700,2009JJ00,686.0
413,A050391,T001523,320700,2010JJ00,824.0
414,A050391,T001523,320700,2011JJ00,901.0
415,A050391,T001523,320700,2012JJ00,849.0
416,A050391,T001523,320700,2013JJ00,497.0
417,A050391,T001523,320700,2014JJ00,431.0
418,A050391,T001523,320700,2015JJ00,427.0
419,A050391,T001523,320700,2016JJ00,530.0
420,A050391,T001523,320700,2017JJ00,608.0
421,A050391,T001523,320700,2018JJ00,508.0
422,A050391,T001523,320700,2019JJ00,477.0
423,A050391,T001523,320700,2020JJ00,479.0
424,A050391,T001523,320700,2021JJ00,493.0
425,A050391,T001523,323200,1994JJ00,
426,A050391,T001523,323200,1996JJ00,
427,A050391,T001523,323200,1998JJ00,
428,A050391,T001523,323200,2000JJ00,
429,A050391,T001523,323200,2001JJ00,
430,A050391,T001523,323200,2002JJ00,
431,A050391,T001523,323200,2003JJ00,
432,A050391,T001523,323200,2004JJ00,
433,A050391,T001523,323200,2005JJ00,
434,A050391,T001523,323200,2006JJ00,
435,A050391,T001523,323200,2007JJ00,
436,A050391,T001523,323200,2008JJ00,177.0
437,A050391,T001523,323200,2009JJ00,169.0
438,A050391,T001523,323200,2010JJ00,87.0
439,A050391,T001523,323200,2011JJ00,103.0
440,A050391,T001523,323200,2012JJ00,83.0
441,A050391,T001523,323200,2013JJ00,84.0
442,A050391,T001523,323200,2014JJ00,81.0
443,A050391,T001523,323200,2015JJ00,84.0
444,A050391,T001523,323200,2016JJ00,77.0
445,A050391,T001523,323200,2017JJ00,94.0
446,A050391,T001523,323200,2018JJ00,61.0
447,A050391,T001523,323200,2019JJ00,66.0
448,A050391,T001523,323200,2020JJ00,57.0
449,A050391,T001523,323200,2021JJ00,48.0
450,A050391,T001523,323700,1994JJ00,121.0
451,A050391,T001523,323700,1996JJ00,122.0
452,A050391,T001523,323700,1998JJ00,140.0
453,A050391,T001523,323700,2000JJ00,159.0
454,A050391,T001523,323700,2001JJ00,166.0
455,A050391,T001523,323700,2002JJ00,148.0
456,A050391,T001523,323700,2003JJ00,144.0
457,A050391,T001523,323700,2004JJ00,142.0
458,A050391,T001523,323700,2005JJ00,145.0
459,A050391,T001523,323700,2006JJ00,199.0
460,A050391,T001523,323700,2007JJ00,185.0
461,A050391,T001523,323700,2008JJ00,159.0
462,A050391,T001523,323700,2009JJ00,135.0
463,A050391,T001523,323700,2010JJ00,152.0
464,A050391,T001523,323700,2011JJ00,155.0
465,A050391,T001523,323700,2012JJ00,112.0
466,A050391,T001523,323700,2013JJ00,112.0
467,A050391,T001523,323700,2014JJ00,122.0
468,A050391,T001523,323700,2015JJ00,125.0
469,A050391,T001523,323700,2016JJ00,139.0
470,A050391,T001523,323700,2017JJ00,151.0
471,A050391,T001523,323700,2018JJ00,139.0
472,A050391,T001523,323700,2019JJ00,129.0
473,A050391,T001523,323700,2020JJ00,122.0
474,A050391,T001523,323700,2021JJ00,128.0
475,A050391,T001523,324600,1994JJ00,637.0
476,A050391,T001523,324600,1996JJ00,765.0
477,A050391,T001523,324600,1998JJ00,767.0
478,A050391,T001523,324600,2000JJ00,1058.0
479,A050391,T001523,324600,2001JJ00,923.0
480,A050391,T001523,324600,2002JJ00,952.0
481,A050391,T001523,324600,2003JJ00,894.0
482,A050391,T001523,324600,2004JJ00,844.0
483,A050391,T001523,324600,2005JJ00,878.0
484,A050391,T001523,324600,2006JJ00,885.0
485,A050391,T001523,324600,2007JJ00,872.0
486,A050391,T001523,324600,2008JJ00,942.0
487,A050391,T001523,324600,2009JJ00,780.0
488,A050391,T001523,324600,2010JJ00,722.0
489,A050391,T001523,324600,2011JJ00,782.0
490,A050391,T001523,324600,2012JJ00,738.0
491,A050391,T001523,324600,2013JJ00,683.0
492,A050391,T001523,324600,2014JJ00,642.0
493,A050391,T001523,324600,2015JJ00,645.0
494,A050391,T001523,324600,2016JJ00,561.0
495,A050391,T001523,324600,2017JJ00,595.0
496,A050391,T001523,324600,2018JJ00,532.0
497,A050391,T001523,324600,2019JJ00,539.0
498,A050391,T001523,324600,2020JJ00,485.0
499,A050391,T001523,324600,2021JJ00,492.0
500,A050391,T001523,328110,1994JJ00,
501,A050391,T001523,328110,1996JJ00,
502,A050391,T001523,328110,1998JJ00,
503,A050391,T001523,328110,2000JJ00,
504,A050391,T001523,328110,2001JJ00,
505,A050391,T001523,328110,2002JJ00,
506,A050391,T001523,328110,2003JJ00,
507,A050391,T001523,328110,2004JJ00,
508,A050391,T001523,328110,2005JJ00,
