ID,KenmerkenHuishoudens,CaribischNederland,Perioden,Huishoudens_1,PersonenMetInkomenPerHuishouden_2,BesteedbaarInkomenGemiddeld_3,BesteedbaarInkomenMediaan_4,GestandaardiseerdInkomenGemiddeld_5,GestandaardiseerdInkomenMediaan_6
25,1050010,GM9002 ,2012JJ00,1000.0,1.5,34.1,26.4,21.9,17.7
26,1050010,GM9002 ,2013JJ00,1100.0,1.5,34.1,26.3,22.3,18.0
27,1050010,GM9002 ,2014JJ00,1100.0,1.5,35.4,27.2,23.0,18.5
28,1050010,GM9002 ,2015JJ00,1150.0,1.5,36.8,28.5,24.9,19.6
29,1050010,GM9002 ,2016JJ00,1200.0,1.5,34.6,25.5,23.9,18.8
30,1050010,GM9002 ,2017JJ00,1300.0,1.5,36.9,29.8,25.9,20.6
31,1050010,GM9002 ,2018JJ00,1300.0,1.5,37.6,28.2,26.4,20.2
32,1050010,GM9002 ,2019JJ00,1350.0,1.5,38.9,29.6,27.3,21.1
33,1050010,GM9002 ,2020JJ00,1300.0,1.5,39.5,29.2,27.1,21.4
34,1050010,GM9002 ,2021JJ00,1350.0,1.5,37.9,28.1,26.4,20.8
35,1050010,GM9002 ,2022JJ00,1400.0,1.5,38.6,29.6,27.1,21.2
36,1050010,GM9003 ,2011JJ00,550.0,1.6,28.5,22.3,19.4,15.2
37,1050010,GM9003 ,2012JJ00,600.0,1.5,30.5,24.7,21.0,17.1
38,1050010,GM9003 ,2013JJ00,600.0,1.5,30.1,23.8,21.0,17.0
39,1050010,GM9003 ,2014JJ00,650.0,1.5,30.6,25.1,21.3,17.7
40,1050010,GM9003 ,2015JJ00,700.0,1.5,31.4,25.4,21.8,17.8
41,1050010,GM9003 ,2016JJ00,700.0,1.5,31.8,25.7,22.2,18.2
42,1050010,GM9003 ,2017JJ00,750.0,1.5,32.7,26.2,22.8,19.0
43,1050010,GM9003 ,2018JJ00,750.0,1.6,34.2,27.8,23.9,20.0
44,1050010,GM9003 ,2019JJ00,750.0,1.5,35.5,27.9,25.2,21.0
45,1050010,GM9003 ,2020JJ00,750.0,1.5,36.6,29.7,26.1,21.6
46,1050010,GM9003 ,2021JJ00,750.0,1.5,37.3,30.7,26.7,22.3
47,1050010,GM9003 ,2022JJ00,800.0,1.6,38.9,31.6,27.9,23.8
48,1050015,CN01   ,2011JJ00,2350.0,1.0,17.5,12.9,17.5,12.9
49,1050015,CN01   ,2012JJ00,2600.0,1.0,18.3,13.7,18.3,13.7
50,1050015,CN01   ,2013JJ00,2800.0,1.0,18.4,14.3,18.4,14.3
51,1050015,CN01   ,2014JJ00,2950.0,1.0,19.1,14.5,19.1,14.5
52,1050015,CN01   ,2015JJ00,3050.0,1.0,19.4,14.5,19.4,14.5
53,1050015,CN01   ,2016JJ00,3200.0,1.0,20.3,15.7,20.3,15.7
54,1050015,CN01   ,2017JJ00,3500.0,1.0,20.6,15.9,20.6,15.9
55,1050015,CN01   ,2018JJ00,3700.0,1.0,20.4,15.7,20.4,15.7
56,1050015,CN01   ,2019JJ00,3950.0,1.0,20.9,15.9,20.9,15.9
57,1050015,CN01   ,2020JJ00,4200.0,1.0,21.2,16.2,21.2,16.2
58,1050015,CN01   ,2021JJ00,4350.0,1.0,21.4,16.2,21.4,16.2
59,1050015,CN01   ,2022JJ00,4700.0,1.0,22.2,16.8,22.2,16.8
60,1050015,GM9001 ,2011JJ00,1850.0,1.0,16.9,12.7,16.9,12.7
61,1050015,GM9001 ,2012JJ00,2050.0,1.0,17.4,13.2,17.4,13.2
62,1050015,GM9001 ,2013JJ00,2250.0,1.0,17.5,13.8,17.5,13.8
63,1050015,GM9001 ,2014JJ00,2350.0,1.0,18.5,14.1,18.5,14.1
64,1050015,GM9001 ,2015JJ00,2350.0,1.0,18.4,14.2,18.4,14.2
65,1050015,GM9001 ,2016JJ00,2500.0,1.0,19.4,15.1,19.4,15.1
66,1050015,GM9001 ,2017JJ00,2700.0,1.0,19.2,15.1,19.2,15.1
67,1050015,GM9001 ,2018JJ00,2850.0,1.0,19.1,15.1,19.1,15.1
68,1050015,GM9001 ,2019JJ00,3100.0,1.0,19.7,15.4,19.7,15.4
69,1050015,GM9001 ,2020JJ00,3350.0,1.0,20.3,15.7,20.3,15.7
70,1050015,GM9001 ,2021JJ00,3450.0,1.0,20.3,15.6,20.3,15.6
71,1050015,GM9001 ,2022JJ00,3750.0,1.0,21.1,16.2,21.1,16.2
72,1050015,GM9002 ,2011JJ00,300.0,1.0,21.2,15.5,21.2,15.5
73,1050015,GM9002 ,2012JJ00,350.0,1.0,22.8,17.6,22.8,17.6
74,1050015,GM9002 ,2013JJ00,350.0,1.0,22.4,17.2,22.4,17.2
75,1050015,GM9002 ,2014JJ00,350.0,1.0,22.8,17.7,22.8,17.7
76,1050015,GM9002 ,2015JJ00,400.0,1.0,24.0,18.1,24.0,18.1
77,1050015,GM9002 ,2016JJ00,450.0,1.0,24.4,18.8,24.4,18.8
78,1050015,GM9002 ,2017JJ00,550.0,1.0,26.9,20.6,26.9,20.6
79,1050015,GM9002 ,2018JJ00,550.0,1.0,26.2,18.9,26.2,18.9
80,1050015,GM9002 ,2019JJ00,550.0,1.0,26.1,18.8,26.1,18.8
81,1050015,GM9002 ,2020JJ00,500.0,1.0,24.8,18.6,24.8,18.6
82,1050015,GM9002 ,2021JJ00,550.0,1.0,25.2,18.2,25.2,18.2
83,1050015,GM9002 ,2022JJ00,600.0,1.0,26.4,19.4,26.4,19.4
84,1050015,GM9003 ,2011JJ00,200.0,1.0,17.9,12.4,17.9,12.4
85,1050015,GM9003 ,2012JJ00,200.0,1.0,19.9,15.7,19.9,15.7
86,1050015,GM9003 ,2013JJ00,250.0,1.0,20.1,16.1,20.1,16.1
87,1050015,GM9003 ,2014JJ00,250.0,1.0,19.8,16.1,19.8,16.1
88,1050015,GM9003 ,2015JJ00,250.0,1.0,20.5,15.9,20.5,15.9
89,1050015,GM9003 ,2016JJ00,250.0,1.0,21.6,16.9,21.6,16.9
90,1050015,GM9003 ,2017JJ00,250.0,1.0,22.4,17.5,22.4,17.5
91,1050015,GM9003 ,2018JJ00,300.0,1.0,22.4,18.0,22.4,18.0
92,1050015,GM9003 ,2019JJ00,350.0,1.0,22.8,18.1,22.8,18.1
93,1050015,GM9003 ,2020JJ00,350.0,1.0,25.0,19.3,25.0,19.3
94,1050015,GM9003 ,2021JJ00,350.0,1.0,26.7,20.3,26.7,20.3
95,1050015,GM9003 ,2022JJ00,350.0,1.0,27.0,21.3,27.0,21.3
96,1016010,CN01   ,2011JJ00,5000.0,2.0,35.4,29.0,20.0,16.5
97,1016010,CN01   ,2012JJ00,5100.0,2.0,37.0,30.4,20.8,17.3
98,1016010,CN01   ,2013JJ00,5450.0,2.0,37.3,30.8,21.2,17.6
99,1016010,CN01   ,2014JJ00,5650.0,2.0,38.5,31.6,22.0,18.2
100,1016010,CN01   ,2015JJ00,5850.0,2.0,39.7,32.1,22.7,18.6
101,1016010,CN01   ,2016JJ00,6050.0,2.0,40.0,32.5,23.0,19.0
102,1016010,CN01   ,2017JJ00,6250.0,2.0,41.3,33.5,24.0,19.8
103,1016010,CN01   ,2018JJ00,6450.0,2.0,42.1,34.4,24.5,20.0
104,1016010,CN01   ,2019JJ00,6600.0,2.0,44.0,36.0,25.8,21.1
105,1016010,CN01   ,2020JJ00,6750.0,2.0,44.4,36.5,25.9,21.4
106,1016010,CN01   ,2021JJ00,7000.0,2.0,44.9,36.7,26.2,21.6
107,1016010,CN01   ,2022JJ00,7300.0,2.0,46.0,37.8,26.9,22.3
108,1016010,GM9001 ,2011JJ00,3950.0,2.1,35.3,29.2,20.0,16.6
109,1016010,GM9001 ,2012JJ00,4100.0,2.1,36.6,30.2,20.7,17.1
110,1016010,GM9001 ,2013JJ00,4350.0,2.1,37.0,30.7,21.0,17.5
111,1016010,GM9001 ,2014JJ00,4500.0,2.0,38.2,31.1,21.8,18.0
112,1016010,GM9001 ,2015JJ00,4650.0,2.1,39.2,31.8,22.3,18.4
113,1016010,GM9001 ,2016JJ00,4850.0,2.1,40.1,32.5,23.0,19.1
114,1016010,GM9001 ,2017JJ00,5050.0,2.1,41.2,33.4,23.9,19.6
115,1016010,GM9001 ,2018JJ00,5250.0,2.1,41.6,34.0,24.2,19.9
116,1016010,GM9001 ,2019JJ00,5400.0,2.1,43.3,35.6,25.3,20.6
117,1016010,GM9001 ,2020JJ00,5550.0,2.1,43.7,35.9,25.4,21.0
118,1016010,GM9001 ,2021JJ00,5750.0,2.1,44.6,36.2,26.0,21.4
119,1016010,GM9001 ,2022JJ00,6050.0,2.0,45.6,37.3,26.6,21.9
120,1016010,GM9002 ,2011JJ00,650.0,1.8,37.0,28.8,20.2,15.9
121,1016010,GM9002 ,2012JJ00,650.0,1.8,39.8,31.8,21.4,17.7
122,1016010,GM9002 ,2013JJ00,700.0,1.8,40.1,32.3,22.2,18.3
123,1016010,GM9002 ,2014JJ00,750.0,1.8,41.3,32.7,23.0,18.8
124,1016010,GM9002 ,2015JJ00,700.0,1.8,44.2,35.0,25.4,20.2
125,1016010,GM9002 ,2016JJ00,750.0,1.7,41.0,32.2,23.6,18.9
126,1016010,GM9002 ,2017JJ00,750.0,1.8,44.1,35.3,25.3,20.7
127,1016010,GM9002 ,2018JJ00,750.0,1.9,45.5,35.9,26.5,21.1
128,1016010,GM9002 ,2019JJ00,800.0,1.9,48.2,38.7,28.2,22.7
129,1016010,GM9002 ,2020JJ00,800.0,1.9,49.1,39.8,28.7,23.3
130,1016010,GM9002 ,2021JJ00,800.0,1.9,46.9,39.3,27.2,22.5
131,1016010,GM9002 ,2022JJ00,800.0,1.9,47.7,38.7,27.7,23.1
132,1016010,GM9003 ,2011JJ00,350.0,1.9,34.0,28.4,20.2,16.4
133,1016010,GM9003 ,2012JJ00,400.0,1.8,36.6,30.7,21.7,18.2
134,1016010,GM9003 ,2013JJ00,400.0,1.8,35.8,30.1,21.5,17.9
135,1016010,GM9003 ,2014JJ00,400.0,1.8,37.4,32.1,22.3,19.3
136,1016010,GM9003 ,2015JJ00,450.0,1.9,37.8,30.8,22.6,18.7
137,1016010,GM9003 ,2016JJ00,450.0,1.9,37.6,31.9,22.5,18.8
138,1016010,GM9003 ,2017JJ00,450.0,1.9,38.5,32.6,23.0,19.8
139,1016010,GM9003 ,2018JJ00,450.0,1.9,41.9,35.7,24.9,21.2
140,1016010,GM9003 ,2019JJ00,400.0,1.9,45.4,39.9,27.0,23.1
141,1016010,GM9003 ,2020JJ00,400.0,1.9,46.0,40.4,27.0,23.2
142,1016010,GM9003 ,2021JJ00,450.0,1.9,45.2,41.2,26.8,23.6
143,1016010,GM9003 ,2022JJ00,450.0,2.0,48.3,43.7,28.7,25.4
144,1050190,CN01   ,2011JJ00,800.0,1.5,22.7,19.3,14.4,12.4
145,1050190,CN01   ,2012JJ00,800.0,1.5,22.6,19.5,14.5,12.3
146,1050190,CN01   ,2013JJ00,850.0,1.5,23.1,19.7,14.7,12.7
147,1050190,CN01   ,2014JJ00,850.0,1.5,24.5,21.1,15.6,13.4
148,1050190,CN01   ,2015JJ00,950.0,1.5,25.8,21.8,16.6,13.9
149,1050190,CN01   ,2016JJ00,1050.0,1.5,25.2,21.5,16.1,13.4
150,1050190,CN01   ,2017JJ00,1150.0,1.5,26.8,22.3,17.1,13.9
151,1050190,CN01   ,2018JJ00,1250.0,1.5,26.9,23.2,17.1,14.5
152,1050190,CN01   ,2019JJ00,1300.0,1.5,28.2,24.0,18.1,15.3
153,1050190,CN01   ,2020JJ00,1350.0,1.5,29.8,25.0,19.1,15.7
154,1050190,CN01   ,2021JJ00,1450.0,1.5,29.4,25.0,18.8,16.0
155,1050190,CN01   ,2022JJ00,1600.0,1.5,30.7,25.7,19.6,16.6
156,1050190,GM9001 ,2011JJ00,650.0,1.5,22.4,19.4,14.3,12.4
157,1050190,GM9001 ,2012JJ00,650.0,1.5,21.8,19.2,13.9,12.1
158,1050190,GM9001 ,2013JJ00,650.0,1.5,22.3,19.7,14.2,12.7
159,1050190,GM9001 ,2014JJ00,700.0,1.5,23.4,20.3,14.9,13.0
160,1050190,GM9001 ,2015JJ00,700.0,1.5,24.9,21.3,16.1,13.6
161,1050190,GM9001 ,2016JJ00,800.0,1.5,24.6,21.2,15.7,13.2
162,1050190,GM9001 ,2017JJ00,850.0,1.5,26.6,21.9,17.1,13.7
163,1050190,GM9001 ,2018JJ00,900.0,1.6,26.5,23.0,16.8,14.5
164,1050190,GM9001 ,2019JJ00,950.0,1.5,27.3,23.8,17.5,15.1
165,1050190,GM9001 ,2020JJ00,1000.0,1.5,29.3,24.5,18.8,15.5
166,1050190,GM9001 ,2021JJ00,1100.0,1.5,28.8,24.7,18.4,15.8
167,1050190,GM9001 ,2022JJ00,1250.0,1.5,30.3,25.2,19.4,16.3
168,1050190,GM9002 ,2011JJ00,100.0,1.4,24.0,19.3,15.2,12.7
169,1050190,GM9002 ,2012JJ00,100.0,1.3,24.9,20.9,15.8,12.7
170,1050190,GM9002 ,2013JJ00,150.0,1.4,26.2,18.3,16.2,11.8
171,1050190,GM9002 ,2014JJ00,100.0,1.4,28.6,24.4,17.7,15.2
172,1050190,GM9002 ,2015JJ00,150.0,1.4,28.9,23.3,18.3,14.5
173,1050190,GM9002 ,2016JJ00,200.0,1.3,25.5,21.4,16.4,12.5
174,1050190,GM9002 ,2017JJ00,250.0,1.3,26.7,23.0,16.9,14.1
175,1050190,GM9002 ,2018JJ00,250.0,1.4,27.4,23.4,17.5,14.3
176,1050190,GM9002 ,2019JJ00,250.0,1.4,30.2,23.5,19.6,14.8
177,1050190,GM9002 ,2020JJ00,250.0,1.4,31.2,25.2,20.1,15.3
178,1050190,GM9002 ,2021JJ00,250.0,1.4,31.3,26.9,19.9,16.6
179,1050190,GM9002 ,2022JJ00,250.0,1.4,31.8,27.0,20.1,17.4
180,1050190,GM9003 ,2011JJ00,50.0,,,,,
181,1050190,GM9003 ,2012JJ00,50.0,,,,,
182,1050190,GM9003 ,2013JJ00,50.0,,,,,
183,1050190,GM9003 ,2014JJ00,50.0,,,,,
184,1050190,GM9003 ,2015JJ00,50.0,,,,,
185,1050190,GM9003 ,2016JJ00,50.0,,,,,
186,1050190,GM9003 ,2017JJ00,100.0,,,,,
187,1050190,GM9003 ,2018JJ00,100.0,,,,,
188,1050190,GM9003 ,2019JJ00,100.0,,,,,
189,1050190,GM9003 ,2020JJ00,100.0,,,,,
190,1050190,GM9003 ,2021JJ00,100.0,,,,,
191,1050190,GM9003 ,2022JJ00,100.0,1.7,32.5,29.4,20.8,17.8
192,1050195,CN01   ,2011JJ00,400.0,1.1,18.9,16.0,12.0,10.2
193,1050195,CN01   ,2012JJ00,400.0,1.1,19.0,17.1,12.1,10.7
194,1050195,CN01   ,2013JJ00,400.0,1.1,18.3,17.1,11.7,10.4
195,1050195,CN01   ,2014JJ00,450.0,1.0,19.4,16.5,12.3,10.5
196,1050195,CN01   ,2015JJ00,450.0,1.1,20.0,18.8,12.7,11.8
197,1050195,CN01   ,2016JJ00,550.0,1.1,19.1,17.7,12.1,11.0
198,1050195,CN01   ,2017JJ00,550.0,1.1,20.4,18.1,13.0,11.7
199,1050195,CN01   ,2018JJ00,600.0,1.1,20.9,18.7,13.2,12.2
200,1050195,CN01   ,2019JJ00,650.0,1.1,22.1,19.3,14.1,12.4
201,1050195,CN01   ,2020JJ00,650.0,1.1,23.8,21.6,15.2,13.8
202,1050195,CN01   ,2021JJ00,750.0,1.1,24.4,21.3,15.7,13.6
203,1050195,CN01   ,2022JJ00,800.0,1.1,25.1,22.4,16.0,13.9
204,1050195,GM9001 ,2011JJ00,300.0,1.1,19.0,15.9,11.9,10.2
205,1050195,GM9001 ,2012JJ00,300.0,1.1,18.4,16.6,11.7,10.0
206,1050195,GM9001 ,2013JJ00,300.0,1.1,18.0,17.1,11.5,10.4
207,1050195,GM9001 ,2014JJ00,350.0,1.1,18.9,15.6,12.0,10.1
208,1050195,GM9001 ,2015JJ00,350.0,1.1,19.7,18.5,12.6,11.8
209,1050195,GM9001 ,2016JJ00,400.0,1.1,18.7,17.3,11.8,10.7
210,1050195,GM9001 ,2017JJ00,400.0,1.1,20.5,17.9,13.0,11.6
211,1050195,GM9001 ,2018JJ00,400.0,1.1,20.9,18.4,13.1,12.2
212,1050195,GM9001 ,2019JJ00,500.0,1.1,22.1,19.3,14.1,12.5
213,1050195,GM9001 ,2020JJ00,500.0,1.1,24.1,22.4,15.4,14.0
214,1050195,GM9001 ,2021JJ00,550.0,1.1,24.7,21.0,15.8,13.5
215,1050195,GM9001 ,2022JJ00,650.0,1.1,25.1,22.1,16.1,13.8
216,1050195,GM9002 ,2011JJ00,50.0,,,,,
217,1050195,GM9002 ,2012JJ00,50.0,,,,,
218,1050195,GM9002 ,2013JJ00,50.0,,,,,
219,1050195,GM9002 ,2014JJ00,50.0,,,,,
220,1050195,GM9002 ,2015JJ00,100.0,,,,,
221,1050195,GM9002 ,2016JJ00,100.0,1.0,17.9,16.5,11.5,10.7
222,1050195,GM9002 ,2017JJ00,150.0,1.0,19.9,18.5,12.7,12.0
223,1050195,GM9002 ,2018JJ00,150.0,1.1,20.6,19.2,13.0,11.9
224,1050195,GM9002 ,2019JJ00,150.0,1.1,20.9,18.8,13.3,11.4
225,1050195,GM9002 ,2020JJ00,100.0,1.0,22.5,20.7,14.1,12.6
226,1050195,GM9002 ,2021JJ00,150.0,1.0,24.1,22.1,15.4,14.1
227,1050195,GM9002 ,2022JJ00,150.0,1.0,25.3,22.9,16.0,14.9
228,1050195,GM9003 ,2011JJ00,50.0,,,,,
229,1050195,GM9003 ,2012JJ00,50.0,,,,,
230,1050195,GM9003 ,2013JJ00,50.0,,,,,
231,1050195,GM9003 ,2014JJ00,50.0,,,,,
232,1050195,GM9003 ,2015JJ00,50.0,,,,,
233,1050195,GM9003 ,2016JJ00,50.0,,,,,
234,1050195,GM9003 ,2017JJ00,50.0,,,,,
235,1050195,GM9003 ,2018JJ00,50.0,,,,,
236,1050195,GM9003 ,2019JJ00,50.0,,,,,
237,1050195,GM9003 ,2020JJ00,50.0,,,,,
238,1050195,GM9003 ,2021JJ00,50.0,,,,,
239,1050195,GM9003 ,2022JJ00,50.0,,,,,
240,1050200,CN01   ,2011JJ00,400.0,1.9,26.5,23.4,16.8,14.9
241,1050200,CN01   ,2012JJ00,400.0,1.9,26.6,22.4,17.0,15.1
242,1050200,CN01   ,2013JJ00,400.0,1.9,28.0,23.2,17.7,15.2
243,1050200,CN01   ,2014JJ00,450.0,1.9,29.4,25.8,18.7,16.8
244,1050200,CN01   ,2015JJ00,500.0,1.9,31.1,25.4,20.0,16.5
245,1050200,CN01   ,2016JJ00,500.0,1.9,31.7,26.9,20.4,16.9
246,1050200,CN01   ,2017JJ00,600.0,1.9,33.1,27.6,21.2,17.4
247,1050200,CN01   ,2018JJ00,600.0,2.0,32.6,28.0,20.8,17.7
248,1050200,CN01   ,2019JJ00,650.0,1.9,34.3,29.2,22.1,18.6
249,1050200,CN01   ,2020JJ00,700.0,1.9,35.5,28.7,22.9,18.8
250,1050200,CN01   ,2021JJ00,700.0,1.9,34.5,29.2,22.0,18.8
251,1050200,CN01   ,2022JJ00,800.0,1.9,36.5,31.1,23.4,20.3
252,1050200,GM9001 ,2011JJ00,300.0,1.9,25.8,23.4,16.6,15.0
253,1050200,GM9001 ,2012JJ00,300.0,1.9,25.4,21.9,16.3,14.8
254,1050200,GM9001 ,2013JJ00,300.0,1.9,26.6,23.1,16.9,15.2
255,1050200,GM9001 ,2014JJ00,350.0,1.9,27.9,25.2,17.8,16.2
256,1050200,GM9001 ,2015JJ00,400.0,1.9,29.4,24.6,19.1,15.6
257,1050200,GM9001 ,2016JJ00,400.0,1.9,30.6,26.6,19.7,16.3
258,1050200,GM9001 ,2017JJ00,450.0,2.0,32.3,26.6,20.8,16.7
259,1050200,GM9001 ,2018JJ00,500.0,2.0,31.4,26.6,19.9,17.1
260,1050200,GM9001 ,2019JJ00,500.0,2.0,32.4,28.2,20.9,17.9
261,1050200,GM9001 ,2020JJ00,500.0,2.0,34.1,27.9,22.0,17.9
262,1050200,GM9001 ,2021JJ00,550.0,1.9,33.0,27.8,21.1,18.0
263,1050200,GM9001 ,2022JJ00,600.0,1.9,35.6,29.7,22.9,19.4
264,1050200,GM9002 ,2011JJ00,50.0,,,,,
265,1050200,GM9002 ,2012JJ00,50.0,,,,,
266,1050200,GM9002 ,2013JJ00,50.0,,,,,
267,1050200,GM9002 ,2014JJ00,50.0,,,,,
268,1050200,GM9002 ,2015JJ00,50.0,,,,,
269,1050200,GM9002 ,2016JJ00,100.0,,,,,
270,1050200,GM9002 ,2017JJ00,100.0,,,,,
271,1050200,GM9002 ,2018JJ00,100.0,,,,,
272,1050200,GM9002 ,2019JJ00,100.0,1.8,40.5,32.6,26.5,21.4
273,1050200,GM9002 ,2020JJ00,150.0,1.7,39.2,31.1,25.7,19.8
274,1050200,GM9002 ,2021JJ00,150.0,1.9,38.8,33.4,24.6,19.4
275,1050200,GM9002 ,2022JJ00,150.0,1.8,38.7,33.8,24.4,21.8
276,1050200,GM9003 ,2011JJ00,50.0,,,,,
277,1050200,GM9003 ,2012JJ00,50.0,,,,,
278,1050200,GM9003 ,2013JJ00,50.0,,,,,
279,1050200,GM9003 ,2014JJ00,50.0,,,,,
280,1050200,GM9003 ,2015JJ00,50.0,,,,,
281,1050200,GM9003 ,2016JJ00,50.0,,,,,
282,1050200,GM9003 ,2017JJ00,50.0,,,,,
283,1050200,GM9003 ,2018JJ00,50.0,,,,,
284,1050200,GM9003 ,2019JJ00,50.0,,,,,
285,1050200,GM9003 ,2020JJ00,50.0,,,,,
286,1050200,GM9003 ,2021JJ00,50.0,,,,,
287,1050200,GM9003 ,2022JJ00,50.0,,,,,
288,1050055,CN01   ,2011JJ00,2700.0,1.9,36.6,30.6,21.9,17.9
289,1050055,CN01   ,2012JJ00,2850.0,1.9,38.0,31.7,22.9,19.0
290,1050055,CN01   ,2013JJ00,3050.0,1.9,38.5,32.6,23.3,19.5
291,1050055,CN01   ,2014JJ00,3300.0,1.9,40.0,32.8,24.1,19.5
292,1050055,CN01   ,2015JJ00,3400.0,1.9,41.5,33.9,25.0,20.3
293,1050055,CN01   ,2016JJ00,3650.0,2.0,42.1,34.1,25.3,20.6
294,1050055,CN01   ,2017JJ00,3850.0,2.0,43.7,35.6,26.3,21.4
295,1050055,CN01   ,2018JJ00,4050.0,2.0,44.5,36.4,26.9,21.8
296,1050055,CN01   ,2019JJ00,4100.0,2.0,46.8,38.2,28.3,22.7
297,1050055,CN01   ,2020JJ00,4050.0,2.0,47.0,38.3,28.3,22.9
298,1050055,CN01   ,2021JJ00,4200.0,2.0,47.8,38.9,28.8,23.4
299,1050055,CN01   ,2022JJ00,4300.0,2.0,48.9,40.0,29.5,24.0
300,1050055,GM9001 ,2011JJ00,2150.0,2.0,36.2,30.6,21.8,17.9
301,1050055,GM9001 ,2012JJ00,2300.0,1.9,37.5,31.4,22.6,18.8
302,1050055,GM9001 ,2013JJ00,2450.0,1.9,38.0,32.2,23.0,19.4
303,1050055,GM9001 ,2014JJ00,2650.0,2.0,39.8,32.5,24.0,19.2
304,1050055,GM9001 ,2015JJ00,2750.0,2.0,40.7,33.4,24.5,20.0
305,1050055,GM9001 ,2016JJ00,2950.0,2.0,42.0,34.1,25.3,20.5
306,1050055,GM9001 ,2017JJ00,3200.0,2.0,43.1,35.1,26.0,21.1
307,1050055,GM9001 ,2018JJ00,3400.0,2.0,43.5,35.8,26.3,21.4
308,1050055,GM9001 ,2019JJ00,3450.0,2.0,45.5,37.1,27.6,22.2
309,1050055,GM9001 ,2020JJ00,3450.0,2.0,45.7,37.1,27.6,22.3
310,1050055,GM9001 ,2021JJ00,3550.0,2.0,47.0,37.7,28.4,23.0
311,1050055,GM9001 ,2022JJ00,3650.0,2.0,48.1,39.1,29.0,23.4
312,1050055,GM9002 ,2011JJ00,300.0,1.6,39.2,31.7,22.7,18.4
313,1050055,GM9002 ,2012JJ00,300.0,1.7,40.6,32.9,23.6,19.4
314,1050055,GM9002 ,2013JJ00,350.0,1.7,42.0,35.5,24.8,21.1
315,1050055,GM9002 ,2014JJ00,400.0,1.6,41.5,34.3,24.7,20.0
316,1050055,GM9002 ,2015JJ00,350.0,1.8,48.3,41.6,29.0,24.0
317,1050055,GM9002 ,2016JJ00,400.0,1.8,46.3,38.3,27.4,22.6
318,1050055,GM9002 ,2017JJ00,400.0,1.9,51.6,43.5,30.1,25.4
319,1050055,GM9002 ,2018JJ00,400.0,1.9,53.9,45.0,32.0,26.2
320,1050055,GM9002 ,2019JJ00,400.0,2.0,57.4,47.5,34.1,29.3
321,1050055,GM9002 ,2020JJ00,400.0,2.0,57.9,52.8,34.7,29.7
322,1050055,GM9002 ,2021JJ00,350.0,1.9,55.1,46.5,32.8,28.7
323,1050055,GM9002 ,2022JJ00,350.0,2.0,54.7,48.0,32.6,28.4
324,1050055,GM9003 ,2011JJ00,250.0,1.8,37.1,30.4,22.8,17.9
325,1050055,GM9003 ,2012JJ00,250.0,1.8,39.6,32.3,24.3,19.7
326,1050055,GM9003 ,2013JJ00,250.0,1.8,39.1,33.7,24.0,19.4
