ID,EnergySourcesTechniques,EnergyApplication,Periods,AvoidedEnergy_1,AvoidedEnergyRelative_2,AvoidedEmission_3,AvoidedEmissionRelative_4
86,T001028 ,E006608 ,2006JJ00,23271.0,0.71,,
87,T001028 ,E006608 ,2007JJ00,24451.0,0.74,,
88,T001028 ,E006608 ,2008JJ00,25783.0,0.79,,
89,T001028 ,E006608 ,2009JJ00,28286.0,0.87,1625.0,0.95
90,T001028 ,E006608 ,2010JJ00,29237.0,0.84,1692.0,0.93
91,T001028 ,E006608 ,2011JJ00,31253.0,0.97,1784.0,1.05
92,T001028 ,E006608 ,2012JJ00,33923.0,1.04,1916.0,1.15
93,T001028 ,E006608 ,2013JJ00,37276.0,1.17,2080.0,1.25
94,T001028 ,E006608 ,2014JJ00,40733.0,1.34,2248.0,1.42
95,T001028 ,E006608 ,2015JJ00,46218.0,1.48,2508.0,1.5
96,T001028 ,E006608 ,2016JJ00,46672.0,1.48,2545.0,1.52
97,T001028 ,E006608 ,2017JJ00,51414.0,1.62,2832.0,1.72
98,T001028 ,E006608 ,2018JJ00,53100.0,1.7,2942.0,1.83
99,T001028 ,E006608 ,2019JJ00,62398.0,2.03,3558.0,2.32
100,T001028 ,E006608 ,2020JJ00,68762.0,2.31,4042.0,2.93
101,T001028 ,E006608 ,2021JJ00,70821.0,2.22,4102.0,2.73
102,T001028 ,E006608 ,2022JJ00,66254.0,2.28,3756.0,2.7
103,T001028 ,E006608 ,2023JJ00,67644.0,2.38,3899.0,3.03
104,T001028 ,E006608 ,2024JJ00,74473.0,2.58,4331.0,3.4
105,T001028 ,E007028 ,1990JJ00,0.0,0.0,0.0,0.0
106,T001028 ,E007028 ,1991JJ00,0.0,0.0,0.0,0.0
107,T001028 ,E007028 ,1992JJ00,0.0,0.0,0.0,0.0
108,T001028 ,E007028 ,1993JJ00,0.0,0.0,0.0,0.0
109,T001028 ,E007028 ,1994JJ00,0.0,0.0,0.0,0.0
110,T001028 ,E007028 ,1995JJ00,0.0,0.0,0.0,0.0
111,T001028 ,E007028 ,1996JJ00,0.0,0.0,0.0,0.0
112,T001028 ,E007028 ,1997JJ00,0.0,0.0,0.0,0.0
113,T001028 ,E007028 ,1998JJ00,0.0,0.0,0.0,0.0
114,T001028 ,E007028 ,1999JJ00,0.0,0.0,0.0,0.0
115,T001028 ,E007028 ,2000JJ00,0.0,0.0,0.0,0.0
116,T001028 ,E007028 ,2001JJ00,0.0,0.0,0.0,0.0
117,T001028 ,E007028 ,2002JJ00,0.0,0.0,0.0,0.0
118,T001028 ,E007028 ,2003JJ00,134.0,0.0,,
119,T001028 ,E007028 ,2004JJ00,134.0,0.0,,
120,T001028 ,E007028 ,2005JJ00,101.0,0.0,,
121,T001028 ,E007028 ,2006JJ00,1766.0,0.05,,
122,T001028 ,E007028 ,2007JJ00,13031.0,0.4,,
123,T001028 ,E007028 ,2008JJ00,12048.0,0.37,,
124,T001028 ,E007028 ,2009JJ00,15606.0,0.48,730.0,0.43
125,T001028 ,E007028 ,2010JJ00,9577.0,0.28,518.0,0.28
126,T001028 ,E007028 ,2011JJ00,13790.0,0.43,812.0,0.48
127,T001028 ,E007028 ,2012JJ00,12877.0,0.4,807.0,0.49
128,T001028 ,E007028 ,2013JJ00,12433.0,0.39,815.0,0.49
129,T001028 ,E007028 ,2014JJ00,14380.0,0.47,947.0,0.6
130,T001028 ,E007028 ,2015JJ00,12576.0,0.4,793.0,0.48
131,T001028 ,E007028 ,2016JJ00,9907.0,0.31,652.0,0.39
132,T001028 ,E007028 ,2017JJ00,12703.0,0.4,874.0,0.53
133,T001028 ,E007028 ,2018JJ00,21262.0,0.68,1482.0,0.92
134,T001028 ,E007028 ,2019JJ00,26658.0,0.87,1943.0,1.27
135,T001028 ,E007028 ,2020JJ00,23656.0,0.8,1685.0,1.22
136,T001028 ,E007028 ,2021JJ00,26415.0,0.83,2080.0,1.38
137,T001028 ,E007028 ,2022JJ00,25463.0,0.88,1982.0,1.43
138,T001028 ,E007028 ,2023JJ00,27097.0,0.95,2121.0,1.65
139,T001028 ,E007028 ,2024JJ00,42277.0,1.46,3376.0,2.65
140,E006587 ,E007022 ,1990JJ00,818.0,0.03,59.0,0.04
141,E006587 ,E007022 ,1991JJ00,910.0,0.03,63.0,0.04
142,E006587 ,E007022 ,1992JJ00,994.0,0.03,68.0,0.04
143,E006587 ,E007022 ,1993JJ00,975.0,0.03,67.0,0.04
144,E006587 ,E007022 ,1994JJ00,972.0,0.03,68.0,0.04
145,E006587 ,E007022 ,1995JJ00,945.0,0.03,67.0,0.04
146,E006587 ,E007022 ,1996JJ00,898.0,0.03,63.0,0.03
147,E006587 ,E007022 ,1997JJ00,856.0,0.03,62.0,0.04
148,E006587 ,E007022 ,1998JJ00,871.0,0.03,62.0,0.03
149,E006587 ,E007022 ,1999JJ00,867.0,0.03,60.0,0.04
150,E006587 ,E007022 ,2000JJ00,911.0,0.03,65.0,0.04
151,E006587 ,E007022 ,2001JJ00,938.0,0.03,66.0,0.04
152,E006587 ,E007022 ,2002JJ00,946.0,0.03,67.0,0.04
153,E006587 ,E007022 ,2003JJ00,921.0,0.03,65.0,0.04
154,E006587 ,E007022 ,2004JJ00,904.0,0.03,63.0,0.03
155,E006587 ,E007022 ,2005JJ00,904.0,0.03,62.0,0.04
156,E006587 ,E007022 ,2006JJ00,885.0,0.03,62.0,0.04
157,E006587 ,E007022 ,2007JJ00,871.0,0.03,60.0,0.03
158,E006587 ,E007022 ,2008JJ00,890.0,0.03,61.0,0.03
159,E006587 ,E007022 ,2009JJ00,872.0,0.03,60.0,0.03
160,E006587 ,E007022 ,2010JJ00,861.0,0.02,58.0,0.03
161,E006587 ,E007022 ,2011JJ00,826.0,0.03,56.0,0.03
162,E006587 ,E007022 ,2012JJ00,863.0,0.03,61.0,0.04
163,E006587 ,E007022 ,2013JJ00,854.0,0.03,63.0,0.04
164,E006587 ,E007022 ,2014JJ00,885.0,0.03,65.0,0.04
165,E006587 ,E007022 ,2015JJ00,858.0,0.03,67.0,0.04
166,E006587 ,E007022 ,2016JJ00,821.0,0.03,61.0,0.04
167,E006587 ,E007022 ,2017JJ00,761.0,0.02,56.0,0.03
168,E006587 ,E007022 ,2018JJ00,748.0,0.02,53.0,0.03
169,E006587 ,E007022 ,2019JJ00,713.0,0.02,46.0,0.03
170,E006587 ,E007022 ,2020JJ00,676.0,0.02,38.0,0.03
171,E006587 ,E007022 ,2021JJ00,721.0,0.02,46.0,0.03
172,E006587 ,E007022 ,2022JJ00,705.0,0.02,45.0,0.03
173,E006587 ,E007022 ,2023JJ00,681.0,0.02,40.0,0.03
174,E006587 ,E007022 ,2024JJ00,659.0,0.02,38.0,0.03
175,E006587 ,E006607 ,1990JJ00,818.0,0.03,59.0,0.04
176,E006587 ,E006607 ,1991JJ00,910.0,0.03,63.0,0.04
177,E006587 ,E006607 ,1992JJ00,994.0,0.03,68.0,0.04
178,E006587 ,E006607 ,1993JJ00,975.0,0.03,67.0,0.04
179,E006587 ,E006607 ,1994JJ00,972.0,0.03,68.0,0.04
180,E006587 ,E006607 ,1995JJ00,945.0,0.03,67.0,0.04
181,E006587 ,E006607 ,1996JJ00,898.0,0.03,63.0,0.03
182,E006587 ,E006607 ,1997JJ00,856.0,0.03,62.0,0.04
183,E006587 ,E006607 ,1998JJ00,871.0,0.03,62.0,0.03
184,E006587 ,E006607 ,1999JJ00,867.0,0.03,60.0,0.04
185,E006587 ,E006607 ,2000JJ00,911.0,0.03,65.0,0.04
186,E006587 ,E006607 ,2001JJ00,938.0,0.03,66.0,0.04
187,E006587 ,E006607 ,2002JJ00,946.0,0.03,67.0,0.04
188,E006587 ,E006607 ,2003JJ00,921.0,0.03,65.0,0.04
189,E006587 ,E006607 ,2004JJ00,904.0,0.03,63.0,0.03
190,E006587 ,E006607 ,2005JJ00,904.0,0.03,62.0,0.04
191,E006587 ,E006607 ,2006JJ00,885.0,0.03,62.0,0.04
192,E006587 ,E006607 ,2007JJ00,871.0,0.03,60.0,0.03
193,E006587 ,E006607 ,2008JJ00,890.0,0.03,61.0,0.03
194,E006587 ,E006607 ,2009JJ00,872.0,0.03,60.0,0.03
195,E006587 ,E006607 ,2010JJ00,861.0,0.02,58.0,0.03
196,E006587 ,E006607 ,2011JJ00,826.0,0.03,56.0,0.03
197,E006587 ,E006607 ,2012JJ00,863.0,0.03,61.0,0.04
198,E006587 ,E006607 ,2013JJ00,854.0,0.03,63.0,0.04
199,E006587 ,E006607 ,2014JJ00,885.0,0.03,65.0,0.04
200,E006587 ,E006607 ,2015JJ00,858.0,0.03,67.0,0.04
201,E006587 ,E006607 ,2016JJ00,821.0,0.03,61.0,0.04
202,E006587 ,E006607 ,2017JJ00,761.0,0.02,56.0,0.03
203,E006587 ,E006607 ,2018JJ00,748.0,0.02,53.0,0.03
204,E006587 ,E006607 ,2019JJ00,713.0,0.02,46.0,0.03
205,E006587 ,E006607 ,2020JJ00,676.0,0.02,38.0,0.03
206,E006587 ,E006607 ,2021JJ00,721.0,0.02,46.0,0.03
207,E006587 ,E006607 ,2022JJ00,705.0,0.02,45.0,0.03
208,E006587 ,E006607 ,2023JJ00,681.0,0.02,40.0,0.03
209,E006587 ,E006607 ,2024JJ00,659.0,0.02,38.0,0.03
210,E006587 ,E006608 ,1990JJ00,,,,
211,E006587 ,E006608 ,1991JJ00,,,,
212,E006587 ,E006608 ,1992JJ00,,,,
213,E006587 ,E006608 ,1993JJ00,,,,
214,E006587 ,E006608 ,1994JJ00,,,,
215,E006587 ,E006608 ,1995JJ00,,,,
216,E006587 ,E006608 ,1996JJ00,,,,
217,E006587 ,E006608 ,1997JJ00,,,,
218,E006587 ,E006608 ,1998JJ00,,,,
219,E006587 ,E006608 ,1999JJ00,,,,
220,E006587 ,E006608 ,2000JJ00,,,,
221,E006587 ,E006608 ,2001JJ00,,,,
222,E006587 ,E006608 ,2002JJ00,,,,
223,E006587 ,E006608 ,2003JJ00,,,,
224,E006587 ,E006608 ,2004JJ00,,,,
225,E006587 ,E006608 ,2005JJ00,,,,
226,E006587 ,E006608 ,2006JJ00,,,,
227,E006587 ,E006608 ,2007JJ00,,,,
228,E006587 ,E006608 ,2008JJ00,,,,
229,E006587 ,E006608 ,2009JJ00,,,,
230,E006587 ,E006608 ,2010JJ00,,,,
231,E006587 ,E006608 ,2011JJ00,,,,
232,E006587 ,E006608 ,2012JJ00,,,,
233,E006587 ,E006608 ,2013JJ00,,,,
234,E006587 ,E006608 ,2014JJ00,,,,
235,E006587 ,E006608 ,2015JJ00,,,,
236,E006587 ,E006608 ,2016JJ00,,,,
237,E006587 ,E006608 ,2017JJ00,,,,
238,E006587 ,E006608 ,2018JJ00,,,,
239,E006587 ,E006608 ,2019JJ00,,,,
240,E006587 ,E006608 ,2020JJ00,,,,
241,E006587 ,E006608 ,2021JJ00,,,,
242,E006587 ,E006608 ,2022JJ00,,,,
243,E006587 ,E006608 ,2023JJ00,,,,
244,E006587 ,E006608 ,2024JJ00,,,,
245,E006587 ,E007028 ,1990JJ00,,,,
246,E006587 ,E007028 ,1991JJ00,,,,
247,E006587 ,E007028 ,1992JJ00,,,,
248,E006587 ,E007028 ,1993JJ00,,,,
249,E006587 ,E007028 ,1994JJ00,,,,
250,E006587 ,E007028 ,1995JJ00,,,,
251,E006587 ,E007028 ,1996JJ00,,,,
252,E006587 ,E007028 ,1997JJ00,,,,
253,E006587 ,E007028 ,1998JJ00,,,,
254,E006587 ,E007028 ,1999JJ00,,,,
255,E006587 ,E007028 ,2000JJ00,,,,
256,E006587 ,E007028 ,2001JJ00,,,,
257,E006587 ,E007028 ,2002JJ00,,,,
258,E006587 ,E007028 ,2003JJ00,,,,
259,E006587 ,E007028 ,2004JJ00,,,,
260,E006587 ,E007028 ,2005JJ00,,,,
261,E006587 ,E007028 ,2006JJ00,,,,
262,E006587 ,E007028 ,2007JJ00,,,,
263,E006587 ,E007028 ,2008JJ00,,,,
264,E006587 ,E007028 ,2009JJ00,,,,
265,E006587 ,E007028 ,2010JJ00,,,,
266,E006587 ,E007028 ,2011JJ00,,,,
267,E006587 ,E007028 ,2012JJ00,,,,
268,E006587 ,E007028 ,2013JJ00,,,,
269,E006587 ,E007028 ,2014JJ00,,,,
270,E006587 ,E007028 ,2015JJ00,,,,
271,E006587 ,E007028 ,2016JJ00,,,,
272,E006587 ,E007028 ,2017JJ00,,,,
273,E006587 ,E007028 ,2018JJ00,,,,
274,E006587 ,E007028 ,2019JJ00,,,,
275,E006587 ,E007028 ,2020JJ00,,,,
276,E006587 ,E007028 ,2021JJ00,,,,
277,E006587 ,E007028 ,2022JJ00,,,,
278,E006587 ,E007028 ,2023JJ00,,,,
279,E006587 ,E007028 ,2024JJ00,,,,
280,E006588 ,E007022 ,1990JJ00,539.0,0.02,39.0,0.02
281,E006588 ,E007022 ,1991JJ00,847.0,0.03,59.0,0.03
282,E006588 ,E007022 ,1992JJ00,1319.0,0.05,90.0,0.05
283,E006588 ,E007022 ,1993JJ00,1686.0,0.06,115.0,0.07
284,E006588 ,E007022 ,1994JJ00,2140.0,0.07,150.0,0.09
285,E006588 ,E007022 ,1995JJ00,3025.0,0.1,215.0,0.12
286,E006588 ,E007022 ,1996JJ00,4093.0,0.13,287.0,0.16
287,E006588 ,E007022 ,1997JJ00,4403.0,0.14,318.0,0.18
288,E006588 ,E007022 ,1998JJ00,5128.0,0.16,365.0,0.21
289,E006588 ,E007022 ,1999JJ00,5780.0,0.19,401.0,0.23
290,E006588 ,E007022 ,2000JJ00,6745.0,0.22,481.0,0.28
291,E006588 ,E007022 ,2001JJ00,7565.0,0.24,536.0,0.3
292,E006588 ,E007022 ,2002JJ00,9416.0,0.29,666.0,0.38
293,E006588 ,E007022 ,2003JJ00,12479.0,0.37,877.0,0.49
294,E006588 ,E007022 ,2004JJ00,15946.0,0.47,1110.0,0.61
295,E006588 ,E007022 ,2005JJ00,18348.0,0.55,1264.0,0.71
296,E006588 ,E007022 ,2006JJ00,22414.0,0.68,1567.0,0.91
297,E006588 ,E007022 ,2007JJ00,27728.0,0.84,1913.0,1.11
298,E006588 ,E007022 ,2008JJ00,34890.0,1.07,2404.0,1.37
299,E006588 ,E007022 ,2009JJ00,39058.0,1.21,2668.0,1.57
300,E006588 ,E007022 ,2010JJ00,38320.0,1.1,2583.0,1.42
301,E006588 ,E007022 ,2011JJ00,39367.0,1.22,2653.0,1.57
302,E006588 ,E007022 ,2012JJ00,42378.0,1.3,3013.0,1.81
303,E006588 ,E007022 ,2013JJ00,45298.0,1.43,3334.0,2.01
304,E006588 ,E007022 ,2014JJ00,50020.0,1.65,3676.0,2.31
305,E006588 ,E007022 ,2015JJ00,60218.0,1.93,4691.0,2.81
306,E006588 ,E007022 ,2016JJ00,73216.0,2.32,5462.0,3.27
307,E006588 ,E007022 ,2017JJ00,82374.0,2.6,6022.0,3.65
308,E006588 ,E007022 ,2018JJ00,82553.0,2.65,5836.0,3.63
309,E006588 ,E007022 ,2019JJ00,84017.0,2.74,5377.0,3.5
310,E006588 ,E007022 ,2020JJ00,108777.0,3.66,6168.0,4.47
311,E006588 ,E007022 ,2021JJ00,151313.0,4.74,9562.0,6.36
312,E006588 ,E007022 ,2022JJ00,174330.0,6.01,11045.0,7.95
313,E006588 ,E007022 ,2023JJ00,217804.0,7.66,12656.0,9.84
314,E006588 ,E007022 ,2024JJ00,254219.0,8.79,14626.0,11.48
315,E006588 ,E006607 ,1990JJ00,539.0,0.02,39.0,0.02
316,E006588 ,E006607 ,1991JJ00,847.0,0.03,59.0,0.03
317,E006588 ,E006607 ,1992JJ00,1319.0,0.05,90.0,0.05
318,E006588 ,E006607 ,1993JJ00,1686.0,0.06,115.0,0.07
319,E006588 ,E006607 ,1994JJ00,2140.0,0.07,150.0,0.09
320,E006588 ,E006607 ,1995JJ00,3025.0,0.1,215.0,0.12
321,E006588 ,E006607 ,1996JJ00,4093.0,0.13,287.0,0.16
322,E006588 ,E006607 ,1997JJ00,4403.0,0.14,318.0,0.18
323,E006588 ,E006607 ,1998JJ00,5128.0,0.16,365.0,0.21
324,E006588 ,E006607 ,1999JJ00,5780.0,0.19,401.0,0.23
325,E006588 ,E006607 ,2000JJ00,6745.0,0.22,481.0,0.28
326,E006588 ,E006607 ,2001JJ00,7565.0,0.24,536.0,0.3
327,E006588 ,E006607 ,2002JJ00,9416.0,0.29,666.0,0.38
328,E006588 ,E006607 ,2003JJ00,12479.0,0.37,877.0,0.49
329,E006588 ,E006607 ,2004JJ00,15946.0,0.47,1110.0,0.61
330,E006588 ,E006607 ,2005JJ00,18348.0,0.55,1264.0,0.71
331,E006588 ,E006607 ,2006JJ00,22414.0,0.68,1567.0,0.91
332,E006588 ,E006607 ,2007JJ00,27728.0,0.84,1913.0,1.11
333,E006588 ,E006607 ,2008JJ00,34890.0,1.07,2404.0,1.37
334,E006588 ,E006607 ,2009JJ00,39058.0,1.21,2668.0,1.57
335,E006588 ,E006607 ,2010JJ00,38320.0,1.1,2583.0,1.42
336,E006588 ,E006607 ,2011JJ00,39367.0,1.22,2653.0,1.57
337,E006588 ,E006607 ,2012JJ00,42378.0,1.3,3013.0,1.81
338,E006588 ,E006607 ,2013JJ00,45298.0,1.43,3334.0,2.01
339,E006588 ,E006607 ,2014JJ00,50020.0,1.65,3676.0,2.31
340,E006588 ,E006607 ,2015JJ00,60218.0,1.93,4691.0,2.81
341,E006588 ,E006607 ,2016JJ00,73216.0,2.32,5462.0,3.27
342,E006588 ,E006607 ,2017JJ00,82374.0,2.6,6022.0,3.65
343,E006588 ,E006607 ,2018JJ00,82553.0,2.65,5836.0,3.63
344,E006588 ,E006607 ,2019JJ00,84017.0,2.74,5377.0,3.5
345,E006588 ,E006607 ,2020JJ00,108777.0,3.66,6168.0,4.47
346,E006588 ,E006607 ,2021JJ00,151313.0,4.74,9562.0,6.36
347,E006588 ,E006607 ,2022JJ00,174330.0,6.01,11045.0,7.95
348,E006588 ,E006607 ,2023JJ00,217804.0,7.66,12656.0,9.84
349,E006588 ,E006607 ,2024JJ00,254219.0,8.79,14626.0,11.48
350,E006588 ,E006608 ,1990JJ00,,,,
351,E006588 ,E006608 ,1991JJ00,,,,
352,E006588 ,E006608 ,1992JJ00,,,,
353,E006588 ,E006608 ,1993JJ00,,,,
354,E006588 ,E006608 ,1994JJ00,,,,
355,E006588 ,E006608 ,1995JJ00,,,,
356,E006588 ,E006608 ,1996JJ00,,,,
357,E006588 ,E006608 ,1997JJ00,,,,
358,E006588 ,E006608 ,1998JJ00,,,,
359,E006588 ,E006608 ,1999JJ00,,,,
360,E006588 ,E006608 ,2000JJ00,,,,
361,E006588 ,E006608 ,2001JJ00,,,,
362,E006588 ,E006608 ,2002JJ00,,,,
363,E006588 ,E006608 ,2003JJ00,,,,
364,E006588 ,E006608 ,2004JJ00,,,,
365,E006588 ,E006608 ,2005JJ00,,,,
366,E006588 ,E006608 ,2006JJ00,,,,
367,E006588 ,E006608 ,2007JJ00,,,,
368,E006588 ,E006608 ,2008JJ00,,,,
369,E006588 ,E006608 ,2009JJ00,,,,
370,E006588 ,E006608 ,2010JJ00,,,,
371,E006588 ,E006608 ,2011JJ00,,,,
372,E006588 ,E006608 ,2012JJ00,,,,
373,E006588 ,E006608 ,2013JJ00,,,,
374,E006588 ,E006608 ,2014JJ00,,,,
375,E006588 ,E006608 ,2015JJ00,,,,
376,E006588 ,E006608 ,2016JJ00,,,,
377,E006588 ,E006608 ,2017JJ00,,,,
378,E006588 ,E006608 ,2018JJ00,,,,
379,E006588 ,E006608 ,2019JJ00,,,,
380,E006588 ,E006608 ,2020JJ00,,,,
381,E006588 ,E006608 ,2021JJ00,,,,
382,E006588 ,E006608 ,2022JJ00,,,,
383,E006588 ,E006608 ,2023JJ00,,,,
384,E006588 ,E006608 ,2024JJ00,,,,
385,E006588 ,E007028 ,1990JJ00,,,,
386,E006588 ,E007028 ,1991JJ00,,,,
387,E006588 ,E007028 ,1992JJ00,,,,
388,E006588 ,E007028 ,1993JJ00,,,,
389,E006588 ,E007028 ,1994JJ00,,,,
390,E006588 ,E007028 ,1995JJ00,,,,
391,E006588 ,E007028 ,1996JJ00,,,,
392,E006588 ,E007028 ,1997JJ00,,,,
393,E006588 ,E007028 ,1998JJ00,,,,
394,E006588 ,E007028 ,1999JJ00,,,,
395,E006588 ,E007028 ,2000JJ00,,,,
396,E006588 ,E007028 ,2001JJ00,,,,
397,E006588 ,E007028 ,2002JJ00,,,,
398,E006588 ,E007028 ,2003JJ00,,,,
399,E006588 ,E007028 ,2004JJ00,,,,
400,E006588 ,E007028 ,2005JJ00,,,,
401,E006588 ,E007028 ,2006JJ00,,,,
402,E006588 ,E007028 ,2007JJ00,,,,
403,E006588 ,E007028 ,2008JJ00,,,,
404,E006588 ,E007028 ,2009JJ00,,,,
405,E006588 ,E007028 ,2010JJ00,,,,
406,E006588 ,E007028 ,2011JJ00,,,,
407,E006588 ,E007028 ,2012JJ00,,,,
408,E006588 ,E007028 ,2013JJ00,,,,
409,E006588 ,E007028 ,2014JJ00,,,,
410,E006588 ,E007028 ,2015JJ00,,,,
