ID,RegioS,PersonenMetMigraine_1,PersonenMetAstmaCARA_2,PersonenMetRugaandoening_3,PersonenMetGewrichtsslijtage_4,PersonenMetSuikerziekteTotaal_5,PersonenMetSuikerziekteType1_6,PersonenMetSuikerziekteType2_7,PersonenDieOoitBeroerteHebbenGehad_8,PersDieOoitHartinfarctHebbenGehad_9,PsychischeGezondheidMHI5_10,PersonenMetMoeheidsklachten_11,PersonenMetSlapeloosheid_12,PersonenMetMinstensEenMalaiseklacht_13,PersonenMetMinstensEenOESOKlacht_14,PersonenMetBeweegklachten_15,Rokers_16,ZwareRokers_17,Geheelonthouders_18,Alcoholgebruik_19,VoldoetAanNormGezondBewegen_20,VrouwenMetGebruikAnticonceptiepil_21,CervixUitstrijkjes_22,Mammografieen_23,PersonenMetMigraine_24,PersonenMetAstmaCARA_25,PersonenMetRugaandoening_26,PersonenMetGewrichtsslijtage_27,PersonenMetSuikerziekteTotaal_28,PersonenMetSuikerziekteType1_29,PersonenMetSuikerziekteType2_30,PersonenDieOoitBeroerteHebbenGehad_31,PersDieOoitHartinfarctHebbenGehad_32,PsychischeGezondheidMHI5_33,PersonenMetMoeheidsklachten_34,PersonenMetSlapeloosheid_35,PersonenMetMinstensEensMalaiseklacht_36,PersonenMetMinstensEenOESOKlacht_37,PersonenMetBeweegklachten_38,Rokers_39,ZwareRokers_40,Geheelonthouders_41,Alcoholgebruik_42,VoldoetAanNormGezondBewegen_43,VrouwenMetGebruikAnticonceptiepil_44,CervixUitstrijkjes_45,Mammografieen_46
14,PV29,14,7,7,11,2,1,2,2,2,9,38,20,65,11,7,30,7,19,15,56,33,70,73,13,7,7,10,2,1,2,2,2,8,38,19,65,10,7,31,7,18,15,54,32,69,70
15,PV30,13,7,9,9,3,1,2,2,2,10,39,20,68,12,8,31,10,18,21,53,43,70,80,13,7,9,9,3,1,3,2,2,10,39,20,68,12,8,31,10,18,21,53,43,69,78
16,PV31,16,8,10,10,3,1,2,2,3,12,43,26,73,14,9,31,9,18,20,49,46,69,78,16,8,9,9,3,1,2,2,3,12,43,25,72,13,8,31,9,18,19,49,47,70,79
17,90  ,14,10,7,7,2,0,2,2,2,8,40,20,70,12,7,31,8,19,19,55,37,66,80,14,10,7,7,2,0,2,1,2,8,41,19,70,11,7,31,8,19,19,53,41,65,78
18,100 ,11,6,8,7,2,1,1,1,1,9,40,18,69,10,6,32,7,18,19,53,41,73,80,11,6,8,8,2,1,1,1,1,9,40,18,69,11,7,32,7,19,18,53,40,68,78
19,110 ,12,8,9,10,3,1,2,1,3,9,42,21,73,13,8,32,8,19,21,56,40,66,79,12,8,10,10,3,1,2,1,3,9,42,21,73,12,8,32,8,19,21,56,40,67,79
20,140 ,12,8,8,10,3,1,2,1,2,8,39,20,68,11,7,30,8,17,19,58,41,73,80,12,8,8,10,3,1,2,1,2,8,40,20,69,11,8,30,9,18,19,58,43,72,79
21,160 ,14,8,5,7,3,1,2,2,1,8,43,23,70,10,6,28,5,25,12,58,42,68,70,15,7,6,8,3,1,2,3,1,8,43,23,72,10,6,29,5,23,13,57,41,71,68
22,190 ,13,7,7,10,2,0,2,1,2,9,43,22,68,12,7,32,8,18,16,53,42,68,74,13,7,7,9,2,0,2,1,2,9,43,22,68,11,7,32,8,18,16,52,42,70,75
23,200 ,14,6,7,8,3,1,2,2,3,7,41,20,70,12,7,32,10,23,16,49,48,68,87,14,5,7,11,4,1,3,2,4,9,43,21,71,14,9,31,9,25,15,49,46,61,82
24,210 ,13,9,6,8,2,0,2,1,3,10,45,20,71,12,8,32,8,14,19,53,48,70,77,12,9,6,9,2,1,2,2,4,10,45,20,71,12,9,32,8,15,19,53,48,69,79
25,220 ,13,7,7,8,1,0,1,1,1,9,44,19,70,12,8,29,9,20,14,48,36,64,77,12,7,9,10,2,0,1,1,1,9,44,20,71,13,9,29,10,20,15,50,36,61,76
26,230 ,12,8,7,9,2,0,2,1,2,10,43,20,68,11,8,32,8,18,21,50,42,65,62,12,8,7,10,2,0,2,1,2,10,42,21,69,11,8,32,8,18,20,50,42,68,66
27,240 ,13,7,6,7,3,1,2,2,2,13,53,23,78,10,6,32,8,19,21,56,53,70,70,12,8,8,8,3,1,3,2,2,12,49,22,76,14,8,31,7,22,20,56,47,64,68
28,270 ,11,6,10,11,3,1,1,1,2,8,40,17,68,12,8,33,6,16,20,61,48,73,73,11,6,10,10,2,1,1,1,2,8,39,16,68,12,8,33,6,16,21,62,48,71,77
29,280 ,15,6,8,7,2,0,1,2,1,8,44,20,71,12,6,30,6,14,21,57,45,68,80,15,5,8,7,2,0,2,2,2,8,44,20,72,13,6,30,6,14,22,58,43,67,79
30,290 ,11,5,7,7,2,0,2,1,1,11,45,20,73,11,7,28,5,16,19,52,40,65,74,11,5,7,7,2,0,2,1,2,11,45,21,73,11,7,28,6,15,19,54,39,68,73
31,300 ,12,8,10,9,3,1,3,2,3,13,44,23,75,13,9,32,10,17,20,52,35,73,76,12,8,10,8,3,1,2,2,2,13,45,24,75,12,8,32,9,18,19,50,40,74,77
32,340 ,12,7,9,9,4,1,3,2,2,16,51,25,73,16,12,34,11,22,23,48,40,67,68,14,8,9,9,4,1,3,2,2,16,51,25,74,16,11,34,10,23,23,47,38,70,67
33,350 ,14,4,9,9,2,0,2,1,2,8,49,21,74,11,6,31,8,16,24,54,40,68,71,14,5,8,8,2,0,2,1,2,8,48,20,74,10,5,31,8,16,23,55,41,69,73
34,360 ,15,8,9,11,3,1,2,2,1,11,48,26,74,12,8,33,9,12,18,58,42,58,72,14,8,10,9,2,1,2,2,1,11,47,25,74,9,6,35,10,12,20,54,48,62,76
35,390 ,14,9,8,11,4,1,4,2,3,13,51,28,77,15,11,34,11,24,20,47,39,61,58,14,9,8,10,3,1,3,2,3,12,51,28,76,13,8,34,11,22,21,48,39,66,72
36,410 ,12,7,8,9,4,1,3,2,2,8,48,21,75,11,9,28,7,17,16,56,41,64,76,12,7,8,8,4,1,3,2,2,8,48,21,75,10,8,28,7,16,15,56,40,66,78
37,450 ,16,5,8,7,2,1,1,1,2,10,43,19,68,7,4,29,7,19,19,53,35,72,85,15,5,8,8,2,1,1,1,2,10,43,19,68,7,4,29,8,19,18,54,38,64,82
38,460 ,15,8,9,11,4,1,3,1,3,14,45,22,72,13,9,34,8,22,17,42,37,59,64,16,8,9,11,4,1,3,1,3,14,45,23,72,13,9,34,8,22,17,42,37,62,66
39,470 ,12,8,7,13,2,1,1,2,1,9,41,22,68,11,8,31,11,23,20,45,48,62,68,11,9,8,12,2,1,1,2,1,9,40,21,68,10,7,32,11,24,19,46,48,66,71
40,480 ,12,7,8,9,3,1,2,1,2,11,41,22,69,10,7,30,9,23,15,49,38,63,78,12,7,8,9,3,1,2,1,3,11,41,23,70,10,7,30,9,22,15,50,37,64,80
41,490 ,12,8,7,9,3,1,2,2,2,8,45,18,70,8,5,32,9,19,15,49,34,66,82,13,8,7,9,3,1,2,2,3,9,44,19,72,8,6,32,8,20,15,48,35,65,81
42,500 ,14,7,7,11,2,1,2,2,2,9,38,20,65,11,7,30,7,19,15,56,33,70,73,13,7,7,10,2,1,2,2,2,8,38,19,65,10,7,31,7,18,15,54,32,69,70
43,570 ,16,8,9,10,4,1,4,1,2,13,48,26,75,12,10,35,12,16,20,54,40,60,77,17,8,8,8,4,1,3,1,2,12,47,25,73,11,9,35,12,16,19,53,35,66,77
44,600 ,14,8,9,8,3,0,2,2,3,9,37,22,69,12,7,30,8,18,22,50,46,75,81,14,8,9,9,3,0,2,2,3,9,38,22,69,13,8,29,8,19,21,50,46,72,80
45,610 ,16,7,11,13,3,1,2,3,3,14,46,32,76,20,13,35,11,20,14,50,48,65,80,16,7,10,10,2,1,2,3,3,13,47,30,74,17,11,36,12,19,15,49,52,69,81
46,620 ,18,8,9,11,3,1,2,3,4,14,50,27,76,13,8,31,9,15,22,47,46,63,77,17,9,8,10,3,1,2,2,4,14,49,26,74,12,7,32,10,14,21,47,47,67,81
47,630 ,19,8,9,10,4,1,3,3,5,17,49,29,77,13,9,30,7,17,18,49,44,66,71,19,9,8,9,4,1,3,3,4,15,48,28,76,12,8,31,7,18,18,47,45,68,74
48,1010,14,8,9,8,4,1,3,2,2,11,41,19,68,12,8,36,9,19,21,56,43,66,75,13,8,8,8,3,1,3,2,2,11,40,19,67,12,8,36,9,20,20,55,41,66,74
49,1040,13,7,9,10,3,1,2,1,2,8,42,21,71,12,8,33,7,18,20,56,39,62,76,13,7,9,9,3,1,2,1,2,8,42,21,70,12,8,33,7,18,19,56,38,63,76
50,1250,14,7,8,9,2,0,1,1,2,8,48,20,75,11,6,29,7,17,15,54,42,67,80,14,7,9,9,2,0,1,1,2,9,48,20,75,11,6,29,7,17,16,54,42,66,79
51,1320,11,6,11,7,3,1,1,2,2,10,46,21,72,11,8,33,8,18,22,52,41,73,83,11,6,11,8,3,1,2,2,2,11,46,22,73,12,9,32,8,18,20,52,42,72,82
52,1370,14,5,7,7,3,1,2,1,1,9,41,20,69,10,5,30,8,15,21,53,45,71,74,14,5,7,7,3,1,2,1,1,9,41,20,69,10,5,30,8,15,20,53,45,69,74
53,1510,14,8,9,8,3,1,2,2,2,10,41,18,70,12,7,31,9,18,19,53,44,71,76,13,8,9,9,3,1,3,2,2,10,41,18,70,12,8,31,9,18,19,53,45,68,74
54,1530,12,8,9,9,3,1,2,2,2,11,38,20,68,12,8,31,10,18,21,54,45,71,80,12,8,9,9,3,1,3,2,2,11,38,20,68,13,9,31,10,19,21,54,44,70,78
55,1560,14,6,8,9,3,0,2,2,2,9,36,18,66,11,6,30,9,16,23,53,40,72,86,14,6,8,10,3,1,2,2,2,9,36,19,66,12,7,30,9,16,23,53,39,69,84
