ID,Client,BuildingPhases,Periods,TotalBuildingCosts_1,BuildingCostsAlteration_2,BuildingCostsNewBuildings_3,Dwelling_4,AAgricultureForestryAndFishing_5,BFManufacturingAndEnergy_6,GITradeHotelsRestaurantsBars_7,HJTransportICT_8,KNFinancialAndBusinessServices_9,OPublicAdministrationAndServices_10,PEducation_11,QHealthAndSocialWorkActivities_12,RUCultureRecreationOtherServices_13
87,T001209,A041321,2020MM03,1652,422,1230,937.0,,,,,,,,,
88,T001209,A041321,2020KW01,4352,1090,3262,2392.0,,,,,,,,,
89,T001209,A041321,2020MM04,1777,381,1396,880.0,,,,,,,,,
90,T001209,A041321,2020MM05,1372,381,990,651.0,,,,,,,,,
91,T001209,A041321,2020MM06,1566,269,1297,890.0,,,,,,,,,
92,T001209,A041321,2020KW02,4715,1032,3683,2422.0,,,,,,,,,
93,T001209,A041321,2020MM07,2048,360,1688,1105.0,,,,,,,,,
94,T001209,A041321,2020MM08,1178,247,932,547.0,,,,,,,,,
95,T001209,A041321,2020MM09,1728,325,1403,1047.0,,,,,,,,,
96,T001209,A041321,2020KW03,4954,931,4023,2700.0,,,,,,,,,
97,T001209,A041321,2020MM10,1959,404,1555,1220.0,,,,,,,,,
98,T001209,A041321,2020MM11,1700,355,1345,864.0,,,,,,,,,
99,T001209,A041321,2020MM12,1994,350,1644,1313.0,,,,,,,,,
100,T001209,A041321,2020KW04,5652,1109,4543,3396.0,,,,,,,,,
101,T001209,A041321,2020JJ00,19674,4162,15512,10910.0,,,,,,,,,
102,T001209,A041321,2021MM01,1484,264,1219,807.0,,,,,,,,,
103,T001209,A041321,2021MM02,1714,332,1382,996.0,,,,,,,,,
104,T001209,A041321,2021MM03,2464,418,2046,1428.0,,,,,,,,,
105,T001209,A041321,2021KW01,5662,1015,4647,3231.0,,,,,,,,,
106,T001209,A041321,2021MM04,2023,325,1699,1303.0,,,,,,,,,
107,T001209,A041321,2021MM05,1763,385,1377,977.0,,,,,,,,,
108,T001209,A041321,2021MM06,1836,368,1468,1156.0,,,,,,,,,
109,T001209,A041321,2021KW02,5622,1078,4544,3437.0,,,,,,,,,
110,T001209,A041321,2021MM07,2340,500,1840,1216.0,,,,,,,,,
111,T001209,A041321,2021MM08,1284,246,1038,686.0,,,,,,,,,
112,T001209,A041321,2021MM09,1862,520,1342,877.0,,,,,,,,,
113,T001209,A041321,2021KW03,5485,1265,4220,2779.0,,,,,,,,,
114,T001209,A041321,2021MM10,1879,352,1527,1139.0,,,,,,,,,
115,T001209,A041321,2021MM11,1989,410,1579,1130.0,,,,,,,,,
116,T001209,A041321,2021MM12,2006,459,1548,1150.0,,,,,,,,,
117,T001209,A041321,2021KW04,5874,1220,4654,3418.0,,,,,,,,,
118,T001209,A041321,2021JJ00,22643,4578,18065,12865.0,,,,,,,,,
119,T001209,A041321,2022MM01,1523,282,1241,873.0,,,,,,,,,
120,T001209,A041321,2022MM02,1450,359,1091,753.0,,,,,,,,,
121,T001209,A041321,2022MM03,2322,514,1808,1316.0,,,,,,,,,
122,T001209,A041321,2022KW01,5295,1155,4140,2941.0,,,,,,,,,
123,T001209,A041321,2022MM04,1484,387,1098,827.0,,,,,,,,,
124,T001209,A041321,2022MM05,1894,455,1439,903.0,,,,,,,,,
125,T001209,A041321,2022MM06,2156,594,1562,1081.0,,,,,,,,,
126,T001209,A041321,2022KW02,5534,1435,4099,2811.0,,,,,,,,,
127,T001209,A041321,2022MM07,2157,464,1693,1165.0,,,,,,,,,
128,T001209,A041321,2022MM08,1380,341,1039,611.0,,,,,,,,,
129,T001209,A041321,2022MM09,1858,431,1427,1100.0,,,,,,,,,
130,T001209,A041321,2022KW03,5395,1236,4159,2876.0,,,,,,,,,
131,T001209,A041321,2022MM10,2135,331,1803,1188.0,,,,,,,,,
132,T001209,A041321,2022MM11,1808,361,1447,889.0,,,,,,,,,
133,T001209,A041321,2022MM12,1583,296,1287,805.0,,,,,,,,,
134,T001209,A041321,2022KW04,5526,988,4538,2882.0,,,,,,,,,
135,T001209,A041321,2022JJ00,21750,4815,16935,11511.0,,,,,,,,,
136,T001209,A041321,2023MM01,1586,299,1287,650.0,,,,,,,,,
137,T001209,A041321,2023MM02,1578,415,1163,717.0,,,,,,,,,
138,T001209,A041321,2023MM03,1772,408,1364,906.0,,,,,,,,,
139,T001209,A041321,2023KW01,4936,1122,3814,2272.0,,,,,,,,,
140,T001209,A041321,2023MM04,1873,359,1515,1028.0,,,,,,,,,
141,T001209,A041321,2023MM05,1494,352,1141,701.0,,,,,,,,,
142,T001209,A041321,2023MM06,1898,410,1489,1058.0,,,,,,,,,
143,T001209,A041321,2023KW02,5265,1121,4145,2787.0,,,,,,,,,
144,T001209,A041321,2023MM07,1527,391,1136,788.0,,,,,,,,,
145,T001209,A041321,2023MM08,1295,388,907,570.0,,,,,,,,,
146,T001209,A041321,2023MM09,1395,288,1108,866.0,,,,,,,,,
147,T001209,A041321,2023KW03,4218,1067,3151,2224.0,,,,,,,,,
148,T001209,A041321,2023MM10,2048,414,1634,1110.0,,,,,,,,,
149,T001209,A041321,2023MM11,1572,395,1177,857.0,,,,,,,,,
150,T001209,A041321,2023MM12,1674,375,1299,657.0,,,,,,,,,
151,T001209,A041321,2023KW04,5295,1184,4110,2624.0,,,,,,,,,
152,T001209,A041321,2023JJ00,19714,4494,15220,9907.0,,,,,,,,,
153,T001209,A041321,2024MM01,1209,316,894,570.0,,,,,,,,,
154,T001209,A041321,2024MM02,1909,408,1501,1122.0,,,,,,,,,
155,T001209,A041321,2024MM03,2359,516,1843,1372.0,,,,,,,,,
156,T001209,A041321,2024KW01,5477,1239,4238,3064.0,,,,,,,,,
157,T001209,A041321,2024MM04,2395,369,2026,1167.0,,,,,,,,,
158,T001209,A041321,2024MM05,2437,424,2013,1313.0,,,,,,,,,
159,T001209,A041321,2024MM06,1845,306,1539,1039.0,,,,,,,,,
160,T001209,A041321,2024KW02,6678,1099,5579,3519.0,,,,,,,,,
161,T001209,A041321,2024MM07,2488,592,1896,1358.0,,,,,,,,,
162,T001209,A041321,2024MM08,1013,241,771,441.0,,,,,,,,,
163,T001209,A041321,2024MM09,1356,255,1101,693.0,,,,,,,,,
164,T001209,A041321,2024KW03,4857,1088,3769,2493.0,,,,,,,,,
165,T001209,A041321,2024MM10,2261,369,1892,1398.0,,,,,,,,,
166,T001209,A041321,2024MM11,1770,385,1385,1152.0,,,,,,,,,
167,T001209,A041321,2024MM12,2249,354,1896,1485.0,,,,,,,,,
168,T001209,A041321,2024KW04,6281,1108,5173,4035.0,,,,,,,,,
169,T001209,A041321,2024JJ00,23292,4534,18759,13110.0,,,,,,,,,
170,T001209,A041321,2025MM01,1298,297,1001,672.0,,,,,,,,,
171,T001209,A041321,2025MM02,1633,533,1099,764.0,,,,,,,,,
172,T001209,A041321,2025MM03,2088,308,1780,1427.0,,,,,,,,,
173,T001209,A041321,2025KW01,5019,1139,3880,2864.0,,,,,,,,,
174,T001209,A041321,2025MM04,1870,418,1452,1028.0,,,,,,,,,
175,T001209,A041321,2025MM05,1640,368,1272,849.0,,,,,,,,,
176,T001209,A041321,2025MM06,1450,336,1113,738.0,,,,,,,,,
177,T001209,A041321,2025KW02,4960,1123,3837,2615.0,,,,,,,,,
178,T001209,A041321,2025MM07,2139,590,1549,1147.0,,,,,,,,,
179,T001209,A041321,2025MM08,1326,299,1026,607.0,,,,,,,,,
180,T001209,A041321,2025MM09,1933,359,1574,1317.0,,,,,,,,,
181,T001209,A041321,2025KW03,5398,1248,4150,3072.0,,,,,,,,,
182,T001209,A041321,2025MM10,1967,386,1581,1075.0,,,,,,,,,
183,T001209,A041321,2025MM11,1707,419,1288,1021.0,,,,,,,,,
184,T001209,A041322,2015MM01,1083,283,800,565.0,47.0,42.0,46.0,14.0,18.0,1.0,22.0,36.0,8.0
185,T001209,A041322,2015MM02,1070,316,755,448.0,32.0,15.0,37.0,17.0,151.0,3.0,14.0,15.0,24.0
186,T001209,A041322,2015MM03,942,196,746,529.0,35.0,19.0,35.0,18.0,14.0,0.0,18.0,43.0,35.0
187,T001209,A041322,2015KW01,3095,794,2301,1542.0,114.0,75.0,119.0,49.0,183.0,4.0,54.0,95.0,67.0
188,T001209,A041322,2015MM04,1356,305,1052,804.0,33.0,28.0,60.0,45.0,18.0,0.0,35.0,4.0,26.0
189,T001209,A041322,2015MM05,1563,301,1263,967.0,30.0,67.0,33.0,62.0,21.0,0.0,12.0,48.0,24.0
190,T001209,A041322,2015MM06,1401,302,1098,752.0,35.0,24.0,40.0,22.0,106.0,6.0,65.0,32.0,17.0
191,T001209,A041322,2015KW02,4321,908,3413,2522.0,98.0,119.0,132.0,129.0,145.0,6.0,111.0,83.0,67.0
192,T001209,A041322,2015MM07,995,233,762,404.0,26.0,37.0,44.0,122.0,29.0,1.0,59.0,24.0,17.0
193,T001209,A041322,2015MM08,995,259,736,558.0,44.0,21.0,36.0,8.0,41.0,0.0,8.0,7.0,13.0
194,T001209,A041322,2015MM09,905,216,689,409.0,45.0,28.0,22.0,54.0,39.0,2.0,40.0,24.0,28.0
195,T001209,A041322,2015KW03,2895,708,2187,1371.0,115.0,86.0,102.0,184.0,109.0,2.0,106.0,54.0,58.0
196,T001209,A041322,2015MM10,1040,253,787,432.0,35.0,15.0,35.0,18.0,167.0,1.0,30.0,38.0,16.0
197,T001209,A041322,2015MM11,890,192,697,497.0,34.0,22.0,51.0,26.0,24.0,1.0,16.0,15.0,11.0
198,T001209,A041322,2015MM12,856,267,589,394.0,25.0,29.0,29.0,17.0,4.0,0.0,13.0,68.0,10.0
199,T001209,A041322,2015KW04,2786,712,2074,1324.0,94.0,66.0,114.0,61.0,196.0,2.0,59.0,122.0,37.0
200,T001209,A041322,2015JJ00,13097,3122,9975,6759.0,420.0,347.0,466.0,423.0,632.0,15.0,331.0,354.0,229.0
201,T001209,A041322,2016MM01,988,266,722,441.0,21.0,30.0,67.0,33.0,7.0,60.0,28.0,26.0,10.0
202,T001209,A041322,2016MM02,991,216,775,499.0,21.0,26.0,82.0,23.0,28.0,0.0,40.0,35.0,22.0
203,T001209,A041322,2016MM03,832,255,577,383.0,30.0,34.0,13.0,14.0,21.0,1.0,34.0,27.0,22.0
204,T001209,A041322,2016KW01,2811,736,2075,1322.0,72.0,90.0,161.0,70.0,56.0,61.0,102.0,88.0,53.0
205,T001209,A041322,2016MM04,955,245,710,495.0,34.0,50.0,48.0,28.0,6.0,0.0,21.0,22.0,6.0
206,T001209,A041322,2016MM05,1069,256,813,526.0,45.0,23.0,77.0,58.0,18.0,0.0,21.0,30.0,15.0
207,T001209,A041322,2016MM06,1042,286,755,484.0,45.0,37.0,44.0,22.0,65.0,0.0,27.0,18.0,14.0
208,T001209,A041322,2016KW02,3066,788,2279,1506.0,123.0,110.0,169.0,107.0,89.0,0.0,69.0,69.0,36.0
209,T001209,A041322,2016MM07,1193,265,928,607.0,30.0,24.0,69.0,29.0,22.0,3.0,18.0,119.0,6.0
210,T001209,A041322,2016MM08,1156,300,855,562.0,34.0,52.0,70.0,54.0,8.0,1.0,27.0,22.0,25.0
211,T001209,A041322,2016MM09,1131,364,766,568.0,30.0,22.0,23.0,47.0,15.0,0.0,7.0,27.0,25.0
212,T001209,A041322,2016KW03,3479,930,2549,1737.0,95.0,99.0,162.0,131.0,44.0,5.0,53.0,168.0,56.0
213,T001209,A041322,2016MM10,1052,278,774,506.0,33.0,26.0,15.0,33.0,41.0,4.0,59.0,20.0,38.0
214,T001209,A041322,2016MM11,1296,255,1041,728.0,24.0,70.0,24.0,134.0,8.0,1.0,17.0,16.0,18.0
215,T001209,A041322,2016MM12,1154,249,905,686.0,25.0,29.0,22.0,23.0,45.0,2.0,10.0,20.0,44.0
216,T001209,A041322,2016KW04,3502,782,2720,1920.0,82.0,124.0,60.0,191.0,94.0,7.0,85.0,56.0,100.0
217,T001209,A041322,2016JJ00,12859,3236,9623,6485.0,372.0,423.0,553.0,499.0,284.0,72.0,309.0,381.0,246.0
218,T001209,A041322,2017MM01,1352,325,1026,645.0,42.0,89.0,83.0,57.0,30.0,28.0,2.0,30.0,22.0
219,T001209,A041322,2017MM02,1177,250,927,659.0,19.0,48.0,60.0,39.0,63.0,0.0,6.0,27.0,6.0
220,T001209,A041322,2017MM03,1130,287,843,574.0,53.0,41.0,23.0,13.0,11.0,0.0,16.0,19.0,92.0
221,T001209,A041322,2017KW01,3659,863,2796,1878.0,114.0,179.0,165.0,109.0,105.0,28.0,24.0,75.0,120.0
222,T001209,A041322,2017MM04,1377,297,1080,729.0,41.0,100.0,58.0,54.0,28.0,14.0,4.0,14.0,38.0
223,T001209,A041322,2017MM05,1751,249,1502,1050.0,27.0,70.0,71.0,97.0,20.0,0.0,28.0,18.0,121.0
224,T001209,A041322,2017MM06,1201,264,937,687.0,29.0,70.0,45.0,14.0,29.0,0.0,41.0,15.0,6.0
225,T001209,A041322,2017KW02,4329,810,3520,2467.0,96.0,241.0,174.0,166.0,77.0,14.0,73.0,47.0,165.0
226,T001209,A041322,2017MM07,1147,217,930,649.0,24.0,81.0,59.0,42.0,10.0,0.0,26.0,14.0,25.0
227,T001209,A041322,2017MM08,1744,327,1417,1015.0,32.0,63.0,32.0,51.0,12.0,3.0,120.0,30.0,61.0
228,T001209,A041322,2017MM09,1470,321,1149,777.0,39.0,70.0,150.0,52.0,17.0,0.0,17.0,15.0,11.0
229,T001209,A041322,2017KW03,4361,864,3496,2441.0,94.0,214.0,241.0,145.0,40.0,3.0,162.0,58.0,97.0
230,T001209,A041322,2017MM10,1282,308,974,748.0,27.0,36.0,27.0,13.0,52.0,0.0,29.0,25.0,17.0
231,T001209,A041322,2017MM11,1533,373,1160,902.0,39.0,88.0,40.0,35.0,18.0,1.0,4.0,16.0,16.0
232,T001209,A041322,2017MM12,1571,298,1273,915.0,20.0,106.0,91.0,66.0,10.0,3.0,5.0,30.0,28.0
233,T001209,A041322,2017KW04,4386,979,3407,2565.0,87.0,229.0,158.0,114.0,81.0,4.0,38.0,71.0,61.0
234,T001209,A041322,2017JJ00,16735,3516,13219,9351.0,392.0,863.0,737.0,534.0,303.0,49.0,297.0,252.0,442.0
235,T001209,A041322,2018MM01,1530,307,1223,836.0,,,,,,,,,
236,T001209,A041322,2018MM02,1294,298,996,636.0,,,,,,,,,
237,T001209,A041322,2018MM03,1331,311,1020,774.0,,,,,,,,,
238,T001209,A041322,2018KW01,4155,916,3239,2246.0,,,,,,,,,
239,T001209,A041322,2018MM04,1351,329,1022,696.0,,,,,,,,,
240,T001209,A041322,2018MM05,1571,355,1216,932.0,,,,,,,,,
241,T001209,A041322,2018MM06,1427,224,1203,722.0,,,,,,,,,
242,T001209,A041322,2018KW02,4348,907,3441,2349.0,,,,,,,,,
243,T001209,A041322,2018MM07,1523,280,1243,791.0,,,,,,,,,
244,T001209,A041322,2018MM08,1538,353,1184,879.0,,,,,,,,,
245,T001209,A041322,2018MM09,1554,325,1229,788.0,,,,,,,,,
246,T001209,A041322,2018KW03,4614,957,3657,2459.0,,,,,,,,,
247,T001209,A041322,2018MM10,1454,318,1135,820.0,,,,,,,,,
248,T001209,A041322,2018MM11,2082,307,1775,1309.0,,,,,,,,,
249,T001209,A041322,2018MM12,1637,267,1371,1061.0,,,,,,,,,
250,T001209,A041322,2018KW04,5173,892,4281,3189.0,,,,,,,,,
251,T001209,A041322,2018JJ00,18290,3673,14618,10243.0,370.0,945.0,736.0,703.0,446.0,25.0,351.0,457.0,341.0
252,T001209,A041322,2019MM01,1634,329,1305,860.0,,,,,,,,,
253,T001209,A041322,2019MM02,1376,343,1033,730.0,,,,,,,,,
254,T001209,A041322,2019MM03,1075,237,839,539.0,,,,,,,,,
255,T001209,A041322,2019KW01,4086,909,3177,2128.0,,,,,,,,,
256,T001209,A041322,2019MM04,1430,347,1083,745.0,,,,,,,,,
257,T001209,A041322,2019MM05,1462,301,1162,793.0,,,,,,,,,
258,T001209,A041322,2019MM06,1393,307,1085,692.0,,,,,,,,,
259,T001209,A041322,2019KW02,4285,955,3330,2230.0,,,,,,,,,
260,T001209,A041322,2019MM07,1164,255,909,559.0,,,,,,,,,
261,T001209,A041322,2019MM08,1598,410,1188,892.0,,,,,,,,,
262,T001209,A041322,2019MM09,1516,315,1201,759.0,,,,,,,,,
263,T001209,A041322,2019KW03,4278,980,3297,2210.0,,,,,,,,,
264,T001209,A041322,2019MM10,1222,336,887,559.0,,,,,,,,,
265,T001209,A041322,2019MM11,1480,308,1173,913.0,,,,,,,,,
266,T001209,A041322,2019MM12,1602,334,1268,926.0,,,,,,,,,
267,T001209,A041322,2019KW04,4305,977,3328,2398.0,,,,,,,,,
268,T001209,A041322,2019JJ00,16953,3821,13132,8966.0,286.0,992.0,721.0,771.0,396.0,48.0,287.0,449.0,215.0
269,T001209,A041322,2020MM01,1708,281,1426,932.0,,,,,,,,,
270,T001209,A041322,2020MM02,1453,322,1131,761.0,,,,,,,,,
271,T001209,A041322,2020MM03,1283,314,969,735.0,,,,,,,,,
