ID,Energiedragers,Perioden,VerbrandingswaardenMotorbrandstoffen_1
82,E007188,2002JJ00,
83,E007188,2003JJ00,
84,E007188,2004JJ00,
85,E007188,2005JJ00,
86,E007188,2006JJ00,28.0
87,E007188,2007JJ00,28.0
88,E007188,2008JJ00,27.7
89,E007188,2009JJ00,27.2
90,E007188,2010JJ00,27.0
91,E007188,2011JJ00,27.0
92,E007188,2012JJ00,27.0
93,E007188,2013JJ00,27.0
94,E007188,2014JJ00,27.0
95,E007188,2015JJ00,27.0
96,E007188,2016JJ00,27.0
97,E007188,2017JJ00,27.0
98,E007188,2018JJ00,28.4
99,E007188,2019JJ00,28.8
100,E007188,2020JJ00,27.9
101,E007188,2021JJ00,27.8
102,E007188,2022JJ00,27.9
103,E007188,2023JJ00,27.0
104,E007188,2024JJ00,27.0
105,E006528,1990JJ00,43.0
106,E006528,1991JJ00,43.0
107,E006528,1992JJ00,43.0
108,E006528,1993JJ00,43.0
109,E006528,1994JJ00,43.0
110,E006528,1995JJ00,43.0
111,E006528,1996JJ00,43.1
112,E006528,1997JJ00,43.1
113,E006528,1998JJ00,43.1
114,E006528,1999JJ00,43.1
115,E006528,2000JJ00,43.1
116,E006528,2001JJ00,43.1
117,E006528,2002JJ00,43.1
118,E006528,2003JJ00,43.1
119,E006528,2004JJ00,43.1
120,E006528,2005JJ00,43.1
121,E006528,2006JJ00,43.1
122,E006528,2007JJ00,42.9
123,E006528,2008JJ00,43.0
124,E006528,2009JJ00,42.9
125,E006528,2010JJ00,43.1
126,E006528,2011JJ00,43.0
127,E006528,2012JJ00,43.0
128,E006528,2013JJ00,43.0
129,E006528,2014JJ00,42.9
130,E006528,2015JJ00,43.0
131,E006528,2016JJ00,43.0
132,E006528,2017JJ00,43.0
133,E006528,2018JJ00,43.0
134,E006528,2019JJ00,42.8
135,E006528,2020JJ00,42.8
136,E006528,2021JJ00,42.8
137,E006528,2022JJ00,42.9
138,E006528,2023JJ00,42.9
139,E006528,2024JJ00,42.9
140,E006529,1990JJ00,43.0
141,E006529,1991JJ00,43.0
142,E006529,1992JJ00,43.0
143,E006529,1993JJ00,43.0
144,E006529,1994JJ00,43.0
145,E006529,1995JJ00,43.0
146,E006529,1996JJ00,43.1
147,E006529,1997JJ00,43.1
148,E006529,1998JJ00,43.1
149,E006529,1999JJ00,43.1
150,E006529,2000JJ00,43.1
151,E006529,2001JJ00,43.1
152,E006529,2002JJ00,43.1
153,E006529,2003JJ00,43.1
154,E006529,2004JJ00,43.1
155,E006529,2005JJ00,43.1
156,E006529,2006JJ00,43.1
157,E006529,2007JJ00,43.1
158,E006529,2008JJ00,43.2
159,E006529,2009JJ00,43.2
160,E006529,2010JJ00,43.2
161,E006529,2011JJ00,43.2
162,E006529,2012JJ00,43.2
163,E006529,2013JJ00,43.2
164,E006529,2014JJ00,43.2
165,E006529,2015JJ00,43.1
166,E006529,2016JJ00,43.1
167,E006529,2017JJ00,43.2
168,E006529,2018JJ00,43.4
169,E006529,2019JJ00,43.2
170,E006529,2020JJ00,43.2
171,E006529,2021JJ00,43.2
172,E006529,2022JJ00,43.2
173,E006529,2023JJ00,43.2
174,E006529,2024JJ00,43.2
175,E007189,1990JJ00,
176,E007189,1991JJ00,
177,E007189,1992JJ00,
178,E007189,1993JJ00,
179,E007189,1994JJ00,
180,E007189,1995JJ00,
181,E007189,1996JJ00,
182,E007189,1997JJ00,
183,E007189,1998JJ00,
184,E007189,1999JJ00,
185,E007189,2000JJ00,
186,E007189,2001JJ00,
187,E007189,2002JJ00,
188,E007189,2003JJ00,
189,E007189,2004JJ00,
190,E007189,2005JJ00,
191,E007189,2006JJ00,37.0
192,E007189,2007JJ00,37.0
193,E007189,2008JJ00,37.0
194,E007189,2009JJ00,37.0
195,E007189,2010JJ00,37.0
196,E007189,2011JJ00,37.0
197,E007189,2012JJ00,37.0
198,E007189,2013JJ00,37.0
199,E007189,2014JJ00,37.0
200,E007189,2015JJ00,37.0
201,E007189,2016JJ00,37.0
202,E007189,2017JJ00,37.0
203,E007189,2018JJ00,37.0
204,E007189,2019JJ00,38.3
205,E007189,2020JJ00,37.8
206,E007189,2021JJ00,38.3
207,E007189,2022JJ00,38.7
208,E007189,2023JJ00,39.2
209,E007189,2024JJ00,41.2
210,E007182,1990JJ00,43.0
211,E007182,1991JJ00,43.0
212,E007182,1992JJ00,43.0
213,E007182,1993JJ00,43.0
214,E007182,1994JJ00,43.0
215,E007182,1995JJ00,43.0
216,E007182,1996JJ00,43.1
217,E007182,1997JJ00,43.1
218,E007182,1998JJ00,43.1
219,E007182,1999JJ00,43.1
220,E007182,2000JJ00,43.1
221,E007182,2001JJ00,43.1
222,E007182,2002JJ00,43.1
223,E007182,2003JJ00,43.1
224,E007182,2004JJ00,43.1
225,E007182,2005JJ00,43.1
226,E007182,2006JJ00,43.1
227,E007182,2007JJ00,43.1
228,E007182,2008JJ00,43.2
229,E007182,2009JJ00,43.2
230,E007182,2010JJ00,43.2
231,E007182,2011JJ00,43.2
232,E007182,2012JJ00,43.2
233,E007182,2013JJ00,43.2
234,E007182,2014JJ00,43.2
235,E007182,2015JJ00,43.2
236,E007182,2016JJ00,43.2
237,E007182,2017JJ00,43.2
238,E007182,2018JJ00,43.2
239,E007182,2019JJ00,43.2
240,E007182,2020JJ00,42.6
241,E007182,2021JJ00,42.8
242,E007182,2022JJ00,42.3
243,E007182,2023JJ00,42.4
244,E007182,2024JJ00,42.9
245,E006534,1990JJ00,41.0
246,E006534,1991JJ00,41.0
247,E006534,1992JJ00,41.0
248,E006534,1993JJ00,41.0
249,E006534,1994JJ00,41.0
250,E006534,1995JJ00,41.0
251,E006534,1996JJ00,41.0
252,E006534,1997JJ00,41.0
253,E006534,1998JJ00,41.0
254,E006534,1999JJ00,41.0
255,E006534,2000JJ00,41.0
256,E006534,2001JJ00,41.0
257,E006534,2002JJ00,41.0
258,E006534,2003JJ00,41.0
259,E006534,2004JJ00,41.0
260,E006534,2005JJ00,41.0
261,E006534,2006JJ00,41.0
262,E006534,2007JJ00,41.0
263,E006534,2008JJ00,41.0
264,E006534,2009JJ00,41.0
265,E006534,2010JJ00,41.0
266,E006534,2011JJ00,41.0
267,E006534,2012JJ00,41.0
268,E006534,2013JJ00,41.0
269,E006534,2014JJ00,41.0
270,E006534,2015JJ00,41.0
271,E006534,2016JJ00,41.0
272,E006534,2017JJ00,41.0
273,E006534,2018JJ00,41.0
274,E006534,2019JJ00,41.0
275,E006534,2020JJ00,41.0
276,E006534,2021JJ00,41.0
277,E006534,2022JJ00,41.0
278,E006534,2023JJ00,41.0
279,E006534,2024JJ00,41.0
