ID,OriginDestination,Periods,CO2_1,N2O_2,CH4_3,GreenhouseGasEquivalent_4,NOx_5,SO2_6,NH3_7,AcidificationEquivalent_8,CFK12Equivalent_9,CO_10,NMVOC_11,PM10_12,FineDustEquivalent_13
67,xxxxop,2009JJ00,20073.0,0.3,18.5,20944.0,11.8,0.6,12.8,1.0,9.4,79.1,35.0,3.8,3.8
68,xxxxop,2010JJ00,22974.0,0.4,20.7,23881.0,12.8,0.7,12.4,1.0,6.4,80.3,34.7,3.8,3.8
69,xxxxop,2011JJ00,19076.0,0.3,18.1,19960.0,10.3,0.6,13.5,1.0,3.4,79.6,32.7,3.6,3.6
70,xxxxop,2012JJ00,20203.0,0.3,18.9,21096.0,10.3,0.6,13.9,1.1,0.4,80.8,34.0,3.6,3.6
71,xxxxop,2013JJ00,21433.0,0.4,19.9,22353.0,10.3,0.6,13.9,1.1,0.0,82.1,35.0,3.6,3.6
72,300025,1990JJ00,139644.0,56.9,627.0,177156.0,610.7,258.8,341.7,41.5,5475.0,452.9,286.8,65.4,65.4
73,300025,1991JJ00,142647.0,57.5,643.2,179860.0,598.5,223.1,345.4,40.3,4496.5,516.2,270.6,62.2,62.2
74,300025,1992JJ00,143478.0,58.4,639.8,181553.0,612.9,222.9,284.2,37.0,3517.9,548.0,254.6,59.3,59.3
75,300025,1993JJ00,147612.0,59.4,638.7,186525.0,611.9,218.6,298.2,37.7,2539.4,540.2,238.3,55.8,55.8
76,300025,1994JJ00,149024.0,57.6,621.1,188253.0,601.6,210.2,263.8,35.2,1560.9,495.2,222.0,52.7,52.7
77,300025,1995JJ00,152617.0,57.0,634.6,191527.0,593.7,209.5,195.1,30.9,582.4,407.6,204.3,49.5,49.5
78,300025,1996JJ00,157083.0,57.0,620.5,197376.0,586.5,203.5,155.1,28.2,424.5,399.8,189.9,44.2,44.2
79,300025,1997JJ00,156834.0,56.2,586.2,196926.0,582.2,193.4,151.0,27.6,312.0,375.0,169.8,41.9,41.9
80,300025,1998JJ00,160461.0,54.3,571.5,200268.0,581.2,194.4,137.6,26.8,197.6,367.1,165.6,41.3,41.3
81,300025,1999JJ00,156741.0,52.1,559.2,190903.0,611.6,202.4,132.4,27.4,199.4,359.1,158.8,41.9,41.9
82,300025,2000JJ00,159516.0,50.3,543.3,191745.0,607.7,188.1,149.6,27.9,191.0,352.3,148.1,42.6,42.6
83,300025,2001JJ00,164048.0,47.2,542.5,192906.0,597.3,184.5,142.6,27.1,183.6,341.7,127.4,39.9,39.9
84,300025,2002JJ00,164870.0,44.5,520.0,193243.0,577.2,170.8,136.6,25.9,162.2,325.4,120.1,39.2,39.2
85,300025,2003JJ00,167491.0,44.3,513.9,193907.0,583.8,170.6,132.4,25.8,132.6,314.4,109.9,36.7,36.7
86,300025,2004JJ00,169898.0,45.6,516.3,196544.0,580.1,175.2,130.6,25.8,131.0,328.9,103.8,36.0,36.0
87,300025,2005JJ00,167648.0,44.7,519.4,193908.0,578.0,177.5,129.2,25.7,130.2,313.5,111.0,35.7,35.7
88,300025,2006JJ00,163245.0,44.2,521.2,189607.0,531.0,154.2,129.9,24.0,131.2,313.9,104.4,33.3,33.3
89,300025,2007JJ00,166487.0,38.6,543.5,191707.0,535.0,142.0,130.0,23.7,126.9,306.1,104.0,32.9,32.9
90,300025,2008JJ00,169079.0,25.9,566.3,190849.0,537.5,119.4,117.2,22.3,124.4,313.7,103.3,31.7,31.7
91,300025,2009JJ00,164352.0,25.2,572.1,186039.0,497.5,102.1,115.3,20.8,118.3,274.4,94.8,30.1,30.1
92,300025,2010JJ00,172588.0,24.8,579.2,194544.0,469.1,87.3,114.4,19.7,115.1,281.5,96.0,28.8,28.8
93,300025,2011JJ00,163841.0,24.5,560.0,185111.0,448.1,68.5,111.1,18.4,115.5,269.2,97.8,26.9,26.9
94,300025,2012JJ00,162865.0,24.0,553.9,183783.0,445.8,70.6,105.4,18.1,111.5,262.6,95.3,25.9,25.9
95,300025,2013JJ00,161360.0,24.8,566.6,182846.0,448.6,69.4,107.2,18.2,111.1,262.5,92.9,25.8,25.8
96,301000,1990JJ00,9660.0,31.8,517.3,30395.0,86.4,4.6,336.2,21.8,0.0,18.9,5.7,6.2,6.2
97,301000,1991JJ00,10725.0,32.4,527.2,31845.0,89.3,4.6,339.7,22.1,0.0,21.4,5.9,6.3,6.3
98,301000,1992JJ00,10466.0,33.1,522.4,31684.0,89.2,4.3,278.4,18.4,0.0,22.9,5.9,6.2,6.2
99,301000,1993JJ00,11024.0,32.3,519.2,31933.0,93.2,4.3,292.7,19.4,0.0,25.0,6.2,6.2,6.2
100,301000,1994JJ00,10483.0,30.9,504.0,30658.0,94.5,4.4,258.2,17.4,0.0,26.1,6.2,6.2,6.2
101,301000,1995JJ00,10430.0,31.6,517.5,31121.0,92.9,4.4,189.7,13.3,0.0,27.0,6.1,6.2,6.2
102,301000,1996JJ00,11100.0,31.6,506.8,31542.0,87.7,3.8,150.1,10.9,0.0,24.6,5.7,6.5,6.5
103,301000,1997JJ00,9815.0,30.9,496.4,29846.0,86.5,4.0,146.4,10.6,0.0,26.7,5.7,6.6,6.6
104,301000,1998JJ00,9635.0,29.0,481.7,28745.0,84.1,4.0,133.3,9.8,0.0,24.2,5.3,6.6,6.6
105,301000,1999JJ00,9409.0,27.9,476.5,28074.0,82.9,4.0,128.3,9.5,0.0,25.8,5.4,6.8,6.8
106,301000,2000JJ00,9622.0,25.6,463.4,27372.0,83.2,4.4,145.6,10.5,0.0,26.8,5.6,6.5,6.5
107,301000,2001JJ00,9495.0,24.5,463.8,26946.0,81.1,4.6,138.4,10.1,0.0,27.6,5.7,6.3,6.3
108,301000,2002JJ00,8853.0,22.8,442.2,25350.0,75.0,4.1,132.8,9.6,0.0,25.4,5.1,6.6,6.6
109,301000,2003JJ00,8842.0,22.4,436.8,25114.0,73.6,4.4,128.5,9.3,0.0,23.8,4.7,5.6,5.6
110,301000,2004JJ00,8989.0,21.9,441.5,25246.0,72.0,4.6,126.0,9.1,0.0,23.3,4.6,6.3,6.3
111,301000,2005JJ00,8926.0,21.5,441.1,25074.0,69.7,4.6,125.4,9.0,0.0,22.2,4.3,6.5,6.5
112,301000,2006JJ00,8314.0,21.5,447.7,24617.0,66.0,3.7,126.5,9.0,0.0,21.5,4.0,6.3,6.3
113,301000,2007JJ00,8784.0,20.5,466.9,25207.0,62.9,3.0,126.7,8.9,0.0,19.4,3.8,6.5,6.5
114,301000,2008JJ00,9505.0,20.0,488.9,26245.0,58.8,1.8,113.8,8.0,0.0,18.1,3.6,6.6,6.6
115,301000,2009JJ00,9658.0,19.0,503.1,26410.0,57.5,1.4,112.2,7.9,0.0,20.1,3.7,6.6,6.6
116,301000,2010JJ00,10906.0,19.0,506.3,27718.0,58.6,1.2,111.5,7.9,0.0,24.5,4.1,6.8,6.8
117,301000,2011JJ00,10286.0,18.2,488.0,26485.0,57.1,0.7,107.9,7.6,0.0,27.6,4.0,7.2,7.2
118,301000,2012JJ00,10073.0,17.7,483.1,25993.0,54.2,0.6,102.5,7.2,0.0,28.8,3.9,7.0,7.0
119,301000,2013JJ00,9926.0,18.0,494.3,26197.0,53.8,0.6,104.3,7.3,0.0,27.2,3.8,7.1,7.1
120,300002,1990JJ00,97914.0,23.9,177.6,115747.0,204.2,171.9,4.9,10.1,3612.3,288.3,184.7,35.8,35.8
121,300002,1991JJ00,98044.0,23.9,179.0,115080.0,188.3,138.5,5.1,8.7,2986.8,276.6,173.7,32.9,32.9
122,300002,1992JJ00,97980.0,24.1,179.6,115747.0,188.9,132.6,5.2,8.6,2361.3,265.5,162.8,30.1,30.1
123,300002,1993JJ00,98982.0,25.8,180.8,117877.0,176.6,124.1,4.7,8.0,1735.8,254.3,151.8,27.2,27.2
124,300002,1994JJ00,100591.0,25.4,182.2,120620.0,159.6,111.5,4.9,7.2,1110.4,243.1,140.8,24.4,24.4
125,300002,1995JJ00,102532.0,24.1,183.5,121603.0,155.6,110.6,4.6,7.1,484.9,231.4,131.3,22.4,22.4
126,300002,1996JJ00,103934.0,24.2,173.1,124455.0,152.0,107.2,4.2,6.9,364.5,226.7,125.3,17.6,17.6
127,300002,1997JJ00,105124.0,24.0,124.8,125324.0,140.5,97.9,3.7,6.3,272.0,200.3,107.3,15.0,15.0
128,300002,1998JJ00,107189.0,24.1,125.1,128024.0,127.5,88.9,3.4,5.8,177.6,196.4,105.6,14.1,14.1
129,300002,1999JJ00,103005.0,22.8,111.1,118568.0,126.0,75.7,3.1,5.3,164.4,186.4,100.6,13.2,13.2
130,300002,2000JJ00,104487.0,23.4,105.5,118527.0,115.5,63.1,3.1,4.7,161.0,182.7,95.9,13.5,13.5
131,300002,2001JJ00,107882.0,21.4,104.3,119041.0,114.0,66.6,3.2,4.7,156.9,178.9,79.2,12.8,12.8
132,300002,2002JJ00,109437.0,20.5,101.8,121163.0,113.0,60.7,2.8,4.5,137.2,169.3,74.5,13.1,13.1
133,300002,2003JJ00,111000.0,20.7,100.9,120972.0,112.6,56.4,3.0,4.4,107.6,162.6,67.1,12.0,12.0
134,300002,2004JJ00,113314.0,22.5,97.0,123411.0,106.7,58.9,3.6,4.4,106.0,182.5,63.4,11.3,11.3
135,300002,2005JJ00,111906.0,22.0,103.4,121806.0,104.2,57.7,2.9,4.2,105.2,168.1,66.4,10.6,10.6
136,300002,2006JJ00,107017.0,21.6,95.8,116758.0,99.6,57.9,2.5,4.1,106.2,172.8,62.3,10.5,10.5
137,300002,2007JJ00,109616.0,16.9,100.9,118072.0,90.0,54.5,2.3,3.8,101.9,161.8,63.0,10.0,10.0
138,300002,2008JJ00,109769.0,4.8,103.0,114445.0,84.9,47.2,2.4,3.5,99.4,164.8,61.5,9.4,9.4
139,300002,2009JJ00,106863.0,5.0,89.2,111285.0,72.1,34.8,2.1,2.8,93.3,126.6,54.9,8.5,8.5
140,300002,2010JJ00,112922.0,4.7,96.5,117660.0,77.1,32.3,2.0,2.8,90.1,136.0,57.3,8.5,8.5
141,300002,2011JJ00,107526.0,5.1,96.3,112092.0,73.7,32.9,2.2,2.8,90.5,123.8,61.0,8.1,8.1
142,300002,2012JJ00,105624.0,5.1,94.6,110160.0,71.7,33.1,2.0,2.7,86.5,117.6,59.0,7.6,7.6
143,300002,2013JJ00,103617.0,5.6,98.7,108411.0,69.9,30.1,2.0,2.6,86.1,117.5,56.2,7.5,7.5
144,305700,1990JJ00,2373.0,0.0,78.1,4014.0,8.0,1.8,0.2,0.2,0.0,1.5,16.1,0.0,0.0
145,305700,1991JJ00,2383.0,0.0,78.2,4026.0,7.7,1.4,0.1,0.2,0.0,1.6,15.6,0.0,0.0
146,305700,1992JJ00,2436.0,0.0,77.9,4072.0,8.3,1.6,0.1,0.2,0.0,1.8,15.2,0.0,0.0
147,305700,1993JJ00,2193.0,0.0,77.7,3826.0,7.1,1.8,0.1,0.2,0.0,2.0,14.7,0.0,0.0
148,305700,1994JJ00,1984.0,0.0,77.6,3615.0,5.7,1.7,0.1,0.2,0.0,2.3,14.3,0.0,0.0
149,305700,1995JJ00,2111.0,0.0,77.8,3744.0,7.1,1.1,0.1,0.2,0.0,2.5,13.8,0.0,0.0
150,305700,1996JJ00,2195.0,0.0,72.2,3711.0,7.1,2.2,0.1,0.2,0.0,2.3,15.3,0.1,0.1
151,305700,1997JJ00,2363.0,0.0,47.9,3369.0,6.9,3.1,0.1,0.2,0.0,1.8,11.7,0.1,0.1
152,305700,1998JJ00,2395.0,0.0,48.3,3411.0,6.9,3.6,0.0,0.3,0.0,1.8,12.2,0.0,0.0
153,305700,1999JJ00,2271.0,0.0,41.4,3142.0,6.7,0.4,0.0,0.2,0.0,1.4,11.7,0.1,0.1
154,305700,2000JJ00,2260.0,0.0,38.4,3068.0,6.5,0.7,0.0,0.2,0.0,1.5,10.9,0.1,0.1
155,305700,2001JJ00,2269.0,0.0,37.9,3065.0,7.3,0.5,0.0,0.2,0.3,2.0,10.0,0.1,0.1
156,305700,2002JJ00,2478.0,0.0,36.4,3243.0,6.8,0.9,0.0,0.2,0.0,1.1,9.0,0.1,0.1
157,305700,2003JJ00,2466.0,0.0,35.9,3222.0,6.5,0.5,0.0,0.2,0.0,1.5,7.8,0.1,0.1
158,305700,2004JJ00,2548.0,0.0,34.1,3265.0,5.7,0.4,0.0,0.1,0.0,2.4,6.5,0.1,0.1
159,305700,2005JJ00,2527.0,0.0,36.7,3298.0,5.8,0.3,0.0,0.1,0.0,2.2,6.6,0.0,0.0
160,305700,2006JJ00,2421.0,0.0,33.5,3125.0,5.9,0.3,0.0,0.1,0.0,2.1,6.4,0.0,0.0
161,305700,2007JJ00,2263.0,0.0,36.1,3031.0,5.8,0.3,0.0,0.1,0.0,2.0,7.7,0.1,0.1
162,305700,2008JJ00,2227.0,0.0,37.7,3027.0,5.5,0.3,0.0,0.1,0.0,1.8,7.6,0.1,0.1
163,305700,2009JJ00,2077.0,0.0,32.0,2757.0,3.2,0.2,0.0,0.1,0.0,0.7,6.7,0.0,0.0
164,305700,2010JJ00,2262.0,0.0,35.0,3007.0,4.9,0.3,0.0,0.1,0.0,0.6,6.8,0.0,0.0
165,305700,2011JJ00,2300.0,0.0,35.1,3046.0,5.1,0.4,0.0,0.1,0.0,0.6,8.7,0.0,0.0
166,305700,2012JJ00,2404.0,0.0,34.4,3135.0,5.5,0.3,0.0,0.1,0.0,0.6,7.6,0.0,0.0
167,305700,2013JJ00,2429.0,0.0,37.1,3216.0,5.5,0.3,0.0,0.1,0.0,0.6,7.7,0.0,0.0
168,307500,1990JJ00,51000.0,23.0,17.7,65202.0,103.3,119.8,4.6,6.3,3419.4,276.5,151.6,33.4,33.4
169,307500,1991JJ00,50468.0,23.0,17.7,63841.0,94.8,97.7,4.8,5.4,2810.2,264.6,141.4,30.8,30.8
170,307500,1992JJ00,49870.0,23.2,17.8,63951.0,91.7,96.6,4.9,5.3,2200.9,253.3,131.3,28.3,28.3
171,307500,1993JJ00,49871.0,24.8,17.9,65034.0,84.3,96.2,4.4,5.1,1591.7,241.8,121.1,25.8,25.8
172,307500,1994JJ00,48945.0,24.2,17.9,65174.0,80.1,90.9,4.6,4.9,982.5,230.3,110.9,23.3,23.3
173,307500,1995JJ00,47356.0,23.0,17.7,62584.0,77.2,91.4,4.1,4.8,373.3,218.4,102.2,21.7,21.7
174,307500,1996JJ00,47183.0,23.0,17.9,64067.0,76.0,83.9,3.7,4.5,283.6,208.3,92.6,16.9,16.9
175,307500,1997JJ00,46944.0,22.8,17.9,64522.0,68.7,79.5,3.4,4.2,194.0,180.7,82.1,14.3,14.3
176,307500,1998JJ00,46945.0,22.8,17.8,65136.0,57.4,70.9,3.1,3.6,102.6,181.3,80.0,13.3,13.3
177,307500,1999JJ00,45707.0,21.7,17.5,58938.0,51.4,63.1,2.8,3.3,52.0,167.0,74.9,12.5,12.5
178,307500,2000JJ00,45504.0,22.2,17.5,57317.0,47.6,46.7,2.7,2.7,41.9,163.3,71.6,12.9,12.9
179,307500,2001JJ00,45132.0,20.1,17.3,54075.0,48.8,50.0,2.8,2.8,34.3,161.8,58.3,12.1,12.1
180,307500,2002JJ00,44515.0,19.2,17.7,54078.0,47.7,45.2,2.5,2.6,19.2,150.5,55.4,12.3,12.3
181,307500,2003JJ00,45641.0,19.5,18.0,53488.0,47.1,41.4,2.6,2.5,0.1,143.4,50.8,11.2,11.2
182,307500,2004JJ00,45428.0,21.2,17.2,53452.0,47.9,47.4,3.2,2.7,0.1,168.3,49.8,10.6,10.6
183,307500,2005JJ00,45620.0,20.6,17.9,53310.0,46.8,47.1,2.4,2.6,0.0,155.0,52.5,9.9,9.9
184,307500,2006JJ00,45054.0,20.3,17.0,52740.0,46.2,47.5,2.2,2.6,0.0,162.2,48.4,9.8,9.8
185,307500,2007JJ00,45597.0,15.6,17.4,51892.0,44.3,45.0,1.9,2.5,0.0,152.7,47.0,9.5,9.5
186,307500,2008JJ00,44888.0,3.5,16.5,47340.0,43.3,40.2,2.0,2.3,0.0,155.5,45.7,8.8,8.8
187,307500,2009JJ00,41037.0,3.7,16.0,43505.0,36.4,28.0,1.8,1.8,0.0,120.0,40.9,8.0,8.0
188,307500,2010JJ00,44063.0,3.3,17.0,46709.0,37.9,24.9,1.7,1.7,0.0,128.6,42.8,7.9,7.9
189,307500,2011JJ00,42408.0,3.7,16.8,44891.0,37.6,25.3,1.9,1.7,0.0,116.6,42.7,7.8,7.8
190,307500,2012JJ00,42412.0,3.7,16.9,44886.0,35.9,24.3,1.6,1.6,0.0,109.2,42.4,7.2,7.2
191,307500,2013JJ00,41514.0,4.2,16.1,44150.0,33.6,19.9,1.6,1.5,0.0,109.1,39.3,7.1,7.1
192,307610,1990JJ00,4298.0,0.0,0.6,4315.0,8.7,1.9,0.2,0.3,286.7,6.9,8.1,4.6,4.6
193,307610,1991JJ00,4066.0,0.0,0.6,4083.0,6.7,1.1,0.3,0.2,253.0,7.1,8.0,4.1,4.1
194,307610,1992JJ00,4418.0,0.0,0.7,4437.0,7.8,1.3,0.3,0.2,219.3,7.3,7.9,3.6,3.6
195,307610,1993JJ00,4377.0,0.0,0.7,4396.0,7.7,1.6,0.3,0.2,185.6,7.6,7.7,3.0,3.0
196,307610,1994JJ00,4285.0,0.0,0.7,4304.0,6.8,0.9,0.4,0.2,151.8,7.8,7.6,2.5,2.5
197,307610,1995JJ00,4303.0,0.0,0.8,4349.0,6.4,1.2,0.3,0.2,118.1,8.0,7.6,2.5,2.5
198,307610,1996JJ00,4606.0,0.0,0.8,4659.0,6.4,0.9,0.3,0.2,89.1,8.5,6.5,2.2,2.2
199,307610,1997JJ00,4402.0,0.0,0.8,4458.0,4.3,0.4,0.2,0.1,60.1,4.5,6.1,2.0,2.0
200,307610,1998JJ00,4520.0,0.0,0.9,4578.0,4.3,0.6,0.3,0.1,31.0,4.6,6.9,1.9,1.9
201,307610,1999JJ00,4821.0,0.0,1.0,4866.0,4.6,0.5,0.3,0.1,2.0,5.2,6.3,2.1,2.1
202,307610,2000JJ00,4561.0,0.0,0.9,4742.0,4.4,0.5,0.2,0.1,1.7,4.1,6.9,2.1,2.1
203,307610,2001JJ00,4369.0,0.0,0.9,4604.0,4.2,1.1,0.4,0.1,1.1,5.0,6.3,2.0,2.0
204,307610,2002JJ00,4473.0,0.0,1.0,4758.0,4.1,0.8,0.4,0.1,0.5,5.0,5.6,2.1,2.1
205,307610,2003JJ00,4332.0,0.0,1.0,4671.0,3.3,0.4,0.5,0.1,0.1,3.7,5.5,2.0,2.0
