ID,RegioS,Perioden,TotaalMetWoningen_1,ZonderVerzorging_2,MetVerzorging_3,ZowelMetAlsZonderVerzorging_4,TotaalWoningenVoorOuderen_5,TotaalZonderVerzorgingVerzorgingshuis_6,Eenkamerwoningen_7,Tweekamerwoningen_8,Driekamerwoningen_9,TotaalMetVerzorgingVerzorgingshuis_10,Eenkamerwoningen_11,Tweekamerwoningen_12,Driekamerwoningen_13,TotaalAantalVerzorgingshuizen_14,KortdurendeOpnamen_15,DagverzorgingOpvang_16,NachtverzorgingOpvang_17,Maaltijdverstrekking_18,AansluitingOpAlarmsysteem_19,TotaalAantalBewoners_20,JongerDan65Jaar_21,k_6569Jaar_22,k_7074Jaar_23,k_7579Jaar_24,k_8084Jaar_25,k_8589Jaar_26,k_9094Jaar_27,k_95JaarEnOuder_28,TotaalBijgekomenBewoners_29,Mannen_30,Vrouwen_31,TotaalVertrokkenBewoners_32,Mannen_33,Vrouwen_34,TotaalOverledenBewoners_35,Mannen_36,Vrouwen_37,TotaalBijgekomen_38,EigenOmgeving_39,WoningBehorendBijVerzorgingshuis_40,ZiekenhuisOfPsychiatrischZiekenhuis_41,AnderVerzorgingshuis_42,Verpleeghuis_43,TotaalVertrokken_44,EigenWoning_45,PsychiatrischZiekenhuis_46,AnderVerzorgingshuis_47,Verpleeghuis_48,AantalPersonen_49,AantalVerzorgingsdagen_50,AantalPersonen_51,UitAanleunwoningen_52,AantalPersonen_53,UitAanleunwoningen_54,GemiddeldPerDag_55,VoorBewonersUitAanleunwoningen_56,AantalAangeslotenWoningen_57,Aanleunwoningen_58,TotaalFteS_59,AlgemeenBeheer_60,Huishouding_61,GeestelijkeEnCultureleZorg_62,TuinTechniekOnderhoud_63,TotaalVerzorging_64,Verpleegkundigen_65,Ziekenverzorgenden_66,Bejaardenverzorgenden_67,BejaardenhelpendenI_68,BejaardenhelpendenII_69,Verzorgingshulpen_70,PersoneelInOpleiding_71,OverigVerzorgendPersoneel_72,Maaltijdverstrekking_73,OverigWerksoorten_74,TotaalMetVolledigeWeektaak_75,AlgemeenBeheer_76,Huishouding_77,GeestelijkeEnCultureleZorg_78,TuinTechniekOnderhoud_79,TotaalVerzorging_80,Verpleegkundigen_81,Ziekenverzorgenden_82,Bejaardenverzorgenden_83,BejaardenhelpendenI_84,BejaardenhelpendenII_85,Verzorgingshulpen_86,PersoneelInOpleiding_87,OverigVerzorgendPersoneel_88,Maaltijdverstrekking_89,OverigeWerksoorten_90,TotaalMetGedeeltelijkeWeektaak_91,AlgemeenBeheer_92,Huishouding_93,GeestelijkeEnCultureleZorg_94,TuinTechniekOnderhoud_95,TotaalVerzorging_96,Verpleegkundigen_97,Ziekenverzorgenden_98,Bejaardenverzorgenden_99,BejaardenhelpendenI_100,BejaardenhelpendenII_101,Verzorgingshulpen_102,PersoneelInOpleiding_103,OverigVerzorgendPersoneel_104,Maaltijdverstrekking_105,OverigeWerksoorten_106,AantalOproepkrachten_107,UitbetaaldeUren_108,AantalPersonenNietInLoondienst_109,UitbetaaldeUren_110,AantalUitzendkrachten_111,UitbetaaldeUren_112,AantalOverigeUitzendkrachten_113,UitbetaaldeUren_114,AantalBanenpoolers_115,UitbetaaldeUren_116,AantalOverigePersoneelsleden_117,UitbetaaldeUren_118,VerzorgingshuizenMetVrijwilligers_119,AantalVrijwilligers_120,AantalGewerkteUren_121,AantalStagiaires_122,AantalGewerkteUren_123,TotaalKosten_124,SalarissenEnVergoedingen_125,SocialeLastenAnderePersoneelskosten_126,Voeding_127,HotelmatigeKosten_128,AlgemeneKosten_129,BewonergebondenKosten_130,Energie_131,OverigeTerreinEnGebouwgebKosten_132,AfschrijvingenHuurLeasing_133,Overboekingsrekening_134,DiverseLasten_135,KostenPerBewonersplaats_136,TotaalOpbrengsten_137,DienstenAanDerden_138,EigenBijdragen_139,Subsidies_140,BijzondereVergoedingen_141,OverigeOpbrengsten_142,Exploitatiesaldo_143
10,LD02  ,1995JJ00,170.0,130.0,22.0,18.0,8137.0,6372.0,329.0,3616.0,2426.0,1765.0,186.0,943.0,635.0,305,279.0,166.0,53.0,232.0,205.0,23370,0,6,19,43,87,89,44,10,4702.0,1203,3499,0.0,0,0,0.0,0,0,4701,261,18,6,5,10,1444,23,11,26,239,5268.0,239866.0,3023.0,48.0,114.0,0.0,11486.0,1817.0,9739.0,7063.0,9690,799,1420,312,343,5252,465,1179,2698,346,68,171,63,259,1345,220,3120,379,363,43,249,1373,,,,,,,,,672,42,13245,982,2186,560,183,7454,0,0,0,0,0,0,0,0,1491,389,4284.0,1533437.0,1166.0,489114.0,206.0,21589.0,85.0,13595.0,392.0,345390.0,181.0,77240.0,273.0,12055.0,1129287.0,3196.0,1395603.0,465.1,209.6,59.8,36.2,11.4,22.7,2.4,16.6,15.2,91.5,-1.7,0.8,56.1,464.6,11.4,185.4,0.0,7.5,7.5,-0.1
11,LD02  ,1996JJ00,185.0,121.0,27.0,37.0,9001.0,6743.0,394.0,3738.0,2611.0,2259.0,138.0,1206.0,915.0,297,269.0,157.0,58.0,232.0,200.0,22074,1,4,17,43,87,89,46,12,4903.0,1309,3594,0.0,0,0,0.0,0,0,4903,255,23,5,7,10,1296,18,9,44,230,6126.0,140917.0,2497.0,79.0,74.0,0.0,11007.0,2178.0,10668.0,7134.0,9433,776,1390,305,320,5170,446,1168,2665,262,136,175,59,259,1254,216,2818,374,315,41,231,1219,,,,,,,,,598,40,12986,879,2161,538,166,7475,0,0,0,0,0,0,0,0,1387,380,4165.0,1397488.0,1277.0,531812.0,324.0,38919.0,57.0,11088.0,422.0,376375.0,169.0,74879.0,254.0,13056.0,1128406.0,2958.0,1041421.0,464.3,207.4,58.5,35.9,10.8,20.7,2.8,17.5,18.2,91.0,0.6,0.9,58.0,462.5,12.6,179.9,0.0,9.2,9.8,-1.8
12,LD02  ,1997JJ00,190.0,107.0,22.0,61.0,9244.0,7136.0,416.0,4490.0,2230.0,2109.0,203.0,1193.0,713.0,297,281.0,131.0,43.0,239.0,202.0,22173,1,4,16,43,86,89,47,13,4917.0,1307,3610,1387.0,285,1102,4038.0,1188,2850,4917,254,20,5,7,12,1387,21,7,39,233,6644.0,164312.0,2749.0,1284.0,227.0,19.0,11065.0,2064.0,11362.0,7707.0,9980,821,1484,304,324,5479,457,1270,2753,323,140,182,41,313,1309,261,2794,382,311,38,229,1186,,,,,,,,,607,40,13936,975,2301,531,179,7958,0,0,0,0,0,0,0,0,1535,460,4060.0,1279614.0,1300.0,598227.0,554.0,63620.0,98.0,18319.0,445.0,408436.0,203.0,107853.0,277.0,14096.0,1167971.0,2831.0,891581.0,477.1,214.7,61.5,34.2,11.8,22.2,2.6,18.0,15.6,94.8,-0.5,1.8,63.1,479.3,12.9,2.4,0.0,10.5,8.4,2.1
13,LD02  ,1998JJ00,183.0,67.0,13.0,103.0,10475.0,8826.0,266.0,6053.0,2507.0,1649.0,103.0,1065.0,481.0,297,284.0,137.0,51.0,244.0,202.0,21751,0,3,15,38,78,93,56,16,5218.0,1348,3870,1286.0,266,1020,4170.0,1177,2993,5218,250,19,7,14,11,1286,23,3,40,233,6439.0,190563.0,3259.0,339.0,472.0,115.0,11989.0,2958.0,11580.0,10141.0,10400,834,1481,332,303,5931,457,1350,2946,316,126,233,69,432,1278,286,2799,348,307,47,217,1249,115.0,243.0,633.0,46.0,25.0,41.0,8.0,137.0,573,57,14626,1049,2394,569,151,8438,644,2092,4002,498,205,380,90,527,1560,467,3496.0,1089462.0,1770.0,660119.0,978.0,117441.0,317.0,21381.0,410.0,474006.0,93.0,47284.0,281.0,13370.0,1266597.0,2473.0,804506.0,515.3,235.7,66.9,36.5,12.9,24.5,3.1,18.2,15.9,99.8,-0.6,2.3,68.2,517.3,14.5,1.4,0.0,11.2,10.9,1.7
14,LD02  ,1999JJ00,,,,,,,,,,,,,,295,,,,,,21887,0,3,14,38,74,96,58,16,5312.0,1421,3891,1281.0,260,1021,4355.0,1206,3149,5312,261,18,3,7,13,1281,8,2,57,233,,,,,,,,,,,10745,827,1432,330,297,6230,432,1421,2916,361,141,285,92,581,1279,351,2626,324,263,21,214,1278,83.0,262.0,705.0,27.0,8.0,17.0,8.0,168.0,509,17,15561,1073,2363,547,157,9005,622,2236,4042,557,222,473,93,760,1786,630,,,,,,,,,,,,,,,,,,551.4,250.2,78.6,40.4,14.3,25.5,3.2,18.1,35.1,102.8,-0.7,2.4,72.8,553.6,14.9,2.6,0.0,16.3,15.7,2.3
15,LD03  ,1995JJ00,368.0,304.0,42.0,23.0,23323.0,19250.0,1579.0,14122.0,3548.0,4073.0,112.0,3334.0,627.0,618,375.0,204.0,72.0,330.0,276.0,56608,0,4,16,47,102,129,76,22,11954.0,3080,8874,0.0,0,0,0.0,0,0,11955,330,25,11,22,12,3034,28,14,62,297,10932.0,343569.0,6023.0,1971.0,156.0,0.0,19915.0,3929.0,29028.0,21556.0,24227,1948,3369,583,747,13792,1374,2538,5225,1528,549,1057,347,1176,3187,600,8862,854,843,110,544,4552,,,,,,,,,1802,159,30677,2570,5324,967,403,17206,0,0,0,0,0,0,0,0,3210,997,7584.0,2508729.0,5539.0,1508368.0,3277.0,566135.0,663.0,121011.0,669.0,630191.0,247.0,95091.0,566.0,22671.0,2180140.0,4484.0,1393646.0,1179.6,530.8,149.4,77.0,30.8,58.2,5.7,42.3,42.0,244.1,-6.8,6.0,74.4,1184.7,22.9,452.6,0.0,26.3,21.4,5.2
16,LD03  ,1996JJ00,389.0,273.0,42.0,74.0,24920.0,20378.0,1023.0,15007.0,4349.0,4541.0,402.0,3325.0,814.0,610,351.0,196.0,63.0,299.0,258.0,53965,0,5,16,46,100,127,78,25,11725.0,2971,8754,0.0,0,0,0.0,0,0,11725,328,30,13,19,11,3075,25,10,69,295,12830.0,285566.0,7460.0,1389.0,125.0,0.0,23347.0,4777.0,30470.0,21971.0,23729,1946,3306,617,742,13505,1268,2596,5343,1355,561,943,310,1130,3052,561,8091,814,772,115,530,4057,,,,,,,,,1687,117,31283,2662,5391,1040,426,17464,0,0,0,0,0,0,0,0,3254,1044,8671.0,2489319.0,5557.0,1380028.0,3221.0,332850.0,742.0,132276.0,726.0,686039.0,196.0,133864.0,530.0,23476.0,2127411.0,4417.0,1337304.0,1187.0,535.5,153.3,78.1,30.5,56.8,6.3,44.9,38.4,241.7,-3.6,5.3,80.2,1187.1,25.9,446.0,0.0,28.9,26.0,0.1
17,LD03  ,1997JJ00,408.0,232.0,41.0,135.0,25016.0,20052.0,1216.0,14365.0,4470.0,4965.0,470.0,3295.0,1200.0,600,372.0,165.0,40.0,309.0,272.0,52627,0,4,16,45,98,128,80,25,11754.0,3137,8617,2851.0,524,2327,10056.0,2811,7245,11754,336,28,12,13,11,2851,30,11,52,307,11042.0,334581.0,6859.0,673.0,191.0,30.0,21774.0,5312.0,32079.0,21938.0,24575,2033,3484,650,740,13946,1187,2715,5732,1282,530,1046,262,1191,3126,597,8072,864,796,100,522,3986,,,,,,,,,1670,135,32116,2712,5493,1079,432,17990,0,0,0,0,0,0,0,0,3404,1005,9507.0,2437670.0,6403.0,1492488.0,4666.0,404567.0,716.0,155753.0,773.0,800178.0,247.0,131990.0,569.0,25077.0,2364055.0,4353.0,1246409.0,1190.1,531.8,154.5,77.2,31.7,57.0,6.4,43.7,38.7,243.1,0.3,6.0,84.6,1201.8,25.5,5.1,0.0,28.7,22.5,11.6
18,LD03  ,1998JJ00,363.0,105.0,22.0,236.0,26605.0,21952.0,1075.0,17029.0,3848.0,4653.0,238.0,2950.0,1465.0,591,374.0,174.0,43.0,308.0,277.0,49978,0,4,17,46,98,128,82,25,11712.0,3134,8578,2743.0,563,2180,10184.0,2846,7338,11711,331,27,10,18,14,2744,32,7,47,315,12472.0,364135.0,7932.0,767.0,568.0,120.0,23930.0,6423.0,32213.0,24064.0,24428,1944,3264,794,713,14089,1058,2852,6296,1004,404,983,252,1246,3001,645,7248,809,675,122,506,3582,323.0,623.0,1680.0,204.0,81.0,202.0,42.0,429.0,1416,137,32397,2462,5274,1259,368,18437,1399,4038,7799,1385,615,1509,298,1395,3541,1069,7887.0,2267654.0,5343.0,1662303.0,3777.0,464833.0,513.0,84397.0,841.0,1011511.0,210.0,101417.0,557.0,25823.0,2762461.0,4735.0,1306618.0,1223.5,553.7,160.8,80.7,32.9,59.8,7.6,41.7,40.0,238.8,-1.4,9.0,91.2,1228.8,29.5,4.0,0.0,31.7,24.8,5.3
19,LD03  ,1999JJ00,,,,,,,,,,,,,,582,,,,,,49129,0,4,16,47,94,128,83,24,11960.0,3116,8844,2925.0,601,2324,10170.0,2779,7391,11960,346,22,7,8,16,2925,25,2,63,312,,,,,,,,,,,25106,2000,3396,728,694,14465,974,2934,6059,1201,487,1010,326,1471,3023,800,6893,795,659,40,494,3446,239.0,608.0,1673.0,243.0,45.0,103.0,27.0,508.0,1377,82,34329,2712,5512,1183,383,19396,1341,4182,7799,1619,728,1576,389,1762,3835,1308,,,,,,,,,,,,,,,,,,1280.9,572.4,184.8,88.2,34.9,62.0,7.4,40.5,81.1,244.2,-3.8,10.1,98.4,1283.5,32.9,5.0,0.0,43.8,31.2,2.5
20,LD04  ,1995JJ00,157.0,119.0,21.0,17.0,9281.0,7775.0,631.0,5331.0,1814.0,1506.0,60.0,998.0,448.0,326,144.0,105.0,27.0,117.0,107.0,24288,2,4,13,30,59,58,29,6,5409.0,1475,3934,0.0,0,0,0.0,0,0,5409,162,15,6,10,9,1353,12,4,26,157,2502.0,81322.0,4315.0,861.0,228.0,0.0,8692.0,2058.0,12315.0,8656.0,10695,848,1453,271,275,6280,474,1396,3444,270,72,162,58,404,1290,279,3456,369,234,47,164,1964,,,,,,,,,607,69,14630,1157,2823,457,242,7993,0,0,0,0,0,0,0,0,1655,503,3631.0,1099291.0,1152.0,439472.0,224.0,50750.0,80.0,17527.0,300.0,234947.0,141.0,72993.0,268.0,8890.0,1038304.0,2702.0,1139228.0,482.1,227.2,66.7,34.2,10.9,20.4,2.2,17.1,16.3,89.0,-4.0,2.0,37.3,484.6,9.3,184.2,0.0,14.5,7.0,2.5
