ID,BronTechniek,Energietoepassingen,Perioden,BrutoEindverbruik_1,BrutoEindverbruikRelatief_2
310,E007209,E007022 ,2020JJ00,49140.0,2.53
311,E007209,E007022 ,2021JJ00,,
312,E007209,E007022 ,2022JJ00,,
313,E007209,E007022 ,2023JJ00,,
314,E007209,E007022 ,2024JJ00,,
315,E007209,E006607 ,1990JJ00,,
316,E007209,E006607 ,1991JJ00,,
317,E007209,E006607 ,1992JJ00,,
318,E007209,E006607 ,1993JJ00,,
319,E007209,E006607 ,1994JJ00,,
320,E007209,E006607 ,1995JJ00,,
321,E007209,E006607 ,1996JJ00,,
322,E007209,E006607 ,1997JJ00,,
323,E007209,E006607 ,1998JJ00,,
324,E007209,E006607 ,1999JJ00,,
325,E007209,E006607 ,2000JJ00,,
326,E007209,E006607 ,2001JJ00,,
327,E007209,E006607 ,2002JJ00,,
328,E007209,E006607 ,2003JJ00,,
329,E007209,E006607 ,2004JJ00,,
330,E007209,E006607 ,2005JJ00,,
331,E007209,E006607 ,2006JJ00,,
332,E007209,E006607 ,2007JJ00,,
333,E007209,E006607 ,2008JJ00,,
334,E007209,E006607 ,2009JJ00,,
335,E007209,E006607 ,2010JJ00,,
336,E007209,E006607 ,2011JJ00,,
337,E007209,E006607 ,2012JJ00,,
338,E007209,E006607 ,2013JJ00,,
339,E007209,E006607 ,2014JJ00,,
340,E007209,E006607 ,2015JJ00,,
341,E007209,E006607 ,2016JJ00,,
342,E007209,E006607 ,2017JJ00,,
343,E007209,E006607 ,2018JJ00,,
344,E007209,E006607 ,2019JJ00,,
345,E007209,E006607 ,2020JJ00,,
346,E007209,E006607 ,2021JJ00,,
347,E007209,E006607 ,2022JJ00,,
348,E007209,E006607 ,2023JJ00,,
349,E007209,E006607 ,2024JJ00,,
350,E007209,E006608 ,1990JJ00,,
351,E007209,E006608 ,1991JJ00,,
352,E007209,E006608 ,1992JJ00,,
353,E007209,E006608 ,1993JJ00,,
354,E007209,E006608 ,1994JJ00,,
355,E007209,E006608 ,1995JJ00,,
356,E007209,E006608 ,1996JJ00,,
357,E007209,E006608 ,1997JJ00,,
358,E007209,E006608 ,1998JJ00,,
359,E007209,E006608 ,1999JJ00,,
360,E007209,E006608 ,2000JJ00,,
361,E007209,E006608 ,2001JJ00,,
362,E007209,E006608 ,2002JJ00,,
363,E007209,E006608 ,2003JJ00,,
364,E007209,E006608 ,2004JJ00,,
365,E007209,E006608 ,2005JJ00,,
366,E007209,E006608 ,2006JJ00,,
367,E007209,E006608 ,2007JJ00,,
368,E007209,E006608 ,2008JJ00,,
369,E007209,E006608 ,2009JJ00,,
370,E007209,E006608 ,2010JJ00,,
371,E007209,E006608 ,2011JJ00,,
372,E007209,E006608 ,2012JJ00,,
373,E007209,E006608 ,2013JJ00,,
374,E007209,E006608 ,2014JJ00,,
375,E007209,E006608 ,2015JJ00,,
376,E007209,E006608 ,2016JJ00,,
377,E007209,E006608 ,2017JJ00,,
378,E007209,E006608 ,2018JJ00,,
379,E007209,E006608 ,2019JJ00,,
380,E007209,E006608 ,2020JJ00,,
381,E007209,E006608 ,2021JJ00,,
382,E007209,E006608 ,2022JJ00,,
383,E007209,E006608 ,2023JJ00,,
384,E007209,E006608 ,2024JJ00,,
385,E007209,E007028 ,1990JJ00,,
386,E007209,E007028 ,1991JJ00,,
387,E007209,E007028 ,1992JJ00,,
388,E007209,E007028 ,1993JJ00,,
389,E007209,E007028 ,1994JJ00,,
390,E007209,E007028 ,1995JJ00,,
391,E007209,E007028 ,1996JJ00,,
392,E007209,E007028 ,1997JJ00,,
393,E007209,E007028 ,1998JJ00,,
394,E007209,E007028 ,1999JJ00,,
395,E007209,E007028 ,2000JJ00,,
396,E007209,E007028 ,2001JJ00,,
397,E007209,E007028 ,2002JJ00,,
398,E007209,E007028 ,2003JJ00,,
399,E007209,E007028 ,2004JJ00,,
400,E007209,E007028 ,2005JJ00,,
401,E007209,E007028 ,2006JJ00,,
402,E007209,E007028 ,2007JJ00,,
403,E007209,E007028 ,2008JJ00,,
404,E007209,E007028 ,2009JJ00,,
405,E007209,E007028 ,2010JJ00,,
406,E007209,E007028 ,2011JJ00,,
407,E007209,E007028 ,2012JJ00,,
408,E007209,E007028 ,2013JJ00,,
409,E007209,E007028 ,2014JJ00,,
410,E007209,E007028 ,2015JJ00,,
411,E007209,E007028 ,2016JJ00,,
412,E007209,E007028 ,2017JJ00,,
413,E007209,E007028 ,2018JJ00,,
414,E007209,E007028 ,2019JJ00,,
415,E007209,E007028 ,2020JJ00,,
416,E007209,E007028 ,2021JJ00,,
417,E007209,E007028 ,2022JJ00,,
418,E007209,E007028 ,2023JJ00,,
419,E007209,E007028 ,2024JJ00,,
