ID,Regiokenmerken,Gebruiksfunctie,Woningtype,Perioden,NieuwbouwTotaal_1,k_10KwantielDoorlooptijdMaanden_2,k_25KwantielDoorlooptijdMaanden_3,MediaanDoorlooptijdMaanden_4,k_75KwantielDoorlooptijdMaanden_5,k_90KwantielDoorlooptijdMaanden_6,GemiddeldeDoorlooptijdMaanden_7
49,NL01   ,T001419,T001100,2024JJ00,85158.0,11.7,17.0,23.9,32.7,41.1,25.9
50,NL01   ,T001419,T001100,2025KW01,18805.0,11.0,15.4,22.4,34.1,42.6,25.7
51,NL01   ,T001419,T001100,2025KW02,19184.0,12.2,15.5,22.3,33.3,43.8,26.3
52,NL01   ,T001419,T001100,2025KW03,17957.0,11.6,16.4,21.6,34.2,48.8,27.0
53,NL01   ,T001419,T001100,2025KW04,26619.0,12.9,17.2,23.5,35.8,49.0,27.7
54,NL01   ,T001419,T001100,2025JJ00,82565.0,11.7,16.4,22.6,34.1,46.3,26.8
55,NL01   ,T001419,ZW10290,2015KW01,6488.0,7.3,10.5,14.4,22.7,34.9,17.9
56,NL01   ,T001419,ZW10290,2015KW02,7043.0,7.1,9.2,12.7,19.0,32.3,16.2
57,NL01   ,T001419,ZW10290,2015KW03,7166.0,6.9,9.5,13.0,18.2,33.1,16.7
58,NL01   ,T001419,ZW10290,2015KW04,10852.0,8.3,10.2,13.5,18.8,36.1,17.4
59,NL01   ,T001419,ZW10290,2015JJ00,31549.0,7.3,9.8,13.4,19.3,34.0,17.1
60,NL01   ,T001419,ZW10290,2016KW01,7455.0,8.9,11.0,13.5,18.4,30.5,17.2
61,NL01   ,T001419,ZW10290,2016KW02,9221.0,8.5,11.6,14.6,19.8,27.6,17.6
62,NL01   ,T001419,ZW10290,2016KW03,8886.0,7.8,11.6,15.8,20.4,36.8,19.1
63,NL01   ,T001419,ZW10290,2016KW04,12875.0,8.4,11.5,16.6,21.2,35.5,19.5
64,NL01   ,T001419,ZW10290,2016JJ00,38437.0,8.4,11.3,15.2,20.5,32.1,18.5
65,NL01   ,T001419,ZW10290,2017KW01,9886.0,9.1,11.7,16.6,22.6,33.1,20.0
66,NL01   ,T001419,ZW10290,2017KW02,9887.0,8.1,11.0,14.3,22.6,31.0,18.7
67,NL01   ,T001419,ZW10290,2017KW03,9744.0,8.0,10.9,14.9,20.4,31.7,18.5
68,NL01   ,T001419,ZW10290,2017KW04,13164.0,8.9,11.6,15.2,22.4,31.9,19.2
69,NL01   ,T001419,ZW10290,2017JJ00,42681.0,8.5,11.3,15.2,22.3,31.7,19.1
70,NL01   ,T001419,ZW10290,2018KW01,10120.0,8.7,11.9,15.5,20.8,34.4,19.5
71,NL01   ,T001419,ZW10290,2018KW02,11262.0,9.1,11.9,15.6,20.2,29.7,18.7
72,NL01   ,T001419,ZW10290,2018KW03,10409.0,9.3,11.9,15.7,20.1,28.4,19.1
73,NL01   ,T001419,ZW10290,2018KW04,14539.0,9.3,12.5,15.8,20.5,28.0,18.9
74,NL01   ,T001419,ZW10290,2018JJ00,46330.0,9.2,12.1,15.6,20.4,30.3,19.0
75,NL01   ,T001419,ZW10290,2019KW01,11003.0,9.8,12.7,16.5,21.9,31.7,19.9
76,NL01   ,T001419,ZW10290,2019KW02,12769.0,9.6,12.6,16.5,21.4,31.0,19.8
77,NL01   ,T001419,ZW10290,2019KW03,11715.0,9.8,12.4,16.3,21.7,29.4,18.9
78,NL01   ,T001419,ZW10290,2019KW04,15543.0,9.6,13.1,16.8,22.3,29.1,19.6
79,NL01   ,T001419,ZW10290,2019JJ00,51030.0,9.6,12.7,16.5,21.9,30.3,19.6
80,NL01   ,T001419,ZW10290,2020KW01,11006.0,8.5,11.9,16.6,22.0,28.7,19.1
81,NL01   ,T001419,ZW10290,2020KW02,11415.0,9.5,12.6,16.6,21.0,27.6,18.3
82,NL01   ,T001419,ZW10290,2020KW03,10740.0,8.5,12.5,17.7,23.0,29.0,20.3
83,NL01   ,T001419,ZW10290,2020KW04,13884.0,9.1,12.2,17.5,24.6,30.0,19.6
84,NL01   ,T001419,ZW10290,2020JJ00,47045.0,8.9,12.3,17.0,22.5,28.9,19.3
85,NL01   ,T001419,ZW10290,2021KW01,10955.0,9.0,12.4,17.0,24.9,32.7,20.3
86,NL01   ,T001419,ZW10290,2021KW02,11937.0,8.9,11.7,16.3,22.2,30.6,19.0
87,NL01   ,T001419,ZW10290,2021KW03,9934.0,8.2,12.0,15.6,21.6,29.1,18.8
88,NL01   ,T001419,ZW10290,2021KW04,13791.0,9.0,12.7,17.6,22.2,32.2,19.7
89,NL01   ,T001419,ZW10290,2021JJ00,46617.0,8.8,12.2,16.8,22.5,31.6,19.5
90,NL01   ,T001419,ZW10290,2022KW01,10404.0,9.8,13.4,17.5,22.8,33.9,20.4
91,NL01   ,T001419,ZW10290,2022KW02,10673.0,9.6,13.3,17.0,22.1,29.7,19.1
92,NL01   ,T001419,ZW10290,2022KW03,9848.0,9.9,13.5,17.6,22.5,32.1,20.2
93,NL01   ,T001419,ZW10290,2022KW04,13378.0,10.1,13.5,18.8,23.2,31.6,20.7
94,NL01   ,T001419,ZW10290,2022JJ00,44303.0,9.8,13.4,17.8,22.7,31.6,20.1
95,NL01   ,T001419,ZW10290,2023KW01,11322.0,10.5,15.0,20.5,25.3,35.1,22.1
96,NL01   ,T001419,ZW10290,2023KW02,9966.0,10.0,13.8,18.9,24.5,29.3,20.2
97,NL01   ,T001419,ZW10290,2023KW03,10794.0,11.0,14.7,20.0,26.8,33.1,22.1
98,NL01   ,T001419,ZW10290,2023KW04,12744.0,10.4,14.5,19.7,26.2,33.5,21.8
99,NL01   ,T001419,ZW10290,2023JJ00,44826.0,10.5,14.5,19.7,25.8,33.2,21.6
100,NL01   ,T001419,ZW10290,2024KW01,8138.0,10.3,14.3,19.7,27.1,35.1,23.1
101,NL01   ,T001419,ZW10290,2024KW02,9232.0,9.5,13.5,19.5,26.3,34.4,21.4
102,NL01   ,T001419,ZW10290,2024KW03,8232.0,9.8,13.6,19.9,25.4,34.2,21.6
103,NL01   ,T001419,ZW10290,2024KW04,10824.0,10.0,14.0,19.3,25.9,37.8,22.3
104,NL01   ,T001419,ZW10290,2024JJ00,36426.0,9.8,13.8,19.6,26.3,35.5,22.1
105,NL01   ,T001419,ZW10290,2025KW01,8721.0,10.6,14.0,17.5,26.2,35.5,21.8
106,NL01   ,T001419,ZW10290,2025KW02,8551.0,11.2,13.7,18.4,26.1,37.6,21.6
107,NL01   ,T001419,ZW10290,2025KW03,8441.0,10.9,15.0,18.8,24.7,36.2,22.2
108,NL01   ,T001419,ZW10290,2025KW04,,,,,,,
109,NL01   ,T001419,ZW10290,2025JJ00,,,,,,,
110,NL01   ,T001419,ZW10340,2015KW01,6855.0,5.0,16.6,24.1,34.7,47.3,26.0
111,NL01   ,T001419,ZW10340,2015KW02,6118.0,8.3,13.1,16.8,30.5,41.0,22.1
112,NL01   ,T001419,ZW10340,2015KW03,5065.0,11.7,18.7,21.3,30.0,37.8,24.0
113,NL01   ,T001419,ZW10340,2015KW04,6314.0,8.1,12.9,17.3,25.0,40.1,20.7
114,NL01   ,T001419,ZW10340,2015JJ00,24352.0,8.3,14.5,20.9,30.0,41.9,23.1
115,NL01   ,T001419,ZW10340,2016KW01,4409.0,10.8,14.1,19.0,24.7,39.4,21.1
116,NL01   ,T001419,ZW10340,2016KW02,5083.0,12.4,14.3,20.0,26.9,39.3,22.8
117,NL01   ,T001419,ZW10340,2016KW03,6607.0,6.2,14.8,19.2,28.2,38.9,22.2
118,NL01   ,T001419,ZW10340,2016KW04,8841.0,13.1,18.4,21.7,29.7,48.1,26.4
119,NL01   ,T001419,ZW10340,2016JJ00,24940.0,10.9,15.5,20.2,27.4,40.7,23.6
120,NL01   ,T001419,ZW10340,2017KW01,6949.0,12.4,17.5,23.2,28.2,37.7,25.1
121,NL01   ,T001419,ZW10340,2017KW02,6521.0,11.2,17.3,23.4,30.2,39.3,25.2
122,NL01   ,T001419,ZW10340,2017KW03,6419.0,5.7,11.9,20.4,29.4,40.7,22.9
123,NL01   ,T001419,ZW10340,2017KW04,8665.0,11.2,15.0,21.2,27.5,36.3,23.4
124,NL01   ,T001419,ZW10340,2017JJ00,28554.0,10.2,15.4,22.2,29.1,39.8,24.1
125,NL01   ,T001419,ZW10340,2018KW01,7287.0,13.1,16.5,23.2,32.5,43.6,27.3
126,NL01   ,T001419,ZW10340,2018KW02,7497.0,11.5,15.5,20.5,28.9,41.3,23.5
127,NL01   ,T001419,ZW10340,2018KW03,5614.0,11.8,16.0,21.1,26.4,38.5,25.2
128,NL01   ,T001419,ZW10340,2018KW04,10660.0,11.2,15.9,22.3,28.7,41.5,24.4
129,NL01   ,T001419,ZW10340,2018JJ00,31058.0,11.8,16.0,21.6,30.2,41.3,25.0
130,NL01   ,T001419,ZW10340,2019KW01,6503.0,12.5,15.8,21.7,28.7,39.6,24.2
131,NL01   ,T001419,ZW10340,2019KW02,8326.0,13.8,17.6,23.3,29.1,35.5,24.9
132,NL01   ,T001419,ZW10340,2019KW03,7750.0,13.7,17.4,23.7,29.1,40.9,25.6
133,NL01   ,T001419,ZW10340,2019KW04,9849.0,13.5,18.3,24.0,29.6,40.6,26.2
134,NL01   ,T001419,ZW10340,2019JJ00,32428.0,13.3,17.5,22.7,29.3,39.0,25.3
135,NL01   ,T001419,ZW10340,2020KW01,8540.0,13.7,19.0,22.5,27.0,35.6,24.9
136,NL01   ,T001419,ZW10340,2020KW02,8668.0,10.3,16.2,24.1,30.5,38.2,24.5
137,NL01   ,T001419,ZW10340,2020KW03,7354.0,14.4,18.9,25.5,35.8,56.9,29.1
138,NL01   ,T001419,ZW10340,2020KW04,10421.0,13.1,17.5,25.2,32.8,40.0,27.3
139,NL01   ,T001419,ZW10340,2020JJ00,34983.0,12.8,17.8,23.9,31.7,40.6,26.4
140,NL01   ,T001419,ZW10340,2021KW01,11276.0,12.8,18.1,27.4,36.6,42.8,28.1
141,NL01   ,T001419,ZW10340,2021KW02,8193.0,10.7,15.8,22.7,35.1,45.8,26.8
142,NL01   ,T001419,ZW10340,2021KW03,8188.0,12.9,18.2,24.9,33.5,54.1,30.0
143,NL01   ,T001419,ZW10340,2021KW04,10747.0,13.5,18.3,24.6,36.7,40.9,27.0
144,NL01   ,T001419,ZW10340,2021JJ00,38404.0,12.4,17.4,25.0,36.0,44.3,27.9
145,NL01   ,T001419,ZW10340,2022KW01,10357.0,12.6,17.7,26.0,39.1,62.6,30.3
146,NL01   ,T001419,ZW10340,2022KW02,11293.0,13.9,19.9,28.3,41.3,43.1,29.6
147,NL01   ,T001419,ZW10340,2022KW03,10373.0,14.2,19.5,27.5,40.2,48.1,29.9
148,NL01   ,T001419,ZW10340,2022KW04,13494.0,11.4,17.3,22.4,31.5,40.7,24.6
149,NL01   ,T001419,ZW10340,2022JJ00,45517.0,13.0,18.6,24.8,37.6,45.0,28.4
150,NL01   ,T001419,ZW10340,2023KW01,10596.0,13.2,20.0,26.4,36.8,54.4,30.6
151,NL01   ,T001419,ZW10340,2023KW02,10051.0,13.5,17.3,24.5,33.7,42.6,26.5
152,NL01   ,T001419,ZW10340,2023KW03,12507.0,14.0,20.2,27.3,33.6,41.4,28.3
153,NL01   ,T001419,ZW10340,2023KW04,12801.0,12.6,20.3,26.4,31.8,39.5,27.0
154,NL01   ,T001419,ZW10340,2023JJ00,45955.0,13.3,19.2,26.4,33.6,44.0,28.1
155,NL01   ,T001419,ZW10340,2024KW01,11059.0,15.4,20.0,25.2,36.6,41.7,28.3
156,NL01   ,T001419,ZW10340,2024KW02,12362.0,12.7,19.6,27.0,35.0,43.8,28.3
157,NL01   ,T001419,ZW10340,2024KW03,12150.0,15.9,22.2,28.6,36.9,47.0,29.5
158,NL01   ,T001419,ZW10340,2024KW04,13161.0,13.3,19.9,27.8,34.9,42.4,28.6
159,NL01   ,T001419,ZW10340,2024JJ00,48732.0,14.0,20.2,27.7,35.7,42.6,28.7
160,NL01   ,T001419,ZW10340,2025KW01,10082.0,12.1,19.6,27.6,37.8,44.9,28.9
161,NL01   ,T001419,ZW10340,2025KW02,10633.0,13.5,18.6,26.6,37.1,53.0,30.0
162,NL01   ,T001419,ZW10340,2025KW03,9501.0,13.0,18.7,28.4,44.5,51.4,31.2
163,NL01   ,T001419,ZW10340,2025KW04,,,,,,,
164,NL01   ,T001419,ZW10340,2025JJ00,,,,,,,
165,NL01   ,A045364,T001100,2015KW01,11595.0,7.0,11.8,18.6,29.5,45.6,21.9
166,NL01   ,A045364,T001100,2015KW02,11478.0,8.3,10.5,15.1,24.3,35.9,19.1
167,NL01   ,A045364,T001100,2015KW03,10721.0,8.5,11.6,17.2,24.2,35.8,19.8
168,NL01   ,A045364,T001100,2015KW04,15122.0,8.5,11.1,14.7,21.6,37.0,18.6
169,NL01   ,A045364,T001100,2015JJ00,48916.0,8.2,11.2,16.0,24.7,37.8,19.7
170,NL01   ,A045364,T001100,2016KW01,10385.0,9.4,11.7,15.2,21.2,31.2,18.2
171,NL01   ,A045364,T001100,2016KW02,12381.0,9.7,13.0,15.7,22.0,30.5,19.5
172,NL01   ,A045364,T001100,2016KW03,13338.0,7.5,12.8,17.4,22.9,38.9,20.4
173,NL01   ,A045364,T001100,2016KW04,19356.0,9.5,13.5,19.0,24.5,40.8,22.4
174,NL01   ,A045364,T001100,2016JJ00,55460.0,9.2,12.8,17.3,22.8,36.3,20.4
175,NL01   ,A045364,T001100,2017KW01,14565.0,10.0,13.4,19.6,24.7,37.6,22.0
176,NL01   ,A045364,T001100,2017KW02,14719.0,9.6,12.6,18.2,25.9,38.3,21.6
177,NL01   ,A045364,T001100,2017KW03,13859.0,8.0,11.5,16.0,25.7,37.0,20.4
178,NL01   ,A045364,T001100,2017KW04,19739.0,9.8,12.9,17.8,24.1,33.8,21.0
179,NL01   ,A045364,T001100,2017JJ00,62882.0,9.4,12.5,17.8,25.0,37.0,21.2
180,NL01   ,A045364,T001100,2018KW01,15207.0,10.3,13.8,18.6,27.4,40.8,23.0
181,NL01   ,A045364,T001100,2018KW02,16046.0,9.9,13.1,17.0,25.3,34.9,20.8
182,NL01   ,A045364,T001100,2018KW03,13966.0,10.4,13.4,17.0,23.7,33.3,21.3
183,NL01   ,A045364,T001100,2018KW04,21770.0,10.4,13.6,18.0,24.4,32.1,21.1
184,NL01   ,A045364,T001100,2018JJ00,66989.0,10.3,13.4,17.5,25.0,35.3,21.5
185,NL01   ,A045364,T001100,2019KW01,15063.0,11.0,13.8,17.9,23.6,32.2,21.2
186,NL01   ,A045364,T001100,2019KW02,18042.0,11.2,14.5,19.2,25.4,33.8,22.0
187,NL01   ,A045364,T001100,2019KW03,16933.0,11.3,14.5,19.5,26.3,33.3,21.9
188,NL01   ,A045364,T001100,2019KW04,21863.0,11.0,14.9,19.8,26.9,31.9,22.4
189,NL01   ,A045364,T001100,2019JJ00,71901.0,11.2,14.5,19.1,25.9,32.7,22.0
190,NL01   ,A045364,T001100,2020KW01,16793.0,11.1,15.2,19.8,24.6,31.6,21.9
191,NL01   ,A045364,T001100,2020KW02,17410.0,9.7,13.9,19.2,27.0,36.6,21.1
192,NL01   ,A045364,T001100,2020KW03,15241.0,10.7,14.9,21.1,28.0,42.7,24.3
193,NL01   ,A045364,T001100,2020KW04,20747.0,10.8,14.3,21.0,28.8,36.6,23.3
194,NL01   ,A045364,T001100,2020JJ00,70191.0,10.6,14.5,20.2,26.9,36.6,22.6
195,NL01   ,A045364,T001100,2021KW01,19019.0,11.1,15.6,22.1,32.8,38.7,24.7
196,NL01   ,A045364,T001100,2021KW02,16800.0,9.8,13.7,18.6,28.2,41.3,22.4
197,NL01   ,A045364,T001100,2021KW03,15039.0,10.4,14.3,20.5,29.4,44.1,24.6
198,NL01   ,A045364,T001100,2021KW04,20097.0,11.1,15.1,20.3,29.4,39.8,23.5
199,NL01   ,A045364,T001100,2021JJ00,70955.0,10.7,14.8,20.3,30.3,39.8,23.8
200,NL01   ,A045364,T001100,2022KW01,16851.0,11.9,15.5,21.3,34.7,50.3,26.3
201,NL01   ,A045364,T001100,2022KW02,18887.0,12.5,16.3,22.3,34.9,42.4,25.7
202,NL01   ,A045364,T001100,2022KW03,16496.0,12.6,16.8,21.5,32.3,48.1,25.9
203,NL01   ,A045364,T001100,2022KW04,21836.0,11.4,16.3,21.0,28.0,39.1,23.3
204,NL01   ,A045364,T001100,2022JJ00,74070.0,12.1,16.2,21.5,31.5,42.4,25.2
205,NL01   ,A045364,T001100,2023KW01,17203.0,12.3,17.4,23.3,32.3,46.2,26.9
206,NL01   ,A045364,T001100,2023KW02,16749.0,11.7,17.1,21.9,29.0,38.0,23.9
207,NL01   ,A045364,T001100,2023KW03,19143.0,12.6,17.9,24.5,32.3,36.0,25.6
208,NL01   ,A045364,T001100,2023KW04,20474.0,13.0,17.6,24.5,30.7,37.5,25.2
209,NL01   ,A045364,T001100,2023JJ00,73569.0,12.5,17.3,23.5,31.0,39.0,25.4
210,NL01   ,A045364,T001100,2024KW01,15584.0,12.9,17.7,23.7,33.5,41.1,26.5
211,NL01   ,A045364,T001100,2024KW02,17130.0,12.1,17.0,24.4,34.1,39.8,26.1
212,NL01   ,A045364,T001100,2024KW03,17109.0,12.6,18.8,25.9,33.3,41.2,27.1
213,NL01   ,A045364,T001100,2024KW04,19143.0,12.5,16.9,24.2,33.5,41.3,25.9
214,NL01   ,A045364,T001100,2024JJ00,68966.0,12.5,17.6,24.4,33.5,41.1,26.4
215,NL01   ,A045364,T001100,2025KW01,15512.0,11.4,15.9,23.9,35.5,42.6,26.1
216,NL01   ,A045364,T001100,2025KW02,16051.0,12.2,15.9,22.8,33.5,46.8,26.8
217,NL01   ,A045364,T001100,2025KW03,14853.0,12.5,16.8,22.5,35.2,48.9,27.5
218,NL01   ,A045364,T001100,2025KW04,22767.0,13.2,17.7,24.3,35.8,49.0,28.2
219,NL01   ,A045364,T001100,2025JJ00,69183.0,12.4,16.8,23.4,35.5,47.3,27.3
220,NL01   ,A045364,ZW10290,2015KW01,5427.0,7.5,10.5,14.3,22.5,33.7,17.8
221,NL01   ,A045364,ZW10290,2015KW02,6052.0,7.3,9.4,12.6,18.8,32.1,16.0
222,NL01   ,A045364,ZW10290,2015KW03,6152.0,7.2,9.8,13.0,17.9,31.4,16.4
223,NL01   ,A045364,ZW10290,2015KW04,9646.0,8.5,10.4,13.5,18.6,34.1,17.2
224,NL01   ,A045364,ZW10290,2015JJ00,27277.0,7.6,10.0,13.4,18.9,32.4,16.9
225,NL01   ,A045364,ZW10290,2016KW01,6604.0,9.1,11.0,13.4,17.9,27.0,16.9
226,NL01   ,A045364,ZW10290,2016KW02,7964.0,8.9,11.7,14.6,19.0,26.3,17.4
227,NL01   ,A045364,ZW10290,2016KW03,7593.0,8.7,12.0,16.0,19.9,34.2,19.2
228,NL01   ,A045364,ZW10290,2016KW04,11437.0,8.6,11.6,16.6,21.0,35.5,19.5
229,NL01   ,A045364,ZW10290,2016JJ00,33598.0,8.9,11.5,15.2,20.1,30.5,18.4
230,NL01   ,A045364,ZW10290,2017KW01,8562.0,9.3,11.9,16.6,22.6,32.1,20.0
231,NL01   ,A045364,ZW10290,2017KW02,8878.0,8.5,11.1,14.8,22.7,30.1,18.8
232,NL01   ,A045364,ZW10290,2017KW03,8273.0,8.4,11.0,14.4,20.2,29.6,18.4
233,NL01   ,A045364,ZW10290,2017KW04,12113.0,9.1,11.8,15.2,22.0,31.4,19.2
234,NL01   ,A045364,ZW10290,2017JJ00,37826.0,8.9,11.4,15.3,22.2,31.1,19.1
235,NL01   ,A045364,ZW10290,2018KW01,8890.0,9.4,12.1,15.6,20.5,33.9,19.6
236,NL01   ,A045364,ZW10290,2018KW02,9619.0,9.4,11.9,15.3,20.0,28.9,18.4
237,NL01   ,A045364,ZW10290,2018KW03,9228.0,9.7,12.1,15.9,20.2,27.7,19.1
238,NL01   ,A045364,ZW10290,2018KW04,12554.0,10.1,12.9,16.1,20.4,26.8,18.8
239,NL01   ,A045364,ZW10290,2018JJ00,40291.0,9.7,12.3,15.7,20.3,28.9,18.9
240,NL01   ,A045364,ZW10290,2019KW01,9388.0,10.1,12.9,16.5,21.1,28.6,19.4
241,NL01   ,A045364,ZW10290,2019KW02,10887.0,10.1,13.0,16.8,21.1,30.7,19.8
242,NL01   ,A045364,ZW10290,2019KW03,10262.0,10.3,12.8,16.7,21.9,28.5,19.2
243,NL01   ,A045364,ZW10290,2019KW04,13519.0,10.1,13.6,17.0,22.3,28.9,19.6
244,NL01   ,A045364,ZW10290,2019JJ00,44056.0,10.1,13.1,16.7,21.8,29.3,19.5
245,NL01   ,A045364,ZW10290,2020KW01,9471.0,9.2,12.5,16.8,21.8,28.3,19.2
246,NL01   ,A045364,ZW10290,2020KW02,10171.0,9.6,12.6,16.5,20.8,27.0,18.1
247,NL01   ,A045364,ZW10290,2020KW03,9101.0,9.2,13.1,18.5,23.0,29.0,20.7
248,NL01   ,A045364,ZW10290,2020KW04,11957.0,9.3,12.2,17.1,23.7,28.8,19.1
249,NL01   ,A045364,ZW10290,2020JJ00,40700.0,9.4,12.6,17.1,22.2,28.5,19.2
250,NL01   ,A045364,ZW10290,2021KW01,9509.0,9.1,12.5,17.0,24.2,31.8,20.0
251,NL01   ,A045364,ZW10290,2021KW02,10031.0,9.2,12.0,16.4,22.3,30.5,18.9
252,NL01   ,A045364,ZW10290,2021KW03,7982.0,8.9,12.2,16.0,21.7,29.1,18.7
253,NL01   ,A045364,ZW10290,2021KW04,11286.0,10.0,13.2,17.7,22.4,32.2,19.8
254,NL01   ,A045364,ZW10290,2021JJ00,38808.0,9.3,12.6,16.9,22.5,31.0,19.4
255,NL01   ,A045364,ZW10290,2022KW01,8378.0,10.5,13.6,17.5,23.0,34.0,20.6
256,NL01   ,A045364,ZW10290,2022KW02,9048.0,10.5,13.7,17.4,22.1,29.8,19.4
257,NL01   ,A045364,ZW10290,2022KW03,7878.0,10.3,14.0,17.9,22.5,31.6,20.0
258,NL01   ,A045364,ZW10290,2022KW04,10737.0,10.3,14.2,19.1,23.3,29.8,20.7
259,NL01   ,A045364,ZW10290,2022JJ00,36041.0,10.3,13.8,18.1,22.8,30.7,20.2
260,NL01   ,A045364,ZW10290,2023KW01,9005.0,11.2,15.1,20.6,25.2,34.7,21.9
261,NL01   ,A045364,ZW10290,2023KW02,8479.0,10.6,14.4,19.1,24.7,29.1,20.3
