ID,SectorBranchesSIC2008,Periods,OutputBasicPrices_1,IntermediateConsumption_2,GrossValueAddedBasicPrices_3,OutputBasicPrices_4,IntermediateConsumption_5,GrossValueAddedBasicPrices_6,OutputBasicPrices_7,IntermediateConsumption_8,GrossValueAddedBasicPrices_9,OutputBasicPrices_10,IntermediateConsumption_11,GrossValueAddedBasicPrices_12,Total_13,WagesAndSalaries_14,EmployersSocialContributions_15,Gross_16,ConsumptionOfFixedCapital_17,Net_18,TaxesLessSubsidies_19,OtherTaxesOnProduction_20,OtherSubsidiesOnProduction_21,GrossValueAddedBasicPrices_22
2777,383200,2010JJ00,25874.0,14910.0,10964.0,25874.0,14910.0,10964.0,0.7,-1.1,3.1,100.0,100.0,100.0,7616.0,5934.0,1682.0,3308.0,1572.0,1736.0,40.0,143.0,103.0,10964.0
2778,383200,2011JJ00,27409.0,16079.0,11330.0,26712.0,15320.0,11392.0,3.2,2.7,3.9,102.6,105.0,99.5,7785.0,6055.0,1730.0,3495.0,1598.0,1897.0,50.0,142.0,92.0,11330.0
2779,383200,2012JJ00,27904.0,16256.0,11648.0,26595.0,15075.0,11530.0,-0.4,-1.6,1.2,104.9,107.8,101.0,7764.0,5982.0,1782.0,3826.0,1653.0,2173.0,58.0,139.0,81.0,11648.0
2780,383200,2013JJ00,27416.0,15872.0,11544.0,25872.0,14669.0,11212.0,-2.7,-2.7,-2.8,106.0,108.2,103.0,7602.0,5865.0,1737.0,3856.0,1704.0,2152.0,86.0,136.0,50.0,11544.0
2781,383200,2014JJ00,28009.0,16070.0,11939.0,26193.0,14973.0,11223.0,1.2,2.1,0.1,106.9,107.3,106.4,7565.0,5808.0,1757.0,4270.0,1723.0,2547.0,104.0,142.0,38.0,11939.0
2782,383200,2015JJ00,28709.0,16497.0,12212.0,26853.0,15718.0,11134.0,2.5,5.0,-0.8,106.9,105.0,109.7,7737.0,5968.0,1769.0,4359.0,1781.0,2578.0,116.0,142.0,26.0,12212.0
2783,383200,2016JJ00,29760.0,16703.0,13057.0,27666.0,16178.0,11487.0,3.0,2.9,3.2,107.6,103.2,113.7,8059.0,6197.0,1862.0,4883.0,,,115.0,145.0,30.0,13057.0
2784,384900,1969JJ00,,,,,,,,,,,,,,,,,,,,,,
2785,384900,1970JJ00,,,,,,,,,,,,,,,,,,,,,,
2786,384900,1971JJ00,,,,,,,,,,,,,,,,,,,,,,
