ID,EnergySourcesTechniques,EnergyApplication,Periods,FinalConsumptionInTerajoule_1,InTotalEnergeticFinalConsumption_2,AvoidedPrimaryEnergyInTJ_3,AvoidedPrimaryEnergyInTotalUse_4,AvoidedCarbonDioxideEmissionInKton_5,AvoidedCO2EmissionInOfTotEmiss_6
102,11000,totaal,1996JJ00,344.0,0.02,852.0,0.03,60.0,0.03
103,11000,totaal,1997JJ00,342.0,0.02,810.0,0.03,58.0,0.03
104,11000,totaal,1998JJ00,349.0,0.02,824.0,0.03,59.0,0.03
105,11000,totaal,1999JJ00,347.0,0.02,820.0,0.03,57.0,0.03
106,11000,totaal,2000JJ00,362.0,0.02,865.0,0.03,62.0,0.04
107,11000,totaal,2001JJ00,367.0,0.02,890.0,0.03,63.0,0.04
108,11000,totaal,2002JJ00,369.0,0.02,898.0,0.03,64.0,0.04
109,11000,totaal,2003JJ00,361.0,0.02,872.0,0.03,61.0,0.03
110,11000,totaal,2004JJ00,360.0,0.02,859.0,0.03,60.0,0.03
111,11000,totaal,2005JJ00,361.0,0.02,857.0,0.03,59.0,0.03
112,11000,totaal,2006JJ00,361.0,0.02,840.0,0.03,59.0,0.03
113,11000,totaal,2007JJ00,358.0,0.02,825.0,0.02,57.0,0.03
114,11000,totaal,2008JJ00,360.0,0.02,846.0,0.03,58.0,0.03
115,11000,totaal,2009JJ00,360.0,0.02,829.0,0.03,57.0,0.03
116,11000,totaal,2010JJ00,364.0,0.02,820.0,0.02,55.0,0.03
117,11000,totaal,2011JJ00,358.0,0.02,790.0,0.02,53.0,0.03
118,11000,totaal,2012JJ00,361.0,0.02,825.0,0.03,59.0,0.04
119,11000,totaal,2013JJ00,362.0,0.02,817.0,0.03,60.0,0.04
120,11000,elek  ,1990JJ00,306.0,0.02,775.0,0.03,55.0,0.03
121,11000,elek  ,1991JJ00,340.0,0.02,861.0,0.03,60.0,0.04
122,11000,elek  ,1992JJ00,371.0,0.02,941.0,0.03,64.0,0.04
123,11000,elek  ,1993JJ00,361.0,0.02,923.0,0.03,63.0,0.04
124,11000,elek  ,1994JJ00,361.0,0.02,920.0,0.03,64.0,0.04
125,11000,elek  ,1995JJ00,353.0,0.02,895.0,0.03,64.0,0.04
126,11000,elek  ,1996JJ00,344.0,0.02,852.0,0.03,60.0,0.03
127,11000,elek  ,1997JJ00,342.0,0.02,810.0,0.03,58.0,0.03
128,11000,elek  ,1998JJ00,349.0,0.02,824.0,0.03,59.0,0.03
129,11000,elek  ,1999JJ00,347.0,0.02,820.0,0.03,57.0,0.03
130,11000,elek  ,2000JJ00,362.0,0.02,865.0,0.03,62.0,0.04
131,11000,elek  ,2001JJ00,367.0,0.02,890.0,0.03,63.0,0.04
132,11000,elek  ,2002JJ00,369.0,0.02,898.0,0.03,64.0,0.04
133,11000,elek  ,2003JJ00,361.0,0.02,872.0,0.03,61.0,0.03
134,11000,elek  ,2004JJ00,360.0,0.02,859.0,0.03,60.0,0.03
135,11000,elek  ,2005JJ00,361.0,0.02,857.0,0.03,59.0,0.03
136,11000,elek  ,2006JJ00,361.0,0.02,840.0,0.03,59.0,0.03
137,11000,elek  ,2007JJ00,358.0,0.02,825.0,0.02,57.0,0.03
138,11000,elek  ,2008JJ00,360.0,0.02,846.0,0.03,58.0,0.03
139,11000,elek  ,2009JJ00,360.0,0.02,829.0,0.03,57.0,0.03
140,11000,elek  ,2010JJ00,364.0,0.02,820.0,0.02,55.0,0.03
141,11000,elek  ,2011JJ00,358.0,0.02,790.0,0.02,53.0,0.03
142,11000,elek  ,2012JJ00,361.0,0.02,825.0,0.03,59.0,0.04
143,11000,elek  ,2013JJ00,362.0,0.02,817.0,0.03,60.0,0.04
144,11000,warm  ,1990JJ00,,,,,,
145,11000,warm  ,1991JJ00,,,,,,
146,11000,warm  ,1992JJ00,,,,,,
147,11000,warm  ,1993JJ00,,,,,,
148,11000,warm  ,1994JJ00,,,,,,
149,11000,warm  ,1995JJ00,,,,,,
150,11000,warm  ,1996JJ00,,,,,,
151,11000,warm  ,1997JJ00,,,,,,
152,11000,warm  ,1998JJ00,,,,,,
153,11000,warm  ,1999JJ00,,,,,,
154,11000,warm  ,2000JJ00,,,,,,
155,11000,warm  ,2001JJ00,,,,,,
156,11000,warm  ,2002JJ00,,,,,,
157,11000,warm  ,2003JJ00,,,,,,
158,11000,warm  ,2004JJ00,,,,,,
159,11000,warm  ,2005JJ00,,,,,,
160,11000,warm  ,2006JJ00,,,,,,
161,11000,warm  ,2007JJ00,,,,,,
162,11000,warm  ,2008JJ00,,,,,,
163,11000,warm  ,2009JJ00,,,,,,
164,11000,warm  ,2010JJ00,,,,,,
165,11000,warm  ,2011JJ00,,,,,,
166,11000,warm  ,2012JJ00,,,,,,
167,11000,warm  ,2013JJ00,,,,,,
168,11000,trans ,1990JJ00,,,,,,
169,11000,trans ,1991JJ00,,,,,,
170,11000,trans ,1992JJ00,,,,,,
171,11000,trans ,1993JJ00,,,,,,
172,11000,trans ,1994JJ00,,,,,,
173,11000,trans ,1995JJ00,,,,,,
174,11000,trans ,1996JJ00,,,,,,
175,11000,trans ,1997JJ00,,,,,,
176,11000,trans ,1998JJ00,,,,,,
177,11000,trans ,1999JJ00,,,,,,
178,11000,trans ,2000JJ00,,,,,,
179,11000,trans ,2001JJ00,,,,,,
180,11000,trans ,2002JJ00,,,,,,
181,11000,trans ,2003JJ00,,,,,,
182,11000,trans ,2004JJ00,,,,,,
183,11000,trans ,2005JJ00,,,,,,
184,11000,trans ,2006JJ00,,,,,,
185,11000,trans ,2007JJ00,,,,,,
186,11000,trans ,2008JJ00,,,,,,
187,11000,trans ,2009JJ00,,,,,,
188,11000,trans ,2010JJ00,,,,,,
189,11000,trans ,2011JJ00,,,,,,
190,11000,trans ,2012JJ00,,,,,,
191,11000,trans ,2013JJ00,,,,,,
192,12000,totaal,1990JJ00,202.0,0.01,510.0,0.02,36.0,0.02
193,12000,totaal,1991JJ00,317.0,0.02,802.0,0.03,56.0,0.03
194,12000,totaal,1992JJ00,492.0,0.03,1249.0,0.04,85.0,0.05
195,12000,totaal,1993JJ00,624.0,0.03,1595.0,0.06,109.0,0.07
196,12000,totaal,1994JJ00,794.0,0.04,2025.0,0.07,142.0,0.08
197,12000,totaal,1995JJ00,1132.0,0.06,2865.0,0.1,204.0,0.12
198,12000,totaal,1996JJ00,1568.0,0.07,3880.0,0.13,272.0,0.15
199,12000,totaal,1997JJ00,1761.0,0.08,4164.0,0.14,301.0,0.18
200,12000,totaal,1998JJ00,2056.0,0.1,4849.0,0.16,345.0,0.2
201,12000,totaal,1999JJ00,2312.0,0.11,5465.0,0.18,379.0,0.23
202,12000,totaal,2000JJ00,2680.0,0.13,6411.0,0.21,457.0,0.27
203,12000,totaal,2001JJ00,2959.0,0.14,7183.0,0.23,509.0,0.29
204,12000,totaal,2002JJ00,3671.0,0.17,8931.0,0.28,632.0,0.36
205,12000,totaal,2003JJ00,4890.0,0.22,11812.0,0.37,832.0,0.46
206,12000,totaal,2004JJ00,6345.0,0.28,15143.0,0.46,1054.0,0.58
207,12000,totaal,2005JJ00,7320.0,0.33,17387.0,0.53,1198.0,0.68
208,12000,totaal,2006JJ00,9145.0,0.42,21268.0,0.66,1487.0,0.86
209,12000,totaal,2007JJ00,11396.0,0.51,26259.0,0.79,1809.0,1.05
210,12000,totaal,2008JJ00,14131.0,0.62,33170.0,1.0,2285.0,1.3
211,12000,totaal,2009JJ00,16131.0,0.75,37168.0,1.15,2539.0,1.5
212,12000,totaal,2010JJ00,16210.0,0.7,36508.0,1.05,2457.0,1.35
213,12000,totaal,2011JJ00,17010.0,0.79,37633.0,1.16,2540.0,1.52
214,12000,totaal,2012JJ00,17780.0,0.81,40539.0,1.24,2886.0,1.74
215,12000,totaal,2013JJ00,19324.0,0.88,43355.0,1.34,3195.0,1.92
216,12000,elek  ,1990JJ00,202.0,0.01,510.0,0.02,36.0,0.02
217,12000,elek  ,1991JJ00,317.0,0.02,802.0,0.03,56.0,0.03
218,12000,elek  ,1992JJ00,492.0,0.03,1249.0,0.04,85.0,0.05
219,12000,elek  ,1993JJ00,624.0,0.03,1595.0,0.06,109.0,0.07
220,12000,elek  ,1994JJ00,794.0,0.04,2025.0,0.07,142.0,0.08
221,12000,elek  ,1995JJ00,1132.0,0.06,2865.0,0.1,204.0,0.12
222,12000,elek  ,1996JJ00,1568.0,0.07,3880.0,0.13,272.0,0.15
223,12000,elek  ,1997JJ00,1761.0,0.08,4164.0,0.14,301.0,0.18
224,12000,elek  ,1998JJ00,2056.0,0.1,4849.0,0.16,345.0,0.2
225,12000,elek  ,1999JJ00,2312.0,0.11,5465.0,0.18,379.0,0.23
226,12000,elek  ,2000JJ00,2680.0,0.13,6411.0,0.21,457.0,0.27
227,12000,elek  ,2001JJ00,2959.0,0.14,7183.0,0.23,509.0,0.29
228,12000,elek  ,2002JJ00,3671.0,0.17,8931.0,0.28,632.0,0.36
229,12000,elek  ,2003JJ00,4890.0,0.22,11812.0,0.37,832.0,0.46
230,12000,elek  ,2004JJ00,6345.0,0.28,15143.0,0.46,1054.0,0.58
231,12000,elek  ,2005JJ00,7320.0,0.33,17387.0,0.53,1198.0,0.68
232,12000,elek  ,2006JJ00,9145.0,0.42,21268.0,0.66,1487.0,0.86
233,12000,elek  ,2007JJ00,11396.0,0.51,26259.0,0.79,1809.0,1.05
234,12000,elek  ,2008JJ00,14131.0,0.62,33170.0,1.0,2285.0,1.3
235,12000,elek  ,2009JJ00,16131.0,0.75,37168.0,1.15,2539.0,1.5
236,12000,elek  ,2010JJ00,16210.0,0.7,36508.0,1.05,2457.0,1.35
237,12000,elek  ,2011JJ00,17010.0,0.79,37633.0,1.16,2540.0,1.52
238,12000,elek  ,2012JJ00,17780.0,0.81,40539.0,1.24,2886.0,1.74
239,12000,elek  ,2013JJ00,19324.0,0.88,43355.0,1.34,3195.0,1.92
240,12000,warm  ,1990JJ00,,,,,,
241,12000,warm  ,1991JJ00,,,,,,
242,12000,warm  ,1992JJ00,,,,,,
243,12000,warm  ,1993JJ00,,,,,,
244,12000,warm  ,1994JJ00,,,,,,
245,12000,warm  ,1995JJ00,,,,,,
246,12000,warm  ,1996JJ00,,,,,,
247,12000,warm  ,1997JJ00,,,,,,
248,12000,warm  ,1998JJ00,,,,,,
249,12000,warm  ,1999JJ00,,,,,,
250,12000,warm  ,2000JJ00,,,,,,
251,12000,warm  ,2001JJ00,,,,,,
252,12000,warm  ,2002JJ00,,,,,,
253,12000,warm  ,2003JJ00,,,,,,
254,12000,warm  ,2004JJ00,,,,,,
255,12000,warm  ,2005JJ00,,,,,,
256,12000,warm  ,2006JJ00,,,,,,
257,12000,warm  ,2007JJ00,,,,,,
258,12000,warm  ,2008JJ00,,,,,,
259,12000,warm  ,2009JJ00,,,,,,
260,12000,warm  ,2010JJ00,,,,,,
261,12000,warm  ,2011JJ00,,,,,,
262,12000,warm  ,2012JJ00,,,,,,
263,12000,warm  ,2013JJ00,,,,,,
264,12000,trans ,1990JJ00,,,,,,
265,12000,trans ,1991JJ00,,,,,,
266,12000,trans ,1992JJ00,,,,,,
267,12000,trans ,1993JJ00,,,,,,
268,12000,trans ,1994JJ00,,,,,,
269,12000,trans ,1995JJ00,,,,,,
270,12000,trans ,1996JJ00,,,,,,
271,12000,trans ,1997JJ00,,,,,,
272,12000,trans ,1998JJ00,,,,,,
273,12000,trans ,1999JJ00,,,,,,
274,12000,trans ,2000JJ00,,,,,,
275,12000,trans ,2001JJ00,,,,,,
276,12000,trans ,2002JJ00,,,,,,
277,12000,trans ,2003JJ00,,,,,,
278,12000,trans ,2004JJ00,,,,,,
279,12000,trans ,2005JJ00,,,,,,
280,12000,trans ,2006JJ00,,,,,,
281,12000,trans ,2007JJ00,,,,,,
282,12000,trans ,2008JJ00,,,,,,
283,12000,trans ,2009JJ00,,,,,,
284,12000,trans ,2010JJ00,,,,,,
285,12000,trans ,2011JJ00,,,,,,
286,12000,trans ,2012JJ00,,,,,,
287,12000,trans ,2013JJ00,,,,,,
288,12010,totaal,1990JJ00,202.0,0.01,510.0,0.02,36.0,0.02
289,12010,totaal,1991JJ00,317.0,0.02,802.0,0.03,56.0,0.03
290,12010,totaal,1992JJ00,492.0,0.03,1249.0,0.04,85.0,0.05
291,12010,totaal,1993JJ00,624.0,0.03,1595.0,0.06,109.0,0.07
292,12010,totaal,1994JJ00,794.0,0.04,2025.0,0.07,142.0,0.08
293,12010,totaal,1995JJ00,1132.0,0.06,2865.0,0.1,204.0,0.12
294,12010,totaal,1996JJ00,1568.0,0.07,3880.0,0.13,272.0,0.15
295,12010,totaal,1997JJ00,1761.0,0.08,4164.0,0.14,301.0,0.18
296,12010,totaal,1998JJ00,2056.0,0.1,4849.0,0.16,345.0,0.2
297,12010,totaal,1999JJ00,2312.0,0.11,5465.0,0.18,379.0,0.23
298,12010,totaal,2000JJ00,2680.0,0.13,6411.0,0.21,457.0,0.27
299,12010,totaal,2001JJ00,2959.0,0.14,7183.0,0.23,509.0,0.29
300,12010,totaal,2002JJ00,3671.0,0.17,8931.0,0.28,632.0,0.36
301,12010,totaal,2003JJ00,4890.0,0.22,11812.0,0.37,832.0,0.46
302,12010,totaal,2004JJ00,6345.0,0.28,15143.0,0.46,1054.0,0.58
303,12010,totaal,2005JJ00,7320.0,0.33,17387.0,0.53,1198.0,0.68
304,12010,totaal,2006JJ00,8917.0,0.41,20737.0,0.64,1450.0,0.84
305,12010,totaal,2007JJ00,10304.0,0.46,23742.0,0.71,1636.0,0.95
306,12010,totaal,2008JJ00,12154.0,0.53,28530.0,0.86,1966.0,1.12
307,12010,totaal,2009JJ00,13543.0,0.63,31206.0,0.96,2131.0,1.26
308,12010,totaal,2010JJ00,13455.0,0.58,30303.0,0.87,2039.0,1.12
309,12010,totaal,2011JJ00,14336.0,0.67,31718.0,0.98,2141.0,1.28
310,12010,totaal,2012JJ00,14963.0,0.68,34292.0,1.05,2442.0,1.48
311,12010,totaal,2013JJ00,16676.0,0.76,37219.0,1.15,2743.0,1.65
312,12010,elek  ,1990JJ00,202.0,0.01,510.0,0.02,36.0,0.02
313,12010,elek  ,1991JJ00,317.0,0.02,802.0,0.03,56.0,0.03
314,12010,elek  ,1992JJ00,492.0,0.03,1249.0,0.04,85.0,0.05
315,12010,elek  ,1993JJ00,624.0,0.03,1595.0,0.06,109.0,0.07
316,12010,elek  ,1994JJ00,794.0,0.04,2025.0,0.07,142.0,0.08
317,12010,elek  ,1995JJ00,1132.0,0.06,2865.0,0.1,204.0,0.12
318,12010,elek  ,1996JJ00,1568.0,0.07,3880.0,0.13,272.0,0.15
319,12010,elek  ,1997JJ00,1761.0,0.08,4164.0,0.14,301.0,0.18
320,12010,elek  ,1998JJ00,2056.0,0.1,4849.0,0.16,345.0,0.2
321,12010,elek  ,1999JJ00,2312.0,0.11,5465.0,0.18,379.0,0.23
322,12010,elek  ,2000JJ00,2680.0,0.13,6411.0,0.21,457.0,0.27
323,12010,elek  ,2001JJ00,2959.0,0.14,7183.0,0.23,509.0,0.29
324,12010,elek  ,2002JJ00,3671.0,0.17,8931.0,0.28,632.0,0.36
325,12010,elek  ,2003JJ00,4890.0,0.22,11812.0,0.37,832.0,0.46
326,12010,elek  ,2004JJ00,6345.0,0.28,15143.0,0.46,1054.0,0.58
327,12010,elek  ,2005JJ00,7320.0,0.33,17387.0,0.53,1198.0,0.68
328,12010,elek  ,2006JJ00,8917.0,0.41,20737.0,0.64,1450.0,0.84
329,12010,elek  ,2007JJ00,10304.0,0.46,23742.0,0.71,1636.0,0.95
330,12010,elek  ,2008JJ00,12154.0,0.53,28530.0,0.86,1966.0,1.12
331,12010,elek  ,2009JJ00,13543.0,0.63,31206.0,0.96,2131.0,1.26
332,12010,elek  ,2010JJ00,13455.0,0.58,30303.0,0.87,2039.0,1.12
333,12010,elek  ,2011JJ00,14336.0,0.67,31718.0,0.98,2141.0,1.28
334,12010,elek  ,2012JJ00,14963.0,0.68,34292.0,1.05,2442.0,1.48
335,12010,elek  ,2013JJ00,16676.0,0.76,37219.0,1.15,2743.0,1.65
336,12010,warm  ,1990JJ00,,,,,,
337,12010,warm  ,1991JJ00,,,,,,
338,12010,warm  ,1992JJ00,,,,,,
339,12010,warm  ,1993JJ00,,,,,,
340,12010,warm  ,1994JJ00,,,,,,
341,12010,warm  ,1995JJ00,,,,,,
342,12010,warm  ,1996JJ00,,,,,,
343,12010,warm  ,1997JJ00,,,,,,
344,12010,warm  ,1998JJ00,,,,,,
345,12010,warm  ,1999JJ00,,,,,,
346,12010,warm  ,2000JJ00,,,,,,
347,12010,warm  ,2001JJ00,,,,,,
348,12010,warm  ,2002JJ00,,,,,,
349,12010,warm  ,2003JJ00,,,,,,
350,12010,warm  ,2004JJ00,,,,,,
351,12010,warm  ,2005JJ00,,,,,,
352,12010,warm  ,2006JJ00,,,,,,
353,12010,warm  ,2007JJ00,,,,,,
354,12010,warm  ,2008JJ00,,,,,,
355,12010,warm  ,2009JJ00,,,,,,
356,12010,warm  ,2010JJ00,,,,,,
357,12010,warm  ,2011JJ00,,,,,,
358,12010,warm  ,2012JJ00,,,,,,
359,12010,warm  ,2013JJ00,,,,,,
360,12010,trans ,1990JJ00,,,,,,
361,12010,trans ,1991JJ00,,,,,,
362,12010,trans ,1992JJ00,,,,,,
363,12010,trans ,1993JJ00,,,,,,
364,12010,trans ,1994JJ00,,,,,,
365,12010,trans ,1995JJ00,,,,,,
366,12010,trans ,1996JJ00,,,,,,
367,12010,trans ,1997JJ00,,,,,,
368,12010,trans ,1998JJ00,,,,,,
369,12010,trans ,1999JJ00,,,,,,
370,12010,trans ,2000JJ00,,,,,,
371,12010,trans ,2001JJ00,,,,,,
372,12010,trans ,2002JJ00,,,,,,
373,12010,trans ,2003JJ00,,,,,,
374,12010,trans ,2004JJ00,,,,,,
375,12010,trans ,2005JJ00,,,,,,
376,12010,trans ,2006JJ00,,,,,,
377,12010,trans ,2007JJ00,,,,,,
378,12010,trans ,2008JJ00,,,,,,
379,12010,trans ,2009JJ00,,,,,,
380,12010,trans ,2010JJ00,,,,,,
381,12010,trans ,2011JJ00,,,,,,
382,12010,trans ,2012JJ00,,,,,,
383,12010,trans ,2013JJ00,,,,,,
384,12020,totaal,1990JJ00,0.0,0.0,0.0,0.0,0.0,0.0
385,12020,totaal,1991JJ00,0.0,0.0,0.0,0.0,0.0,0.0
386,12020,totaal,1992JJ00,0.0,0.0,0.0,0.0,0.0,0.0
387,12020,totaal,1993JJ00,0.0,0.0,0.0,0.0,0.0,0.0
388,12020,totaal,1994JJ00,0.0,0.0,0.0,0.0,0.0,0.0
389,12020,totaal,1995JJ00,0.0,0.0,0.0,0.0,0.0,0.0
390,12020,totaal,1996JJ00,0.0,0.0,0.0,0.0,0.0,0.0
391,12020,totaal,1997JJ00,0.0,0.0,0.0,0.0,0.0,0.0
392,12020,totaal,1998JJ00,0.0,0.0,0.0,0.0,0.0,0.0
393,12020,totaal,1999JJ00,0.0,0.0,0.0,0.0,0.0,0.0
394,12020,totaal,2000JJ00,0.0,0.0,0.0,0.0,0.0,0.0
