ID,InstitutioneleSectoren,TransactiesEnSaldi,Perioden,OverheidsproductieEnConsumptie_1
71,A044938,A044435,2006JJ00,4709.0
72,A044938,A044435,2007JJ00,4748.0
73,A044938,A044435,2008JJ00,4875.0
74,A044938,A044435,2009JJ00,5208.0
75,A044938,A044435,2010JJ00,5178.0
76,A044938,A044435,2011JJ00,5369.0
77,A044938,A044435,2012JJ00,5300.0
78,A044938,A044435,2013JJ00,5440.0
79,A044938,A044435,2014JJ00,5472.0
80,A044938,A044435,2015JJ00,5622.0
81,A044938,A044435,2016JJ00,5674.0
82,A044938,A044435,2017JJ00,5888.0
83,A044938,A044435,2018JJ00,6215.0
84,A044938,A044435,2019JJ00,6347.0
85,A044938,A044435,2020JJ00,6613.0
86,A044938,A044435,2021JJ00,7039.0
87,A044938,A044435,2022JJ00,7379.0
88,A044938,A044435,2023JJ00,8015.0
89,A044938,A044435,2024JJ00,8240.0
90,A044938,A048152,1995JJ00,56011.0
91,A044938,A048152,1996JJ00,56892.0
92,A044938,A048152,1997JJ00,58962.0
93,A044938,A048152,1998JJ00,61923.0
94,A044938,A048152,1999JJ00,64955.0
95,A044938,A048152,2000JJ00,69467.0
96,A044938,A048152,2001JJ00,75128.0
97,A044938,A048152,2002JJ00,80873.0
98,A044938,A048152,2003JJ00,85812.0
99,A044938,A048152,2004JJ00,87126.0
100,A044938,A048152,2005JJ00,89654.0
101,A044938,A048152,2006JJ00,92363.0
102,A044938,A048152,2007JJ00,98110.0
103,A044938,A048152,2008JJ00,102476.0
104,A044938,A048152,2009JJ00,108234.0
105,A044938,A048152,2010JJ00,111415.0
106,A044938,A048152,2011JJ00,110780.0
107,A044938,A048152,2012JJ00,110954.0
108,A044938,A048152,2013JJ00,111196.0
109,A044938,A048152,2014JJ00,113366.0
110,A044938,A048152,2015JJ00,113662.0
111,A044938,A048152,2016JJ00,114496.0
112,A044938,A048152,2017JJ00,117223.0
113,A044938,A048152,2018JJ00,122543.0
114,A044938,A048152,2019JJ00,128936.0
115,A044938,A048152,2020JJ00,135842.0
116,A044938,A048152,2021JJ00,144854.0
117,A044938,A048152,2022JJ00,156550.0
118,A044938,A048152,2023JJ00,171412.0
119,A044938,A048152,2024JJ00,188795.0
120,A044938,A044436,1995JJ00,5786.0
121,A044938,A044436,1996JJ00,6394.0
122,A044938,A044436,1997JJ00,6576.0
123,A044938,A044436,1998JJ00,6672.0
124,A044938,A044436,1999JJ00,7045.0
125,A044938,A044436,2000JJ00,7671.0
126,A044938,A044436,2001JJ00,8134.0
127,A044938,A044436,2002JJ00,8340.0
128,A044938,A044436,2003JJ00,8930.0
129,A044938,A044436,2004JJ00,9255.0
130,A044938,A044436,2005JJ00,9312.0
131,A044938,A044436,2006JJ00,9589.0
132,A044938,A044436,2007JJ00,9965.0
133,A044938,A044436,2008JJ00,10091.0
134,A044938,A044436,2009JJ00,9902.0
135,A044938,A044436,2010JJ00,10302.0
136,A044938,A044436,2011JJ00,10756.0
137,A044938,A044436,2012JJ00,10633.0
138,A044938,A044436,2013JJ00,10699.0
139,A044938,A044436,2014JJ00,10987.0
140,A044938,A044436,2015JJ00,11550.0
141,A044938,A044436,2016JJ00,11670.0
142,A044938,A044436,2017JJ00,11645.0
143,A044938,A044436,2018JJ00,11950.0
144,A044938,A044436,2019JJ00,12151.0
145,A044938,A044436,2020JJ00,12134.0
146,A044938,A044436,2021JJ00,12937.0
147,A044938,A044436,2022JJ00,13870.0
148,A044938,A044436,2023JJ00,15202.0
149,A044938,A044436,2024JJ00,16789.0
150,A044938,A048153,1995JJ00,50225.0
151,A044938,A048153,1996JJ00,50498.0
152,A044938,A048153,1997JJ00,52386.0
153,A044938,A048153,1998JJ00,55251.0
154,A044938,A048153,1999JJ00,57910.0
155,A044938,A048153,2000JJ00,61796.0
156,A044938,A048153,2001JJ00,66994.0
157,A044938,A048153,2002JJ00,72533.0
158,A044938,A048153,2003JJ00,76882.0
159,A044938,A048153,2004JJ00,77871.0
160,A044938,A048153,2005JJ00,80342.0
161,A044938,A048153,2006JJ00,82774.0
162,A044938,A048153,2007JJ00,88145.0
163,A044938,A048153,2008JJ00,92385.0
164,A044938,A048153,2009JJ00,98332.0
165,A044938,A048153,2010JJ00,101113.0
166,A044938,A048153,2011JJ00,100024.0
167,A044938,A048153,2012JJ00,100321.0
168,A044938,A048153,2013JJ00,100497.0
169,A044938,A048153,2014JJ00,102379.0
170,A044938,A048153,2015JJ00,102112.0
171,A044938,A048153,2016JJ00,102826.0
172,A044938,A048153,2017JJ00,105578.0
173,A044938,A048153,2018JJ00,110593.0
174,A044938,A048153,2019JJ00,116785.0
175,A044938,A048153,2020JJ00,123708.0
176,A044938,A048153,2021JJ00,131917.0
177,A044938,A048153,2022JJ00,142680.0
178,A044938,A048153,2023JJ00,156210.0
179,A044938,A048153,2024JJ00,172006.0
180,A044938,A044437,1995JJ00,20621.0
181,A044938,A044437,1996JJ00,21160.0
182,A044938,A044437,1997JJ00,21945.0
183,A044938,A044437,1998JJ00,23091.0
184,A044938,A044437,1999JJ00,24084.0
185,A044938,A044437,2000JJ00,26262.0
186,A044938,A044437,2001JJ00,29048.0
187,A044938,A044437,2002JJ00,31324.0
188,A044938,A044437,2003JJ00,33695.0
189,A044938,A044437,2004JJ00,34228.0
190,A044938,A044437,2005JJ00,34412.0
191,A044938,A044437,2006JJ00,35668.0
192,A044938,A044437,2007JJ00,38979.0
193,A044938,A044437,2008JJ00,39822.0
194,A044938,A044437,2009JJ00,42499.0
195,A044938,A044437,2010JJ00,43625.0
196,A044938,A044437,2011JJ00,42686.0
197,A044938,A044437,2012JJ00,41920.0
198,A044938,A044437,2013JJ00,41853.0
199,A044938,A044437,2014JJ00,43802.0
200,A044938,A044437,2015JJ00,43306.0
201,A044938,A044437,2016JJ00,43035.0
202,A044938,A044437,2017JJ00,43966.0
203,A044938,A044437,2018JJ00,46552.0
204,A044938,A044437,2019JJ00,48882.0
205,A044938,A044437,2020JJ00,51122.0
206,A044938,A044437,2021JJ00,56856.0
207,A044938,A044437,2022JJ00,60563.0
208,A044938,A044437,2023JJ00,67353.0
209,A044938,A044437,2024JJ00,75275.0
210,A044938,A048156,1995JJ00,44340.0
211,A044938,A048156,1996JJ00,45139.0
212,A044938,A048156,1997JJ00,46948.0
213,A044938,A048156,1998JJ00,48879.0
214,A044938,A048156,1999JJ00,51081.0
215,A044938,A048156,2000JJ00,54830.0
216,A044938,A048156,2001JJ00,59093.0
217,A044938,A048156,2002JJ00,62535.0
218,A044938,A048156,2003JJ00,65926.0
219,A044938,A048156,2004JJ00,67543.0
220,A044938,A048156,2005JJ00,70764.0
221,A044938,A048156,2006JJ00,74031.0
222,A044938,A048156,2007JJ00,76555.0
223,A044938,A048156,2008JJ00,83095.0
224,A044938,A048156,2009JJ00,84204.0
225,A044938,A048156,2010JJ00,86655.0
226,A044938,A048156,2011JJ00,87713.0
227,A044938,A048156,2012JJ00,90020.0
228,A044938,A048156,2013JJ00,90689.0
229,A044938,A048156,2014JJ00,88947.0
230,A044938,A048156,2015JJ00,87541.0
231,A044938,A048156,2016JJ00,87258.0
232,A044938,A048156,2017JJ00,89158.0
233,A044938,A048156,2018JJ00,91996.0
234,A044938,A048156,2019JJ00,95679.0
235,A044938,A048156,2020JJ00,98985.0
236,A044938,A048156,2021JJ00,104806.0
237,A044938,A048156,2022JJ00,118782.0
238,A044938,A048156,2023JJ00,120671.0
239,A044938,A048156,2024JJ00,132631.0
240,A044938,A044491,1995JJ00,10460.0
241,A044938,A044491,1996JJ00,10778.0
242,A044938,A044491,1997JJ00,11174.0
243,A044938,A044491,1998JJ00,11531.0
244,A044938,A044491,1999JJ00,12090.0
245,A044938,A044491,2000JJ00,12928.0
246,A044938,A044491,2001JJ00,13824.0
247,A044938,A044491,2002JJ00,14805.0
248,A044938,A044491,2003JJ00,15611.0
249,A044938,A044491,2004JJ00,16300.0
250,A044938,A044491,2005JJ00,16912.0
251,A044938,A044491,2006JJ00,17676.0
252,A044938,A044491,2007JJ00,18537.0
253,A044938,A044491,2008JJ00,19453.0
254,A044938,A044491,2009JJ00,20081.0
255,A044938,A044491,2010JJ00,20843.0
256,A044938,A044491,2011JJ00,21373.0
257,A044938,A044491,2012JJ00,21872.0
258,A044938,A044491,2013JJ00,22347.0
259,A044938,A044491,2014JJ00,22606.0
260,A044938,A044491,2015JJ00,22778.0
261,A044938,A044491,2016JJ00,22884.0
262,A044938,A044491,2017JJ00,23386.0
263,A044938,A044491,2018JJ00,24120.0
264,A044938,A044491,2019JJ00,24952.0
265,A044938,A044491,2020JJ00,25805.0
266,A044938,A044491,2021JJ00,26946.0
267,A044938,A044491,2022JJ00,29168.0
268,A044938,A044491,2023JJ00,30858.0
269,A044938,A044491,2024JJ00,32712.0
270,A044938,A048157,1995JJ00,33880.0
271,A044938,A048157,1996JJ00,34361.0
272,A044938,A048157,1997JJ00,35774.0
273,A044938,A048157,1998JJ00,37348.0
274,A044938,A048157,1999JJ00,38991.0
275,A044938,A048157,2000JJ00,41902.0
276,A044938,A048157,2001JJ00,45269.0
277,A044938,A048157,2002JJ00,47730.0
278,A044938,A048157,2003JJ00,50315.0
279,A044938,A048157,2004JJ00,51243.0
280,A044938,A048157,2005JJ00,53852.0
281,A044938,A048157,2006JJ00,56355.0
282,A044938,A048157,2007JJ00,58018.0
283,A044938,A048157,2008JJ00,63642.0
284,A044938,A048157,2009JJ00,64123.0
285,A044938,A048157,2010JJ00,65812.0
286,A044938,A048157,2011JJ00,66340.0
287,A044938,A048157,2012JJ00,68148.0
288,A044938,A048157,2013JJ00,68342.0
289,A044938,A048157,2014JJ00,66341.0
290,A044938,A048157,2015JJ00,64763.0
291,A044938,A048157,2016JJ00,64374.0
292,A044938,A048157,2017JJ00,65772.0
293,A044938,A048157,2018JJ00,67876.0
294,A044938,A048157,2019JJ00,70727.0
295,A044938,A048157,2020JJ00,73180.0
296,A044938,A048157,2021JJ00,77860.0
297,A044938,A048157,2022JJ00,89614.0
298,A044938,A048157,2023JJ00,89813.0
299,A044938,A048157,2024JJ00,99919.0
300,A044938,A044438,1995JJ00,32069.0
301,A044938,A044438,1996JJ00,32441.0
302,A044938,A044438,1997JJ00,33813.0
303,A044938,A044438,1998JJ00,35585.0
304,A044938,A044438,1999JJ00,37459.0
305,A044938,A044438,2000JJ00,39623.0
306,A044938,A044438,2001JJ00,42409.0
307,A044938,A044438,2002JJ00,45363.0
308,A044938,A044438,2003JJ00,47821.0
309,A044938,A044438,2004JJ00,48722.0
310,A044938,A044438,2005JJ00,49422.0
311,A044938,A044438,2006JJ00,50552.0
312,A044938,A044438,2007JJ00,52454.0
313,A044938,A044438,2008JJ00,55529.0
314,A044938,A044438,2009JJ00,58437.0
315,A044938,A044438,2010JJ00,59896.0
316,A044938,A044438,2011JJ00,59804.0
317,A044938,A044438,2012JJ00,60227.0
318,A044938,A044438,2013JJ00,60074.0
319,A044938,A044438,2014JJ00,60168.0
320,A044938,A044438,2015JJ00,60227.0
321,A044938,A044438,2016JJ00,61498.0
322,A044938,A044438,2017JJ00,63121.0
323,A044938,A044438,2018JJ00,65537.0
324,A044938,A044438,2019JJ00,68819.0
325,A044938,A044438,2020JJ00,72588.0
326,A044938,A044438,2021JJ00,75463.0
327,A044938,A044438,2022JJ00,82007.0
328,A044938,A044438,2023JJ00,89159.0
329,A044938,A044438,2024JJ00,97515.0
330,A044938,A044439,1995JJ00,25427.0
331,A044938,A044439,1996JJ00,25575.0
332,A044938,A044439,1997JJ00,27085.0
333,A044938,A044439,1998JJ00,27450.0
334,A044938,A044439,1999JJ00,29047.0
335,A044938,A044439,2000JJ00,30783.0
336,A044938,A044439,2001JJ00,32916.0
337,A044938,A044439,2002JJ00,34971.0
338,A044938,A044439,2003JJ00,36694.0
339,A044938,A044439,2004JJ00,36510.0
340,A044938,A044439,2005JJ00,36706.0
341,A044938,A044439,2006JJ00,38244.0
342,A044938,A044439,2007JJ00,39799.0
343,A044938,A044439,2008JJ00,41573.0
344,A044938,A044439,2009JJ00,44064.0
345,A044938,A044439,2010JJ00,45565.0
346,A044938,A044439,2011JJ00,45180.0
347,A044938,A044439,2012JJ00,45087.0
348,A044938,A044439,2013JJ00,44872.0
349,A044938,A044439,2014JJ00,44586.0
350,A044938,A044439,2015JJ00,45165.0
351,A044938,A044439,2016JJ00,46372.0
352,A044938,A044439,2017JJ00,47148.0
353,A044938,A044439,2018JJ00,48059.0
354,A044938,A044439,2019JJ00,50256.0
355,A044938,A044439,2020JJ00,53603.0
356,A044938,A044439,2021JJ00,55553.0
357,A044938,A044439,2022JJ00,59633.0
358,A044938,A044439,2023JJ00,65450.0
359,A044938,A044439,2024JJ00,72047.0
360,A044938,A044440,1995JJ00,6642.0
361,A044938,A044440,1996JJ00,6866.0
362,A044938,A044440,1997JJ00,6728.0
363,A044938,A044440,1998JJ00,8135.0
364,A044938,A044440,1999JJ00,8412.0
365,A044938,A044440,2000JJ00,8840.0
366,A044938,A044440,2001JJ00,9493.0
367,A044938,A044440,2002JJ00,10392.0
368,A044938,A044440,2003JJ00,11127.0
369,A044938,A044440,2004JJ00,12212.0
370,A044938,A044440,2005JJ00,12716.0
371,A044938,A044440,2006JJ00,12308.0
372,A044938,A044440,2007JJ00,12655.0
373,A044938,A044440,2008JJ00,13956.0
374,A044938,A044440,2009JJ00,14373.0
375,A044938,A044440,2010JJ00,14331.0
376,A044938,A044440,2011JJ00,14624.0
377,A044938,A044440,2012JJ00,15140.0
378,A044938,A044440,2013JJ00,15202.0
379,A044938,A044440,2014JJ00,15582.0
380,A044938,A044440,2015JJ00,15062.0
381,A044938,A044440,2016JJ00,15126.0
382,A044938,A044440,2017JJ00,15973.0
383,A044938,A044440,2018JJ00,17478.0
384,A044938,A044440,2019JJ00,18563.0
385,A044938,A044440,2020JJ00,18985.0
386,A044938,A044440,2021JJ00,19910.0
387,A044938,A044440,2022JJ00,22374.0
388,A044938,A044440,2023JJ00,23709.0
389,A044938,A044440,2024JJ00,25468.0
390,A044938,A044447,1995JJ00,316.0
391,A044938,A044447,1996JJ00,323.0
392,A044938,A044447,1997JJ00,335.0
393,A044938,A044447,1998JJ00,366.0
394,A044938,A044447,1999JJ00,444.0
395,A044938,A044447,2000JJ00,471.0
396,A044938,A044447,2001JJ00,502.0
397,A044938,A044447,2002JJ00,534.0
398,A044938,A044447,2003JJ00,530.0
399,A044938,A044447,2004JJ00,546.0
400,A044938,A044447,2005JJ00,568.0
401,A044938,A044447,2006JJ00,584.0
402,A044938,A044447,2007JJ00,601.0
403,A044938,A044447,2008JJ00,657.0
404,A044938,A044447,2009JJ00,673.0
405,A044938,A044447,2010JJ00,678.0
406,A044938,A044447,2011JJ00,708.0
407,A044938,A044447,2012JJ00,632.0
408,A044938,A044447,2013JJ00,754.0
409,A044938,A044447,2014JJ00,751.0
410,A044938,A044447,2015JJ00,953.0
411,A044938,A044447,2016JJ00,962.0
412,A044938,A044447,2017JJ00,971.0
413,A044938,A044447,2018JJ00,979.0
414,A044938,A044447,2019JJ00,905.0
415,A044938,A044447,2020JJ00,1000.0
416,A044938,A044447,2021JJ00,973.0
417,A044938,A044447,2022JJ00,1114.0
418,A044938,A044447,2023JJ00,1298.0
419,A044938,A044447,2024JJ00,1285.0
420,A044938,A044451,1995JJ00,-26.0
421,A044938,A044451,1996JJ00,-88.0
422,A044938,A044451,1997JJ00,-134.0
423,A044938,A044451,1998JJ00,-180.0
424,A044938,A044451,1999JJ00,-222.0
425,A044938,A044451,2000JJ00,-245.0
426,A044938,A044451,2001JJ00,-298.0
427,A044938,A044451,2002JJ00,-339.0
428,A044938,A044451,2003JJ00,-334.0
429,A044938,A044451,2004JJ00,-538.0
430,A044938,A044451,2005JJ00,-370.0
431,A044938,A044451,2006JJ00,-349.0
432,A044938,A044451,2007JJ00,-337.0
433,A044938,A044451,2008JJ00,-343.0
434,A044938,A044451,2009JJ00,-415.0
435,A044938,A044451,2010JJ00,-369.0
436,A044938,A044451,2011JJ00,-325.0
437,A044938,A044451,2012JJ00,-258.0
438,A044938,A044451,2013JJ00,-79.0
439,A044938,A044451,2014JJ00,-38.0
440,A044938,A044451,2015JJ00,-37.0
441,A044938,A044451,2016JJ00,-41.0
442,A044938,A044451,2017JJ00,-95.0
443,A044938,A044451,2018JJ00,-93.0
444,A044938,A044451,2019JJ00,-90.0
445,A044938,A044451,2020JJ00,-481.0
446,A044938,A044451,2021JJ00,-419.0
447,A044938,A044451,2022JJ00,-362.0
448,A044938,A044451,2023JJ00,-384.0
449,A044938,A044451,2024JJ00,-375.0
450,A044938,A048158,1995JJ00,1521.0
451,A044938,A048158,1996JJ00,1685.0
452,A044938,A048158,1997JJ00,1760.0
453,A044938,A048158,1998JJ00,1577.0
454,A044938,A048158,1999JJ00,1310.0
455,A044938,A048158,2000JJ00,2053.0
456,A044938,A048158,2001JJ00,2656.0
457,A044938,A048158,2002JJ00,2172.0
458,A044938,A048158,2003JJ00,2298.0
459,A044938,A048158,2004JJ00,2513.0
460,A044938,A048158,2005JJ00,4232.0
461,A044938,A048158,2006JJ00,5568.0
462,A044938,A048158,2007JJ00,5300.0
463,A044938,A048158,2008JJ00,7799.0
464,A044938,A048158,2009JJ00,5428.0
465,A044938,A048158,2010JJ00,5607.0
466,A044938,A048158,2011JJ00,6153.0
467,A044938,A048158,2012JJ00,7547.0
468,A044938,A048158,2013JJ00,7593.0
469,A044938,A048158,2014JJ00,5460.0
470,A044938,A048158,2015JJ00,3620.0
471,A044938,A048158,2016JJ00,1955.0
472,A044938,A048158,2017JJ00,1775.0
473,A044938,A048158,2018JJ00,1453.0
474,A044938,A048158,2019JJ00,1093.0
475,A044938,A048158,2020JJ00,73.0
476,A044938,A048158,2021JJ00,1843.0
477,A044938,A048158,2022JJ00,6855.0
478,A044938,A048158,2023JJ00,-260.0
479,A044938,A048158,2024JJ00,1494.0
480,A044938,A046348,1995JJ00,73583.0
481,A044938,A046348,1996JJ00,73430.0
482,A044938,A046348,1997JJ00,77200.0
483,A044938,A046348,1998JJ00,81804.0
484,A044938,A046348,1999JJ00,86110.0
485,A044938,A046348,2000JJ00,92704.0
486,A044938,A046348,2001JJ00,100928.0
487,A044938,A046348,2002JJ00,110735.0
488,A044938,A046348,2003JJ00,117563.0
489,A044938,A046348,2004JJ00,119681.0
490,A044938,A046348,2005JJ00,123401.0
491,A044938,A046348,2006JJ00,136316.0
492,A044938,A046348,2007JJ00,144773.0
493,A044938,A046348,2008JJ00,152765.0
494,A044938,A046348,2009JJ00,163571.0
495,A044938,A046348,2010JJ00,168710.0
496,A044938,A046348,2011JJ00,168827.0
497,A044938,A046348,2012JJ00,171023.0
498,A044938,A046348,2013JJ00,171367.0
499,A044938,A046348,2014JJ00,173826.0
500,A044938,A046348,2015JJ00,173811.0
501,A044938,A046348,2016JJ00,176489.0
502,A044938,A046348,2017JJ00,181470.0
503,A044938,A046348,2018JJ00,190649.0
504,A044938,A046348,2019JJ00,202262.0
505,A044938,A046348,2020JJ00,209743.0
506,A044938,A046348,2021JJ00,226371.0
507,A044938,A046348,2022JJ00,241898.0
508,A044938,A046348,2023JJ00,263837.0
509,A044938,A046348,2024JJ00,289662.0
510,A044938,A046349,1995JJ00,43692.0
511,A044938,A046349,1996JJ00,43498.0
512,A044938,A046349,1997JJ00,45965.0
513,A044938,A046349,1998JJ00,49218.0
514,A044938,A046349,1999JJ00,52030.0
515,A044938,A046349,2000JJ00,56644.0
516,A044938,A046349,2001JJ00,62004.0
517,A044938,A046349,2002JJ00,68875.0
518,A044938,A046349,2003JJ00,73403.0
519,A044938,A046349,2004JJ00,75758.0
520,A044938,A046349,2005JJ00,78589.0
521,A044938,A046349,2006JJ00,90604.0
522,A044938,A046349,2007JJ00,96228.0
523,A044938,A046349,2008JJ00,101329.0
524,A044938,A046349,2009JJ00,109257.0
525,A044938,A046349,2010JJ00,114553.0
526,A044938,A046349,2011JJ00,115556.0
527,A044938,A046349,2012JJ00,117366.0
528,A044938,A046349,2013JJ00,116569.0
529,A044938,A046349,2014JJ00,117981.0
530,A044938,A046349,2015JJ00,118463.0
531,A044938,A046349,2016JJ00,119655.0
532,A044938,A046349,2017JJ00,123954.0
533,A044938,A046349,2018JJ00,130525.0
534,A044938,A046349,2019JJ00,138810.0
535,A044938,A046349,2020JJ00,142389.0
536,A044938,A046349,2021JJ00,155178.0
537,A044938,A046349,2022JJ00,165040.0
538,A044938,A046349,2023JJ00,178442.0
539,A044938,A046349,2024JJ00,195016.0
540,A044938,A048155,1995JJ00,20334.0
541,A044938,A048155,1996JJ00,20566.0
542,A044938,A048155,1997JJ00,21151.0
543,A044938,A048155,1998JJ00,22665.0
544,A044938,A048155,1999JJ00,23830.0
545,A044938,A048155,2000JJ00,25736.0
546,A044938,A048155,2001JJ00,28070.0
547,A044938,A048155,2002JJ00,30673.0
548,A044938,A048155,2003JJ00,32722.0
549,A044938,A048155,2004JJ00,33948.0
550,A044938,A048155,2005JJ00,35530.0
551,A044938,A048155,2006JJ00,37062.0
552,A044938,A048155,2007JJ00,39600.0
553,A044938,A048155,2008JJ00,40949.0
554,A044938,A048155,2009JJ00,44018.0
555,A044938,A048155,2010JJ00,46956.0
556,A044938,A048155,2011JJ00,46753.0
557,A044938,A048155,2012JJ00,46664.0
558,A044938,A048155,2013JJ00,45699.0
559,A044938,A048155,2014JJ00,46534.0
560,A044938,A048155,2015JJ00,46764.0
561,A044938,A048155,2016JJ00,45992.0
562,A044938,A048155,2017JJ00,48062.0
563,A044938,A048155,2018JJ00,50469.0
564,A044938,A048155,2019JJ00,53333.0
565,A044938,A048155,2020JJ00,56354.0
566,A044938,A048155,2021JJ00,60724.0
567,A044938,A048155,2022JJ00,65822.0
568,A044938,A048155,2023JJ00,70815.0
569,A044938,A048155,2024JJ00,77360.0
570,A044938,A044478,1995JJ00,23358.0
571,A044938,A044478,1996JJ00,22932.0
572,A044938,A044478,1997JJ00,24814.0
573,A044938,A044478,1998JJ00,26553.0
574,A044938,A044478,1999JJ00,28200.0
575,A044938,A044478,2000JJ00,30908.0
576,A044938,A044478,2001JJ00,33934.0
577,A044938,A044478,2002JJ00,38202.0
578,A044938,A044478,2003JJ00,40681.0
579,A044938,A044478,2004JJ00,41810.0
580,A044938,A044478,2005JJ00,43059.0
581,A044938,A044478,2006JJ00,53542.0
582,A044938,A044478,2007JJ00,56628.0
583,A044938,A044478,2008JJ00,60380.0
584,A044938,A044478,2009JJ00,65239.0
585,A044938,A044478,2010JJ00,67597.0
586,A044938,A044478,2011JJ00,68803.0
587,A044938,A044478,2012JJ00,70702.0
588,A044938,A044478,2013JJ00,70870.0
589,A044938,A044478,2014JJ00,71447.0
590,A044938,A044478,2015JJ00,71699.0
591,A044938,A044478,2016JJ00,73663.0
592,A044938,A044478,2017JJ00,75892.0
593,A044938,A044478,2018JJ00,80056.0
594,A044938,A044478,2019JJ00,85477.0
595,A044938,A044478,2020JJ00,86035.0
596,A044938,A044478,2021JJ00,94454.0
597,A044938,A044478,2022JJ00,99218.0
598,A044938,A044478,2023JJ00,107627.0
599,A044938,A044478,2024JJ00,117656.0
600,A044938,A046350,1995JJ00,29891.0
601,A044938,A046350,1996JJ00,29932.0
602,A044938,A046350,1997JJ00,31235.0
603,A044938,A046350,1998JJ00,32586.0
604,A044938,A046350,1999JJ00,34080.0
605,A044938,A046350,2000JJ00,36060.0
606,A044938,A046350,2001JJ00,38924.0
607,A044938,A046350,2002JJ00,41860.0
608,A044938,A046350,2003JJ00,44160.0
609,A044938,A046350,2004JJ00,43923.0
610,A044938,A046350,2005JJ00,44812.0
611,A044938,A046350,2006JJ00,45712.0
612,A044938,A046350,2007JJ00,48545.0
613,A044938,A046350,2008JJ00,51436.0
614,A044938,A046350,2009JJ00,54314.0
615,A044938,A046350,2010JJ00,54157.0
616,A044938,A046350,2011JJ00,53271.0
617,A044938,A046350,2012JJ00,53657.0
618,A044938,A046350,2013JJ00,54798.0
619,A044938,A046350,2014JJ00,55845.0
620,A044938,A046350,2015JJ00,55348.0
621,A044938,A046350,2016JJ00,56834.0
622,A044938,A046350,2017JJ00,57516.0
623,A044938,A046350,2018JJ00,60124.0
624,A044938,A046350,2019JJ00,63452.0
625,A044938,A046350,2020JJ00,67354.0
626,A044938,A046350,2021JJ00,71193.0
627,A044938,A046350,2022JJ00,76858.0
628,A044938,A046350,2023JJ00,85395.0
629,A044938,A046350,2024JJ00,94646.0
630,A044939,A048151,1995JJ00,26563.0
631,A044939,A048151,1996JJ00,27403.0
632,A044939,A048151,1997JJ00,28244.0
