ID,Geslacht,Persoonskenmerken,Perioden,Verkeersdeelname_1,GebruikVanHetOpenbaarVervoer_2
113,T001038,80001  ,2011JJ00,84.9,1.7
114,T001038,80001  ,2012JJ00,84.5,1.7
115,T001038,80001  ,2013JJ00,84.6,1.6
116,T001038,80001  ,2014JJ00,85.6,2.1
117,T001038,80001  ,2015JJ00,84.3,1.7
118,T001038,80001  ,2016JJ00,85.2,1.8
119,T001038,80001  ,2017JJ00,83.5,1.8
120,T001038,52020  ,2010JJ00,82.1,10.0
121,T001038,52020  ,2011JJ00,82.8,9.8
122,T001038,52020  ,2012JJ00,82.1,8.9
123,T001038,52020  ,2013JJ00,82.0,9.8
124,T001038,52020  ,2014JJ00,83.3,8.9
125,T001038,52020  ,2015JJ00,81.3,9.6
126,T001038,52020  ,2016JJ00,81.4,8.8
127,T001038,52020  ,2017JJ00,80.5,9.8
128,T001038,53105  ,2010JJ00,84.9,23.2
129,T001038,53105  ,2011JJ00,83.9,23.3
130,T001038,53105  ,2012JJ00,83.0,23.5
131,T001038,53105  ,2013JJ00,83.5,25.3
132,T001038,53105  ,2014JJ00,83.6,23.3
133,T001038,53105  ,2015JJ00,82.3,24.0
134,T001038,53105  ,2016JJ00,82.4,23.4
135,T001038,53105  ,2017JJ00,83.1,22.5
136,T001038,53500  ,2010JJ00,85.0,9.2
137,T001038,53500  ,2011JJ00,86.0,10.2
138,T001038,53500  ,2012JJ00,85.3,9.7
139,T001038,53500  ,2013JJ00,84.4,10.6
140,T001038,53500  ,2014JJ00,84.6,9.6
141,T001038,53500  ,2015JJ00,83.9,9.9
142,T001038,53500  ,2016JJ00,83.8,10.0
143,T001038,53500  ,2017JJ00,83.5,11.6
144,T001038,53705  ,2010JJ00,83.1,5.0
145,T001038,53705  ,2011JJ00,82.9,5.7
146,T001038,53705  ,2012JJ00,82.4,5.1
147,T001038,53705  ,2013JJ00,83.3,4.9
148,T001038,53705  ,2014JJ00,82.9,5.2
149,T001038,53705  ,2015JJ00,83.1,5.7
150,T001038,53705  ,2016JJ00,82.0,5.6
151,T001038,53705  ,2017JJ00,81.4,5.9
152,T001038,53850  ,2010JJ00,78.7,5.2
153,T001038,53850  ,2011JJ00,78.9,5.5
154,T001038,53850  ,2012JJ00,78.8,4.7
155,T001038,53850  ,2013JJ00,79.7,4.7
156,T001038,53850  ,2014JJ00,79.9,4.8
157,T001038,53850  ,2015JJ00,78.9,4.8
158,T001038,53850  ,2016JJ00,79.1,4.9
