ID,Landen,BedrijfstakkenBranchesSBI2008,Perioden,BuitenlandseDochterondernemingen_1,WerkzamePersonenFTE_2,Omzet_3,Personeelskosten_4,Investeringen_5
155,T001047,383100 ,2023JJ00,1660.0,104.0,20559.0,4780.0,1919.0
156,T001047,383200 ,2021JJ00,436.0,62.0,10237.0,2546.0,226.0
157,T001047,383200 ,2022JJ00,434.0,51.0,9025.0,2338.0,228.0
158,T001047,383200 ,2023JJ00,537.0,50.0,6880.0,1828.0,422.0
159,T001047,384900 ,2021JJ00,232.0,3.0,1300.0,170.0,123.0
160,T001047,384900 ,2022JJ00,312.0,4.0,1800.0,241.0,444.0
161,T001047,384900 ,2023JJ00,273.0,4.0,2331.0,348.0,291.0
162,T001047,386300 ,2021JJ00,39.0,1.0,396.0,67.0,16.0
163,T001047,386300 ,2022JJ00,60.0,2.0,643.0,76.0,
164,T001047,386300 ,2023JJ00,38.0,1.0,373.0,59.0,10.0
165,T001047,386800 ,2021JJ00,701.0,33.0,5726.0,1700.0,1074.0
166,T001047,386800 ,2022JJ00,777.0,40.0,6229.0,1968.0,1073.0
167,T001047,386800 ,2023JJ00,736.0,39.0,6467.0,1997.0,1149.0
168,T001047,388400 ,2021JJ00,75.0,13.0,4451.0,549.0,78.0
169,T001047,388400 ,2022JJ00,68.0,10.0,4680.0,625.0,97.0
170,T001047,388400 ,2023JJ00,76.0,9.0,4508.0,547.0,47.0
171,T001047,389100 ,2021JJ00,289.0,13.0,1036.0,304.0,319.0
172,T001047,389100 ,2022JJ00,332.0,14.0,1927.0,408.0,628.0
173,T001047,389100 ,2023JJ00,330.0,21.0,2268.0,650.0,892.0
174,T001047,389200 ,2021JJ00,230.0,8.0,760.0,225.0,308.0
175,T001047,389200 ,2022JJ00,304.0,10.0,1633.0,322.0,611.0
176,T001047,389200 ,2023JJ00,275.0,14.0,1423.0,369.0,859.0
177,T001047,390500 ,2021JJ00,59.0,6.0,276.0,79.0,12.0
178,T001047,390500 ,2022JJ00,28.0,4.0,294.0,86.0,16.0
179,T001047,390500 ,2023JJ00,55.0,7.0,845.0,281.0,33.0
180,T001047,391600 ,2021JJ00,1535.0,76.0,13778.0,4051.0,2085.0
181,T001047,391600 ,2022JJ00,1827.0,82.0,15451.0,5182.0,2387.0
182,T001047,391600 ,2023JJ00,1756.0,81.0,15544.0,5292.0,1681.0
