ID,BouwactiviteitenSBI93,Grootteklasse,Perioden,TotaalMateriaalverbruik_1,TBVBouwEnBouwinstallatieAct_2,TBVHandelsactiviteiten_3,TBVOverigeActiviteiten_4,MateriaalverbruikNietTeSpecificeren_5,TotaalBetalingen_6,Constructiewerkplaatsen_7,Loodgietersbedrijven_8,ElectrotechnischeInstallBedrijven_9,CentraleVerwarmingsbedrijven_10,TimmerSchilderGlaszettersBehangbedr_11,SteengaasMuurbewerkingsbedrijven_12,AndereOnderaannemers_13,OnderaannemersNietTeSpecificeren_14
175,4540,D,1999JJ00,560.0,533.0,25.0,1.0,0.0,314.0,0.0,1.0,1.0,0.0,121.0,26.0,165.0,0.0
176,4540,E,1996JJ00,57.0,57.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,11.0,3.0,17.0,0.0
177,4540,E,1997JJ00,47.0,47.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,7.0,3.0,15.0,0.0
178,4540,E,1998JJ00,57.0,57.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,13.0,5.0,22.0,0.0
179,4540,E,1999JJ00,72.0,71.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,17.0,5.0,26.0,0.0
180,4550,A,1996JJ00,72.0,28.0,15.0,17.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,24.0
181,4550,A,1997JJ00,50.0,19.0,6.0,12.0,12.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,24.0
182,4550,A,1998JJ00,50.0,21.0,8.0,13.0,10.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,27.0
183,4550,A,1999JJ00,48.0,17.0,8.0,11.0,12.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,22.0
184,4550,B,1996JJ00,12.0,,,,12.0,23.0,,,,,,,,23.0
185,4550,B,1997JJ00,12.0,,,,12.0,24.0,,,,,,,,24.0
186,4550,B,1998JJ00,10.0,,,,10.0,27.0,,,,,,,,27.0
187,4550,B,1999JJ00,12.0,,,,12.0,22.0,,,,,,,,22.0
188,4550,H,1996JJ00,60.0,,,,0.0,54.0,,,,,,,,1.0
189,4550,H,1997JJ00,38.0,,,,0.0,64.0,,,,,,,,0.0
190,4550,H,1998JJ00,40.0,,,,0.0,75.0,,,,,,,,0.0
191,4550,H,1999JJ00,36.0,,,,0.0,85.0,,,,,,,,0.0
192,4550,D,1996JJ00,,,,,,,,,,,,,,
193,4550,D,1997JJ00,,,,,,,,,,,,,,
194,4550,D,1998JJ00,,,,,,,,,,,,,,
195,4550,D,1999JJ00,,,,,,,,,,,,,,
196,4550,E,1996JJ00,,,,,,,,,,,,,,
197,4550,E,1997JJ00,,,,,,,,,,,,,,
198,4550,E,1998JJ00,,,,,,,,,,,,,,
