ID,Marges,Kenmerken,MateVanEenzaamheid,Perioden,Eenzaamheid_1,SocialeEenzaamheid_2,EmotioneleEenzaamheid_3
191,MW00000,A051762,A052503,2021JJ00,12.1,12.7,13.8
192,MW00000,A051762,A052503,2022JJ00,11.8,15.5,10.1
193,MW00000,A051762,A052503,2023JJ00,10.9,16.4,11.5
194,MW00000,A051762,A052503,2024JJ00,10.6,13.8,12.3
195,MW00000,A051763,A052501,2019JJ00,60.4,51.9,61.4
196,MW00000,A051763,A052501,2021JJ00,45.3,47.5,40.1
197,MW00000,A051763,A052501,2022JJ00,50.2,49.0,48.0
198,MW00000,A051763,A052501,2023JJ00,44.9,44.3,41.8
199,MW00000,A051763,A052501,2024JJ00,48.7,47.1,47.4
200,MW00000,A051763,A052502,2019JJ00,27.9,31.3,30.1
201,MW00000,A051763,A052502,2021JJ00,37.3,28.8,43.1
202,MW00000,A051763,A052502,2022JJ00,33.9,26.2,41.5
203,MW00000,A051763,A052502,2023JJ00,35.9,28.8,40.3
204,MW00000,A051763,A052502,2024JJ00,34.4,28.9,37.3
205,MW00000,A051763,A052503,2019JJ00,11.7,16.8,8.5
206,MW00000,A051763,A052503,2021JJ00,17.4,23.7,16.9
207,MW00000,A051763,A052503,2022JJ00,15.9,24.8,10.5
208,MW00000,A051763,A052503,2023JJ00,19.1,26.9,17.9
209,MW00000,A051763,A052503,2024JJ00,16.9,24.0,15.4
210,MW00000,A051764,A052501,2019JJ00,51.6,48.1,47.9
211,MW00000,A051764,A052501,2021JJ00,42.7,45.3,38.1
212,MW00000,A051764,A052501,2022JJ00,44.2,44.9,44.2
213,MW00000,A051764,A052501,2023JJ00,45.2,45.0,42.4
214,MW00000,A051764,A052501,2024JJ00,44.0,41.3,44.2
215,MW00000,A051764,A052502,2019JJ00,31.6,31.2,38.5
216,MW00000,A051764,A052502,2021JJ00,37.6,30.5,43.0
217,MW00000,A051764,A052502,2022JJ00,38.7,31.4,42.1
218,MW00000,A051764,A052502,2023JJ00,35.0,31.9,38.8
219,MW00000,A051764,A052502,2024JJ00,37.8,34.6,39.8
220,MW00000,A051764,A052503,2019JJ00,16.8,20.7,13.6
221,MW00000,A051764,A052503,2021JJ00,19.7,24.1,18.9
222,MW00000,A051764,A052503,2022JJ00,17.0,23.7,13.7
223,MW00000,A051764,A052503,2023JJ00,19.9,23.1,18.8
224,MW00000,A051764,A052503,2024JJ00,18.3,24.0,16.0
225,MW00000,A051736,A052501,2019JJ00,54.3,49.2,52.1
226,MW00000,A051736,A052501,2021JJ00,43.4,46.0,38.7
227,MW00000,A051736,A052501,2022JJ00,46.1,46.2,45.4
228,MW00000,A051736,A052501,2023JJ00,45.1,44.8,42.2
229,MW00000,A051736,A052501,2024JJ00,45.7,43.5,45.4
230,MW00000,A051736,A052502,2019JJ00,30.5,31.2,35.9
231,MW00000,A051736,A052502,2021JJ00,37.5,30.0,43.0
232,MW00000,A051736,A052502,2022JJ00,37.3,29.8,41.9
233,MW00000,A051736,A052502,2023JJ00,35.3,30.9,39.2
234,MW00000,A051736,A052502,2024JJ00,36.5,32.5,38.8
235,MW00000,A051736,A052503,2019JJ00,15.3,19.5,12.0
236,MW00000,A051736,A052503,2021JJ00,19.0,24.0,18.3
237,MW00000,A051736,A052503,2022JJ00,16.7,24.0,12.7
238,MW00000,A051736,A052503,2023JJ00,19.6,24.3,18.5
239,MW00000,A051736,A052503,2024JJ00,17.8,24.0,15.8
240,MW00000,A051735,A052501,2019JJ00,67.2,61.6,67.4
241,MW00000,A051735,A052501,2021JJ00,59.7,60.5,54.7
242,MW00000,A051735,A052501,2022JJ00,62.1,58.8,60.3
243,MW00000,A051735,A052501,2023JJ00,63.1,59.1,62.2
244,MW00000,A051735,A052501,2024JJ00,63.7,59.4,64.0
245,MW00000,A051735,A052502,2019JJ00,25.0,27.6,25.2
246,MW00000,A051735,A052502,2021JJ00,30.6,26.9,35.7
247,MW00000,A051735,A052502,2022JJ00,28.0,29.1,29.7
248,MW00000,A051735,A052502,2023JJ00,27.5,28.9,27.9
249,MW00000,A051735,A052502,2024JJ00,28.1,28.4,27.4
250,MW00000,A051735,A052503,2019JJ00,7.8,10.8,7.4
251,MW00000,A051735,A052503,2021JJ00,9.8,12.6,9.6
252,MW00000,A051735,A052503,2022JJ00,9.9,12.2,10.1
253,MW00000,A051735,A052503,2023JJ00,9.3,12.0,9.8
254,MW00000,A051735,A052503,2024JJ00,8.2,12.2,8.6
255,MW00000,1012600,A052501,2019JJ00,67.8,62.4,67.9
256,MW00000,1012600,A052501,2021JJ00,60.6,61.2,55.2
257,MW00000,1012600,A052501,2022JJ00,62.6,59.5,60.6
258,MW00000,1012600,A052501,2023JJ00,63.8,59.8,63.1
259,MW00000,1012600,A052501,2024JJ00,64.1,59.8,64.6
260,MW00000,1012600,A052502,2019JJ00,24.7,27.1,24.7
261,MW00000,1012600,A052502,2021JJ00,29.9,26.3,35.5
262,MW00000,1012600,A052502,2022JJ00,27.8,28.6,29.3
263,MW00000,1012600,A052502,2023JJ00,27.1,28.7,27.2
264,MW00000,1012600,A052502,2024JJ00,27.9,28.3,27.2
265,MW00000,1012600,A052503,2019JJ00,7.5,10.4,7.4
266,MW00000,1012600,A052503,2021JJ00,9.6,12.5,9.4
267,MW00000,1012600,A052503,2022JJ00,9.7,11.9,10.1
268,MW00000,1012600,A052503,2023JJ00,9.1,11.5,9.7
269,MW00000,1012600,A052503,2024JJ00,7.9,11.9,8.2
270,MW00000,H007933,A052501,2019JJ00,62.0,53.8,62.7
271,MW00000,H007933,A052501,2021JJ00,48.6,52.5,46.1
272,MW00000,H007933,A052501,2022JJ00,56.0,52.6,53.5
273,MW00000,H007933,A052501,2023JJ00,51.5,50.1,49.3
274,MW00000,H007933,A052501,2024JJ00,52.6,50.8,50.8
275,MW00000,H007933,A052502,2019JJ00,27.3,30.7,30.1
276,MW00000,H007933,A052502,2021JJ00,38.1,29.0,42.7
277,MW00000,H007933,A052502,2022JJ00,31.2,29.6,36.4
278,MW00000,H007933,A052502,2023JJ00,33.6,29.1,37.0
279,MW00000,H007933,A052502,2024JJ00,33.1,28.0,35.7
280,MW00000,H007933,A052503,2019JJ00,10.7,15.5,7.2
281,MW00000,H007933,A052503,2021JJ00,13.3,18.5,11.2
282,MW00000,H007933,A052503,2022JJ00,12.8,17.8,10.1
283,MW00000,H007933,A052503,2023JJ00,14.9,20.8,13.8
284,MW00000,H007933,A052503,2024JJ00,14.3,21.2,13.5
285,MW00000,H008859,A052501,2019JJ00,56.7,51.5,55.1
286,MW00000,H008859,A052501,2021JJ00,47.7,49.6,44.0
287,MW00000,H008859,A052501,2022JJ00,50.9,48.9,50.6
288,MW00000,H008859,A052501,2023JJ00,51.1,48.3,48.4
289,MW00000,H008859,A052501,2024JJ00,50.2,46.9,50.7
290,MW00000,H008859,A052502,2019JJ00,29.9,31.3,34.1
291,MW00000,H008859,A052502,2021JJ00,35.9,31.3,39.3
292,MW00000,H008859,A052502,2022JJ00,34.5,31.4,37.4
293,MW00000,H008859,A052502,2023JJ00,33.0,31.5,36.0
294,MW00000,H008859,A052502,2024JJ00,34.5,33.1,34.8
295,MW00000,H008859,A052503,2019JJ00,13.4,17.2,10.8
296,MW00000,H008859,A052503,2021JJ00,16.3,19.1,16.6
297,MW00000,H008859,A052503,2022JJ00,14.5,19.7,12.0
298,MW00000,H008859,A052503,2023JJ00,15.9,20.2,15.6
299,MW00000,H008859,A052503,2024JJ00,15.3,20.0,14.5
300,MW00000,2018710,A052501,2019JJ00,58.1,53.8,55.6
301,MW00000,2018710,A052501,2021JJ00,51.9,52.2,50.0
302,MW00000,2018710,A052501,2022JJ00,55.3,52.5,53.5
303,MW00000,2018710,A052501,2023JJ00,51.7,53.4,49.1
304,MW00000,2018710,A052501,2024JJ00,51.5,49.7,48.9
305,MW00000,2018710,A052502,2019JJ00,29.8,31.2,32.9
306,MW00000,2018710,A052502,2021JJ00,36.9,33.9,36.6
307,MW00000,2018710,A052502,2022JJ00,32.1,31.6,30.6
308,MW00000,2018710,A052502,2023JJ00,36.3,32.3,35.5
309,MW00000,2018710,A052502,2024JJ00,37.3,33.7,39.5
310,MW00000,2018710,A052503,2019JJ00,12.1,15.0,11.5
311,MW00000,2018710,A052503,2021JJ00,11.2,13.9,13.4
312,MW00000,2018710,A052503,2022JJ00,12.6,15.9,15.8
313,MW00000,2018710,A052503,2023JJ00,12.0,14.2,15.5
314,MW00000,2018710,A052503,2024JJ00,11.3,16.6,11.6
315,MW00000,2018720,A052501,2019JJ00,63.5,59.0,62.0
316,MW00000,2018720,A052501,2021JJ00,54.3,55.0,51.2
317,MW00000,2018720,A052501,2022JJ00,55.9,54.6,53.7
318,MW00000,2018720,A052501,2023JJ00,56.3,52.5,56.0
319,MW00000,2018720,A052501,2024JJ00,57.3,55.3,57.1
320,MW00000,2018720,A052502,2019JJ00,27.5,29.3,28.4
321,MW00000,2018720,A052502,2021JJ00,33.1,29.3,35.7
322,MW00000,2018720,A052502,2022JJ00,32.6,30.2,34.4
323,MW00000,2018720,A052502,2023JJ00,32.2,33.4,31.6
324,MW00000,2018720,A052502,2024JJ00,31.9,28.8,30.6
325,MW00000,2018720,A052503,2019JJ00,9.1,11.7,9.6
326,MW00000,2018720,A052503,2021JJ00,12.6,15.7,13.1
327,MW00000,2018720,A052503,2022JJ00,11.5,15.2,11.9
328,MW00000,2018720,A052503,2023JJ00,11.5,14.1,12.5
329,MW00000,2018720,A052503,2024JJ00,10.8,15.9,12.3
330,MW00000,2018750,A052501,2019JJ00,65.1,58.7,65.8
331,MW00000,2018750,A052501,2021JJ00,58.3,59.4,52.5
332,MW00000,2018750,A052501,2022JJ00,61.1,57.0,60.4
333,MW00000,2018750,A052501,2023JJ00,60.5,56.3,59.1
334,MW00000,2018750,A052501,2024JJ00,62.1,56.7,63.0
335,MW00000,2018750,A052502,2019JJ00,25.5,28.4,25.7
336,MW00000,2018750,A052502,2021JJ00,30.2,26.0,36.7
337,MW00000,2018750,A052502,2022JJ00,27.7,29.6,28.6
338,MW00000,2018750,A052502,2023JJ00,28.3,29.4,29.4
339,MW00000,2018750,A052502,2024JJ00,28.0,30.4,27.3
340,MW00000,2018750,A052503,2019JJ00,9.4,12.9,8.6
341,MW00000,2018750,A052503,2021JJ00,11.5,14.6,10.8
342,MW00000,2018750,A052503,2022JJ00,11.1,13.4,10.9
343,MW00000,2018750,A052503,2023JJ00,11.3,14.3,11.6
344,MW00000,2018750,A052503,2024JJ00,9.9,12.8,9.8
345,MW00000,2018800,A052501,2019JJ00,70.8,65.2,70.3
346,MW00000,2018800,A052501,2021JJ00,59.9,61.9,53.7
347,MW00000,2018800,A052501,2022JJ00,61.8,60.1,59.2
348,MW00000,2018800,A052501,2023JJ00,64.8,61.6,64.9
349,MW00000,2018800,A052501,2024JJ00,62.7,58.6,63.1
350,MW00000,2018800,A052502,2019JJ00,22.5,24.8,24.1
351,MW00000,2018800,A052502,2021JJ00,31.2,26.0,38.1
352,MW00000,2018800,A052502,2022JJ00,28.8,28.9,32.2
353,MW00000,2018800,A052502,2023JJ00,25.6,25.5,25.9
354,MW00000,2018800,A052502,2024JJ00,28.0,27.3,28.3
355,MW00000,2018800,A052503,2019JJ00,6.7,10.0,5.6
356,MW00000,2018800,A052503,2021JJ00,8.9,12.1,8.2
357,MW00000,2018800,A052503,2022JJ00,9.4,11.0,8.5
358,MW00000,2018800,A052503,2023JJ00,9.6,12.9,9.2
359,MW00000,2018800,A052503,2024JJ00,9.3,14.1,8.6
360,MW00000,2018810,A052501,2019JJ00,68.5,63.1,70.4
361,MW00000,2018810,A052501,2021JJ00,60.2,60.7,55.1
362,MW00000,2018810,A052501,2022JJ00,65.0,61.2,62.5
363,MW00000,2018810,A052501,2023JJ00,67.0,61.4,64.9
364,MW00000,2018810,A052501,2024JJ00,63.8,60.2,65.0
365,MW00000,2018810,A052502,2019JJ00,24.9,27.4,24.9
366,MW00000,2018810,A052502,2021JJ00,30.3,26.7,36.4
367,MW00000,2018810,A052502,2022JJ00,25.6,25.9,31.1
368,MW00000,2018810,A052502,2023JJ00,23.9,26.6,27.7
369,MW00000,2018810,A052502,2024JJ00,27.9,26.8,28.5
370,MW00000,2018810,A052503,2019JJ00,6.7,9.5,4.7
371,MW00000,2018810,A052503,2021JJ00,9.5,12.6,8.6
372,MW00000,2018810,A052503,2022JJ00,9.4,12.9,6.3
373,MW00000,2018810,A052503,2023JJ00,9.1,12.1,7.4
374,MW00000,2018810,A052503,2024JJ00,8.2,12.9,6.6
375,MW00000,1015100,A052501,2019JJ00,52.2,53.1,48.9
376,MW00000,1015100,A052501,2021JJ00,43.4,52.7,38.7
377,MW00000,1015100,A052501,2022JJ00,46.8,51.3,43.3
378,MW00000,1015100,A052501,2023JJ00,48.0,51.9,45.1
379,MW00000,1015100,A052501,2024JJ00,49.1,51.6,46.7
380,MW00000,1015100,A052502,2019JJ00,33.7,30.6,36.3
381,MW00000,1015100,A052502,2021JJ00,40.7,29.9,44.9
382,MW00000,1015100,A052502,2022JJ00,38.0,31.4,40.2
383,MW00000,1015100,A052502,2023JJ00,35.1,29.1,37.9
384,MW00000,1015100,A052502,2024JJ00,36.7,30.9,38.1
385,MW00000,1015100,A052503,2019JJ00,14.1,16.3,14.8
386,MW00000,1015100,A052503,2021JJ00,15.8,17.4,16.4
387,MW00000,1015100,A052503,2022JJ00,15.3,17.4,16.5
388,MW00000,1015100,A052503,2023JJ00,16.9,19.0,17.0
389,MW00000,1015100,A052503,2024JJ00,14.2,17.5,15.2
390,MW00000,1015110,A052501,2019JJ00,57.1,57.4,49.8
391,MW00000,1015110,A052501,2021JJ00,51.7,55.2,46.7
392,MW00000,1015110,A052501,2022JJ00,54.1,51.8,49.4
393,MW00000,1015110,A052501,2023JJ00,50.3,49.5,46.0
394,MW00000,1015110,A052501,2024JJ00,52.0,52.6,48.0
395,MW00000,1015110,A052502,2019JJ00,28.4,24.8,36.8
396,MW00000,1015110,A052502,2021JJ00,29.2,20.6,36.8
397,MW00000,1015110,A052502,2022JJ00,25.8,24.1,32.9
398,MW00000,1015110,A052502,2023JJ00,29.3,30.3,34.1
399,MW00000,1015110,A052502,2024JJ00,29.8,24.8,36.1
400,MW00000,1015110,A052503,2019JJ00,14.5,17.7,13.4
