ID,Perioden,NederlandHICP_1,EurozoneMUICP_2,EuropeseUnieEICP_3,NederlandHICP_4,EurozoneMUICP_5,EuropeseUnieEICP_6
55,2000MM04,74.34,75.67,74.34,1.7,1.7,1.5
56,2000MM05,74.55,75.76,74.46,2.0,1.8,1.6
57,2000MM06,74.55,76.04,74.68,2.5,2.1,1.9
58,2000MM07,74.34,76.14,74.66,2.8,2.1,1.9
59,2000MM08,74.62,76.2,74.71,2.5,2.0,1.8
60,2000MM09,75.31,76.5,75.09,2.9,2.4,2.2
61,2000MM10,75.58,76.52,75.12,3.2,2.4,2.2
62,2000MM11,75.51,76.68,75.28,2.9,2.5,2.3
63,2000MM12,75.17,76.96,75.5,2.9,2.5,2.2
64,2000JJ00,74.51,76.05,74.65,2.3,2.1,1.9
65,2001MM01,76.21,76.63,75.12,4.6,2.0,1.9
66,2001MM02,76.89,76.86,75.34,5.0,2.0,1.8
67,2001MM03,77.77,77.27,75.72,5.0,2.2,2.0
68,2001MM04,78.37,77.73,76.18,5.4,2.7,2.5
69,2001MM05,78.63,78.1,76.58,5.5,3.1,2.8
70,2001MM06,78.34,78.21,76.69,5.1,2.9,2.7
71,2001MM07,78.29,78.03,76.44,5.3,2.5,2.4
72,2001MM08,78.51,77.97,76.44,5.2,2.3,2.3
73,2001MM09,79.33,78.18,76.67,5.3,2.2,2.1
74,2001MM10,79.36,78.24,76.69,5.0,2.2,2.1
75,2001MM11,79.14,78.19,76.62,4.8,2.0,1.8
76,2001MM12,79.04,78.54,76.93,5.1,2.1,1.9
77,2001JJ00,78.32,77.83,76.29,5.1,2.3,2.2
78,2002MM01,79.91,78.63,76.96,4.9,2.6,2.4
79,2002MM02,80.32,78.76,77.08,4.5,2.5,2.3
80,2002MM03,81.17,79.21,77.5,4.4,2.5,2.4
81,2002MM04,81.68,79.56,77.85,4.2,2.4,2.2
82,2002MM05,81.6,79.71,77.99,3.8,2.1,1.8
83,2002MM06,81.31,79.67,77.96,3.8,1.9,1.7
84,2002MM07,81.22,79.59,77.85,3.7,2.0,1.8
85,2002MM08,81.38,79.64,77.93,3.7,2.1,1.9
86,2002MM09,82.17,79.84,78.14,3.6,2.1,1.9
87,2002MM10,82.09,80.03,78.32,3.4,2.3,2.1
88,2002MM11,81.72,79.97,78.27,3.3,2.3,2.2
89,2002MM12,81.58,80.36,78.62,3.2,2.3,2.2
90,2002JJ00,81.35,79.58,77.87,3.9,2.3,2.1
91,2003MM01,82.07,80.3,78.5,2.7,2.1,2.0
92,2003MM02,82.65,80.62,78.82,2.9,2.4,2.3
93,2003MM03,83.4,81.08,79.25,2.7,2.4,2.3
94,2003MM04,83.48,81.21,79.38,2.2,2.1,2.0
95,2003MM05,83.43,81.15,79.34,2.2,1.8,1.7
96,2003MM06,83.04,81.25,79.39,2.1,2.0,1.8
97,2003MM07,82.95,81.13,79.28,2.1,1.9,1.8
98,2003MM08,83.16,81.25,79.42,2.2,2.0,1.9
99,2003MM09,83.85,81.54,79.71,2.0,2.1,2.0
100,2003MM10,83.67,81.66,79.82,1.9,2.0,1.9
101,2003MM11,83.39,81.7,79.84,2.0,2.2,2.0
102,2003MM12,82.87,81.95,80.08,1.6,2.0,1.9
103,2003JJ00,83.16,81.24,79.4,2.2,2.1,2.0
104,2004MM01,83.29,81.75,79.84,1.5,1.8,1.7
105,2004MM02,83.77,81.94,80.03,1.4,1.6,1.5
106,2004MM03,84.45,82.46,80.47,1.3,1.7,1.5
107,2004MM04,84.74,82.88,80.85,1.5,2.1,1.9
108,2004MM05,84.88,83.14,81.16,1.7,2.5,2.3
109,2004MM06,84.27,83.18,81.2,1.5,2.4,2.3
110,2004MM07,83.97,83.0,81.03,1.2,2.3,2.2
111,2004MM08,84.12,83.17,81.17,1.2,2.4,2.2
112,2004MM09,84.83,83.26,81.27,1.2,2.1,2.0
113,2004MM10,84.93,83.59,81.58,1.5,2.4,2.2
114,2004MM11,84.62,83.53,81.56,1.5,2.2,2.2
115,2004MM12,83.92,83.85,81.85,1.3,2.3,2.2
116,2004JJ00,84.32,82.98,81.0,1.4,2.1,2.0
117,2005MM01,84.34,83.32,81.42,1.3,1.9,2.0
118,2005MM02,84.99,83.62,81.69,1.5,2.1,2.1
119,2005MM03,85.73,84.25,82.21,1.5,2.2,2.2
120,2005MM04,85.83,84.6,82.55,1.3,2.1,2.1
121,2005MM05,85.76,84.78,82.75,1.0,2.0,2.0
122,2005MM06,85.48,84.87,82.83,1.4,2.0,2.0
123,2005MM07,85.2,84.78,82.77,1.5,2.1,2.1
124,2005MM08,85.52,84.98,82.95,1.7,2.2,2.2
125,2005MM09,86.23,85.42,83.33,1.7,2.6,2.5
126,2005MM10,86.22,85.64,83.53,1.5,2.5,2.4
127,2005MM11,85.99,85.45,83.38,1.6,2.3,2.2
128,2005MM12,85.6,85.74,83.62,2.0,2.3,2.2
129,2005JJ00,85.57,84.79,82.75,1.5,2.2,2.2
130,2006MM01,85.81,85.35,83.28,1.7,2.4,2.3
131,2006MM02,86.24,85.59,83.52,1.5,2.4,2.2
132,2006MM03,86.93,86.09,83.92,1.4,2.2,2.1
133,2006MM04,87.34,86.66,84.47,1.8,2.4,2.3
134,2006MM05,87.3,86.89,84.76,1.8,2.5,2.4
135,2006MM06,87.01,86.96,84.85,1.8,2.5,2.4
136,2006MM07,86.71,86.85,84.76,1.8,2.4,2.4
137,2006MM08,87.12,86.93,84.91,1.9,2.3,2.4
138,2006MM09,87.54,86.93,84.95,1.5,1.8,1.9
139,2006MM10,87.39,87.0,85.02,1.4,1.6,1.8
140,2006MM11,87.37,87.03,85.08,1.6,1.8,2.0
141,2006MM12,87.07,87.37,85.4,1.7,1.9,2.1
142,2006JJ00,86.99,86.64,84.58,1.6,2.2,2.2
143,2007MM01,86.86,86.92,85.03,1.2,1.8,2.1
144,2007MM02,87.42,87.17,85.31,1.4,1.8,2.1
145,2007MM03,88.55,87.75,85.83,1.9,1.9,2.3
146,2007MM04,89.04,88.31,86.31,1.9,1.9,2.2
147,2007MM05,89.07,88.52,86.54,2.0,1.9,2.1
148,2007MM06,88.61,88.61,86.65,1.8,1.9,2.1
149,2007MM07,87.94,88.39,86.42,1.4,1.8,2.0
150,2007MM08,88.05,88.45,86.53,1.1,1.7,1.9
151,2007MM09,88.66,88.78,86.85,1.3,2.1,2.2
152,2007MM10,88.79,89.21,87.3,1.6,2.5,2.7
153,2007MM11,88.93,89.69,87.75,1.8,3.1,3.1
154,2007MM12,88.45,90.05,88.11,1.6,3.1,3.2
155,2007JJ00,88.36,88.49,86.55,1.6,2.1,2.3
156,2008MM01,88.42,89.7,87.92,1.8,3.2,3.4
157,2008MM02,89.17,90.02,88.3,2.0,3.3,3.5
158,2008MM03,90.23,90.9,89.04,1.9,3.6,3.7
159,2008MM04,90.55,91.19,89.41,1.7,3.3,3.6
160,2008MM05,90.92,91.76,89.97,2.1,3.7,4.0
161,2008MM06,90.66,92.11,90.34,2.3,3.9,4.3
162,2008MM07,90.55,91.97,90.26,3.0,4.1,4.4
163,2008MM08,90.67,91.84,90.23,3.0,3.8,4.3
164,2008MM09,91.13,92.01,90.48,2.8,3.6,4.2
165,2008MM10,90.98,92.04,90.51,2.5,3.2,3.7
166,2008MM11,90.61,91.59,90.17,1.9,2.1,2.8
167,2008MM12,89.91,91.47,90.01,1.7,1.6,2.2
168,2008JJ00,90.32,91.38,89.72,2.2,3.3,3.7
169,2009MM01,89.95,90.71,89.46,1.7,1.1,1.8
170,2009MM02,90.83,91.08,89.93,1.9,1.2,1.8
171,2009MM03,91.89,91.42,90.25,1.8,0.6,1.4
172,2009MM04,92.21,91.75,90.55,1.8,0.6,1.3
173,2009MM05,92.31,91.8,90.72,1.5,0.0,0.8
174,2009MM06,91.9,91.98,90.9,1.4,-0.1,0.6
175,2009MM07,90.43,91.38,90.48,-0.1,-0.6,0.2
176,2009MM08,90.61,91.69,90.74,-0.1,-0.2,0.6
177,2009MM09,91.11,91.71,90.77,0.0,-0.3,0.3
178,2009MM10,91.35,91.92,90.95,0.4,-0.1,0.5
179,2009MM11,91.21,92.03,91.1,0.7,0.5,1.0
180,2009MM12,90.56,92.32,91.39,0.7,0.9,1.5
181,2009JJ00,91.2,91.65,90.6,1.0,0.3,1.0
182,2010MM01,90.3,91.57,90.94,0.4,0.9,1.7
183,2010MM02,91.15,91.85,91.24,0.4,0.8,1.5
184,2010MM03,92.49,92.87,92.07,0.7,1.6,2.0
185,2010MM04,92.81,93.25,92.47,0.7,1.6,2.1
186,2010MM05,92.72,93.35,92.6,0.4,1.7,2.1
187,2010MM06,92.11,93.35,92.64,0.2,1.5,1.9
188,2010MM07,91.57,92.95,92.38,1.3,1.7,2.1
189,2010MM08,91.7,93.14,92.56,1.2,1.6,2.0
190,2010MM09,92.39,93.43,92.81,1.4,1.9,2.2
191,2010MM10,92.61,93.71,93.09,1.4,1.9,2.4
192,2010MM11,92.47,93.79,93.23,1.4,1.9,2.3
193,2010MM12,92.23,94.36,93.83,1.8,2.2,2.7
194,2010JJ00,92.05,93.14,92.49,0.9,1.6,2.1
195,2011MM01,92.01,93.68,93.44,1.9,2.3,2.7
196,2011MM02,92.93,94.08,93.88,2.0,2.4,2.9
197,2011MM03,94.2,95.35,94.9,1.8,2.7,3.1
198,2011MM04,94.77,95.88,95.48,2.1,2.8,3.3
199,2011MM05,94.84,95.89,95.56,2.3,2.7,3.2
200,2011MM06,94.23,95.88,95.51,2.3,2.7,3.1
201,2011MM07,94.54,95.33,95.1,3.2,2.6,2.9
202,2011MM08,94.65,95.51,95.3,3.2,2.5,3.0
203,2011MM09,95.12,96.21,95.9,3.0,3.0,3.3
204,2011MM10,95.22,96.55,96.2,2.8,3.0,3.3
205,2011MM11,94.84,96.63,96.35,2.6,3.0,3.3
206,2011MM12,94.54,96.96,96.68,2.5,2.8,3.0
207,2011JJ00,94.32,95.66,95.36,2.5,2.7,3.1
208,2012MM01,94.66,96.17,96.14,2.9,2.7,2.9
209,2012MM02,95.6,96.65,96.64,2.9,2.7,2.9
210,2012MM03,96.93,97.9,97.63,2.9,2.7,2.9
211,2012MM04,97.39,98.36,98.09,2.8,2.6,2.7
212,2012MM05,97.17,98.22,98.0,2.5,2.4,2.6
213,2012MM06,96.59,98.15,97.89,2.5,2.4,2.5
214,2012MM07,97.0,97.63,97.52,2.6,2.4,2.5
215,2012MM08,97.07,98.01,97.87,2.6,2.6,2.7
216,2012MM09,97.54,98.72,98.48,2.5,2.6,2.7
217,2012MM10,98.33,98.95,98.75,3.3,2.5,2.7
218,2012MM11,97.85,98.76,98.62,3.2,2.2,2.4
219,2012MM12,97.73,99.11,98.95,3.4,2.2,2.3
220,2012JJ00,96.99,98.05,97.88,2.8,2.5,2.6
221,2013MM01,97.7,98.08,98.16,3.2,2.0,2.1
222,2013MM02,98.7,98.44,98.56,3.2,1.9,2.0
223,2013MM03,100.02,99.6,99.46,3.2,1.7,1.9
224,2013MM04,100.1,99.51,99.45,2.8,1.2,1.4
225,2013MM05,100.14,99.62,99.55,3.1,1.4,1.6
226,2013MM06,99.65,99.73,99.6,3.2,1.6,1.7
227,2013MM07,100.0,99.2,99.2,3.1,1.6,1.7
228,2013MM08,99.78,99.32,99.33,2.8,1.3,1.5
229,2013MM09,99.86,99.8,99.74,2.4,1.1,1.3
230,2013MM10,99.61,99.68,99.66,1.3,0.7,0.9
231,2013MM11,99.02,99.6,99.58,1.2,0.9,1.0
232,2013MM12,99.1,99.95,99.92,1.4,0.8,1.0
233,2013JJ00,99.47,99.38,99.35,2.6,1.4,1.5
234,2014MM01,98.48,98.83,99.04,0.8,0.8,0.9
235,2014MM02,99.07,99.14,99.36,0.4,0.7,0.8
236,2014MM03,100.16,100.07,100.07,0.1,0.5,0.6
237,2014MM04,100.74,100.22,100.25,0.6,0.7,0.8
238,2014MM05,100.28,100.11,100.16,0.1,0.5,0.6
239,2014MM06,99.92,100.22,100.26,0.3,0.5,0.7
240,2014MM07,100.26,99.57,99.74,0.3,0.4,0.5
241,2014MM08,100.14,99.68,99.84,0.4,0.4,0.5
242,2014MM09,100.12,100.12,100.15,0.3,0.3,0.4
243,2014MM10,100.0,100.06,100.14,0.4,0.4,0.5
244,2014MM11,99.27,99.88,99.93,0.3,0.3,0.4
245,2014MM12,99.04,99.78,99.84,-0.1,-0.2,-0.1
246,2014JJ00,99.79,99.81,99.9,0.3,0.4,0.6
247,2015MM01,97.82,98.24,98.57,-0.7,-0.6,-0.5
248,2015MM02,98.62,98.85,99.07,-0.5,-0.3,-0.3
249,2015MM03,99.88,100.0,99.97,-0.3,-0.1,-0.1
250,2015MM04,100.71,100.43,100.36,0.0,0.2,0.1
251,2015MM05,100.97,100.71,100.62,0.7,0.6,0.5
252,2015MM06,100.4,100.72,100.59,0.5,0.5,0.3
253,2015MM07,101.07,100.11,100.12,0.8,0.5,0.4
254,2015MM08,100.58,100.12,100.11,0.4,0.4,0.3
255,2015MM09,100.4,100.32,100.23,0.3,0.2,0.1
256,2015MM10,100.4,100.45,100.34,0.4,0.4,0.2
257,2015MM11,99.64,100.01,100.01,0.4,0.1,0.1
258,2015MM12,99.53,100.03,100.02,0.5,0.3,0.2
259,2015JJ00,100.0,100.0,100.0,0.2,0.2,0.1
260,2016MM01,98.03,98.56,98.83,0.2,0.3,0.3
261,2016MM02,98.94,98.73,98.98,0.3,-0.1,-0.1
262,2016MM03,100.4,99.96,99.93,0.5,0.0,0.0
263,2016MM04,100.51,100.17,100.13,-0.2,-0.3,-0.2
264,2016MM05,100.75,100.59,100.48,-0.2,-0.1,-0.1
265,2016MM06,100.2,100.77,100.65,-0.2,0.0,0.1
266,2016MM07,100.5,100.28,100.28,-0.6,0.2,0.2
267,2016MM08,100.67,100.34,100.34,0.1,0.2,0.2
268,2016MM09,100.31,100.72,100.64,-0.1,0.4,0.4
269,2016MM10,100.67,100.96,100.87,0.3,0.5,0.5
270,2016MM11,100.02,100.6,100.65,0.4,0.6,0.6
271,2016MM12,100.27,101.13,101.16,0.7,1.1,1.1
272,2016JJ00,100.11,100.23,100.25,0.1,0.2,0.2
273,2017MM01,99.64,100.26,100.49,1.6,1.7,1.7
274,2017MM02,100.58,100.66,100.93,1.7,2.0,2.0
275,2017MM03,101.03,101.49,101.58,0.6,1.5,1.7
276,2017MM04,101.94,102.07,102.1,1.4,1.9,2.0
277,2017MM05,101.49,101.98,102.09,0.7,1.4,1.6
278,2017MM06,101.17,102.08,102.15,1.0,1.3,1.5
279,2017MM07,102.0,101.62,101.83,1.5,1.3,1.5
280,2017MM08,102.18,101.89,102.08,1.5,1.5,1.7
281,2017MM09,101.75,102.29,102.44,1.4,1.6,1.8
282,2017MM10,101.97,102.34,102.55,1.3,1.4,1.7
283,2017MM11,101.57,102.14,102.5,1.5,1.5,1.8
284,2017MM12,101.49,102.49,102.82,1.2,1.3,1.6
285,2017JJ00,101.4,101.78,101.96,1.3,1.5,1.7
286,2018MM01,101.12,101.56,102.12,1.5,1.3,1.6
287,2018MM02,101.84,101.78,102.35,1.3,1.1,1.4
288,2018MM03,102.06,102.91,103.17,1.0,1.4,1.6
289,2018MM04,102.99,103.32,103.6,1.0,1.2,1.5
290,2018MM05,103.41,103.97,104.16,1.9,2.0,2.0
291,2018MM06,102.85,104.09,104.28,1.7,2.0,2.1
292,2018MM07,103.96,103.85,104.12,1.9,2.2,2.2
293,2018MM08,104.09,104.01,104.32,1.9,2.1,2.2
294,2018MM09,103.36,104.42,104.66,1.6,2.1,2.2
295,2018MM10,103.89,104.68,104.91,1.9,2.3,2.3
296,2018MM11,103.37,104.1,104.51,1.8,1.9,2.0
297,2018MM12,103.35,104.05,104.5,1.8,1.5,1.6
298,2018JJ00,103.02,103.56,103.89,1.6,1.8,1.9
299,2019MM01,103.13,102.97,103.64,2.0,1.4,1.5
300,2019MM02,104.44,103.3,104.02,2.6,1.5,1.6
301,2019MM03,104.98,104.35,104.85,2.9,1.4,1.6
302,2019MM04,106.11,105.1,105.58,3.0,1.7,1.9
303,2019MM05,105.82,105.24,105.79,2.3,1.2,1.6
304,2019MM06,105.67,105.41,105.9,2.7,1.3,1.6
305,2019MM07,106.67,104.91,105.59,2.6,1.0,1.4
306,2019MM08,107.32,105.06,105.73,3.1,1.0,1.4
307,2019MM09,106.16,105.29,105.9,2.7,0.8,1.2
308,2019MM10,106.82,105.44,106.03,2.8,0.7,1.1
309,2019MM11,106.01,105.1,105.85,2.6,1.0,1.3
310,2019MM12,106.24,105.43,106.14,2.8,1.3,1.6
311,2019JJ00,105.78,104.8,105.42,2.7,1.2,1.5
312,2020MM01,104.85,104.37,105.44,1.7,1.4,1.7
313,2020MM02,105.77,104.56,105.66,1.3,1.2,1.6
314,2020MM03,106.09,105.13,106.14,1.1,0.7,1.2
315,2020MM04,107.14,105.43,106.37,1.0,0.3,0.7
316,2020MM05,106.94,105.33,106.38,1.1,0.1,0.6
317,2020MM06,107.45,105.69,106.76,1.7,0.3,0.8
318,2020MM07,108.42,105.32,106.51,1.6,0.4,0.9
319,2020MM08,107.65,104.88,106.13,0.3,-0.2,0.4
320,2020MM09,107.19,104.96,106.17,1.0,-0.3,0.3
321,2020MM10,108.05,105.15,106.37,1.2,-0.3,0.3
322,2020MM11,106.72,104.8,106.07,0.7,-0.3,0.2
323,2020MM12,107.22,105.15,106.41,0.9,-0.3,0.3
324,2020JJ00,106.96,105.06,106.2,1.1,0.3,0.7
325,2021MM01,106.51,105.32,106.72,1.6,0.9,1.2
326,2021MM02,107.76,105.54,107.0,1.9,0.9,1.3
327,2021MM03,108.09,106.53,107.91,1.9,1.3,1.7
328,2021MM04,108.95,107.14,108.53,1.7,1.6,2.0
329,2021MM05,109.11,107.42,108.83,2.0,2.0,2.3
330,2021MM06,109.27,107.7,109.1,1.7,1.9,2.2
331,2021MM07,109.96,107.6,109.14,1.4,2.2,2.5
332,2021MM08,110.54,107.98,109.5,2.7,3.0,3.2
333,2021MM09,110.37,108.49,110.03,3.0,3.4,3.6
334,2021MM10,112.1,109.41,111.0,3.7,4.1,4.4
335,2021MM11,113.02,109.9,111.54,5.9,4.9,5.2
336,2021MM12,114.09,110.37,112.06,6.4,5.0,5.3
337,2021JJ00,109.98,107.78,109.28,2.8,2.6,2.9
338,2022MM01,114.61,110.7,112.67,7.6,5.1,5.6
339,2022MM02,115.58,111.74,113.65,7.3,5.9,6.2
340,2022MM03,120.7,114.46,116.36,11.7,7.4,7.8
341,2022MM04,121.16,115.11,117.32,11.2,7.4,8.1
342,2022MM05,120.21,116.07,118.45,10.2,8.1,8.8
343,2022MM06,120.13,117.01,119.53,9.9,8.6,9.6
344,2022MM07,122.74,117.14,119.81,11.6,8.9,9.8
345,2022MM08,125.63,117.85,120.61,13.7,9.1,10.1
346,2022MM09,129.2,119.26,122.07,17.1,9.9,10.9
347,2022MM10,130.92,121.03,123.78,16.8,10.6,11.5
348,2022MM11,125.81,120.95,123.92,11.3,10.1,11.1
349,2022MM12,126.64,120.52,123.7,11.0,9.2,10.4
350,2022JJ00,122.78,116.82,119.32,11.6,8.4,9.2
351,2023MM01,124.23,120.27,123.9,8.4,8.6,10.0
352,2023MM02,125.9,121.24,124.95,8.9,8.5,9.9
353,2023MM03,126.16,122.34,126.05,4.5,6.9,8.3
354,2023MM04,128.17,123.12,126.83,5.8,7.0,8.1
355,2023MM05,128.41,123.15,126.88,6.8,6.1,7.1
356,2023MM06,127.78,123.47,127.22,6.4,5.5,6.4
357,2023MM07,129.25,123.36,127.17,5.3,5.3,6.1
358,2023MM08,129.9,124.03,127.78,3.4,5.2,5.9
359,2023MM09,128.81,124.43,128.11,-0.3,4.3,4.9
360,2023MM10,129.56,124.54,128.27,-1.0,2.9,3.6
361,2023MM11,127.63,123.85,127.76,1.4,2.4,3.1
362,2023MM12,127.88,124.05,127.95,1.0,2.9,3.4
363,2023JJ00,127.81,123.15,126.91,4.1,5.4,6.4
364,2024MM01,128.08,123.6,127.74,3.1,2.8,3.1
365,2024MM02,129.29,124.37,128.48,2.7,2.6,2.8
366,2024MM03,130.09,125.31,129.33,3.1,2.4,2.6
367,2024MM04,131.47,126.04,130.09,2.6,2.4,2.6
368,2024MM05,131.85,126.31,130.33,2.7,2.6,2.7
369,2024MM06,132.07,126.58,130.57,3.4,2.5,2.6
370,2024MM07,133.73,126.54,130.73,3.5,2.6,2.8
371,2024MM08,134.22,126.72,130.88,3.3,2.2,2.4
372,2024MM09,133.01,126.6,130.77,3.3,1.7,2.1
373,2024MM10,133.85,127.03,131.25,3.3,2.0,2.3
374,2024MM11,132.47,126.62,130.99,3.8,2.2,2.5
375,2024MM12,132.93,127.07,131.39,3.9,2.4,2.7
376,2024JJ00,131.92,126.07,130.21,3.2,2.4,2.6
377,2025MM01,131.91,126.72,131.33,3.0,2.5,2.8
378,2025MM02,133.79,127.26,131.92,3.5,2.3,2.7
379,2025MM03,134.5,128.04,132.6,3.4,2.2,2.5
380,2025MM04,136.89,128.77,133.24,4.1,2.2,2.4
381,2025MM05,135.62,128.7,133.22,2.9,1.9,2.2
382,2025MM06,135.6,129.09,133.61,2.7,2.0,2.3
383,2025MM07,137.13,129.12,133.81,2.5,2.0,2.4
384,2025MM08,137.46,129.31,134.05,2.4,2.0,2.4
385,2025MM09,136.96,129.42,134.16,3.0,2.2,2.6
386,2025MM10,137.92,129.7,134.5,3.0,2.1,2.5
387,2025MM11,135.95,129.33,134.19,2.6,2.1,2.4
388,2025MM12,136.58,129.56,134.39,2.7,2.0,2.3
389,2025JJ00,135.86,128.75,133.42,3.0,2.1,2.5
