ID,Landen,Perioden,GebruikskostenVanKantoorruimte_1
303,AT,2009MM11,485.0
304,AT,2010MM05,448.0
305,AT,2010MM11,452.0
306,AT,2012MM04,475.0
307,AT,2013MM04,461.0
308,PL,2001MM01,427.0
309,PL,2001MM07,420.0
310,PL,2002MM01,413.0
311,PL,2002MM07,413.0
312,PL,2003MM01,413.0
313,PL,2003MM08,473.0
314,PL,2004MM01,459.0
315,PL,2004MM08,459.0
316,PL,2005MM01,459.0
317,PL,2005MM08,401.0
318,PL,2006MM05,394.0
319,PL,2006MM11,448.0
320,PL,2007MM05,524.0
321,PL,2007MM11,741.0
322,PL,2008MM05,824.0
323,PL,2008MM11,768.0
324,PL,2009MM05,583.0
325,PL,2009MM11,566.0
326,PL,2010MM05,522.0
327,PL,2010MM11,563.0
328,PL,2012MM04,586.0
329,PL,2013MM04,564.0
330,ES,2001MM01,520.0
331,ES,2001MM07,542.0
332,ES,2002MM01,555.0
333,ES,2002MM07,563.0
334,ES,2003MM01,550.0
335,ES,2003MM08,548.0
336,ES,2004MM01,553.0
337,ES,2004MM08,511.0
338,ES,2005MM01,596.0
339,ES,2005MM08,569.0
340,ES,2006MM05,581.0
341,ES,2006MM11,714.0
342,ES,2007MM05,844.0
343,ES,2007MM11,905.0
344,ES,2008MM05,1040.0
345,ES,2008MM11,952.0
346,ES,2009MM05,716.0
347,ES,2009MM11,728.0
348,ES,2010MM05,653.0
349,ES,2010MM11,621.0
350,ES,2012MM04,587.0
351,ES,2013MM04,543.0
352,CZ,2001MM01,281.0
353,CZ,2001MM07,285.0
354,CZ,2002MM01,284.0
355,CZ,2002MM07,310.0
356,CZ,2003MM01,327.0
357,CZ,2003MM08,345.0
358,CZ,2004MM01,374.0
359,CZ,2004MM08,372.0
360,CZ,2005MM01,389.0
361,CZ,2005MM08,404.0
362,CZ,2006MM05,346.0
363,CZ,2006MM11,380.0
364,CZ,2007MM05,413.0
365,CZ,2007MM11,437.0
366,CZ,2008MM05,603.0
367,CZ,2008MM11,579.0
368,CZ,2009MM05,573.0
369,CZ,2009MM11,566.0
370,CZ,2010MM05,535.0
371,CZ,2010MM11,524.0
372,CZ,2012MM04,527.0
373,CZ,2013MM04,511.0
374,GB,2001MM01,1689.0
375,GB,2001MM07,1697.0
376,GB,2002MM01,1575.0
377,GB,2002MM07,1601.0
378,GB,2003MM01,1624.0
379,GB,2003MM08,1599.0
380,GB,2004MM01,1606.0
381,GB,2004MM08,1909.0
382,GB,2005MM01,2062.0
383,GB,2005MM08,1923.0
384,GB,2006MM05,2079.0
385,GB,2006MM11,2282.0
386,GB,2007MM05,2597.0
387,GB,2007MM11,3540.0
388,GB,2008MM05,3224.0
389,GB,2008MM11,2677.0
390,GB,2009MM05,1858.0
391,GB,2009MM11,1990.0
392,GB,2010MM05,1969.0
393,GB,2010MM11,2085.0
394,GB,2012MM04,2370.0
395,GB,2013MM04,2396.0
396,US,2001MM01,696.0
397,US,2001MM07,699.0
398,US,2002MM01,680.0
399,US,2002MM07,639.0
400,US,2003MM01,615.0
401,US,2003MM08,576.0
402,US,2004MM01,563.0
403,US,2004MM08,560.0
404,US,2005MM01,565.0
405,US,2005MM08,578.0
406,US,2006MM05,593.0
407,US,2006MM11,668.0
408,US,2007MM05,747.0
409,US,2007MM11,1085.0
410,US,2008MM05,1113.0
411,US,2008MM11,1055.0
412,US,2009MM05,738.0
413,US,2009MM11,742.0
414,US,2010MM05,694.0
415,US,2010MM11,717.0
416,US,2012MM04,1230.0
417,US,2013MM04,1299.0
418,KR,2001MM01,671.0
419,KR,2001MM07,626.0
420,KR,2002MM01,523.0
421,KR,2002MM07,549.0
422,KR,2003MM01,555.0
423,KR,2003MM08,562.0
424,KR,2004MM01,560.0
425,KR,2004MM08,583.0
426,KR,2005MM01,630.0
427,KR,2005MM08,665.0
428,KR,2006MM05,743.0
429,KR,2006MM11,769.0
430,KR,2007MM05,791.0
431,KR,2007MM11,835.0
432,KR,2008MM05,769.0
433,KR,2008MM11,648.0
434,KR,2009MM05,583.0
435,KR,2009MM11,681.0
436,KR,2010MM05,773.0
437,KR,2010MM11,764.0
438,KR,2012MM04,976.0
439,KR,2013MM04,1008.0
440,SE,2001MM01,579.0
441,SE,2001MM07,508.0
442,SE,2002MM01,448.0
443,SE,2002MM07,500.0
444,SE,2003MM01,498.0
445,SE,2003MM08,533.0
446,SE,2004MM01,570.0
447,SE,2004MM08,537.0
448,SE,2005MM01,599.0
449,SE,2005MM08,518.0
450,SE,2006MM05,562.0
451,SE,2006MM11,631.0
452,SE,2007MM05,675.0
453,SE,2007MM11,824.0
454,SE,2008MM05,933.0
455,SE,2008MM11,794.0
456,SE,2009MM05,631.0
457,SE,2009MM11,731.0
458,SE,2010MM05,707.0
459,SE,2010MM11,789.0
460,SE,2012MM04,812.0
461,SE,2013MM04,825.0
