ID,Perioden,AmerikaanseDollar_1,AustralischeDollar_2,BritsePondSterling_3,CanadeseDollar_4,DeenseKroon_5,HongaarseForint_6,HongKongDollar_7,JapanseYen_8,NieuwZeelandseDollar_9,NoorseKroon_10,PoolseZloty_11,SloveenseTolar_12,TsjechischeKroon_13,ZuidAfrikaanseRand_14,ZweedseKroon_15,ZwitserseFrank_16
13,1981MM01,1.29,1.04,0.54,1.53,7.94,41.87,6.66,259.8,1.28,6.73,,,,0.97,5.71,2.34
14,1981MM02,1.21,1.03,0.53,1.45,7.97,39.82,6.41,247.79,1.27,6.53,,,,0.93,5.56,2.35
15,1981MM03,1.21,1.04,0.54,1.44,7.99,40.48,6.39,251.63,1.32,6.51,,,,0.95,5.56,2.32
16,1981MM04,1.18,1.0,0.54,1.4,7.99,39.43,6.3,252.11,1.28,6.42,,,,0.95,5.51,2.31
17,1981MM05,1.11,0.96,0.53,1.33,7.99,37.69,6.03,244.1,1.24,6.27,,,,0.93,5.42,2.29
18,1981MM06,1.07,0.93,0.54,1.28,7.96,37.02,5.88,238.7,1.23,6.3,,,,0.93,5.38,2.21
19,1981MM07,1.03,0.9,0.55,1.25,7.91,36.25,5.88,239.94,1.22,6.31,0.01,,,0.95,5.36,2.17
20,1981MM08,1.01,0.91,0.55,1.23,7.91,35.86,5.98,235.1,1.26,6.22,0.01,,,0.96,5.34,2.18
21,1981MM09,1.06,0.93,0.58,1.27,7.81,38.0,6.36,242.44,1.29,6.3,0.01,,,1.0,5.73,2.14
22,1981MM10,1.09,0.95,0.59,1.31,7.84,37.73,6.52,251.13,1.32,6.42,0.01,,,1.04,6.01,2.05
23,1981MM11,1.1,0.96,0.58,1.31,7.87,37.9,6.23,245.3,1.32,6.38,0.01,,,1.06,6.02,1.96
24,1981MM12,1.08,0.96,0.57,1.28,7.93,37.31,6.11,236.9,1.31,6.26,0.01,,,1.05,6.0,1.97
25,1981JJ00,1.12,0.97,0.55,1.34,7.92,38.28,6.23,245.41,1.28,6.39,0.01,0.0,0.0,0.98,5.63,2.19
26,1982MM01,1.07,0.96,0.57,1.27,7.99,36.74,6.18,239.43,1.31,6.25,0.01,,,1.04,5.99,1.97
27,1982MM02,1.03,0.95,0.56,1.25,8.05,35.69,6.08,243.07,1.3,6.16,0.01,,,1.01,5.95,1.95
28,1982MM03,1.01,0.96,0.56,1.24,8.14,35.09,5.91,243.91,1.3,6.1,0.01,,,1.03,5.91,1.91
29,1982MM04,1.0,0.95,0.56,1.22,8.14,34.88,5.82,243.39,1.3,6.07,0.01,,,1.05,5.9,1.96
30,1982MM05,1.03,0.98,0.57,1.27,8.09,35.75,5.94,244.28,1.34,6.16,0.01,,,1.1,5.97,2.01
31,1982MM06,0.98,0.95,0.56,1.25,8.16,34.29,5.73,245.54,1.3,6.05,0.01,,,1.09,5.89,2.03
32,1982MM07,0.96,0.95,0.55,1.22,8.18,35.77,5.66,244.17,1.29,6.08,0.01,,,1.1,5.86,2.01
33,1982MM08,0.95,0.97,0.55,1.19,8.22,36.4,5.78,246.38,1.3,6.35,0.01,,,1.1,5.84,2.01
34,1982MM09,0.94,0.98,0.55,1.16,8.28,36.1,5.75,247.24,1.3,6.49,0.01,,,1.08,5.86,2.01
35,1982MM10,0.93,0.99,0.55,1.14,8.29,35.91,6.13,252.02,1.3,6.67,0.01,,,1.08,6.66,2.02
36,1982MM11,0.92,0.97,0.56,1.12,8.2,35.68,6.11,242.3,1.29,6.63,0.01,,,1.04,6.87,2.01
37,1982MM12,0.96,0.99,0.59,1.18,8.14,38.07,6.25,230.86,1.31,6.71,0.01,,,1.04,7.02,1.96
38,1982JJ00,0.98,0.96,0.56,1.21,8.15,35.86,5.94,243.55,1.3,6.31,0.01,0.0,0.0,1.06,6.14,1.99
39,1983MM01,0.96,0.98,0.61,1.18,8.09,37.97,6.28,223.76,1.32,6.77,0.01,,,1.03,7.04,1.89
40,1983MM02,0.94,0.98,0.62,1.16,8.1,37.65,6.24,222.86,1.31,6.72,0.01,,,1.04,7.02,1.9
41,1983MM03,0.94,1.06,0.63,1.15,8.09,37.7,6.24,223.14,1.41,6.73,0.01,,,1.02,7.02,1.94
42,1983MM04,0.93,1.07,0.6,1.14,8.02,38.25,6.29,219.77,1.41,6.6,0.01,,,1.01,6.93,1.9
43,1983MM05,0.92,1.05,0.58,1.13,8.09,38.38,6.41,215.96,1.39,6.54,0.01,,,0.99,6.89,1.89
44,1983MM06,0.89,1.02,0.58,1.1,8.14,37.93,6.47,214.11,1.36,6.48,0.01,,,0.97,6.81,1.88
45,1983MM07,0.88,1.0,0.58,1.08,8.17,38.29,6.31,211.36,1.34,6.44,0.01,,,0.97,6.76,1.86
46,1983MM08,0.85,0.97,0.57,1.05,8.2,38.01,6.34,208.32,1.31,6.36,0.01,,,0.96,6.7,1.84
47,1983MM09,0.85,0.96,0.57,1.05,8.17,38.06,6.82,206.54,1.3,6.33,0.01,,,0.95,6.71,1.84
48,1983MM10,0.87,0.95,0.58,1.07,8.15,38.42,7.01,201.68,1.31,6.34,0.01,,,0.97,6.74,1.83
49,1983MM11,0.84,0.92,0.57,1.04,8.16,37.66,6.59,198.19,1.28,6.3,0.01,,,1.0,6.68,1.83
50,1983MM12,0.82,0.91,0.57,1.03,8.18,37.04,6.42,192.59,1.26,6.34,0.01,,,1.0,6.62,1.81
51,1983JJ00,0.89,0.99,0.59,1.1,8.13,37.95,6.45,211.52,1.33,6.49,,,,0.99,6.82,1.87
52,1984MM01,0.8,0.89,0.57,1.0,8.18,36.43,6.27,187.96,1.24,6.33,0.01,,,1.01,6.57,1.8
53,1984MM02,0.83,0.89,0.58,1.04,8.19,38.31,6.47,193.98,1.26,6.39,0.01,,,1.02,6.65,1.83
54,1984MM03,0.86,0.9,0.59,1.09,8.18,39.24,6.7,193.8,1.29,6.45,0.01,,,1.05,6.65,1.85
55,1984MM04,0.85,0.92,0.59,1.08,8.21,38.64,6.6,190.22,1.28,6.42,0.01,,,1.06,6.62,1.85
56,1984MM05,0.82,0.9,0.59,1.06,8.2,37.82,6.37,187.94,1.25,6.37,0.01,,,1.04,6.59,1.85
57,1984MM06,0.82,0.92,0.59,1.06,8.2,38.1,6.37,190.42,1.27,6.38,0.01,,,1.07,6.61,1.86
58,1984MM07,0.79,0.94,0.6,1.04,8.18,38.7,6.16,190.7,1.41,6.45,0.01,,,1.17,6.52,1.89
59,1984MM08,0.78,0.92,0.59,1.01,8.17,38.47,6.08,188.03,1.55,6.44,0.01,,,1.22,6.48,1.88
60,1984MM09,0.74,0.89,0.59,0.97,8.12,37.13,5.81,181.83,1.51,6.38,0.01,,,1.23,6.36,1.85
61,1984MM10,0.73,0.87,0.6,0.96,8.07,36.91,5.7,179.73,1.5,6.46,0.01,,,1.28,6.33,1.84
62,1984MM11,0.75,0.87,0.6,0.98,8.06,37.44,5.84,181.45,1.51,6.49,0.01,,,1.34,6.4,1.84
63,1984MM12,0.72,0.86,0.61,0.95,8.0,36.59,5.64,178.33,1.49,6.46,0.01,,,1.36,6.37,1.84
64,1984JJ00,0.79,0.9,0.59,1.02,8.15,37.82,6.17,187.03,1.38,6.42,,,,1.15,6.51,1.85
65,1985MM01,0.7,0.86,0.62,0.93,7.95,36.03,5.48,178.29,1.49,6.44,0.01,,,1.52,6.36,1.87
66,1985MM02,0.68,0.91,0.62,0.91,7.96,35.1,5.27,175.9,1.49,6.39,0.01,,,1.33,6.3,1.89
67,1985MM03,0.68,0.97,0.6,0.93,7.97,35.2,5.26,174.17,1.48,6.38,0.01,,,1.34,6.35,1.89
68,1985MM04,0.73,1.1,0.58,0.99,8.03,36.89,5.65,182.25,1.59,6.46,0.01,,,1.4,6.5,1.87
69,1985MM05,0.72,1.06,0.58,0.99,8.06,36.79,5.6,181.23,1.59,6.45,0.01,,,1.43,6.48,1.89
70,1985MM06,0.73,1.1,0.57,1.0,8.06,37.25,5.7,182.42,1.59,6.46,0.02,,,1.45,6.49,1.88
71,1985MM07,0.77,1.1,0.56,1.04,8.08,38.59,5.98,186.29,1.55,6.51,0.02,,,1.51,6.55,1.86
72,1985MM08,0.8,1.13,0.58,1.08,8.06,39.33,6.22,189.29,1.49,6.57,0.02,,,1.88,6.63,1.83
73,1985MM09,0.79,1.14,0.58,1.08,8.07,38.95,6.13,185.53,1.47,6.54,0.02,,,1.96,6.58,1.83
74,1985MM10,0.84,1.19,0.59,1.14,8.02,40.54,6.52,179.59,1.47,6.61,0.02,,,2.18,6.65,1.81
75,1985MM11,0.85,1.26,0.59,1.17,7.99,41.01,6.64,173.77,1.49,6.64,0.01,,,2.27,6.65,1.81
76,1985MM12,0.87,1.28,0.6,1.22,7.96,41.64,6.82,177.02,1.66,6.68,0.01,,,2.34,6.7,1.84
77,1985JJ00,0.76,1.09,0.59,1.04,8.02,38.11,5.94,180.48,1.53,6.51,,,,1.72,6.52,1.86
78,1986MM01,0.89,1.27,0.63,1.25,7.98,42.03,6.96,178.38,1.73,6.73,0.01,,,2.1,6.77,1.84
79,1986MM02,0.93,1.33,0.65,1.3,7.98,42.57,7.24,171.09,1.74,6.75,0.02,,,1.94,6.86,1.81
80,1986MM03,0.95,1.35,0.65,1.34,7.98,43.91,7.45,170.41,1.81,6.81,0.02,,,1.94,6.91,1.82
81,1986MM04,0.95,1.32,0.63,1.32,7.95,43.98,7.42,166.14,1.69,6.78,0.02,,,1.95,6.87,1.8
82,1986MM05,0.96,1.33,0.64,1.33,7.96,43.83,7.53,160.96,1.7,7.17,0.02,,,2.11,6.9,1.79
83,1986MM06,0.96,1.4,0.64,1.34,7.96,44.36,7.51,161.26,1.76,7.32,0.02,,,2.43,6.93,1.77
84,1986MM07,0.99,1.57,0.66,1.37,7.97,44.58,7.73,157.06,1.86,7.4,0.02,,,2.53,6.99,1.73
85,1986MM08,1.02,1.67,0.69,1.42,7.93,44.69,7.97,157.38,2.04,7.51,0.02,,,2.66,7.08,1.7
86,1986MM09,1.03,1.65,0.7,1.43,7.93,45.64,8.02,159.0,2.14,7.54,0.02,,,2.38,7.1,1.7
87,1986MM10,1.04,1.63,0.73,1.44,7.85,48.37,8.11,162.46,2.06,7.64,0.02,,,2.34,7.15,1.71
88,1986MM11,1.03,1.6,0.72,1.43,7.87,48.32,8.03,167.7,2.0,7.76,0.02,,,2.32,7.17,1.74
89,1986MM12,1.05,1.58,0.73,1.44,7.86,48.59,8.14,169.53,2.04,7.86,0.02,,,2.32,7.21,1.74
90,1986JJ00,0.98,1.47,0.67,1.37,7.94,45.07,7.68,165.11,1.88,7.27,,,,2.25,6.99,1.76
91,1987MM01,1.11,1.68,0.74,1.51,7.83,49.94,8.64,171.86,2.07,7.97,0.02,,,2.32,7.34,1.73
92,1987MM02,1.13,1.69,0.74,1.51,7.79,50.13,8.8,173.42,2.06,7.91,0.02,,,2.35,7.35,1.74
93,1987MM03,1.13,1.65,0.71,1.49,7.81,52.82,8.83,171.33,2.01,7.84,0.02,,,2.34,7.26,1.74
94,1987MM04,1.15,1.61,0.7,1.51,7.83,54.48,8.95,163.88,1.98,7.76,0.02,,,2.31,7.24,1.72
95,1987MM05,1.16,1.63,0.7,1.56,7.81,54.73,9.08,163.14,2.01,7.73,0.02,,,2.33,7.26,1.71
96,1987MM06,1.14,1.59,0.7,1.53,7.81,54.33,8.91,164.88,1.94,7.65,0.03,,,2.31,7.23,1.72
97,1987MM07,1.12,1.59,0.7,1.49,7.88,54.02,8.78,168.9,1.89,7.59,0.03,,,2.32,7.23,1.73
98,1987MM08,1.12,1.58,0.7,1.48,7.95,53.91,8.72,164.71,1.9,7.58,0.03,,,2.31,7.24,1.72
99,1987MM09,1.15,1.57,0.7,1.51,7.99,54.4,8.93,163.89,1.81,7.6,0.03,,,2.34,7.3,1.72
100,1987MM10,1.15,1.62,0.69,1.51,7.97,54.7,9.0,164.99,1.8,7.63,0.04,,,2.36,7.31,1.72
101,1987MM11,1.23,1.79,0.69,1.62,7.96,57.84,9.57,165.98,1.98,7.87,0.04,,,2.43,7.45,1.7
102,1987MM12,1.26,1.78,0.69,1.65,7.96,59.42,9.82,162.04,1.95,8.05,0.04,,,2.46,7.5,1.68
103,1987JJ00,1.15,1.65,0.7,1.53,7.88,54.23,9.0,166.58,1.95,7.77,,,,2.35,7.31,1.72
104,1988MM01,1.25,1.76,0.69,1.61,7.93,58.99,9.74,159.43,1.9,7.93,0.04,,,2.46,7.46,1.68
105,1988MM02,1.22,1.71,0.69,1.54,7.9,58.48,9.49,157.25,1.83,7.8,0.05,,,2.5,7.36,1.69
106,1988MM03,1.23,1.69,0.67,1.54,7.93,58.99,9.63,156.93,1.86,7.81,0.05,,,2.63,7.34,1.71
107,1988MM04,1.24,1.66,0.66,1.53,7.97,59.03,9.69,155.15,1.87,7.7,0.05,,,2.66,7.3,1.72
108,1988MM05,1.23,1.58,0.66,1.52,7.97,58.89,9.59,153.21,1.78,7.59,0.05,,,2.72,7.25,1.73
109,1988MM06,1.18,1.47,0.67,1.44,7.9,57.96,9.25,150.68,1.69,7.55,0.05,,,2.69,7.21,1.73
110,1988MM07,1.13,1.41,0.66,1.36,7.9,58.32,8.81,150.05,1.69,7.56,0.05,,,2.69,7.15,1.73
111,1988MM08,1.1,1.37,0.65,1.35,7.96,59.95,8.61,147.52,1.7,7.6,0.06,,,2.71,7.15,1.75
112,1988MM09,1.11,1.4,0.66,1.36,7.96,60.05,8.67,149.29,1.8,7.67,0.06,,,2.72,7.15,1.75
113,1988MM10,1.14,1.41,0.66,1.38,7.99,60.87,8.91,146.84,1.84,7.69,0.06,,,2.82,7.15,1.76
114,1988MM11,1.19,1.39,0.66,1.44,8.0,61.59,9.26,145.97,1.85,7.78,0.06,,,2.83,7.21,1.74
115,1988MM12,1.18,1.38,0.65,1.42,8.02,61.61,9.25,146.26,1.86,7.71,0.06,,,2.77,7.2,1.75
116,1988JJ00,1.18,1.52,0.66,1.46,7.95,59.56,9.24,151.55,1.81,7.7,,,,2.68,7.24,1.73
117,1989MM01,1.14,1.31,0.64,1.36,8.07,60.65,8.88,144.66,1.82,7.59,0.06,,,2.72,7.12,1.77
118,1989MM02,1.13,1.32,0.64,1.34,8.11,60.46,8.78,143.68,1.82,7.56,0.06,,,2.77,7.11,1.77
119,1989MM03,1.12,1.37,0.65,1.33,8.11,61.33,8.7,145.36,1.81,7.57,0.07,,,2.83,7.11,1.79
120,1989MM04,1.11,1.38,0.65,1.32,8.1,65.5,8.65,146.91,1.82,7.56,0.07,,,2.83,7.08,1.83
121,1989MM05,1.07,1.39,0.66,1.27,8.1,65.79,8.3,147.47,1.76,7.52,0.08,,,2.86,7.02,1.85
122,1989MM06,1.05,1.39,0.67,1.26,8.07,65.36,8.16,150.68,1.82,7.52,0.08,,,2.91,6.99,1.79
123,1989MM07,1.1,1.45,0.67,1.3,8.05,66.5,8.54,153.78,1.9,7.61,0.09,,,2.96,7.08,1.79
124,1989MM08,1.08,1.41,0.68,1.27,8.06,65.3,8.42,152.22,1.82,7.58,0.11,,,2.94,7.05,1.79
125,1989MM09,1.06,1.38,0.68,1.26,8.06,64.91,8.3,154.21,1.8,7.57,0.14,,,2.97,7.02,1.79
126,1989MM10,1.1,1.42,0.69,1.3,8.01,65.78,8.61,156.6,1.88,7.65,0.22,,,2.95,7.11,1.8
127,1989MM11,1.12,1.43,0.71,1.31,7.95,66.16,8.74,160.67,1.9,7.72,0.35,,,2.94,7.19,1.81
128,1989MM12,1.17,1.49,0.73,1.36,7.9,73.09,9.11,167.72,1.96,7.82,0.61,,,3.0,7.34,1.83
129,1989JJ00,1.1,1.39,0.67,1.31,8.05,65.07,8.6,152.0,1.84,7.6,,,,2.89,7.1,1.8
130,1990MM01,1.2,1.54,0.73,1.41,7.88,74.97,9.39,174.3,1.99,7.86,1.14,,,3.08,7.42,1.82
131,1990MM02,1.22,1.61,0.72,1.46,7.88,77.9,9.52,177.36,2.06,7.88,1.16,,,3.1,7.45,1.81
132,1990MM03,1.2,1.59,0.74,1.41,7.82,78.64,9.35,183.42,2.05,7.89,1.14,,,3.13,7.38,1.81
133,1990MM04,1.21,1.59,0.74,1.41,7.8,79.01,9.45,191.92,2.09,7.94,1.15,,,3.22,7.41,1.8
134,1990MM05,1.23,1.62,0.73,1.45,7.81,79.56,9.6,189.23,2.15,7.94,1.17,,,3.25,7.46,1.75
135,1990MM06,1.22,1.57,0.72,1.43,7.84,79.51,9.53,188.16,2.1,7.91,1.16,,,3.25,7.45,1.74
136,1990MM07,1.26,1.59,0.7,1.46,7.87,80.75,9.8,188.17,2.13,7.95,1.2,,,3.32,7.51,1.76
137,1990MM08,1.32,1.63,0.69,1.51,7.91,82.1,10.23,193.99,2.15,8.01,1.25,,,3.38,7.61,1.72
138,1990MM09,1.31,1.59,0.7,1.52,7.87,81.88,10.19,182.17,2.11,7.97,1.25,,,3.38,7.57,1.72
139,1990MM10,1.35,1.69,0.7,1.57,7.87,82.99,10.51,175.48,2.21,8.0,1.29,,,3.44,7.63,1.73
140,1990MM11,1.38,1.79,0.7,1.61,7.87,83.71,10.77,178.12,2.26,8.02,1.31,,,3.48,7.68,1.74
141,1990MM12,1.37,1.78,0.71,1.59,7.87,83.33,10.66,182.68,2.29,8.01,1.3,,,3.46,7.68,1.75
142,1990JJ00,1.27,1.63,0.71,1.49,7.86,80.36,9.92,183.75,2.13,7.95,,,,3.29,7.52,1.76
143,1991MM01,1.36,1.74,0.7,1.57,7.89,93.11,10.59,181.37,2.28,8.01,1.29,,,3.48,7.65,1.73
144,1991MM02,1.38,1.77,0.7,1.6,7.88,96.24,10.8,180.42,2.3,8.01,1.32,,,3.52,7.66,1.75
145,1991MM03,1.28,1.66,0.7,1.48,7.88,93.04,9.98,175.57,2.15,8.01,1.22,,,3.39,7.54,1.77
146,1991MM04,1.21,1.55,0.69,1.4,7.9,91.01,9.43,165.93,2.05,8.02,1.15,,,3.32,7.41,1.74
147,1991MM05,1.2,1.55,0.7,1.38,7.88,90.62,9.33,165.63,2.05,8.02,1.24,,,3.35,7.37,1.74
148,1991MM06,1.15,1.52,0.7,1.32,7.92,88.63,8.91,161.03,2.0,8.02,1.31,,,3.3,7.41,1.76
149,1991MM07,1.15,1.49,0.7,1.32,7.94,88.8,8.92,158.42,2.03,8.01,1.32,,,3.31,7.43,1.78
150,1991MM08,1.18,1.5,0.7,1.35,7.94,89.72,9.13,160.95,2.05,8.02,1.33,,,3.38,7.45,1.79
151,1991MM09,1.21,1.52,0.7,1.37,7.92,91.18,9.36,162.5,2.08,8.02,1.35,,,3.43,7.46,1.79
152,1991MM10,1.21,1.53,0.7,1.37,7.91,91.11,9.39,158.34,2.15,8.02,1.36,,,3.43,7.46,1.79
153,1991MM11,1.26,1.6,0.71,1.42,7.93,97.21,9.76,163.06,2.23,8.02,1.4,67.16,,3.52,7.46,1.81
154,1991MM12,1.3,1.69,0.71,1.49,7.93,99.85,10.1,166.64,2.35,8.02,1.44,75.07,,3.6,7.45,1.81
155,1991JJ00,1.24,1.59,0.7,1.42,7.91,92.54,9.64,166.66,2.14,8.02,,,,3.42,7.48,1.77
156,1992MM01,1.3,1.73,0.71,1.5,7.92,99.58,10.05,162.01,2.39,8.02,1.45,76.21,,3.6,7.43,1.81
157,1992MM02,1.26,1.68,0.71,1.49,7.93,98.26,9.8,161.07,2.33,8.02,1.49,94.08,,3.56,7.42,1.84
158,1992MM03,1.23,1.62,0.71,1.47,7.93,97.99,9.54,163.49,2.25,8.02,1.65,101.19,,3.54,7.41,1.86
159,1992MM04,1.24,1.63,0.71,1.48,7.94,99.37,9.62,165.79,2.29,8.02,1.69,104.03,,3.58,7.41,1.88
160,1992MM05,1.27,1.68,0.7,1.52,7.94,100.53,9.82,165.73,2.37,8.02,1.74,105.87,,3.61,7.4,1.89
161,1992MM06,1.3,1.73,0.7,1.56,7.9,102.25,10.09,165.38,2.4,8.02,1.79,105.13,,3.66,7.4,1.86
162,1992MM07,1.37,1.84,0.71,1.63,7.86,106.21,10.6,172.28,2.51,8.02,1.85,104.2,,3.77,7.41,1.83
163,1992MM08,1.4,1.94,0.72,1.67,7.85,107.44,10.84,177.03,2.59,8.03,1.91,109.07,,3.87,7.41,1.82
164,1992MM09,1.39,1.92,0.75,1.69,7.76,107.32,10.72,170.12,2.56,8.02,1.91,113.78,,3.88,7.41,1.77
165,1992MM10,1.33,1.85,0.8,1.65,7.58,104.43,10.24,160.54,2.45,8.01,1.91,113.39,,3.83,7.41,1.74
166,1992MM11,1.24,1.8,0.81,1.57,7.57,102.24,9.59,153.47,2.38,8.02,1.88,116.89,,3.72,7.71,1.77
167,1992MM12,1.24,1.8,0.8,1.58,7.58,102.74,9.59,153.63,2.4,8.29,1.91,119.13,,3.73,8.54,1.76
168,1992JJ00,1.3,1.77,0.74,1.57,7.81,102.36,10.04,164.21,2.41,8.04,,,,3.7,7.53,1.82
169,1993MM01,1.21,1.8,0.79,1.55,7.56,101.62,9.38,151.6,2.36,8.33,1.93,120.15,35.07,3.72,8.8,1.79
170,1993MM02,1.18,1.74,0.82,1.49,7.46,101.44,9.14,142.95,2.29,8.26,1.9,119.75,34.32,3.69,8.92,1.8
171,1993MM03,1.18,1.67,0.81,1.47,7.45,102.69,9.11,137.88,2.22,8.25,1.96,122.37,34.23,3.75,9.12,1.79
172,1993MM04,1.22,1.71,0.79,1.54,7.48,107.03,9.44,137.03,2.26,8.26,2.03,127.3,34.8,3.87,9.09,1.78
173,1993MM05,1.22,1.74,0.79,1.55,7.51,106.72,9.41,134.42,2.24,8.27,2.05,132.13,34.83,3.87,8.92,1.76
174,1993MM06,1.19,1.76,0.78,1.52,7.49,106.97,9.17,127.13,2.19,8.27,2.06,135.37,34.45,3.84,8.81,1.75
175,1993MM07,1.14,1.68,0.76,1.46,7.56,107.69,8.84,122.5,2.08,8.31,2.05,136.75,33.96,3.81,9.06,1.72
176,1993MM08,1.13,1.67,0.76,1.48,7.83,107.98,8.78,117.64,2.05,8.34,2.1,135.0,33.62,3.81,9.14,1.7
177,1993MM09,1.18,1.81,0.77,1.56,7.83,110.2,9.13,124.26,2.14,8.34,2.31,135.66,34.0,4.02,9.44,1.67
178,1993MM10,1.16,1.76,0.77,1.54,7.71,113.89,9.0,124.47,2.11,8.34,2.34,137.57,33.65,3.95,9.33,1.68
179,1993MM11,1.13,1.7,0.76,1.49,7.64,112.57,8.73,121.75,2.06,8.34,2.34,141.97,33.46,3.8,9.33,1.69
180,1993MM12,1.13,1.68,0.76,1.5,7.57,112.85,8.72,124.13,2.03,8.38,2.38,146.04,33.6,3.81,9.43,1.65
181,1993JJ00,1.17,1.73,0.78,1.51,7.59,107.64,9.07,130.48,2.17,8.31,,,,3.83,9.11,1.73
182,1994MM01,1.11,1.6,0.75,1.47,7.54,113.49,8.6,124.1,1.98,8.37,2.41,149.14,33.56,3.8,9.05,1.64
183,1994MM02,1.12,1.56,0.76,1.5,7.57,115.11,8.64,118.8,1.95,8.38,2.45,150.5,33.61,3.86,8.93,1.63
184,1994MM03,1.14,1.61,0.77,1.56,7.57,117.66,8.83,120.0,2.0,8.38,2.51,151.2,33.79,3.95,9.04,1.63
185,1994MM04,1.14,1.59,0.77,1.58,7.59,117.57,8.81,117.76,2.0,8.39,2.55,152.34,33.76,4.08,8.98,1.64
186,1994MM05,1.16,1.61,0.77,1.61,7.56,119.53,9.0,120.75,2.0,8.37,2.62,153.17,34.0,4.24,8.99,1.65
187,1994MM06,1.18,1.61,0.78,1.64,7.56,121.72,9.15,121.44,2.0,8.37,2.68,153.76,34.19,4.3,9.24,1.63
188,1994MM07,1.22,1.66,0.79,1.69,7.54,123.54,9.45,120.45,2.03,8.39,2.76,153.07,34.42,4.48,9.47,1.62
189,1994MM08,1.22,1.65,0.79,1.69,7.57,131.87,9.46,122.17,2.03,8.39,2.8,152.6,34.4,4.4,9.46,1.61
190,1994MM09,1.24,1.67,0.79,1.67,7.55,133.76,9.55,122.09,2.05,8.41,2.85,153.67,34.57,4.39,9.31,1.6
191,1994MM10,1.26,1.71,0.79,1.7,7.5,135.56,9.75,124.14,2.07,8.35,2.93,154.56,34.85,4.46,9.15,1.59
192,1994MM11,1.24,1.65,0.78,1.7,7.49,135.52,9.61,121.88,2.0,8.37,2.94,154.67,34.55,4.38,9.14,1.61
193,1994MM12,1.22,1.57,0.78,1.69,7.49,135.69,9.41,121.76,1.91,8.34,2.95,155.8,34.31,4.33,9.14,1.62
194,1994JJ00,1.19,1.62,0.78,1.62,7.54,125.08,9.19,121.28,2.0,8.37,,,,4.22,9.16,1.62
195,1995MM01,1.24,1.62,0.79,1.75,7.49,138.35,9.62,123.74,1.94,8.32,3.02,155.66,34.45,4.39,9.27,1.6
196,1995MM02,1.26,1.69,0.8,1.76,7.46,140.78,9.73,123.64,1.99,8.3,3.08,155.04,34.49,4.48,9.3,1.6
197,1995MM03,1.32,1.79,0.82,1.85,7.42,153.47,10.18,119.3,2.04,8.26,3.15,151.8,34.53,4.74,9.58,1.54
198,1995MM04,1.34,1.82,0.83,1.85,7.3,161.26,10.37,112.5,2.01,8.32,3.21,151.12,34.7,4.83,9.86,1.53
199,1995MM05,1.32,1.82,0.83,1.8,7.28,163.53,10.23,112.25,1.98,8.31,3.16,151.35,34.68,4.84,9.65,1.54
200,1995MM06,1.33,1.85,0.84,1.83,7.28,167.13,10.31,112.59,1.99,8.3,3.12,151.7,34.8,4.87,9.66,1.54
201,1995MM07,1.35,1.85,0.84,1.83,7.28,169.95,10.41,117.31,2.0,8.3,3.18,152.12,34.98,4.9,9.65,1.56
202,1995MM08,1.3,1.76,0.83,1.77,7.31,170.25,10.1,123.33,1.98,8.27,3.18,153.23,34.8,4.75,9.43,1.56
