ID,LandbouwgoederenEnDiensten,Perioden,OutputAfProducentwaarde_1,OutputBasisprijzen_2,OutputAfProducentwaarde_3,OutputBasisprijzen_4,OutputAfProducentwaarde_5,OutputBasisprijzen_6,OutputAfProducentwaarde_7,OutputBasisprijzen_8
594,4000  ,2014JJ00,8870.0,8889.0,8949.0,8968.0,1.7,1.7,99.1,99.1
595,4000  ,2015JJ00,9506.0,9525.0,8953.0,8972.0,0.0,0.0,106.2,106.2
596,4000  ,2016JJ00,9392.0,9411.0,8910.0,8929.0,-0.5,-0.5,105.4,105.4
597,4000  ,2017JJ00,9583.0,9603.0,8951.0,8970.0,0.5,0.5,107.1,107.1
598,4100  ,1995JJ00,2026.0,2034.0,2255.0,2264.0,,,89.8,89.9
599,4100  ,1996JJ00,2114.0,2116.0,2140.0,2142.0,-5.1,-5.4,98.8,98.8
600,4100  ,1997JJ00,2366.0,2366.0,2322.0,2322.0,8.5,8.4,101.9,101.9
601,4100  ,1998JJ00,2377.0,2377.0,2284.0,2285.0,-1.6,-1.6,104.0,104.0
602,4100  ,1999JJ00,2183.0,2183.0,2332.0,2332.0,2.1,2.1,93.6,93.6
603,4100  ,2000JJ00,2288.0,2289.0,2250.0,2250.0,-3.5,-3.5,101.7,101.7
604,4100  ,2001JJ00,2202.0,2202.0,2270.0,2270.0,0.9,0.9,97.0,97.0
605,4100  ,2002JJ00,2336.0,2336.0,2315.0,2315.0,2.0,2.0,100.9,100.9
606,4100  ,2003JJ00,2513.0,2513.0,2400.0,2400.0,3.6,3.6,104.7,104.7
607,4100  ,2004JJ00,2143.0,2143.0,2460.0,2460.0,2.5,2.5,87.1,87.1
608,4100  ,2005JJ00,2243.0,2243.0,2524.0,2524.0,2.6,2.6,88.9,88.9
609,4100  ,2006JJ00,2521.0,2521.0,2476.0,2476.0,-1.9,-1.9,101.8,101.8
610,4100  ,2007JJ00,2492.0,2492.0,2585.0,2585.0,4.4,4.4,96.4,96.4
611,4100  ,2008JJ00,2383.0,2383.0,2689.0,2689.0,4.1,4.1,88.6,88.6
612,4100  ,2009JJ00,2072.0,2072.0,2799.0,2799.0,4.1,4.1,74.0,74.0
613,4100  ,2010JJ00,2725.0,2725.0,2725.0,2725.0,-2.6,-2.6,100.0,100.0
614,4100  ,2011JJ00,2144.0,2144.0,2745.0,2745.0,0.7,0.7,78.1,78.1
615,4100  ,2012JJ00,2331.0,2331.0,2709.0,2709.0,-1.3,-1.3,86.1,86.1
616,4100  ,2013JJ00,2589.0,2589.0,2763.0,2763.0,2.0,2.0,93.7,93.7
617,4100  ,2014JJ00,2383.0,2383.0,2859.0,2859.0,3.5,3.5,83.4,83.4
618,4100  ,2015JJ00,2947.0,2947.0,2875.0,2875.0,0.5,0.5,102.5,102.5
619,4100  ,2016JJ00,2611.0,2611.0,2792.0,2792.0,-2.9,-2.9,93.5,93.5
620,4100  ,2017JJ00,2484.0,2484.0,2848.0,2848.0,2.0,2.0,87.2,87.2
621,4110  ,1995JJ00,36.0,36.0,23.0,23.0,,,162.0,162.0
622,4110  ,1996JJ00,32.0,32.0,24.0,24.0,4.7,4.7,134.1,134.1
623,4110  ,1997JJ00,34.0,34.0,24.0,24.0,0.4,0.4,142.3,142.3
624,4110  ,1998JJ00,30.0,30.0,25.0,25.0,6.8,6.8,118.4,118.4
625,4110  ,1999JJ00,31.0,31.0,26.0,26.0,4.3,4.3,117.7,117.7
626,4110  ,2000JJ00,33.0,33.0,27.0,27.0,0.9,0.9,123.8,123.8
627,4110  ,2001JJ00,37.0,37.0,25.0,25.0,-7.6,-7.6,149.2,149.2
628,4110  ,2002JJ00,36.0,36.0,26.0,26.0,4.6,4.6,138.1,138.1
629,4110  ,2003JJ00,35.0,35.0,26.0,26.0,-0.3,-0.3,135.1,135.1
630,4110  ,2004JJ00,28.0,28.0,26.0,26.0,-0.3,-0.3,109.6,109.6
631,4110  ,2005JJ00,27.0,27.0,26.0,26.0,0.4,0.4,106.5,106.5
632,4110  ,2006JJ00,31.0,31.0,24.0,24.0,-7.0,-7.0,130.8,130.8
633,4110  ,2007JJ00,29.0,29.0,28.0,28.0,15.5,15.5,103.6,103.6
634,4110  ,2008JJ00,33.0,33.0,30.0,30.0,7.3,7.3,110.0,110.0
635,4110  ,2009JJ00,25.0,25.0,24.0,24.0,-19.3,-19.3,106.7,106.7
636,4110  ,2010JJ00,25.0,25.0,25.0,25.0,3.1,3.1,100.0,100.0
637,4110  ,2011JJ00,24.0,24.0,23.0,23.0,-7.7,-7.7,104.9,104.9
638,4110  ,2012JJ00,22.0,22.0,21.0,21.0,-6.5,-6.5,103.1,103.1
639,4110  ,2013JJ00,23.0,23.0,21.0,21.0,-2.8,-2.8,109.7,109.7
640,4110  ,2014JJ00,20.0,20.0,22.0,22.0,4.8,4.8,93.2,93.2
641,4110  ,2015JJ00,26.0,26.0,27.0,27.0,26.3,26.3,95.8,95.8
642,4110  ,2016JJ00,37.0,37.0,26.0,26.0,-5.5,-5.5,142.8,142.8
643,4110  ,2017JJ00,,,,,,,,
644,4120  ,1995JJ00,385.0,393.0,488.0,497.0,,,78.8,79.1
645,4120  ,1996JJ00,481.0,483.0,402.0,404.0,-17.6,-18.6,119.5,119.5
646,4120  ,1997JJ00,489.0,489.0,455.0,455.0,13.1,12.6,107.4,107.4
647,4120  ,1998JJ00,506.0,507.0,461.0,462.0,1.3,1.4,109.8,109.8
648,4120  ,1999JJ00,474.0,475.0,481.0,481.0,4.3,4.2,98.7,98.7
649,4120  ,2000JJ00,595.0,595.0,486.0,486.0,1.2,1.1,122.3,122.3
650,4120  ,2001JJ00,430.0,430.0,517.0,517.0,6.4,6.4,83.1,83.1
651,4120  ,2002JJ00,574.0,574.0,527.0,527.0,1.9,1.9,108.8,108.8
652,4120  ,2003JJ00,633.0,633.0,567.0,567.0,7.6,7.6,111.5,111.5
653,4120  ,2004JJ00,536.0,536.0,621.0,621.0,9.4,9.4,86.3,86.3
654,4120  ,2005JJ00,691.0,691.0,632.0,632.0,1.8,1.8,109.4,109.4
655,4120  ,2006JJ00,709.0,709.0,647.0,647.0,2.3,2.3,109.6,109.6
656,4120  ,2007JJ00,639.0,639.0,661.0,661.0,2.2,2.2,96.7,96.7
657,4120  ,2008JJ00,620.0,620.0,709.0,709.0,7.4,7.4,87.4,87.4
658,4120  ,2009JJ00,537.0,537.0,779.0,779.0,9.8,9.8,68.9,68.9
659,4120  ,2010JJ00,795.0,795.0,795.0,795.0,2.1,2.1,100.0,100.0
660,4120  ,2011JJ00,499.0,499.0,795.0,795.0,0.0,0.0,62.7,62.7
661,4120  ,2012JJ00,683.0,683.0,776.0,776.0,-2.4,-2.4,88.1,88.1
662,4120  ,2013JJ00,599.0,599.0,824.0,824.0,6.1,6.1,72.7,72.7
663,4120  ,2014JJ00,707.0,707.0,868.0,868.0,5.3,5.3,81.5,81.5
664,4120  ,2015JJ00,833.0,833.0,858.0,858.0,-1.1,-1.1,97.1,97.1
665,4120  ,2016JJ00,703.0,703.0,867.0,867.0,1.1,1.1,81.0,81.0
666,4120  ,2017JJ00,,,,,,,,
667,4190  ,1995JJ00,1605.0,1605.0,1780.0,1780.0,,,90.2,90.2
668,4190  ,1996JJ00,1602.0,1602.0,1738.0,1738.0,-2.3,-2.3,92.2,92.2
669,4190  ,1997JJ00,1844.0,1844.0,1865.0,1865.0,7.3,7.3,98.9,98.9
670,4190  ,1998JJ00,1841.0,1841.0,1817.0,1817.0,-2.6,-2.6,101.3,101.3
671,4190  ,1999JJ00,1678.0,1678.0,1843.0,1843.0,1.4,1.4,91.0,91.0
672,4190  ,2000JJ00,1661.0,1661.0,1753.0,1753.0,-4.9,-4.9,94.7,94.7
673,4190  ,2001JJ00,1735.0,1735.0,1737.0,1737.0,-0.9,-0.9,99.9,99.9
