ID,HerkomstBestemming,Perioden,TotaalZwareMetalenInEquivalenten_1,ArseenverbindingenAlsAs_2,CadmiumverbindingenAlsCd_3,ChroomverbindingenAlsCr_4,KoperverbindingenAlsCu_5,KwikverbindingenAlsHg_6,LoodverbindingenAlsPb_7,NikkelverbindingenAlsNi_8,ZinkverbindingenAlsZn_9,TotaalNutrientenInEquivalenten_10,FosforverbindingenAlsP_11,StikstofverbindingenAlsN_12
315,440000,2010JJ00,0.0,0.0,0.0,0.0,37.0,0.0,11.0,0.0,60.0,0.0,0.0,0.0
316,440000,2011JJ00,0.0,0.0,0.0,0.0,39.0,0.0,11.0,0.0,63.0,0.0,0.0,0.0
317,440000,2012JJ00,0.0,0.0,0.0,0.0,36.0,0.0,10.0,0.0,58.0,0.0,0.0,0.0
318,440900,1995JJ00,,,,,,,,,,,,
319,440900,2000JJ00,,,,,,,,,,,,
320,440900,2005JJ00,,,,,,,,,,,,
321,440900,2010JJ00,,,,,,,,,,,,
322,440900,2011JJ00,,,,,,,,,,,,
323,440900,2012JJ00,,,,,,,,,,,,
324,999991,1995JJ00,92.4,3501.0,767.0,3288.0,209579.0,275.0,59420.0,7772.0,199206.0,17036.0,10466786.0,65691371.0
325,999991,2000JJ00,95.3,3631.0,791.0,3346.0,217438.0,284.0,57309.0,7996.0,198008.0,18411.0,11633193.0,67775295.0
326,999991,2005JJ00,81.8,3698.0,815.0,3435.0,174393.0,292.0,56883.0,8244.0,212141.0,19891.0,12902313.0,69885479.0
327,999991,2010JJ00,84.5,3695.0,821.0,3457.0,182484.0,294.0,55346.0,8297.0,211089.0,20016.0,12983221.0,70330913.0
328,999991,2011JJ00,82.8,3721.0,828.0,3490.0,176735.0,297.0,55586.0,8375.0,211928.0,20203.0,13104186.0,70985665.0
329,999991,2012JJ00,83.8,3728.0,831.0,3501.0,179489.0,298.0,55784.0,8403.0,212601.0,20273.0,13149746.0,71227638.0
330,xxxxev,1995JJ00,1.3,5.0,3.0,202.0,1966.0,0.0,464.0,134.0,18035.0,0.0,0.0,0.0
331,xxxxev,2000JJ00,1.1,6.0,3.0,175.0,1691.0,0.0,285.0,117.0,15775.0,0.0,0.0,0.0
332,xxxxev,2005JJ00,1.2,6.0,3.0,182.0,1760.0,0.0,293.0,120.0,16122.0,0.0,0.0,0.0
333,xxxxev,2010JJ00,1.2,6.0,3.0,187.0,1809.0,0.0,302.0,121.0,16215.0,0.0,0.0,0.0
334,xxxxev,2011JJ00,1.2,6.0,3.0,189.0,1832.0,0.0,303.0,122.0,16337.0,0.0,0.0,0.0
335,xxxxev,2012JJ00,1.2,6.0,3.0,188.0,1825.0,0.0,301.0,121.0,16248.0,0.0,0.0,0.0
336,xxxxop,1995JJ00,91.1,3495.0,764.0,3086.0,207613.0,275.0,58957.0,7638.0,181171.0,17036.0,10466786.0,65691371.0
337,xxxxop,2000JJ00,94.2,3625.0,788.0,3171.0,215748.0,284.0,57024.0,7879.0,182233.0,18411.0,11633193.0,67775295.0
338,xxxxop,2005JJ00,80.7,3692.0,813.0,3254.0,172632.0,292.0,56590.0,8125.0,196019.0,19891.0,12902313.0,69885479.0
339,xxxxop,2010JJ00,83.3,3689.0,818.0,3271.0,180675.0,294.0,55045.0,8177.0,194873.0,20016.0,12983221.0,70330913.0
340,xxxxop,2011JJ00,81.6,3715.0,826.0,3301.0,174903.0,297.0,55283.0,8254.0,195590.0,20203.0,13104186.0,70985665.0
341,xxxxop,2012JJ00,82.6,3722.0,828.0,3313.0,177665.0,298.0,55483.0,8282.0,196353.0,20273.0,13149746.0,71227638.0
342,999930,1995JJ00,35.4,4880.0,1845.0,16624.0,28376.0,124.0,64325.0,8686.0,267014.0,4465.0,1776771.0,26880603.0
343,999930,2000JJ00,25.6,3586.0,1019.0,14236.0,680.0,249.0,51119.0,14100.0,269080.0,2747.0,204357.0,25424970.0
344,999930,2005JJ00,22.5,3308.0,994.0,10092.0,-9133.0,297.0,26320.0,10598.0,265825.0,2204.0,39237.0,21644275.0
345,999930,2010JJ00,5.3,3537.0,162.0,12733.0,-38637.0,245.0,8705.0,12041.0,240482.0,1675.0,-578889.0,22534477.0
346,999930,2011JJ00,5.9,3092.0,44.0,11402.0,-31209.0,235.0,11739.0,11808.0,211702.0,1868.0,-550031.0,24176449.0
347,999930,2012JJ00,7.7,3768.0,55.0,11571.0,-24776.0,188.0,8864.0,9412.0,246979.0,1526.0,-923332.0,24494291.0
348,xxxxab,1995JJ00,48.6,4279.0,1899.0,1482.0,23291.0,735.0,40184.0,8278.0,141439.0,2572.0,0.0,25717667.0
349,xxxxab,2000JJ00,35.8,1892.0,1352.0,1479.0,31962.0,370.0,42124.0,5927.0,124538.0,2226.0,0.0,22260010.0
350,xxxxab,2005JJ00,27.9,1731.0,830.0,1373.0,21772.0,370.0,24590.0,5748.0,89595.0,2078.0,0.0,20776656.0
351,xxxxab,2010JJ00,18.6,1402.0,310.0,1101.0,10507.0,351.0,6950.0,2666.0,41664.0,1931.0,0.0,19308162.0
352,xxxxab,2011JJ00,17.6,1412.0,299.0,1094.0,9152.0,350.0,6628.0,2639.0,27510.0,1889.0,0.0,18887099.0
353,xxxxab,2012JJ00,20.0,1667.0,331.0,1314.0,14122.0,350.0,8156.0,2988.0,44287.0,1861.0,0.0,18610529.0
354,xxxxac,1995JJ00,-13.1,602.0,-54.0,15142.0,5085.0,-611.0,24140.0,409.0,125575.0,1893.0,1776771.0,1162936.0
355,xxxxac,2000JJ00,-10.3,1694.0,-333.0,12757.0,-31282.0,-121.0,8995.0,8173.0,144542.0,521.0,204357.0,3164960.0
356,xxxxac,2005JJ00,-5.5,1577.0,165.0,8719.0,-30905.0,-73.0,1730.0,4851.0,176230.0,126.0,39237.0,867620.0
357,xxxxac,2010JJ00,-13.3,2135.0,-147.0,11632.0,-49145.0,-106.0,1755.0,9375.0,198817.0,-256.0,-578889.0,3226315.0
358,xxxxac,2011JJ00,-11.7,1680.0,-256.0,10308.0,-40361.0,-116.0,5111.0,9169.0,184192.0,-21.0,-550031.0,5289350.0
359,xxxxac,2012JJ00,-12.3,2101.0,-276.0,10257.0,-38898.0,-161.0,709.0,6424.0,202692.0,-335.0,-923332.0,5883761.0
360,999932,1995JJ00,538.1,203794.0,12097.0,566132.0,566118.0,3862.0,518395.0,403103.0,2891743.0,70763.0,23361238.0,474013164.0
361,999932,2000JJ00,356.2,140262.0,9465.0,130909.0,436588.0,2130.0,346303.0,264467.0,1778007.0,53433.0,19404789.0,340277666.0
362,999932,2005JJ00,297.8,119067.0,9962.0,197700.0,337338.0,1554.0,211513.0,235307.0,1665287.0,35836.0,9855429.0,259809528.0
363,999932,2010JJ00,286.7,123280.0,7397.0,214266.0,369890.0,1177.0,196033.0,246866.0,1753936.0,37910.0,11333056.0,265772450.0
364,999932,2011JJ00,283.4,115176.0,7399.0,194977.0,311561.0,1879.0,196692.0,226459.0,1581370.0,30588.0,7701066.0,228871669.0
365,999932,2012JJ00,248.4,106869.0,6382.0,198894.0,333314.0,862.0,173094.0,226933.0,1533243.0,37038.0,9993274.0,270444513.0
366,xxxxaf,1995JJ00,532.3,203794.0,12081.0,566132.0,552613.0,3862.0,516946.0,403103.0,2857764.0,70763.0,23361238.0,474013164.0
367,xxxxaf,2000JJ00,350.7,140262.0,9450.0,130909.0,423402.0,2130.0,346303.0,264467.0,1745754.0,53433.0,19404789.0,340277666.0
368,xxxxaf,2005JJ00,291.3,119067.0,9946.0,197700.0,321363.0,1554.0,211513.0,235307.0,1631474.0,35836.0,9855429.0,259809528.0
369,xxxxaf,2010JJ00,278.7,123280.0,7382.0,214266.0,349452.0,1177.0,196033.0,246866.0,1720732.0,37910.0,11333056.0,265772450.0
370,xxxxaf,2011JJ00,275.4,115176.0,7384.0,194977.0,291123.0,1879.0,196692.0,226459.0,1548128.0,30588.0,7701066.0,228871669.0
371,xxxxaf,2012JJ00,240.4,106869.0,6366.0,198894.0,312876.0,862.0,173094.0,226933.0,1499991.0,37038.0,9993274.0,270444513.0
372,xxxxag,1995JJ00,5.8,0.0,16.0,0.0,13505.0,0.0,1449.0,0.0,33979.0,0.0,0.0,0.0
373,xxxxag,2000JJ00,5.5,0.0,15.0,0.0,13186.0,0.0,0.0,0.0,32253.0,0.0,0.0,0.0
374,xxxxag,2005JJ00,6.5,0.0,16.0,0.0,15974.0,0.0,0.0,0.0,33814.0,0.0,0.0,0.0
375,xxxxag,2010JJ00,8.0,0.0,15.0,0.0,20438.0,0.0,0.0,0.0,33204.0,0.0,0.0,0.0
376,xxxxag,2011JJ00,8.0,0.0,15.0,0.0,20438.0,0.0,0.0,0.0,33243.0,0.0,0.0,0.0
377,xxxxag,2012JJ00,8.0,0.0,15.0,0.0,20438.0,0.0,0.0,0.0,33252.0,0.0,0.0,0.0
