ID,Warmtepompen,Sector,Perioden,InGebruikGenomenWarmtepompen_1,UitGebruikGenomenWarmtepompen_2,OpgesteldeWarmtepompenEindeVanJaar_3,InGebruikGenomenThermischVermogen_4,UitGebruikGenomenThermischVermogen_5,OpgesteldThermischVermogenEindeJaar_6,BrutoWarmteproductieWarmtepompen_7,VerbruikVanElektriciteitEnAardgas_8,OnttrekkingWarmteUitBodemOfLucht_9,VermedenVerbruikVanFossieleEnergie_10,VermedenEmissieKooldioxideCO2_11
42,T001364 ,E007037 ,2008JJ00,6394.0,340.0,34977.0,50.0,1.0,169.0,742.0,217.0,524.0,251.0,8.0
43,T001364 ,E007037 ,2009JJ00,8064.0,340.0,42701.0,68.0,1.0,237.0,1016.0,292.0,723.0,366.0,13.0
44,T001364 ,E007037 ,2010JJ00,8400.0,43.0,51058.0,65.0,0.0,302.0,1262.0,370.0,892.0,476.0,18.0
45,T001364 ,E007037 ,2011JJ00,18649.0,109.0,69598.0,111.0,1.0,412.0,1559.0,477.0,1082.0,602.0,23.0
46,T001364 ,E007037 ,2012JJ00,19163.0,1297.0,87464.0,100.0,4.0,507.0,1795.0,555.0,1241.0,645.0,19.0
47,T001364 ,E007037 ,2013JJ00,16739.0,1547.0,102656.0,87.0,7.0,587.0,1999.0,631.0,1368.0,706.0,17.0
48,T001364 ,E007037 ,2014JJ00,19323.0,753.0,121226.0,106.0,3.0,690.0,2238.0,717.0,1520.0,728.0,14.0
49,T001364 ,E007037 ,2015JJ00,22926.0,727.0,143425.0,121.0,4.0,806.0,2502.0,812.0,1690.0,774.0,5.0
50,T001364 ,E007037 ,2016JJ00,37590.0,1128.0,179887.0,204.0,3.0,1007.0,3037.0,1004.0,2033.0,951.0,14.0
51,T001364 ,E007037 ,2017JJ00,55713.0,3518.0,232082.0,299.0,9.0,1297.0,3909.0,1323.0,2586.0,1245.0,24.0
52,T001364 ,E007037 ,2018JJ00,66667.0,3718.0,295031.0,374.0,12.0,1659.0,5095.0,1757.0,3338.0,1588.0,38.0
53,T001364 ,E007037 ,2019JJ00,120201.0,3119.0,412113.0,681.0,11.0,2329.0,6957.0,2437.0,4520.0,2226.0,89.0
54,T001364 ,E007037 ,2020JJ00,336703.0,3329.0,745487.0,1561.0,12.0,3878.0,9878.0,3501.0,6377.0,3198.0,178.0
55,T001364 ,E007037 ,2021JJ00,322450.0,4613.0,1063324.0,1558.0,26.0,5411.0,12988.0,4636.0,8353.0,4108.0,229.0
56,T001364 ,E007040 ,1994JJ00,0.0,0.0,43.0,0.0,0.0,11.0,44.0,22.0,22.0,17.0,1.0
57,T001364 ,E007040 ,1995JJ00,24.0,0.0,67.0,1.0,0.0,12.0,48.0,23.0,25.0,19.0,1.0
58,T001364 ,E007040 ,1996JJ00,37.0,0.0,104.0,1.0,0.0,13.0,53.0,25.0,28.0,21.0,1.0
59,T001364 ,E007040 ,1997JJ00,111.0,0.0,215.0,4.0,0.0,17.0,68.0,29.0,39.0,27.0,1.0
60,T001364 ,E007040 ,1998JJ00,122.0,0.0,337.0,6.0,0.0,23.0,93.0,36.0,57.0,36.0,1.0
61,T001364 ,E007040 ,1999JJ00,127.0,0.0,464.0,7.0,0.0,30.0,121.0,44.0,76.0,46.0,2.0
62,T001364 ,E007040 ,2000JJ00,211.0,0.0,675.0,10.0,0.0,40.0,159.0,55.0,104.0,59.0,2.0
63,T001364 ,E007040 ,2001JJ00,350.0,0.0,1025.0,9.0,0.0,49.0,196.0,65.0,131.0,71.0,2.0
64,T001364 ,E007040 ,2002JJ00,388.0,0.0,1413.0,15.0,0.0,64.0,254.0,80.0,174.0,93.0,3.0
65,T001364 ,E007040 ,2003JJ00,255.0,0.0,1668.0,16.0,0.0,80.0,317.0,98.0,219.0,115.0,4.0
66,T001364 ,E007040 ,2004JJ00,730.0,0.0,2397.0,42.0,0.0,122.0,482.0,145.0,338.0,179.0,6.0
67,T001364 ,E007040 ,2005JJ00,664.0,9.0,3053.0,54.0,2.0,174.0,689.0,203.0,486.0,255.0,9.0
68,T001364 ,E007040 ,2006JJ00,881.0,9.0,3926.0,55.0,2.0,227.0,898.0,266.0,632.0,336.0,11.0
69,T001364 ,E007040 ,2007JJ00,936.0,9.0,4853.0,84.0,2.0,308.0,1226.0,350.0,876.0,481.0,18.0
70,T001364 ,E007040 ,2008JJ00,961.0,9.0,5806.0,96.0,2.0,402.0,1628.0,469.0,1159.0,614.0,22.0
71,T001364 ,E007040 ,2009JJ00,8660.0,9.0,14457.0,258.0,2.0,657.0,2077.0,608.0,1469.0,771.0,28.0
72,T001364 ,E007040 ,2010JJ00,9553.0,24.0,23986.0,290.0,1.0,947.0,2607.0,780.0,1827.0,969.0,36.0
73,T001364 ,E007040 ,2011JJ00,25723.0,37.0,49673.0,315.0,1.0,1261.0,3144.0,952.0,2193.0,1194.0,45.0
74,T001364 ,E007040 ,2012JJ00,23582.0,111.0,73144.0,287.0,4.0,1544.0,3713.0,1141.0,2572.0,1287.0,36.0
75,T001364 ,E007040 ,2013JJ00,23799.0,122.0,96821.0,297.0,6.0,1835.0,4356.0,1347.0,3008.0,1518.0,35.0
76,T001364 ,E007040 ,2014JJ00,27215.0,127.0,123908.0,323.0,7.0,2151.0,5061.0,1585.0,3476.0,1634.0,31.0
77,T001364 ,E007040 ,2015JJ00,28336.0,211.0,152034.0,324.0,10.0,2466.0,5811.0,1848.0,3963.0,1803.0,12.0
78,T001364 ,E007040 ,2016JJ00,36272.0,350.0,187956.0,356.0,9.0,2813.0,6596.0,2138.0,4458.0,2120.0,35.0
79,T001364 ,E007040 ,2017JJ00,41587.0,388.0,229155.0,407.0,15.0,3205.0,7486.0,2462.0,5024.0,2529.0,57.0
80,T001364 ,E007040 ,2018JJ00,46110.0,255.0,275010.0,450.0,16.0,3640.0,8564.0,2851.0,5713.0,2915.0,81.0
81,T001364 ,E007040 ,2019JJ00,45809.0,730.0,320089.0,466.0,42.0,4064.0,9585.0,3222.0,6363.0,3385.0,143.0
82,T001364 ,E007040 ,2020JJ00,43054.0,664.0,362479.0,517.0,54.0,4526.0,10724.0,3646.0,7078.0,3845.0,215.0
83,T001364 ,E007040 ,2021JJ00,45692.0,881.0,407290.0,537.0,55.0,5008.0,11936.0,4088.0,7848.0,4192.0,234.0
84,A043945 ,E007041 ,1994JJ00,0.0,0.0,90.0,0.0,0.0,15.0,58.0,30.0,28.0,23.0,1.0
85,A043945 ,E007041 ,1995JJ00,41.0,0.0,131.0,1.0,0.0,15.0,61.0,31.0,31.0,24.0,1.0
86,A043945 ,E007041 ,1996JJ00,100.0,0.0,231.0,2.0,0.0,17.0,69.0,33.0,36.0,27.0,1.0
87,A043945 ,E007041 ,1997JJ00,581.0,0.0,812.0,7.0,0.0,24.0,96.0,40.0,56.0,39.0,2.0
88,A043945 ,E007041 ,1998JJ00,427.0,0.0,1239.0,12.0,0.0,36.0,142.0,52.0,90.0,58.0,2.0
89,A043945 ,E007041 ,1999JJ00,406.0,0.0,1645.0,10.0,0.0,45.0,180.0,63.0,117.0,72.0,3.0
90,A043945 ,E007041 ,2000JJ00,665.0,0.0,2310.0,13.0,0.0,59.0,233.0,78.0,156.0,91.0,3.0
91,A043945 ,E007041 ,2001JJ00,529.0,0.0,2839.0,11.0,0.0,70.0,277.0,89.0,187.0,105.0,4.0
92,A043945 ,E007041 ,2002JJ00,903.0,0.0,3742.0,20.0,0.0,89.0,354.0,110.0,244.0,135.0,5.0
93,A043945 ,E007041 ,2003JJ00,995.0,0.0,4737.0,23.0,0.0,113.0,447.0,136.0,311.0,170.0,6.0
94,A043945 ,E007041 ,2004JJ00,1427.0,0.0,6163.0,49.0,0.0,162.0,643.0,190.0,452.0,247.0,9.0
95,A043945 ,E007041 ,2005JJ00,2145.0,18.0,8290.0,64.0,3.0,223.0,884.0,257.0,628.0,339.0,13.0
96,A043945 ,E007041 ,2006JJ00,3446.0,18.0,11719.0,78.0,3.0,298.0,1180.0,340.0,840.0,460.0,16.0
97,A043945 ,E007041 ,2007JJ00,3583.0,18.0,15284.0,104.0,3.0,399.0,1581.0,440.0,1141.0,644.0,24.0
98,A043945 ,E007041 ,2008JJ00,4100.0,18.0,19366.0,119.0,3.0,515.0,2041.0,553.0,1488.0,830.0,31.0
99,A043945 ,E007041 ,2009JJ00,5309.0,18.0,24657.0,121.0,3.0,633.0,2508.0,666.0,1841.0,1064.0,42.0
100,A043945 ,E007041 ,2010JJ00,5677.0,41.0,30293.0,117.0,1.0,749.0,2967.0,784.0,2183.0,1312.0,55.0
101,A043945 ,E007041 ,2011JJ00,5859.0,100.0,36052.0,122.0,2.0,869.0,3441.0,903.0,2538.0,1582.0,67.0
102,A043945 ,E007041 ,2012JJ00,5786.0,581.0,41257.0,113.0,7.0,975.0,3860.0,1008.0,2852.0,1700.0,62.0
103,A043945 ,E007041 ,2013JJ00,3052.0,427.0,43882.0,111.0,12.0,1074.0,4253.0,1107.0,3147.0,1908.0,64.0
104,A043945 ,E007041 ,2014JJ00,2510.0,406.0,45986.0,96.0,10.0,1160.0,4595.0,1191.0,3404.0,2007.0,65.0
105,A043945 ,E007041 ,2015JJ00,2086.0,665.0,47407.0,91.0,13.0,1238.0,4902.0,1268.0,3634.0,2138.0,57.0
106,A043945 ,E007041 ,2016JJ00,4065.0,529.0,50943.0,86.0,11.0,1312.0,5197.0,1342.0,3855.0,2374.0,79.0
107,A043945 ,E007041 ,2017JJ00,4830.0,903.0,54870.0,95.0,20.0,1388.0,5496.0,1416.0,4081.0,2645.0,98.0
108,A043945 ,E007041 ,2018JJ00,6504.0,995.0,60379.0,125.0,23.0,1489.0,5897.0,1514.0,4383.0,2905.0,118.0
109,A043945 ,E007041 ,2019JJ00,11755.0,1427.0,70708.0,160.0,49.0,1600.0,6336.0,1620.0,4715.0,3241.0,158.0
110,A043945 ,E007041 ,2020JJ00,19356.0,2145.0,87919.0,191.0,64.0,1727.0,6839.0,1740.0,5098.0,3591.0,201.0
111,A043945 ,E007041 ,2021JJ00,21792.0,3446.0,106264.0,215.0,78.0,1865.0,7384.0,1864.0,5520.0,3900.0,219.0
112,A043945 ,E007037 ,1994JJ00,0.0,0.0,48.0,0.0,0.0,3.0,13.0,7.0,6.0,6.0,0.0
113,A043945 ,E007037 ,1995JJ00,18.0,0.0,66.0,0.0,0.0,3.0,13.0,7.0,6.0,6.0,0.0
114,A043945 ,E007037 ,1996JJ00,66.0,0.0,132.0,0.0,0.0,4.0,15.0,8.0,7.0,6.0,0.0
115,A043945 ,E007037 ,1997JJ00,492.0,0.0,624.0,3.0,0.0,7.0,28.0,11.0,17.0,12.0,1.0
116,A043945 ,E007037 ,1998JJ00,378.0,0.0,1002.0,6.0,0.0,13.0,51.0,17.0,34.0,22.0,1.0
117,A043945 ,E007037 ,1999JJ00,279.0,0.0,1281.0,2.0,0.0,15.0,61.0,20.0,41.0,26.0,1.0
118,A043945 ,E007037 ,2000JJ00,454.0,0.0,1735.0,4.0,0.0,19.0,76.0,23.0,52.0,32.0,1.0
119,A043945 ,E007037 ,2001JJ00,179.0,0.0,1914.0,2.0,0.0,21.0,83.0,25.0,57.0,34.0,1.0
120,A043945 ,E007037 ,2002JJ00,517.0,0.0,2431.0,5.0,0.0,26.0,102.0,31.0,71.0,42.0,2.0
121,A043945 ,E007037 ,2003JJ00,753.0,0.0,3184.0,8.0,0.0,33.0,132.0,39.0,93.0,55.0,2.0
122,A043945 ,E007037 ,2004JJ00,707.0,0.0,3891.0,8.0,0.0,41.0,162.0,46.0,116.0,69.0,3.0
123,A043945 ,E007037 ,2005JJ00,1481.0,10.0,5362.0,9.0,1.0,50.0,197.0,54.0,143.0,84.0,3.0
124,A043945 ,E007037 ,2006JJ00,2565.0,10.0,7918.0,23.0,1.0,72.0,284.0,75.0,208.0,125.0,5.0
125,A043945 ,E007037 ,2007JJ00,2687.0,10.0,10595.0,23.0,1.0,94.0,370.0,96.0,274.0,164.0,7.0
126,A043945 ,E007037 ,2008JJ00,3323.0,10.0,13908.0,40.0,1.0,133.0,526.0,134.0,392.0,229.0,9.0
127,A043945 ,E007037 ,2009JJ00,4560.0,10.0,18459.0,56.0,1.0,188.0,745.0,188.0,556.0,333.0,14.0
128,A043945 ,E007037 ,2010JJ00,5040.0,18.0,23481.0,46.0,0.0,233.0,925.0,234.0,690.0,427.0,18.0
129,A043945 ,E007037 ,2011JJ00,4890.0,66.0,28305.0,44.0,0.0,277.0,1099.0,278.0,821.0,523.0,23.0
130,A043945 ,E007037 ,2012JJ00,4843.0,492.0,32656.0,39.0,3.0,313.0,1239.0,313.0,926.0,564.0,21.0
131,A043945 ,E007037 ,2013JJ00,2422.0,378.0,34700.0,19.0,6.0,326.0,1292.0,326.0,966.0,598.0,21.0
132,A043945 ,E007037 ,2014JJ00,2010.0,279.0,36431.0,18.0,2.0,342.0,1354.0,342.0,1013.0,609.0,20.0
133,A043945 ,E007037 ,2015JJ00,1648.0,454.0,37625.0,17.0,4.0,355.0,1406.0,354.0,1051.0,630.0,18.0
134,A043945 ,E007037 ,2016JJ00,3638.0,179.0,41084.0,31.0,2.0,384.0,1523.0,384.0,1139.0,712.0,24.0
