ID,BedrijfsklassenSBI2008,Perioden,TotaalBedrijfsopbrengsten_1,NettoOmzet_2,TotaalOverigeBedrijfsopbrengsten_3,Subsidies_4,NietEerderGenoemdeBedrijfsopbrengsten_5,TotaalBedrijfskosten_6,TotaalArbeidskosten_7,LonenEnSalarissen_8,Pensioenlasten_9,SocialeLasten_10,AfschrijvingenOpVasteActiva_11,TotaalOverigeBedrijfskosten_12,TotaalOverigePersoneelskosten_13,KostenUitzendkrachtenEnOverigeInleen_14,NietEerderGenoemdePersoneelskosten_15,NietEerderGenoemdeBedrijfskosten_16,Bedrijfsresultaat_17,SaldoBijzWaardevermeerderingVermind_18,FinancieelResultaat_19,VrijvalVoorzieningen_20,ToevoegingenVoorzieningen_21,SaldoVoorzieningen_22,IncidenteelResultaat_23,ResultaatVoorBelastingen_24,TotaalWerkzamePersonen_25,Werknemers_26,OverigeWerkzamePersonen_27,TotaalArbeidsjarenWerkzamePersonen_28,ArbeidsjarenWerknemers_29,ArbeidsjarenOverigeWerkzamePersonen_30,Vrijwilligers_31,TotaalBedrijvenNaarActiviteit_32,Peuteropvang_33,Kinderdagopvang_34,BuitenEnNaschoolseOpvang_35,Gastouderopvang_36,WelzijnswerkVoorOuderen_37,LokaalWelzijnswerk_38,MaatschappelijkWerk_39,OverigeActiviteiten_40,BeschikbarePlaatsen_41,GeplaatstePeuters_42,BeschikbarePlaatsen_43,GeplaatsteKinderen_44,BeschikbarePlaatsen_45,GeplaatsteKinderen_46,KindkoppelingenGastouderbureaus_47
10,427000,2018JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,427000,2019JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,427000,2020JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,427000,2021JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,427000,2022JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,427000,2023JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,427300,2008JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,427300,2009JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,427300,2010JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,427300,2011JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,427300,2012JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,427300,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,427300,2014JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,427300,2015JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,427300,2016JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,427300,2017JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,427300,2018JJ00,4125.0,3807.0,318.0,256.0,62.0,3654.0,2526.0,2011.0,165.0,350.0,125.0,1004.0,129.0,36.0,92.0,875.0,471.0,-1.0,-17.0,1.0,7.0,-6.0,5.0,452.0,110040.0,96870.0,13170.0,67380.0,57030.0,10360.0,12270.0,14390.0,730.0,2780.0,2160.0,8470.0,0.0,10.0,0.0,230.0,,,,,,,
27,427300,2019JJ00,4698.0,4398.0,300.0,231.0,70.0,4169.0,2881.0,2286.0,188.0,407.0,151.0,1137.0,174.0,55.0,120.0,962.0,529.0,2.0,-20.0,1.0,10.0,-9.0,3.0,504.0,120030.0,105610.0,14420.0,74140.0,63280.0,10850.0,10490.0,14350.0,820.0,2640.0,1960.0,8670.0,0.0,10.0,0.0,250.0,,,,,,,
28,427300,2020JJ00,5116.0,4747.0,369.0,283.0,85.0,4604.0,3242.0,2577.0,201.0,464.0,196.0,1166.0,194.0,72.0,121.0,973.0,511.0,0.0,-34.0,1.0,3.0,-2.0,4.0,480.0,128440.0,112800.0,15630.0,81420.0,68910.0,12510.0,6810.0,14890.0,990.0,2580.0,1930.0,9100.0,0.0,10.0,0.0,270.0,,,,,,,
29,427300,2021JJ00,5507.0,5113.0,394.0,307.0,87.0,4872.0,3372.0,2685.0,228.0,459.0,210.0,1289.0,218.0,79.0,139.0,1071.0,635.0,0.0,-33.0,1.0,4.0,-3.0,6.0,606.0,131650.0,114970.0,16680.0,83900.0,71140.0,12770.0,5300.0,14930.0,1130.0,2620.0,2070.0,8940.0,0.0,10.0,0.0,160.0,,,,,,,
30,427300,2022JJ00,6310.0,5850.0,460.0,,,5600.0,3721.0,2977.0,237.0,507.0,233.0,1646.0,380.0,,,1266.0,710.0,0.0,-33.0,1.0,3.0,-2.0,4.0,678.0,,120240.0,,,76000.0,,,,,,,,,,,,,,,,,,
31,427300,2023JJ00,7087.0,6584.0,504.0,,,6336.0,4230.0,3394.0,254.0,582.0,252.0,1853.0,443.0,,,1411.0,751.0,-1.0,-71.0,5.0,3.0,2.0,4.0,686.0,,124820.0,,,80510.0,,,,,,,,,,,,,,,,,,
32,427400,2008JJ00,2945.0,2760.0,185.0,134.0,50.0,2684.0,1790.0,1464.0,118.0,208.0,85.0,809.0,122.0,49.0,72.0,688.0,261.0,,-3.0,4.0,8.0,-4.0,3.0,257.0,96270.0,91600.0,4670.0,54460.0,52240.0,2230.0,,,,,,,,,,,,,,270.0,,239.0,
33,427400,2009JJ00,3460.0,3303.0,156.0,94.0,62.0,3105.0,2101.0,1727.0,137.0,236.0,105.0,899.0,137.0,52.0,86.0,762.0,355.0,,-8.0,3.0,9.0,-6.0,5.0,346.0,106910.0,99340.0,7560.0,62790.0,58460.0,4330.0,16050.0,5210.0,460.0,2130.0,1220.0,1140.0,0.0,20.0,10.0,230.0,56.0,49.0,210.0,293.0,199.0,274.0,186.0
34,427400,2010JJ00,3635.0,3430.0,206.0,138.0,68.0,3327.0,2217.0,1815.0,143.0,259.0,132.0,978.0,144.0,43.0,101.0,834.0,308.0,-1.0,-10.0,4.0,5.0,-1.0,4.0,300.0,108470.0,100550.0,7920.0,65120.0,59840.0,5280.0,15530.0,6610.0,360.0,2430.0,1550.0,1960.0,0.0,10.0,10.0,280.0,55.0,51.0,208.0,306.0,208.0,286.0,
35,427400,2011JJ00,3846.0,3639.0,207.0,133.0,74.0,3567.0,2354.0,1934.0,156.0,263.0,160.0,1053.0,178.0,38.0,140.0,875.0,278.0,0.0,-55.0,3.0,7.0,-4.0,3.0,222.0,113650.0,104830.0,8830.0,67230.0,61310.0,5920.0,13240.0,8340.0,510.0,2930.0,1040.0,3610.0,0.0,10.0,10.0,240.0,78.0,61.0,204.0,321.0,208.0,304.0,277.0
36,427400,2012JJ00,3706.0,3506.0,200.0,129.0,71.0,3555.0,2336.0,1907.0,160.0,268.0,207.0,1013.0,111.0,30.0,82.0,901.0,151.0,,-65.0,2.0,6.0,-4.0,-5.0,,110920.0,102210.0,8710.0,64490.0,58620.0,5870.0,11470.0,9370.0,430.0,2830.0,1890.0,3800.0,0.0,10.0,20.0,390.0,63.0,58.0,215.0,321.0,227.0,315.0,249.0
37,427400,2013JJ00,3327.0,3133.0,195.0,127.0,68.0,3257.0,2132.0,1729.0,147.0,256.0,187.0,939.0,98.0,22.0,77.0,840.0,70.0,,-66.0,3.0,6.0,-3.0,0.0,,99960.0,91310.0,8650.0,59350.0,52630.0,6720.0,11990.0,9830.0,360.0,2660.0,1790.0,4860.0,0.0,10.0,0.0,150.0,63.0,55.0,209.0,293.0,225.0,291.0,225.0
38,427400,2014JJ00,3167.0,2955.0,212.0,148.0,64.0,3036.0,1998.0,1599.0,140.0,260.0,162.0,876.0,88.0,18.0,71.0,788.0,131.0,-3.0,-11.0,4.0,5.0,-1.0,5.0,122.0,96950.0,87780.0,9170.0,56620.0,49330.0,7290.0,11730.0,10560.0,290.0,2430.0,1840.0,5670.0,10.0,10.0,0.0,310.0,62.0,54.0,210.0,280.0,234.0,291.0,
39,427400,2015JJ00,3110.0,2886.0,224.0,154.0,70.0,2889.0,1953.0,1564.0,130.0,259.0,113.0,823.0,78.0,15.0,62.0,745.0,221.0,-3.0,-12.0,3.0,4.0,-1.0,2.0,208.0,92760.0,82520.0,10230.0,54540.0,46580.0,7970.0,11000.0,11660.0,320.0,2620.0,1860.0,6560.0,10.0,10.0,0.0,270.0,62.0,56.0,211.0,281.0,232.0,303.0,
40,427400,2016JJ00,3254.0,3034.0,221.0,162.0,59.0,2971.0,2020.0,1612.0,134.0,275.0,113.0,838.0,87.0,18.0,68.0,751.0,284.0,-4.0,-9.0,3.0,3.0,0.0,3.0,273.0,97230.0,85640.0,11590.0,57230.0,47760.0,9460.0,11100.0,13060.0,320.0,2800.0,2140.0,7520.0,10.0,10.0,0.0,270.0,,,,,,,
41,427400,2017JJ00,3581.0,3328.0,253.0,197.0,56.0,3193.0,2204.0,1761.0,143.0,299.0,112.0,877.0,101.0,23.0,77.0,777.0,388.0,-1.0,-5.0,1.0,2.0,-1.0,4.0,386.0,102400.0,90100.0,12290.0,61270.0,51230.0,10050.0,10590.0,13640.0,360.0,2820.0,2130.0,8090.0,0.0,10.0,0.0,230.0,,,,,,,
42,427400,2018JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,427400,2019JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,427400,2020JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,427400,2021JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,427400,2022JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,427400,2023JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,427500,2008JJ00,157.0,,,,,148.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,427500,2009JJ00,134.0,43.0,91.0,87.0,4.0,133.0,96.0,79.0,7.0,11.0,2.0,35.0,6.0,1.0,5.0,29.0,1.0,,0.0,1.0,1.0,0.0,0.0,1.0,6350.0,6250.0,100.0,2750.0,2680.0,60.0,4880.0,500.0,470.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,80.0,81.0,0.0,0.0,1.0,1.0,0.0
50,427500,2010JJ00,134.0,42.0,92.0,88.0,3.0,133.0,97.0,79.0,7.0,11.0,2.0,35.0,6.0,1.0,5.0,29.0,1.0,0.0,0.0,1.0,2.0,-1.0,0.0,1.0,6180.0,6070.0,120.0,2630.0,2540.0,90.0,4190.0,450.0,420.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,70.0,66.0,0.0,0.0,1.0,1.0,0.0
51,427500,2011JJ00,134.0,40.0,95.0,89.0,5.0,132.0,94.0,76.0,7.0,12.0,2.0,36.0,6.0,1.0,5.0,30.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,5860.0,5700.0,160.0,2480.0,2370.0,110.0,2910.0,400.0,380.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,67.0,60.0,0.0,0.0,1.0,1.0,0.0
52,427500,2012JJ00,125.0,36.0,89.0,86.0,4.0,122.0,89.0,72.0,6.0,10.0,2.0,32.0,6.0,1.0,5.0,26.0,3.0,0.0,0.0,1.0,2.0,-1.0,0.0,2.0,5390.0,5250.0,150.0,2280.0,2170.0,110.0,2930.0,350.0,340.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0
53,427500,2013JJ00,120.0,36.0,83.0,80.0,3.0,118.0,85.0,68.0,6.0,11.0,1.0,32.0,6.0,2.0,5.0,25.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5110.0,4940.0,160.0,2160.0,2040.0,120.0,2400.0,330.0,310.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,56.0,1.0,1.0,0.0,0.0,0.0
54,427500,2014JJ00,126.0,42.0,84.0,81.0,3.0,123.0,91.0,72.0,7.0,12.0,1.0,31.0,7.0,2.0,5.0,24.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4580.0,4480.0,100.0,2110.0,2020.0,90.0,2040.0,310.0,290.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,50.0,1.0,1.0,0.0,0.0,0.0
55,427500,2015JJ00,119.0,40.0,79.0,76.0,2.0,116.0,86.0,68.0,6.0,11.0,1.0,29.0,6.0,2.0,4.0,23.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4210.0,4090.0,120.0,1960.0,1860.0,100.0,2050.0,300.0,290.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,47.0,1.0,1.0,0.0,0.0,0.0
56,427500,2016JJ00,105.0,37.0,69.0,66.0,2.0,103.0,77.0,61.0,5.0,11.0,1.0,25.0,5.0,2.0,4.0,19.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3780.0,3670.0,110.0,1750.0,1650.0,90.0,1770.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
57,427500,2017JJ00,98.0,37.0,60.0,59.0,2.0,95.0,70.0,56.0,5.0,9.0,1.0,24.0,5.0,2.0,4.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3350.0,3240.0,100.0,1590.0,1520.0,70.0,1210.0,220.0,210.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
58,427500,2018JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,427500,2019JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,427500,2020JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,427500,2021JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,427500,2022JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,427500,2023JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,427800,2008JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,427800,2009JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,427800,2010JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,427800,2011JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,427800,2012JJ00,248.0,55.0,193.0,165.0,28.0,234.0,165.0,132.0,12.0,22.0,4.0,65.0,16.0,7.0,9.0,49.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5390.0,4010.0,1380.0,3600.0,2830.0,770.0,16870.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,427800,2013JJ00,252.0,62.0,190.0,158.0,32.0,235.0,165.0,131.0,12.0,22.0,3.0,67.0,16.0,5.0,10.0,52.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5110.0,3960.0,1150.0,3740.0,2850.0,880.0,17520.0,1410.0,0.0,0.0,0.0,0.0,0.0,30.0,690.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,427800,2014JJ00,266.0,76.0,190.0,161.0,28.0,245.0,160.0,127.0,12.0,22.0,5.0,79.0,17.0,6.0,10.0,62.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5710.0,4060.0,1650.0,4090.0,2810.0,1280.0,22640.0,1820.0,0.0,0.0,0.0,0.0,0.0,60.0,1400.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,427800,2015JJ00,258.0,89.0,169.0,149.0,20.0,223.0,148.0,118.0,10.0,20.0,5.0,70.0,14.0,6.0,8.0,56.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5400.0,3730.0,1670.0,3890.0,2600.0,1300.0,23480.0,1710.0,0.0,0.0,0.0,0.0,0.0,10.0,1570.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,427800,2016JJ00,286.0,107.0,179.0,160.0,19.0,236.0,158.0,125.0,11.0,22.0,4.0,75.0,14.0,6.0,9.0,60.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,5830.0,3830.0,2000.0,4310.0,2760.0,1550.0,26770.0,2070.0,0.0,0.0,0.0,0.0,0.0,10.0,1840.0,220.0,,,,,,,
73,427800,2017JJ00,296.0,118.0,178.0,160.0,18.0,247.0,162.0,130.0,11.0,21.0,3.0,82.0,16.0,8.0,9.0,65.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,6540.0,3980.0,2560.0,4980.0,2790.0,2190.0,27670.0,2600.0,0.0,0.0,0.0,0.0,10.0,10.0,2240.0,350.0,,,,,,,
74,427800,2018JJ00,316.0,134.0,182.0,163.0,19.0,255.0,166.0,133.0,12.0,21.0,4.0,85.0,18.0,9.0,9.0,67.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,7290.0,4150.0,3140.0,5620.0,2900.0,2720.0,28120.0,3140.0,0.0,0.0,0.0,0.0,10.0,10.0,2660.0,470.0,,,,,,,
75,427800,2019JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,427800,2020JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,427800,2021JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,427800,2022JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,427800,2023JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,427900,2008JJ00,1096.0,158.0,938.0,886.0,52.0,1090.0,698.0,574.0,46.0,78.0,20.0,372.0,55.0,21.0,34.0,317.0,5.0,,4.0,5.0,9.0,-4.0,2.0,7.0,25210.0,23910.0,1300.0,17130.0,16160.0,970.0,86070.0,1680.0,100.0,20.0,20.0,10.0,170.0,1030.0,110.0,210.0,33.0,41.0,2.0,3.0,2.0,3.0,1.0
81,427900,2009JJ00,1170.0,173.0,997.0,943.0,54.0,1160.0,741.0,607.0,50.0,84.0,21.0,398.0,58.0,23.0,35.0,340.0,9.0,0.0,5.0,6.0,11.0,-5.0,2.0,11.0,26110.0,24560.0,1550.0,17340.0,16250.0,1090.0,85510.0,1690.0,90.0,20.0,20.0,10.0,180.0,990.0,130.0,250.0,30.0,36.0,2.0,3.0,2.0,4.0,1.0
82,427900,2010JJ00,1226.0,184.0,1043.0,986.0,57.0,1216.0,781.0,638.0,52.0,90.0,22.0,413.0,62.0,25.0,38.0,351.0,10.0,1.0,5.0,6.0,9.0,-3.0,2.0,14.0,27330.0,25650.0,1680.0,17920.0,16810.0,1120.0,90460.0,1660.0,80.0,20.0,20.0,10.0,190.0,920.0,130.0,290.0,27.0,33.0,2.0,3.0,2.0,5.0,1.0
83,427900,2011JJ00,1139.0,175.0,964.0,908.0,56.0,1137.0,729.0,588.0,52.0,88.0,20.0,388.0,60.0,23.0,37.0,328.0,1.0,0.0,2.0,6.0,9.0,-3.0,1.0,1.0,25080.0,23520.0,1570.0,16360.0,15360.0,1000.0,91120.0,1620.0,80.0,20.0,20.0,10.0,190.0,940.0,110.0,260.0,22.0,27.0,2.0,3.0,2.0,4.0,0.0
84,427900,2012JJ00,1054.0,166.0,888.0,833.0,55.0,1052.0,668.0,536.0,49.0,83.0,19.0,364.0,59.0,22.0,36.0,306.0,2.0,0.0,2.0,5.0,8.0,-3.0,1.0,2.0,22640.0,21110.0,1530.0,14840.0,13880.0,950.0,90720.0,1570.0,70.0,10.0,20.0,10.0,180.0,940.0,100.0,240.0,21.0,26.0,1.0,2.0,2.0,3.0,0.0
85,427900,2013JJ00,1030.0,161.0,869.0,811.0,58.0,1029.0,651.0,520.0,48.0,82.0,18.0,360.0,61.0,23.0,38.0,299.0,1.0,0.0,2.0,6.0,9.0,-3.0,2.0,2.0,21720.0,20110.0,1610.0,14190.0,13280.0,920.0,97200.0,1630.0,70.0,10.0,10.0,10.0,180.0,980.0,100.0,270.0,19.0,22.0,1.0,2.0,2.0,3.0,0.0
86,427900,2014JJ00,995.0,157.0,838.0,783.0,55.0,988.0,626.0,493.0,48.0,85.0,15.0,347.0,58.0,21.0,37.0,289.0,7.0,0.0,1.0,4.0,8.0,-4.0,3.0,7.0,19550.0,17970.0,1580.0,13000.0,12060.0,940.0,96690.0,1690.0,50.0,20.0,10.0,10.0,180.0,980.0,150.0,300.0,18.0,18.0,1.0,2.0,2.0,3.0,0.0
87,427900,2015JJ00,1020.0,158.0,861.0,802.0,59.0,1012.0,648.0,513.0,47.0,89.0,17.0,346.0,59.0,22.0,37.0,288.0,8.0,0.0,1.0,3.0,5.0,-2.0,2.0,8.0,19620.0,18120.0,1510.0,12870.0,12040.0,830.0,99210.0,1780.0,40.0,10.0,10.0,0.0,210.0,1000.0,160.0,350.0,17.0,16.0,1.0,2.0,2.0,3.0,0.0
88,427900,2016JJ00,1030.0,160.0,871.0,815.0,55.0,1019.0,665.0,527.0,47.0,91.0,16.0,338.0,58.0,23.0,36.0,279.0,11.0,0.0,0.0,3.0,5.0,-2.0,1.0,11.0,19400.0,17980.0,1420.0,13030.0,12140.0,890.0,96310.0,1700.0,50.0,20.0,10.0,0.0,210.0,950.0,140.0,320.0,,,,,,,
