ID,WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,IndelingswijzigingWijkenEnBuurten_4,AantalInstallatiesBijWoningen_5,OpgesteldVermogenVanZonnepanelen_6
84,BU03580100,Aalsmeer                                ,Buurt     ,BU03580100,1,841.0,2966.0
85,WK035802  ,Aalsmeer                                ,Wijk      ,WK035802  ,1,995.0,3947.0
86,BU03580200,Aalsmeer                                ,Buurt     ,BU03580200,1,86.0,459.0
87,BU03580201,Aalsmeer                                ,Buurt     ,BU03580201,1,73.0,360.0
88,BU03580205,Aalsmeer                                ,Buurt     ,BU03580205,1,797.0,2925.0
89,BU03580206,Aalsmeer                                ,Buurt     ,BU03580206,1,39.0,203.0
90,GM0197    ,Aalten                                  ,Gemeente  ,GM0197    ,.,3040.0,13035.0
91,WK019701  ,Aalten                                  ,Wijk      ,WK019701  ,1,460.0,2685.0
92,BU01970101,Aalten                                  ,Buurt     ,BU01970101,1,25.0,116.0
93,BU01970102,Aalten                                  ,Buurt     ,BU01970102,1,52.0,329.0
94,BU01970103,Aalten                                  ,Buurt     ,BU01970103,1,44.0,236.0
95,BU01970104,Aalten                                  ,Buurt     ,BU01970104,1,45.0,262.0
96,BU01970105,Aalten                                  ,Buurt     ,BU01970105,1,22.0,80.0
97,BU01970106,Aalten                                  ,Buurt     ,BU01970106,1,33.0,148.0
98,BU01970107,Aalten                                  ,Buurt     ,BU01970107,1,26.0,186.0
99,BU01970108,Aalten                                  ,Buurt     ,BU01970108,1,60.0,340.0
100,BU01970109,Aalten                                  ,Buurt     ,BU01970109,1,9.0,76.0
101,BU01970110,Aalten                                  ,Buurt     ,BU01970110,1,75.0,544.0
102,BU01970111,Aalten                                  ,Buurt     ,BU01970111,1,49.0,271.0
103,BU01970112,Aalten                                  ,Buurt     ,BU01970112,1,20.0,99.0
104,WK019702  ,Aalten                                  ,Wijk      ,WK019702  ,1,210.0,939.0
105,BU01970201,Aalten                                  ,Buurt     ,BU01970201,1,20.0,148.0
106,BU01970202,Aalten                                  ,Buurt     ,BU01970202,1,29.0,138.0
107,BU01970203,Aalten                                  ,Buurt     ,BU01970203,1,6.0,28.0
108,BU01970204,Aalten                                  ,Buurt     ,BU01970204,1,155.0,625.0
109,WK019703  ,Aalten                                  ,Wijk      ,WK019703  ,1,1433.0,5446.0
110,BU01970301,Aalten                                  ,Buurt     ,BU01970301,1,239.0,818.0
111,BU01970302,Aalten                                  ,Buurt     ,BU01970302,1,257.0,992.0
112,BU01970303,Aalten                                  ,Buurt     ,BU01970303,1,223.0,827.0
113,BU01970304,Aalten                                  ,Buurt     ,BU01970304,1,273.0,1013.0
114,BU01970305,Aalten                                  ,Buurt     ,BU01970305,1,161.0,743.0
115,BU01970306,Aalten                                  ,Buurt     ,BU01970306,1,117.0,391.0
116,BU01970307,Aalten                                  ,Buurt     ,BU01970307,1,163.0,663.0
117,WK019704  ,Aalten                                  ,Wijk      ,WK019704  ,3,937.0,3965.0
118,BU01970400,Aalten                                  ,Buurt     ,BU01970400,1,239.0,877.0
119,BU01970401,Aalten                                  ,Buurt     ,BU01970401,1,205.0,882.0
120,BU01970402,Aalten                                  ,Buurt     ,BU01970402,3,280.0,1078.0
121,BU01970403,Aalten                                  ,Buurt     ,BU01970403,1,67.0,289.0
122,BU01970408,Aalten                                  ,Buurt     ,BU01970408,1,50.0,317.0
123,BU01970409,Aalten                                  ,Buurt     ,BU01970409,1,96.0,522.0
124,GM0059    ,Achtkarspelen                           ,Gemeente  ,GM0059    ,.,2897.0,11557.0
125,WK005900  ,Achtkarspelen                           ,Wijk      ,WK005900  ,1,1263.0,4845.0
126,BU00590000,Achtkarspelen                           ,Buurt     ,BU00590000,1,617.0,2310.0
127,BU00590001,Achtkarspelen                           ,Buurt     ,BU00590001,1,67.0,265.0
128,BU00590002,Achtkarspelen                           ,Buurt     ,BU00590002,1,216.0,761.0
129,BU00590003,Achtkarspelen                           ,Buurt     ,BU00590003,1,123.0,472.0
130,BU00590004,Achtkarspelen                           ,Buurt     ,BU00590004,1,76.0,257.0
131,BU00590005,Achtkarspelen                           ,Buurt     ,BU00590005,1,83.0,393.0
132,BU00590006,Achtkarspelen                           ,Buurt     ,BU00590006,1,11.0,65.0
133,BU00590007,Achtkarspelen                           ,Buurt     ,BU00590007,1,33.0,162.0
134,BU00590008,Achtkarspelen                           ,Buurt     ,BU00590008,1,27.0,113.0
135,BU00590009,Achtkarspelen                           ,Buurt     ,BU00590009,1,10.0,47.0
136,WK005901  ,Achtkarspelen                           ,Wijk      ,WK005901  ,1,334.0,1431.0
137,BU00590100,Achtkarspelen                           ,Buurt     ,BU00590100,1,13.0,59.0
138,BU00590102,Achtkarspelen                           ,Buurt     ,BU00590102,1,181.0,716.0
139,BU00590103,Achtkarspelen                           ,Buurt     ,BU00590103,1,97.0,439.0
140,BU00590107,Achtkarspelen                           ,Buurt     ,BU00590107,1,4.0,21.0
141,BU00590108,Achtkarspelen                           ,Buurt     ,BU00590108,1,17.0,79.0
142,BU00590109,Achtkarspelen                           ,Buurt     ,BU00590109,1,22.0,117.0
143,WK005902  ,Achtkarspelen                           ,Wijk      ,WK005902  ,1,1300.0,5281.0
144,BU00590200,Achtkarspelen                           ,Buurt     ,BU00590200,1,597.0,2180.0
145,BU00590201,Achtkarspelen                           ,Buurt     ,BU00590201,1,376.0,1598.0
146,BU00590202,Achtkarspelen                           ,Buurt     ,BU00590202,1,95.0,367.0
147,BU00590203,Achtkarspelen                           ,Buurt     ,BU00590203,1,57.0,231.0
148,BU00590206,Achtkarspelen                           ,Buurt     ,BU00590206,1,39.0,191.0
149,BU00590207,Achtkarspelen                           ,Buurt     ,BU00590207,1,30.0,158.0
150,BU00590208,Achtkarspelen                           ,Buurt     ,BU00590208,1,42.0,232.0
151,BU00590209,Achtkarspelen                           ,Buurt     ,BU00590209,1,64.0,325.0
152,GM0482    ,Alblasserdam                            ,Gemeente  ,GM0482    ,.,1109.0,3974.0
153,WK048201  ,Alblasserdam                            ,Wijk      ,WK048201  ,1,261.0,1042.0
154,BU04820101,Alblasserdam                            ,Buurt     ,BU04820101,1,83.0,374.0
155,BU04820102,Alblasserdam                            ,Buurt     ,BU04820102,1,8.0,23.0
156,BU04820103,Alblasserdam                            ,Buurt     ,BU04820103,1,61.0,198.0
157,BU04820104,Alblasserdam                            ,Buurt     ,BU04820104,1,34.0,172.0
158,BU04820105,Alblasserdam                            ,Buurt     ,BU04820105,1,75.0,275.0
159,WK048202  ,Alblasserdam                            ,Wijk      ,WK048202  ,1,204.0,787.0
160,BU04820201,Alblasserdam                            ,Buurt     ,BU04820201,1,30.0,150.0
161,BU04820202,Alblasserdam                            ,Buurt     ,BU04820202,1,68.0,250.0
162,BU04820203,Alblasserdam                            ,Buurt     ,BU04820203,1,34.0,124.0
163,BU04820204,Alblasserdam                            ,Buurt     ,BU04820204,1,3.0,17.0
164,BU04820205,Alblasserdam                            ,Buurt     ,BU04820205,1,41.0,157.0
165,BU04820206,Alblasserdam                            ,Buurt     ,BU04820206,1,28.0,91.0
166,WK048203  ,Alblasserdam                            ,Wijk      ,WK048203  ,1,463.0,1455.0
167,BU04820301,Alblasserdam                            ,Buurt     ,BU04820301,1,96.0,306.0
168,BU04820302,Alblasserdam                            ,Buurt     ,BU04820302,1,69.0,229.0
169,BU04820303,Alblasserdam                            ,Buurt     ,BU04820303,1,91.0,289.0
170,BU04820304,Alblasserdam                            ,Buurt     ,BU04820304,1,72.0,206.0
171,BU04820305,Alblasserdam                            ,Buurt     ,BU04820305,1,24.0,76.0
172,BU04820306,Alblasserdam                            ,Buurt     ,BU04820306,1,57.0,183.0
173,BU04820307,Alblasserdam                            ,Buurt     ,BU04820307,1,54.0,166.0
174,WK048204  ,Alblasserdam                            ,Wijk      ,WK048204  ,1,162.0,580.0
175,BU04820401,Alblasserdam                            ,Buurt     ,BU04820401,1,55.0,185.0
176,BU04820402,Alblasserdam                            ,Buurt     ,BU04820402,1,70.0,257.0
177,BU04820403,Alblasserdam                            ,Buurt     ,BU04820403,1,,
178,BU04820404,Alblasserdam                            ,Buurt     ,BU04820404,1,,
179,WK048205  ,Alblasserdam                            ,Wijk      ,WK048205  ,1,3.0,20.0
180,BU04820501,Alblasserdam                            ,Buurt     ,BU04820501,1,0.0,0.0
181,BU04820502,Alblasserdam                            ,Buurt     ,BU04820502,1,0.0,0.0
182,BU04820503,Alblasserdam                            ,Buurt     ,BU04820503,1,3.0,20.0
183,WK048206  ,Alblasserdam                            ,Wijk      ,WK048206  ,1,16.0,90.0
184,BU04820601,Alblasserdam                            ,Buurt     ,BU04820601,1,0.0,0.0
185,BU04820602,Alblasserdam                            ,Buurt     ,BU04820602,1,,
186,BU04820603,Alblasserdam                            ,Buurt     ,BU04820603,1,,
187,BU04820604,Alblasserdam                            ,Buurt     ,BU04820604,1,12.0,46.0
188,GM0613    ,Albrandswaard                           ,Gemeente  ,GM0613    ,.,2037.0,7291.0
189,WK061301  ,Albrandswaard                           ,Wijk      ,WK061301  ,1,216.0,910.0
190,BU06130101,Albrandswaard                           ,Buurt     ,BU06130101,1,189.0,803.0
191,BU06130102,Albrandswaard                           ,Buurt     ,BU06130102,1,3.0,15.0
192,BU06130103,Albrandswaard                           ,Buurt     ,BU06130103,1,7.0,24.0
193,BU06130104,Albrandswaard                           ,Buurt     ,BU06130104,1,17.0,67.0
194,WK061302  ,Albrandswaard                           ,Wijk      ,WK061302  ,1,139.0,495.0
195,BU06130205,Albrandswaard                           ,Buurt     ,BU06130205,1,135.0,465.0
196,BU06130207,Albrandswaard                           ,Buurt     ,BU06130207,1,4.0,30.0
197,WK061303  ,Albrandswaard                           ,Wijk      ,WK061303  ,1,448.0,1497.0
198,BU06130308,Albrandswaard                           ,Buurt     ,BU06130308,1,37.0,130.0
199,BU06130309,Albrandswaard                           ,Buurt     ,BU06130309,1,147.0,523.0
200,BU06130310,Albrandswaard                           ,Buurt     ,BU06130310,1,56.0,160.0
201,BU06130311,Albrandswaard                           ,Buurt     ,BU06130311,1,179.0,575.0
202,BU06130312,Albrandswaard                           ,Buurt     ,BU06130312,1,18.0,64.0
203,BU06130313,Albrandswaard                           ,Buurt     ,BU06130313,1,11.0,44.0
204,WK061304  ,Albrandswaard                           ,Wijk      ,WK061304  ,1,745.0,2329.0
205,BU06130414,Albrandswaard                           ,Buurt     ,BU06130414,1,149.0,455.0
206,BU06130415,Albrandswaard                           ,Buurt     ,BU06130415,1,148.0,515.0
207,BU06130416,Albrandswaard                           ,Buurt     ,BU06130416,1,31.0,157.0
208,BU06130417,Albrandswaard                           ,Buurt     ,BU06130417,1,84.0,248.0
209,BU06130418,Albrandswaard                           ,Buurt     ,BU06130418,1,224.0,635.0
210,BU06130419,Albrandswaard                           ,Buurt     ,BU06130419,1,92.0,250.0
211,BU06130420,Albrandswaard                           ,Buurt     ,BU06130420,1,17.0,70.0
212,WK061305  ,Albrandswaard                           ,Wijk      ,WK061305  ,1,,
213,BU06130521,Albrandswaard                           ,Buurt     ,BU06130521,1,,
214,BU06130522,Albrandswaard                           ,Buurt     ,BU06130522,1,,
215,WK061306  ,Albrandswaard                           ,Wijk      ,WK061306  ,1,462.0,1902.0
216,BU06130623,Albrandswaard                           ,Buurt     ,BU06130623,1,153.0,651.0
217,BU06130624,Albrandswaard                           ,Buurt     ,BU06130624,1,121.0,494.0
218,BU06130625,Albrandswaard                           ,Buurt     ,BU06130625,1,11.0,67.0
219,BU06130626,Albrandswaard                           ,Buurt     ,BU06130626,1,177.0,690.0
220,WK061307  ,Albrandswaard                           ,Wijk      ,WK061307  ,1,,
221,BU06130706,Albrandswaard                           ,Buurt     ,BU06130706,1,,
222,GM0361    ,Alkmaar                                 ,Gemeente  ,GM0361    ,.,10957.0,33649.0
223,WK036101  ,Alkmaar                                 ,Wijk      ,WK036101  ,3,743.0,2230.0
224,BU03610100,Alkmaar                                 ,Buurt     ,BU03610100,3,123.0,411.0
225,BU03610101,Alkmaar                                 ,Buurt     ,BU03610101,1,69.0,208.0
226,BU03610102,Alkmaar                                 ,Buurt     ,BU03610102,1,120.0,283.0
227,BU03610103,Alkmaar                                 ,Buurt     ,BU03610103,1,7.0,26.0
228,BU03610104,Alkmaar                                 ,Buurt     ,BU03610104,3,62.0,171.0
229,BU03610105,Alkmaar                                 ,Buurt     ,BU03610105,3,78.0,224.0
230,BU03610106,Alkmaar                                 ,Buurt     ,BU03610106,3,76.0,305.0
231,BU03610107,Alkmaar                                 ,Buurt     ,BU03610107,3,42.0,133.0
232,BU03610108,Alkmaar                                 ,Buurt     ,BU03610108,1,79.0,217.0
233,BU03610109,Alkmaar                                 ,Buurt     ,BU03610109,3,87.0,252.0
234,WK036102  ,Alkmaar                                 ,Wijk      ,WK036102  ,3,2062.0,5727.0
235,BU03610200,Alkmaar                                 ,Buurt     ,BU03610200,3,313.0,969.0
236,BU03610201,Alkmaar                                 ,Buurt     ,BU03610201,3,338.0,943.0
237,BU03610202,Alkmaar                                 ,Buurt     ,BU03610202,1,333.0,1009.0
238,BU03610203,Alkmaar                                 ,Buurt     ,BU03610203,1,185.0,471.0
239,BU03610204,Alkmaar                                 ,Buurt     ,BU03610204,1,380.0,856.0
240,BU03610205,Alkmaar                                 ,Buurt     ,BU03610205,1,,
241,BU03610206,Alkmaar                                 ,Buurt     ,BU03610206,1,157.0,428.0
242,BU03610208,Alkmaar                                 ,Buurt     ,BU03610208,1,281.0,835.0
243,BU03610209,Alkmaar                                 ,Buurt     ,BU03610209,1,,
244,WK036103  ,Alkmaar                                 ,Wijk      ,WK036103  ,3,355.0,1017.0
245,BU03610300,Alkmaar                                 ,Buurt     ,BU03610300,3,216.0,527.0
246,BU03610301,Alkmaar                                 ,Buurt     ,BU03610301,3,17.0,75.0
247,BU03610302,Alkmaar                                 ,Buurt     ,BU03610302,1,64.0,192.0
248,BU03610303,Alkmaar                                 ,Buurt     ,BU03610303,3,55.0,166.0
249,BU03610308,Alkmaar                                 ,Buurt     ,BU03610308,1,0.0,0.0
250,BU03610309,Alkmaar                                 ,Buurt     ,BU03610309,1,3.0,57.0
251,WK036104  ,Alkmaar                                 ,Wijk      ,WK036104  ,3,1045.0,2894.0
252,BU03610400,Alkmaar                                 ,Buurt     ,BU03610400,1,235.0,704.0
253,BU03610401,Alkmaar                                 ,Buurt     ,BU03610401,1,220.0,602.0
254,BU03610402,Alkmaar                                 ,Buurt     ,BU03610402,1,162.0,384.0
255,BU03610403,Alkmaar                                 ,Buurt     ,BU03610403,3,77.0,209.0
256,BU03610404,Alkmaar                                 ,Buurt     ,BU03610404,1,339.0,953.0
257,BU03610409,Alkmaar                                 ,Buurt     ,BU03610409,1,12.0,43.0
258,WK036105  ,Alkmaar                                 ,Wijk      ,WK036105  ,1,495.0,1541.0
259,BU03610500,Alkmaar                                 ,Buurt     ,BU03610500,3,183.0,594.0
260,BU03610501,Alkmaar                                 ,Buurt     ,BU03610501,3,4.0,60.0
261,BU03610502,Alkmaar                                 ,Buurt     ,BU03610502,1,212.0,620.0
262,BU03610503,Alkmaar                                 ,Buurt     ,BU03610503,1,96.0,266.0
263,WK036106  ,Alkmaar                                 ,Wijk      ,WK036106  ,1,1716.0,4670.0
264,BU03610600,Alkmaar                                 ,Buurt     ,BU03610600,1,388.0,1179.0
265,BU03610601,Alkmaar                                 ,Buurt     ,BU03610601,1,367.0,934.0
266,BU03610602,Alkmaar                                 ,Buurt     ,BU03610602,1,506.0,1274.0
267,BU03610603,Alkmaar                                 ,Buurt     ,BU03610603,1,283.0,853.0
268,BU03610604,Alkmaar                                 ,Buurt     ,BU03610604,1,172.0,430.0
269,WK036107  ,Alkmaar                                 ,Wijk      ,WK036107  ,1,1963.0,5656.0
270,BU03610700,Alkmaar                                 ,Buurt     ,BU03610700,1,360.0,1241.0
271,BU03610701,Alkmaar                                 ,Buurt     ,BU03610701,1,640.0,1539.0
272,BU03610702,Alkmaar                                 ,Buurt     ,BU03610702,1,277.0,862.0
273,BU03610703,Alkmaar                                 ,Buurt     ,BU03610703,1,320.0,915.0
274,BU03610704,Alkmaar                                 ,Buurt     ,BU03610704,1,363.0,1085.0
275,BU03610709,Alkmaar                                 ,Buurt     ,BU03610709,1,3.0,13.0
276,WK036108  ,Alkmaar                                 ,Wijk      ,WK036108  ,3,287.0,810.0
277,BU03610800,Alkmaar                                 ,Buurt     ,BU03610800,1,57.0,188.0
278,BU03610801,Alkmaar                                 ,Buurt     ,BU03610801,1,118.0,356.0
279,BU03610802,Alkmaar                                 ,Buurt     ,BU03610802,3,70.0,175.0
280,BU03610803,Alkmaar                                 ,Buurt     ,BU03610803,3,42.0,90.0
281,WK036109  ,Alkmaar                                 ,Wijk      ,WK036109  ,3,655.0,3288.0
282,BU03610900,Alkmaar                                 ,Buurt     ,BU03610900,3,83.0,361.0
283,BU03610901,Alkmaar                                 ,Buurt     ,BU03610901,3,7.0,49.0
284,BU03610902,Alkmaar                                 ,Buurt     ,BU03610902,3,260.0,872.0
285,BU03610903,Alkmaar                                 ,Buurt     ,BU03610903,3,147.0,589.0
286,BU03610904,Alkmaar                                 ,Buurt     ,BU03610904,3,53.0,275.0
287,BU03610905,Alkmaar                                 ,Buurt     ,BU03610905,3,24.0,116.0
288,BU03610906,Alkmaar                                 ,Buurt     ,BU03610906,1,81.0,1027.0
289,WK036110  ,Alkmaar                                 ,Wijk      ,WK036110  ,3,693.0,2560.0
290,BU03611000,Alkmaar                                 ,Buurt     ,BU03611000,1,8.0,40.0
291,BU03611001,Alkmaar                                 ,Buurt     ,BU03611001,3,101.0,384.0
292,BU03611002,Alkmaar                                 ,Buurt     ,BU03611002,1,103.0,418.0
293,BU03611003,Alkmaar                                 ,Buurt     ,BU03611003,1,406.0,1358.0
294,BU03611004,Alkmaar                                 ,Buurt     ,BU03611004,1,16.0,62.0
295,BU03611005,Alkmaar                                 ,Buurt     ,BU03611005,1,13.0,139.0
296,BU03611006,Alkmaar                                 ,Buurt     ,BU03611006,1,46.0,159.0
297,WK036111  ,Alkmaar                                 ,Wijk      ,WK036111  ,1,943.0,3257.0
298,BU03611100,Alkmaar                                 ,Buurt     ,BU03611100,3,576.0,1994.0
299,BU03611101,Alkmaar                                 ,Buurt     ,BU03611101,3,367.0,1263.0
300,GM0141    ,Almelo                                  ,Gemeente  ,GM0141    ,.,5475.0,21607.0
301,WK014110  ,Almelo                                  ,Wijk      ,WK014110  ,3,107.0,664.0
302,BU01411000,Almelo                                  ,Buurt     ,BU01411000,3,58.0,422.0
303,BU01411001,Almelo                                  ,Buurt     ,BU01411001,3,6.0,45.0
304,BU01411002,Almelo                                  ,Buurt     ,BU01411002,3,21.0,96.0
305,BU01411003,Almelo                                  ,Buurt     ,BU01411003,3,22.0,100.0
306,WK014111  ,Almelo                                  ,Wijk      ,WK014111  ,3,636.0,1800.0
307,BU01411100,Almelo                                  ,Buurt     ,BU01411100,3,47.0,157.0
308,BU01411101,Almelo                                  ,Buurt     ,BU01411101,3,199.0,584.0
309,BU01411102,Almelo                                  ,Buurt     ,BU01411102,3,44.0,160.0
310,BU01411103,Almelo                                  ,Buurt     ,BU01411103,3,298.0,753.0
311,BU01411104,Almelo                                  ,Buurt     ,BU01411104,3,45.0,121.0
312,BU01411105,Almelo                                  ,Buurt     ,BU01411105,3,0.0,0.0
313,BU01411109,Almelo                                  ,Buurt     ,BU01411109,3,3.0,25.0
314,WK014112  ,Almelo                                  ,Wijk      ,WK014112  ,3,605.0,2327.0
315,BU01411200,Almelo                                  ,Buurt     ,BU01411200,3,144.0,478.0
316,BU01411201,Almelo                                  ,Buurt     ,BU01411201,3,143.0,610.0
317,BU01411202,Almelo                                  ,Buurt     ,BU01411202,3,87.0,344.0
318,BU01411203,Almelo                                  ,Buurt     ,BU01411203,3,208.0,678.0
319,BU01411204,Almelo                                  ,Buurt     ,BU01411204,3,,
320,BU01411205,Almelo                                  ,Buurt     ,BU01411205,3,0.0,0.0
321,BU01411206,Almelo                                  ,Buurt     ,BU01411206,3,18.0,189.0
322,BU01411209,Almelo                                  ,Buurt     ,BU01411209,3,,
323,WK014113  ,Almelo                                  ,Wijk      ,WK014113  ,3,473.0,2146.0
324,BU01411300,Almelo                                  ,Buurt     ,BU01411300,3,82.0,369.0
325,BU01411301,Almelo                                  ,Buurt     ,BU01411301,3,163.0,756.0
