ID,Geslacht,Leeftijd,Cijfersoort,Perioden,LVInAlsGoedErvarenGezondheid_1,LVZonderMatigeEnErnstigeBeperkingen_2,LVZonderErnstigeBeperkingen_3,LVZonderLichteMatigeErnstigeBep_4,LVZonderChronischeZiektes_5,LVZonderChrZiekExclHogeBloeddruk_6,LVInGoedeGeestelijkeGezondheid_7
61,1,20,1,2004G300 ,23.0,27.2,30.2,15.7,13.2,15.4,31.1
62,1,20,1,2007G300 ,24.5,28.2,31.4,16.2,13.0,16.0,32.0
63,1,20,2,2001G300 ,0.1,0.2,0.2,0.2,0.2,0.3,0.2
64,1,20,2,2004G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.1
65,1,20,2,2007G300 ,0.2,0.2,0.2,0.3,0.2,0.3,0.2
66,1,21,1,2001G300 ,18.6,22.3,24.9,12.9,11.0,13.1,25.5
67,1,21,1,2004G300 ,19.2,23.0,25.8,12.8,10.4,12.4,26.9
68,1,21,1,2007G300 ,20.7,24.0,27.0,13.3,10.1,12.9,27.7
69,1,21,2,2001G300 ,0.1,0.2,0.2,0.2,0.2,0.2,0.2
70,1,21,2,2004G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.1
71,1,21,2,2007G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.1
72,1,22,1,2001G300 ,15.2,18.5,20.7,10.3,8.6,10.5,21.6
73,1,22,1,2004G300 ,15.9,19.1,21.6,10.3,8.0,9.7,22.8
74,1,22,1,2007G300 ,17.2,20.1,22.8,10.9,7.7,10.2,23.8
75,1,22,2,2001G300 ,0.1,0.2,0.2,0.2,0.2,0.2,0.1
76,1,22,2,2004G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.1
77,1,22,2,2007G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.1
78,1,23,1,2001G300 ,12.2,14.8,16.8,7.7,6.6,8.0,17.8
79,1,23,1,2004G300 ,12.8,15.6,17.7,8.0,5.9,7.4,19.0
80,1,23,1,2007G300 ,14.0,16.4,18.8,8.5,5.9,7.8,19.9
81,1,23,2,2001G300 ,0.1,0.2,0.2,0.2,0.2,0.2,0.1
82,1,23,2,2004G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.1
83,1,23,2,2007G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.1
84,1,24,1,2001G300 ,9.5,11.4,13.2,5.3,4.7,5.8,14.1
85,1,24,1,2004G300 ,10.0,12.0,13.9,5.5,4.4,5.4,15.3
86,1,24,1,2007G300 ,11.1,12.8,15.0,6.1,4.2,5.7,16.1
87,1,24,2,2001G300 ,0.1,0.2,0.2,0.2,0.2,0.2,0.1
88,1,24,2,2004G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.1
89,1,24,2,2007G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.1
90,1,25,1,2001G300 ,6.9,8.2,9.8,3.6,3.3,4.2,10.8
91,1,25,1,2004G300 ,7.3,8.9,10.6,3.6,3.1,3.9,11.8
92,1,25,1,2007G300 ,8.4,9.6,11.5,4.0,3.0,4.1,12.6
93,1,25,2,2001G300 ,0.1,0.2,0.2,0.2,0.2,0.2,0.1
94,1,25,2,2004G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.1
95,1,25,2,2007G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.1
96,1,26,1,2001G300 ,5.0,5.7,7.0,2.2,2.2,2.8,8.0
97,1,26,1,2004G300 ,5.3,6.3,7.6,2.3,2.2,2.8,8.9
98,1,26,1,2007G300 ,5.9,6.8,8.6,2.4,2.0,2.7,9.7
99,1,26,2,2001G300 ,0.1,0.2,0.2,0.2,0.2,0.2,0.1
100,1,26,2,2004G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.1
101,1,26,2,2007G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.1
102,1,27,1,2001G300 ,3.6,3.8,4.9,1.3,1.5,1.9,5.7
103,1,27,1,2004G300 ,3.7,4.1,5.2,1.2,1.5,1.8,6.4
104,1,27,1,2007G300 ,4.3,4.6,6.1,1.6,1.4,1.7,7.3
105,1,27,2,2001G300 ,0.1,0.2,0.2,0.2,0.2,0.2,0.2
106,1,27,2,2004G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.1
107,1,27,2,2007G300 ,0.2,0.2,0.2,0.2,0.2,0.2,0.2
108,2,10,1,2001G300 ,61.7,68.7,73.0,51.3,41.8,44.7,70.8
109,2,10,1,2004G300 ,62.2,68.3,73.0,50.3,42.2,45.4,72.4
110,2,10,1,2007G300 ,63.5,69.7,74.2,51.5,42.1,45.4,73.9
111,2,10,2,2001G300 ,0.2,,,,0.4,0.4,
112,2,10,2,2004G300 ,0.2,,,,0.3,0.3,
113,2,10,2,2007G300 ,0.3,,,,0.3,0.4,
114,2,11,1,2001G300 ,60.9,68.0,72.3,50.5,41.0,43.9,70.2
115,2,11,1,2004G300 ,61.5,67.5,72.2,49.5,41.4,44.6,71.7
116,2,11,1,2007G300 ,62.8,69.0,73.5,50.7,41.4,44.6,73.2
117,2,11,2,2001G300 ,0.2,,,,0.4,0.4,
118,2,11,2,2004G300 ,0.2,,,,0.3,0.3,
119,2,11,2,2007G300 ,0.3,,,,0.3,0.4,
120,2,12,1,2001G300 ,57.2,64.1,68.4,46.6,37.5,40.4,66.5
121,2,12,1,2004G300 ,57.7,63.6,68.3,45.5,37.9,41.1,67.9
122,2,12,1,2007G300 ,59.0,65.0,69.5,46.7,37.8,41.0,69.4
123,2,12,2,2001G300 ,0.2,,,,0.4,0.4,
124,2,12,2,2004G300 ,0.2,,,,0.3,0.3,
125,2,12,2,2007G300 ,0.3,,,,0.3,0.4,
126,2,13,1,2001G300 ,52.6,59.1,63.4,41.6,33.2,36.1,61.9
127,2,13,1,2004G300 ,52.9,58.6,63.3,40.6,33.6,36.7,63.1
128,2,13,1,2007G300 ,54.3,60.0,64.5,41.7,33.3,36.5,64.6
129,2,13,2,2001G300 ,0.2,0.3,0.3,0.3,0.3,0.4,0.3
130,2,13,2,2004G300 ,0.2,0.3,0.2,0.3,0.3,0.3,0.3
131,2,13,2,2007G300 ,0.3,0.3,0.5,0.3,0.3,0.3,0.3
132,2,14,1,2001G300 ,48.0,54.2,58.5,37.7,29.2,32.1,57.3
133,2,14,1,2004G300 ,48.3,53.9,58.4,36.8,29.3,32.5,58.4
134,2,14,1,2007G300 ,49.6,55.2,59.7,37.8,29.1,32.4,59.8
135,2,14,2,2001G300 ,0.2,0.3,0.3,0.3,0.3,0.4,0.3
136,2,14,2,2004G300 ,0.2,0.3,0.2,0.3,0.3,0.3,0.3
137,2,14,2,2007G300 ,0.3,0.3,0.5,0.3,0.3,0.3,0.3
138,2,15,1,2001G300 ,43.7,49.4,53.7,34.0,25.8,28.7,52.8
139,2,15,1,2004G300 ,43.9,49.1,53.5,33.0,25.7,28.9,53.8
140,2,15,1,2007G300 ,45.3,50.4,54.8,33.9,25.7,28.9,55.4
