ID,IndicatieWelNietJeugdwet,RegioS,Perioden,JongerenMetAWBZIndicatieInJaar_1
166,1000,CR25  ,2013JJ00,1430.0
167,1000,CR25  ,2014JJ00,1415.0
168,1000,CR26  ,2011JJ00,3005.0
169,1000,CR26  ,2012JJ00,2635.0
170,1000,CR26  ,2013JJ00,2410.0
171,1000,CR26  ,2014JJ00,2390.0
172,1000,CR27  ,2011JJ00,825.0
173,1000,CR27  ,2012JJ00,740.0
174,1000,CR27  ,2013JJ00,645.0
175,1000,CR27  ,2014JJ00,610.0
176,1000,CR28  ,2011JJ00,1750.0
177,1000,CR28  ,2012JJ00,1575.0
178,1000,CR28  ,2013JJ00,1450.0
179,1000,CR28  ,2014JJ00,1405.0
180,1000,CR29  ,2011JJ00,5995.0
181,1000,CR29  ,2012JJ00,5165.0
182,1000,CR29  ,2013JJ00,4575.0
183,1000,CR29  ,2014JJ00,4355.0
184,1000,CR30  ,2011JJ00,2295.0
185,1000,CR30  ,2012JJ00,2120.0
186,1000,CR30  ,2013JJ00,1950.0
187,1000,CR30  ,2014JJ00,1825.0
188,1000,CR31  ,2011JJ00,635.0
189,1000,CR31  ,2012JJ00,595.0
190,1000,CR31  ,2013JJ00,540.0
191,1000,CR31  ,2014JJ00,505.0
192,1000,CR32  ,2011JJ00,1865.0
193,1000,CR32  ,2012JJ00,1640.0
194,1000,CR32  ,2013JJ00,1405.0
195,1000,CR32  ,2014JJ00,1375.0
196,1000,CR33  ,2011JJ00,3515.0
197,1000,CR33  ,2012JJ00,3155.0
198,1000,CR33  ,2013JJ00,2905.0
199,1000,CR33  ,2014JJ00,2775.0
200,1000,CR34  ,2011JJ00,2935.0
201,1000,CR34  ,2012JJ00,2770.0
202,1000,CR34  ,2013JJ00,2625.0
203,1000,CR34  ,2014JJ00,2585.0
204,1000,CR35  ,2011JJ00,4665.0
205,1000,CR35  ,2012JJ00,4145.0
206,1000,CR35  ,2013JJ00,3785.0
207,1000,CR35  ,2014JJ00,3470.0
208,1000,CR36  ,2011JJ00,4975.0
209,1000,CR36  ,2012JJ00,4265.0
210,1000,CR36  ,2013JJ00,3860.0
211,1000,CR36  ,2014JJ00,3645.0
212,1000,CR37  ,2011JJ00,1700.0
213,1000,CR37  ,2012JJ00,1535.0
214,1000,CR37  ,2013JJ00,1440.0
215,1000,CR37  ,2014JJ00,1370.0
216,1000,CR38  ,2011JJ00,1630.0
217,1000,CR38  ,2012JJ00,1510.0
218,1000,CR38  ,2013JJ00,1465.0
219,1000,CR38  ,2014JJ00,1425.0
220,1000,CR39  ,2011JJ00,4200.0
221,1000,CR39  ,2012JJ00,3810.0
222,1000,CR39  ,2013JJ00,3610.0
223,1000,CR39  ,2014JJ00,3470.0
224,1000,CR40  ,2011JJ00,4085.0
225,1000,CR40  ,2012JJ00,3900.0
226,1000,CR40  ,2013JJ00,3715.0
227,1000,CR40  ,2014JJ00,3375.0
228,1000,SG00  ,2011JJ00,48715.0
229,1000,SG00  ,2012JJ00,44780.0
230,1000,SG00  ,2013JJ00,41710.0
231,1000,SG00  ,2014JJ00,39750.0
232,1000,SG01  ,2011JJ00,2495.0
233,1000,SG01  ,2012JJ00,2305.0
234,1000,SG01  ,2013JJ00,2105.0
235,1000,SG01  ,2014JJ00,2030.0
236,1000,SG02  ,2011JJ00,1225.0
237,1000,SG02  ,2012JJ00,1165.0
238,1000,SG02  ,2013JJ00,1115.0
239,1000,SG02  ,2014JJ00,1130.0
240,1000,SG03  ,2011JJ00,1445.0
241,1000,SG03  ,2012JJ00,1295.0
242,1000,SG03  ,2013JJ00,1175.0
243,1000,SG03  ,2014JJ00,1135.0
244,1000,SG04  ,2011JJ00,1885.0
245,1000,SG04  ,2012JJ00,1720.0
246,1000,SG04  ,2013JJ00,1645.0
247,1000,SG04  ,2014JJ00,1530.0
248,1000,SG05  ,2011JJ00,1230.0
249,1000,SG05  ,2012JJ00,1140.0
250,1000,SG05  ,2013JJ00,1080.0
251,1000,SG05  ,2014JJ00,1040.0
252,1000,SG06  ,2011JJ00,1850.0
253,1000,SG06  ,2012JJ00,1680.0
254,1000,SG06  ,2013JJ00,1620.0
255,1000,SG06  ,2014JJ00,1560.0
256,1000,SG07  ,2011JJ00,1615.0
257,1000,SG07  ,2012JJ00,1490.0
258,1000,SG07  ,2013JJ00,1415.0
259,1000,SG07  ,2014JJ00,1375.0
260,1000,SG08  ,2011JJ00,1630.0
261,1000,SG08  ,2012JJ00,1500.0
262,1000,SG08  ,2013JJ00,1395.0
263,1000,SG08  ,2014JJ00,1290.0
264,1000,SG09  ,2011JJ00,2825.0
265,1000,SG09  ,2012JJ00,2505.0
266,1000,SG09  ,2013JJ00,2315.0
267,1000,SG09  ,2014JJ00,2145.0
268,1000,SG10  ,2011JJ00,7395.0
269,1000,SG10  ,2012JJ00,6760.0
270,1000,SG10  ,2013JJ00,6335.0
271,1000,SG10  ,2014JJ00,6000.0
272,1000,SG11  ,2011JJ00,1665.0
273,1000,SG11  ,2012JJ00,1460.0
274,1000,SG11  ,2013JJ00,1360.0
275,1000,SG11  ,2014JJ00,1295.0
276,1000,SG12  ,2011JJ00,1540.0
277,1000,SG12  ,2012JJ00,1335.0
278,1000,SG12  ,2013JJ00,1185.0
279,1000,SG12  ,2014JJ00,1175.0
280,1000,SG13  ,2011JJ00,3830.0
281,1000,SG13  ,2012JJ00,3370.0
282,1000,SG13  ,2013JJ00,3055.0
283,1000,SG13  ,2014JJ00,3000.0
284,1000,SG14  ,2011JJ00,4865.0
285,1000,SG14  ,2012JJ00,4200.0
286,1000,SG14  ,2013JJ00,3705.0
287,1000,SG14  ,2014JJ00,3525.0
288,1000,SG15  ,2011JJ00,1640.0
289,1000,SG15  ,2012JJ00,1505.0
290,1000,SG15  ,2013JJ00,1380.0
291,1000,SG15  ,2014JJ00,1285.0
292,1000,SG16  ,2011JJ00,1545.0
293,1000,SG16  ,2012JJ00,1355.0
294,1000,SG16  ,2013JJ00,1250.0
295,1000,SG16  ,2014JJ00,1205.0
296,1000,SG17  ,2011JJ00,1990.0
297,1000,SG17  ,2012JJ00,1910.0
298,1000,SG17  ,2013JJ00,1830.0
