ID,Prijscomponenten,Belastingen,Perioden,MinderDan569M3_1,k_569Tot5687M3_2,k_5687M3EnMeer_3,MinderDan28433M3_4,k_28433Tot284333M3_5,k_284333Tot2843332M3_6,k_2843332Tot28433324M3_7,k_28433324M3EnMeer_8,MinderDan1MWh_9,k_1Tot25MWh_10,k_25Tot5MWh_11,k_5Tot15MWh_12,k_15MWhEnMeer_13,MinderDan20MWh_14,k_20Tot500MWh_15,k_500Tot2000MWh_16,k_2000Tot20000MWh_17,k_20000Tot70000MWh_18,k_70000Tot150000MWh_19,k_150000MWhEnMeer_20
386,A047658,A047660,2023HJ02,0.454,0.201,0.053,0.086,0.109,0.027,0.008,0.004,0.383,0.163,0.084,0.041,0.032,0.143,0.064,0.039,0.027,0.01,0.01,0.009
387,A047658,A047660,2023JJ00,0.363,0.16,0.043,0.069,0.098,0.025,0.008,0.004,0.383,0.163,0.084,0.041,0.032,0.143,0.064,0.039,0.027,0.01,0.01,0.009
388,A047658,A047660,2024HJ01,0.323,0.144,0.037,0.064,0.113,0.024,0.007,0.003,0.463,0.197,0.101,0.048,0.036,0.181,0.081,0.051,0.035,0.014,0.016,0.019
389,A047658,A047660,2024HJ02,0.485,0.215,0.056,0.096,0.138,0.029,0.008,0.003,0.463,0.197,0.101,0.048,0.036,0.181,0.081,0.051,0.035,0.014,0.016,0.019
390,A047658,A047660,2024JJ00,0.388,0.172,0.045,0.077,0.124,0.026,0.007,0.003,0.463,0.197,0.101,0.048,0.036,0.181,0.081,0.051,0.035,0.014,0.016,0.019
391,A047658,A047660,2025HJ01,0.345,0.152,0.039,0.067,0.12,0.025,0.008,0.004,0.521,0.222,0.114,0.054,0.04,0.2,0.09,0.056,0.04,0.015,0.018,0.019
392,A047658,A047661,2009HJ01,0.259,0.113,0.03,0.048,0.076,0.019,0.006,0.003,0.288,0.122,0.063,0.031,0.022,0.097,0.044,0.027,0.018,0.006,0.007,0.004
393,A047658,A047661,2009HJ02,0.389,0.17,0.044,0.072,0.093,0.023,0.007,0.003,0.288,0.122,0.063,0.031,0.022,0.097,0.044,0.027,0.018,0.006,0.007,0.004
394,A047658,A047661,2009JJ00,0.311,0.136,0.035,0.058,0.084,0.021,0.006,0.003,0.288,0.122,0.063,0.031,0.022,0.097,0.044,0.027,0.018,0.006,0.007,0.004
395,A047658,A047661,2010HJ01,0.251,0.109,0.029,0.046,0.074,0.018,0.006,0.003,0.253,0.107,0.055,0.027,0.02,0.085,0.039,0.023,0.016,0.006,0.006,0.004
396,A047658,A047661,2010HJ02,0.376,0.164,0.043,0.07,0.09,0.022,0.007,0.003,0.253,0.107,0.055,0.027,0.02,0.085,0.039,0.023,0.016,0.006,0.006,0.004
397,A047658,A047661,2010JJ00,0.301,0.131,0.034,0.056,0.081,0.02,0.006,0.003,0.253,0.107,0.055,0.027,0.02,0.085,0.039,0.023,0.016,0.006,0.006,0.004
398,A047658,A047661,2011HJ01,0.215,0.094,0.025,0.04,0.063,0.016,0.005,0.002,0.243,0.103,0.053,0.026,0.019,0.082,0.038,0.022,0.015,0.005,0.005,0.004
399,A047658,A047661,2011HJ02,0.323,0.141,0.037,0.06,0.077,0.019,0.006,0.002,0.243,0.103,0.053,0.026,0.019,0.082,0.038,0.022,0.015,0.005,0.005,0.004
400,A047658,A047661,2011JJ00,0.258,0.113,0.029,0.048,0.07,0.017,0.005,0.002,0.243,0.103,0.053,0.026,0.019,0.082,0.038,0.022,0.015,0.005,0.005,0.004
401,A047658,A047661,2012HJ01,0.252,0.11,0.029,0.047,0.07,0.018,0.005,0.003,0.219,0.093,0.048,0.023,0.017,0.074,0.038,0.023,0.015,0.005,0.006,0.004
402,A047658,A047661,2012HJ02,0.378,0.165,0.043,0.07,0.086,0.022,0.006,0.003,0.219,0.093,0.048,0.023,0.017,0.074,0.038,0.023,0.015,0.005,0.006,0.004
403,A047658,A047661,2012JJ00,0.303,0.132,0.034,0.056,0.077,0.019,0.006,0.003,0.219,0.093,0.048,0.023,0.017,0.074,0.038,0.023,0.015,0.005,0.006,0.004
404,A047658,A047661,2013HJ01,0.274,0.119,0.031,0.051,0.085,0.021,0.007,0.003,0.29,0.123,0.063,0.031,0.023,0.097,0.046,0.027,0.019,0.007,0.007,0.004
405,A047658,A047661,2013HJ02,0.41,0.179,0.047,0.076,0.104,0.026,0.007,0.003,0.29,0.123,0.063,0.031,0.023,0.097,0.046,0.027,0.019,0.007,0.007,0.004
