ID,Zorgfuncties,Zorgaanbieders,Perioden,UitgavenAanGezondheidszorgIngezetenen_1
297,A019181,A052801,2022JJ00,0
298,A019181,A052801,2023JJ00,0
299,A019181,A052801,2024JJ00,0
300,A019181,A052802,2021JJ00,0
301,A019181,A052802,2022JJ00,0
302,A019181,A052802,2023JJ00,0
303,A019181,A052802,2024JJ00,0
304,A019181,A052803,2021JJ00,0
305,A019181,A052803,2022JJ00,0
306,A019181,A052803,2023JJ00,0
307,A019181,A052803,2024JJ00,0
308,A019181,A052806,2021JJ00,0
309,A019181,A052806,2022JJ00,0
310,A019181,A052806,2023JJ00,0
311,A019181,A052806,2024JJ00,0
312,A019181,A052807,2021JJ00,0
313,A019181,A052807,2022JJ00,0
314,A019181,A052807,2023JJ00,0
315,A019181,A052807,2024JJ00,0
316,A019181,A052808,2021JJ00,0
317,A019181,A052808,2022JJ00,0
318,A019181,A052808,2023JJ00,0
319,A019181,A052808,2024JJ00,0
320,A019181,A052811,2021JJ00,0
321,A019181,A052811,2022JJ00,0
322,A019181,A052811,2023JJ00,0
323,A019181,A052811,2024JJ00,0
324,A019181,A052812,2021JJ00,0
325,A019181,A052812,2022JJ00,0
326,A019181,A052812,2023JJ00,0
327,A019181,A052812,2024JJ00,0
328,A019181,A052813,2021JJ00,0
329,A019181,A052813,2022JJ00,0
330,A019181,A052813,2023JJ00,0
331,A019181,A052813,2024JJ00,0
332,A019181,A052814,2021JJ00,0
333,A019181,A052814,2022JJ00,0
334,A019181,A052814,2023JJ00,0
335,A019181,A052814,2024JJ00,0
336,A019181,A052815,2021JJ00,0
337,A019181,A052815,2022JJ00,0
338,A019181,A052815,2023JJ00,0
339,A019181,A052815,2024JJ00,0
340,A019181,A052816,2021JJ00,0
341,A019181,A052816,2022JJ00,0
342,A019181,A052816,2023JJ00,0
343,A019181,A052816,2024JJ00,0
344,A019181,A052817,2021JJ00,159
345,A019181,A052817,2022JJ00,160
346,A019181,A052817,2023JJ00,161
347,A019181,A052817,2024JJ00,184
348,A019181,A052818,2021JJ00,0
349,A019181,A052818,2022JJ00,0
350,A019181,A052818,2023JJ00,0
351,A019181,A052818,2024JJ00,0
352,A019181,A052819,2021JJ00,159
353,A019181,A052819,2022JJ00,160
354,A019181,A052819,2023JJ00,161
355,A019181,A052819,2024JJ00,184
356,A019181,A052820,2021JJ00,156
357,A019181,A052820,2022JJ00,260
358,A019181,A052820,2023JJ00,280
359,A019181,A052820,2024JJ00,272
360,A019171,A052785,2021JJ00,2702
361,A019171,A052785,2022JJ00,2955
362,A019171,A052785,2023JJ00,3272
363,A019171,A052785,2024JJ00,3536
364,A019171,A052786,2021JJ00,2519
365,A019171,A052786,2022JJ00,2751
366,A019171,A052786,2023JJ00,3028
367,A019171,A052786,2024JJ00,3270
368,A019171,A052787,2021JJ00,2421
369,A019171,A052787,2022JJ00,2647
370,A019171,A052787,2023JJ00,2927
371,A019171,A052787,2024JJ00,3161
372,A019171,A052788,2021JJ00,0
373,A019171,A052788,2022JJ00,0
374,A019171,A052788,2023JJ00,0
375,A019171,A052788,2024JJ00,0
376,A019171,A052789,2021JJ00,98
377,A019171,A052789,2022JJ00,104
378,A019171,A052789,2023JJ00,101
379,A019171,A052789,2024JJ00,110
380,A019171,A052790,2021JJ00,38
381,A019171,A052790,2022JJ00,41
382,A019171,A052790,2023JJ00,46
383,A019171,A052790,2024JJ00,50
384,A019171,A052791,2021JJ00,38
385,A019171,A052791,2022JJ00,41
386,A019171,A052791,2023JJ00,46
387,A019171,A052791,2024JJ00,50
388,A019171,A052792,2021JJ00,0
389,A019171,A052792,2022JJ00,0
390,A019171,A052792,2023JJ00,0
391,A019171,A052792,2024JJ00,0
392,A019171,A052795,2021JJ00,144
393,A019171,A052795,2022JJ00,161
394,A019171,A052795,2023JJ00,194
395,A019171,A052795,2024JJ00,212
396,A019171,A052796,2021JJ00,0
397,A019171,A052796,2022JJ00,0
398,A019171,A052796,2023JJ00,0
399,A019171,A052796,2024JJ00,0
400,A019171,A052797,2021JJ00,2
401,A019171,A052797,2022JJ00,2
402,A019171,A052797,2023JJ00,2
403,A019171,A052797,2024JJ00,2
404,A019171,A052799,2021JJ00,0
405,A019171,A052799,2022JJ00,0
406,A019171,A052799,2023JJ00,0
407,A019171,A052799,2024JJ00,0
408,A019171,A052798,2021JJ00,142
409,A019171,A052798,2022JJ00,159
410,A019171,A052798,2023JJ00,193
411,A019171,A052798,2024JJ00,210
412,A019171,A052800,2021JJ00,0
413,A019171,A052800,2022JJ00,0
414,A019171,A052800,2023JJ00,0
415,A019171,A052800,2024JJ00,0
416,A019171,A052801,2021JJ00,0
417,A019171,A052801,2022JJ00,0
418,A019171,A052801,2023JJ00,0
419,A019171,A052801,2024JJ00,0
420,A019171,A052802,2021JJ00,0
421,A019171,A052802,2022JJ00,0
422,A019171,A052802,2023JJ00,0
423,A019171,A052802,2024JJ00,0
424,A019171,A052803,2021JJ00,0
425,A019171,A052803,2022JJ00,0
426,A019171,A052803,2023JJ00,0
427,A019171,A052803,2024JJ00,0
428,A019171,A052806,2021JJ00,0
429,A019171,A052806,2022JJ00,0
430,A019171,A052806,2023JJ00,0
431,A019171,A052806,2024JJ00,0
432,A019171,A052807,2021JJ00,0
433,A019171,A052807,2022JJ00,0
434,A019171,A052807,2023JJ00,0
435,A019171,A052807,2024JJ00,0
436,A019171,A052808,2021JJ00,0
437,A019171,A052808,2022JJ00,0
438,A019171,A052808,2023JJ00,0
439,A019171,A052808,2024JJ00,0
440,A019171,A052811,2021JJ00,0
441,A019171,A052811,2022JJ00,0
442,A019171,A052811,2023JJ00,0
443,A019171,A052811,2024JJ00,0
444,A019171,A052812,2021JJ00,0
445,A019171,A052812,2022JJ00,0
446,A019171,A052812,2023JJ00,0
447,A019171,A052812,2024JJ00,0
448,A019171,A052813,2021JJ00,0
449,A019171,A052813,2022JJ00,0
450,A019171,A052813,2023JJ00,0
451,A019171,A052813,2024JJ00,0
452,A019171,A052814,2021JJ00,0
453,A019171,A052814,2022JJ00,0
454,A019171,A052814,2023JJ00,0
455,A019171,A052814,2024JJ00,0
456,A019171,A052815,2021JJ00,0
457,A019171,A052815,2022JJ00,0
458,A019171,A052815,2023JJ00,0
459,A019171,A052815,2024JJ00,0
460,A019171,A052816,2021JJ00,0
461,A019171,A052816,2022JJ00,0
462,A019171,A052816,2023JJ00,0
463,A019171,A052816,2024JJ00,0
464,A019171,A052817,2021JJ00,1
465,A019171,A052817,2022JJ00,2
466,A019171,A052817,2023JJ00,3
467,A019171,A052817,2024JJ00,4
468,A019171,A052818,2021JJ00,0
469,A019171,A052818,2022JJ00,0
470,A019171,A052818,2023JJ00,0
471,A019171,A052818,2024JJ00,0
472,A019171,A052819,2021JJ00,1
473,A019171,A052819,2022JJ00,2
474,A019171,A052819,2023JJ00,3
475,A019171,A052819,2024JJ00,4
476,A019171,A052820,2021JJ00,0
477,A019171,A052820,2022JJ00,0
478,A019171,A052820,2023JJ00,0
479,A019171,A052820,2024JJ00,0
480,A019174,A052785,2021JJ00,26105
481,A019174,A052785,2022JJ00,27782
482,A019174,A052785,2023JJ00,30345
483,A019174,A052785,2024JJ00,32807
484,A019174,A052786,2021JJ00,13825
485,A019174,A052786,2022JJ00,14390
486,A019174,A052786,2023JJ00,15643
487,A019174,A052786,2024JJ00,16877
488,A019174,A052787,2021JJ00,11415
489,A019174,A052787,2022JJ00,11809
490,A019174,A052787,2023JJ00,12742
491,A019174,A052787,2024JJ00,13671
492,A019174,A052788,2021JJ00,2020
493,A019174,A052788,2022JJ00,2201
494,A019174,A052788,2023JJ00,2490
495,A019174,A052788,2024JJ00,2765
496,A019174,A052789,2021JJ00,389
497,A019174,A052789,2022JJ00,380
498,A019174,A052789,2023JJ00,411
499,A019174,A052789,2024JJ00,441
500,A019174,A052790,2021JJ00,296
501,A019174,A052790,2022JJ00,310
502,A019174,A052790,2023JJ00,343
503,A019174,A052790,2024JJ00,373
504,A019174,A052791,2021JJ00,234
505,A019174,A052791,2022JJ00,250
506,A019174,A052791,2023JJ00,269
507,A019174,A052791,2024JJ00,293
508,A019174,A052792,2021JJ00,63
509,A019174,A052792,2022JJ00,60
510,A019174,A052792,2023JJ00,74
511,A019174,A052792,2024JJ00,80
512,A019174,A052795,2021JJ00,11226
513,A019174,A052795,2022JJ00,12244
514,A019174,A052795,2023JJ00,13409
515,A019174,A052795,2024JJ00,14534
516,A019174,A052796,2021JJ00,3492
517,A019174,A052796,2022JJ00,3474
518,A019174,A052796,2023JJ00,3881
519,A019174,A052796,2024JJ00,4312
520,A019174,A052797,2021JJ00,1911
521,A019174,A052797,2022JJ00,1926
522,A019174,A052797,2023JJ00,2010
523,A019174,A052797,2024JJ00,2079
524,A019174,A052799,2021JJ00,2920
525,A019174,A052799,2022JJ00,3258
526,A019174,A052799,2023JJ00,3708
527,A019174,A052799,2024JJ00,3987
528,A019174,A052798,2021JJ00,2894
529,A019174,A052798,2022JJ00,3581
530,A019174,A052798,2023JJ00,3809
531,A019174,A052798,2024JJ00,4154
532,A019174,A052800,2021JJ00,9
533,A019174,A052800,2022JJ00,5
534,A019174,A052800,2023JJ00,2
535,A019174,A052800,2024JJ00,2
536,A019174,A052801,2021JJ00,187
537,A019174,A052801,2022JJ00,196
538,A019174,A052801,2023JJ00,226
539,A019174,A052801,2024JJ00,245
540,A019174,A052802,2021JJ00,0
541,A019174,A052802,2022JJ00,0
542,A019174,A052802,2023JJ00,0
543,A019174,A052802,2024JJ00,0
544,A019174,A052803,2021JJ00,187
545,A019174,A052803,2022JJ00,196
546,A019174,A052803,2023JJ00,226
547,A019174,A052803,2024JJ00,245
548,A019174,A052806,2021JJ00,8
549,A019174,A052806,2022JJ00,8
550,A019174,A052806,2023JJ00,11
551,A019174,A052806,2024JJ00,11
552,A019174,A052807,2021JJ00,5
553,A019174,A052807,2022JJ00,5
554,A019174,A052807,2023JJ00,6
555,A019174,A052807,2024JJ00,7
556,A019174,A052808,2021JJ00,3
557,A019174,A052808,2022JJ00,3
558,A019174,A052808,2023JJ00,4
559,A019174,A052808,2024JJ00,4
560,A019174,A052811,2021JJ00,28
561,A019174,A052811,2022JJ00,31
562,A019174,A052811,2023JJ00,29
563,A019174,A052811,2024JJ00,32
564,A019174,A052812,2021JJ00,0
565,A019174,A052812,2022JJ00,0
566,A019174,A052812,2023JJ00,0
567,A019174,A052812,2024JJ00,0
568,A019174,A052813,2021JJ00,0
569,A019174,A052813,2022JJ00,0
570,A019174,A052813,2023JJ00,0
571,A019174,A052813,2024JJ00,0
572,A019174,A052814,2021JJ00,0
573,A019174,A052814,2022JJ00,0
574,A019174,A052814,2023JJ00,0
575,A019174,A052814,2024JJ00,0
576,A019174,A052815,2021JJ00,0
577,A019174,A052815,2022JJ00,0
578,A019174,A052815,2023JJ00,0
579,A019174,A052815,2024JJ00,0
580,A019174,A052816,2021JJ00,0
581,A019174,A052816,2022JJ00,0
582,A019174,A052816,2023JJ00,0
583,A019174,A052816,2024JJ00,0
584,A019174,A052817,2021JJ00,412
585,A019174,A052817,2022JJ00,404
586,A019174,A052817,2023JJ00,469
587,A019174,A052817,2024JJ00,513
588,A019174,A052818,2021JJ00,0
589,A019174,A052818,2022JJ00,0
590,A019174,A052818,2023JJ00,0
591,A019174,A052818,2024JJ00,0
592,A019174,A052819,2021JJ00,412
593,A019174,A052819,2022JJ00,404
594,A019174,A052819,2023JJ00,469
595,A019174,A052819,2024JJ00,513
596,A019174,A052820,2021JJ00,123
597,A019174,A052820,2022JJ00,199
598,A019174,A052820,2023JJ00,215
599,A019174,A052820,2024JJ00,223
600,A047384,A052785,2021JJ00,4869
601,A047384,A052785,2022JJ00,5194
602,A047384,A052785,2023JJ00,5595
603,A047384,A052785,2024JJ00,6191
604,A047384,A052786,2021JJ00,433
605,A047384,A052786,2022JJ00,432
606,A047384,A052786,2023JJ00,462
607,A047384,A052786,2024JJ00,501
608,A047384,A052787,2021JJ00,429
609,A047384,A052787,2022JJ00,425
610,A047384,A052787,2023JJ00,454
611,A047384,A052787,2024JJ00,492
612,A047384,A052788,2021JJ00,4
613,A047384,A052788,2022JJ00,7
614,A047384,A052788,2023JJ00,7
615,A047384,A052788,2024JJ00,8
616,A047384,A052789,2021JJ00,0
617,A047384,A052789,2022JJ00,0
618,A047384,A052789,2023JJ00,0
619,A047384,A052789,2024JJ00,0
620,A047384,A052790,2021JJ00,44
621,A047384,A052790,2022JJ00,45
622,A047384,A052790,2023JJ00,52
623,A047384,A052790,2024JJ00,58
624,A047384,A052791,2021JJ00,44
625,A047384,A052791,2022JJ00,45
626,A047384,A052791,2023JJ00,52
627,A047384,A052791,2024JJ00,58
628,A047384,A052792,2021JJ00,0
629,A047384,A052792,2022JJ00,0
630,A047384,A052792,2023JJ00,0
631,A047384,A052792,2024JJ00,0
632,A047384,A052795,2021JJ00,4112
633,A047384,A052795,2022JJ00,4388
634,A047384,A052795,2023JJ00,4703
635,A047384,A052795,2024JJ00,5223
636,A047384,A052796,2021JJ00,3492
637,A047384,A052796,2022JJ00,3473
638,A047384,A052796,2023JJ00,3880
639,A047384,A052796,2024JJ00,4311
640,A047384,A052797,2021JJ00,0
641,A047384,A052797,2022JJ00,0
642,A047384,A052797,2023JJ00,0
643,A047384,A052797,2024JJ00,0
644,A047384,A052799,2021JJ00,34
645,A047384,A052799,2022JJ00,51
646,A047384,A052799,2023JJ00,64
647,A047384,A052799,2024JJ00,71
648,A047384,A052798,2021JJ00,583
649,A047384,A052798,2022JJ00,861
650,A047384,A052798,2023JJ00,759
651,A047384,A052798,2024JJ00,840
652,A047384,A052800,2021JJ00,3
653,A047384,A052800,2022JJ00,3
654,A047384,A052800,2023JJ00,0
655,A047384,A052800,2024JJ00,0
656,A047384,A052801,2021JJ00,151
657,A047384,A052801,2022JJ00,161
658,A047384,A052801,2023JJ00,191
659,A047384,A052801,2024JJ00,207
660,A047384,A052802,2021JJ00,0
661,A047384,A052802,2022JJ00,0
662,A047384,A052802,2023JJ00,0
663,A047384,A052802,2024JJ00,0
664,A047384,A052803,2021JJ00,151
665,A047384,A052803,2022JJ00,161
666,A047384,A052803,2023JJ00,191
667,A047384,A052803,2024JJ00,207
668,A047384,A052806,2021JJ00,5
669,A047384,A052806,2022JJ00,5
670,A047384,A052806,2023JJ00,6
671,A047384,A052806,2024JJ00,7
672,A047384,A052807,2021JJ00,5
673,A047384,A052807,2022JJ00,5
674,A047384,A052807,2023JJ00,6
675,A047384,A052807,2024JJ00,7
676,A047384,A052808,2021JJ00,0
677,A047384,A052808,2022JJ00,0
678,A047384,A052808,2023JJ00,0
679,A047384,A052808,2024JJ00,0
680,A047384,A052811,2021JJ00,4
681,A047384,A052811,2022JJ00,4
682,A047384,A052811,2023JJ00,5
683,A047384,A052811,2024JJ00,6
684,A047384,A052812,2021JJ00,0
685,A047384,A052812,2022JJ00,0
686,A047384,A052812,2023JJ00,0
687,A047384,A052812,2024JJ00,0
688,A047384,A052813,2021JJ00,0
689,A047384,A052813,2022JJ00,0
690,A047384,A052813,2023JJ00,0
691,A047384,A052813,2024JJ00,0
692,A047384,A052814,2021JJ00,0
693,A047384,A052814,2022JJ00,0
694,A047384,A052814,2023JJ00,0
695,A047384,A052814,2024JJ00,0
696,A047384,A052815,2021JJ00,0
697,A047384,A052815,2022JJ00,0
698,A047384,A052815,2023JJ00,0
699,A047384,A052815,2024JJ00,0
700,A047384,A052816,2021JJ00,0
701,A047384,A052816,2022JJ00,0
702,A047384,A052816,2023JJ00,0
703,A047384,A052816,2024JJ00,0
704,A047384,A052817,2021JJ00,66
705,A047384,A052817,2022JJ00,73
706,A047384,A052817,2023JJ00,81
707,A047384,A052817,2024JJ00,89
708,A047384,A052818,2021JJ00,0
709,A047384,A052818,2022JJ00,0
710,A047384,A052818,2023JJ00,0
711,A047384,A052818,2024JJ00,0
712,A047384,A052819,2021JJ00,66
713,A047384,A052819,2022JJ00,73
714,A047384,A052819,2023JJ00,81
715,A047384,A052819,2024JJ00,89
716,A047384,A052820,2021JJ00,54
717,A047384,A052820,2022JJ00,86
718,A047384,A052820,2023JJ00,94
719,A047384,A052820,2024JJ00,101
