ID,Milieudomein,BedrijfstakkenBranchesSBI2008,Perioden,ArbeidsvolumeWerkzamePersonen_1,ProductieBasisprijzen_2,BrutoToegevoegdeWaardeBasisprijzen_3,UitvoerBasisprijzen_4
61,T001058,300002 ,2020JJ00,,,,
62,T001058,300002 ,2021JJ00,,,,
63,T001058,305700 ,2001JJ00,,,,
64,T001058,305700 ,2002JJ00,,,,
65,T001058,305700 ,2003JJ00,,,,
66,T001058,305700 ,2004JJ00,,,,
67,T001058,305700 ,2005JJ00,,,,
68,T001058,305700 ,2006JJ00,,,,
69,T001058,305700 ,2007JJ00,,,,
70,T001058,305700 ,2008JJ00,,,,
71,T001058,305700 ,2009JJ00,,,,
72,T001058,305700 ,2010JJ00,,,,
73,T001058,305700 ,2011JJ00,,,,
74,T001058,305700 ,2012JJ00,,,,
75,T001058,305700 ,2013JJ00,,,,
76,T001058,305700 ,2014JJ00,,,,
77,T001058,305700 ,2015JJ00,,,,
78,T001058,305700 ,2016JJ00,,,,
79,T001058,305700 ,2017JJ00,,,,
80,T001058,305700 ,2018JJ00,,,,
81,T001058,305700 ,2019JJ00,,,,
82,T001058,305700 ,2020JJ00,,,,
83,T001058,305700 ,2021JJ00,,,,
84,T001058,307500 ,2001JJ00,9.4,2697.0,752.0,
85,T001058,307500 ,2002JJ00,10.1,3023.0,807.0,
86,T001058,307500 ,2003JJ00,9.6,3108.0,797.0,
87,T001058,307500 ,2004JJ00,9.4,2931.0,794.0,
88,T001058,307500 ,2005JJ00,9.0,2943.0,756.0,
89,T001058,307500 ,2006JJ00,9.7,3082.0,833.0,
90,T001058,307500 ,2007JJ00,10.5,3521.0,912.0,
91,T001058,307500 ,2008JJ00,11.2,3941.0,994.0,
92,T001058,307500 ,2009JJ00,11.1,3399.0,895.0,
93,T001058,307500 ,2010JJ00,11.5,3698.0,936.0,
94,T001058,307500 ,2011JJ00,12.3,5221.0,1111.0,
95,T001058,307500 ,2012JJ00,11.4,6571.0,950.0,
96,T001058,307500 ,2013JJ00,11.4,7280.0,1059.0,
97,T001058,307500 ,2014JJ00,11.2,6884.0,1497.0,3918.0
98,T001058,307500 ,2015JJ00,11.3,6865.0,1607.0,4180.0
99,T001058,307500 ,2016JJ00,11.6,6227.0,1746.0,4234.0
100,T001058,307500 ,2017JJ00,12.1,7041.0,1917.0,4456.0
101,T001058,307500 ,2018JJ00,12.5,7393.0,1905.0,4494.0
102,T001058,307500 ,2019JJ00,13.1,7709.0,2010.0,4669.0
103,T001058,307500 ,2020JJ00,13.4,7586.0,2119.0,4504.0
104,T001058,307500 ,2021JJ00,13.2,10035.0,2539.0,5733.0
105,T001058,346600 ,2001JJ00,0.2,82.0,33.0,
106,T001058,346600 ,2002JJ00,0.2,113.0,55.0,
107,T001058,346600 ,2003JJ00,0.3,139.0,65.0,
108,T001058,346600 ,2004JJ00,0.3,308.0,205.0,
109,T001058,346600 ,2005JJ00,0.4,657.0,507.0,
110,T001058,346600 ,2006JJ00,0.5,732.0,563.0,
111,T001058,346600 ,2007JJ00,0.5,678.0,500.0,
112,T001058,346600 ,2008JJ00,0.6,938.0,699.0,
113,T001058,346600 ,2009JJ00,0.7,1108.0,772.0,
114,T001058,346600 ,2010JJ00,0.9,1086.0,725.0,
115,T001058,346600 ,2011JJ00,1.0,1674.0,815.0,
116,T001058,346600 ,2012JJ00,1.0,1187.0,818.0,
117,T001058,346600 ,2013JJ00,1.1,1180.0,863.0,
118,T001058,346600 ,2014JJ00,1.2,1093.0,844.0,1.0
119,T001058,346600 ,2015JJ00,1.6,1319.0,954.0,2.0
120,T001058,346600 ,2016JJ00,1.8,1395.0,981.0,3.0
121,T001058,346600 ,2017JJ00,1.8,1698.0,1213.0,3.0
122,T001058,346600 ,2018JJ00,2.3,1865.0,1333.0,4.0
123,T001058,346600 ,2019JJ00,2.9,2432.0,1926.0,8.0
124,T001058,346600 ,2020JJ00,4.2,2963.0,2198.0,25.0
125,T001058,346600 ,2021JJ00,5.0,2947.0,2079.0,13.0
126,T001058,348000 ,2001JJ00,23.7,4916.0,1754.0,
127,T001058,348000 ,2002JJ00,24.7,5260.0,1881.0,
128,T001058,348000 ,2003JJ00,25.6,5555.0,2044.0,
129,T001058,348000 ,2004JJ00,24.6,5655.0,1995.0,
130,T001058,348000 ,2005JJ00,24.4,5585.0,1941.0,
131,T001058,348000 ,2006JJ00,23.9,5944.0,2154.0,
132,T001058,348000 ,2007JJ00,24.2,6289.0,2318.0,
133,T001058,348000 ,2008JJ00,24.3,6975.0,2547.0,
134,T001058,348000 ,2009JJ00,25.4,6669.0,2340.0,
135,T001058,348000 ,2010JJ00,25.2,6957.0,2305.0,
136,T001058,348000 ,2011JJ00,25.7,7806.0,2500.0,
137,T001058,348000 ,2012JJ00,24.9,7698.0,2446.0,
138,T001058,348000 ,2013JJ00,24.9,7893.0,2521.0,
139,T001058,348000 ,2014JJ00,25.8,8517.0,2731.0,1061.0
140,T001058,348000 ,2015JJ00,24.7,8248.0,2713.0,986.0
141,T001058,348000 ,2016JJ00,25.3,8415.0,2748.0,926.0
142,T001058,348000 ,2017JJ00,26.5,8898.0,2859.0,1031.0
143,T001058,348000 ,2018JJ00,27.8,9539.0,3058.0,1155.0
144,T001058,348000 ,2019JJ00,28.5,9964.0,3000.0,1197.0
145,T001058,348000 ,2020JJ00,28.6,9767.0,3073.0,1167.0
146,T001058,348000 ,2021JJ00,29.6,11487.0,3794.0,1548.0
147,T001058,350000 ,2001JJ00,25.7,2754.0,1225.0,
148,T001058,350000 ,2002JJ00,24.0,2634.0,1179.0,
149,T001058,350000 ,2003JJ00,20.3,2358.0,1047.0,
150,T001058,350000 ,2004JJ00,17.7,2117.0,927.0,
151,T001058,350000 ,2005JJ00,16.6,2051.0,892.0,
152,T001058,350000 ,2006JJ00,18.9,2526.0,1027.0,
153,T001058,350000 ,2007JJ00,20.1,2795.0,1142.0,
154,T001058,350000 ,2008JJ00,20.1,3016.0,1252.0,
155,T001058,350000 ,2009JJ00,20.5,3115.0,1255.0,
156,T001058,350000 ,2010JJ00,21.8,3126.0,1232.0,
157,T001058,350000 ,2011JJ00,27.5,3970.0,1529.0,
158,T001058,350000 ,2012JJ00,25.8,3405.0,1332.0,
159,T001058,350000 ,2013JJ00,27.9,3603.0,1413.0,
160,T001058,350000 ,2014JJ00,28.3,4022.0,1607.0,290.0
161,T001058,350000 ,2015JJ00,30.6,4077.0,1715.0,370.0
162,T001058,350000 ,2016JJ00,34.7,4596.0,1888.0,266.0
163,T001058,350000 ,2017JJ00,37.7,5291.0,2213.0,256.0
164,T001058,350000 ,2018JJ00,39.7,4745.0,1964.0,215.0
165,T001058,350000 ,2019JJ00,45.1,4763.0,1848.0,185.0
166,T001058,350000 ,2020JJ00,54.3,5498.0,2279.0,178.0
167,T001058,350000 ,2021JJ00,56.1,5949.0,2406.0,177.0
168,T001058,300006 ,2001JJ00,2.4,496.0,213.0,
169,T001058,300006 ,2002JJ00,2.5,531.0,226.0,
170,T001058,300006 ,2003JJ00,2.7,573.0,254.0,
171,T001058,300006 ,2004JJ00,2.5,538.0,247.0,
172,T001058,300006 ,2005JJ00,2.6,553.0,255.0,
173,T001058,300006 ,2006JJ00,3.0,576.0,285.0,
174,T001058,300006 ,2007JJ00,3.2,637.0,330.0,
175,T001058,300006 ,2008JJ00,3.5,731.0,397.0,
176,T001058,300006 ,2009JJ00,3.5,602.0,301.0,
177,T001058,300006 ,2010JJ00,3.8,747.0,390.0,
178,T001058,300006 ,2011JJ00,3.7,731.0,368.0,
179,T001058,300006 ,2012JJ00,3.6,1245.0,413.0,
180,T001058,300006 ,2013JJ00,3.6,667.0,364.0,
181,T001058,300006 ,2014JJ00,3.4,681.0,355.0,1535.0
182,T001058,300006 ,2015JJ00,3.3,708.0,393.0,1635.0
183,T001058,300006 ,2016JJ00,3.9,816.0,443.0,1837.0
184,T001058,300006 ,2017JJ00,4.0,926.0,455.0,1223.0
185,T001058,300006 ,2018JJ00,4.5,997.0,526.0,990.0
186,T001058,300006 ,2019JJ00,4.6,1169.0,634.0,1138.0
187,T001058,300006 ,2020JJ00,5.0,1295.0,687.0,1052.0
188,T001058,300006 ,2021JJ00,5.3,1498.0,782.0,1447.0
189,T001058,391600 ,2001JJ00,0.1,34.0,13.0,
190,T001058,391600 ,2002JJ00,0.1,41.0,16.0,
191,T001058,391600 ,2003JJ00,0.1,41.0,15.0,
192,T001058,391600 ,2004JJ00,0.1,42.0,15.0,
193,T001058,391600 ,2005JJ00,0.1,41.0,15.0,
194,T001058,391600 ,2006JJ00,0.1,45.0,17.0,
195,T001058,391600 ,2007JJ00,0.1,45.0,17.0,
196,T001058,391600 ,2008JJ00,0.1,58.0,22.0,
197,T001058,391600 ,2009JJ00,0.2,58.0,11.0,
198,T001058,391600 ,2010JJ00,0.2,70.0,27.0,
199,T001058,391600 ,2011JJ00,0.2,78.0,29.0,
200,T001058,391600 ,2012JJ00,0.2,89.0,26.0,
201,T001058,391600 ,2013JJ00,0.3,96.0,29.0,
202,T001058,391600 ,2014JJ00,0.3,101.0,33.0,7.0
203,T001058,391600 ,2015JJ00,0.3,90.0,25.0,7.0
204,T001058,391600 ,2016JJ00,0.4,83.0,33.0,8.0
205,T001058,391600 ,2017JJ00,0.3,81.0,37.0,10.0
206,T001058,391600 ,2018JJ00,0.4,96.0,40.0,14.0
207,T001058,391600 ,2019JJ00,0.4,111.0,43.0,18.0
208,T001058,391600 ,2020JJ00,0.4,144.0,45.0,12.0
209,T001058,391600 ,2021JJ00,0.5,149.0,54.0,15.0
210,T001058,396300 ,2001JJ00,0.1,24.0,9.0,
211,T001058,396300 ,2002JJ00,0.1,27.0,10.0,
212,T001058,396300 ,2003JJ00,0.1,27.0,9.0,
213,T001058,396300 ,2004JJ00,0.1,29.0,10.0,
214,T001058,396300 ,2005JJ00,0.1,26.0,9.0,
215,T001058,396300 ,2006JJ00,0.1,25.0,10.0,
216,T001058,396300 ,2007JJ00,0.1,28.0,11.0,
217,T001058,396300 ,2008JJ00,0.3,90.0,43.0,
218,T001058,396300 ,2009JJ00,0.3,82.0,29.0,
219,T001058,396300 ,2010JJ00,0.3,93.0,43.0,
220,T001058,396300 ,2011JJ00,0.3,99.0,51.0,
221,T001058,396300 ,2012JJ00,0.6,168.0,88.0,
222,T001058,396300 ,2013JJ00,0.4,107.0,54.0,
223,T001058,396300 ,2014JJ00,1.1,313.0,169.0,16.0
224,T001058,396300 ,2015JJ00,1.7,482.0,263.0,13.0
225,T001058,396300 ,2016JJ00,1.0,317.0,159.0,38.0
226,T001058,396300 ,2017JJ00,1.3,391.0,197.0,2.0
227,T001058,396300 ,2018JJ00,2.2,643.0,334.0,22.0
228,T001058,396300 ,2019JJ00,3.2,932.0,492.0,24.0
229,T001058,396300 ,2020JJ00,3.2,921.0,493.0,2.0
230,T001058,396300 ,2021JJ00,3.2,949.0,505.0,0.0
231,T001058,402000 ,2001JJ00,,,,
232,T001058,402000 ,2002JJ00,,,,
233,T001058,402000 ,2003JJ00,,,,
234,T001058,402000 ,2004JJ00,,,,
235,T001058,402000 ,2005JJ00,,,,
236,T001058,402000 ,2006JJ00,,,,
237,T001058,402000 ,2007JJ00,,,,
238,T001058,402000 ,2008JJ00,,,,
239,T001058,402000 ,2009JJ00,,,,
240,T001058,402000 ,2010JJ00,,,,
241,T001058,402000 ,2011JJ00,,,,
242,T001058,402000 ,2012JJ00,,,,
243,T001058,402000 ,2013JJ00,,,,
244,T001058,402000 ,2014JJ00,,,,
245,T001058,402000 ,2015JJ00,,,,
246,T001058,402000 ,2016JJ00,,,,
247,T001058,402000 ,2017JJ00,,,,
248,T001058,402000 ,2018JJ00,,,,
249,T001058,402000 ,2019JJ00,,,,
250,T001058,402000 ,2020JJ00,,,,
251,T001058,402000 ,2021JJ00,,,,
252,T001058,300010 ,2001JJ00,10.4,1208.0,508.0,
253,T001058,300010 ,2002JJ00,10.9,1330.0,563.0,
254,T001058,300010 ,2003JJ00,10.2,1265.0,537.0,
255,T001058,300010 ,2004JJ00,11.1,1438.0,611.0,
256,T001058,300010 ,2005JJ00,11.5,1527.0,624.0,
257,T001058,300010 ,2006JJ00,11.6,1571.0,769.0,
258,T001058,300010 ,2007JJ00,12.0,1662.0,824.0,
259,T001058,300010 ,2008JJ00,13.6,1940.0,958.0,
260,T001058,300010 ,2009JJ00,13.9,1807.0,820.0,
261,T001058,300010 ,2010JJ00,13.0,1840.0,981.0,
262,T001058,300010 ,2011JJ00,12.0,1684.0,910.0,
263,T001058,300010 ,2012JJ00,12.1,1749.0,933.0,
264,T001058,300010 ,2013JJ00,11.6,1836.0,918.0,
265,T001058,300010 ,2014JJ00,11.2,1747.0,874.0,750.0
266,T001058,300010 ,2015JJ00,11.4,1717.0,885.0,730.0
267,T001058,300010 ,2016JJ00,12.7,2085.0,1082.0,794.0
268,T001058,300010 ,2017JJ00,13.6,2305.0,1182.0,596.0
269,T001058,300010 ,2018JJ00,14.6,2729.0,1263.0,938.0
270,T001058,300010 ,2019JJ00,15.1,3071.0,1423.0,1035.0
271,T001058,300010 ,2020JJ00,16.2,3391.0,1549.0,1007.0
272,T001058,300010 ,2021JJ00,16.2,4097.0,1720.0,1047.0
273,T001058,300012 ,2001JJ00,43.4,5577.0,3190.0,
274,T001058,300012 ,2002JJ00,44.6,5823.0,3372.0,
275,T001058,300012 ,2003JJ00,47.1,6211.0,3661.0,
276,T001058,300012 ,2004JJ00,46.0,6539.0,3778.0,
277,T001058,300012 ,2005JJ00,43.4,6604.0,3808.0,
278,T001058,300012 ,2006JJ00,46.8,6951.0,4063.0,
279,T001058,300012 ,2007JJ00,46.1,7195.0,4276.0,
280,T001058,300012 ,2008JJ00,43.4,7484.0,4441.0,
281,T001058,300012 ,2009JJ00,45.7,7947.0,4699.0,
282,T001058,300012 ,2010JJ00,46.6,8458.0,5009.0,
283,T001058,300012 ,2011JJ00,45.9,8540.0,5177.0,
284,T001058,300012 ,2012JJ00,44.2,8721.0,5272.0,
285,T001058,300012 ,2013JJ00,45.3,9243.0,5507.0,
286,T001058,300012 ,2014JJ00,44.7,9527.0,5622.0,5.0
287,T001058,300012 ,2015JJ00,43.4,9628.0,5706.0,5.0
288,T001058,300012 ,2016JJ00,45.2,11016.0,6060.0,10.0
289,T001058,300012 ,2017JJ00,47.3,11314.0,6315.0,12.0
290,T001058,300012 ,2018JJ00,48.6,11779.0,6618.0,10.0
291,T001058,300012 ,2019JJ00,51.0,12600.0,7272.0,4.0
292,T001058,300012 ,2020JJ00,51.0,12740.0,7092.0,3.0
293,T001058,300012 ,2021JJ00,50.5,12152.0,7022.0,3.0
294,T001058,300014 ,2001JJ00,,,,
295,T001058,300014 ,2002JJ00,,,,
296,T001058,300014 ,2003JJ00,,,,
297,T001058,300014 ,2004JJ00,,,,
298,T001058,300014 ,2005JJ00,,,,
299,T001058,300014 ,2006JJ00,,,,
300,T001058,300014 ,2007JJ00,,,,
301,T001058,300014 ,2008JJ00,,,,
302,T001058,300014 ,2009JJ00,,,,
303,T001058,300014 ,2010JJ00,,,,
304,T001058,300014 ,2011JJ00,,,,
305,T001058,300014 ,2012JJ00,,,,
306,T001058,300014 ,2013JJ00,,,,
307,T001058,300014 ,2014JJ00,,,,
308,T001058,300014 ,2015JJ00,,,,
309,T001058,300014 ,2016JJ00,,,,
310,T001058,300014 ,2017JJ00,,,,
311,T001058,300014 ,2018JJ00,,,,
312,T001058,300014 ,2019JJ00,,,,
313,T001058,300014 ,2020JJ00,,,,
314,T001058,300014 ,2021JJ00,,,,
315,A009257,T001081,2001JJ00,78.2,11783.0,5474.0,
316,A009257,T001081,2002JJ00,80.7,12436.0,5801.0,
317,A009257,T001081,2003JJ00,82.6,12887.0,6135.0,
318,A009257,T001081,2004JJ00,80.9,13041.0,6145.0,
319,A009257,T001081,2005JJ00,78.6,13077.0,6099.0,
320,A009257,T001081,2006JJ00,82.4,13768.0,6687.0,
321,A009257,T001081,2007JJ00,81.9,14433.0,7138.0,
322,A009257,T001081,2008JJ00,81.0,15473.0,7664.0,
323,A009257,T001081,2009JJ00,84.9,15571.0,7589.0,
324,A009257,T001081,2010JJ00,88.2,17194.0,8405.0,
325,A009257,T001081,2011JJ00,86.7,17568.0,8508.0,
326,A009257,T001081,2012JJ00,83.4,17450.0,8418.0,
327,A009257,T001081,2013JJ00,82.7,18115.0,8639.0,
328,A009257,T001081,2014JJ00,80.1,18548.0,8759.0,1892.0
329,A009257,T001081,2015JJ00,79.0,18937.0,8952.0,1758.0
330,A009257,T001081,2016JJ00,83.4,20731.0,9425.0,2147.0
331,A009257,T001081,2017JJ00,88.8,21873.0,9999.0,1920.0
332,A009257,T001081,2018JJ00,91.6,23108.0,10368.0,2144.0
333,A009257,T001081,2019JJ00,95.9,24701.0,11200.0,2218.0
334,A009257,T001081,2020JJ00,97.2,24808.0,11229.0,2096.0
335,A009257,T001081,2021JJ00,98.3,25464.0,11928.0,2602.0
336,A009257,301000 ,2001JJ00,1.6,362.0,152.0,
337,A009257,301000 ,2002JJ00,1.7,389.0,158.0,
338,A009257,301000 ,2003JJ00,1.9,391.0,159.0,
339,A009257,301000 ,2004JJ00,1.9,383.0,146.0,
340,A009257,301000 ,2005JJ00,1.9,396.0,154.0,
341,A009257,301000 ,2006JJ00,2.1,437.0,173.0,
342,A009257,301000 ,2007JJ00,1.8,476.0,176.0,
343,A009257,301000 ,2008JJ00,2.0,507.0,166.0,
344,A009257,301000 ,2009JJ00,2.1,482.0,149.0,
345,A009257,301000 ,2010JJ00,3.0,839.0,297.0,
346,A009257,301000 ,2011JJ00,3.4,875.0,262.0,
347,A009257,301000 ,2012JJ00,3.5,947.0,280.0,
348,A009257,301000 ,2013JJ00,3.7,1023.0,325.0,
349,A009257,301000 ,2014JJ00,3.7,1042.0,352.0,123.0
350,A009257,301000 ,2015JJ00,3.4,1060.0,366.0,123.0
351,A009257,301000 ,2016JJ00,3.2,841.0,299.0,134.0
352,A009257,301000 ,2017JJ00,3.7,990.0,370.0,163.0
353,A009257,301000 ,2018JJ00,4.2,1010.0,341.0,164.0
354,A009257,301000 ,2019JJ00,4.6,1114.0,383.0,182.0
355,A009257,301000 ,2020JJ00,4.7,1130.0,370.0,183.0
356,A009257,301000 ,2021JJ00,5.1,1315.0,415.0,215.0
357,A009257,300002 ,2001JJ00,,,,
358,A009257,300002 ,2002JJ00,,,,
359,A009257,300002 ,2003JJ00,,,,
360,A009257,300002 ,2004JJ00,,,,
361,A009257,300002 ,2005JJ00,,,,
362,A009257,300002 ,2006JJ00,,,,
363,A009257,300002 ,2007JJ00,,,,
364,A009257,300002 ,2008JJ00,,,,
365,A009257,300002 ,2009JJ00,,,,
366,A009257,300002 ,2010JJ00,,,,
367,A009257,300002 ,2011JJ00,,,,
368,A009257,300002 ,2012JJ00,,,,
369,A009257,300002 ,2013JJ00,,,,
370,A009257,300002 ,2014JJ00,,,,
371,A009257,300002 ,2015JJ00,,,,
372,A009257,300002 ,2016JJ00,,,,
373,A009257,300002 ,2017JJ00,,,,
374,A009257,300002 ,2018JJ00,,,,
375,A009257,300002 ,2019JJ00,,,,
376,A009257,300002 ,2020JJ00,,,,
377,A009257,300002 ,2021JJ00,,,,
378,A009257,305700 ,2001JJ00,,,,
379,A009257,305700 ,2002JJ00,,,,
380,A009257,305700 ,2003JJ00,,,,
381,A009257,305700 ,2004JJ00,,,,
382,A009257,305700 ,2005JJ00,,,,
383,A009257,305700 ,2006JJ00,,,,
384,A009257,305700 ,2007JJ00,,,,
385,A009257,305700 ,2008JJ00,,,,
386,A009257,305700 ,2009JJ00,,,,
387,A009257,305700 ,2010JJ00,,,,
388,A009257,305700 ,2011JJ00,,,,
389,A009257,305700 ,2012JJ00,,,,
390,A009257,305700 ,2013JJ00,,,,
391,A009257,305700 ,2014JJ00,,,,
392,A009257,305700 ,2015JJ00,,,,
393,A009257,305700 ,2016JJ00,,,,
394,A009257,305700 ,2017JJ00,,,,
395,A009257,305700 ,2018JJ00,,,,
396,A009257,305700 ,2019JJ00,,,,
397,A009257,305700 ,2020JJ00,,,,
398,A009257,305700 ,2021JJ00,,,,
399,A009257,307500 ,2001JJ00,4.1,837.0,289.0,
400,A009257,307500 ,2002JJ00,4.2,858.0,295.0,
401,A009257,307500 ,2003JJ00,3.6,803.0,259.0,
402,A009257,307500 ,2004JJ00,3.7,758.0,271.0,
403,A009257,307500 ,2005JJ00,3.6,803.0,252.0,
404,A009257,307500 ,2006JJ00,3.9,868.0,284.0,
405,A009257,307500 ,2007JJ00,3.9,903.0,288.0,
406,A009257,307500 ,2008JJ00,4.0,933.0,300.0,
407,A009257,307500 ,2009JJ00,3.9,777.0,283.0,
408,A009257,307500 ,2010JJ00,4.1,881.0,303.0,
409,A009257,307500 ,2011JJ00,4.1,986.0,324.0,
410,A009257,307500 ,2012JJ00,4.0,992.0,317.0,
411,A009257,307500 ,2013JJ00,4.1,1018.0,327.0,
412,A009257,307500 ,2014JJ00,4.1,1114.0,362.0,568.0
413,A009257,307500 ,2015JJ00,4.4,1190.0,402.0,627.0
414,A009257,307500 ,2016JJ00,4.7,1400.0,417.0,794.0
415,A009257,307500 ,2017JJ00,5.1,1497.0,467.0,822.0
416,A009257,307500 ,2018JJ00,5.2,1623.0,472.0,878.0
417,A009257,307500 ,2019JJ00,5.6,1840.0,547.0,899.0
418,A009257,307500 ,2020JJ00,5.8,1783.0,605.0,840.0
419,A009257,307500 ,2021JJ00,5.5,1838.0,611.0,953.0
420,A009257,346600 ,2001JJ00,,,,
421,A009257,346600 ,2002JJ00,,,,
422,A009257,346600 ,2003JJ00,,,,
423,A009257,346600 ,2004JJ00,,,,
424,A009257,346600 ,2005JJ00,,,,
425,A009257,346600 ,2006JJ00,,,,
426,A009257,346600 ,2007JJ00,,,,
427,A009257,346600 ,2008JJ00,,,,
428,A009257,346600 ,2009JJ00,,,,
429,A009257,346600 ,2010JJ00,0.1,30.0,14.0,
430,A009257,346600 ,2011JJ00,0.1,32.0,16.0,
431,A009257,346600 ,2012JJ00,0.1,33.0,17.0,
432,A009257,346600 ,2013JJ00,0.1,56.0,20.0,
433,A009257,346600 ,2014JJ00,0.1,40.0,20.0,0.0
434,A009257,346600 ,2015JJ00,0.4,154.0,52.0,0.0
435,A009257,346600 ,2016JJ00,0.4,140.0,71.0,1.0
436,A009257,346600 ,2017JJ00,0.3,134.0,72.0,0.0
437,A009257,346600 ,2018JJ00,0.5,157.0,77.0,1.0
438,A009257,346600 ,2019JJ00,0.6,141.0,51.0,1.0
439,A009257,346600 ,2020JJ00,0.6,153.0,68.0,1.0
440,A009257,346600 ,2021JJ00,0.8,174.0,80.0,4.0
441,A009257,348000 ,2001JJ00,20.9,4045.0,1579.0,
442,A009257,348000 ,2002JJ00,21.7,4314.0,1688.0,
443,A009257,348000 ,2003JJ00,22.5,4523.0,1814.0,
444,A009257,348000 ,2004JJ00,21.7,4453.0,1725.0,
445,A009257,348000 ,2005JJ00,21.4,4280.0,1658.0,
446,A009257,348000 ,2006JJ00,21.0,4433.0,1798.0,
447,A009257,348000 ,2007JJ00,21.2,4703.0,1976.0,
448,A009257,348000 ,2008JJ00,21.3,5222.0,2204.0,
449,A009257,348000 ,2009JJ00,22.2,5099.0,2044.0,
450,A009257,348000 ,2010JJ00,22.0,5014.0,1962.0,
451,A009257,348000 ,2011JJ00,22.0,5332.0,2046.0,
452,A009257,348000 ,2012JJ00,20.9,5098.0,1954.0,
453,A009257,348000 ,2013JJ00,20.8,5435.0,2065.0,
454,A009257,348000 ,2014JJ00,20.9,5705.0,2188.0,547.0
455,A009257,348000 ,2015JJ00,20.7,5592.0,2158.0,490.0
456,A009257,348000 ,2016JJ00,21.2,5591.0,2095.0,391.0
457,A009257,348000 ,2017JJ00,22.3,5836.0,2129.0,450.0
458,A009257,348000 ,2018JJ00,23.1,6175.0,2234.0,481.0
459,A009257,348000 ,2019JJ00,23.7,6372.0,2170.0,495.0
