ID,Regio,Perioden,TotaalMestproductierechten_1,GrondgebondenMestproductierechten_2,TotaalNietGebondenRechten_3,VarkensKippen_4,RunderenKalkoenen_5,Schapen_6,OverigNietGebondenRechten_7,TotaalVarkensrechten_8,GrondgebondenVarkensrechten_9,TotaalNietGebondenVarkensrechten_10,Fokzeugenrechten_11,NietFokzeugenrechten_12,Pluimveerechten_13,TotaalMestproductierechten_14,TotaalVarkensKippen_15,TotaalRunderenKalkoenen_16,TotaalSchapen_17,TotaalOverigVervallenRechten_18,TotaalAfroming_19,VarkensKippen_20,RunderenKalkoenen_21,Schapen_22,OverigAfroming_23,TotaalOpkoop_24,VarkensKippen_25,RunderenKalkoenen_26,Schapen_27,OverigOpkoop_28,TotaalPluimveerechten_29,AfromingPluimveerechten_30,OpkoopPluimveerechten_31,TotaalVarkensrechten_32,AfromingVarkensrechten_33,OpkoopVarkensrechten_34
14,LD02  ,1997JJ00,110427.6,59860.8,50566.8,42525.8,6351.3,467.8,1221.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,LD02  ,1998JJ00,83280.5,60744.1,22536.4,14708.4,6212.4,462.7,1152.8,3686.8,525.7,3161.0,1138.9,2022.2,,238.5,178.5,33.0,5.1,21.9,238.3,178.3,33.0,5.1,21.9,0.2,0.2,,,,,,,75.4,75.4,0.1
16,LD02  ,1999JJ00,83818.7,61375.0,22443.7,14694.8,6116.2,454.4,1178.2,3604.1,497.9,3106.2,1120.4,1985.7,,53.4,20.9,19.3,2.5,10.7,53.4,20.9,19.3,2.5,10.7,,,,,,,,,84.6,14.5,69.9
17,LD02  ,2000JJ00,84518.9,62211.4,22307.5,14658.7,6015.9,450.5,1182.3,3523.6,474.6,3048.9,1097.5,1951.2,,82.6,43.9,20.7,2.0,16.1,82.6,43.9,20.7,2.0,16.1,,,,,,,,,88.6,26.7,61.9
18,LD02  ,2001JJ00,74458.1,64668.9,9789.2,3066.3,5260.5,407.2,1055.1,3235.7,455.3,2780.4,1025.7,1754.7,12884.2,393.1,238.7,132.9,10.6,10.8,78.6,47.1,21.6,4.0,5.9,314.5,191.7,111.5,6.6,4.9,597.3,138.9,458.5,293.3,28.7,264.6
19,LD02  ,2002JJ00,72452.3,62774.4,9677.9,3043.5,5180.8,402.4,1051.3,3190.7,451.8,2739.1,1014.9,1724.2,12544.6,84.3,25.7,53.6,2.0,2.9,19.2,9.4,6.9,0.8,2.2,65.1,16.4,46.8,1.2,0.7,267.4,38.3,229.1,44.2,5.4,38.9
20,LD02  ,2003JJ00,72570.0,62954.6,9615.4,3034.9,5125.2,401.4,1054.0,3113.9,446.2,2667.7,990.1,1677.5,12364.7,91.6,22.3,64.7,1.4,3.2,,,,,,91.6,22.3,64.7,1.4,3.2,230.3,,230.3,81.8,,81.8
21,LD03  ,1997JJ00,53677.9,43838.5,9839.4,7372.8,1675.3,479.0,312.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,LD03  ,1998JJ00,50109.0,44809.4,5299.6,2881.5,1642.9,463.8,311.3,645.5,166.9,478.5,169.5,309.2,,54.9,42.6,5.4,2.1,4.9,54.9,42.6,5.4,2.1,4.9,,,,,,,,,8.0,7.7,0.3
23,LD03  ,1999JJ00,50988.3,45729.2,5259.1,2888.1,1633.9,458.3,278.7,625.3,158.2,467.1,165.5,301.6,,16.0,5.8,4.1,2.2,4.1,16.0,5.8,4.1,2.2,4.1,,,,,,,,,14.3,2.5,11.9
24,LD03  ,2000JJ00,51877.0,46685.1,5192.0,2875.9,1610.5,452.8,252.8,604.3,150.6,453.7,159.1,294.5,,18.7,11.1,3.4,1.8,2.5,18.7,11.1,3.4,1.8,2.5,,,,,,,,,16.2,4.7,11.4
25,LD03  ,2001JJ00,50483.4,47332.5,3151.0,977.8,1498.5,431.6,243.2,556.3,148.5,407.8,145.4,262.4,2330.4,126.6,96.2,23.0,4.4,3.1,16.7,9.5,3.8,1.6,1.8,109.9,86.7,19.2,2.7,1.3,117.8,32.6,85.1,41.6,3.4,38.1
26,LD03  ,2002JJ00,50907.0,47765.6,3141.5,980.5,1486.1,430.2,244.6,544.4,144.0,400.5,143.6,256.8,2317.5,10.2,6.7,3.1,0.4,0.0,4.3,2.8,1.3,0.1,0.0,5.9,3.9,1.9,0.3,0.0,29.7,4.3,25.4,11.0,0.4,10.6
27,LD03  ,2003JJ00,50892.7,47773.7,3119.2,965.8,1478.9,430.3,244.1,536.5,143.9,392.6,140.8,251.8,2262.5,10.3,2.8,6.9,0.3,0.3,,,,,,10.3,2.8,6.9,0.3,0.3,24.1,,24.1,6.0,,6.0
28,LD04  ,1997JJ00,112912.9,40292.3,72620.6,64303.3,6504.9,296.2,1516.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,LD04  ,1998JJ00,67739.5,41124.0,26615.5,18412.1,6383.1,298.5,1521.8,6016.6,613.7,5402.9,2195.5,3207.3,,272.1,212.6,44.3,5.2,10.0,231.5,172.0,44.3,5.2,10.0,40.5,40.5,,,,,,,101.8,101.7,0.2
30,LD04  ,1999JJ00,68003.7,41589.7,26414.0,18381.5,6247.4,296.7,1488.4,5872.6,585.3,5287.3,2144.2,3143.1,,57.7,13.2,29.9,2.2,12.5,57.5,13.1,29.9,2.2,12.5,0.2,0.2,,,,,,,149.4,45.0,104.4
31,LD04  ,2000JJ00,68242.5,42078.3,26164.2,18261.8,6128.5,293.4,1480.6,5756.1,551.9,5204.2,2111.4,3092.9,,131.7,79.6,36.9,3.5,11.7,131.7,79.6,36.9,3.5,11.7,,,,,,,,,135.1,33.9,101.1
32,LD04  ,2001JJ00,51144.6,42410.7,8733.9,2223.7,4848.5,261.6,1400.2,5306.3,521.6,4784.7,1967.1,2817.6,16740.9,513.5,334.2,167.0,4.7,7.5,84.9,43.6,36.2,2.4,2.6,428.6,290.7,130.9,2.3,4.9,1769.4,193.5,1575.9,460.7,20.2,440.6
33,LD04  ,2002JJ00,51207.7,42599.9,8607.7,2172.5,4780.5,258.8,1395.9,5275.2,519.3,4756.0,1961.6,2794.4,16448.3,56.7,16.4,38.1,1.7,0.5,17.4,7.1,9.2,0.8,0.3,39.4,9.3,28.9,1.0,0.2,325.0,54.3,270.8,34.6,4.8,29.9
34,LD04  ,2003JJ00,51172.2,42652.3,8519.7,2141.3,4720.4,258.7,1399.4,5132.4,507.6,4624.7,1899.0,2725.7,16022.9,92.5,34.8,56.6,0.7,0.3,,,,,,92.5,34.8,56.6,0.7,0.3,476.6,,476.6,163.8,,163.8
35,LD99  ,1997JJ00,121.1,1.9,119.1,119.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,LD99  ,1998JJ00,1.9,1.9,,,,,,,,,,,,9561.8,9561.8,,,,0.4,0.4,,,,,,,,,,,,0.0,0.0,
37,LD99  ,1999JJ00,1.9,1.9,,,,,,,,,,,,0.4,0.1,0.3,0.0,,0.4,0.1,0.3,0.0,,,,,,,,,,2.5,,2.5
38,LD99  ,2000JJ00,1.9,1.9,,,,,,,,,,,,0.5,,0.4,0.1,0.0,0.5,,0.4,0.1,0.0,,,,,,,,,2.0,0.0,2.0
39,LD99  ,2001JJ00,1.9,1.9,,,,,,,,,,,,20.9,16.8,4.0,0.0,,0.5,,0.5,,,20.4,16.8,3.5,0.0,,5.4,,5.4,1.2,,1.2
40,LD99  ,2002JJ00,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,LD99  ,2003JJ00,1.9,1.9,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,0.4,,0.4
42,PV20  ,1997JJ00,16983.8,15004.2,1979.5,1598.5,265.6,80.8,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PV20  ,1998JJ00,16962.5,15677.9,1284.7,891.0,267.2,83.9,42.6,145.5,66.9,78.6,37.5,41.1,,23.4,16.3,2.4,1.7,2.8,23.4,16.3,2.4,1.7,2.8,,,,,,,,,1.9,1.9,
44,PV20  ,1999JJ00,17266.9,15972.5,1294.4,907.7,265.6,79.6,41.5,146.3,65.8,80.5,38.4,42.1,,3.0,0.2,2.0,0.0,0.7,3.0,0.2,2.0,0.0,0.7,,,,,,,,,5.0,2.8,2.3
45,PV20  ,2000JJ00,17691.0,16382.7,1308.3,931.4,254.2,77.4,45.3,143.6,66.2,77.4,37.1,40.3,,9.6,5.2,3.4,0.2,0.7,9.6,5.2,3.4,0.2,0.7,,,,,,,,,4.3,1.7,2.6
46,PV20  ,2001JJ00,17155.2,16685.4,469.8,157.7,199.6,69.4,43.0,137.3,64.7,72.7,35.0,37.6,1581.0,13.2,7.5,4.2,0.8,0.6,5.2,2.0,1.7,0.8,0.6,8.0,5.5,2.5,,,38.8,17.6,21.2,5.3,0.7,4.6
47,PV20  ,2002JJ00,17279.9,16811.9,468.0,157.3,198.6,69.1,43.0,135.3,64.6,70.6,34.2,36.4,1593.1,4.3,1.3,1.7,1.0,0.3,2.3,0.6,0.6,0.9,0.3,2.0,0.7,1.1,0.2,,45.3,5.6,39.8,1.0,0.5,0.5
48,PV20  ,2003JJ00,17295.5,16829.5,466.0,154.8,199.0,69.2,43.0,135.4,64.6,70.8,34.3,36.5,1585.0,2.2,2.2,,,,,,,,,2.2,2.2,,,,6.5,,6.5,,,
49,PV21  ,1997JJ00,31279.8,27929.4,3350.5,2498.5,533.1,250.7,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PV21  ,1998JJ00,30713.1,28156.4,2556.8,1723.0,524.9,239.9,68.9,110.1,16.0,94.1,48.3,45.8,,49.0,41.3,5.2,1.7,0.7,49.0,41.3,5.2,1.7,0.7,,,,,,,,,1.6,1.6,
51,PV21  ,1999JJ00,30866.7,28306.5,2560.2,1721.8,523.8,239.4,75.2,104.8,15.0,89.9,45.5,44.3,,10.4,2.2,3.0,2.2,3.1,10.4,2.2,3.0,2.2,3.1,,,,,,,,,3.0,0.5,2.5
52,PV21  ,2000JJ00,30974.6,28463.9,2510.7,1684.6,513.2,237.7,75.2,101.6,15.1,86.6,43.3,43.3,,6.1,3.8,0.6,1.0,0.7,6.1,3.8,0.6,1.0,0.7,,,,,,,,,3.0,1.4,1.6
53,PV21  ,2001JJ00,29599.3,28642.4,956.9,198.7,466.6,222.1,69.6,89.8,14.7,75.2,39.8,35.4,1901.3,37.7,27.0,7.3,2.2,1.2,9.4,5.4,1.4,1.4,1.2,28.3,21.6,6.0,0.7,,66.3,21.9,44.4,9.5,1.2,8.4
54,PV21  ,2002JJ00,29672.8,28723.3,949.5,202.8,458.0,220.1,68.6,88.3,14.4,73.9,38.7,35.2,1885.2,6.7,1.2,4.0,1.3,0.1,2.3,0.0,0.8,1.3,0.1,4.4,1.2,3.2,,,37.3,7.1,30.2,1.3,0.2,1.1
55,PV21  ,2003JJ00,29717.9,28783.8,934.1,200.0,445.4,220.1,68.6,85.9,14.4,71.5,36.9,34.6,1874.4,12.4,2.8,9.6,,,,,,,,12.4,2.8,9.6,,,40.8,,40.8,,,
56,PV22  ,1997JJ00,20317.4,16533.5,3783.9,3371.2,313.3,68.1,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PV22  ,1998JJ00,19184.8,16974.2,2210.5,1813.6,300.0,62.4,34.5,238.5,49.8,188.7,87.8,100.9,,27.4,21.3,2.8,1.8,1.5,27.4,21.3,2.8,1.8,1.5,,,,,,,,,8.0,8.0,
58,PV22  ,1999JJ00,19426.7,17291.9,2134.9,1748.2,292.5,61.3,32.9,230.8,47.4,183.5,86.0,97.5,,1.9,1.2,0.0,0.6,0.0,1.9,1.2,0.0,0.6,0.0,,,,,,,,,5.3,1.1,4.3
59,PV22  ,2000JJ00,19540.3,17459.7,2080.6,1704.4,288.8,60.4,27.0,226.0,45.4,180.6,84.7,95.8,,2.6,2.2,0.3,0.2,0.0,2.6,2.2,0.3,0.2,0.0,,,,,,,,,7.2,2.4,4.8
60,PV22  ,2001JJ00,18172.5,17593.9,578.6,264.0,238.8,54.3,21.5,216.7,45.2,171.6,83.0,88.6,2007.5,25.1,21.3,2.4,1.3,0.1,2.8,1.6,0.1,1.2,,22.3,19.7,2.3,0.1,0.1,126.0,17.3,108.6,8.8,0.5,8.4
61,PV22  ,2002JJ00,18296.7,17726.8,570.0,265.8,230.1,53.0,21.2,218.4,44.4,173.9,84.5,89.4,1940.5,5.3,3.0,1.7,0.6,0.0,0.5,0.3,,0.2,,4.8,2.7,1.7,0.4,0.0,72.8,2.3,70.5,3.0,0.2,2.8
62,PV22  ,2003JJ00,18299.9,17723.9,576.0,268.0,233.9,53.0,21.2,217.6,44.3,173.2,83.3,90.0,1917.9,,,,,,,,,,,,,,,,2.1,,2.1,2.4,,2.4
63,PV23  ,1997JJ00,43216.6,25965.8,17250.7,14950.8,2045.0,138.5,116.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PV23  ,1998JJ00,32867.4,26202.3,6665.1,4394.9,2001.9,139.5,128.7,1433.7,220.7,1213.0,439.4,773.6,,82.6,60.2,14.4,2.0,6.1,82.5,60.1,14.4,2.0,6.1,0.1,0.1,,,,,,,30.1,30.1,0.1
65,PV23  ,1999JJ00,33097.2,26474.0,6623.2,4378.2,1964.0,141.3,139.7,1405.9,209.7,1196.1,433.7,762.4,,21.6,7.9,9.4,2.1,2.3,21.6,7.9,9.4,2.1,2.3,,,,,,,,,29.9,6.3,23.6
66,PV23  ,2000JJ00,33214.0,26679.2,6534.8,4318.3,1928.2,143.5,144.7,1377.0,200.3,1176.6,428.2,748.4,,19.8,10.4,7.6,0.7,1.1,19.8,10.4,7.6,0.7,1.1,,,,,,,,,40.3,11.6,28.7
67,PV23  ,2001JJ00,29682.4,26757.5,2924.9,958.7,1692.2,137.5,136.5,1275.1,193.8,1081.2,407.2,674.0,3664.9,142.8,86.2,50.9,4.5,1.1,22.9,11.6,7.4,2.8,1.1,119.9,74.7,43.6,1.7,,168.9,41.1,127.7,107.3,13.0,94.3
68,PV23  ,2002JJ00,29658.2,26750.8,2907.4,966.7,1670.4,136.4,133.9,1253.6,191.9,1061.8,403.6,658.2,3536.4,10.4,1.0,7.3,0.7,1.3,3.1,0.1,1.8,0.5,0.8,7.3,1.0,5.6,0.2,0.5,63.1,11.9,51.2,21.0,2.8,18.2
69,PV23  ,2003JJ00,29682.6,26776.0,2906.5,967.7,1668.8,136.1,133.9,1241.7,191.1,1050.6,403.3,647.3,3534.0,6.5,2.1,3.8,0.7,,,,,,,6.5,2.1,3.8,0.7,,41.5,,41.5,11.6,,11.6
70,PV24  ,1997JJ00,5645.1,4803.0,842.2,614.1,144.1,29.7,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PV24  ,1998JJ00,5920.4,5239.9,680.5,445.8,146.2,32.6,55.8,53.2,25.2,27.9,15.6,12.4,,13.7,11.5,1.0,1.2,,13.7,11.5,1.0,1.2,,,,,,,,,,0.5,0.5,
72,PV24  ,1999JJ00,6118.7,5443.4,675.3,446.8,141.3,28.4,58.7,53.0,25.0,28.1,15.6,12.4,,2.3,1.4,0.5,,0.4,2.3,1.4,0.5,,0.4,,,,,,,,,0.5,0.2,0.2
73,PV24  ,2000JJ00,6559.0,5887.0,672.0,449.8,134.9,28.7,58.7,51.5,24.8,26.7,14.9,11.7,,1.6,1.0,,0.0,0.6,1.6,1.0,,0.0,0.6,,,,,,,,,2.0,0.6,1.4
74,PV24  ,2001JJ00,6412.6,6148.5,264.1,76.1,111.6,21.4,55.0,49.6,24.7,24.9,14.1,10.8,875.2,6.3,2.9,2.9,0.5,,2.2,0.3,1.5,0.5,,4.1,2.6,1.5,,,22.3,5.8,16.6,3.8,2.5,1.4
75,PV24  ,2002JJ00,6523.5,6263.0,260.5,76.7,108.3,20.5,55.0,49.1,24.7,24.5,14.2,10.3,873.9,4.7,1.0,3.7,,,1.0,1.0,,,,3.7,,3.7,,,2.4,2.4,,0.6,0.3,0.4
76,PV24  ,2003JJ00,6594.1,6334.3,259.8,77.8,106.6,20.5,55.0,48.8,24.7,24.1,13.8,10.3,855.1,,,,,,,,,,,,,,,,14.7,,14.7,,,
77,PV25  ,1997JJ00,61565.9,29092.0,32473.9,26960.9,4162.2,299.6,1051.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PV25  ,1998JJ00,44492.7,29301.9,15190.8,9867.7,4064.3,290.6,968.3,2199.9,279.8,1920.1,683.9,1236.2,,142.2,106.8,17.6,1.9,15.8,142.1,106.7,17.6,1.9,15.8,0.1,0.1,,,,,,,44.8,44.8,0.0
79,PV25  ,1999JJ00,44602.8,29457.6,15145.2,9869.8,4010.9,284.7,979.8,2145.2,263.2,1882.0,671.1,1210.9,,29.5,11.6,9.4,0.4,8.0,29.5,11.6,9.4,0.4,8.0,,,,,,,,,54.2,8.0,46.1
80,PV25  ,2000JJ00,44745.9,29645.2,15100.7,9890.6,3952.8,278.3,978.9,2095.1,249.5,1845.6,654.4,1191.1,,61.2,32.5,13.1,1.3,14.4,61.2,32.5,13.1,1.3,14.4,,,,,,,,,46.3,14.5,31.8
81,PV25  ,2001JJ00,38363.1,31762.9,6600.2,2031.5,3456.7,248.3,863.6,1911.0,236.8,1674.3,604.4,1069.9,8344.1,244.0,149.6,79.1,5.6,9.7,53.5,35.2,12.7,0.7,4.8,190.5,114.4,66.4,4.9,4.9,406.1,92.0,314.2,182.2,13.2,168.9
82,PV25  ,2002JJ00,36270.6,29760.6,6510.0,2000.1,3402.1,245.5,862.4,1888.0,235.2,1652.8,597.1,1055.7,8134.3,69.2,23.7,42.6,1.3,1.6,15.1,8.3,5.1,0.3,1.4,54.1,15.4,37.5,1.0,0.2,201.9,24.0,177.9,22.6,2.3,20.3
83,PV25  ,2003JJ00,36293.3,29844.3,6449.1,1989.4,3349.8,244.8,865.1,1823.4,230.4,1593.0,573.0,1019.9,7975.6,85.1,20.2,60.9,0.7,3.2,,,,,,85.1,20.2,60.9,0.7,3.2,174.1,,174.1,70.2,,70.2
84,PV26  ,1997JJ00,13021.4,8531.3,4490.0,3587.6,673.9,121.8,106.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PV26  ,1998JJ00,10553.0,8543.5,2009.5,1092.4,682.2,118.6,116.3,338.9,62.5,276.4,90.0,186.4,,26.8,21.4,2.3,1.1,2.0,26.8,21.4,2.3,1.1,2.0,,,,,,,,,4.8,4.5,0.3
86,PV26  ,1999JJ00,10587.2,8590.6,1996.6,1087.0,688.5,119.0,102.2,333.0,60.4,272.5,88.7,183.8,,5.4,3.1,0.6,0.3,1.5,5.4,3.1,0.6,0.3,1.5,,,,,,,,,4.9,1.5,3.4
87,PV26  ,2000JJ00,10675.6,8722.1,1953.5,1073.3,683.5,118.1,78.6,324.1,58.0,266.1,85.8,180.3,,6.0,4.0,0.9,0.4,0.8,6.0,4.0,0.9,0.4,0.8,,,,,,,,,6.7,2.2,4.5
88,PV26  ,2001JJ00,9919.9,8756.0,1163.9,377.2,606.7,108.4,71.6,297.2,56.7,240.5,78.5,162.0,721.4,87.5,72.3,11.3,1.2,2.7,9.4,5.4,2.2,0.3,1.5,78.1,66.9,9.1,0.9,1.2,61.6,17.2,44.3,23.5,2.2,21.3
89,PV26  ,2002JJ00,9956.4,8791.3,1165.1,380.7,604.6,107.8,72.0,294.7,56.4,238.3,77.7,160.5,729.3,6.9,5.3,1.5,0.1,0.0,2.3,1.5,0.8,,,4.6,3.7,0.8,0.1,0.0,23.2,3.0,20.2,3.0,0.4,2.7
90,PV26  ,2003JJ00,9967.0,8805.1,1162.0,381.5,600.4,108.4,71.7,291.9,56.7,235.2,77.2,158.0,723.6,6.9,1.3,5.2,0.0,0.3,,,,,,6.9,1.3,5.2,0.0,0.3,9.2,,9.2,4.1,,4.1
91,PV27  ,1997JJ00,14013.9,12791.8,1222.1,800.8,262.7,144.2,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PV27  ,1998JJ00,13924.6,13072.7,851.9,446.9,250.0,140.5,14.5,39.0,9.3,29.7,13.7,16.1,,11.9,10.8,0.3,0.2,0.6,11.9,10.8,0.3,0.2,0.6,,,,,,,,,0.2,0.2,
93,PV27  ,1999JJ00,14175.5,13339.9,835.6,440.7,246.6,135.7,12.5,37.4,9.0,28.4,12.9,15.5,,1.8,0.0,1.3,0.6,,1.8,0.0,1.3,0.6,,,,,,,,,,0.4,0.1,0.3
94,PV27  ,2000JJ00,14402.5,13574.9,827.7,439.1,241.2,133.2,14.1,35.4,7.7,27.7,12.6,15.1,,2.4,1.4,0.2,0.1,0.7,2.4,1.4,0.2,0.1,0.7,,,,,,,,,1.4,0.5,0.9
95,PV27  ,2001JJ00,14278.1,13770.9,507.2,129.9,233.0,130.3,14.1,32.8,7.7,25.1,11.0,14.1,416.0,10.6,7.5,1.5,1.6,,1.3,0.5,0.2,0.5,0.0,9.3,7.0,1.3,1.1,,18.5,1.9,16.6,1.7,0.3,1.4
96,PV27  ,2002JJ00,14420.8,13913.3,507.5,129.5,233.9,130.0,14.1,29.5,7.5,22.0,10.2,11.8,412.9,1.1,0.9,0.1,0.1,,1.0,0.9,0.0,0.1,,0.1,0.1,0.1,,,0.7,,0.7,1.5,,1.5
97,PV27  ,2003JJ00,14419.9,13917.0,502.9,127.2,232.0,129.8,13.9,28.5,7.3,21.2,10.2,11.0,397.9,1.7,0.7,0.9,0.1,,,,,,,1.7,0.7,0.9,0.1,,13.4,,13.4,,,
98,PV28  ,1997JJ00,15966.5,12928.1,3038.5,2079.2,647.6,172.2,139.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PV28  ,1998JJ00,14927.2,13123.0,1804.1,880.9,626.6,168.4,128.1,185.4,64.2,121.2,46.4,74.8,,8.3,3.4,2.3,0.7,1.9,8.3,3.4,2.3,0.7,1.9,,,,,,,,,2.4,2.4,
100,PV28  ,1999JJ00,15164.1,13367.9,1796.2,899.0,617.7,167.8,111.6,182.2,63.4,118.9,45.9,73.0,,7.9,2.2,1.8,1.3,2.6,7.9,2.2,1.8,1.3,2.6,,,,,,,,,1.9,0.4,1.6
101,PV28  ,2000JJ00,15394.1,13624.2,1769.9,888.3,609.4,166.3,105.9,175.3,60.9,114.4,43.3,71.0,,6.3,2.4,2.2,1.3,0.4,6.3,2.4,2.2,1.3,0.4,,,,,,,,,4.4,0.7,3.7
102,PV28  ,2001JJ00,15055.7,13795.6,1260.2,410.9,584.6,159.7,104.9,164.6,60.5,104.1,40.8,63.2,498.6,25.8,14.1,10.0,1.4,0.4,3.3,1.3,1.2,0.6,0.3,22.5,12.8,8.8,0.7,0.1,27.3,3.1,24.2,9.2,0.7,8.4
103,PV28  ,2002JJ00,15120.5,13868.7,1251.8,411.8,574.6,159.5,105.9,158.8,56.7,102.1,39.6,62.5,490.0,1.6,0.4,1.0,0.2,0.0,0.5,0.4,,0.0,0.0,1.1,0.0,1.0,0.2,,,,,5.0,0.0,4.9
104,PV28  ,2003JJ00,15108.3,13859.1,1249.3,410.5,573.7,159.2,105.9,153.9,56.7,97.2,37.2,60.0,480.6,1.5,0.8,0.6,0.2,,,,,,,1.5,0.8,0.6,0.2,,1.5,,1.5,1.4,,1.4
